要許可台帳一覧表,,,,,
"指令番号 
業種","受付日 
決裁日",有効期間,"営業者住所 
申請者名","営業所所在地 
屋号",許可条件
川保 34 72 飲食店営業 (仕出し屋· 弁当屋),令和04/05/10 令和04/05/13,令和04/05/13 令和10/07/31,,"薩摩川内市入来町浦之名7481 
入来かやぶき庵",
,,,坂口 睦德,,
川保 34 84 飲食店営業 (その他),令和04/06/07 令和04/06/10,令和04/06/10 令和10/07/31,,"薩摩川内市東向田町7-7華ビル202
カラオケ 薩摩女",
,,,佐藤 洋子,,
川保 34 86 飲食店営業 (その他),令和04/06/10 令和04/06/15,令和04/06/15 令和10/07/31,,"薩摩川内市樋脇町塔之原10856-5 
ファミリーマート薩摩川内市比野店 0996-21-0181",
,,,是枝 一夫,,
川保 34 79 飲食店営業 (その他),令和04/05/19 令和04/05/23,令和04/05/23 令和10/07/31,"鹿児島県薩摩川内市百次町852-7 
株式会社 ダンディー 
代表取締役 堀 武芳","薩摩川内市西向田町10-20 ダンディービル205 
LOUNGE MIYAKO",
川保 34 75 菓子製造業,令和04/05/11 令和04/05/16,令和04/05/16 令和10/07/31,,"薩摩川内市西向田町17-19 
Bistrot 1e Saulieu 
0996-22-1379",
,,,伊佐 将宏,,
川保 34 90 菓子製造業,令和04/06/23 令和04/06/28,令和04/06/28 令和10/07/31,,"薩摩川内市天辰町248-1 
ランチ 釜飯 珈琲 いたる 
0996-24-0815",
,,,平松 格,,
川保 34 83 菓子製造業,令和04/06/07 令和04/06/10,令和04/06/10 令和10/07/31,,"薩摩川内市東大小路町28-4 
小麦の奴隷 薩摩川内店 
0996-25-2741",
,,,米丸 幸宏,,
川保 34 73 菓子製造業,令和04/05/10 令和04/05/13,令和04/05/13 令和10/07/31,,"薩摩川内市入来町浦之名7481 
入来かやぶき庵",
,,,坂口 睦德,,
川保 34 89 菓子製造業,令和04/06/17 令和04/06/24,令和04/06/24 令和10/07/31,"鹿児島県薩摩川内市平佐町3739-6 
株式会社ゆかりファーマシー 
代表取締役 笹川 ゆかり","薩摩川内市平佐町3743-1107号室 
りたごはん",
川保 34 88 そうざい製造業,令和04/06/16 令和04/06/24,令和04/06/24 令和10/07/31,,"薩摩郡さつま町虎居1978- 1 
むらさき商店",
,,,松﨑 文也,,
川保 34 76 そうざい製造 業,令和04/05/11 令和04/05/16,令和04/05/16 令和10/07/31,,"薩摩川内市西向田町17-19 
Bistrot le Saulieu 
0996-22-1379",
,,,伊佐 将宏,,
川保 34 87 漬物製造業,令和04/06/16 令和04/06/24,令和04/06/24 令和10/07/31,,"薩摩川内市祁答院町下手974 
薩摩川内市祁答院大村北部生活センター 55-0893",
,,,福﨑 照美,,
出保 34 73 飲食店営業 (一般食堂·レ ストラン等),令和04/05/02 令和04/05/06,令和04/05/06 令和10/07/31,,"阿久根市赤瀬川4513出水郡 医師会広域医療センター内2F 
キッチン 雅 
09053875023",
,,,柏木 由美,,
出保 34 81 飲食店営業 (その他),令和04/06/03 令和04/06/06,令和04/06/06 令和09/07/31,,"阿久根市折口1747-145 
カラオケ&喫茶 夢 
09067773948",
,,,畠中 君子,,
出保 34 82 飲食店営業 (その他),令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,,"出水市本町9-26タチバナビル2F 
ROGER 
08042794089",
,,,岩下 幸生,,
出保 34 74 飲食店営業 (その他),令和04/05/13 令和04/05/16,令和04/05/16 令和10/07/31,,"出水市緑町2-9 
焼肉 ホルモン YAKUBA 
09044838547",
,,,小西 小夜子,,
出保 34 83 飲食店営業 (その他),令和04/06/10 令和04/06/13,令和04/06/13 令和10/07/31,,"出水市六月田町333 
やわらん 
0996-67-1717",
,,,坂口 弘己,,
出保 34 76 飲食店営業 (その他),令和04/05/23 令和04/05/25,令和04/05/25 令和10/07/31,"鹿児島県出水市大野原町626 -2 
株式会社 救急薬品 
代表取締役社長 村田 龍之進","出水市上知識町779-8 
CB CHAI BARU. 
0996-68-0149",
出保 34 84 菓子製造業,令和04/06/10 令和04/06/13,令和04/06/13 令和10/07/31,,"出水市六月田町333 
やわらん 
0996-67-1717",
,,,坂口 弘己,,
出保 34 77 菓子製造業,令和04/05/23 令和04/05/25,令和04/05/25 令和10/07/31,"鹿児島県出水市大野原町626 -2 
株式会社 救急薬品 
代表取締役社長 村田 龍之進","出水市上知識町779-8 
CB CHAI BARU. 
0996-68-0149",
出保 34 87 そうざい製造 業,令和04/06/20 令和04/06/22,令和04/06/22 令和10/07/31,,"出水市汐見町378 
luna sole 
09054682794",
,,,山下 敏,,
出保 34 75 そうざい製造 業,令和04/05/20 令和04/05/23,令和04/05/23 令和10/07/31,"鹿児島県阿久根市脇本267- 1 
株式会社 さるがく水産 
代表取締役 猿楽 逸人","阿久根市脇本267-1 
株式会社 さるがく水産 
0996-75-2702",
大保 34 28 飲食店営業 (一般食堂·レストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口元町21-2 
Restaurant&Bar 融合 
0995-22-2866",
,,,安山 寛利,,
大保 34 38 飲食店営業 (一般食堂·レ ストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口小木原262-26 
ラーメン マリモ 
0995-22-5622",
,,,松木 弘人,,
大保 34 41 飲食店営業 (一般食堂·レ ストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口小木原永山691- 71 
軽食·喫茶 ベリーハウス 
0995-22-0373",
,,,村中 裕子,,
大保 34 30 飲食店営業 (一般食堂·レ ストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口上町2-12 
アンファン 
0995-22-2512",
,,,日髙 惠子,,
大保 34 31 飲食店営業 (一般食堂·レ ストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口上町35-8 
のみくい処 大海 
0995-22-5826",
,,,村岡 厚志,,
大保 34 39 飲食店営業 (一般食堂·レ ストラン等),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口堂崎527-55 
ラーメン駅前 
0995-22-7002",
,,,猿川 初男,,
大保 34 43 飲食店営業 (一般食堂·レ ストラン等),令和04/06/29 令和04/06/29,令和04/06/29 令和10/07/31,"大阪府和泉市平井町863番地 6 
有限会社ジン自動車ジャパン 
取締役 シェイク イフテカール フセイン","伊佐市菱刈花北564-1 
MR. KABAB & CURRY 
0995-28-8922",
大保 34 29 飲食店営業 (旅館),令和04/06/28 令和04/06/29,令和04/06/29 令和09/07/31,,"伊佐市大口小木原上688 
十曽観光旅館 
0995-22-1818",
,,,平 スミ子,,
大保 34 33 飲食店営業 (旅館),令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県伊佐市菱刈川北字古川 2280-14 
早水産業有限会社 
代表取締役 早水 洋久","伊佐市菱刈川北字古川2280 -14 
旅館早水荘 
0995-26-1141",
大保 34 19 飲食店営業 (その他),令和04/05/25 令和04/05/27,令和04/05/27 令和10/07/31,,"伊佐市大口上町32-1 
バナナの木のハンバーガー",
,,,下口 和郎,,
大保 34 18 飲食店営業 (その他),令和04/05/13 令和04/05/16,令和04/05/16 令和10/07/31,,"伊佐市大口上町32-2 
スナック COCO 
0995-28-8486",
,,,西溜 敏江,,
大保 34 24 飲食店営業 (その他),令和04/06/22 令和04/06/24,令和04/06/24 令和10/07/31,"鹿児島県伊佐市大口堂崎120 番地 
株式会社 和木企画 
代表取締役社長 西 俊祐","伊佐市大口里2256 
ramplabo 
0995-23-0112",
大保 34 22 菓子製造業,令和04/06/17 令和04/06/24,令和04/06/24 令和10/07/31,,"伊佐市大口上町5-16 
ケーキハウス トリコロール 
0995-22-7813",
,,,御書 敬,,
大保 34 42 菓子製造業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口目丸541 
パン工房 ながの 
0995-22-4738",
,,,永野 治,,
大保 34 37 菓子製造業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県鹿児島市南栄3-14 
株式会社タイヨー 
代表取締役社長 清川 継一朗","伊佐市大口里801-1 
タイヨー 大口店 
0995-23-0511",
大保 34 32 食肉販売業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県伊佐市大口上町5-10 
株式会社 増元精肉店 
代表取締役 貴嶋 克次","伊佐市大口上町5-10 
株式会社 増元精肉店 
0995-22-0029",
大保 34 36 そうざい製造 業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口平出水1299 
神月山舗 
090-8236-6427",
,,,小野 鉄真,,
大保 34 23 そうざい製造 業,令和04/06/21 令和04/06/24,令和04/06/24 令和10/07/31,,"伊佐市大口里2670 
和光フーズ 
090-7988-9426",
,,,藤﨑 民子,,
大保 34 34 そうざい製造 業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県薩摩郡さつま町虎居745 
北さつま農業協同組合 
代表理事組合長 春田 和則","伊佐市菱刈前目252-3 
農産物処理加工センター 
0995-26-4539",
大保 34 17 そうざい製造 業,令和04/05/06 令和04/05/09,令和04/05/09 令和10/07/31,"鹿児島県伊佐市大口目丸133 -1 
株式会社 迫田興産 
代表取締役 迫田 成満","伊佐市大口目丸133-1 
南国やまみどり 直売店 
0995-22-8352",
大保 34 35 みそ又はしょ うゆ製造業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,"鹿児島県薩摩郡さつま町虎居745 
北さつま農業協同組合 
代表理事組合長 春田 和則","伊佐市菱刈前目252-3 
農産物処理加工センター 
0995-26-4539",
大保 34 40 密封包装食品 製造業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"伊佐市大口小木原永山691- 71
伊佐ブルーベリー摘み取り観光農園
0995-22-0373",
,,,村中 裕子,,
姶保 34 207 飲食店営業 (一般食堂·レ ストラン等),令和04/05/16 令和04/05/17,令和04/05/17 令和10/07/31,,"霧島市国分新町972-1 
ステーキダイニング kiyo mizu m&ai",
,,,郡田 正幸,,
姶保 34 244 飲食店営業 (一般食堂·レ ストラン等),令和04/06/24 令和04/06/28,令和04/06/28 令和10/07/31,,"霧島市隼人町姫城1-64 
喰っ子",
,,,堀川 末男,,
姶保 34 203 飲食店営業 (一般食堂·レ ストラン等),令和04/05/11 令和04/05/13,令和04/05/13 令和10/07/31,,"霧島市牧園町高千穂3878- 202 
道儀ら〜めん",
,,,矢野 絹子,,
姶保 34 216 飲食店営業 (一般食堂·レ ストラン等),令和04/05/26 令和04/05/27,令和04/05/27 令和10/07/31,"東京都千代田区大手町1-1- 3 
株式会社LEOC
代表取締役 森井秀和","姶良郡湧水町木場3102 
LEOC_MEC Industry事業所",
姶保 34 233 飲食店営業 (一般食堂·レ ストラン等),令和04/06/16 令和04/06/20,令和04/06/20 令和10/07/31,"東京都品川区上大崎2-25- 2 
スターバックスコーヒージャパン株式会社 代表取締役 水口 貴文","姶良市西餅田264-1 
スターバックスコーヒーイオンタウン姶良店 0995-55-1601",
姶保 34 238 飲食店営業 (一般食堂·レ ストラン等),令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,"鹿児島県鹿児島市東開町3-167-2F 
U-NO株式会社 
代表取締役 本村 格二","霧島市国分中央3-36-11 
ステーキ本舗 霧島店",
姶保 34 243 飲食店営業 (仕出し屋· 弁当屋),令和04/06/24 令和04/06/28,令和04/06/28 令和10/07/31,"福岡県福岡市博多区上牟田1一 19-21 
株式会社プレナス 
代表取締役 塩井 辰男","霧島市国分野口東1058-1 
ほっともっと国分野口店 
0995-43-3950",
姶保 34 183 飲食店営業 (旅館),令和04/04/27 令和04/05/02,令和04/05/02 令和10/07/31,"鹿児島県霧島市隼人町姫城3- 124 
有限会社 清姫温泉 
代表取締役 米田 知弘","霧島市隼人町姫城3-124 
有限会社 清姫温泉 
0995-42-0607",
姶保 34 234 飲食店営業 (その他),令和04/06/16 令和04/06/20,令和04/06/20 令和10/07/31,,"姶良市松原町1-22-1 
My Lily",
,,,永田 雅,,
姶保 34 180 飲食店営業 (その他),令和04/04/26 令和04/05/02,令和04/05/02 令和10/07/31,,"霧島市国分中央3-11-21 令和国分ビル202号 
cafe きょんとルビー",
,,,中原 忍,,
姶保 34 241 飲食店営業 (その他),令和04/06/23 令和04/06/27,令和04/06/27 令和10/07/31,,"霧島市国分中央3-28-16 
中央国分BLD5A号室 
Tida Bar",
,,,東 みな,,
姶保 34 226 飲食店営業 (その他),令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,,"霧島市国分中央3-34-2-3 
feliz",
,,,渡邊 恵理,,
姶保 34 229 飲食店営業 (その他),令和04/06/07 令和04/06/15,令和04/06/15 令和10/07/31,,"霧島市国分中央3-6-7瀧聞 ビル2階203
Lounge think 
090-4150-6378",
,,,東代宮 亜里沙,,
姶保 34 232 飲食店営業 (その他),令和04/06/14 令和04/06/16,令和04/06/16 令和10/07/31,,"霧島市隼人町見次1257-3 
ドミノ·ピザ霧島店 
0995-44-7755",
,,,脇田 峻輔,,
姶保 34 194 飲食店営業 (その他),令和04/05/11 令和04/05/12,令和04/05/12 令和09/07/31,,"霧島市隼人町住吉249-1 
焼き鳥 たかちゃん 
080-9057-0843",
,,,池田 貴成,,
姶保 34 225 飲食店営業 (その他),令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,"鹿児島県霧島市隼人町内1470-1 KENJOUBLDⅢ 105 
株式会社N-STAGE 
代表取締役 懸﨑 信彦","霧島市国分中央3-12-1セ ンタービル2F
Poker Bar FULL HOUSE",
姶保 34 237 飲食店営業 (その他),令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,"鹿児島県霧島市国分新町1-9 -18 
株式会社 Re·Pro 
代表取締役 森 貴章",霧島市国分中央3-15-14 YTビル2F Charmy,
姶保 34 227 飲食店営業 (その他),令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,"鹿児島県垂水市本城4057- 2 
株式会社マエダ企画 
代表取締役 前田岳嗣","姶良市東餅田2369-8 東ビル103 
天晴レあいら 
0995-65-6677",
姶保 34 217 飲食店営業 (その他),令和04/05/31 令和04/06/01,令和04/06/01 令和10/07/31,"鹿児島県霧島市国分敷根548 
株式会社M&A JAPAN 
代表取締役 太田 直希","霧島市国分野口東1026 
焙煎工房 CAPTAINCOOK 
0995-56-8077",
姶保 34 202 飲食店営業 (その他),令和04/05/11 令和04/05/13,令和04/05/13 令和10/07/31,"鹿児島県鹿児島市東千石町17 ー9松清ビル1-B 
コーヒーソルジャー株式会社 
代表取締役 竹元 俊一","姶良市宮島町32-8パークビル1F 
コーヒーソルジャー 
080-2713-8976",
姶保 34 181 飲食店営業 (その他),令和04/04/27 令和04/05/02,令和04/05/02 令和10/07/31,"鹿児島県姶良市東餅田3843 -4 
有限会社田原 
代表取締役 田原 慎太郎","姶良市西餅田264-1西街区 1F 
nicoドーナツ・茶房ななほし イオンタウン店 0995-56-8170",
姶保 34 220 菓子製造業,令和04/06/01 令和04/06/06,令和04/06/06 令和10/07/31,,"姶良郡湧水町川添1915 
緑水庵 
080-9247-7629",
,,,桑畑 来美,,
姶保 34 186 菓子製造業,令和04/05/02 令和04/05/02,令和04/05/02 令和10/07/31,,"姶良郡湧水町北方2500-イ 
さくら工房 
090-9490-3229",
,,,立野 房代,,
姶保 34 205 菓子製造業,令和04/05/13 令和04/05/17,令和04/05/17 令和10/07/31,,"霧島市横川町下ノ936-1 

090-5924-5647",
,,,市野 みゆき,,
姶保 34 242 菓子製造業,令和04/06/28 令和04/06/28,令和04/06/28 令和10/07/31,,"霧島市国分中央3-16-31 
air 
090-8226-0394",
,,,有村 奈央,,
姶保 34 240 菓子製造業,令和04/06/22 令和04/06/24,令和04/06/24 令和10/07/31,,"霧島市隼人町真孝166-1 
お菓子の〜 en905〜 
090-5082-8443",
,,,古江 睦美,,
姶保 34 184 菓子製造業,令和04/04/28 令和04/05/02,令和04/05/02 令和10/07/31,,"霧島市牧園町三体堂665 
さんでろ おばちゃん",
,,,古江 せい子,,
姶保 34 182 菓子製造業,令和04/04/27 令和04/05/02,令和04/05/02 令和10/07/31,"鹿児島県姶良市東餅田3843-4 
有限会社田原 
代表取締役 田原 慎太郎","姶良市西餅田264-1西街区 1F 
nicoドーナツ·茶房ななほし イオンタウン店 0995-56-8170",
姶保 34 230 食肉処理業,令和04/06/14 令和04/06/15,令和04/06/15 令和10/07/31,"鹿児島県姶良市加治木町新生町103 
一般社団法人加治木猟友会 
代表理事 桑迫 輝文","姶良市加治木町西別府1410-1 
加治木ジビエ加工センター 
0995-62-5481",
姶保 34 223 食肉販売業,令和04/06/07 令和04/06/08,令和04/06/08 令和10/07/31,"鹿児島県霧島市国分広瀬2-20-51 
株式会社スマイル 
代表取締役 西田 昭二","霧島市国分広瀬2-20-51 
溶岩焼薩摩屋 
0995-47-4999",
姶保 34 210 そうざい製造 業,令和04/05/18 令和04/05/20,令和04/05/20 令和10/07/31,,"姶良郡湧水町北方1597-1 
いなかもん",
,,,上野 正子,,
姶保 34 236 そうざい製造 業,令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,,"姶良市東餅田962 
テイクアウとりー",
,,,小濵 美和,,
姶保 34 206 そうざい製造 業,令和04/05/13 令和04/05/17,令和04/05/17 令和10/07/31,,"霧島市横川町下ノ936-1 

090-5924-5647",
,,,市野 みゆき,,
姶保 34 245 そうざい製造 業,令和04/06/28 令和04/06/29,令和04/06/29 令和10/07/31,,"霧島市隼人町東郷161 
日当山地区公民館 
0995-43-0303",
,,,中村 博文,,
姶保 34 204 そうざい製造 業,令和04/05/12 令和04/05/16,令和04/05/16 令和10/07/31,"鹿児島県姶良市蒲生町上久徳2634 
有限会社夢企画 
代表取締役 吉留 沙里","姶良市蒲生町上久徳2632 
有限会社夢企画 You+F 
090-3414-9808",
姶保 34 239 そうざい製造 業,令和04/06/23 令和04/06/24,令和04/06/24 令和10/07/31,"鹿児島県姶良市加治木町本町48 
有限会社 天天有 
代表取締役 池田 要","姶良市加治木町本町48 
有限会社 天天有 
0995-63-2355",
姶保 34 224 みそ又はしょ うゆ製造業,令和04/06/08 令和04/06/09,令和04/06/09 令和10/07/31,,"霧島市横川町上ノ3590-9 
霧島市横川農業交流センター丸岡さくら館 
ドゥ·エゼ 
090-2504-1484",
,,,橋口 里美,,
姶保 34 208 みそ又はしょ うゆ製造業,令和04/05/16 令和04/05/17,令和04/05/17 令和10/07/31,"鹿児島県霧島市国分新町1-32-56 
株式会社無垢 
代表取締役 古川 理沙","霧島市霧島永水3821永水地区公民館 
株式会社無垢 
0995-57-2361",
姶保 34 222 漬物製造業,令和04/06/03 令和04/06/06,令和04/06/06 令和10/07/31,,"姶良郡湧水町幸田325 
はまさきの漬物 
090-5382-1081",
,,,濵﨑 房子,,
姶保 34 221 漬物製造業,令和04/06/01 令和04/06/06,令和04/06/06 令和10/07/31,,"姶良郡湧水町川添1915 
緑水庵 
080-9247-7629",
,,,桑畑 来美,,
姶保 34 185 漬物製造業,令和04/04/28 令和04/05/02,令和04/05/02 令和10/07/31,,"霧島市牧園町三体堂665 
さんでろ おばちゃん",
,,,古江 せい子,,
志保 34 72 飲食店営業 (一般食堂·レ ストラン等),令和04/06/09 令和04/06/13,令和04/06/13 令和10/07/31,,"志布志市志布志町志布志2-10-22ダイヤモンドロード1F 

099-473-0888",
,,,坂上 秀人,,
志保 34 77 飲食店営業 (一般食堂·レ ストラン等),令和04/06/20 令和04/06/22,令和04/06/22 令和10/07/31,,"曽於郡大崎町野方6222-1 
mono-cafe のがた食堂 
099-478-2611",
,,,春田 洋子,,
志保 34 54 飲食店営業 (一般食堂·レ ストラン等),令和04/04/28 令和04/05/11,令和04/05/11 令和10/07/31,,"曽於市財部町下財部1595- 6 
お好み焼き でんえん 
0986-72-0158",
,,,渡辺 秀幸,,
