№,営業所所在地,営業所方書,屋号,営業者名,代表者名,営業所電話,許可番号
12,東京都中野区本町三丁目２６番８号,,プライスパケット,有限会社ユービック,飯尾  洋史,03-6300-5666,"3中健衛食第
2018号"
,飲食店営業,,東京都中野区本町三丁目２６番８号,,R04/04/04,R04/04/04,R11/04/30
13,東京都中野区本町四丁目３０番１７号,ハイファイフラット１０１,ウィスパー,髙野  俊吾,,,"4中健衛食第
139号"
,飲食店営業,,※※※※※,,R04/05/30,R04/05/30,R10/05/31
14,東京都中野区本町四丁目４５番９号,第一カワイビル  １０３,貴和,東陽合同会社,ＳＯＮＧ  ＱＩＡＮ  ＱＩＡＮ,,"4中健衛食第
103号"
,飲食店営業,,東京都中野区本町四丁目４５番９号,03-6382-7918,R04/05/26,R04/05/26,R10/05/31
15,東京都中野区本町六丁目４５番１号,ＭＥＮＥ３  １階,散歩かふぇ  ちゃらぽこ,岡元  美歩,,,"4中健衛食第
126号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/05/20,R04/05/20,R10/05/31
16,東京都中野区中央二丁目２番１号,マルイ祭ビル２Ｆ,マリガン,東京賃貸保証株式会社,中村  直美,,"4中健衛食第
8号"
,飲食店営業,,東京都渋谷区富ヶ谷一丁目４４番１６号コーポ金子Ｂ１Ｆ,,R04/04/26,R04/04/26,R11/04/30
17,東京都中野区中央三丁目２４番１５号,,肉のハナマサ  中野店,株式会社花正,富澤  夏樹,5348-2502,"4中健衛食第
28号"
,食肉販売業,,東京都港区芝浦三丁目１５番９号株式会社ジャパンミート芝浦ビル３階,03-3569-8722,R04/04/18,R04/04/18,R11/04/30
18,東京都中野区中央三丁目２４番１５号,,肉のハナマサ  中野店,株式会社花正,富澤  夏樹,5348-2502,"4中健衛食第
29号"
,魚介類販売業,,東京都港区芝浦三丁目１５番９号株式会社ジャパンミート芝浦ビル３階,03-3569-8722,R04/04/18,R04/04/18,R11/04/30
19,東京都中野区中央三丁目３４番３号,メイヒル新中野Ｂ１０６号,スティングレイ,稲垣  剛規,,,"4中健衛食第
41号"
,飲食店営業,,※※※※※,,R04/04/21,R04/04/21,R11/04/30
20,東京都中野区中央三丁目３４番３号,メイヒル新中野Ｂ１０６号,鬼ビーフ,株式会社モンキースパイス,安藤  光造,,"4中健衛食第
144号"
,飲食店営業,,東京都渋谷区西原一丁目３９番６号,,R04/05/25,R04/05/25,R11/05/31
21,東京都中野区中央四丁目５３番９号,トキワビル  １Ｆ,焼肉  板門店,前田  博志,,3229-6554,"4中健衛食第
92号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/05/23,R04/05/23,R11/05/31
22,東京都中野区中央五丁目１番１号,２階,株式会社メホック,株式会社メホック,小原  美加,,"4中健衛食第
149号"
,飲食店営業,,東京都世田谷区経堂五丁目１２番１号,6413-6300,R04/05/31,R04/05/31,R11/05/31
23,東京都中野区中央五丁目３９番１６号,中野第二サンパークビル  ２階,ＬＩＶＥ＆ＰＵＢ  Ｍｏｏｎ  Ｓｔｅｐ,山内  直樹,,03-3380-7739,"3中健衛食第
2030号"
,飲食店営業,,※※※※※※※※※※,,R04/04/14,R04/04/14,R11/04/30
24,東京都中野区中央五丁目４２番１４号,オオノハイツ１階店舗,ゲキダンタナカ,田中  凡子,,,"4中健衛食第
25号"
,飲食店営業,,※※※※※,,R04/04/19,R04/04/19,R10/04/30
25,東京都中野区東中野一丁目１４番２６号,高山ビル１Ｆ,ＯＩＳＨＩ  ＫＥＢＡＢ  ＲＥＳＴＡＵＲＡＮＴ,ＭＭ  ＩＮＴＥＲＮＡＴＩＯＮＡＬ株式会社,ＭＯＨＡＭＭＥＤ ＭＯＨＡＭＭＥＤ  ＡＬＩ ＲＡＭＥＥＺ  ＫＨＡＮ,,"4中健衛食第
76号"
,飲食店営業,,東京都新宿区大久保二丁目８番８号パークサイド大升１０３,,R04/04/28,R04/04/28,R11/04/30
26,東京都中野区東中野二丁目２５番６号,ＰＡＯ  ＣＯＭＰＯＵＮＤ  １階,キャラバン・サライ,株式会社包,安仲  卓二,3371-3750,"4中健衛食第
132号"
,飲食店営業,,東京都中野区東中野二丁目２５番６号,3361-2218,R04/05/27,R04/05/27,R11/05/31
27,東京都中野区東中野三丁目１番２号,阿部ビル１Ｆ,ミュージックパブ  アゲイン,塚田  良子,,3360-4739,"4中健衛食第
95号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/05/18,R04/05/18,R11/05/31
28,東京都中野区東中野三丁目２番４号,ハイツたちばな１０１,Ｐａｓｔａ  Ｗｏｒｋｓ,モンブランビル株式会社,湯川,,"4中健衛食第
87号"
,密封包装食品製造業,,東京都世田谷区北沢二丁目２６番６号,,R04/05/11,R04/05/11,R11/05/31
29,東京都中野区東中野三丁目１４番１５号,Ｓｔｅｌｌａ落合駅前３Ｆ,Ｇｉｒｌ’ｓ  Ｂａｒ  Ｃｕｏｒｅ,ｉｌ  Ｃｕｏｒｅ株式会社,古野  貴之,,"3中健衛食第
1961号"
,飲食店営業,,東京都中野区東中野三丁目１４番１５号Ｓｔｅｌｌａ落合駅前３Ｆ,,R04/04/05,R04/04/05,R11/04/30
30,東京都中野区東中野三丁目１４番２１号,,麺や天鳳  東中野店,石野  匡洋,,3365-5898,"4中健衛食第
34号"
,飲食店営業,,※※※※※,,R04/04/13,R04/04/13,R11/04/30
31,東京都中野区東中野三丁目１６番１２号,,東灯,株式会社ＢＯＵＴ,尾坂  亮,03-6310-4873,"4中健衛食第
117号"
,飲食店営業,,東京都中野区中野五丁目５０番３号,03-5942-5594,R04/05/27,R04/05/27,R11/05/31
32,東京都中野区東中野四丁目４番５号,"１ＦＭＯＲＩＫＩＴＣＨＥＮ内Ｎｏ．９
ｋｉｔｃｈｅｎ",ＭＯＲＩＫＩＴＣＨＥＮ  Ｎｏ．９  ９９９円丼,株式会社Ｓ＆Ｇ Ｃｏｒｐｏｒａｔｉｏｎ,金利錫,03-6868-3379,"4中健衛食第
19号"
,飲食店営業,,東京都新宿区新宿七丁目１９番１０号,03-6868-3379,R04/04/08,R04/04/08,R11/04/30
33,東京都中野区東中野四丁目４番５号,"ＭＯＲＩＫＩＴＣＨＥＮ  Ｎｏ．２
ｋｉｔｃｈｅｎ",Ｎｏ．２  ９９９円家,株式会社  アルプス,金起範,,"4中健衛食第
20号"
,飲食店営業,,東京都新宿区百人町二丁目２番３号 ＴＲＮ新大久保ビルＢ１,,R04/04/08,R04/04/08,R11/04/30
34,東京都中野区東中野四丁目４番５号,"１Ｆ  ＭＯＲＩＫＩＴＣＨＥＮ内  Ｎｏ．７
ｋｉｔｃｈｅｎ",ＭＯＲＩＫＩＴｃｈｅｎ  Ｎｏ．７  ９９９円屋,合同会社  デヨン,金  起範,,"4中健衛食第
21号"
,飲食店営業,,東京都港区麻布十番一丁目５番２６号,,R04/04/08,R04/04/08,R11/04/30
35,東京都中野区東中野四丁目４番５号,１Ｆ,長崎ちゃんぽん・皿うどん  中華まるしん  東中野店,城倉  吉久,,,"4中健衛食第
88号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/05/11,R04/05/11,R11/05/31
36,東京都中野区東中野五丁目５番７号,セーリングビル２０１,ビストロバル  パリ４区,能智  朋幸,,3363-0555,"4中健衛食第
36号"
,飲食店営業,,※※※※※※※※※※,※※※※※,R04/04/22,R04/04/22,R11/04/30
37,東京都中野区中野一丁目１６番１号,,八郎食堂,小幡  正夫,,3362-0852,"3中健衛食第
1929号"
,飲食店営業,,※※※※※,※※※※※,R04/03/01,R04/04/01,R10/02/29
38,東京都中野区中野二丁目２５番３号,阿形ビル３階,ＴＮＣ,株式会社ＤＤＤ,坂平  一成,,"4中健衛食第
5号"
,飲食店営業,,東京都新宿区歌舞伎町一丁目３番１５号,,R04/04/05,R04/04/05,R11/04/30
39,東京都中野区中野二丁目２８番１号,プロスペアー中野２０４号,中野のお揚がり,加藤  宣明,,,"4中健衛食第
33号"
,飲食店営業,,※※※※※※※※※※,,R04/04/28,R04/04/28,R11/04/30
40,東京都中野区中野三丁目３４番２号,桃南ビル１階,つけ蕎麦ＢＯＮＳＡＩ  中野店,株式会社ツー・アンド・フォー,坂口  将人,03-5340-7273,"4中健衛食第
44号"
,飲食店営業,,東京都立川市曙町一丁目１５番２号,042-526-3353,R04/04/20,R04/04/20,R11/04/30
41,東京都中野区中野三丁目３４番４号,イスクラ中野ビル,ナカノバ食堂,ナカノバ合同会社,藤原  秋一,,"4中健衛食第
138号"
,飲食店営業,,東京都中野区中野三丁目３４番４号,,R04/05/27,R04/05/27,R11/05/31
42,東京都中野区中野三丁目３４番２３号,,みなみのカエル,篠  貴之,,03-6753-7771,"4中健衛食第
137号"
,飲食店営業,,※※※※※,※※※※※,R04/05/31,R04/05/31,R10/05/31
43,東京都中野区中野四丁目１２番２号,５Ｆ,若葉寮,株式会社昭和イーティング,吉田  克己,3389-0171,"4中健衛食第
62号"
,飲食店営業,,東京都目黒区上目黒三丁目１番２号昭和イーティングビル,3794-100,R04/04/26,R04/04/26,R11/04/30
44,東京都中野区中野五丁目１４番２号,ＮＡＫＡＮＯ  Ｗｈｉｔｅ  Ｈｏｕｓｅ  １Ｆ,Ｃａｆｅ  ｇａｌｌｅｒｙ  Ｎ,株式会社ノラや,松本  聖子,,"4中健衛食第
4号"
,飲食店営業,,東京都杉並区高円寺南三丁目６９番１号,03-3310-2020,R04/04/05,R04/04/05,R11/04/30
45,東京都中野区中野五丁目１７番１０号,,沖縄料理  かじまやー,金城  美津枝,,5380-4107,"4中健衛食第
16号"
,飲食店営業,,※※※※※※※※※※,,R04/04/19,R04/04/19,R10/04/30
46,東京都中野区中野五丁目３０番１号,,パティスリー・オダ,学校法人織田学園,鈴木  貴子,3228-2120,"4中健衛食第
10号"
,菓子製造業,,東京都中野区中野五丁目３２番８号,,R04/04/08,R04/04/08,R11/04/30
47,東京都中野区中野五丁目３２番９号,ｎａｋａｎｏ３２９－ｂｕｉｌｄｉｎｇ地下１階,つまみとごはん  はる,松木  ちはる,,03-3388-4567,"4中健衛食第
129号"
,飲食店営業,,※※※※※,※※※※※,R04/05/25,R04/05/25,R11/05/31
48,東京都中野区中野五丁目３２番１５号,,第二力酒蔵,有限会社第二力酒蔵,福田  義明,3385-6471,"4中健衛食第
133号"
,飲食店営業,,東京都中野区中野五丁目３２番１５号,3385-6471,R04/05/26,R04/05/26,R10/05/31
49,東京都中野区中野五丁目３３番１３号,,ライフ  中野駅前店Ｂ１,株式会社ライフコーポレーション,岩崎  高治,5343-8861,"4中健衛食第
120号"
,飲食店営業,,東京都中央区日本橋本町三丁目６番 ２号,03-5807-5111,R04/05/18,R04/05/18,R11/05/31
50,東京都中野区中野五丁目３３番１３号,,ライフ  中野駅前店Ｂ１,株式会社ライフコーポレーション,岩崎  高治,5343-8861,"4中健衛食第
121号"
,飲食店営業,,東京都中央区日本橋本町三丁目６番 ２号,03-5807-5111,R04/05/18,R04/05/18,R11/05/31
51,東京都中野区中野五丁目３３番１３号,,ライフ  中野駅前店,株式会社ライフコーポレーション,岩崎  高治,5343-8861,"4中健衛食第
122号"
,飲食店営業,,東京都中央区日本橋本町三丁目６番 ２号,03-5807-5111,R04/05/18,R04/05/18,R11/05/31
52,東京都中野区中野五丁目３３番１３号,,ライフ  中野駅前店,株式会社ライフコーポレーション,岩崎  高治,5343-8861,"4中健衛食第
123号"
,飲食店営業,,東京都中央区日本橋本町三丁目６番 ２号,03-5807-5111,R04/05/18,R04/05/18,R11/05/31
53,東京都中野区中野五丁目３５番８号,１Ｆ,鎌倉酒店,株式会社紀州鶯屋,鎌倉良行,03-5942-9147,"4中健衛食第
55号"
,飲食店営業,,和歌山県田辺市高雄三丁目５番１３号,,R04/04/28,R04/04/28,R11/04/30
54,東京都中野区中野五丁目３６番３号,タカデン中野ビルＢ１Ｆ,ネパール  居酒屋  ＰＡＬＥＴＩ,ＶｉｓｉｏｎＮｅｐａｌ合同会社,チャウラガイン・プラバット,03-4363-2415,"4中健衛食第
69号"
,飲食店営業,,東京都杉並区荻窪二丁目１３番８号片平アパート２０５号,,R04/05/06,R04/05/06,R11/05/31
55,東京都中野区中野五丁目３６番１４号,１階,ヌードルダイニング鵺,高尾  信吉,,,"4中健衛食第
38号"
,飲食店営業,,※※※※※※※※※※,,R04/04/19,R04/04/19,R11/04/30
56,東京都中野区中野五丁目４９番３号,窪寺アパート  １階,スシバルパパ  修静堂,森本  秋光,,03-3387-5459,"4中健衛食第
18号"
,飲食店営業,,※※※※※※※※※※,,R04/04/28,R04/04/28,R10/04/30
57,東京都中野区中野五丁目４９番６号,２Ｆ,台湾大衆酒場  山口,俺バル山口株式会社,秋庭  光吉,,"4中健衛食第
45号"
,飲食店営業,,東京都中野区中野五丁目４９番６号３階,03-6874-1761,R04/04/19,R04/04/19,R11/04/30
58,東京都中野区中野五丁目５５番３号,１Ｆ,麺尊ＲＡＧＥ  腕刀  中野,株式会社カイテン,廣田  圭亮,,"3中健衛食第
2026号"
,飲食店営業,,東京都練馬区南田中四丁目４番１３号,,R04/04/07,R04/04/07,R11/04/30
59,東京都中野区中野五丁目５０番３号,２階,オリビア,小沢  喜美子,,3388-9540,"4中健衛食第
27号"
,飲食店営業,,※※※※※,,R04/04/15,R04/04/15,R10/04/30
60,東京都中野区中野五丁目５０番９号,２０２,グリーンコーポ２０２,湯田  和宏,,,"4中健衛食第
3号"
,飲食店営業,,※※※※※※※※※※,,R04/04/06,R04/04/06,R10/04/30
61,東京都中野区中野五丁目５２番１５号,,ディリ－チコ,鈴木  正博,,3386-4461,"4中健衛食第
124号"
,飲食店営業,,※※※※※,※※※※※,R04/05/26,R04/05/26,R11/05/31
62,東京都中野区中野五丁目５２番１５号,中野ブロードウェイ  ４階,Ｋ－  Ｃａｆｅ,株式会社ジーティーヴィー,渡邊  浩弐,,"4中健衛食第
11号"
,飲食店営業,,東京都中野区中野五丁目５２番１５号中野ブロードウェイ,5318-0361,R04/04/11,R04/04/11,R11/04/30
63,東京都中野区中野五丁目５３番２号,１階,スパイラル飯店,株式会社グッドスパイラル,熊谷  光裕,,"4中健衛食第
52号"
,飲食店営業,,東京都渋谷区道玄坂一丁目１５番３号プリメーラ道玄坂６２１,,R04/04/21,R04/04/21,R11/04/30
64,東京都中野区中野五丁目５４番３号,,ハレハレ中野,合同会社インフィニティメーカー,西岡  毅,03-5942-9887,"31中健衛食第
585号"
,飲食店営業,,東京都杉並区阿佐谷南三丁目３１番１号,,R04/05/24,R04/05/24,R10/05/31
65,東京都中野区中野五丁目５６番１１号,白百合ビル地下１階,ＴＨＥ  ＨＡＲＰ,株式会社ＲＯＳＥＢＡＮＫ,田口  哲弥,03-5343-7990,"4中健衛食第
79号"
,飲食店営業,,東京都中野区中野五丁目５６番１１号,,R04/05/10,R04/05/10,R11/05/31
66,東京都中野区中野五丁目５６番１１号,中野共英ビル４階,Ｓ  ＰＬＵＳ,増坪  義明,,,"4中健衛食第
119号"
,飲食店営業,,※※※※※※※※※※,,R04/05/20,R04/05/20,R11/05/31
67,東京都中野区中野五丁目５７番２号,アミューズ中野ビル３Ｆ－Ａ,ＥＲＩＺＡ,尾上  絵理,,3319-9182,"4中健衛食第
113号"
,飲食店営業,,※※※※※,※※※※※,R04/05/19,R04/05/19,R11/05/31
68,東京都中野区中野五丁目５７番２号,アミューズ中野ビル地上２階ＢＣ室,Ｌａ  Ｌｕｎａ,合同会社アルテミス,山本  卓,03-5860-0422,"4中健衛食第
65号"
,飲食店営業,,東京都世田谷区赤堤三丁目２２番２２号,03-5860-0422,R04/05/02,R04/05/02,R10/05/31
69,東京都中野区中野五丁目５７番９号,,修静堂,森本  秋光,,3387-5459,"4中健衛食第
17号"
,飲食店営業,,※※※※※※※※※※,,R04/04/11,R04/04/11,R11/04/30
70,東京都中野区中野五丁目５７番９号,第２三京ビル３階３０２号室,ＳＵＩＴＥ,揚妻  篤史,,,"4中健衛食第
53号"
,飲食店営業,,※※※※※※※※※※,,R04/04/20,R04/04/20,R11/04/30
71,東京都中野区中野五丁目５９番１号,興産ビル１階,ジンギスカン  牡羊屋,株式会社オオヒロ,大前  博章,03-3387-5658,"4中健衛食第
22号"
,飲食店営業,,東京都中野区上高田４丁目１８－１－４ １１,,R04/04/27,R04/04/27,R11/04/30
72,東京都中野区中野五丁目５９番１号,興産ビル２階２０３号,ＲＯＭＥＯ,株式会社ＩＮＦＩＮ,武下  寿宏,03-5942-5234,"4中健衛食第
93号"
,飲食店営業,,東京都中野区中野五丁目５８番９号ソシアルビル１０３,,R04/05/13,R04/05/13,R11/05/31
73,東京都中野区中野五丁目５９番６号,中野Ｋｓビル３階,いのしかちょう  粋,Ｖｕｚｚ株式会社,遠藤  恭央,03-5942-5454,"4中健衛食第
68号"
,飲食店営業,,東京都西東京市田無町三丁目３番２７号,042-452-3154,R04/04/28,R04/04/28,R11/04/30
74,東京都中野区中野五丁目６０番２号,ライオンズプラザ中野１０６,焼肉李苑,株式会社Ｄａｙｓ,野田  大地,03-3388-4872,"4中健衛食第
81号"
,飲食店営業,,東京都中野区中野五丁目６０番２号ライオンズプラザ中野１０６,03-3388-4872,R04/05/12,R04/05/12,R11/05/31
75,東京都中野区中野五丁目６０番１３号,ＫＭビル１Ｆ,セマウル食堂  中野店,株式会社グローバル・アイズ,出雲  愛子,,"4中健衛食第
91号"
,飲食店営業,,東京都中野区中野五丁目６０番１３号,,R04/05/18,R04/05/18,R11/05/31
76,東京都中野区中野五丁目６３番５号,,梅寿司,栁澤  大輔,,3387-1484,"4中健衛食第
67号"
,飲食店営業,,※※※※※,※※※※※,R04/04/26,R04/04/26,R10/04/30
77,東京都中野区中野五丁目６５番５号,ｓｋビル７・８・９階,ビッグエコー  中野通り店,株式会社第一興商,保志  忠郊,5318-5800,"4中健衛食第
134号"
,飲食店営業,,東京都品川区北品川五丁目５番２６号,3280-2151,R04/05/25,R04/05/25,R11/05/31
78,東京都中野区中野六丁目１３番１号,,中野区立桃園第二小学校,株式会社ＣＴＭサプライ,片山  智,03-6457-8282,"3中健衛食第
2019号"
,飲食店営業,,東京都新宿区四谷三栄町９番４号堀木ビル,03-6457-8282,R04/04/06,R04/04/06,R11/04/30
79,東京都中野区中野六丁目３２番１０号,,ココス中野店,株式会社ココスジャパン,一木  直哉,5348-0728,"4中健衛食第
85号"
,飲食店営業,,東京都港区港南二丁目１８番１号,6833-8000,R04/05/13,R04/05/13,R11/05/31
80,上高田一丁目１４番７号,,株式会社せいとう  中野ＣＫ,株式会社せいとう,城  麻里奈,3388-8520,"4中健衛食第
116号"
,そうざい製造業,,東京都中野区上高田一丁目１４番７号,03-3319-1121,R04/05/23,R04/05/23,R11/05/31
81,東京都中野区上高田三丁目１９番３号,セブンビルＢ１,ＩＲＯＲＩ,山本  亜季,,03-6322-7857,"4中健衛食第
140号"
,飲食店営業,,※※※※※,※※※※※,R04/05/27,R04/05/27,R11/05/31
82,東京都中野区上高田三丁目３８番５号,ＹＬビル地下１階,ラウンジ  さくら,緒方  幸子,,03-6454-0360,"4中健衛食第
128号"
,飲食店営業,,※※※※※,※※※※※,R04/05/27,R04/05/27,R11/05/31
83,東京都中野区上高田三丁目３９番１４号,,マルエツ新井薬師前店,株式会社マルエツ,古瀬  良多,3386-1166,"4中健衛食第
56号"
,飲食店営業,,東京都豊島区東池袋五丁目５１番１２号,03-3590-1110,R04/05/23,R04/05/23,R11/05/31
84,東京都中野区上高田三丁目３９番１４号,,マルエツ新井薬師前店,株式会社マルエツ,古瀬  良多,3386-1166,"4中健衛食第
57号"
,飲食店営業,,東京都豊島区東池袋五丁目５１番１２号,03-3590-1110,R04/05/23,R04/05/23,R11/05/31
85,東京都中野区上高田三丁目３９番１４号,,マルエツ新井薬師前店,株式会社マルエツ,古瀬  良多,3386-1166,"4中健衛食第
58号"
,食肉販売業,,東京都豊島区東池袋五丁目５１番１２号,03-3590-1110,R04/05/23,R04/05/23,R11/05/31
86,東京都中野区上高田三丁目３９番１４号,,マルエツ新井薬師前店,株式会社マルエツ,古瀬  良多,3386-1166,"4中健衛食第
59号"
,魚介類販売業,,東京都豊島区東池袋五丁目５１番１２号,03-3590-1110,R04/05/23,R04/05/23,R11/05/31
87,東京都中野区上高田三丁目４１番７号,薬師駅前協同ビル２０９号室,リズ,合同会社平和,安藤  友則,03-5942-5303,"4中健衛食第
31号"
,飲食店営業,,東京都杉並区荻窪五丁目２９－３初鹿野ビル３階,,R04/04/19,R04/04/19,R11/04/30
88,東京都中野区上高田四丁目１６番２号,,スナック「日登美」,坂本  憲三,,,"4中健衛食第
35号"
,飲食店営業,,※※※※※,※※※※※,R04/04/20,R04/04/20,R10/04/30
89,東京都中野区上高田五丁目４３番１号,グリーンビル２Ｆ右奥,ナカノ  ステレオ,大東  美紀,,03-6454-0634,"4中健衛食第
101号"
,飲食店営業,,※※※※※※※※※※,,R04/05/16,R04/05/16,R11/05/31
90,東京都中野区新井一丁目６番５号,,有限会社満るゐそば店,有限会社満るゐそば店,春原  フサ子,3388-2681,"4中健衛食第
7号"
,飲食店営業,,東京都中野区新井一丁目６番５号,3388-2681,R04/04/12,R04/04/12,R10/04/30
91,東京都中野区新井一丁目６番５号,,寿々秀,鈴木    健次,,3386-2853,"4中健衛食第
30号"
,飲食店営業,,※※※※※,※※※※※,R04/04/12,R04/04/12,R11/04/30
92,東京都中野区新井一丁目１４番１６号,ライオンズマンション中野第五Ｂ１１０,バカルマ,藤井  大輔,,,"4中健衛食第
70号"
,飲食店営業,,※※※※※,,R04/04/27,R04/04/27,R11/04/30
93,東京都中野区新井一丁目１４番１６号,ライオンズマンション中野第５Ｂ１１１,バー  ＮＥＳＴ,株式会社シークエンジン,大司  聡,03-6877-1276,"4中健衛食第
74号"
,飲食店営業,,東京都新宿区西新宿七丁目１番１２号クロスオフィス新宿４Ｆ,03-6877-1276,R04/05/02,R04/05/02,R11/05/31
94,東京都中野区新井二丁目７番１０号,サンファスト中野新井１０６,Ｔｗｉｎ  ａｎｇｅ,阿曽  聡,,,"4中健衛食第
46号"
,飲食店営業,,※※※※※,,R04/05/02,R04/05/02,R11/05/31
95,東京都中野区新井四丁目１９番２６号,中野区立令和小学校内,３６７１中野,株式会社ジーエスエフ,岩東  光男,03-3389-1461,"3中健衛食第
2034号"
,飲食店営業,,東京都新宿区西新宿三丁目２０番２号,03-6276-3875,R04/04/06,R04/04/06,R11/04/30
96,東京都中野区沼袋一丁目３４番４号,ダイアパレス１０３,カラオケバー  ＢＯＳＳ,合同会社ＭＩＫＩ,松原  哉太,,"4中健衛食第
51号"
,飲食店営業,,東京都中野区野方五丁目２５番３号野方ビル２０１,03-6383-0810,R04/04/26,R04/04/26,R10/04/30
97,東京都中野区沼袋一丁目４５番４号,,ペダルチキン,有限会社ＫＪ,林  信宏,,"4中健衛食第
131号"
,飲食店営業,,東京都中野区南台三丁目６番１４－２１ ３号,03-5155-3600,R04/05/26,R04/05/26,R11/05/31
98,東京都中野区沼袋一丁目４５番５号,,株式会社  尾張屋,株式会社尾張屋,堀野  博,3386-4477,"4中健衛食第
105号"
,飲食店営業,,東京都中野区沼袋一丁目４５番５号,03-3386-4477,R04/05/31,R04/05/31,R10/05/31
99,東京都中野区沼袋一丁目４５番５号,,株式会社  尾張屋,株式会社尾張屋,堀野  博,3386-4477,"4中健衛食第
106号"
,豆腐製造業,,東京都中野区沼袋一丁目４５番５号,03-3386-4477,R04/05/31,R04/05/31,R10/05/31
100,東京都中野区沼袋二丁目８番１６号,吉川ビル１Ｆ,エトナ,河野  隆,,03-6454-0970,"4中健衛食第
64号"
,飲食店営業,,※※※※※,,R04/04/26,R04/04/26,R11/04/30
101,東京都中野区沼袋二丁目１７番５号,,松が丘保育園,富士産業株式会社,中村  勝彦,,"3中健衛食第
2023号"
,飲食店営業,,東京都港区新橋五丁目３２番７号,03-5400-6111,R04/04/01,R04/04/01,R11/03/31
102,東京都中野区沼袋二丁目３０番５号,,ＢＡＲ  ＩＮＴＲＥＥ,木内  雅之,,,"4中健衛食第
125号"
,飲食店営業,,※※※※※,,R04/05/20,R04/05/20,R10/05/31
103,東京都中野区沼袋二丁目３３番１３号,,瀬戸の花嫁,石川  直行,,,"4中健衛食第
108号"
,そうざい製造業,,※※※※※,,R04/05/13,R04/05/13,R10/05/31
104,東京都中野区沼袋三丁目５番２号,,そば処  一鬼,川村  一樹,,,"3中健衛食第
1805号"
,飲食店営業,,※※※※※,,R04/05/11,R04/05/11,R10/05/31
105,東京都中野区沼袋四丁目１番１９号,,ＧＬＯＢＡＬ  ＫＩＴＣＨＥＮ ＲＥＳＴＡＵＲＡＮＴ,ＭＩＬＥＳＴＯＮＥ株式会社,パタク  デベソダル,03-5942-7868,"3中健衛食第
2051号"
,飲食店営業,,東京都豊島区北大塚１丁目１９番１２号,,R04/04/04,R04/04/04,R10/04/30
