https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,n処理終了,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,申請-住所1,申請-住所2,申請-マンション名,申請-電話番号1,申請者1,,申請者2,許可年月日,許可期間開始日,許可期間終了日,確認番号,業種,業態,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神奈川県相模原市,緑区青山３１２６－３,,童人夢農場,042-784-0961  ,神奈川県,相模原市緑区青山３１２６－３,,042-784-0961  ,（有）童人夢農場,（代）,梅澤　勉,R04.01.31,R04.01.31,R10.02.13,03-001-0805,飲食店営業,飲食店（客席を設ける営業）,梅澤　智,,143,童人夢農場,042,042-784-0961,,,,神奈川県相模原市　緑区青山３１２６－３,神奈川県相模原市緑区青山３１２６－３,,80583,14,14151,青山,,,2022/01/31,2022/01/31,2028/02/13,（有）童人夢農場,梅澤　勉,042-784-0961  ,神奈川県　相模原市緑区青山３１２６－３,神奈川県相模原市緑区青山３１２６－３,,80583,神奈川県,相模原市緑区,青山,03-001-0805,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,童人夢農場042-784-09618058314151,08b7f226-5dbe-40a2-b8bf-597a64efbfae,有限会社童人夢農場80583,94923d1b-3b30-43ab-b118-f469208d4606,d7398d68-f338-4905-9da9-7c055f0f0702,2022/01/31,童人夢農場,童人夢農場,有限会社童人夢農場
神奈川県相模原市,緑区城山３－９－１３,,ホテル　レイクヒル　シャトウ,042-782-3331  ,神奈川県,相模原市緑区城山３－９－１３,,042-782-3331  ,（有）金井商事,（代）,小坂　光二,R04.01.26,R04.01.26,R10.03.08,03-001-0790,飲食店営業,旅館の経営を兼ねる,小坂　光二,,143,ホテル　レイクヒル　シャトウ,042,042-782-3331,,,,神奈川県相模原市　緑区城山３－９－１３,神奈川県相模原市緑区城山３－９－１３,,80600,14,14151,城山３,,,2022/01/26,2022/01/26,2028/03/08,（有）金井商事,小坂　光二,042-782-3331  ,神奈川県　相模原市緑区城山３－９－１３,神奈川県相模原市緑区城山３－９－１３,,80600,神奈川県,相模原市緑区,城山３,03-001-0790,,飲食店営業, 旅館の経営を兼ねる,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ホテルレイクヒルシャトウ042-782-33318060014151,7e73cbb1-b116-4df9-8919-9fe1c83dc3fb,有限会社金井商事80600,563450a5-3b4f-4f74-940b-51d2037a9b79,3b6000fa-55de-403f-8d58-477ce42cfbb6,2022/01/26,ホテル　レイクヒル　シャトウ,ホテルレイクヒルシャトウ,有限会社金井商事
神奈川県相模原市,緑区若柳９７３－４,,アグリスマイル合同会社,,東京都,八王子市散田町１－１８－１７,,,アグリスマイル合同会社,代表社員,目黒　秀斗,R04.01.20,R04.01.20,R10.01.19,03-001-0777,飲食店営業,飲食店（客席を設ける営業）,目黒　秀斗,,143,アグリスマイル合同会社,042,,,,,神奈川県相模原市　緑区若柳９７３－４,神奈川県相模原市緑区若柳９７３－４,,80672,14,14151,若柳,,,2022/01/20,2022/01/20,2028/01/19,アグリスマイル合同会社,目黒　秀斗,,東京都　八王子市散田町１－１８－１７,東京都八王子市散田町１－１８－１７,,76045,東京都,八王子市,散田町１,03-001-0777,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,アグリスマイル合同会社8067214151,3d55b0b7-18ae-4b2e-a922-021f75106e27,アグリスマイル合同会社76045,5b21425e-ec2b-45ff-8e84-067dc7914a75,e460a924-6f85-4dea-aaee-0b025a044e7b,2022/01/20,アグリスマイル合同会社,アグリスマイル合同会社,アグリスマイル合同会社
神奈川県相模原市,緑区三ケ木１６０４－１,,セブン－イレブン相模原津久井三ケ木店,042-780-2211  ,,,,,清水　幸雄,,,R04.01.24,R04.01.24,R11.02.24,03-001-0782,飲食店営業,コンビニエンスストア,清水　幸雄,,143,セブン－イレブン相模原津久井三ケ木店,042,042-780-2211,,,,神奈川県相模原市　緑区三ケ木１６０４－１,神奈川県相模原市緑区三が木１６０４－１,,80656,14,14151,三が木,,,2022/01/24,2022/01/24,2029/02/24,,清水　幸雄 ,,　,,,,,,,03-001-0782,,飲食店営業, コンビニエンスストア,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,セブンイレブン相模原津久井三ケ木店042-780-22118065614151,00143_5c215c0f-161d-4bcd-85f3-ae2adbf063f2,,personal,079e7090-bedd-4907-9809-d1eb5a0dcb59,2022/01/24,セブンイレブン相模原津久井三ケ木店,セブンイレブン相模原津久井三ケ木店,
神奈川県相模原市,緑区根小屋２４７０,,ワールド開発工業（株）　神奈川営業所　根小屋寮,042-784-9181  ,埼玉県,三郷市中央２－１７－６,,048-954-8188  ,マルワ食品（株）,（代）,宮尾　進,R04.01.13,R04.01.13,R11.01.12,03-001-0768,飲食店営業,給食,宮尾　進,,143,ワールド開発工業（株）　神奈川営業所　根小屋寮,042,042-784-9181,,,,神奈川県相模原市　緑区根小屋２４７０,神奈川県相模原市緑区根小屋２４７０,,80621,14,14151,根小屋,,,2022/01/13,2022/01/13,2029/01/12,マルワ食品（株）,宮尾　進,048-954-8188  ,埼玉県　三郷市中央２－１７－６,埼玉県三郷市中央２－１７－６,,65702,埼玉県,三郷市,中央２,03-001-0768,,飲食店営業, 給食,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,ワルド開発工業株式会社神奈川営業所根小屋寮042-784-91818062114151,1c216b0b-6ab7-400a-a0de-580dc82c5d55,マルワ食品株式会社65702,1bc95c02-d7df-4f42-bdaa-a86f0858afbd,434cddc4-f335-4cc1-b827-764b6bfd0388,2022/01/13,ワールド開発工業株式会社神奈川営業所　根小屋寮,ワルド開発工業株式会社神奈川営業所根小屋寮,マルワ食品株式会社
神奈川県相模原市,緑区向原４－２－３,,スーパーアルプス相模原インター店　ベーカリー,042-783-7166  ,東京都,八王子市滝山町２－３５１,,042-692-2111  ,（株）スーパーアルプス,（代）,松本　英男,R04.01.17,R04.01.17,R10.12.20,03-003-0069,菓子製造業,パン,木代　麻衣,,143,スーパーアルプス相模原インター店　ベーカリー,042,042-783-7166,,,,神奈川県相模原市　緑区向原４－２－３,神奈川県相模原市緑区向原４－２－３,,80660,14,14151,向原４,,,2022/01/17,2022/01/17,2028/12/20,（株）スーパーアルプス,松本　英男,042-692-2111  ,東京都　八王子市滝山町２－３５１,東京都八王子市滝山町２－３５１,,76065,東京都,八王子市,滝山町２,03-003-0069,,菓子製造業, パン,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,E,9,,,スパアルプス相模原インタ店ベカリ042-783-71668066014151,f16115f9-a702-4e82-b3cd-433e258ca416,株式会社スーパーアルプス76065,f331a044-bdcc-4afa-bc23-4f050f499332,711de6b1-20a0-4c82-a821-d4c52d21c61f,2022/01/17,スーパーアルプス相模原インター店　ベーカリー,スパアルプス相模原インタ店ベカリ,株式会社スーパーアルプス
神奈川県相模原市,緑区向原４－２－３,,スーパーアルプス相模原インター店　海産,042-783-7166  ,東京都,八王子市滝山町２－３５１,,042-692-2111  ,（株）スーパーアルプス,（代）,松本　英男,R04.01.17,R04.01.17,R10.12.20,03-014-0027,魚介類販売業,魚介類販売,楢島　靖史,,143,スーパーアルプス相模原インター店　海産,042,042-783-7166,,,,神奈川県相模原市　緑区向原４－２－３,神奈川県相模原市緑区向原４－２－３,,80660,14,14151,向原４,,,2022/01/17,2022/01/17,2028/12/20,（株）スーパーアルプス,松本　英男,042-692-2111  ,東京都　八王子市滝山町２－３５１,東京都八王子市滝山町２－３５１,,76065,東京都,八王子市,滝山町２,03-014-0027,,魚介類販売業, 魚介類販売,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,I,58,,,スパアルプス相模原インタ店海産042-783-71668066014151,73054b02-4909-4266-912a-f499a4701c03,株式会社スーパーアルプス76065,f331a044-bdcc-4afa-bc23-4f050f499332,8fa62ab5-62bd-401c-a591-54567be5b64c,2022/01/17,スーパーアルプス相模原インター店　海産,スパアルプス相模原インタ店海産,株式会社スーパーアルプス
神奈川県相模原市,緑区向原４－２－３,,スーパーアルプス相模原インター店　精肉,042-783-7166  ,東京都,八王子市滝山町２－３５１,,042-692-2111  ,（株）スーパーアルプス,（代）,松本　英男,R04.01.17,R04.01.17,R10.12.20,03-012-0027,食肉販売業,食肉販売,橋本　敬一,,143,スーパーアルプス相模原インター店　精肉,042,042-783-7166,,,,神奈川県相模原市　緑区向原４－２－３,神奈川県相模原市緑区向原４－２－３,,80660,14,14151,向原４,,,2022/01/17,2022/01/17,2028/12/20,（株）スーパーアルプス,松本　英男,042-692-2111  ,東京都　八王子市滝山町２－３５１,東京都八王子市滝山町２－３５１,,76065,東京都,八王子市,滝山町２,03-012-0027,,食肉販売業, 食肉販売,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,I,58,583,,スパアルプス相模原インタ店精肉042-783-71668066014151,6dc3c29d-6b0a-46d6-94b0-5d8b0867fb55,株式会社スーパーアルプス76065,f331a044-bdcc-4afa-bc23-4f050f499332,a129854e-8da3-4d59-9cc0-a07c80221c56,2022/01/17,スーパーアルプス相模原インター店　精肉,スパアルプス相模原インタ店精肉,株式会社スーパーアルプス
神奈川県相模原市,緑区向原４－２－３,,㈱サイゼリヤ　コピオ相模原インター店,042-783-7133  ,埼玉県,吉川市旭２－５,,042-783-7133  ,（株）サイゼリヤ,（代）,正垣　泰彦,R04.01.17,R04.01.17,R11.03.12,03-001-0772,飲食店営業,一般食堂,吉川　正成,,143,㈱サイゼリヤ　コピオ相模原インター店,042,042-783-7133,,,,神奈川県相模原市　緑区向原４－２－３,神奈川県相模原市緑区向原４－２－３,,80660,14,14151,向原４,,,2022/01/17,2022/01/17,2029/03/12,（株）サイゼリヤ,正垣　泰彦,042-783-7133  ,埼玉県　吉川市旭２－５,埼玉県吉川市旭２－５,,66045,埼玉県,吉川市,旭,03-001-0772,,飲食店営業, 一般食堂,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,株式会社サイゼリヤコピオ相模原インタ店042-783-71338066014151,6b48882f-d306-4406-b1ae-175a83d4619a,株式会社サイゼリヤ66045,38c82e7f-aaba-48e5-ac01-405ab28eb24b,e9d8fcf1-ab79-49bd-b574-9c247d607d81,2022/01/17,株式会社サイゼリヤ　コピオ相模原インター店,株式会社サイゼリヤコピオ相模原インタ店,株式会社サイゼリヤ
神奈川県相模原市,緑区橋本５－２８－１９,,亜味庵,,,,,,立之　清子,,,R04.01.06,R04.01.06,R10.01.05,03-001-0750,飲食店営業,飲食店（客席を設ける営業）,立之　清子,,143,亜味庵,042,,,,,神奈川県相模原市　緑区橋本５－２８－１９,神奈川県相模原市緑区橋本５－２８－１９,,80626,14,14151,橋本５,,,2022/01/06,2022/01/06,2028/01/05,,立之　清子 ,,　,,,,,,,03-001-0750,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,亜味庵8062614151,89e75d79-fbe9-4fe5-8c39-b8c59a34f055,,personal,0658354b-558e-4865-9df5-2101084809a8,2022/01/06,亜味庵,亜味庵,
神奈川県相模原市,緑区橋本３－２８－１,ミウィ橋本１階,エバーグリーンカフェ,042-700-7558  ,神奈川県,相模原市緑区橋本４－３－７,,042-771-6902  ,エバーグリーンカフェ（株）,（代）,山本　宏,R04.01.11,R04.01.11,R11.02.18,03-001-0756,飲食店営業,飲食店（客席を設ける営業）,山本　浩司,,143,エバーグリーンカフェ,042,042-700-7558,,,,神奈川県相模原市　緑区橋本３－２８－１,神奈川県相模原市緑区橋本３－２８－１,ミウィ橋本１階,80624,14,14151,橋本３,,,2022/01/11,2022/01/11,2029/02/18,エバーグリーンカフェ（株）,山本　宏,042-771-6902  ,神奈川県　相模原市緑区橋本４－３－７,神奈川県相模原市緑区橋本４－３－７,,80625,神奈川県,相模原市緑区,橋本４,03-001-0756,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,エバグリンカフェ042-700-75588062414151,36cfc4cf-9ebc-46c9-8923-5ecb77488e1d,エバーグリーンカフェ株式会社80625,396a8927-7a94-457c-8c4f-09ef637ab349,398df70e-f8be-45eb-8108-b6c55bf664b9,2022/01/11,エバーグリーンカフェ,エバグリンカフェ,エバーグリーンカフェ株式会社
神奈川県相模原市,緑区橋本３－２８－１,ミウィ橋本７階杜のホール,エバーグリーンカフェ　杜のホール,042-700-7558  ,神奈川県,相模原市緑区橋本４－３－７,,042-771-6902  ,エバーグリーンカフェ（株）,（代）,山本　宏,R04.01.11,R04.01.11,R11.02.18,03-001-0757,飲食店営業,飲食店（客席を設ける営業）,山本　浩司,,143,エバーグリーンカフェ　杜のホール,042,042-700-7558,,,,神奈川県相模原市　緑区橋本３－２８－１,神奈川県相模原市緑区橋本３－２８－１,ミウィ橋本７階杜のホール,80624,14,14151,橋本３,,,2022/01/11,2022/01/11,2029/02/18,エバーグリーンカフェ（株）,山本　宏,042-771-6902  ,神奈川県　相模原市緑区橋本４－３－７,神奈川県相模原市緑区橋本４－３－７,,80625,神奈川県,相模原市緑区,橋本４,03-001-0757,,飲食店営業, 飲食店（客席を設ける営業）,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,エバグリンカフェ杜のホル042-700-75588062414151,7ddc59be-aec6-47f4-a772-783f82a9de5a,エバーグリーンカフェ株式会社80625,396a8927-7a94-457c-8c4f-09ef637ab349,1a72b5e1-47d4-44c6-b7d7-72cf050f2ed3,2022/01/11,エバーグリーンカフェ　杜のホール,エバグリンカフェ杜のホル,エバーグリーンカフェ株式会社
神奈川県相模原市,中央区緑が丘１－１－１４,,キッチンオリジン　緑ヶ丘店,042-753-4667  ,東京都,調布市調布ケ丘１－１８－１,ＫＤＸ調布ビル５階,042-443-6801  ,オリジン東秀（株）,（代）,沢村　弘也,R04.01.24,R04.01.24,R11.02.22,03-001-0788,飲食店営業,弁当屋,曽我　淳子,,143,キッチンオリジン　緑ヶ丘店,042,042-753-4667,,,,神奈川県相模原市　中央区緑が丘１－１－１４,神奈川県相模原市中央区緑が丘１－１－１４,,80788,14,14152,緑が丘１,,,2022/01/24,2022/01/24,2029/02/22,オリジン東秀（株）,沢村　弘也,042-443-6801  ,東京都　調布市調布ケ丘１－１８－１,東京都調布市調布が丘１－１８－１,ＫＤＸ調布ビル５階,76803,東京都,調布市,調布が丘１,03-001-0788,,飲食店営業, 弁当屋,,,143_神奈川県_相模原市保健所_食品衛生(許可-届出)_2022年01月_末日_新規、廃止_1,M,76,,,キッチンオリジン緑ヶ丘店042-753-46678078814152,35e1a956-1285-4378-9432-bc736d1ec57c,オリジン東秀株式会社76803,1dee4e3d-5f6c-4726-b74a-2d736d8f6b89,fb615748-6f9e-4921-a10c-269f97587ba0,2022/01/24,キッチンオリジン　緑ヶ丘店,キッチンオリジン緑ヶ丘店,オリジン東秀株式会社
