https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,,施設所在地,,,施設電話番号,業種,氏名又は法人名,肩書,代表者氏名,連絡先,初回許可年月日,最新許可年月日,申請の別,施設番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｍｉｍｏｓａ,神奈川県,鎌倉市長谷１－１－１４,鎌倉市長谷１－１－１４,,0467-37-5136  ,漬物製造業,片桐　健悟,,,,R04.01.14,R04.01.14,新規施設,第2021-077-0006号,,148,Ｍｉｍｏｓａ,0467,0467-37-5136,,,,神奈川県　鎌倉市長谷１－１－１４,神奈川県鎌倉市長谷１－１－１４,,81580,14,14204,長谷１,,2022/01/14,2022/01/14,,,,片桐　健悟 ,,,,,,,,,第2021-077-0006号,,漬物製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,Ｍｉｍｏｓａ0467-37-51368158014204,2d5837ca-9a83-4d7f-9e7b-00f62b249f66,,personal,1ffa4d79-dc71-40d7-96b9-141ad37a834a,2022/01/14,Ｍｉｍｏｓａ,Ｍｉｍｏｓａ,
ＲＯＯＦＴＯＰＳ,神奈川県,鎌倉市小町１－６－１７鎌倉マークビル６Ｆ,鎌倉市小町１－６－１７,鎌倉マークビル６Ｆ,0467-84-9546  ,そうざい製造業,株式会社ハリヤード,代表取締役,山敷　隆,              ,R04.01.14,R04.01.14,新規施設,第2021-032-0024号,,148,ＲＯＯＦＴＯＰＳ,0467,0467-84-9546,,,,神奈川県　鎌倉市小町１－６－１７,神奈川県鎌倉市小町１－６－１７,鎌倉マークビル６Ｆ,81514,14,14204,小町１,,2022/01/14,2022/01/14,,,株式会社ハリヤード,山敷　隆,,,,,,,,,第2021-032-0024号,,そうざい製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,ＲＯＯＦＴＯＰＳ0467-84-95468151414204,d35858aa-ac77-4c57-ba80-b81ca9ca467a,株式会社ハリヤード,ebb89533-29dd-4e5c-95f8-cd703fffc236,e2c69517-1089-415c-9b01-a0e8b1caddfa,2022/01/14,ＲＯＯＦＴＯＰＳ,ＲＯＯＦＴＯＰＳ,株式会社ハリヤード
ｆｕｒｕｉｒｅｌ,神奈川県,鎌倉市山崎１０７８カマラード天神下１０１,鎌倉市山崎１０７８,カマラード天神下１０１,,菓子製造業,永野　里奈,,,,R04.01.17,R04.01.17,新規施設,第2021-003-0096号,,148,ｆｕｒｕｉｒｅｌ,0467,,,,,神奈川県　鎌倉市山崎１０７８,神奈川県鎌倉市山崎１０７８,カマラード天神下１０１,81592,14,14204,山崎,,2022/01/17,2022/01/17,,,,永野　里奈 ,,,,,,,,,第2021-003-0096号,,菓子製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,ｆｕｒｕｉｒｅｌ8159214204,eb4d6eda-25f7-43db-b543-f3e7ce3f9636,,personal,ea4b9348-1efd-41d8-9738-f7d67dac5800,2022/01/17,ｆｕｒｕｉｒｅｌ,ｆｕｒｕｉｒｅｌ,
山森ファーム,神奈川県,鎌倉市関谷３３２,鎌倉市関谷３３２,,0467-46-4012  ,漬物製造業,山森　金雄,,,,R04.01.18,R04.01.18,新規施設,第2021-077-0004号,,148,山森ファーム,0467,0467-46-4012,,,,神奈川県　鎌倉市関谷３３２,神奈川県鎌倉市関谷３３２,,81546,14,14204,関谷,,2022/01/18,2022/01/18,,,,山森　金雄 ,,,,,,,,,第2021-077-0004号,,漬物製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,山森ファム0467-46-40128154614204,0dfc5685-bb3d-47d3-8269-6f5219587441,,personal,01ee7a74-65de-4c8a-87a5-fea1b0259edd,2022/01/18,山森ファーム,山森ファム,
イシイ,神奈川県,三浦郡葉山町上山口１２６０,三浦郡葉山町上山口１２６０,,              ,漬物製造業,石井　健治,,,,R04.01.19,R04.01.19,新規施設,第2021-077-0005号,,148,イシイ,046,,,,,神奈川県　三浦郡葉山町上山口１２６０,神奈川県三浦郡葉山町上山口１２６０,,82943,14,14301,上山口,,2022/01/19,2022/01/19,,,,石井　健治 ,,,,,,,,,第2021-077-0005号,,漬物製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,イシイ8294314301,c3390c6a-566a-4f94-b2fd-1611930c1e00,,personal,72bc9f41-b7ff-4662-baf4-85ce91957d01,2022/01/19,イシイ,イシイ,
Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,神奈川県,三浦郡葉山町長柄１５９９－１葉山ファクトリー,三浦郡葉山町長柄１５９９－１,葉山ファクトリー,              ,飲食店営業,小野　勝秋,,,,R04.01.19,R04.01.19,新規施設,第2021-001-0520号,,148,Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,046,,,,,神奈川県　三浦郡葉山町長柄１５９９－１,神奈川県三浦郡葉山町長柄１５９９－１,葉山ファクトリー,82946,14,14301,長柄,,2022/01/19,2022/01/19,,,,小野　勝秋 ,,,,,,,,,第2021-001-0520号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ＣｏｆｆｅｅＲａｎｇｅｒ8294614301,af4a4839-860d-4b6c-9b2d-e2e830920acd,,personal,f09729e5-7e69-493e-aa96-8ad609827891,2022/01/19,Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,ＣｏｆｆｅｅＲａｎｇｅｒ,
Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,神奈川県,三浦郡葉山町長柄１５９９－１葉山ファクトリー,三浦郡葉山町長柄１５９９－１,葉山ファクトリー,              ,菓子製造業,小野　勝秋,,,,R04.01.19,R04.01.19,新規施設,第2021-003-0092号,,148,Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,046,,,,,神奈川県　三浦郡葉山町長柄１５９９－１,神奈川県三浦郡葉山町長柄１５９９－１,葉山ファクトリー,82946,14,14301,長柄,,2022/01/19,2022/01/19,,,,小野　勝秋 ,,,,,,,,,第2021-003-0092号,,菓子製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,ＣｏｆｆｅｅＲａｎｇｅｒ8294614301,af4a4839-860d-4b6c-9b2d-e2e830920acd,,personal,5e8d3aa6-be4d-4e87-9611-5ad9b3e17f3b,2022/01/19,Ｃｏｆｆｅｅ　Ｒａｎｇｅｒ,ＣｏｆｆｅｅＲａｎｇｅｒ,
Ｖｅｇｇｙ　ｓｔｙｌｅ,神奈川県,鎌倉市大船１－１８－１１ＭＣＨオオフナ　１－Ｃ,鎌倉市大船１－１８－１１,ＭＣＨオオフナ　１－Ｃ,              ,飲食店営業,髙橋　博文,,,,R04.01.20,R04.01.20,新規施設,第2021-001-0531号,,148,Ｖｅｇｇｙ　ｓｔｙｌｅ,0467,,,,,神奈川県　鎌倉市大船１－１８－１１,神奈川県鎌倉市大船１－１８－１１,ＭＣＨオオフナ　１－Ｃ,81481,14,14204,大船１,,2022/01/20,2022/01/20,,,,髙橋　博文 ,,,,,,,,,第2021-001-0531号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,Ｖｅｇｇｙｓｔｙｌｅ8148114204,e7dd8fa6-93c5-4b85-a9da-5232391f7cd9,,personal,e4badf68-a275-4bb6-9c89-82754aaf9f92,2022/01/20,Ｖｅｇｇｙ　ｓｔｙｌｅ,Ｖｅｇｇｙｓｔｙｌｅ,
鎌倉チュロス,神奈川県,鎌倉市小町２－８－１６鶴ヶ岡会館第２ビル　１０５,鎌倉市小町２－８－１６,鶴ヶ岡会館第２ビル １０５,              ,飲食店営業,株式会社ＮＯＤＤＡインターナショナル,代表取締役,野田　信夫,              ,R04.01.21,R04.01.21,新規施設,第2021-001-0536号,,148,鎌倉チュロス,0467,,,,,神奈川県　鎌倉市小町２－８－１６,神奈川県鎌倉市小町２－８－１６,鶴ヶ岡会館第２ビル １０５,81515,14,14204,小町２,,2022/01/21,2022/01/21,,,株式会社ＮＯＤＤＡインターナショナル,野田　信夫,,,,,,,,,第2021-001-0536号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,鎌倉チュロス8151514204,0ce4a9fd-4ecb-48a2-ae14-c570a266d655,株式会社ＮＯＤＤＡインターナショナル,23958290-ba45-468d-bb97-9b2da93248fe,5e58067c-7cf3-4f1e-bfa5-93ba0d3762ca,2022/01/21,鎌倉チュロス,鎌倉チュロス,株式会社ＮＯＤＤＡインターナショナル
鎌倉餃子「天山」,神奈川県,鎌倉市由比ガ浜３－３－２５,鎌倉市由比ガ浜３－３－２５,,0467-60-4007  ,飲食店営業,株式会社ＴＵＴＥＴＯＮＳ,代表取締役,北野　秀典,0467-60-4007  ,R04.01.21,R04.01.21,新規施設,第2021-001-0537号,,148,鎌倉餃子「天山」,0467,0467-60-4007,,,,神奈川県　鎌倉市由比ガ浜３－３－２５,神奈川県鎌倉市由比ガ浜３－３－２５,,81596,14,14204,由比ガ浜３,,2022/01/21,2022/01/21,,,株式会社ＴＵＴＥＴＯＮＳ,北野　秀典,0467-60-4007  ,,,,,,,,第2021-001-0537号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,鎌倉餃子天山0467-60-40078159614204,589ce574-fda6-4810-807c-83557d6bc318,株式会社ＴＵＴＥＴＯＮＳ,a3647d46-adad-4248-93f7-915adc49713f,d43aa159-00b2-48b2-9f32-f1afbb2ba127,2022/01/21,鎌倉餃子「天山」,鎌倉餃子天山,株式会社ＴＵＴＥＴＯＮＳ
居酒屋　杉,神奈川県,鎌倉市腰越４－３－２２,鎌倉市腰越４－３－２２,,0467-31-0230  ,飲食店営業,上杉　明美,,,,R04.01.24,R04.01.24,新規施設,第2021-001-0504号,,148,居酒屋　杉,0467,0467-31-0230,,,,神奈川県　鎌倉市腰越４－３－２２,神奈川県鎌倉市腰越４－３－２２,,81509,14,14204,腰越４,,2022/01/24,2022/01/24,,,,上杉　明美 ,,,,,,,,,第2021-001-0504号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,居酒屋杉0467-31-02308150914204,b8be0c48-f207-4525-9681-5cfedf2a12ee,,personal,f8162697-97bb-4ee7-a5f6-132aa7ea03ce,2022/01/24,居酒屋　杉,居酒屋杉,
ファミリーマート逗子インター店,神奈川県,逗子市沼間６－６－３,逗子市沼間６－６－３,,              ,飲食店営業,株式会社プログレス,代表取締役,湊　祐次郎,045-790-3621  ,R04.01.24,R04.01.24,新規施設,第2021-001-0509号,,148,ファミリーマート逗子インター店,046,,,,,神奈川県　逗子市沼間６－６－３,神奈川県逗子市沼間６－６－３,,82127,14,14208,沼間６,,2022/01/24,2022/01/24,,,株式会社プログレス,湊　祐次郎,045-790-3621  ,,,,,,,,第2021-001-0509号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,ファミリマト逗子インタ店8212714208,42dd4f4b-11f9-4895-a90f-45c56c767495,株式会社プログレス,327e944b-6f4b-4650-a820-598b101d0b3f,a168c983-2624-43e6-8556-7d8193072df8,2022/01/24,ファミリーマート逗子インター店,ファミリマト逗子インタ店,株式会社プログレス
サンドキャッスル,神奈川県,鎌倉市大船１－２０－４河合プラザ４０５,鎌倉市大船１－２０－４,河合プラザ４０５,0467-33-5445  ,飲食店営業,森山　桂多,,,,R04.01.25,R04.01.25,新規施設,第2021-001-0532号,,148,サンドキャッスル,0467,0467-33-5445,,,,神奈川県　鎌倉市大船１－２０－４,神奈川県鎌倉市大船１－２０－４,河合プラザ４０５,81481,14,14204,大船１,,2022/01/25,2022/01/25,,,,森山　桂多 ,,,,,,,,,第2021-001-0532号,,飲食店営業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,M,76,,,サンドキャッスル0467-33-54458148114204,da82ff24-1369-4a81-b6db-13fc24e13a01,,personal,3bbca6b6-ae90-4a60-ab58-923e265b9611,2022/01/25,サンドキャッスル,サンドキャッスル,
Ｍｉｍｏｓａ,神奈川県,鎌倉市長谷１－１－１４,鎌倉市長谷１－１－１４,,0467-37-5136  ,食肉製品製造業,片桐　健悟,,,,R04.01.26,R04.01.26,新規施設,第2021-013-0001号,,148,Ｍｉｍｏｓａ,0467,0467-37-5136,,,,神奈川県　鎌倉市長谷１－１－１４,神奈川県鎌倉市長谷１－１－１４,,81580,14,14204,長谷１,,2022/01/26,2022/01/26,,,,片桐　健悟 ,,,,,,,,,第2021-013-0001号,,食肉製品製造業,,新規施設,,148_神奈川県_鎌倉保健福祉事務所_食品衛生()_2021年12月-2022年01月_末日_新規、廃止,E,9,,,Ｍｉｍｏｓａ0467-37-51368158014204,2d5837ca-9a83-4d7f-9e7b-00f62b249f66,,personal,60c3b5bb-0fb2-4cf8-ae45-1755160a680a,2022/01/26,Ｍｉｍｏｓａ,Ｍｉｍｏｓａ,
