,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
414,菓子製造業,,月白茶菓,高崎市並榎町147,高崎市並榎町１４７,,,吉井 美晴,,高崎市上中居町791-1,,常設,R04/07/06,R04/07/06,R11/03/31,,高崎市保健所,月白茶菓,027,,,,,高崎市並榎町１４７,群馬県高崎市並榎町１４７,,60148,群馬県,高崎市,並榎町,,2022/07/06,,2022/07/06,2029/03/31,,吉井 美晴,,高崎市上中居町791-1,群馬県高崎市上中居町７９１－１,,60070,群馬県,高崎市,上中居町,414,,菓子製造業,,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,月白茶菓,月白茶菓,,,2,,,,,
552,飲食店営業,一般飲食店,ルフマート,高崎市田町53-2 snark2F,高崎市田町５３－２,snark２F,027-335-8835,CM2 MAKERS株式会社,平方 宜昭,高崎市矢中町315-6,027-388-9135,常設,R04/07/06,R04/07/06,R11/03/31,,高崎市保健所,ルフマート,027,027-335-8835,,,,高崎市田町５３－２,群馬県高崎市田町５３－２,snark２F,60125,群馬県,高崎市,田町,,2022/07/06,,2022/07/06,2029/03/31,CM2 MAKERS株式会社,平方 宜昭,027-388-9135,高崎市矢中町315-6,群馬県高崎市矢中町３１５－６,,60180,群馬県,高崎市,矢中町,552,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ルフマート,ルフマト,ＣＭ２　ＭＡＫＥＲＳ株式会社,,1,,,,,
553,飲食店営業,喫茶,虎屋Cafe.,高崎市八島町46-1 3F,高崎市八島町４６－１,３F,027-321-8111,有限会社虎屋本店,小林 秀行,藤岡市藤岡138,0274-22-0118,常設,R04/07/06,R04/07/06,R10/12/31,,高崎市保健所,虎屋Cafe.,027,027-321-8111,,,,高崎市八島町４６－１,群馬県高崎市八島町４６－１,３F,60174,群馬県,高崎市,八島町,,2022/07/06,,2022/07/06,2028/12/31,有限会社虎屋本店,小林 秀行,0274-22-0118,藤岡市藤岡138,群馬県藤岡市藤岡１３８,,60942,群馬県,藤岡市,藤岡,553,,飲食店営業, 喫茶,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,虎屋Ｃａｆｅ．,虎屋Ｃａｆｅ,有限会社虎屋本店,,1,,,,,
554,飲食店営業,大衆酒場,ロツレ,高崎市通町129,高崎市通町１２９,,,佐山 五郎,,高崎市片岡町3-2293-1,,常設,R04/07/06,R04/07/06,R10/12/31,,高崎市保健所,ロツレ,027,,,,,高崎市通町１２９,群馬県高崎市通町１２９,,60133,群馬県,高崎市,通町,,2022/07/06,,2022/07/06,2028/12/31,,佐山 五郎,,高崎市片岡町3-2293-1,群馬県高崎市片岡町３－２２９３－１,,60061,群馬県,高崎市,片岡町３,554,,飲食店営業, 大衆酒場,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ロツレ,ロツレ,,,1,,,,,
555,飲食店営業,自動車営業,C2U,高崎市内一円,高崎市内一円,,,橋爪 香苗,,埼玉県深谷市本住町12-17 ｱﾘｰﾗｵﾑ104号,,常設,R04/07/08,R04/07/08,R10/06/30,,高崎市保健所,C2U,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/08,,2022/07/08,2028/06/30,,橋爪 香苗,,埼玉県深谷市本住町12-17 ｱﾘｰﾗｵﾑ104号,埼玉県深谷市本住町１２－１７ｱﾘｰﾗｵﾑ１０４号,,64202,埼玉県,深谷市,本住町,555,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃ２Ｕ,Ｃ２Ｕ,,,1,,,,,
556,飲食店営業,自動車営業,サンリオカフェワゴン「サンリオクレープ号」,高崎市内一円,高崎市内一円,,,合同会社momo,澤尾 桃子,高崎市棟高町1400,027-310-9164,常設,R04/07/12,R04/07/12,R10/06/30,,高崎市保健所,サンリオカフェワゴン「サンリオクレープ号」,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/12,,2022/07/12,2028/06/30,合同会社momo,澤尾 桃子,027-310-9164,高崎市棟高町1400,群馬県高崎市棟高町１４００,,60249,群馬県,高崎市,棟高町,556,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サンリオカフェワゴン「サンリオクレープ号」,サンリオカフェワゴンサンリオクレプ号,合同会社ｍｏｍｏ,,1,,,,,
557,飲食店営業,コンビニエンスストア,ファミリーマート高崎江木町,高崎市江木町328-4,高崎市江木町３２８－４,,,宮崎 仁志,,高崎市金古町1586-10 ｴﾙ･ﾃﾞｺｰﾙA102号室,,常設,R04/07/13,R04/07/13,R10/12/31,,高崎市保健所,ファミリーマート高崎江木町,027,,,,,高崎市江木町３２８－４,群馬県高崎市江木町３２８－４,,60052,群馬県,高崎市,江木町,,2022/07/13,,2022/07/13,2028/12/31,,宮崎 仁志,,高崎市金古町1586-10 ｴﾙ･ﾃﾞｺｰﾙA102号室,群馬県高崎市金古町１５８６－１０ｴﾙ･ﾃﾞｺｰﾙA１０２号室,,60215,群馬県,高崎市,金古町,557,,飲食店営業, コンビニエンスストア,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート高崎江木町,ファミリマト高崎江木町,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
558,飲食店営業,一般飲食店,ハンバーグるぅ,高崎市問屋町西1-6-8 Akutsu city問屋町1A,高崎市問屋町西１－６－８,Akutsu city問屋町１A,,清水 美津治,,高崎市下里見町484-1,,常設,R04/07/13,R04/07/13,R11/06/30,,高崎市保健所,ハンバーグるぅ,027,,,,,高崎市問屋町西１－６－８,群馬県高崎市問屋町西１－６－８,Akutsu city問屋町１A,60198,群馬県,高崎市,問屋町西１,,2022/07/13,,2022/07/13,2029/06/30,,清水 美津治,,高崎市下里見町484-1,群馬県高崎市下里見町４８４－１,,60254,群馬県,高崎市,下里見町,558,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ハンバーグるぅ,ハンバグるぅ,,,1,,,,,
559,飲食店営業,レストラン,Cafe Oakmont,高崎市問屋町西1-4-1,高崎市問屋町西１－４－１,,,木村 卓磨,,前橋市西大室町499,,常設,R04/07/13,R04/07/13,R11/06/30,,高崎市保健所,Cafe Oakmont,027,,,,,高崎市問屋町西１－４－１,群馬県高崎市問屋町西１－４－１,,60198,群馬県,高崎市,問屋町西１,,2022/07/13,,2022/07/13,2029/06/30,,木村 卓磨,,前橋市西大室町499,群馬県前橋市西大室町４９９,,59920,群馬県,前橋市,西大室町,559,,飲食店営業, レストラン,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｆｅ　Ｏａｋｍｏｎｔ,ＣａｆｅＯａｋｍｏｎｔ,,,1,,,,,
560,飲食店営業,スナック,club PR 432,高崎市柳川町39 STBﾋﾞﾙⅡ202号,高崎市柳川町３９,STBﾋﾞﾙⅡ２０２号,027-386-4302,KABE ELIZABETH APANG,,高崎市剣崎町810-18,,常設,R04/07/13,R04/07/13,R11/03/31,,高崎市保健所,club PR 432,027,027-386-4302,,,,高崎市柳川町３９,群馬県高崎市柳川町３９,STBﾋﾞﾙⅡ２０２号,60181,群馬県,高崎市,柳川町,,2022/07/13,,2022/07/13,2029/03/31,,KABE ELIZABETH APANG,,高崎市剣崎町810-18,群馬県高崎市剣崎町８１０－１８,,60083,群馬県,高崎市,剣崎町,560,,飲食店営業, スナック,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｃｌｕｂ　ＰＲ　４３２,ｃｌｕｂＰＲ４３２,,,1,,,,,
561,飲食店営業,一般飲食店,宮石青果店　連雀町,高崎市連雀町35,高崎市連雀町３５,,027-384-3413,三朋企業株式会社,宮石 喜康,高崎市宮沢町1793-1,027-374-2020,常設,R04/07/13,R04/07/13,R10/12/31,,高崎市保健所,宮石青果店　連雀町,027,027-384-3413,,,,高崎市連雀町３５,群馬県高崎市連雀町３５,,60191,群馬県,高崎市,連雀町,,2022/07/13,,2022/07/13,2028/12/31,三朋企業株式会社,宮石 喜康,027-374-2020,高崎市宮沢町1793-1,群馬県高崎市宮沢町１７９３－１,,60265,群馬県,高崎市,宮沢町,561,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,宮石青果店　連雀町,宮石青果店連雀町,三朋企業株式会社,,1,,,,,
562,飲食店営業,レストラン,ライタイ,高崎市東町28 ｺｰﾎﾟﾗｽ高崎101号,高崎市東町２８,ｺｰﾎﾟﾗｽ高崎１０１号,,株式会社ライタイ,清水 康之,高崎市東町28,,常設,R04/07/13,R04/07/13,R10/12/31,,高崎市保健所,ライタイ,027,,,,,高崎市東町２８,群馬県高崎市東町２８,ｺｰﾎﾟﾗｽ高崎１０１号,60041,群馬県,高崎市,東町,,2022/07/13,,2022/07/13,2028/12/31,株式会社ライタイ,清水 康之,,高崎市東町28,群馬県高崎市東町２８,,60041,群馬県,高崎市,東町,562,,飲食店営業, レストラン,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ライタイ,ライタイ,株式会社ライタイ,,1,,,,,
563,飲食店営業,専門料理店,中華料理　茘枝,高崎市通町4 高崎ﾌﾟﾗｻﾞﾋﾞﾙ2F,高崎市通町４,高崎ﾌﾟﾗｻﾞﾋﾞﾙ２F,,藤井 篤志,,千葉県成田市本城14-59,,常設,R04/07/14,R04/07/14,R10/12/31,,高崎市保健所,中華料理　茘枝,027,,,,,高崎市通町４,群馬県高崎市通町４,高崎ﾌﾟﾗｻﾞﾋﾞﾙ２F,60133,群馬県,高崎市,通町,,2022/07/14,,2022/07/14,2028/12/31,,藤井 篤志,,千葉県成田市本城14-59,千葉県成田市本城１４－５９,,69071,千葉県,成田市,本城,563,,飲食店営業, 専門料理店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,中華料理　茘枝,中華料理茘枝,,,1,,,,,
564,飲食店営業,自動車営業,Cafe de La・costa MOKO,高崎市内一円,高崎市内一円,,027-324-6686,株式会社K・Tアーツ,塚田 恭平,高崎市石原町3548-62,027-324-6686,常設,R04/07/14,R04/07/14,R10/06/30,,高崎市保健所,Cafe de La・costa MOKO,,027-324-6686,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/14,,2022/07/14,2028/06/30,株式会社K・Tアーツ,塚田 恭平,027-324-6686,高崎市石原町3548-62,群馬県高崎市石原町３５４８－６２,,60045,群馬県,高崎市,石原町,564,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｆｅ　ｄｅ　Ｌａ・ｃｏｓｔａ　ＭＯＫＯ,ＣａｆｅｄｅＬａｃｏｓｔａＭＯＫＯ,株式会社Ｋ・Ｔアーツ,,1,,,,,
565,飲食店営業,自動車営業,西山農園,高崎市内一円,高崎市内一円,,,西山 真理子,,高崎市中室田町237-1,,常設,R04/07/15,R04/07/15,R10/06/30,,高崎市保健所,西山農園,,,,,,高崎市内一円,群馬県高崎市内一円,,60036,群馬県,高崎市,,,2022/07/15,,2022/07/15,2028/06/30,,西山 真理子,,高崎市中室田町237-1,群馬県高崎市中室田町２３７－１,,60260,群馬県,高崎市,中室田町,565,,飲食店営業, 自動車営業,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,西山農園,西山農園,,,1,,,,,
566,飲食店営業,喫茶,中里見農園,高崎市下里見町1138,高崎市下里見町１１３８,,,中里見 若葉,,高崎市中里見町1244-2,,常設,R04/07/15,R04/07/15,R11/06/30,,高崎市保健所,中里見農園,027,,,,,高崎市下里見町１１３８,群馬県高崎市下里見町１１３８,,60254,群馬県,高崎市,下里見町,,2022/07/15,,2022/07/15,2029/06/30,,中里見 若葉,,高崎市中里見町1244-2,群馬県高崎市中里見町１２４４－２,,60259,群馬県,高崎市,中里見町,566,,飲食店営業, 喫茶,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,中里見農園,中里見農園,,,1,,,,,
567,飲食店営業,めん類,麺屋　博多弁天堂,高崎市棟高町1400 ｲｵﾝﾓｰﾙ高崎3F,高崎市棟高町１４００,ｲｵﾝﾓｰﾙ高崎３F,027-388-9554,株式会社ジェイ.アーク,原野 高志,福岡県福岡市中央区舞鶴1-1-10  天神ｼﾙﾊﾞｰﾋﾞﾙ,092-938-2707,常設,R04/07/19,R04/07/19,R10/12/31,,高崎市保健所,麺屋　博多弁天堂,027,027-388-9554,,,,高崎市棟高町１４００,群馬県高崎市棟高町１４００,ｲｵﾝﾓｰﾙ高崎３F,60249,群馬県,高崎市,棟高町,,2022/07/19,,2022/07/19,2028/12/31,株式会社ジェイ.アーク,原野 高志,092-938-2707,福岡県福岡市中央区舞鶴1-1-10  天神ｼﾙﾊﾞｰﾋﾞﾙ,福岡県福岡市中央区舞鶴１－１－１０天神ｼﾙﾊﾞｰﾋﾞﾙ,,200337,福岡県,福岡市中央区,舞鶴１,567,,飲食店営業, めん類,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺屋　博多弁天堂,麺屋博多弁天堂,株式会社ジェイ．アーク,,1,,,,,
569,飲食店営業,コンビニエンスストア,セブン-イレブン高崎中尾町店,高崎市中尾町394-2,高崎市中尾町３９４－２,,,町田 晃志,,前橋市富士見町小暮2251-19,,常設,R04/07/20,R04/07/20,R11/06/30,,高崎市保健所,セブン-イレブン高崎中尾町店,027,,,,,高崎市中尾町３９４－２,群馬県高崎市中尾町３９４－２,,60144,群馬県,高崎市,中尾町,,2022/07/20,,2022/07/20,2029/06/30,,町田 晃志,,前橋市富士見町小暮2251-19,群馬県前橋市富士見町小暮２２５１－１９,,60027,群馬県,前橋市,富士見町小暮,569,,飲食店営業, コンビニエンスストア,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン高崎中尾町店,セブンイレブン高崎中尾町店,,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
570,飲食店営業,一般飲食店,CIRCUIT & DINING ひなさんち,高崎市石原町3183-10,高崎市石原町３１８３－１０,,,反町 彰吾,,高崎市西島町433-1,,常設,R04/07/20,R04/07/20,R10/09/30,,高崎市保健所,CIRCUIT & DINING ひなさんち,027,,,,,高崎市石原町３１８３－１０,群馬県高崎市石原町３１８３－１０,,60045,群馬県,高崎市,石原町,,2022/07/20,,2022/07/20,2028/09/30,,反町 彰吾,,高崎市西島町433-1,群馬県高崎市西島町４３３－１,,60150,群馬県,高崎市,西島町,570,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣＩＲＣＵＩＴ　＆　ＤＩＮＩＮＧ　ひなさんち,ＣＩＲＣＵＩＴＤＩＮＩＮＧひなさんち,,,1,,,,,
571,飲食店営業,一般飲食店,チャイニーズパブ　夜来香,高崎市嘉多町23-6 丸美ﾋﾞﾙ3F,高崎市嘉多町２３－６,丸美ﾋﾞﾙ３F,,邵 燕萍,,高崎市九蔵町35-12,,常設,R04/07/20,R04/07/20,R11/03/31,,高崎市保健所,チャイニーズパブ　夜来香,027,,,,,高崎市嘉多町２３－６,群馬県高崎市嘉多町２３－６,丸美ﾋﾞﾙ３F,60062,群馬県,高崎市,嘉多町,,2022/07/20,,2022/07/20,2029/03/31,,邵 燕萍,,高崎市九蔵町35-12,群馬県高崎市九蔵町３５－１２,,60080,群馬県,高崎市,九蔵町,571,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,チャイニーズパブ　夜来香,チャイニズパブ夜来香,,,1,,,,,
572,飲食店営業,一般飲食店,とろり天使のわらびもち　高崎駅前店,高崎市通町93-3,高崎市通町９３－３,,027-395-4004,株式会社crea,阪上 馨,伊勢崎市今泉町2-821-8,0270-22-3810,常設,R04/07/20,R04/07/20,R10/12/31,,高崎市保健所,とろり天使のわらびもち　高崎駅前店,027,027-395-4004,,,,高崎市通町９３－３,群馬県高崎市通町９３－３,,60133,群馬県,高崎市,通町,,2022/07/20,,2022/07/20,2028/12/31,株式会社crea,阪上 馨,0270-22-3810,伊勢崎市今泉町2-821-8,群馬県伊勢崎市今泉町２－８２１－８,,60422,群馬県,伊勢崎市,今泉町２,572,,飲食店営業, 一般飲食店,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,とろり天使のわらびもち　高崎駅前店,とろり天使のわらびもち高崎駅前店,株式会社ｃｒｅａ,,2,,,,,
573,菓子製造業,,とろり天使のわらびもち　高崎駅前店,高崎市通町93-3,高崎市通町９３－３,,027-395-4004,株式会社crea,阪上 馨,伊勢崎市今泉町2-821-8,0270-22-3810,常設,R04/07/20,R04/07/20,R10/12/31,,高崎市保健所,とろり天使のわらびもち　高崎駅前店,027,027-395-4004,,,,高崎市通町９３－３,群馬県高崎市通町９３－３,,60133,群馬県,高崎市,通町,,2022/07/20,,2022/07/20,2028/12/31,株式会社crea,阪上 馨,0270-22-3810,伊勢崎市今泉町2-821-8,群馬県伊勢崎市今泉町２－８２１－８,,60422,群馬県,伊勢崎市,今泉町２,573,,菓子製造業,,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,とろり天使のわらびもち　高崎駅前店,とろり天使のわらびもち高崎駅前店,株式会社ｃｒｅａ,,2,,,,,
574,飲食店営業,カフェ・バー・キャバレー,THE VIEW,高崎市中紺屋町27,高崎市中紺屋町２７,,,酒井 健太,,伊勢崎市下植木町412-2 ﾚｵﾆｰﾙB206,,常設,R04/07/20,R04/07/20,R11/03/31,,高崎市保健所,THE VIEW,027,,,,,高崎市中紺屋町２７,群馬県高崎市中紺屋町２７,,60145,群馬県,高崎市,中紺屋町,,2022/07/20,,2022/07/20,2029/03/31,,酒井 健太,,伊勢崎市下植木町412-2 ﾚｵﾆｰﾙB206,群馬県伊勢崎市下植木町４１２－２ﾚｵﾆｰﾙB２０６,,60442,群馬県,伊勢崎市,下植木町,574,,飲食店営業, カフェ・バー・キャバレー,常設,,114_群馬県_高崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＨＥ　ＶＩＥＷ,ＴＨＥＶＩＥＷ,,,1,,,,,
