https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,,申請者2,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名,施設の住所,,,,施設の電話番号※,業種,営業者氏名,代表職,代表者氏名,営業者の電話番号※,初回の許可年月日,最新の許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ＤＳ,豊橋市岩屋町字岩屋下６２番地１３  ドリーム・プラザ（１－Ｇ）,愛知県,豊橋市岩屋町字岩屋下６２番地１３,ドリーム・プラザ（１－Ｇ）,41-9274,そうざい製造業,株式会社　Ｄｉｖｅｒｓｉｔｙ　Ｓｔｙｌｅ,代表取締役,城下　智慧美,41-9274,2021/12/14,2021/12/14,豊橋市指令3豊保生第135－20号,,246,ＤＳ,0532,0532-41-9274,,,,愛知県　豊橋市岩屋町字岩屋下６２番地１３,愛知県豊橋市岩屋町字岩屋下６２番地１３,ドリーム・プラザ（１－Ｇ）,117680,23,23201,岩屋町,,2021/12/14,2021/12/14,,,株式会社　Ｄｉｖｅｒｓｉｔｙ　Ｓｔｙｌｅ,城下　智慧美,0532-41-9274,,,,,,,,豊橋市指令3豊保生第135－20号,,そうざい製造業,,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ＤＳ0532-41-927411768023201,6e8d26e2-0dd8-420a-8c20-db1a4b830131,株式会社Ｄｉｖｅｒｓｉｔｙ　Ｓｔｙｌｅ,0b0f753a-2959-4089-9dc5-238fc7db3e7e,1ba8f4c7-1930-4b2b-bd0b-bc585cb5e27e,2021/12/14,ＤＳ,ＤＳ,株式会社Ｄｉｖｅｒｓｉｔｙ　Ｓｔｙｌｅ
ＧＲＡＮＤＩＲ,豊橋市松葉町一丁目８８番地  大幸ビル２階,愛知県,豊橋市松葉町１丁目８８番地, 大幸ビル２階,56-3078,飲食店営業(簡易な営業),株式会社　ＬＯＧＯＳ,代表取締役,鈴木　智勝,54-7725,2021/12/2,2021/12/2,豊橋市指令3豊保生第111－350号,,246,ＧＲＡＮＤＩＲ,0532,0532-56-3078,,,,愛知県　豊橋市松葉町１丁目８８番地,愛知県豊橋市松葉町１丁目８８番地, 大幸ビル２階,117909,23,23201,松葉町１,,2021/12/02,2021/12/02,,,株式会社　ＬＯＧＯＳ,鈴木　智勝,0532-54-7725,,,,,,,,豊橋市指令3豊保生第111－350号,,飲食店営業,簡易な営業,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＧＲＡＮＤＩＲ0532-56-307811790923201,00246_b9cd44fe-5005-4969-b24b-b234b5d7eba1,株式会社ＬＯＧＯＳ,c8a102a4-4ffe-4517-a5e0-5c380063ec48,93eb3502-6f38-496a-b2d4-a34a4e7289dc,2021/12/02,ＧＲＡＮＤＩＲ,ＧＲＡＮＤＩＲ,株式会社ＬＯＧＯＳ
ＨＶＦＯＯＤ　ベトナム料理　豊橋駅店,豊橋市駅前大通二丁目３０番地１,愛知県,豊橋市駅前大通２丁目３０番地１,,,飲食店営業(一般食堂・レストラン等),株式会社　ＳＡＮ　ＰＨＡＭ　ＶＩＥＴ,代表取締役,チン　スアン　ヴウ,0566-68-0089,2021/6/25,2021/6/25,豊橋市指令3豊保生第111－36号,,246,ＨＶＦＯＯＤ　ベトナム料理　豊橋駅店,0532,,,,,愛知県　豊橋市駅前大通２丁目３０番地１,愛知県豊橋市駅前大通２丁目３０番地１,,117691,23,23201,駅前大通２,,2021/06/25,2021/06/25,,,株式会社　ＳＡＮ　ＰＨＡＭ　ＶＩＥＴ,チン　スアン　ヴウ,0566-68-0089,,,,,,,,豊橋市指令3豊保生第111－36号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＨＶＦＯＯＤベトナム料理豊橋駅店11769123201,970f064e-d46e-4b2b-986b-746620f0b400,株式会社ＳＡＮ　ＰＨＡＭ　ＶＩＥＴ,d8d3834d-8cdf-4cdf-8a20-59e1b0c49e7d,45337cd8-df92-43f7-800e-2d79da2627d9,2021/06/25,ＨＶＦＯＯＤ　ベトナム料理　豊橋駅店,ＨＶＦＯＯＤベトナム料理豊橋駅店,株式会社ＳＡＮ　ＰＨＡＭ　ＶＩＥＴ
Ｌ．Ａ,豊橋市松葉町一丁目８２番地  山徳ビル地下１階,愛知県,豊橋市松葉町１丁目８２番地, 山徳ビル地下１階,,飲食店営業(一般食堂・レストラン等),ラファエル　フランシス,,,,2021/6/8,2021/6/8,豊橋市指令3豊保生第111－2号,,246,Ｌ．Ａ,0532,,,,,愛知県　豊橋市松葉町１丁目８２番地,愛知県豊橋市松葉町１丁目８２番地, 山徳ビル地下１階,117909,23,23201,松葉町１,,2021/06/08,2021/06/08,,,,ラファエル　フランシス ,,,,,,,,,豊橋市指令3豊保生第111－2号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＬＡ11790923201,32556777-9619-46da-83b7-63815bc1aaa6,,personal,352cdb9f-c7bd-4181-8519-d1e701e53e4a,2021/06/08,Ｌ．Ａ,ＬＡ,
ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,豊橋市東幸町字東明１３０番地  Ａ,愛知県,豊橋市東幸町字東明１３０番地 Ａ,,,飲食店営業(仕出し屋・弁当屋),ＰＥＲＥＩＲＡ　ＤＡ　ＳＩＬＶＡ　ＧＩＬＤＥＭＡＲ,,,,2021/12/24,2021/12/24,豊橋市指令3豊保生第111－408号,,246,ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,0532,,,,,愛知県　豊橋市東幸町字東明１３０番地 Ａ,愛知県豊橋市東幸町字東明１３０番地Ａ,,117874,23,23201,東幸町,,2021/12/24,2021/12/24,,,,ＰＥＲＥＩＲＡ　ＤＡ　ＳＩＬＶＡ　ＧＩＬＤＥＭＡＲ ,,,,,,,,,豊橋市指令3豊保生第111－408号,,飲食店営業,仕出し屋・弁当屋,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＭＥＲＣＡＤＯＣＡＭＰＩＮＥＩＲＯ11787423201,9b20b69e-380c-49bd-90a2-325888123278,,personal,5636f21c-b58e-49ab-b414-40598f8bbf01,2021/12/24,ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,ＭＥＲＣＡＤＯＣＡＭＰＩＮＥＩＲＯ,
ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,豊橋市東幸町字東明１３０番地  Ａ,愛知県,豊橋市東幸町字東明１３０番地 Ａ,,,食肉販売業(一般),ＰＥＲＥＩＲＡ　ＤＡ　ＳＩＬＶＡ　ＧＩＬＤＥＭＡＲ,,,,2021/12/24,2021/12/24,豊橋市指令3豊保生第113－12号,,246,ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,0532,,,,,愛知県　豊橋市東幸町字東明１３０番地 Ａ,愛知県豊橋市東幸町字東明１３０番地Ａ,,117874,23,23201,東幸町,,2021/12/24,2021/12/24,,,,ＰＥＲＥＩＲＡ　ＤＡ　ＳＩＬＶＡ　ＧＩＬＤＥＭＡＲ ,,,,,,,,,豊橋市指令3豊保生第113－12号,,食肉販売業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,I,58,583,,ＭＥＲＣＡＤＯＣＡＭＰＩＮＥＩＲＯ11787423201,9b20b69e-380c-49bd-90a2-325888123278,,personal,129a2769-cd8c-4c9e-9676-833772c8ac07,2021/12/24,ＭＥＲＣＡＤＯ　ＣＡＭＰＩＮＥＩＲＯ,ＭＥＲＣＡＤＯＣＡＭＰＩＮＥＩＲＯ,
ＮＡＧＩＳＡ　ＧＡＬＬＥＲＹ,豊橋市駒形町字下田９３番１,愛知県,豊橋市駒形町字下田９３番１,,21-5205,飲食店営業(一般食堂・レストラン等),有限会社　昭亜,取締役,荒居　宏昌,46-7616,2012/5/2,2019/4/1,豊橋市指令30豊保生第102－314号,,246,ＮＡＧＩＳＡ　ＧＡＬＬＥＲＹ,0532,0532-21-5205,,,,愛知県　豊橋市駒形町字下田９３番１,愛知県豊橋市駒形町字下田９３番１,,117736,23,23201,駒形町,,2012/05/02,2019/04/01,,,有限会社　昭亜,荒居　宏昌,0532-46-7616,,,,,,,,豊橋市指令30豊保生第102－314号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＮＡＧＩＳＡＧＡＬＬＥＲＹ0532-21-520511773623201,405d4de7-3544-45aa-bbd4-cb7675510f4c,有限会社昭亜,738c1b32-d0c1-4fbf-b501-8cb5d619991a,4f9cadba-6a48-4b77-8b70-df13367bce1d,2019/04/01,ＮＡＧＩＳＡ　ＧＡＬＬＥＲＹ,ＮＡＧＩＳＡＧＡＬＬＥＲＹ,有限会社昭亜
ＯＳＩＲＩＳ,豊橋市松葉町一丁目１０２番地  ｂａ；ｔビル２階Ｂ号室,愛知県,豊橋市松葉町１丁目１０２番地 ,ｂａ；ｔビル２階Ｂ号室,21-87770,飲食店営業(その他),鈴木　祐介,,,,2020/8/21,2020/8/21,豊橋市指令2豊保生第101－128号,,246,ＯＳＩＲＩＳ,0532,0532-218-7770,,,,愛知県　豊橋市松葉町１丁目１０２番地 ,愛知県豊橋市松葉町１丁目１０２番地,ｂａ；ｔビル２階Ｂ号室,117909,23,23201,松葉町１,,2020/08/21,2020/08/21,,,,鈴木　祐介 ,,,,,,,,,豊橋市指令2豊保生第101－128号,,飲食店営業,その他,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＯＳＩＲＩＳ0532-218-777011790923201,6becfc33-75da-4ffe-88e7-7f9e97b6c677,,personal,d3b2bdb2-8ae7-4320-bd0d-f5a962129836,2020/08/21,ＯＳＩＲＩＳ,ＯＳＩＲＩＳ,
ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,豊橋市松葉町一丁目５番地  誠屋ビル１階,愛知県,豊橋市松葉町１丁目５番地, 誠屋ビル１階,,飲食店営業(一般食堂・レストラン等),一般社団法人　ラ・バルカグループ,代表理事,夏目　浩次,53-5577,2021/12/17,2021/12/17,豊橋市指令3豊保生第111－386号,,246,ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,0532,,,,,愛知県　豊橋市松葉町１丁目５番地,愛知県豊橋市松葉町１丁目５番地, 誠屋ビル１階,117909,23,23201,松葉町１,,2021/12/17,2021/12/17,,,一般社団法人　ラ・バルカグループ,夏目　浩次,0532-53-5577,,,,,,,,豊橋市指令3豊保生第111－386号,,飲食店営業,一般食堂・レストラン等,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,M,76,,,ＱＵＯＮＣＨＯＣＯＬＡＴＥＤＥＭＩＳＥＣ11790923201,6f3815c6-7d5d-46f0-9578-af8bcb0dac60,一般社団法人ラ・バルカグループ,1ad691ad-9654-4e3e-a4ed-830fcc38da61,f0567c93-4a03-44aa-b185-3c12673c8d67,2021/12/17,ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,ＱＵＯＮＣＨＯＣＯＬＡＴＥＤＥＭＩＳＥＣ,一般社団法人ラ・バルカグループ
ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,豊橋市松葉町一丁目５番地  誠屋ビル１階,愛知県,豊橋市松葉町１丁目５番地, 誠屋ビル１階,,菓子製造業(一般),一般社団法人　ラ・バルカグループ,代表理事,夏目　浩次,53-5577,2021/12/17,2021/12/17,豊橋市指令3豊保生第121－67号,,246,ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,0532,,,,,愛知県　豊橋市松葉町１丁目５番地,愛知県豊橋市松葉町１丁目５番地, 誠屋ビル１階,117909,23,23201,松葉町１,,2021/12/17,2021/12/17,,,一般社団法人　ラ・バルカグループ,夏目　浩次,0532-53-5577,,,,,,,,豊橋市指令3豊保生第121－67号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ＱＵＯＮＣＨＯＣＯＬＡＴＥＤＥＭＩＳＥＣ11790923201,6f3815c6-7d5d-46f0-9578-af8bcb0dac60,一般社団法人ラ・バルカグループ,1ad691ad-9654-4e3e-a4ed-830fcc38da61,51fb57ad-0096-446f-b429-ec3cccdb0306,2021/12/17,ＱＵＯＮ　ＣＨＯＣＯＬＡＴＥ　ＤＥＭＩ－ＳＥＣ,ＱＵＯＮＣＨＯＣＯＬＡＴＥＤＥＭＩＳＥＣ,一般社団法人ラ・バルカグループ
ＱＵＯＮｃｈｏｃｏｌａｔｅ　パウダーラボ,豊橋市菰口町三丁目１４番地,愛知県,豊橋市菰口町３丁目１４番地,,53-5577,菓子製造業(一般),一般社団法人　ラ・バルカグループ,代表理事,夏目　浩次,53-5577,2021/6/23,2021/6/23,豊橋市指令3豊保生第121－8号,,246,ＱＵＯＮｃｈｏｃｏｌａｔｅ　パウダーラボ,0532,0532-53-5577,,,,愛知県　豊橋市菰口町３丁目１４番地,愛知県豊橋市菰口町３丁目１４番地,,117743,23,23201,菰口町３,,2021/06/23,2021/06/23,,,一般社団法人　ラ・バルカグループ,夏目　浩次,0532-53-5577,,,,,,,,豊橋市指令3豊保生第121－8号,,菓子製造業,一般,,,246_愛知県_豊橋市保健所_食品衛生(許可)_2021年12月まで全件_末日,E,9,,,ＱＵＯＮｃｈｏｃｏｌａｔｅパウダラボ0532-53-557711774323201,00246_b693d08b-eede-4555-a847-ac9c965651b5,一般社団法人ラ・バルカグループ,1ad691ad-9654-4e3e-a4ed-830fcc38da61,65c70610-1911-4d58-a504-491e08f988d1,2021/06/23,ＱＵＯＮｃｈｏｃｏｌａｔｅ　パウダーラボ,ＱＵＯＮｃｈｏｃｏｌａｔｅパウダラボ,一般社団法人ラ・バルカグループ
