https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設名,施設-住所1,施設-マンション名,申請者1,申請者2,申請者3,申請-住所1,申請-マンション名,施設-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,代表者肩書き,代表者氏名,営業者住所,営業者住所ビル名,施設電話番号,有効期間始期,有効期間終期,許可年月日,初回許可日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3令豊保衛第101-438号,飲食店営業,安心食材産直,豊田市中町中前３０－１,,鈴木　真由美,,,,,52-6960,2021/12/17,2026/12/31,2021/12/17,2021/12/17,,248,安心食材産直,0565,0565-52-6960,,,,豊田市中町中前３０－１,愛知県豊田市中町中前３０－１,,123892,23,23211,中町,,2021/12/17,2021/12/17,2021/12/17,2026/12/31,,鈴木　真由美  ,,,,,,,,,3令豊保衛第101-438号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,安心食材産直0565-52-696012389223211,ee07de52-3fd5-4d89-a84c-a14db1857237,,personal,cfd6ecf5-05ef-41a2-b6c1-0b4953f3493b,2021/12/17,安心食材産直,安心食材産直,
3令豊保衛第125-8号,そうざい製造業,ニックライス,豊田市京ケ峰１－２－２,正木店舗３号,株式会社　三安堂,代表取締役,安藤　修司,愛知県豊田市美里五丁目１６番地１０,,80-3039,2021/12/15,2026/12/31,2021/12/15,2021/12/15,,248,ニックライス,0565,0565-80-3039,,,,豊田市京ケ峰１－２－２,愛知県豊田市京が峰１－２－２,,123413,23,23211,京が峰１,,2021/12/15,2021/12/15,2021/12/15,2026/12/31,株式会社　三安堂,代表取締役 安藤　修司,,愛知県豊田市美里五丁目１６番地１０,愛知県豊田市美里５丁目１６番地１０,,124253,愛知県,豊田市,美里５,3令豊保衛第125-8号,,そうざい製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,ニックライス0565-80-303912341323211,bfe25e63-8700-4a4f-84cf-dbb63343a241,株式会社三安堂124253,8c26d256-bcaf-4948-9737-79bb6e110499,3f49fc17-3d78-4667-8b79-6e1abff51d61,2021/12/15,ニックライス,ニックライス,株式会社三安堂
3令豊保衛第129-7号,漬物製造業,ヤオクギ本店,豊田市鵜ケ瀬町荒井１３－７,,小野田　和広,,,,,58-0144,2021/12/15,2026/12/31,2021/12/15,2021/12/15,,248,ヤオクギ本店,0565,0565-58-0144,,,,豊田市鵜ケ瀬町荒井１３－７,愛知県豊田市鵜が瀬町荒井１３－７,,123020,23,23211,鵜が瀬町,,2021/12/15,2021/12/15,2021/12/15,2026/12/31,,小野田　和広  ,,,,,,,,,3令豊保衛第129-7号,,漬物製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,ヤオクギ本店0565-58-014412302023211,1056fec8-0ca7-46a4-a057-e1081e16956e,,personal,c197ab21-b5a6-45cf-9d21-438e7a33a428,2021/12/15,ヤオクギ本店,ヤオクギ本店,
3令豊保衛第111-25号,菓子製造業,Ｂａｋｅｒｙ　Ｇｅｎ,豊田市大島町旭８－１,,國長　伸行,,,,,77-0550,2021/12/15,2027/12/31,2021/12/15,2021/12/15,,248,Ｂａｋｅｒｙ　Ｇｅｎ,0565,0565-77-0550,,,,豊田市大島町旭８－１,愛知県豊田市大島町旭８－１,,123151,23,23211,大島町,,2021/12/15,2021/12/15,2021/12/15,2027/12/31,,國長　伸行  ,,,,,,,,,3令豊保衛第111-25号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,ＢａｋｅｒｙＧｅｎ0565-77-055012315123211,5bd8cf1a-16c6-4186-b12a-61cb3250a858,,personal,d4e5a8ca-ad31-4407-ae2f-66d2d78d58b4,2021/12/15,Ｂａｋｅｒｙ　Ｇｅｎ,ＢａｋｅｒｙＧｅｎ,
3令豊保衛第101-437号,飲食店営業,Ｂａｒ’ｓ－Ｂｅｒ,豊田市朝日町２丁目３番地１,,福岡　和則,,,,,42-5887,2021/12/10,2027/12/31,2021/12/10,2021/12/10,,248,Ｂａｒ’ｓ－Ｂｅｒ,0565,0565-42-5887,,,,豊田市朝日町２丁目３番地１,愛知県豊田市朝日町２丁目３番地１,,122913,23,23211,朝日町２,,2021/12/10,2021/12/10,2021/12/10,2027/12/31,,福岡　和則  ,,,,,,,,,3令豊保衛第101-437号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ＢａｒｓＢｅｒ0565-42-588712291323211,a2ec899b-de9b-464e-a661-8db3e914e509,,personal,1ea02837-a859-4e30-8a9c-4a8603201825,2021/12/10,Ｂａｒ＇ｓ－Ｂｅｒ,ＢａｒｓＢｅｒ,
3令豊保衛第101-423号,飲食店営業,ＬＯＧＧＥＲ,豊田市日之出町２丁目９番地１４,日之出ビル１０３号,福元　康祐,,,,,,2021/12/10,2027/12/31,2021/12/10,2021/12/10,,248,ＬＯＧＧＥＲ,0565,,,,,豊田市日之出町２丁目９番地１４,愛知県豊田市日ノ出町２丁目９番地１４,,124009,23,23211,日ノ出町２,,2021/12/10,2021/12/10,2021/12/10,2027/12/31,,福元　康祐  ,,,,,,,,,3令豊保衛第101-423号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,ＬＯＧＧＥＲ12400923211,65389c2f-ce92-4edb-96f7-d46daf496035,,personal,87e65475-d221-4cb6-9ab6-247494cfd830,2021/12/10,ＬＯＧＧＥＲ,ＬＯＧＧＥＲ,
3令豊保衛第101-439号,飲食店営業,香吹,豊田市上郷町三丁目７－１３,,渡邉　順子,,,,,,2021/12/10,2026/12/31,2021/12/10,2021/12/10,,248,香吹,0565,,,,,豊田市上郷町三丁目７－１３,愛知県豊田市上郷町３丁目７－１３,,123383,23,23211,上郷町３,,2021/12/10,2021/12/10,2021/12/10,2026/12/31,,渡邉　順子  ,,,,,,,,,3令豊保衛第101-439号,,飲食店営業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,M,76,,,香吹12338323211,659a739b-bace-4e3e-ba86-ef22ced2fca1,,personal,b941b6c4-0fc6-4912-97ab-1a46bbce199e,2021/12/10,香吹,香吹,
3令豊保衛第111-23号,菓子製造業,ＣＨＡＩ　ＳＴＡＮＤ　ＨＯＰＰＥＲ,豊田市駒新町金山４１－２,,天野　丘浩,,,,,,2021/12/8,2025/10/31,2021/12/8,2021/12/8,,248,ＣＨＡＩ　ＳＴＡＮＤ　ＨＯＰＰＥＲ,0565,,,,,豊田市駒新町金山４１－２,愛知県豊田市駒新町金山４１－２,,123514,23,23211,駒新町,,2021/12/08,2021/12/08,2021/12/08,2025/10/31,,天野　丘浩  ,,,,,,,,,3令豊保衛第111-23号,,菓子製造業,,,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,,,ＣＨＡＩＳＴＡＮＤＨＯＰＰＥＲ12351423211,830343f5-a893-423e-ae80-9520ba141ec1,,personal,08cbb09c-e88d-4354-874e-fa9a9f2099c2,2021/12/08,ＣＨＡＩ　ＳＴＡＮＤ　ＨＯＰＰＥＲ,ＣＨＡＩＳＴＡＮＤＨＯＰＰＥＲ,
3令豊保衛第995-789号,その他の食料・飲料販売業,スギ薬局　陣中店,豊田市陣中町二丁目１４番地３,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,85-8810,2021/12/6,,2021/12/6,2021/12/6,,248,スギ薬局　陣中店,0565,0565-85-8810,,,,豊田市陣中町二丁目１４番地３,愛知県豊田市陣中町２丁目１４番地３,,123656,23,23211,陣中町２,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-789号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギ薬局陣中店0565-85-881012365623211,75edf798-941c-4784-ba9c-d70d00dae121,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,c384e010-d63d-4b81-bec2-e96ab350bfb4,2021/12/06,スギ薬局　陣中店,スギ薬局陣中店,株式会社スギ薬局
3令豊保衛第995-781号,その他の食料・飲料販売業,スギドラッグ　山之手店,豊田市山之手７丁目７７番地１,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,71-5525,2021/12/6,,2021/12/6,2021/12/6,,248,スギドラッグ　山之手店,0565,0565-71-5525,,,,豊田市山之手７丁目７７番地１,愛知県豊田市山ノ手７丁目７７番地１,,124389,23,23211,山ノ手７,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-781号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギドラッグ山之手店0565-71-552512438923211,367011a7-c43f-47d0-9ea5-7f74ca54e120,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,26e6587b-6639-482b-8613-a0bd4ea58759,2021/12/06,スギドラッグ　山之手店,スギドラッグ山之手店,株式会社スギ薬局
3令豊保衛第995-785号,その他の食料・飲料販売業,スギドラッグ　美里店,豊田市美里五丁目１０番地６,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,0565-87-3571,2021/12/6,,2021/12/6,2021/12/6,,248,スギドラッグ　美里店,0565,0565-87-3571,,,,豊田市美里五丁目１０番地６,愛知県豊田市美里５丁目１０番地６,,124253,23,23211,美里５,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-785号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギドラッグ美里店0565-87-357112425323211,3322ba49-e1a1-4edc-9f22-d28cc950fc18,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,707269fe-b8da-40d9-abf1-cbfb247aef82,2021/12/06,スギドラッグ　美里店,スギドラッグ美里店,株式会社スギ薬局
3令豊保衛第995-783号,その他の食料・飲料販売業,スギ薬局　深田店,豊田市深田町１丁目５５－１,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,25-3589,2021/12/6,,2021/12/6,2021/12/6,,248,スギ薬局　深田店,0565,0565-25-3589,,,,豊田市深田町１丁目５５－１,愛知県豊田市深田町１丁目５５－１,,124077,23,23211,深田町１,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-783号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギ薬局深田店0565-25-358912407723211,6e8b93c8-9206-4041-9422-c827ce20790d,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,4c8e4968-b470-48e1-b7a5-ea4c0c86f522,2021/12/06,スギ薬局　深田店,スギ薬局深田店,株式会社スギ薬局
3令豊保衛第995-787号,その他の食料・飲料販売業,スギドラッグ　梅坪店,豊田市京町三丁目１０２番地３,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,35-6338,2021/12/6,,2021/12/6,2021/12/6,,248,スギドラッグ　梅坪店,0565,0565-35-6338,,,,豊田市京町三丁目１０２番地３,愛知県豊田市京町３丁目１０２番地３,,123422,23,23211,京町３,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-787号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギドラッグ梅坪店0565-35-633812342223211,2869abae-2dca-4508-8860-cbf9719bf809,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,3ae72f16-22c3-4406-9b6d-f0bdae36b1a8,2021/12/06,スギドラッグ　梅坪店,スギドラッグ梅坪店,株式会社スギ薬局
3令豊保衛第995-793号,その他の食料・飲料販売業,スギドラッグ　永覚店,豊田市永覚新町二丁目２７番地,,株式会社　スギ薬局,代表取締役,原　栄一,愛知県安城市三河安城町一丁目８番地４,,47-7780,2021/12/6,,2021/12/6,2021/12/6,,248,スギドラッグ　永覚店,0565,0565-47-7780,,,,豊田市永覚新町二丁目２７番地,愛知県豊田市永覚新町２丁目２７番地,,123107,23,23211,永覚新町２,,2021/12/06,2021/12/06,2021/12/06,,株式会社　スギ薬局,代表取締役 原　栄一,,愛知県安城市三河安城町一丁目８番地４,愛知県安城市三河安城町１丁目８番地４,,124803,愛知県,安城市,三河安城町１,3令豊保衛第995-793号,,その他の食料品製造・加工業,(包装),,,248_愛知県_豊田市保健所_食品衛生()_2021年12月_末日,E,9,99,,スギドラッグ永覚店0565-47-778012310723211,e65e33fa-88fb-4cf8-9a2d-edb74634eff4,株式会社スギ薬局124803,dc5ab212-66e6-44b2-a94a-4500e0aa1f38,72a4b5b6-aeed-4b09-b70a-745679f7a540,2021/12/06,スギドラッグ　永覚店,スギドラッグ永覚店,株式会社スギ薬局
