https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,申請者1,,申請者2,,申請-住所1,申請-マンション名,申請-電話番号1,確認番号,許可年月日,許可期間終了日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,営業所方書,営業所電話番号,業種,業態,名称,代表者肩書,代表者氏名,,営業者住所,営業者方書,営業者電話番号,許可番号,許可決定日,許可期限,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
多国籍酒場ＳＩＴＡ,神奈川県,茅ヶ崎市共恵１丁目２番１８号,ともえ桜ビル２Ｆ,0467-38-8086,飲食店営業,"飲食店,弁当屋",湯舟　達也,,,,,,,01-101-00187,2021.12.13,2028.12.31,新規,,146,多国籍酒場ＳＩＴＡ,0467,0467-38-8086,,,,神奈川県　茅ヶ崎市共恵１丁目２番１８号,神奈川県茅が崎市共恵１丁目２番１８号,ともえ桜ビル２Ｆ,82007,14,14207,共恵１,,,2021/12/13,,2028/12/31,,湯舟　達也 ,,,,,,,,,01-101-00187,新規,飲食店営業," 飲食店,弁当屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,多国籍酒場ＳＩＴＡ0467-38-808682007,ff6566e4-90a7-4f80-b25b-f7ba2ff5ff89,,personal,d2a19268-d654-4bb7-ae84-4c6313376cca,2021/12/13,多国籍酒場ＳＩＴＡ,多国籍酒場ＳＩＴＡ,
浅野屋,神奈川県,茅ヶ崎市旭が丘７番３４号,,,飲食店営業,飲食店,関口　茂,,,,,,,01-101-00186,2021.12.13,2027.12.31,新規,,146,浅野屋,0467,,,,,神奈川県　茅ヶ崎市旭が丘７番３４号,神奈川県茅が崎市旭が丘７番３４号,,81967,14,14207,旭が丘,,,2021/12/13,,2027/12/31,,関口　茂 ,,,,,,,,,01-101-00186,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,浅野屋81967,60577daf-1de4-4de9-8344-fba62568f074,,personal,3429542d-f18f-4836-8349-0bb6b20710b1,2021/12/13,浅野屋,浅野屋,
茅ヶ崎珈琲倶楽部,神奈川県,茅ヶ崎市新栄町１３番１号,三堀ビル１Ｆ,0467-58-2212,飲食店営業,飲食店,矢向　利次,,,,,,,01-101-00190,2021.12.14,2028.12.31,新規,,146,茅ヶ崎珈琲倶楽部,0467,0467-58-2212,,,,神奈川県　茅ヶ崎市新栄町１３番１号,神奈川県茅が崎市新栄町１３番１号,三堀ビル１Ｆ,81993,14,14207,新栄町,,,2021/12/14,,2028/12/31,,矢向　利次 ,,,,,,,,,01-101-00190,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,茅ヶ崎珈琲倶楽部0467-58-221281993,35bfe386-e0c1-43df-841f-0b6097cfe171,,personal,c2374783-e558-4bc4-8890-03ce43359b50,2021/12/14,茅ヶ崎珈琲倶楽部,茅ヶ崎珈琲倶楽部,
レストラン　なんどき牧場,神奈川県,茅ヶ崎市今宿１０２４番地,,0467-83-2775,飲食店営業,"飲食店,仕出し屋,弁当屋",株式会社なんどき,代表取締役,横山　貢,代表取締役　横山　貢,神奈川県茅ヶ崎市今宿１０２４,,0467-83-2775,01-101-00189,2021.12.14,2027.12.31,新規,,146,レストラン　なんどき牧場,0467,0467-83-2775,,,,神奈川県　茅ヶ崎市今宿１０２４番地,神奈川県茅が崎市今宿１０２４番地,,81969,14,14207,今宿,,,2021/12/14,,2027/12/31,株式会社なんどき,代表取締役　横山　貢,0467-83-2775,神奈川県茅ヶ崎市今宿１０２４,神奈川県茅が崎市今宿１０２４,,81969,神奈川県,茅が崎市,今宿,01-101-00189,新規,飲食店営業," 飲食店,仕出し屋,弁当屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,レストランなんどき牧場0467-83-277581969,74407be8-a5f7-4e6b-9c50-2168e07e763d,株式会社なんどき81969,c05d87de-dd9b-4e20-a5f3-4d7dda3e9657,898c1c93-d76d-4efd-99a0-48de1064829a,2021/12/14,レストラン　なんどき牧場,レストランなんどき牧場,株式会社なんどき
はにぃ・びぃ,神奈川県,茅ヶ崎市浜竹３丁目４番３号,エクセルシオール湘南辻堂１０１,0467-57-8221,飲食店営業,飲食店,山本　正弘,,,,,,,01-101-00188,2021.12.14,2027.12.31,新規,,146,はにぃ・びぃ,0467,0467-57-8221,,,,神奈川県　茅ヶ崎市浜竹３丁目４番３号,神奈川県茅が崎市浜竹３丁目４番３号,エクセルシオール湘南辻堂１０１,82027,14,14207,浜竹３,,,2021/12/14,,2027/12/31,,山本　正弘 ,,,,,,,,,01-101-00188,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,はにぃびぃ0467-57-822182027,7ab46280-1ccd-4551-8ac8-7639c2ede67a,,personal,f1db3425-6204-4a20-a1f4-c1cab25f395c,2021/12/14,はにぃ・びぃ,はにぃびぃ,
カラオケバー　Ｃｈｏｕ　Ｃｈｏｕ,神奈川県,茅ヶ崎市幸町２３番１８号,渡辺ビル１Ｆ,,飲食店営業,飲食店,株式会社ディアロコーポレーション,代表取締役,ディアロ・アブドゥル・ガディル,代表取締役　ディアロ・アブドゥル・ガディル,平塚市千石河岸３０番２２号,,,01-101-00192,2021.12.15,2027.12.31,新規,,146,カラオケバー　Ｃｈｏｕ　Ｃｈｏｕ,0467,,,,,神奈川県　茅ヶ崎市幸町２３番１８号,神奈川県茅が崎市幸町２３番１８号,渡辺ビル１Ｆ,81986,14,14207,幸町,,,2021/12/15,,2027/12/31,株式会社ディアロコーポレーション,代表取締役　ディアロ・アブドゥル・ガディル,,平塚市千石河岸３０番２２号,神奈川県平塚市千石河岸３０番２２号,,81360,神奈川県,平塚市,千石河岸,01-101-00192,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,カラオケバＣｈｏｕＣｈｏｕ81986,f8fe680a-7fab-4ab2-ac42-86286b646056,株式会社ディアロコーポレーション81360,6cda13da-1ef5-477e-bc44-058e9c2e5018,718c3952-a90d-4391-97e2-9fba6cf08ff7,2021/12/15,カラオケバー　Ｃｈｏｕ　Ｃｈｏｕ,カラオケバＣｈｏｕＣｈｏｕ,株式会社ディアロコーポレーション
なんどき牧場,神奈川県,茅ヶ崎市内及び寒川町一円,,,飲食店営業,自動車による営業(タンク容量80リットル),株式会社なんどき,代表取締役,横山　貢,代表取締役　横山　貢,神奈川県茅ヶ崎市今宿１０２４番地,,0467-83-2775,01-101-00191,2021.12.16,2026.12.31,新規,,146,なんどき牧場,,,,,,神奈川県　茅ヶ崎市内及び寒川町一円,神奈川県茅が崎市内及び寒川町一円,,,14,,,,,2021/12/16,,2026/12/31,株式会社なんどき,代表取締役　横山　貢,0467-83-2775,神奈川県茅ヶ崎市今宿１０２４番地,神奈川県茅が崎市今宿１０２４番地,,81969,神奈川県,茅が崎市,今宿,01-101-00191,新規,飲食店営業, 自動車による営業(タンク容量80リットル),,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,なんどき牧場,ef0288f5-727c-4b54-a0b5-c7ddbafb061b,株式会社なんどき81969,c05d87de-dd9b-4e20-a5f3-4d7dda3e9657,4d71baf1-05c6-4b11-9968-01f0a7e8df0b,2021/12/16,なんどき牧場,なんどき牧場,株式会社なんどき
湘和会館　南湖,神奈川県,茅ヶ崎市南湖１丁目６番３０号,,0467-59-1101,飲食店営業,飲食店,平安レイサービス株式会社　,代表取締役,相馬　秀行,代表取締役　相馬　秀行,神奈川県平塚市桜ヶ丘１番３５号,,0463-34-2771,01-101-00193,2021.12.17,2028.12.31,新規,,146,湘和会館　南湖,0467,0467-59-1101,,,,神奈川県　茅ヶ崎市南湖１丁目６番３０号,神奈川県茅が崎市南湖１丁目６番３０号,,82015,14,14207,南湖１,,,2021/12/17,,2028/12/31,平安レイサービス株式会社　,代表取締役　相馬　秀行,0463-34-2771,神奈川県平塚市桜ヶ丘１番３５号,神奈川県平塚市桜が丘１番３５号,,81340,神奈川県,平塚市,桜が丘,01-101-00193,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,湘和会館南湖0467-59-110182015,a1278feb-7fe4-49f1-a26c-996f13b671fa,平安レイサービス株式会社81340,06c829e4-63d5-42f5-b127-e5684cd934ee,39e14512-a7c0-48d4-a88f-ad5b761add98,2021/12/17,湘和会館　南湖,湘和会館南湖,平安レイサービス株式会社
渚ピクニック,神奈川県,茅ヶ崎市甘沼２５２番地１,,0467-55-1202,飲食店営業,給食,日清医療食品株式会社,代表取締役,菅井　正一,代表取締役　菅井　正一,東京都千代田区丸の内二丁目７番３号,,03-3287-3611,01-101-00195,2021.12.20,2027.12.31,新規,,146,渚ピクニック,0467,0467-55-1202,,,,神奈川県　茅ヶ崎市甘沼２５２番地１,神奈川県茅が崎市甘沼２５２番地１,,81968,14,14207,甘沼,,,2021/12/20,,2027/12/31,日清医療食品株式会社,代表取締役　菅井　正一,03-3287-3611,東京都千代田区丸の内二丁目７番３号,東京都千代田区丸ノ内２丁目７番３号,,72931,東京都,千代田区,丸の内２,01-101-00195,新規,飲食店営業, 給食,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,渚ピクニック0467-55-120281968,eaba83c2-8318-400d-ba72-27782d79ea36,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,8a45e900-5334-4675-b134-acd249ecbf56,2021/12/20,渚ピクニック,渚ピクニック,日清医療食品株式会社
株式会社はま寿司　茅ヶ崎松が丘店,神奈川県,茅ヶ崎市松が丘２丁目１０番１８号,,0570-040-859,飲食店営業,飲食店,株式会社はま寿司,代表取締役,遠藤　哲郎,代表取締役　遠藤　哲郎,東京都港区港南二丁目１８番１号,,03-6833-8032,01-101-00194,2021.12.20,2027.12.31,新規,,146,株式会社はま寿司　茅ヶ崎松が丘店,0467,0570-040-859,,,,神奈川県　茅ヶ崎市松が丘２丁目１０番１８号,神奈川県茅が崎市松が丘２丁目１０番１８号,,82060,14,14207,松が丘２,,,2021/12/20,,2027/12/31,株式会社はま寿司,代表取締役　遠藤　哲郎,03-6833-8032,東京都港区港南二丁目１８番１号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,01-101-00194,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,株式会社はま寿司茅ヶ崎松が丘店0570-040-85982060,33f2837c-8bb2-4dc4-ba98-6be846487d1a,株式会社はま寿司73073,a1fb2d94-4db8-40bc-8e9a-150420be2c8c,4f691400-0a98-4074-a51f-3d42acf6df7d,2021/12/20,株式会社はま寿司　茅ヶ崎松が丘店,株式会社はま寿司茅ヶ崎松が丘店,株式会社はま寿司
蔵のカルビ,神奈川県,高座郡寒川町宮山１２０番地５,,0467-84-7088,飲食店営業,"飲食店,仕出し屋",株式会社蔵のカルビ　,代表取締役,吉岡　友美,代表取締役　吉岡　友美,神奈川県高座郡寒川町宮山１２０番地５,,0467-84-7088,01-101-00196,2021.12.20,2027.12.31,新規,,146,蔵のカルビ,0467,0467-84-7088,,,,神奈川県　高座郡寒川町宮山１２０番地５,神奈川県高座郡寒川町宮山１２０番地５,,82958,14,14321,宮山,,,2021/12/20,,2027/12/31,株式会社蔵のカルビ　,代表取締役　吉岡　友美,0467-84-7088,神奈川県高座郡寒川町宮山１２０番地５,神奈川県高座郡寒川町宮山１２０番地５,,82958,神奈川県,高座郡寒川町,宮山,01-101-00196,新規,飲食店営業," 飲食店,仕出し屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,蔵のカルビ0467-84-70888295814321,87849aaf-beff-4054-a6c7-90feb409c431,株式会社蔵のカルビ　82958,204750b1-597f-4f33-8e2f-219e0ad58e04,0004a80d-c604-4233-b48e-2291b075fc0b,2021/12/20,蔵のカルビ,蔵のカルビ,株式会社蔵のカルビ　
蔵ミート（くら）,神奈川県,高座郡寒川町宮山１２０番地５,,0467-84-7088,食肉販売業,食肉販売（容器包装に入れられた食肉の仕入れ販売のみは除く）,株式会社蔵のカルビ　,代表取締役,吉岡　友美,代表取締役　吉岡　友美,神奈川県高座郡寒川町宮山１２０番地５,,0467-84-7088,01-103-00003,2021.12.20,2027.12.31,新規,,146,蔵ミート（くら）,0467,0467-84-7088,,,,神奈川県　高座郡寒川町宮山１２０番地５,神奈川県高座郡寒川町宮山１２０番地５,,82958,14,14321,宮山,,,2021/12/20,,2027/12/31,株式会社蔵のカルビ　,代表取締役　吉岡　友美,0467-84-7088,神奈川県高座郡寒川町宮山１２０番地５,神奈川県高座郡寒川町宮山１２０番地５,,82958,神奈川県,高座郡寒川町,宮山,01-103-00003,新規,食肉販売業, 食肉販売（容器包装に入れられた食肉の仕入れ販売のみは除く）,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,I,58,583,,蔵ミトくら0467-84-70888295814321,47718d1d-8ce8-4a41-ac38-4eb734f789ca,株式会社蔵のカルビ　82958,204750b1-597f-4f33-8e2f-219e0ad58e04,5ec4cb8b-4137-4484-8484-3440964dd941,2021/12/20,蔵ミート（くら）,蔵ミトくら,株式会社蔵のカルビ　
スーパー居酒屋　紅紅,神奈川県,茅ヶ崎市幸町１番１７号,２Ｆ,0467-88-5800,飲食店営業,飲食店,桝谷　修一,,,,,,,01-101-00198,2021.12.21,2027.12.31,新規,,146,スーパー居酒屋　紅紅,0467,0467-88-5800,,,,神奈川県　茅ヶ崎市幸町１番１７号,神奈川県茅が崎市幸町１番１７号,２Ｆ,81986,14,14207,幸町,,,2021/12/21,,2027/12/31,,桝谷　修一 ,,,,,,,,,01-101-00198,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,スパ居酒屋紅紅0467-88-580081986,1959563d-b672-4458-ae49-a1f371f5e88c,,personal,99d8697f-fd6e-4fea-ad5d-597753939fe9,2021/12/21,スーパー居酒屋　紅紅,スパ居酒屋紅紅,
居酒屋　田舎,神奈川県,茅ヶ崎市新栄町１３番６号,,0467-85-2580,飲食店営業,飲食店,松井　直樹,,,,,,,01-101-00197,2021.12.21,2027.12.31,新規,,146,居酒屋　田舎,0467,0467-85-2580,,,,神奈川県　茅ヶ崎市新栄町１３番６号,神奈川県茅が崎市新栄町１３番６号,,81993,14,14207,新栄町,,,2021/12/21,,2027/12/31,,松井　直樹 ,,,,,,,,,01-101-00197,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,居酒屋田舎0467-85-258081993,24df8c0e-7054-4250-8c32-43b29c9b380e,,personal,00279d21-1f81-41c2-b7f4-843730eec46b,2021/12/21,居酒屋　田舎,居酒屋田舎,
小皿ｂａｒ　Ｓｕｙａ　別邸,神奈川県,茅ヶ崎市中海岸４丁目７番３０号,,,菓子製造業,菓子,岩瀬　望美,,,,,,,01-111-00024,2021.12.21,2027.12.31,新規,,146,小皿ｂａｒ　Ｓｕｙａ　別邸,0467,,,,,神奈川県　茅ヶ崎市中海岸４丁目７番３０号,神奈川県茅が崎市中海岸４丁目７番３０号,,82012,14,14207,中海岸４,,,2021/12/21,,2027/12/31,,岩瀬　望美 ,,,,,,,,,01-111-00024,新規,菓子製造業, 菓子,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,E,9,,,小皿ｂａｒＳｕｙａ別邸82012,78bede0d-f13f-4345-8fa7-82e676b6a757,,personal,b97fb5b4-4cfd-4ee2-ba37-797e747a048d,2021/12/21,小皿ｂａｒ　Ｓｕｙａ　別邸,小皿ｂａｒＳｕｙａ別邸,
スタミナカレーＢＵＴＡ小屋　,神奈川県,高座郡寒川町倉見５４７番地４‐Ａ,,,飲食店営業,飲食店,シキデンキ株式会社　,代表取締役,曽根田　誉志,代表取締役　曽根田　誉志,神奈川県横浜市港南区日野５－３０－１,,045-370-8169,01-101-00199,2021.12.23,2027.12.31,新規,,146,スタミナカレーＢＵＴＡ小屋　,0467,,,,,神奈川県　高座郡寒川町倉見５４７番地４‐Ａ,神奈川県高座郡寒川町倉見５４７番地４－Ａ,,82953,14,14321,倉見,,,2021/12/23,,2027/12/31,シキデンキ株式会社　,代表取締役　曽根田　誉志,045-370-8169,神奈川県横浜市港南区日野５－３０－１,神奈川県横浜市港南区日野５－３０－１,,79393,神奈川県,横浜市港南区,日野５,01-101-00199,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,スタミナカレＢＵＴＡ小屋8295314321,4576815c-6fea-4bfd-845a-c7f193a5cbd1,シキデンキ株式会社79393,28870cd2-72d5-4ae6-95f4-a31b196b17b9,9972d3d9-79dc-481e-893e-3288bf4fe7a5,2021/12/23,スタミナカレーＢＵＴＡ小屋　,スタミナカレＢＵＴＡ小屋,シキデンキ株式会社
湘南フォー,神奈川県,高座郡寒川町倉見５４７番地４‐Ｂ,,,飲食店営業,飲食店,シキデンキ株式会社　,代表取締役,曽根田　誉志,代表取締役　曽根田　誉志,横浜市港南区日野５－３０－１,,045-370-8169,01-101-00200,2021.12.23,2027.12.31,新規,,146,湘南フォー,0467,,,,,神奈川県　高座郡寒川町倉見５４７番地４‐Ｂ,神奈川県高座郡寒川町倉見５４７番地４－Ｂ,,82953,14,14321,倉見,,,2021/12/23,,2027/12/31,シキデンキ株式会社　,代表取締役　曽根田　誉志,045-370-8169,横浜市港南区日野５－３０－１,神奈川県横浜市港南区日野５－３０－１,,79393,神奈川県,横浜市港南区,日野５,01-101-00200,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,湘南フォ8295314321,fc3a8f24-92bb-4151-8da5-a8296c42d2c0,シキデンキ株式会社79393,28870cd2-72d5-4ae6-95f4-a31b196b17b9,2721e582-7225-4f08-a51a-89279e790f09,2021/12/23,湘南フォー,湘南フォ,シキデンキ株式会社
小料理　卓,神奈川県,茅ヶ崎市幸町２３番１６号,,0467-86-6913,飲食店営業,飲食店,矢崎　亨,,,,,,,01-101-00205,2021.12.28,2027.12.31,新規,,146,小料理　卓,0467,0467-86-6913,,,,神奈川県　茅ヶ崎市幸町２３番１６号,神奈川県茅が崎市幸町２３番１６号,,81986,14,14207,幸町,,,2021/12/28,,2027/12/31,,矢崎　亨 ,,,,,,,,,01-101-00205,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,小料理卓0467-86-691381986,e28a8ae9-7785-439a-9f28-63566e802004,,personal,19f11219-49f3-4fb2-a71a-ccad0f0cd1ff,2021/12/28,小料理　卓,小料理卓,
ＦＬＯＷＥＲ　ＣＯＦＦＥＥ　／　ＢＲＥＷ　ＢＡＲ,神奈川県,茅ヶ崎市東海岸北１丁目７番２３号,ル・ミディ１階南側,,飲食店営業,簡易な営業,平尾　智一,,,,,,,01-101-00202,2021.12.28,2026.12.31,新規,,146,ＦＬＯＷＥＲ　ＣＯＦＦＥＥ　／　ＢＲＥＷ　ＢＡＲ,0467,,,,,神奈川県　茅ヶ崎市東海岸北１丁目７番２３号,神奈川県茅が崎市東海岸北１丁目７番２３号,ル・ミディ１階南側,82031,14,14207,東海岸北１,,,2021/12/28,,2026/12/31,,平尾　智一 ,,,,,,,,,01-101-00202,新規,飲食店営業, 簡易な営業,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ＦＬＯＷＥＲＣＯＦＦＥＥＢＲＥＷＢＡＲ82031,a547533a-3272-40ac-bfb2-d28cebe6ca64,,personal,4d360555-6c3b-4c08-9235-491b3e0dbcdc,2021/12/28,ＦＬＯＷＥＲ　ＣＯＦＦＥＥ　／　ＢＲＥＷ　ＢＡＲ,ＦＬＯＷＥＲＣＯＦＦＥＥＢＲＥＷＢＡＲ,
Ｈａｎｄｙ　Ｂａｋｅｒｙ　ＣＨＩＭＡ,神奈川県,茅ヶ崎市中島１１７６番地２３,,0467-37-3084,飲食店営業,弁当屋,岡田　政文,,,,,,,01-101-00206,2021.12.28,2027.12.31,新規,,146,Ｈａｎｄｙ　Ｂａｋｅｒｙ　ＣＨＩＭＡ,0467,0467-37-3084,,,,神奈川県　茅ヶ崎市中島１１７６番地２３,神奈川県茅が崎市中島１１７６番地２３,,82013,14,14207,中島,,,2021/12/28,,2027/12/31,,岡田　政文 ,,,,,,,,,01-101-00206,新規,飲食店営業, 弁当屋,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,ＨａｎｄｙＢａｋｅｒｙＣＨＩＭＡ0467-37-308482013,db4a8ff8-5bfa-4a5d-96b5-d776a12b66dc,,personal,7215bffe-dcb8-443f-8e19-abb1ed502352,2021/12/28,Ｈａｎｄｙ　Ｂａｋｅｒｙ　ＣＨＩＭＡ,ＨａｎｄｙＢａｋｅｒｙＣＨＩＭＡ,
自家製麺佐藤,神奈川県,茅ヶ崎市松浪２丁目８番２３号,山長ビル１階,,飲食店営業,飲食店,坂田　宏,,,,,,,01-101-00201,2021.12.28,2027.12.31,新規,,146,自家製麺佐藤,0467,,,,,神奈川県　茅ヶ崎市松浪２丁目８番２３号,神奈川県茅が崎市松浪２丁目８番２３号,山長ビル１階,82062,14,14207,松浪２,,,2021/12/28,,2027/12/31,,坂田　宏 ,,,,,,,,,01-101-00201,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,自家製麺佐藤82062,d7f58221-c875-42ba-b054-2caa58f24dc7,,personal,27d238e8-220d-4e54-b5f2-c7766e87afdd,2021/12/28,自家製麺佐藤,自家製麺佐藤,
バンビ,神奈川県,高座郡寒川町一之宮２丁目１３番３０号,,0467-73-1225,飲食店営業,飲食店,大澤　次枝,,,,,,,01-101-00203,2021.12.28,2027.12.31,新規,,146,バンビ,0467,0467-73-1225,,,,神奈川県　高座郡寒川町一之宮２丁目１３番３０号,神奈川県高座郡寒川町一ノ宮２丁目１３番３０号,,82975,14,14321,一ノ宮２,,,2021/12/28,,2027/12/31,,大澤　次枝 ,,,,,,,,,01-101-00203,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,バンビ0467-73-12258297514321,6a498206-8923-4ced-9019-d505c719f9e4,,personal,1ab92282-71d0-47e3-9b5e-9e57e60a9b45,2021/12/28,バンビ,バンビ,
株式会社フジ食品　寒川第２工場　売店,神奈川県,高座郡寒川町一之宮４丁目２番１３号,,,飲食店営業,"飲食店,弁当屋",株式会社ベントブルー,代表取締役,中山　和也,代表取締役　中山　和也,神奈川県横浜市中区太田町１丁目１８,第２白井ビル１Ｆ,045-641-1729,01-101-00204,2021.12.28,2027.12.31,新規,,146,株式会社フジ食品　寒川第２工場　売店,0467,,,,,神奈川県　高座郡寒川町一之宮４丁目２番１３号,神奈川県高座郡寒川町一ノ宮４丁目２番１３号,,82970,14,14321,一ノ宮４,,,2021/12/28,,2027/12/31,株式会社ベントブルー,代表取締役　中山　和也,045-641-1729,神奈川県横浜市中区太田町１丁目１８,神奈川県横浜市中区太田町１丁目１８,第２白井ビル１Ｆ,78552,神奈川県,横浜市中区,太田町１,01-101-00204,新規,飲食店営業," 飲食店,弁当屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,M,76,,,株式会社フジ食品寒川第２工場売店8297014321,b9489e98-c7b1-4770-8da1-d9221fa018f9,株式会社ベントブルー78552,c84c896f-b13c-4746-b2b2-918b5c802fa1,def0d267-ccab-4d96-b16f-d5deee614dea,2021/12/28,株式会社フジ食品　寒川第２工場　売店,株式会社フジ食品寒川第２工場売店,株式会社ベントブルー
株式会社フジ食品　寒川第２工場,神奈川県,高座郡寒川町一之宮４丁目２番１３号,,,そうざい製造業,そうざい半製品,株式会社ベントブルー,代表取締役,中山　和也,代表取締役　中山　和也,神奈川県横浜市中区太田町１丁目１８,第２白井ビル１Ｆ,045-641-1729,01-125-00006,2021.12.28,2028.12.31,新規,,146,株式会社フジ食品　寒川第２工場,0467,,,,,神奈川県　高座郡寒川町一之宮４丁目２番１３号,神奈川県高座郡寒川町一ノ宮４丁目２番１３号,,82970,14,14321,一ノ宮４,,,2021/12/28,,2028/12/31,株式会社ベントブルー,代表取締役　中山　和也,045-641-1729,神奈川県横浜市中区太田町１丁目１８,神奈川県横浜市中区太田町１丁目１８,第２白井ビル１Ｆ,78552,神奈川県,横浜市中区,太田町１,01-125-00006,新規,そうざい製造業, そうざい半製品,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年12月_末日,E,9,,,株式会社フジ食品寒川第２工場8297014321,bd35dc3b-6c0d-47c7-98ec-c2ad6797ee4a,株式会社ベントブルー78552,c84c896f-b13c-4746-b2b2-918b5c802fa1,03c40aa1-3931-4823-9482-82c1c3ea9511,2021/12/28,株式会社フジ食品　寒川第２工場,株式会社フジ食品寒川第２工場,株式会社ベントブルー
