11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,,904-0031,沖縄市上地３－１１－８,,098-988-7801  ,菓子製造業,菓子製造業,株式会社　Ａｒｔｙ　Ａｇｒｉ,098-988-7801  ,R04.06.07,R04.06.07,第03202200355号,,中部保健所,ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,098,098-988-7801,904-0031,,,沖縄市上地３－１１－８,沖縄県沖縄市上地３－１１－８,,215973,沖縄県,沖縄市,上地３,,2022/06/07,2022/06/07,,,株式会社　Ａｒｔｙ　Ａｇｒｉ,,098-988-7801  ,,,,,,,,第03202200355号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,ＴＥＮＧＯＫＵＦＲＵＩＴＰＡＲＬＯＵＲ,株式会社Ａｒｔｙ　Ａｇｒｉ,,2,,,,,
ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,,904-0031,沖縄市上地３－１１－８,,098-988-7801  ,飲食店営業,その他,株式会社　Ａｒｔｙ　Ａｇｒｉ,098-988-7801  ,R04.06.07,R04.06.07,第03202200356号,,中部保健所,ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,098,098-988-7801,904-0031,,,沖縄市上地３－１１－８,沖縄県沖縄市上地３－１１－８,,215973,沖縄県,沖縄市,上地３,,2022/06/07,2022/06/07,,,株式会社　Ａｒｔｙ　Ａｇｒｉ,,098-988-7801  ,,,,,,,,第03202200356号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＴＥＮＧＯＫＵ　ＦＲＵＩＴ　ＰＡＲＬＯＵＲ,ＴＥＮＧＯＫＵＦＲＵＩＴＰＡＲＬＯＵＲ,株式会社Ａｒｔｙ　Ａｇｒｉ,,2,,,,,
ＢＡＲ　ＢＯＤＥＧＡ,,904-0013,沖縄市室川２－３３－７０,コザベーカリービル３０１,098-934-2077  ,飲食店営業,レストラン,新城博之,,R04.06.09,R04.06.09,第03202200365号,,中部保健所,ＢＡＲ　ＢＯＤＥＧＡ,098,098-934-2077,904-0013,,,沖縄市室川２－３３－７０,沖縄県沖縄市室川２－３３－７０,コザベーカリービル３０１,215913,沖縄県,沖縄市,室川２,,2022/06/09,2022/06/09,,,,,,,,,,,,,第03202200365号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　ＢＯＤＥＧＡ,ＢＡＲＢＯＤＥＧＡ,,,1,,,,,
ファミリーマート大原団地前店,,904-2245,うるま市赤道１５４－２,,098-974-3329  ,飲食店営業,そうざい,株式会社　エーワイ,098-933-8840  ,R04.06.09,R04.06.09,第03202200366号,,中部保健所,ファミリーマート大原団地前店,098,098-974-3329,904-2245,,,うるま市赤道１５４－２,沖縄県うるま市赤道１５４－２,,216517,沖縄県,うるま市,赤道,,2022/06/09,2022/06/09,,,株式会社　エーワイ,,098-933-8840  ,,,,,,,,第03202200366号,,飲食店営業, そうざい,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート大原団地前店,ファミリマト大原団地前店,株式会社エーワイ,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
Ｐｏｏｌ　Ｂａｒ　ｍｏｘｉｅ,,904-0032,沖縄市諸見里１－６－２６,グランドビル２Ｆ,098-923-1903  ,飲食店営業,バー,仲宗根麗美,,R04.06.08,R04.06.08,第03202200371号,,中部保健所,Ｐｏｏｌ　Ｂａｒ　ｍｏｘｉｅ,098,098-923-1903,904-0032,,,沖縄市諸見里１－６－２６,沖縄県沖縄市諸見里１－６－２６,グランドビル２Ｆ,215901,沖縄県,沖縄市,諸見里１,,2022/06/08,2022/06/08,,,,,,,,,,,,,第03202200371号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｐｏｏｌ　Ｂａｒ　ｍｏｘｉｅ,ＰｏｏｌＢａｒｍｏｘｉｅ,,,1,,,,,
ＺＡＷＡＷＡ　ＡＮＤ　Ｃｏ．,,904-0324,読谷村長浜１８１８,,              ,飲食店営業,その他,株式会社ＩｎＮＯｗｔ,03-6450-6232  ,R04.06.08,R04.06.08,第03202200372号,,中部保健所,ＺＡＷＡＷＡ　ＡＮＤ　Ｃｏ．,098,,904-0324,,,読谷村長浜１８１８,沖縄県中頭郡読谷村長浜１８１８,,216358,沖縄県,中頭郡読谷村,長浜,,2022/06/08,2022/06/08,,,株式会社ＩｎＮＯｗｔ,,03-6450-6232  ,,,,,,,,第03202200372号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＺＡＷＡＷＡ　ＡＮＤ　Ｃｏ．,ＺＡＷＡＷＡＡＮＤＣｏ,株式会社ＩｎＮＯｗｔ,,1,,,,,
絵本カフェ～えん～,,904-0324,中頭郡読谷村長浜７３５－１,,              ,菓子製造業,菓子製造業,田舎　由衣,,R04.06.08,R04.06.08,第03202200374号,,中部保健所,絵本カフェ～えん～,098,,904-0324,,,中頭郡読谷村長浜７３５－１,沖縄県中頭郡読谷村長浜７３５－１,,216358,沖縄県,中頭郡読谷村,長浜,,2022/06/08,2022/06/08,,,,,,,,,,,,,第03202200374号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,絵本カフェ～えん～,絵本カフェえん,,,1,,,,,
Ｊｏｈｎ　Ｄｏｅ,,        ,宜野湾市普天間２－４９－３,スカイエンジェル７０３,              ,飲食店営業,その他,合同会社　結南企画,098-911-1293  ,R04.06.09,R04.06.09,第03202200378号,,中部保健所,Ｊｏｈｎ　Ｄｏｅ,098,,        ,,,宜野湾市普天間２－４９－３,沖縄県宜野湾市普天間２－４９－３,スカイエンジェル７０３,215602,沖縄県,宜野湾市,普天間２,,2022/06/09,2022/06/09,,,合同会社　結南企画,,098-911-1293  ,,,,,,,,第03202200378号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｊｏｈｎ　Ｄｏｅ,ＪｏｈｎＤｏｅ,合同会社結南企画,,1,,,,,
マルコポーロ松本店,,904-2151,沖縄市松本３－１－３,メゾンＫ１０２,098-939-1333  ,菓子製造業,菓子製造業,株式会社ぐしけん,098-921-2229  ,R04.06.09,R04.06.09,第03202200379号,,中部保健所,マルコポーロ松本店,098,098-939-1333,904-2151,,,沖縄市松本３－１－３,沖縄県沖縄市松本３－１－３,メゾンＫ１０２,215890,沖縄県,沖縄市,松本３,,2022/06/09,2022/06/09,,,株式会社ぐしけん,,098-921-2229  ,,,,,,,,第03202200379号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マルコポーロ松本店,マルコポロ松本店,株式会社ぐしけん,,1,,,,,
花織そば,,904-0322,読谷村波平２４１８－１,,958-4479      ,そうざい製造業,そうざい製造業,仲村渠徳正,,R04.06.09,R04.06.09,第03202200380号,,中部保健所,花織そば,098,098-958-4479,904-0322,,,読谷村波平２４１８－１,沖縄県中頭郡読谷村波平２４１８－１,,216359,沖縄県,中頭郡読谷村,波平,,2022/06/09,2022/06/09,,,,,,,,,,,,,第03202200380号,,そうざい製造業, そうざい製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,花織そば,花織そば,,,1,,,,,
Ｋｏｒｅａｎ　ｂａｒ　Ｔａｎｂａｍ,,904-2172,沖縄市泡瀬３－２－３,カルスビル２Ｆ,              ,飲食店営業,バー,古堅　亮太,,R04.06.13,R04.06.13,第03202200381号,,中部保健所,Ｋｏｒｅａｎ　ｂａｒ　Ｔａｎｂａｍ,098,,904-2172,,,沖縄市泡瀬３－２－３,沖縄県沖縄市泡瀬３－２－３,カルスビル２Ｆ,215945,沖縄県,沖縄市,泡瀬３,,2022/06/13,2022/06/13,,,,,,,,,,,,,第03202200381号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋｏｒｅａｎ　ｂａｒ　Ｔａｎｂａｍ,ＫｏｒｅａｎｂａｒＴａｎｂａｍ,,,1,,,,,
ＢＩＲＤＩＥ,,904-0021,沖縄市胡屋１－９－１９,,              ,飲食店営業,バー,仲松　秀樹,,R04.06.13,R04.06.13,第03202200384号,,中部保健所,ＢＩＲＤＩＥ,098,,904-0021,,,沖縄市胡屋１－９－１９,沖縄県沖縄市胡屋１－９－１９,,215867,沖縄県,沖縄市,胡屋１,,2022/06/13,2022/06/13,,,,,,,,,,,,,第03202200384号,,飲食店営業, バー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＩＲＤＩＥ,ＢＩＲＤＩＥ,,,1,,,,,
喫茶ラナルータ,,901-2301,北中城村島袋３１１－２,,              ,飲食店営業,カフェー,作田　二光,,R04.06.13,R04.06.13,第03202200385号,,中部保健所,喫茶ラナルータ,098,,901-2301,,,北中城村島袋３１１－２,沖縄県中頭郡北中城村島袋３１１－２,,216270,沖縄県,中頭郡北中城村,島袋,,2022/06/13,2022/06/13,,,,,,,,,,,,,第03202200385号,,飲食店営業, カフェー,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,喫茶ラナルータ,喫茶ラナルタ,,,1,,,,,
ドミノ・ピザ　登川店,,904-2142,沖縄市登川１－８－３,,              ,飲食店営業,レストラン,株式会社Ｐｈｏｅｎｉｘ,              ,R04.06.13,R04.06.13,第03202200386号,,中部保健所,ドミノ・ピザ　登川店,098,,904-2142,,,沖縄市登川１－８－３,沖縄県沖縄市登川１－８－３,,215885,沖縄県,沖縄市,登川１,,2022/06/13,2022/06/13,,,株式会社Ｐｈｏｅｎｉｘ,,-undefined-    ,,,,,,,,第03202200386号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ドミノ・ピザ　登川店,ドミノピザ登川店,株式会社Ｐｈｏｅｎｉｘ,ドミノピザ,1,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,配達飲食サービス業,配達飲食サービス業,
樹,,904-2243,うるま市宮里８３４－２,２階２０３,              ,飲食店営業,その他,新城　節子,,R04.06.10,R04.06.10,第03202200389号,,中部保健所,樹,098,,904-2243,,,うるま市宮里８３４－２,沖縄県うるま市宮里８３４－２,２階２０３,216487,沖縄県,うるま市,宮里,,2022/06/10,2022/06/10,,,,,,,,,,,,,第03202200389号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,樹,樹,,,1,,,,,
酒場　一玄屋,,901-2204,宜野湾市上原１－１３－３,,098-959-1604  ,飲食店営業,居酒屋,株式会社玄,098-926-1603  ,R04.06.14,R04.06.14,第03202200391号,,中部保健所,酒場　一玄屋,098,098-959-1604,901-2204,,,宜野湾市上原１－１３－３,沖縄県宜野湾市上原１－１３－３,,215549,沖縄県,宜野湾市,上原１,,2022/06/14,2022/06/14,,,株式会社玄,,098-926-1603  ,,,,,,,,第03202200391号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,酒場　一玄屋,酒場一玄屋,株式会社玄,,1,,,,,
Ｂａｒｂｅｃｕｅ　Ｎｉｇｈｔ,,904-0114,中頭郡北谷町港７－４,,098-923-5881  ,飲食店営業,レストラン,株式会社エチ．アル．トレーディング沖縄,098-943-3760  ,R04.06.14,R04.06.14,第03202200392号,,中部保健所,Ｂａｒｂｅｃｕｅ　Ｎｉｇｈｔ,098,098-923-5881,904-0114,,,中頭郡北谷町港７－４,沖縄県中頭郡北谷町港７－４,,216485,沖縄県,中頭郡北谷町,港,,2022/06/14,2022/06/14,,,株式会社エチ．アル．トレーディング沖縄,,098-943-3760  ,,,,,,,,第03202200392号,,飲食店営業, レストラン,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒｂｅｃｕｅ　Ｎｉｇｈｔ,ＢａｒｂｅｃｕｅＮｉｇｈｔ,株式会社エチ．アル．トレーディング沖縄,,1,,,,,
ｍｅｒｃｉ　ｃｏｏｋｉｅ,,        ,宜野湾市真志喜１－９－１６,,098-897-2525  ,菓子製造業,菓子製造業,宮國トヨ,,R04.06.14,R04.06.14,第03202200393号,,中部保健所,ｍｅｒｃｉ　ｃｏｏｋｉｅ,098,098-897-2525,        ,,,宜野湾市真志喜１－９－１６,沖縄県宜野湾市真志喜１－９－１６,,215608,沖縄県,宜野湾市,真志喜１,,2022/06/14,2022/06/14,,,,,,,,,,,,,第03202200393号,,菓子製造業, 菓子製造業,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ｍｅｒｃｉ　ｃｏｏｋｉｅ,ｍｅｒｃｉｃｏｏｋｉｅ,,,1,,,,,
Ｌｏｕｎｇｅ　Ｍａｎｔｅ　ｆｕ,,901-2202,宜野湾市普天間２－４４－９,多和田社交ビル２０２,              ,飲食店営業,その他,平安名　絵里香,,R04.06.15,R04.06.15,第03202200396号,,中部保健所,Ｌｏｕｎｇｅ　Ｍａｎｔｅ　ｆｕ,098,,901-2202,,,宜野湾市普天間２－４４－９,沖縄県宜野湾市普天間２－４４－９,多和田社交ビル２０２,215602,沖縄県,宜野湾市,普天間２,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200396号,,飲食店営業, その他,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｌｏｕｎｇｅ　Ｍａｎｔｅ　ｆｕ,ＬｏｕｎｇｅＭａｎｔｅｆｕ,,,1,,,,,
居酒屋　じゅねーど,,904-0031,沖縄市上地１－１７－３３,,              ,飲食店営業,居酒屋,又吉　純一,,R04.06.15,R04.06.15,第03202200397号,,中部保健所,居酒屋　じゅねーど,098,,904-0031,,,沖縄市上地１－１７－３３,沖縄県沖縄市上地１－１７－３３,,215971,沖縄県,沖縄市,上地１,,2022/06/15,2022/06/15,,,,,,,,,,,,,第03202200397号,,飲食店営業, 居酒屋,,,469_沖縄県_中部保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋　じゅねーど,居酒屋じゅねど,,,1,,,,,
