https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4066,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,分割処理中,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4309,スナック　芳芳,,福井市順化１丁目１７－１１ウエノビル２ＦＡ号,福井市順化１丁目１７－１１,ウエノビル２ＦＡ号,0776-26-6588,飲食店営業,,,孫 鳳蘭,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-638,,221,スナック　芳芳,0776,0776-26-6588,,,,　福井市順化１丁目１７－１１,福井県福井市順化１丁目１７－１１,ウエノビル２ＦＡ号,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,孫 鳳蘭,,,,,,,,,福井市指令生衛第21-4-638,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,スナック芳芳0776-26-65889726118201,c7a82151-c0b5-4553-ac35-dc1a4ed9b164,,personal,38eea8a0-05ba-4e6a-b2ff-d2753a5a5099,2022/01/26,スナック　芳芳,スナック芳芳,
4310,スナック・エール,,福井市順化１丁目７－８エドモンド片町２Ｆ,福井市順化１丁目７－８,エドモンド片町２Ｆ,0776-26-0833,飲食店営業,,,野坂 美智代,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-632,,221,スナック・エール,0776,0776-26-0833,,,,　福井市順化１丁目７－８,福井県福井市順化１丁目７－８,エドモンド片町２Ｆ,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,野坂 美智代,,,,,,,,,福井市指令生衛第21-4-632,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,スナックエル0776-26-08339726118201,202788ea-b27a-4448-b5f5-7cd2f679af94,,personal,dad60871-2c84-48f6-952a-ef03b27a076a,2022/01/26,スナック・エール,スナックエル,
4311,沙月,,福井市順化１丁目１７－２５第二津々美ビル１Ｆ１０１,福井市順化１丁目１７－２５,第二津々美ビル１Ｆ１０１,0776-26-7234,飲食店営業,,,髙溝 月子,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-644,,221,沙月,0776,0776-26-7234,,,,　福井市順化１丁目１７－２５,福井県福井市順化１丁目１７－２５,第二津々美ビル１Ｆ１０１,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,髙溝 月子,,,,,,,,,福井市指令生衛第21-4-644,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,沙月0776-26-72349726118201,06d59f3f-13ee-4537-b93e-cc4c986b5cc9,,personal,f7f86e70-ab40-4e00-a817-9be207b05634,2022/01/26,沙月,沙月,
4312,ＭＡＧＩＣＯ,,福井市順化１丁目１３－１順化アートビル３Ｆ,福井市順化１丁目１３－１,順化アートビル３Ｆ,0776-27-3507,飲食店営業,,,髙坂 美栄子,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-637,,221,ＭＡＧＩＣＯ,0776,0776-27-3507,,,,　福井市順化１丁目１３－１,福井県福井市順化１丁目１３－１,順化アートビル３Ｆ,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,髙坂 美栄子,,,,,,,,,福井市指令生衛第21-4-637,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ＭＡＧＩＣＯ0776-27-35079726118201,4af67dc2-f72c-4fbc-850c-83bbe0304c76,,personal,2027ef0d-f9c2-4404-b826-d11083c42e3e,2022/01/26,ＭＡＧＩＣＯ,ＭＡＧＩＣＯ,
4313,Ｄｉａｍｏｎｄ,,福井市順化１丁目１７－７プランタン片町ビル４ＦＡ号室,福井市順化１丁目１７－７,プランタン片町ビル４ＦＡ号室,0776-25-0339,飲食店営業,,,藤沢 真弓,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-653,,221,Ｄｉａｍｏｎｄ,0776,0776-25-0339,,,,　福井市順化１丁目１７－７,福井県福井市順化１丁目１７－７,プランタン片町ビル４ＦＡ号室,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,藤沢 真弓,,,,,,,,,福井市指令生衛第21-4-653,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,Ｄｉａｍｏｎｄ0776-25-03399726118201,cf4ea6c7-e9fd-4a48-9aac-fa0d30ab1a83,,personal,728f0d40-2b57-4603-87b4-659028b6ab09,2022/01/26,Ｄｉａｍｏｎｄ,Ｄｉａｍｏｎｄ,
4314,夏希,,福井市順化１丁目１４－２１順化アルバビル３Ｆ３０２,福井市順化１丁目１４－２１,順化アルバビル３Ｆ３０２,0776-23-5552,飲食店営業,,,田中 千夏,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-4-673,,221,夏希,0776,0776-23-5552,,,,　福井市順化１丁目１４－２１,福井県福井市順化１丁目１４－２１,順化アルバビル３Ｆ３０２,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,田中 千夏,,,,,,,,,福井市指令生衛第21-4-673,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,夏希0776-23-55529726118201,d16653c1-b1d0-49f6-a89f-de015abc1848,,personal,779e6bd7-ad66-4246-b472-c9b5aa01230e,2022/01/26,夏希,夏希,
4315,まんぼう,,福井市順化１丁目１５－９スカイパレスビル１０１,福井市順化１丁目１５－９,スカイパレスビル１０１,0776-91-1102,飲食店営業,,,山田 啓介,,,,,2022年1月26日,2022年1月26日,福井市指令生衛第21-3-278,,221,まんぼう,0776,0776-91-1102,,,,　福井市順化１丁目１５－９,福井県福井市順化１丁目１５－９,スカイパレスビル１０１,97261,18,18201,順化１,,2022/01/26,2022/01/26,,,,山田 啓介,,,,,,,,,福井市指令生衛第21-3-278,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,まんぼう0776-91-11029726118201,fd795f91-1f1b-43e7-ae42-6aeb2587bec7,,personal,637856ea-b719-4343-a893-33fd7599e3cb,2022/01/26,まんぼう,まんぼう,
4302,金福,,福井市順化１丁目１８－３イガラシビル２Ｆ,福井市順化１丁目１８－３,イガラシビル２Ｆ,,飲食店営業,,,金 炳万,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-3-265,,221,金福,0776,,,,,　福井市順化１丁目１８－３,福井県福井市順化１丁目１８－３,イガラシビル２Ｆ,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,金 炳万,,,,,,,,,福井市指令生衛第21-3-265,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,金福9726118201,245ac47f-3d4e-4417-808d-ad89e6a2b888,,personal,9a18e771-969d-4b09-bb4e-c0db7094d729,2022/01/25,金福,金福,
4303,スナック　ゆう,,福井市順化１丁目１０－１２ＫＫビル１階,福井市順化１丁目１０－１２,ＫＫビル１階,,飲食店営業,,,尤 惠莉,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-627,,221,スナック　ゆう,0776,,,,,　福井市順化１丁目１０－１２,福井県福井市順化１丁目１０－１２,ＫＫビル１階,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,尤 惠莉,,,,,,,,,福井市指令生衛第21-4-627,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,スナックゆう9726118201,e8e93f57-b135-4613-927e-a3ab5025ef87,,personal,822f13ef-9ca6-4ce1-b429-ba59ae96979c,2022/01/25,スナック　ゆう,スナックゆう,
4304,おきな,,福井市順化１丁目１６－３,福井市順化１丁目１６－３,,0776-23-2733,飲食店営業,,,杉田 利雄,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-636,,221,おきな,0776,0776-23-2733,,,,　福井市順化１丁目１６－３,福井県福井市順化１丁目１６－３,,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,杉田 利雄,,,,,,,,,福井市指令生衛第21-4-636,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,おきな0776-23-27339726118201,bbba93ad-4a92-4e65-8b1e-5812001262a6,,personal,09654d5f-e581-4797-bfe3-2d8c9a57876d,2022/01/25,おきな,おきな,
4305,スナック　愛華,,福井市順化１丁目７－８エドモンド片町３Ｆ,福井市順化１丁目７－８,エドモンド片町３Ｆ,0776-28-1038,飲食店営業,,,随 艶,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-630,,221,スナック　愛華,0776,0776-28-1038,,,,　福井市順化１丁目７－８,福井県福井市順化１丁目７－８,エドモンド片町３Ｆ,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,随 艶,,,,,,,,,福井市指令生衛第21-4-630,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,スナック愛華0776-28-10389726118201,3d324102-299a-4648-9b6d-ef2eff4641f9,,personal,da21db44-c349-43e6-93ee-059d52106011,2022/01/25,スナック　愛華,スナック愛華,
4306,ダイニングカフェ　ヴィアーレ　ナフ,,福井市順化１丁目１７－９ビッグラウンドビル１Ｆ,福井市順化１丁目１７－９,ビッグラウンドビル１Ｆ,0776-25-2277,飲食店営業,,,藤井 孝治,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-628,,221,ダイニングカフェ　ヴィアーレ　ナフ,0776,0776-25-2277,,,,　福井市順化１丁目１７－９,福井県福井市順化１丁目１７－９,ビッグラウンドビル１Ｆ,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,藤井 孝治,,,,,,,,,福井市指令生衛第21-4-628,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ダイニングカフェヴィアレナフ0776-25-22779726118201,7fc50882-bdba-4803-9caf-48af919c532a,,personal,b668d3ed-5f9b-4ec6-8a7e-eddad666db93,2022/01/25,ダイニングカフェ　ヴィアーレ　ナフ,ダイニングカフェヴィアレナフ,
4307,ＢＡＲ　ＮＡＦ－ＮＡＦ,,福井市順化２丁目２０－２エルミオーレビル１Ｆ,福井市順化２丁目２０－２,エルミオーレビル１Ｆ,0776-25-7233,飲食店営業,,,藤井 孝治,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-629,,221,ＢＡＲ　ＮＡＦ－ＮＡＦ,0776,0776-25-7233,,,,　福井市順化２丁目２０－２,福井県福井市順化２丁目２０－２,エルミオーレビル１Ｆ,97262,18,18201,順化２,,2022/01/25,2022/01/25,,,,藤井 孝治,,,,,,,,,福井市指令生衛第21-4-629,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,ＢＡＲＮＡＦＮＡＦ0776-25-72339726218201,4a616377-526f-4ed7-a535-a43e96d95789,,personal,64d708fb-76fa-4b8a-8a59-39e1d8b2483a,2022/01/25,ＢＡＲ　ＮＡＦ－ＮＡＦ,ＢＡＲＮＡＦＮＡＦ,
4308,味真乃,,福井市順化１丁目１６－８吉田ビル１Ｆ,福井市順化１丁目１６－８,吉田ビル１Ｆ,0776-28-6806,飲食店営業,,,吉田 繁,,,,,2022年1月25日,2022年1月25日,福井市指令生衛第21-4-659,,221,味真乃,0776,0776-28-6806,,,,　福井市順化１丁目１６－８,福井県福井市順化１丁目１６－８,吉田ビル１Ｆ,97261,18,18201,順化１,,2022/01/25,2022/01/25,,,,吉田 繁,,,,,,,,,福井市指令生衛第21-4-659,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,味真乃0776-28-68069726118201,9edc5044-6dbc-4fac-9f8a-c2760d69a517,,personal,5500bc7a-7706-42da-a93e-843383aba9bc,2022/01/25,味真乃,味真乃,
4301,越前アリメントス株式会社,福井県,福井市高柳１丁目２４０８中央市場関連団地２１４号,福井市高柳１丁目２４０８,中央市場関連団地２１４号,,食品の小分け業,,越前アリメントス株式会社,天谷 新司,福井県福井市灯明寺４丁目１６２０,福井県福井市灯明寺４丁目１６２０,,0776-50-2390,2022年1月24日,2022年1月24日,福井市指令生衛第21-3-261,,221,越前アリメントス株式会社,0776,,,,,福井県　福井市高柳１丁目２４０８,福井県福井市高柳１丁目２４０８,中央市場関連団地２１４号,97740,18,18201,高柳１,,2022/01/24,2022/01/24,,,越前アリメントス株式会社,天谷 新司,0776-50-2390,福井県福井市灯明寺４丁目１６２０,福井県福井市灯明寺４丁目１６２０,,97344,福井県,福井市,灯明寺４,福井市指令生衛第21-3-261,,食品の小分け業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,I,58,522,5229,越前アリメントス株式会社9774018201,c992d502-0c99-4825-9353-f123294951d2,越前アリメントス株式会社97344,c3d849af-31a2-4293-ba86-ced0969c03fd,cc063208-4278-48b5-9d94-625423212a19,2022/01/24,越前アリメントス株式会社,越前アリメントス株式会社,越前アリメントス株式会社
4298,セブン－イレブン　福井文京３丁目店,,福井市文京３丁目９４５,福井市文京３丁目９４５,,0776-26-7115,飲食店営業,,,谷出 喜生,,,,,2022年1月21日,2022年1月21日,福井市指令生衛第21-3-241,,221,セブン－イレブン　福井文京３丁目店,0776,0776-26-7115,,,,　福井市文京３丁目９４５,福井県福井市文京３丁目９４５,,97455,18,18201,文京３,,2022/01/21,2022/01/21,,,,谷出 喜生,,,,,,,,,福井市指令生衛第21-3-241,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,セブンイレブン福井文京３丁目店0776-26-71159745518201,9b7b0a20-ca95-4213-b02f-51e7877b8f45,,personal,8fd68c90-a421-4ed6-a819-7bde590b0460,2022/01/21,セブンイレブン　福井文京３丁目店,セブンイレブン福井文京３丁目店,
4299,ＦＵＫＵＩ　ＰＨＯ－ｍｅ　ＦＡＣＴＯＲＹ,福井県,福井市黒丸町１０－１６－１,福井市黒丸町１０－１６－１,,0776-58-7063,麺類製造業,,株式会社スゴイ上江ファーム,義元 孝司,福井県坂井市春江町藤鷲塚２７－１６－１,福井県坂井市春江町藤鷲塚２７－１６－１,,0776-58-7063,2022年1月21日,2022年1月21日,福井市指令生衛第21-3-259,,221,ＦＵＫＵＩ　ＰＨＯ－ｍｅ　ＦＡＣＴＯＲＹ,0776,0776-58-7063,,,,福井県　福井市黒丸町１０－１６－１,福井県福井市黒丸町１０－１６－１,,97186,18,18201,黒丸町,,2022/01/21,2022/01/21,,,株式会社スゴイ上江ファーム,義元 孝司,0776-58-7063,福井県坂井市春江町藤鷲塚２７－１６－１,福井県坂井市春江町藤鷲塚２７－１６－１,,99048,福井県,坂井市,春江町藤鷲塚,福井市指令生衛第21-3-259,,麺類製造業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,E,9,,,ＦＵＫＵＩＰＨＯｍｅＦＡＣＴＯＲＹ0776-58-70639718618201,5f9188e5-ff0e-468e-91c1-45d9e21e50a7,株式会社スゴイ上江ファーム99048,85367a05-8b8f-4f0f-86d8-bd4cdcc814e0,8515e572-4b0d-40e0-967b-66da8781a361,2022/01/21,ＦＵＫＵＩ　ＰＨＯ－ｍｅ　ＦＡＣＴＯＲＹ,ＦＵＫＵＩＰＨＯｍｅＦＡＣＴＯＲＹ,株式会社スゴイ上江ファーム
4300,デイジー,福井県,福井市順化１丁目１７－１５オリエンタル５　２階　２０１号室,福井市順化１丁目１７－１５,オリエンタル５　２階 ２０１号室,,飲食店営業,,デイジー株式会社,呉 和貞,福井県福井市文京１丁目４２－２０,福井県福井市文京１丁目４２－２０,,,2022年1月21日,2022年1月21日,福井市指令生衛第21-3-260,,221,デイジー,0776,,,,,福井県　福井市順化１丁目１７－１５,福井県福井市順化１丁目１７－１５,オリエンタル５　２階 ２０１号室,97261,18,18201,順化１,,2022/01/21,2022/01/21,,,デイジー株式会社,呉 和貞,,福井県福井市文京１丁目４２－２０,福井県福井市文京１丁目４２－２０,,97453,福井県,福井市,文京１,福井市指令生衛第21-3-260,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,デイジ9726118201,f8f8a752-9f02-4e16-8b9d-232206540c38,デイジー株式会社97453,9a52c39d-0453-4b31-bd8e-9a770626948a,42925547-fe33-4b6e-bfdb-ea223bb55648,2022/01/21,デイジー,デイジ,デイジー株式会社
4292,セブン－イレブン　福井板垣２丁目店,,福井市板垣２丁目３１４,福井市板垣２丁目３１４,,0776-33-0238,飲食店営業,,,面屋 峰隆,,,,,2022年1月20日,2022年1月20日,福井市指令生衛第21-3-236,,221,セブン－イレブン　福井板垣２丁目店,0776,0776-33-0238,,,,　福井市板垣２丁目３１４,福井県福井市板垣２丁目３１４,,97581,18,18201,板垣２,,2022/01/20,2022/01/20,,,,面屋 峰隆,,,,,,,,,福井市指令生衛第21-3-236,,飲食店営業,,,,221_福井県_福井市保健所_食品衛生(許可)_2022年01月まで全件_末日,M,76,,,セブンイレブン福井板垣２丁目店0776-33-02389758118201,f931308c-bf00-4cca-ac2d-21868a4d43d7,,personal,05a165ac-b4e7-4246-95ef-d1be2e096345,2022/01/20,セブンイレブン　福井板垣２丁目店,セブンイレブン福井板垣２丁目店,
