https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,n処理終了,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,施設名,,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,業種,,営業所所在地,,,営業者氏名,屋号または商号,変更事項,,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3板保生食ほ-  544,飲食店営業,東京都,板橋区南常盤台一丁目28番2号　田中ビル２０１,板橋区南常盤台１丁目２８番２号, 田中ビル２０１,株式会社テルコ,ＣｏＣｏ,その他,変更,,板橋区保健所,ＣｏＣｏ,03,,,,,東京都　板橋区南常盤台１丁目２８番２号,東京都板橋区南常盤台１丁目２８番２号, 田中ビル２０１,75148,東京都,板橋区,南常盤台１,,,,,,株式会社テルコ,,,,,,,,,,3板保生食ほ-  544,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＣｏＣｏ,ＣｏＣｏ,株式会社テルコ
27板保生食ほ- 1157,食肉処理業,東京都,板橋区大谷口上町85番2号,板橋区大谷口上町８５番２号,,有限会社ケイシュウミート,(有)ケイシュウミート,営業設備の大要,変更,,板橋区保健所,(有)ケイシュウミート,03,,,,,東京都　板橋区大谷口上町８５番２号,東京都板橋区大谷口上町８５番２号,,75052,東京都,板橋区,大谷口上町,,,,,,有限会社ケイシュウミート,,,,,,,,,,27板保生食ほ- 1157,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,有限会社ケイシュウミート,有限会社ケイシュウミト,有限会社ケイシュウミート
29板保生食ほ- 1177,飲食店営業,東京都,板橋区大谷口一丁目20番13号,板橋区大谷口１丁目２０番１３号,,特定非営利活動法人はらから東京の会,とうふ工房・大谷口の家,代表者氏名,変更,,板橋区保健所,とうふ工房・大谷口の家,03,,,,,東京都　板橋区大谷口１丁目２０番１３号,東京都板橋区大谷口１丁目２０番１３号,,75050,東京都,板橋区,大谷口１,,,,,,特定非営利活動法人はらから東京の会,,,,,,,,,,29板保生食ほ- 1177,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,とうふ工房・大谷口の家,とうふ工房大谷口の家,特定非営利活動法人はらから東京の会
29板保生食ほ- 1178,豆腐製造業,東京都,板橋区大谷口一丁目20番13号,板橋区大谷口１丁目２０番１３号,,特定非営利活動法人はらから東京の会,とうふ工房・大谷口の家,代表者氏名,変更,,板橋区保健所,とうふ工房・大谷口の家,03,,,,,東京都　板橋区大谷口１丁目２０番１３号,東京都板橋区大谷口１丁目２０番１３号,,75050,東京都,板橋区,大谷口１,,,,,,特定非営利活動法人はらから東京の会,,,,,,,,,,29板保生食ほ- 1178,変更,豆腐製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,とうふ工房・大谷口の家,とうふ工房大谷口の家,特定非営利活動法人はらから東京の会
29板保生食れ-  135,食料品等販売業,東京都,板橋区大谷口一丁目20番13号,板橋区大谷口１丁目２０番１３号,,特定非営利活動法人はらから東京の会,とうふ工房・大谷口の家,代表者氏名,変更,,板橋区保健所,とうふ工房・大谷口の家,03,,,,,東京都　板橋区大谷口１丁目２０番１３号,東京都板橋区大谷口１丁目２０番１３号,,75050,東京都,板橋区,大谷口１,,,,,,特定非営利活動法人はらから東京の会,,,,,,,,,,29板保生食れ-  135,変更,食料品販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,農業，林業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,とうふ工房・大谷口の家,とうふ工房大谷口の家,特定非営利活動法人はらから東京の会
30板保生食ほ-  253,菓子製造業,東京都,板橋区大谷口一丁目20番13号,板橋区大谷口１丁目２０番１３号,,特定非営利活動法人はらから東京の会,とうふ工房・大谷口の家,代表者氏名,変更,,板橋区保健所,とうふ工房・大谷口の家,03,,,,,東京都　板橋区大谷口１丁目２０番１３号,東京都板橋区大谷口１丁目２０番１３号,,75050,東京都,板橋区,大谷口１,,,,,,特定非営利活動法人はらから東京の会,,,,,,,,,,30板保生食ほ-  253,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,とうふ工房・大谷口の家,とうふ工房大谷口の家,特定非営利活動法人はらから東京の会
30板保生食ほ-  387,菓子製造業,東京都,板橋区前野町三丁目15番15号,板橋区前野町３丁目１５番１５号,,株式会社オールハーツ・カンパニー,(株)オールハーツ・カンパニー板橋工場,代表者氏名,変更,,板橋区保健所,(株)オールハーツ・カンパニー板橋工場,03,,,,,東京都　板橋区前野町３丁目１５番１５号,東京都板橋区前野町３丁目１５番１５号,,75141,東京都,板橋区,前野町３,,,,,,株式会社オールハーツ・カンパニー,,,,,,,,,,30板保生食ほ-  387,変更,菓子製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,株式会社オールハーツ・カンパニー板橋工場,株式会社オルハツカンパニ板橋工場,株式会社オールハーツ・カンパニー
26板保生食ほ-  797,飲食店営業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,本社所在地（法人）,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,26板保生食ほ-  797,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
2板保生食ほ-  557,食肉販売業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,本社所在地（法人）,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,2板保生食ほ-  557,変更,食肉販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
2板保生食ほ-  558,魚介類販売業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,本社所在地（法人）,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,2板保生食ほ-  558,変更,魚介類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
3板保生食ほ-  713,飲食店営業,東京都,板橋区高島平一丁目27番12号,板橋区高島平１丁目２７番１２号,,株式会社ＫＲホールディングス,かごの屋高島平店,本社所在地（法人）,変更,,板橋区保健所,かごの屋高島平店,03,,,,,東京都　板橋区高島平１丁目２７番１２号,東京都板橋区高島平１丁目２７番１２号,,75084,東京都,板橋区,高島平１,,,,,,株式会社ＫＲホールディングス,,,,,,,,,,3板保生食ほ-  713,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,かごの屋高島平店,かごの屋高島平店,株式会社ＫＲホールディングス
27板保生食ほ- 1164,飲食店営業,東京都,板橋区大谷口北町35番4号,板橋区大谷口北町３５番４号,,田中　新一,御食事処しんちゃん,住所（個人）,変更,,板橋区保健所,御食事処しんちゃん,03,,,,,東京都　板橋区大谷口北町３５番４号,東京都板橋区大谷口北町３５番４号,,75053,東京都,板橋区,大谷口北町,,,,,,,田中　新一,,,,,,,,,27板保生食ほ- 1164,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,御食事処しんちゃん,御食事処しんちゃん,
30板保生食ほ-  784,飲食店営業,東京都,板橋区徳丸二丁目6番1号,板橋区徳丸２丁目６番１号,,イオンリテール株式会社,イオンスタイル板橋　水産,営業所名称、屋号または商号,変更,,板橋区保健所,イオンスタイル板橋　水産,03,,,,,東京都　板橋区徳丸２丁目６番１号,東京都板橋区徳丸２丁目６番１号,,75099,東京都,板橋区,徳丸２,,,,,,イオンリテール株式会社,,,,,,,,,,30板保生食ほ-  784,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋　水産,イオンスタイル板橋水産,イオンリテール株式会社
30板保生食ほ-  784,飲食店営業,東京都,板橋区徳丸二丁目6番1号,板橋区徳丸２丁目６番１号,,イオンリテール株式会社,イオンスタイル板橋　水産,営業設備の大要,変更,,板橋区保健所,イオンスタイル板橋　水産,03,,,,,東京都　板橋区徳丸２丁目６番１号,東京都板橋区徳丸２丁目６番１号,,75099,東京都,板橋区,徳丸２,,,,,,イオンリテール株式会社,,,,,,,,,,30板保生食ほ-  784,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋　水産,イオンスタイル板橋水産,イオンリテール株式会社
30板保生食ほ-  785,飲食店営業,東京都,板橋区徳丸二丁目6番1号,板橋区徳丸２丁目６番１号,,イオンリテール株式会社,イオンスタイル板橋　ホットデリカ,営業所名称、屋号または商号,変更,,板橋区保健所,イオンスタイル板橋　ホットデリカ,03,,,,,東京都　板橋区徳丸２丁目６番１号,東京都板橋区徳丸２丁目６番１号,,75099,東京都,板橋区,徳丸２,,,,,,イオンリテール株式会社,,,,,,,,,,30板保生食ほ-  785,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋　ホットデリカ,イオンスタイル板橋ホットデリカ,イオンリテール株式会社
30板保生食ほ-  785,飲食店営業,東京都,板橋区徳丸二丁目6番1号,板橋区徳丸２丁目６番１号,,イオンリテール株式会社,イオンスタイル板橋　ホットデリカ,営業設備の大要,変更,,板橋区保健所,イオンスタイル板橋　ホットデリカ,03,,,,,東京都　板橋区徳丸２丁目６番１号,東京都板橋区徳丸２丁目６番１号,,75099,東京都,板橋区,徳丸２,,,,,,イオンリテール株式会社,,,,,,,,,,30板保生食ほ-  785,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,イオンスタイル板橋　ホットデリカ,イオンスタイル板橋ホットデリカ,イオンリテール株式会社
27板保生食ほ- 1292,飲食店営業,東京都,板橋区大谷口上町25番1号,板橋区大谷口上町２５番１号,,王　雷,ミニストップ板橋日大病院前店,住所（個人）,変更,,板橋区保健所,ミニストップ板橋日大病院前店,03,,,,,東京都　板橋区大谷口上町２５番１号,東京都板橋区大谷口上町２５番１号,,75052,東京都,板橋区,大谷口上町,,,,,,,王　雷,,,,,,,,,27板保生食ほ- 1292,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,ミニストップ板橋日大病院前店,ミニストップ板橋日大病院前店,
27板保生食ほ- 1296,アイスクリーム類製造業,東京都,板橋区大谷口上町25番1号,板橋区大谷口上町２５番１号,,王　雷,ミニストップ板橋日大病院前店,住所（個人）,変更,,板橋区保健所,ミニストップ板橋日大病院前店,03,,,,,東京都　板橋区大谷口上町２５番１号,東京都板橋区大谷口上町２５番１号,,75052,東京都,板橋区,大谷口上町,,,,,,,王　雷,,,,,,,,,27板保生食ほ- 1296,変更,アイスクリーム類製造業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,製造業,食料品製造業,,,,,,,,,ミニストップ板橋日大病院前店,ミニストップ板橋日大病院前店,
30板保生食ほ-  762,乳類販売業,東京都,板橋区中台一丁目22番3号,板橋区中台１丁目２２番３号,,株式会社富士薬品,ドラッグセイムス板橋中台店,営業所名称、屋号または商号,変更,,板橋区保健所,ドラッグセイムス板橋中台店,03,,,,,東京都　板橋区中台１丁目２２番３号,東京都板橋区中台１丁目２２番３号,,75108,東京都,板橋区,中台１,,,,,,株式会社富士薬品,,,,,,,,,,30板保生食ほ-  762,変更,乳類販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,卸売業，小売業,飲食料品小売業,,,,,,,,,ドラッグセイムス板橋中台店,ドラッグセイムス板橋中台店,株式会社富士薬品
30板保生食れ-   83,食料品等販売業,東京都,板橋区中台一丁目22番3号,板橋区中台１丁目２２番３号,,株式会社富士薬品,ドラッグセイムス板橋中台店,営業所名称、屋号または商号,変更,,板橋区保健所,ドラッグセイムス板橋中台店,03,,,,,東京都　板橋区中台１丁目２２番３号,東京都板橋区中台１丁目２２番３号,,75108,東京都,板橋区,中台１,,,,,,株式会社富士薬品,,,,,,,,,,30板保生食れ-   83,変更,食料品販売業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,農業，林業,飲食料品小売業,各種食料品小売業,各種食料品小売業,,,,,,,ドラッグセイムス板橋中台店,ドラッグセイムス板橋中台店,株式会社富士薬品
30板保生食ほ-    5,飲食店営業,東京都,板橋区中板橋21番10号,板橋区中板橋２１番１０号,,則本　一宏,頂,住所（個人）,変更,,板橋区保健所,頂,03,,,,,東京都　板橋区中板橋２１番１０号,東京都板橋区中板橋２１番１０号,,75106,東京都,板橋区,中板橋,,,,,,,則本　一宏,,,,,,,,,30板保生食ほ-    5,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,頂,頂,
2板保生食ほ-  612,飲食店営業,東京都,板橋区常盤台四丁目16番1号,板橋区常盤台４丁目１６番１号,,株式会社こころたち,板橋キッチン,代表者氏名,変更,,板橋区保健所,板橋キッチン,03,,,,,東京都　板橋区常盤台４丁目１６番１号,東京都板橋区常盤台４丁目１６番１号,,75097,東京都,板橋区,常盤台４,,,,,,株式会社こころたち,,,,,,,,,,2板保生食ほ-  612,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,板橋キッチン,板橋キッチン,株式会社こころたち
30板保生食ほ-  178,飲食店営業,東京都,板橋区上板橋一丁目13番21号,板橋区上板橋１丁目１３番２１号,,有限会社Ｇフーズ,全国うまいもん屋,営業所名称、屋号または商号,変更,,板橋区保健所,全国うまいもん屋,03,,,,,東京都　板橋区上板橋１丁目１３番２１号,東京都板橋区上板橋１丁目１３番２１号,,75060,東京都,板橋区,上板橋１,,,,,,有限会社Ｇフーズ,,,,,,,,,,30板保生食ほ-  178,変更,飲食店営業,,,,198_東京都_板橋区保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,宿泊業，飲食サービス業,飲食店,,,,,,,,,全国うまいもん屋,全国うまいもん屋,有限会社Ｇフーズ
