,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ベジフルキッチンＰＥＰＩＮＯ,青森市新町１丁目１２－４,,017-718-5569,飲食店営業,一般食堂・レストラン,本間義隆,,,,,2022/7/7,2022/7/7,新規,0242,,青森市保健所,ベジフルキッチンＰＥＰＩＮＯ,017,017-718-5569,,,,青森市新町１丁目１２－４,青森県青森市新町１丁目１２－４,,25325,青森県,青森市,新町１,,2022/07/07,2022/07/07,,,,,,,,,,,,,0242,新規,飲食店営業, 一般食堂・レストラン,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ベジフルキッチンＰＥＰＩＮＯ,ベジフルキッチンＰＥＰＩＮＯ,,,1,,,,,
52,福屋,青森市大字新城字平岡４０５－２６,,,飲食店営業,仕出し屋・弁当屋,福田寿文,,,,,2022/7/12,2022/7/12,新規,0270,,青森市保健所,福屋,017,,,,,青森市大字新城字平岡４０５－２６,青森県青森市新城字平岡４０５－２６,,25324,青森県,青森市,新城,,2022/07/12,2022/07/12,,,,,,,,,,,,,0270,新規,飲食店営業, 仕出し屋・弁当屋,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,福屋,福屋,,,1,,,,,
53,浅虫マルシェ,青森市大字浅虫字蛍谷３４１－１９,道の駅ゆ～さ浅虫３Ｆ,,飲食店営業,その他（スナック等）,丸山桂多,,,,,2022/7/15,2022/7/15,新規,0285,,青森市保健所,浅虫マルシェ,017,,,,,青森市大字浅虫字蛍谷３４１－１９,青森県青森市浅虫字蛍谷３４１－１９,道の駅ゆ～さ浅虫３Ｆ,25253,青森県,青森市,浅虫,,2022/07/15,2022/07/15,,,,,,,,,,,,,0285,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,浅虫マルシェ,浅虫マルシェ,,,1,,,,,
55,旬　のとや,青森市中央１丁目２５－１６,パークハイツ１０２号,,飲食店営業,その他（スナック等）,株式会社日本テクノリース,代表取締役　菊地貴志,青森市大字野木字野尻３７－４２５,,017-741-5852,2022/7/15,2022/7/15,新規,0287,,青森市保健所,旬　のとや,017,,,,,青森市中央１丁目２５－１６,青森県青森市中央１丁目２５－１６,パークハイツ１０２号,25342,青森県,青森市,中央１,,2022/07/15,2022/07/15,,,株式会社日本テクノリース,代表取締役　菊地貴志,017-741-5852,青森市大字野木字野尻３７－４２５,青森県青森市野木字野尻３７－４２５,,25379,青森県,青森市,野木,0287,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,旬　のとや,旬のとや,株式会社日本テクノリース,,1,,,,,
56,スナック　ミス　キッス,青森市本町２丁目１０－１３,ＮＯＶＡビル１０２,017-777-6650,飲食店営業,その他（スナック等）,渡辺幹子,,,,,2022/7/25,2022/7/25,新規,0308,,青森市保健所,スナック　ミス　キッス,017,017-777-6650,,,,青森市本町２丁目１０－１３,青森県青森市本町２丁目１０－１３,ＮＯＶＡビル１０２,25417,青森県,青森市,本町２,,2022/07/25,2022/07/25,,,,,,,,,,,,,0308,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　ミス　キッス,スナックミスキッス,,,1,,,,,
58,すする,青森市浪館前田４丁目３０－３８,,,飲食店営業,中華料理（中華そば含む）,株式会社アクティブエージェント,代表取締役　乙部奈津子,青森市東大野１丁目２０－１６,,080-5453-5020,2022/7/25,2022/7/25,新規,0310,,青森市保健所,すする,017,,,,,青森市浪館前田４丁目３０－３８,青森県青森市浪館前田４丁目３０－３８,,25516,青森県,青森市,浪館前田４,,2022/07/25,2022/07/25,,,株式会社アクティブエージェント,代表取締役　乙部奈津子,080-5453-5020,青森市東大野１丁目２０－１６,青森県青森市東大野１丁目２０－１６,,25532,青森県,青森市,東大野１,0310,新規,飲食店営業, 中華料理（中華そば含む）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,すする,すする,株式会社アクティブエージェント,,1,,,,,
60,ミニストップ浅虫温泉,青森市大字浅虫字坂本９－６８,,017-737-5227,飲食店営業,惣菜製造販売（飲食店）,柴田和之,,,,,2022/7/27,2022/7/27,新規,0318,,青森市保健所,ミニストップ浅虫温泉,017,017-737-5227,,,,青森市大字浅虫字坂本９－６８,青森県青森市浅虫字坂本９－６８,,25253,青森県,青森市,浅虫,,2022/07/27,2022/07/27,,,,,,,,,,,,,0318,新規,飲食店営業, 惣菜製造販売（飲食店）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ミニストップ浅虫温泉,ミニストップ浅虫温泉,,ミニストップ,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
61,遣らずの雨,青森市古川１丁目１９－１２,サンフラワービル１Ｆ,080-5585-3768,飲食店営業,その他（スナック等）,加治真美,,,,,2022/7/27,2022/7/27,新規,0330,,青森市保健所,遣らずの雨,017,080-5585-3768,,,,青森市古川１丁目１９－１２,青森県青森市古川１丁目１９－１２,サンフラワービル１Ｆ,25410,青森県,青森市,古川１,,2022/07/27,2022/07/27,,,,,,,,,,,,,0330,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,遣らずの雨,遣らずの雨,,,1,,,,,
63,ｍｉｎｉ　ｃｌｕｂ　ＭｙＢｏｏ,青森市本町２丁目６－４,フェニックスビルＢ１０６号室,017-777-3336,飲食店営業,その他（スナック等）,長内真由香,,,,,2022/7/28,2022/7/28,新規,0332,,青森市保健所,ｍｉｎｉ　ｃｌｕｂ　ＭｙＢｏｏ,017,017-777-3336,,,,青森市本町２丁目６－４,青森県青森市本町２丁目６－４,フェニックスビルＢ１０６号室,25417,青森県,青森市,本町２,,2022/07/28,2022/07/28,,,,,,,,,,,,,0332,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍｉｎｉ　ｃｌｕｂ　ＭｙＢｏｏ,ｍｉｎｉｃｌｕｂＭｙＢｏｏ,,,1,,,,,
64,ＬＵＮＣＨ　ＢＯＸ,青森市第二問屋町４丁目２－７,,,飲食店営業,仕出し屋・弁当屋,グッドフーズ有限会社,代表取締役　遠藤一史,青森市本町２丁目１－１６,,017-752-1390,2022/7/28,2022/7/28,新規,0333,,青森市保健所,ＬＵＮＣＨ　ＢＯＸ,017,,,,,青森市第二問屋町４丁目２－７,青森県青森市第二問屋町４丁目２－７,,25522,青森県,青森市,第二問屋町４,,2022/07/28,2022/07/28,,,グッドフーズ有限会社,代表取締役　遠藤一史,017-752-1390,青森市本町２丁目１－１６,青森県青森市本町２丁目１－１６,,25417,青森県,青森市,本町２,0333,新規,飲食店営業, 仕出し屋・弁当屋,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＬＵＮＣＨ　ＢＯＸ,ＬＵＮＣＨＢＯＸ,グッドフーズ有限会社,,1,,,,,
65,ゆうじ,青森市本町２丁目６－１３,１Ｆ,017-772-0202,飲食店営業,その他（スナック等）,株式会社麻生,代表取締役　福田花恵,青森市沖館５丁目２１－８,,017-772-0202,2022/7/28,2022/7/28,新規,0334,,青森市保健所,ゆうじ,017,017-772-0202,,,,青森市本町２丁目６－１３,青森県青森市本町２丁目６－１３,１Ｆ,25417,青森県,青森市,本町２,,2022/07/28,2022/07/28,,,株式会社麻生,代表取締役　福田花恵,017-772-0202,青森市沖館５丁目２１－８,青森県青森市沖館５丁目２１－８,,25281,青森県,青森市,沖館５,0334,新規,飲食店営業, その他（スナック等）,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ゆうじ,ゆうじ,株式会社麻生,,1,,,,,
1,フィフスアベニュー五番街,青森市東大野１丁目２１－９,,017-729-3105,菓子製造業,一般製造業,有限会社山崎商事,代表取締役　山崎昌博,青森市東大野１丁目２１－９,,017-729-3105,2022/6/2,2022/6/2,新規,0121,,青森市保健所,フィフスアベニュー五番街,017,017-729-3105,,,,青森市東大野１丁目２１－９,青森県青森市東大野１丁目２１－９,,25532,青森県,青森市,東大野１,,2022/06/02,2022/06/02,,,有限会社山崎商事,代表取締役　山崎昌博,017-729-3105,青森市東大野１丁目２１－９,青森県青森市東大野１丁目２１－９,,25532,青森県,青森市,東大野１,0121,新規,菓子製造業, 一般製造業,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,,,,,,,,,フィフスアベニュー五番街,フィフスアベニュ五番街,有限会社山崎商事,,1,,,,,
3,デイリーヤマザキ　青森古川店,青森市古川２丁目９－１,,017-776-5215,菓子製造業,一般製造業,株式会社工藤パン,代表取締役　工藤恭裕,青森市金沢３丁目２２－１,,017-776-1111,2022/6/8,2022/6/8,新規,0136,,青森市保健所,デイリーヤマザキ　青森古川店,017,017-776-5215,,,,青森市古川２丁目９－１,青森県青森市古川２丁目９－１,,25411,青森県,青森市,古川２,,2022/06/08,2022/06/08,,,株式会社工藤パン,代表取締役　工藤恭裕,017-776-1111,青森市金沢３丁目２２－１,青森県青森市金沢３丁目２２－１,,25288,青森県,青森市,金沢３,0136,新規,菓子製造業, 一般製造業,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,,,,,,,,,デイリーヤマザキ　青森古川店,デイリヤマザキ青森古川店,株式会社工藤パン,デイリーヤマザキ,2,宿泊業，飲食サービス業,持ち帰り・配達飲食サービス業,持ち帰り飲食サービス業,持ち帰り飲食サービス業,
13,ニューライフなりた,青森市大字新城字山田６７７－３４９,,017-788-9015,菓子製造業,一般製造業,成田秀春,,,,,2022/7/12,2022/7/12,新規,0269,,青森市保健所,ニューライフなりた,017,017-788-9015,,,,青森市大字新城字山田６７７－３４９,青森県青森市新城字山田６７７－３４９,,25324,青森県,青森市,新城,,2022/07/12,2022/07/12,,,,,,,,,,,,,0269,新規,菓子製造業, 一般製造業,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,,,,,,,,,ニューライフなりた,ニュライフなりた,,,1,,,,,
15,Ｂｅｓｔ　Ｂａｋｅｒｙ,青森市松原２丁目１３－５,,,菓子製造業,一般製造業,ラッシュ里美,,,,,2022/7/27,2022/7/27,新規,0319,,青森市保健所,Ｂｅｓｔ　Ｂａｋｅｒｙ,017,,,,,青森市松原２丁目１３－５,青森県青森市松原２丁目１３－５,,25424,青森県,青森市,松原２,,2022/07/27,2022/07/27,,,,,,,,,,,,,0319,新規,菓子製造業, 一般製造業,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,,,,,,,,,Ｂｅｓｔ　Ｂａｋｅｒｙ,ＢｅｓｔＢａｋｅｒｙ,,,1,,,,,
2,魚屋山英青森支店,青森市大字駒込字月見野３５８－２,,,水産製品製造業,,株式会社山英,代表取締役　山崎英司,西津軽郡深浦町大字北金ヶ沢字榊原１０３－１５,,0173-76-3107,2022/7/5,2022/7/5,新規,0225,,青森市保健所,魚屋山英青森支店,017,,,,,青森市大字駒込字月見野３５８－２,青森県青森市駒込字月見野３５８－２,,25305,青森県,青森市,駒込,,2022/07/05,2022/07/05,,,株式会社山英,代表取締役　山崎英司,0173-76-3107,西津軽郡深浦町大字北金ヶ沢字榊原１０３－１５,青森県西津軽郡深浦町北金が沢字榊原１０３－１５,,28559,青森県,西津軽郡深浦町,北金が沢,0225,新規,水産製品製造業,,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,水産食料品製造業,,,,,,,,魚屋山英青森支店,魚屋山英青森支店,株式会社山英,,1,,,,,
4,株式会社大豊（Ｂ棟）,青森市卸町１１－４,,017-738-9226,水産製品製造業,,株式会社大豊,代表取締役　平澤大輔,青森市卸町１１－４,,017-738-9226,2022/7/11,2022/7/11,新規,0265,,青森市保健所,株式会社大豊（Ｂ棟）,017,017-738-9226,,,,青森市卸町１１－４,青森県青森市卸町１１－４,,25454,青森県,青森市,卸町,,2022/07/11,2022/07/11,,,株式会社大豊,代表取締役　平澤大輔,017-738-9226,青森市卸町１１－４,青森県青森市卸町１１－４,,25454,青森県,青森市,卸町,0265,新規,水産製品製造業,,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,水産食料品製造業,,,,,,,,株式会社大豊（Ｂ棟）,株式会社大豊Ｂ棟,株式会社大豊,,1,,,,,
5,株式会社大豊（Ｃ棟）,青森市卸町１１－４,,017-738-9226,水産製品製造業,,株式会社大豊,代表取締役　平澤大輔,青森市卸町１１－４,,017-738-9226,2022/7/11,2022/7/11,新規,0266,,青森市保健所,株式会社大豊（Ｃ棟）,017,017-738-9226,,,,青森市卸町１１－４,青森県青森市卸町１１－４,,25454,青森県,青森市,卸町,,2022/07/11,2022/07/11,,,株式会社大豊,代表取締役　平澤大輔,017-738-9226,青森市卸町１１－４,青森県青森市卸町１１－４,,25454,青森県,青森市,卸町,0266,新規,水産製品製造業,,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,水産食料品製造業,,,,,,,,株式会社大豊（Ｃ棟）,株式会社大豊Ｃ棟,株式会社大豊,,1,,,,,
1,麺屋とろも,青森市第二問屋町２丁目１－２３,,,麺類製造業,,北山千秋,,,,,2022/6/27,2022/6/27,新規,0198,,青森市保健所,麺屋とろも,017,,,,,青森市第二問屋町２丁目１－２３,青森県青森市第二問屋町２丁目１－２３,,25520,青森県,青森市,第二問屋町２,,2022/06/27,2022/06/27,,,,,,,,,,,,,0198,新規,麺類製造業,,,,031_青森県_青森市保健所_食品衛生()_2022年06月-2022年07月_末日,製造業,食料品製造業,,,,,,,,,麺屋とろも,麺屋とろも,,,1,,,,,
