https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
491,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,許可年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者
電話番号",営業所名称,営業所所在地,,,"営業所
電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
株式会社　place 代表取締役　平松直樹,,SHITAMACHIYA,名古屋市千種区仲田二丁目１８番１５号　大沢ビル１階,名古屋市千種区仲田２丁目１８番１５号, 大沢ビル１階,784-6550,飲食店営業,2021/12/9,3千保管第1-541号,2021/12/9,2028/8/20,,245,SHITAMACHIYA,052,052-784-6550,,,,名古屋市千種区仲田２丁目１８番１５号,愛知県名古屋市千種区仲田２丁目１８番１５号, 大沢ビル１階,113770,23,23101,仲田２,,,2021/12/09,2021/12/09,2028/08/20,株式会社　place ,代表取締役　平松直樹,,,,,,,,,3千保管第1-541号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＳＨＩＴＡＭＡＣＨＩＹＡ052-784-655011377023101,3aba6646-e8ca-453f-87c2-96887d3711ac,株式会社ｐｌａｃｅ　,e62847f0-9b85-479b-a573-22405f93bfa2,819727ee-9abc-49c8-b7ab-a070b1f84eee,2021/12/09,ＳＨＩＴＡＭＡＣＨＩＹＡ,ＳＨＩＴＡＭＡＣＨＩＹＡ,株式会社ｐｌａｃｅ　
合同会社ＯＦＦＩＣＥ　ＫＥＮ 代表社員　櫻井　千佳子,,合同会社ＯＦＦＩＣＥ　ＫＥＮ,名古屋市千種区西崎町２丁目４７番地の３　,名古屋市千種区西崎町２丁目４７番地の３,,,飲食店営業,2021/12/9,3千保管第1-478号,2021/12/10,2028/3/20,,245,合同会社ＯＦＦＩＣＥ　ＫＥＮ,052,,,,,名古屋市千種区西崎町２丁目４７番地の３,愛知県名古屋市千種区西崎町２丁目４７番地ノ３,,113665,23,23101,西崎町２,,,2021/12/09,2021/12/10,2028/03/20,合同会社ＯＦＦＩＣＥ　ＫＥＮ ,代表社員　櫻井　千佳子,,,,,,,,,3千保管第1-478号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,合同会社ＯＦＦＩＣＥＫＥＮ11366523101,fc418bb0-b082-4d4f-acbc-edfc79a706b0,合同会社ＯＦＦＩＣＥ　ＫＥＮ　,35a2594e-3282-4181-9c22-86a5847a85ea,63c31dc7-d87a-4b77-9dce-b6a4167890e9,2021/12/09,合同会社ＯＦＦＩＣＥ　ＫＥＮ,合同会社ＯＦＦＩＣＥＫＥＮ,合同会社ＯＦＦＩＣＥ　ＫＥＮ　
山梨　園代,,當り屋,名古屋市千種区向陽一丁目１２番２９号　,名古屋市千種区向陽１丁目１２番２９号, ,761-7033,飲食店営業,2021/12/10,3千保管第1-520号,2022/1/1,2028/8/20,,245,當り屋,052,052-761-7033,,,,名古屋市千種区向陽１丁目１２番２９号,愛知県名古屋市千種区向陽１丁目１２番２９号, ,113807,23,23101,向陽１,,,2021/12/10,2022/01/01,2028/08/20,,山梨　園代,,,,,,,,,3千保管第1-520号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,當り屋052-761-703311380723101,847ee034-509e-46a6-9842-ca59d0af363e,,personal,54127e34-16ad-47e9-b851-6d6c964302b8,2021/12/10,當り屋,當り屋,
須﨑　淳吏,,焼鳥　空　今池店,名古屋市千種区内山一丁目４番１０号　都通ビル１０５,名古屋市千種区内山１丁目４番１０号, 都通ビル１０５,784-5008,飲食店営業,2021/12/13,3千保管第1-545号,2021/12/15,2028/11/20,,245,焼鳥　空　今池店,052,052-784-5008,,,,名古屋市千種区内山１丁目４番１０号,愛知県名古屋市千種区内山１丁目４番１０号, 都通ビル１０５,113771,23,23101,内山１,,,2021/12/13,2021/12/15,2028/11/20,,須﨑　淳吏,,,,,,,,,3千保管第1-545号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,焼鳥空今池店052-784-500811377123101,d2c8c939-b3d9-4332-bde4-f3680867d4b2,,personal,dd8bcf8e-866f-44dd-b988-3ebb4c74be41,2021/12/13,焼鳥　空　今池店,焼鳥空今池店,
伊藤　嘉久,,Ｃ７Ｃ ｇａｌｌｅｒｙ ａｎｄ ｓｈｏｐ,名古屋市千種区千種二丁目１３番２１号　２Ｆ,名古屋市千種区千種２丁目１３番２１号,２Ｆ,,飲食店営業,2021/12/13,3千保管第1-285号,2022/1/1,2028/1/20,,245,Ｃ７Ｃ ｇａｌｌｅｒｙ ａｎｄ ｓｈｏｐ,052,,,,,名古屋市千種区千種２丁目１３番２１号,愛知県名古屋市千種区千種２丁目１３番２１号,２Ｆ,113765,23,23101,千種２,,,2021/12/13,2022/01/01,2028/01/20,,伊藤　嘉久,,,,,,,,,3千保管第1-285号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,Ｃ７Ｃｇａｌｌｅｒｙａｎｄｓｈｏｐ11376523101,d3d21810-9f57-4ceb-b6c1-16f1d7b75d15,,personal,b5d642f9-a58a-4a15-a9a7-add3f9f6476f,2021/12/13,Ｃ７Ｃ　ｇａｌｌｅｒｙ　ａｎｄ　ｓｈｏｐ,Ｃ７Ｃｇａｌｌｅｒｙａｎｄｓｈｏｐ,
株式会社　みのり食材 代表取締役　倉内　明美,0568-35-6644,ナーシング和楽縁　本店,名古屋市千種区日岡町３丁目１番地６　,名古屋市千種区日岡町３丁目１番地６,,,飲食店営業,2021/12/14,3千保管第1-514号,2022/1/11,2029/3/20,,245,ナーシング和楽縁　本店,052,,,,,名古屋市千種区日岡町３丁目１番地６,愛知県名古屋市千種区日岡町３丁目１番地６,,113708,23,23101,日岡町３,,,2021/12/14,2022/01/11,2029/03/20,株式会社　みのり食材 ,代表取締役　倉内　明美,0568-35-6644,,,,,,,,3千保管第1-514号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ナシング和楽縁本店11370823101,5ecc0f9b-e66b-46dc-84d2-56addf0f09ea,株式会社みのり食材　,20a791e5-0692-4d1b-b6c2-3dd5af6bbf20,17759cf6-74d2-48ac-afb7-ef61d4764dc8,2021/12/14,ナーシング和楽縁　本店,ナシング和楽縁本店,株式会社みのり食材　
株式会社　みのり食材 代表取締役　倉内　明美,0568-35-6644,ナーシング和楽縁　京命,名古屋市千種区京命一丁目８番１３号　,名古屋市千種区京命１丁目８番１３号, ,,飲食店営業,2021/12/14,3千保管第1-515号,2022/1/11,2029/5/20,,245,ナーシング和楽縁　京命,052,,,,,名古屋市千種区京命１丁目８番１３号,愛知県名古屋市千種区京命１丁目８番１３号, ,113810,23,23101,京命１,,,2021/12/14,2022/01/11,2029/05/20,株式会社　みのり食材 ,代表取締役　倉内　明美,0568-35-6644,,,,,,,,3千保管第1-515号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ナシング和楽縁京命11381023101,5958cfab-d143-430d-83f3-cff3bc7bf7d0,株式会社みのり食材　,20a791e5-0692-4d1b-b6c2-3dd5af6bbf20,51d92b9e-439d-4122-9a42-5edcc08e94d4,2021/12/14,ナーシング和楽縁　京命,ナシング和楽縁京命,株式会社みのり食材　
株式会社　みのり食材 代表取締役　倉内　明美,0568-35-6644,ナーシング和楽縁　ちくさ,名古屋市千種区宮根台一丁目３番３７号　,名古屋市千種区宮根台１丁目３番３７号, ,,飲食店営業,2021/12/14,3千保管第1-516号,2022/1/11,2029/5/20,,245,ナーシング和楽縁　ちくさ,052,,,,,名古屋市千種区宮根台１丁目３番３７号,愛知県名古屋市千種区宮根台１丁目３番３７号, ,113816,23,23101,宮根台１,,,2021/12/14,2022/01/11,2029/05/20,株式会社　みのり食材 ,代表取締役　倉内　明美,0568-35-6644,,,,,,,,3千保管第1-516号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ナシング和楽縁ちくさ11381623101,18f65abd-534d-4c59-b55c-a1578469636c,株式会社みのり食材　,20a791e5-0692-4d1b-b6c2-3dd5af6bbf20,cd03a8d2-7ca1-4d53-b251-c9eae6b1e542,2021/12/14,ナーシング和楽縁　ちくさ,ナシング和楽縁ちくさ,株式会社みのり食材　
山梨　園代,,蘭 當り屋,名古屋市千種区春岡一丁目４番１５号　,名古屋市千種区春岡１丁目４番１５号, ,763-2480,飲食店営業,2021/12/14,3千保管第1-521号,2022/1/1,2028/10/20,,245,蘭 當り屋,052,052-763-2480,,,,名古屋市千種区春岡１丁目４番１５号,愛知県名古屋市千種区春岡１丁目４番１５号, ,113783,23,23101,春岡１,,,2021/12/14,2022/01/01,2028/10/20,,山梨　園代,,,,,,,,,3千保管第1-521号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,蘭當り屋052-763-248011378323101,629c01d7-2db3-4f90-a14b-416363a46dae,,personal,93f43216-cf47-40a6-acb7-87683ecb1659,2021/12/14,蘭　當り屋,蘭當り屋,
髙橋　幸裕,,KIMA KIMA COFFEE ＆ DOUNUTS,名古屋市千種区古出来三丁目２番９号　千草ダイヤハイツ１階,名古屋市千種区古出来３丁目２番９号, 千草ダイヤハイツ１階,,飲食店営業,2021/12/14,3千保管第1-494号,2021/12/27,2028/7/20,,245,KIMA KIMA COFFEE ＆ DOUNUTS,052,,,,,名古屋市千種区古出来３丁目２番９号,愛知県名古屋市千種区古出来３丁目２番９号, 千草ダイヤハイツ１階,113762,23,23101,古出来３,,,2021/12/14,2021/12/27,2028/07/20,,髙橋　幸裕,,,,,,,,,3千保管第1-494号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＫＩＭＡＫＩＭＡＣＯＦＦＥＥＤＯＵＮＵＴＳ11376223101,77528cdc-6f14-42a9-9415-93c3bb522786,,personal,d7e0e155-cbe2-469e-9e12-44d403231245,2021/12/14,ＫＩＭＡ　ＫＩＭＡ　ＣＯＦＦＥＥ　＆　ＤＯＵＮＵＴＳ,ＫＩＭＡＫＩＭＡＣＯＦＦＥＥＤＯＵＮＵＴＳ,
安藤　泰子,,喫茶　プチ,名古屋市千種区今池三丁目８番７号　,名古屋市千種区今池３丁目８番７号, ,733-3940,飲食店営業,2021/12/15,3千保管第1-523号,2021/12/21,2026/12/20,,245,喫茶　プチ,052,052-733-3940,,,,名古屋市千種区今池３丁目８番７号,愛知県名古屋市千種区今池３丁目８番７号, ,113758,23,23101,今池３,,,2021/12/15,2021/12/21,2026/12/20,,安藤　泰子,,,,,,,,,3千保管第1-523号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,喫茶プチ052-733-394011375823101,11269992-5b9a-4773-a296-ee8109bd5102,,personal,bc6132f8-3342-4eaa-89ba-6754052ef6cd,2021/12/15,喫茶　プチ,喫茶プチ,
髙山　一秀,,イリスースタイル,名古屋市千種区今池五丁目３０番４号　桜ビル１階A,名古屋市千種区今池５丁目３０番４号, 桜ビル１階A,784-8839,飲食店営業,2021/12/15,3千保管第1-548号,2022/1/5,2028/10/20,,245,イリスースタイル,052,052-784-8839,,,,名古屋市千種区今池５丁目３０番４号,愛知県名古屋市千種区今池５丁目３０番４号, 桜ビル１階A,113760,23,23101,今池５,,,2021/12/15,2022/01/05,2028/10/20,,髙山　一秀,,,,,,,,,3千保管第1-548号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,イリススタイル052-784-883911376023101,e8fe5ad7-59d8-4e1d-9224-ab6ee2c363f5,,personal,ee399d77-8b32-4a8f-b9c9-9f926e6b3e25,2021/12/15,イリスースタイル,イリススタイル,
髙山　一秀,,ダイニングバー　ル・ランデヴー,名古屋市千種区今池五丁目３０番４号　桜ビル１階C,名古屋市千種区今池５丁目３０番４号, 桜ビル１階C,784-8839,飲食店営業,2021/12/15,3千保管第1-547号,2022/1/5,2028/10/20,,245,ダイニングバー　ル・ランデヴー,052,052-784-8839,,,,名古屋市千種区今池５丁目３０番４号,愛知県名古屋市千種区今池５丁目３０番４号, 桜ビル１階C,113760,23,23101,今池５,,,2021/12/15,2022/01/05,2028/10/20,,髙山　一秀,,,,,,,,,3千保管第1-547号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ダイニングバルランデヴ052-784-883911376023101,b4c3537c-02b4-4854-8ccb-0c3b5fd67065,,personal,a0d8d459-3252-481b-8d9c-19e9967eb3fd,2021/12/15,ダイニングバー　ル・ランデヴー,ダイニングバルランデヴ,
後藤　一夫,,九州楼 吹上店,名古屋市千種区吹上二丁目１番５号　フォーシーズンズ 大雅 １Ｆ,名古屋市千種区吹上２丁目１番５号 ,フォーシーズンズ 大雅 １Ｆ,741-9577,飲食店営業,2021/12/15,3千保管第1-550号,2022/1/21,2028/1/20,,245,九州楼 吹上店,052,052-741-9577,,,,名古屋市千種区吹上２丁目１番５号 ,愛知県名古屋市千種区吹上２丁目１番５号,フォーシーズンズ 大雅 １Ｆ,113768,23,23101,吹上２,,,2021/12/15,2022/01/21,2028/01/20,,後藤　一夫,,,,,,,,,3千保管第1-550号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,九州楼吹上店052-741-957711376823101,6917acde-ead6-4942-8e1a-e14b3cb56263,,personal,cfc45403-3713-447f-a27a-e5f5a997a4de,2021/12/15,九州楼　吹上店,九州楼吹上店,
安田　祥代,,うち,名古屋市千種区今池四丁目７番４号　アークヤスダ１B,名古屋市千種区今池４丁目７番４号, アークヤスダ１B,734-3080,飲食店営業,2021/12/16,3千保管第1-497号,2021/12/20,2028/11/20,,245,うち,052,052-734-3080,,,,名古屋市千種区今池４丁目７番４号,愛知県名古屋市千種区今池４丁目７番４号, アークヤスダ１B,113759,23,23101,今池４,,,2021/12/16,2021/12/20,2028/11/20,,安田　祥代,,,,,,,,,3千保管第1-497号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,うち052-734-308011375923101,91f0fb15-e0a4-4734-908c-365e89830bcd,,personal,ce27ddf3-dce3-42c0-95a8-c032ccab5c45,2021/12/16,うち,うち,
