https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
466,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,業種,業態,施設名,施設-住所1,施設-マンション名,申請者1,申請-住所1,申請-マンション名,施設-電話番号1,申請-電話番号1,許可期間開始日,許可期間終了日,許可年月日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業の種類,細業種,施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業者住所,営業者住所ビル名,施設電話番号,営業者電話番号,有効期間始期,有効期間終期,施行年月日,初回施行日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
3瀬保第911-163号,飲食店営業,一般食堂・レストラン等,スナック瞳,瀬戸市八幡町２１４－１,,浅井 利沙,,,0561-76-9917,,2022/01/01,2027/12/31,2021/12/07,2021/12/07,,250,スナック瞳,0561,0561-76-9917,,,,瀬戸市八幡町２１４－１,愛知県瀬戸市八幡町２１４－１,,119313,23,23204,八幡町,,2021/12/07,2021/12/07,2022/01/01,2027/12/31,,浅井 利沙,,,,,,,,,3瀬保第911-163号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,スナック瞳0561-76-991711931323204,11627ec6-2e48-4049-8d78-5b4f051b1602,,personal,b5c8302f-0ae2-429d-b5cb-461df66912d0,2021/12/07,スナック瞳,スナック瞳,
3瀬保第901-119号,飲食店営業,その他,Ｃｏｃｃｏｌｏ,瀬戸市菱野台２－１９,,阪 よし子,,,,,2021/12/28,2027/12/31,2021/12/28,2021/12/28,,250,Ｃｏｃｃｏｌｏ,0561,,,,,瀬戸市菱野台２－１９,愛知県瀬戸市菱野台２－１９,,119206,23,23204,菱野台２,,2021/12/28,2021/12/28,2021/12/28,2027/12/31,,阪 よし子,,,,,,,,,3瀬保第901-119号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,Ｃｏｃｃｏｌｏ11920623204,29d5eb27-c96a-4c1b-946b-5ced198684aa,,personal,a34bb6f6-20fd-4f38-b94c-1277b9f64cbf,2021/12/28,Ｃｏｃｃｏｌｏ,Ｃｏｃｃｏｌｏ,
3瀬保第901-113号,飲食店営業,一般食堂・レストラン等,バラード・１８,瀬戸市川西町２－１０８,,有限会社チェック・アンド・チェック,愛知県瀬戸市川西町２－１０８,,0561-65-3039,0561-83-4727,2021/12/15,2027/12/31,2021/12/15,2021/12/15,,250,バラード・１８,0561,0561-65-3039,,,,瀬戸市川西町２－１０８,愛知県瀬戸市川西町２－１０８,,119006,23,23204,川西町２,,2021/12/15,2021/12/15,2021/12/15,2027/12/31,有限会社チェック・アンド・チェック,,0561-83-4727,愛知県瀬戸市川西町２－１０８,愛知県瀬戸市川西町２－１０８,,119006,愛知県,瀬戸市,川西町２,3瀬保第901-113号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,バラド１８0561-65-303911900623204,0a8eb33a-e95c-4349-9089-1702125655e9,有限会社チェック・アンド・チェック119006,cfb60efa-7708-4cad-a574-4e4ff16eb0d0,56033a43-34ad-4f46-ab13-a6a71fe734dc,2021/12/15,バラード・１８,バラド１８,有限会社チェック・アンド・チェック
3瀬保第901-118号,飲食店営業,一般食堂・レストラン等,ＴＲレストラン,瀬戸市南山町１－１,,Ｔｏｐａｌ Ｍｕｓｔａｆａ,,,,,2021/12/23,2027/12/31,2021/12/23,2021/12/23,,250,ＴＲレストラン,0561,,,,,瀬戸市南山町１－１,愛知県瀬戸市南山町１－１,,119237,23,23204,南山町１,,2021/12/23,2021/12/23,2021/12/23,2027/12/31,,Ｔｏｐａｌ Ｍｕｓｔａｆａ,,,,,,,,,3瀬保第901-118号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＴＲレストラン11923723204,8e3a7f8c-c678-467c-ac5f-a5df5d657815,,personal,e2103429-e35f-4c2b-972a-8d16dc51dc18,2021/12/23,ＴＲレストラン,ＴＲレストラン,
3瀬保第904-28号,菓子製造業,一般,名古屋食糧 炊飯センター,瀬戸市美濃池町６８,,株式会社名古屋食糧,愛知県一宮市萩原町朝宮字中道２０,,0561-67-8800,052-202-8877,2021/12/09,2027/12/31,2021/12/09,2021/12/09,,250,名古屋食糧 炊飯センター,0561,0561-67-8800,,,,瀬戸市美濃池町６８,愛知県瀬戸市美濃池町６８,,119240,23,23204,美濃池町,,2021/12/09,2021/12/09,2021/12/09,2027/12/31,株式会社名古屋食糧,,052-202-8877,愛知県一宮市萩原町朝宮字中道２０,愛知県一宮市萩原町朝宮字中道２０,,118768,愛知県,一宮市,萩原町朝宮,3瀬保第904-28号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,名古屋食糧炊飯センタ0561-67-880011924023204,b0c14560-ee0e-41b0-89ba-ed3737370954,株式会社名古屋食糧118768,80c6d354-8e60-4f01-b691-34836694d24d,b62d6f6c-5ce3-4fac-b648-3edbc27301c3,2021/12/09,名古屋食糧　炊飯センター,名古屋食糧炊飯センタ,株式会社名古屋食糧
3半保第32-1号,水産製品製造業,魚肉練り製品,株式会社 政七屋,半田市古浜町１８番地の１,,株式会社 政七屋,愛知県半田市古浜町１８番地の１,,0569-22-0847,0569-22-0847,2022/02/01,2027/01/31,2021/12/27,2021/12/27,,251,株式会社 政七屋,0569,0569-22-0847,,,,半田市古浜町１８番地の１,愛知県半田市古浜町１８番地ノ１,,119599,23,23205,古浜町,,2021/12/27,2021/12/27,2022/02/01,2027/01/31,株式会社 政七屋,,0569-22-0847,愛知県半田市古浜町１８番地の１,愛知県半田市古浜町１８番地ノ１,,119599,愛知県,半田市,古浜町,3半保第32-1号,,水産製品製造業, 魚肉練り製品,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,92,,株式会社政七屋0569-22-084711959923205,f60dbd37-80f9-4ea3-8936-e44350806130,株式会社政七屋119599,34d61ed5-462c-40e7-851a-f395a006c2f8,8da17de6-d2e6-42ef-bdc9-912859d40195,2021/12/27,株式会社政七屋,株式会社政七屋,株式会社政七屋
3半保第1-124号,飲食店営業,一般食堂・レストラン等,韓国料理 オンマー,半田市雁宿町１丁目５０番地５,スカイタウン２E,東野 匡記,,,,,2021/12/13,2027/12/31,2021/12/13,2021/12/13,,251,韓国料理 オンマー,0569,,,,,半田市雁宿町１丁目５０番地５,愛知県半田市雁宿町１丁目５０番地５,スカイタウン２E,119545,23,23205,雁宿町１,,2021/12/13,2021/12/13,2021/12/13,2027/12/31,,東野 匡記,,,,,,,,,3半保第1-124号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,韓国料理オンマ11954523205,ed27b80d-081f-4e21-bd18-504b75422d1e,,personal,7960f167-4d7b-4429-a123-640115d5ef89,2021/12/13,韓国料理　オンマー,韓国料理オンマ,
3半保第21-13号,菓子製造業,一般,パティスリー・ラ・ミモザ,半田市岩滑高山町七丁目１３０番地１,,株式会社ミモザ,愛知県半田市岩滑高山町七丁目１３０番地１,,0569-89-7303,0569-89-7303,2021/12/14,2027/12/31,2021/12/14,2021/12/14,,251,パティスリー・ラ・ミモザ,0569,0569-89-7303,,,,半田市岩滑高山町七丁目１３０番地１,愛知県半田市岩滑高山町７丁目１３０番地１,,119872,23,23205,岩滑高山町７,,2021/12/14,2021/12/14,2021/12/14,2027/12/31,株式会社ミモザ,,0569-89-7303,愛知県半田市岩滑高山町七丁目１３０番地１,愛知県半田市岩滑高山町７丁目１３０番地１,,119872,愛知県,半田市,岩滑高山町７,3半保第21-13号,,菓子製造業, 一般,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,E,9,,,パティスリラミモザ0569-89-730311987223205,3aea1b2e-daa1-4d0b-ab90-6eda2e0c4194,株式会社ミモザ119872,c252615e-f5d4-4875-b8ee-daf2177acc7a,d37ba6a9-851c-43fe-a4ec-440d7e5c258f,2021/12/14,パティスリー・ラ・ミモザ,パティスリラミモザ,株式会社ミモザ
3半保第2-186号,飲食店営業,その他,ＳＡＫＥ 靜,半田市天王町１－３５－６,,上野 憲幸,,,0569-21-0587,,2022/01/01,2027/12/31,2021/12/02,2021/12/02,,251,ＳＡＫＥ 靜,0569,0569-21-0587,,,,半田市天王町１－３５－６,愛知県半田市天王町１－３５－６,,119663,23,23205,天王町１,,2021/12/02,2021/12/02,2022/01/01,2027/12/31,,上野 憲幸,,,,,,,,,3半保第2-186号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ＳＡＫＥ靜0569-21-058711966323205,888a50f0-4f9c-4cec-8760-c9febb4d8dc3,,personal,0475743e-e195-4b94-a67f-e7e1d0903c74,2021/12/02,ＳＡＫＥ　靜,ＳＡＫＥ靜,
3半保第1-115号,飲食店営業,その他,ガールズバーshine,半田市瑞穂町７丁目２番地の５,,株式会社エムズフード,愛知県名古屋市南区柴田町四丁目２５番地,柴田プラザビル２階,0569-23-8086,052-611-2555,2021/12/02,2027/12/31,2021/12/02,2021/12/02,,251,ガールズバーshine,0569,0569-23-8086,,,,半田市瑞穂町７丁目２番地の５,愛知県半田市瑞穂町７丁目２番地ノ５,,119933,23,23205,瑞穂町７,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,株式会社エムズフード,,052-611-2555,愛知県名古屋市南区柴田町四丁目２５番地,愛知県名古屋市南区柴田町４丁目２５番地,柴田プラザビル２階,116649,愛知県,名古屋市南区,柴田町４,3半保第1-115号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ガルズバｓｈｉｎｅ0569-23-808611993323205,6b7d833b-00f9-4e18-8cc0-257fca1795ac,株式会社エムズフード116649,f5c5dfad-e790-4846-8bf8-b657aa89c295,a7da927d-4072-4979-8602-4270d4da3471,2021/12/02,ガールズバーｓｈｉｎｅ,ガルズバｓｈｉｎｅ,株式会社エムズフード
3半保第1-121号,飲食店営業,一般食堂・レストラン等,中華料理 童童,半田市青山６丁目１３番地の９,,有限会社童童,愛知県半田市青山６丁目１３番地の９,,0569-23-4888,0569-23-4888,2021/12/08,2027/12/31,2021/12/08,2021/12/08,,251,中華料理 童童,0569,0569-23-4888,,,,半田市青山６丁目１３番地の９,愛知県半田市青山６丁目１３番地ノ９,,119942,23,23205,青山６,,2021/12/08,2021/12/08,2021/12/08,2027/12/31,有限会社童童,,0569-23-4888,愛知県半田市青山６丁目１３番地の９,愛知県半田市青山６丁目１３番地ノ９,,119942,愛知県,半田市,青山６,3半保第1-121号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,中華料理童童0569-23-488811994223205,c1350b8d-a561-4f77-bc39-2937e7191c3f,有限会社童童119942,3a448107-03e4-4f9a-9092-ddaf0d2e476d,30e5c822-d4c8-4120-b787-007501fc5a23,2021/12/08,中華料理　童童,中華料理童童,有限会社童童
3半保第1-127号,飲食店営業,一般食堂・レストラン等,カラオケ喫茶酒房 絹しるく,半田市郷中町１丁目３－１,ニューホワイトビル１階,冨 順子,,,0569-47-6765,,2021/12/21,2027/12/31,2021/12/21,2021/12/21,,251,カラオケ喫茶酒房 絹しるく,0569,0569-47-6765,,,,半田市郷中町１丁目３－１,愛知県半田市郷中町１丁目３－１,ニューホワイトビル１階,119600,23,23205,郷中町１,,2021/12/21,2021/12/21,2021/12/21,2027/12/31,,冨 順子,,,,,,,,,3半保第1-127号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,カラオケ喫茶酒房絹しるく0569-47-676511960023205,92973317-6845-461e-9a2e-9dfcfa8e5669,,personal,366e395e-d64e-4d35-99f6-bc538a476120,2021/12/21,カラオケ喫茶酒房　絹しるく,カラオケ喫茶酒房絹しるく,
3半保第2-187号,飲食店営業,一般食堂・レストラン等,中國菜 神谷,半田市南末広町１２５－１１,グロワール・スギ １Ｆ,神谷 隆徳,,,0569-24-8333,,2022/01/01,2027/12/31,2021/12/02,2021/12/02,,251,中國菜 神谷,0569,0569-24-8333,,,,半田市南末広町１２５－１１,愛知県半田市南末広町１２５－１１,グロワール・スギ １Ｆ,119844,23,23205,南末広町,,2021/12/02,2021/12/02,2022/01/01,2027/12/31,,神谷 隆徳,,,,,,,,,3半保第2-187号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,中國菜神谷0569-24-833311984423205,5d9243b6-c1da-4c9f-aa40-e2cee2767bd2,,personal,91abca13-ab51-4a07-8912-ad5174283255,2021/12/02,中國菜　神谷,中國菜神谷,
3半保第2-154号,飲食店営業,一般食堂・レストラン等,手打らーめん尾州,半田市瑞穂町７－１－４,,石川 義基,,,0569-23-6420,,2021/12/01,2027/11/30,2021/12/01,2021/12/01,,251,手打らーめん尾州,0569,0569-23-6420,,,,半田市瑞穂町７－１－４,愛知県半田市瑞穂町７－１－４,,119933,23,23205,瑞穂町７,,2021/12/01,2021/12/01,2021/12/01,2027/11/30,,石川 義基,,,,,,,,,3半保第2-154号,,飲食店営業, 一般食堂・レストラン等,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,手打らめん尾州0569-23-642011993323205,d72ef8d5-671b-42c5-8991-aa830c1e4c7a,,personal,39db7ab7-eb11-46f5-8f1b-13adc820a628,2021/12/01,手打らーめん尾州,手打らめん尾州,
3春保第551-238号,飲食店営業,その他,ファミリーマート 春日井大留店,春日井市大留町２－２－８,,株式会社 ドリーム・ファミリー,愛知県春日井市篠木町８－１－１３,,,0568-87-6238,2022/01/01,2027/12/31,2021/12/28,2021/12/28,,252,ファミリーマート 春日井大留店,0568,,,,,春日井市大留町２－２－８,愛知県春日井市大留町２－２－８,,119998,23,23206,大留町２,,2021/12/28,2021/12/28,2022/01/01,2027/12/31,株式会社 ドリーム・ファミリー,,0568-87-6238,愛知県春日井市篠木町８－１－１３,愛知県春日井市篠木町８－１－１３,,120091,愛知県,春日井市,篠木町８,3春保第551-238号,,飲食店営業, その他,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ファミリマト春日井大留店11999823206,54fe75a4-eaea-4baf-be9c-6a38b98c5ae2,株式会社ドリーム・ファミリー120091,37252f0d-256f-4467-8fa0-60105513575b,72fddd25-286e-4f5c-9a2a-30ff0833539b,2021/12/28,ファミリーマート　春日井大留店,ファミリマト春日井大留店,株式会社ドリーム・ファミリー
3春保第501-135号,飲食店営業,仕出し屋・弁当屋,ほっともっと春日井大留町店,春日井市大留町７－１０－４,,シセイフードサービス合同会社,愛知県尾張旭市南原山町赤土１６５－３,メイツ三郷４０４号,0568-53-0970,0568-53-0970,2021/12/02,2027/12/31,2021/12/02,2021/12/02,,252,ほっともっと春日井大留町店,0568,0568-53-0970,,,,春日井市大留町７－１０－４,愛知県春日井市大留町７－１０－４,,120003,23,23206,大留町７,,2021/12/02,2021/12/02,2021/12/02,2027/12/31,シセイフードサービス合同会社,,0568-53-0970,愛知県尾張旭市南原山町赤土１６５－３,愛知県尾張旭市南原山町赤土１６５－３,メイツ三郷４０４号,129656,愛知県,尾張旭市,南原山町赤土,3春保第501-135号,,飲食店営業, 仕出し屋・弁当屋,,,250-260_愛知県_愛知県一括_食品衛生()_2021年11月-2021年12月_末日_新規,M,76,,,ほっともっと春日井大留町店0568-53-097012000323206,12480294-5392-4952-99c5-e9a9934cc90e,シセイフードサービス合同会社129656,05472eb4-6d50-46a9-8847-a04609700f53,d2c9fa4c-81f3-4f8d-b472-13518ab30ac9,2021/12/02,ほっともっと春日井大留町店,ほっともっと春日井大留町店,シセイフードサービス合同会社
