https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,,申請区分,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,パブ 風月,神奈川県藤沢市南藤沢3番3号,藤沢平和ビル　6階,0466-24-1037,1飲食店営業,株式会社湘南コーポレーション,0467-98-2537,令和3年11月8日,令和3年11月8日,令和3年11月8日,新規,2021-901-0263,,145,パブ 風月,0466,0466-24-1037,,,,神奈川県藤沢市南藤沢3番3号,神奈川県藤沢市南藤沢３番３号,藤沢平和ビル　6階,81786,14,14205,南藤沢,,2021/11/08,2021/11/08,,,株式会社湘南コーポレーション,,0467-98-2537,,,,,,,,2021-901-0263,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,パブ風月0466-24-10378178614205,0e53e674-f9a2-4dd3-bd61-1f749cbbd56a,株式会社湘南コーポレーション,a99a3026-0028-4f0b-8679-217253c22a9c,89a8f1c0-aea4-46a9-859a-ea8df119415e,2021/11/08,パブ　風月,パブ風月,株式会社湘南コーポレーション
11,くいもの屋　わん　藤沢店,神奈川県藤沢市南藤沢2番1号2,藤沢プライムビル　5F,0466-52-2011,1飲食店営業,株式会社オーイズミフーズ,046-297-2511,令和3年11月9日,令和3年11月9日,令和3年11月9日,新規,2021-901-0270,,145,くいもの屋　わん　藤沢店,0466,0466-52-2011,,,,神奈川県藤沢市南藤沢2番1号2,神奈川県藤沢市南藤沢２番１号２,藤沢プライムビル　5F,81786,14,14205,南藤沢,,2021/11/09,2021/11/09,,,株式会社オーイズミフーズ,,046-297-2511,,,,,,,,2021-901-0270,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,くいもの屋わん藤沢店0466-52-20118178614205,eff71cae-0439-4264-b33c-2312c3c89ea8,株式会社オーイズミフーズ,4065ac5b-b2ce-4bea-84a0-5f42f021cde8,829c093f-7336-4f95-b65b-52c0b0e7f99c,2021/11/09,くいもの屋　わん　藤沢店,くいもの屋わん藤沢店,株式会社オーイズミフーズ
12,ファーストレッスン,神奈川県藤沢市南藤沢3番3号,第一興産ビル　B1,0466-29-9010,1飲食店営業,株式会社シャイン,042-766-6194,令和3年11月9日,令和3年11月9日,令和3年11月9日,新規,2021-901-0267,,145,ファーストレッスン,0466,0466-29-9010,,,,神奈川県藤沢市南藤沢3番3号,神奈川県藤沢市南藤沢３番３号,第一興産ビル　B1,81786,14,14205,南藤沢,,2021/11/09,2021/11/09,,,株式会社シャイン,,042-766-6194,,,,,,,,2021-901-0267,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ファストレッスン0466-29-90108178614205,66c2a7ef-b7f4-4870-98cb-ad95584f9b97,株式会社シャイン,89a4b986-bab6-4463-ac30-250745a2ab39,4e3f80be-c866-41ee-ade1-5f88eb5b77ce,2021/11/09,ファーストレッスン,ファストレッスン,株式会社シャイン
13,串かつ酒場　串堂,神奈川県藤沢市辻堂二丁目9番10号,,0466-65-4694,1飲食店営業,SURFOOD株式会社,0466-65-4694,令和3年11月9日,令和3年11月9日,令和3年11月9日,新規,2021-901-0271,,145,串かつ酒場　串堂,0466,0466-65-4694,,,,神奈川県藤沢市辻堂二丁目9番10号,神奈川県藤沢市辻堂２丁目９番１０号,,81714,14,14205,辻堂２,,2021/11/09,2021/11/09,,,SURFOOD株式会社,,0466-65-4694,,,,,,,,2021-901-0271,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,串かつ酒場串堂0466-65-46948171414205,2089410c-e0a3-4dfc-a49f-56bd33fc1116,ＳＵＲＦＯＯＤ株式会社,191a0a17-c796-46e0-97b2-20466b86ae9a,b803adc2-d502-4c6c-9e44-20b56fc0063f,2021/11/09,串かつ酒場　串堂,串かつ酒場串堂,ＳＵＲＦＯＯＤ株式会社
14,鮪のまつだ,神奈川県藤沢市稲荷520番地,,0466-47-8955,1飲食店営業,株式会社まつだ,0466-47-8955,令和3年11月9日,令和3年11月9日,令和3年11月9日,新規,2021-901-0269,,145,鮪のまつだ,0466,0466-47-8955,,,,神奈川県藤沢市稲荷520番地,神奈川県藤沢市稲荷５２０番地,,81624,14,14205,稲荷,,2021/11/09,2021/11/09,,,株式会社まつだ,,0466-47-8955,,,,,,,,2021-901-0269,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,鮪のまつだ0466-47-89558162414205,d1bf27a3-8974-4b04-bc0f-67a52e63b938,株式会社まつだ,c075925b-e08d-41c9-a471-7196439c1a96,c31c7eac-2940-4932-a19d-bd4284f4b33d,2021/11/09,鮪のまつだ,鮪のまつだ,株式会社まつだ
15,Umie,神奈川県藤沢市鵠沼海岸五丁目7番12号,,0466-41-9774,1飲食店営業,株式会社スウェル·アート,0467-40-4073,令和3年11月11日,令和3年11月11日,令和3年11月11日,新規,2021-901-0275,,145,Umie,0466,0466-41-9774,,,,神奈川県藤沢市鵠沼海岸五丁目7番12号,神奈川県藤沢市鵠沼海岸５丁目７番１２号,,81668,14,14205,鵠沼海岸５,,2021/11/11,2021/11/11,,,株式会社スウェル·アート,,0467-40-4073,,,,,,,,2021-901-0275,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,Ｕｍｉｅ0466-41-97748166814205,8bbf5763-64f8-45fd-8b87-14947e494848,株式会社スウェル・アート,70ba2e57-b349-469f-9e74-587ce5c663c3,51a7671f-c906-42f2-9650-99206a722589,2021/11/11,Ｕｍｉｅ,Ｕｍｉｅ,株式会社スウェル・アート
16,日高屋　辻堂南口店,神奈川県藤沢市辻堂一丁目2番1号,,0466-36-2712,1飲食店営業,株式会社ハイデイ日高,048-644-3231,令和3年11月15日,令和3年11月15日,令和3年11月15日,新規,2021-901-0278,,145,日高屋　辻堂南口店,0466,0466-36-2712,,,,神奈川県藤沢市辻堂一丁目2番1号,神奈川県藤沢市辻堂１丁目２番１号,,81713,14,14205,辻堂１,,2021/11/15,2021/11/15,,,株式会社ハイデイ日高,,048-644-3231,,,,,,,,2021-901-0278,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,日高屋辻堂南口店0466-36-27128171314205,22a5be62-1624-477f-89dd-9d25f9f10360,株式会社ハイデイ日高,0a17957c-472d-4d30-afdc-a4ae955be266,535f19ec-4374-4766-867e-ad6eefae6cd6,2021/11/15,日高屋　辻堂南口店,日高屋辻堂南口店,株式会社ハイデイ日高
17,セブンイレブン藤沢遠藤滝の沢店,神奈川県藤沢市遠藤1325番地3,,0466-86-1283,1飲食店営業,有限会社ティ·アンド·ワイ,0466-86-1283,令和3年11月15日,令和3年11月15日,令和3年11月15日,新規,2021-901-0277,,145,セブンイレブン藤沢遠藤滝の沢店,0466,0466-86-1283,,,,神奈川県藤沢市遠藤1325番地3,神奈川県藤沢市遠藤１３２５番地３,,81633,14,14205,遠藤,,2021/11/15,2021/11/15,,,有限会社ティ·アンド·ワイ,,0466-86-1283,,,,,,,,2021-901-0277,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,セブンイレブン藤沢遠藤滝の沢店0466-86-12838163314205,63213fd4-768e-4c9a-a459-a5cae3a13316,有限会社ティ・アンド·ワイ,ce2d9f47-1b76-4549-8d56-a6468432d5ce,673f0936-e7da-457a-a099-543c9b201610,2021/11/15,セブンイレブン藤沢遠藤滝の沢店,セブンイレブン藤沢遠藤滝の沢店,有限会社ティ・アンド·ワイ
18,ほっともっと　藤沢遠藤店,神奈川県藤沢市遠藤1551番地6,,,1飲食店営業,合同会社藤巻商会,,令和3年11月15日,令和3年11月15日,令和3年11月15日,新規,2021-901-0280,,145,ほっともっと　藤沢遠藤店,0466,,,,,神奈川県藤沢市遠藤1551番地6,神奈川県藤沢市遠藤１５５１番地６,,81633,14,14205,遠藤,,2021/11/15,2021/11/15,,,合同会社藤巻商会,,,,,,,,,,2021-901-0280,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ほっともっと藤沢遠藤店8163314205,5e172882-c90c-4de1-afea-12e3824a6d14,合同会社藤巻商会,39163caf-0815-4012-a4d7-98d7d890edc6,f594705d-ca54-41ad-afb2-473ced4eaa33,2021/11/15,ほっともっと　藤沢遠藤店,ほっともっと藤沢遠藤店,合同会社藤巻商会
19,サガミハム直売店　DELI&GIFT,神奈川県藤沢市遠藤4262番地,,0466-48-0171,1飲食店営業,エア·ウォーターアグリ&フーズ株式会社,,令和3年11月15日,令和3年11月15日,令和3年11月15日,新規,2021-901-0279,,145,サガミハム直売店　DELI&GIFT,0466,0466-48-0171,,,,神奈川県藤沢市遠藤4262番地,神奈川県藤沢市遠藤４２６２番地,,81633,14,14205,遠藤,,2021/11/15,2021/11/15,,,エア·ウォーターアグリ&フーズ株式会社,,,,,,,,,,2021-901-0279,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,サガミハム直売店ＤＥＬＩＧＩＦＴ0466-48-01718163314205,3b3458bc-b66e-4c4d-bb4b-a1e54847d065,エア・ウォーターアグリ＆フーズ株式会社,0a22e454-e708-472e-92a5-0735b92cf52f,bdc63dc6-d35e-42b4-88c5-7df069bc88b5,2021/11/15,サガミハム直売店　ＤＥＬＩ＆ＧＩＦＴ,サガミハム直売店ＤＥＬＩＧＩＦＴ,エア・ウォーターアグリ＆フーズ株式会社
20,ホームメイドクッキング,神奈川県藤沢市鵠沼石上一丁目2番5号,第一ミヤビル　2F,0466-24-4451,11菓子製造業,株式会社ホームメイドクッキング,03-5753-5327,令和3年11月17日,令和3年11月17日,令和3年11月17日,新規,2021-911-0021,,145,ホームメイドクッキング,0466,0466-24-4451,,,,神奈川県藤沢市鵠沼石上一丁目2番5号,神奈川県藤沢市鵠沼石上１丁目２番５号,第一ミヤビル　2F,81789,14,14205,鵠沼石上１,,2021/11/17,2021/11/17,,,株式会社ホームメイドクッキング,,03-5753-5327,,,,,,,,2021-911-0021,新規,菓子製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,ホムメイドクッキング0466-24-44518178914205,fd00dd44-c156-4d89-a313-9f67326bf415,株式会社ホームメイドクッキング,ae47c354-f449-4c7f-a7ab-498c5668df96,fbd65c9b-1056-4688-a36b-42e08905eb90,2021/11/17,ホームメイドクッキング,ホムメイドクッキング,株式会社ホームメイドクッキング
21,家庭料理　シャルレ,神奈川県藤沢市亀井野一丁目8番地4,,0466-81-4062,1飲食店営業,有限会社シャルレ加藤,0466-45-5038,令和3年11月18日,令和3年11月18日,令和3年11月18日,新規,2021-901-0285,,145,家庭料理　シャルレ,0466,0466-81-4062,,,,神奈川県藤沢市亀井野一丁目8番地4,神奈川県藤沢市亀井野１丁目８番地４,,81652,14,14205,亀井野１,,2021/11/18,2021/11/18,,,有限会社シャルレ加藤,,0466-45-5038,,,,,,,,2021-901-0285,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,家庭料理シャルレ0466-81-40628165214205,940f9d8b-36ef-4fb2-aa32-ffcc0b59cb41,有限会社シャルレ加藤,fee2a58e-5eee-4b4f-a6cb-f00064dcdfe4,9576bd41-54bc-494d-b77d-2e89b197de89,2021/11/18,家庭料理　シャルレ,家庭料理シャルレ,有限会社シャルレ加藤
22,麻布十番モンタボー　鵠沼海岸店,神奈川県藤沢市鵠沼海岸二丁目4番8号,,0466-33-1337,11 菓子製造業,株式会社スイートスタイル,03-3516-3105,令和3年11月19日,令和3年11月19日,令和3年11月19日,新規,2021-911-0022,,145,麻布十番モンタボー　鵠沼海岸店,0466,0466-33-1337,,,,神奈川県藤沢市鵠沼海岸二丁目4番8号,神奈川県藤沢市鵠沼海岸２丁目４番８号,,81665,14,14205,鵠沼海岸２,,2021/11/19,2021/11/19,,,株式会社スイートスタイル,,03-3516-3105,,,,,,,,2021-911-0022,新規,菓子製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,,,麻布十番モンタボ鵠沼海岸店0466-33-13378166514205,1ee9b496-8f9a-41ed-aebf-e0ca8775a28d,株式会社スイートスタイル,35bc1684-0cf9-414d-ad2b-85cebd2f71ee,aee390d6-8537-4b98-892e-c9849bd15778,2021/11/19,麻布十番モンタボー　鵠沼海岸店,麻布十番モンタボ鵠沼海岸店,株式会社スイートスタイル
23,MENGA,神奈川県藤沢市片瀬海岸一丁目13番11号,,0466-52-5547,1飲食店営業,有限会社ギャラップ,03-6435-4390,令和3年11月24日,令和3年11月24日,令和3年11月24日,新規,2021-901-0288,,145,MENGA,0466,0466-52-5547,,,,神奈川県藤沢市片瀬海岸一丁目13番11号,神奈川県藤沢市片瀬海岸１丁目１３番１１号,,81642,14,14205,片瀬海岸１,,2021/11/24,2021/11/24,,,有限会社ギャラップ,,03-6435-4390,,,,,,,,2021-901-0288,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ＭＥＮＧＡ0466-52-55478164214205,76482a1b-113a-43b7-8b1d-330c64a2c6c2,有限会社ギャラップ,06b3bb6e-cc5e-4b54-8dfc-304320686501,0f7ca0ec-e734-4a7e-bd86-46e623142f81,2021/11/24,ＭＥＮＧＡ,ＭＥＮＧＡ,有限会社ギャラップ
24,株式会社やまか生鮮センター,神奈川県藤沢市稲荷520番地,,0466-52-5066,16水産製品製造業,株式会社やまか,0466-52-5640,令和3年11月24日,令和3年11月24日,令和3年11月24日,新規,2021-916-0003,,145,株式会社やまか生鮮センター,0466,0466-52-5066,,,,神奈川県藤沢市稲荷520番地,神奈川県藤沢市稲荷５２０番地,,81624,14,14205,稲荷,,2021/11/24,2021/11/24,,,株式会社やまか,,0466-52-5640,,,,,,,,2021-916-0003,新規,水産製品製造業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,E,9,92,,株式会社やまか生鮮センタ0466-52-50668162414205,05194715-1389-445f-afbd-29da05488825,株式会社やまか,97bd989a-65f0-4838-8848-aff88b94c447,b8e16f49-6650-4d85-b302-7779d3acd5c0,2021/11/24,株式会社やまか生鮮センター,株式会社やまか生鮮センタ,株式会社やまか
25,Mr. chill　ENOSHIMA,神奈川県藤沢市片瀬海岸一丁目12番7号,江ノ島ビュータワー　5F,,1飲食店営業,株式会社Mr.chill,03-6432-5866,令和3年11月25日,令和3年11月25日,令和3年11月25日,新規,2021-901-0293,,145,Mr. chill　ENOSHIMA,0466,,,,,神奈川県藤沢市片瀬海岸一丁目12番7号,神奈川県藤沢市片瀬海岸１丁目１２番７号,江ノ島ビュータワー　5F,81642,14,14205,片瀬海岸１,,2021/11/25,2021/11/25,,,株式会社Mr.chill,,03-6432-5866,,,,,,,,2021-901-0293,新規,飲食店営業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,M,76,,,ＭｒｃｈｉｌｌＥＮＯＳＨＩＭＡ8164214205,da92923f-6fe5-4d0f-98ff-15b8a1aedc83,株式会社Ｍｒ．ｃｈｉｌｌ,eacaeb9c-fc54-4515-af3c-8910828d28b9,dfbb0df9-2733-4673-a11f-4fc3251ae772,2021/11/25,Ｍｒ．　ｃｈｉｌｌ　ＥＮＯＳＨＩＭＡ,ＭｒｃｈｉｌｌＥＮＯＳＨＩＭＡ,株式会社Ｍｒ．ｃｈｉｌｌ
26,木曽路藤沢店,神奈川県藤沢市川名一丁目4番18号,,0466-55-1661,4 魚介類販売業,株式会社木曽路,052-872-1811,令和3年11月25日,令和3年11月25日,令和3年11月25日,新規,2021-904-0003,,145,木曽路藤沢店,0466,0466-55-1661,,,,神奈川県藤沢市川名一丁目4番18号,神奈川県藤沢市川名１丁目４番１８号,,81660,14,14205,川名１,,2021/11/25,2021/11/25,,,株式会社木曽路,,052-872-1811,,,,,,,,2021-904-0003,新規,魚介類販売業,,,,145_神奈川県_藤沢市保健所_食品衛生()_2021年11月_末日_新規、廃止,I,58,,,木曽路藤沢店0466-55-16618166014205,377afa14-380f-4b9d-a37d-9b8f45dd2580,株式会社木曽路,544e9221-e756-49cd-adef-9dbc1eb803ef,32928b64-a81a-4c3d-bf19-bb719cc36fdb,2021/11/25,木曽路藤沢店,木曽路藤沢店,株式会社木曽路
