https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538,n処理終了,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,その他,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232025,,愛知県,岡崎市,エイ・ダブリュ・サービス食堂,エイ・ダブリュ・サービスショクドウ,飲食店営業,,愛知県岡崎市池金町字中大入1-57,,,,(0564)48-1107,コンパスグループ・ジャパン株式会社,,428-01-002-0011,2016/12/12,2016/12/12,2016/12/12,2022/12/31,,,,,,247,エイ・ダブリュ・サービス食堂,0564,0564-48-1107,,,,愛知県岡崎市池金町字中大入1-57,愛知県岡崎市池金町字中大入１－５７,,118054,23,23202,池金町,,2016/12/12,2016/12/12,2016/12/12,2022/12/31,コンパスグループ・ジャパン株式会社,,,,,,,,,,428-01-002-0011,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,エイダブリュサビス食堂0564-48-110711805423202,b03f1506-96a9-43ff-a0f7-c798b87be86e,コンパスグループ・ジャパン株式会社,62c9e7fa-0e48-457a-8e48-b1af5a0e11fc,08b62ea5-41bc-4000-bc9d-308c321d1ba3,2016/12/12,エイ・ダブリュ・サービス食堂,エイダブリュサビス食堂,コンパスグループ・ジャパン株式会社
232025,,愛知県,岡崎市,愛厚ホーム岡崎苑厨房,アイコウホームオカザキエンチュウボウ,飲食店営業,,愛知県岡崎市竜泉寺町字松本34-6,,,,(0564)54-7755,ソシオフードサービス株式会社,,429-01-002-0012,2017/10/1,2017/10/1,2017/10/1,2024/9/30,,,,,,247,愛厚ホーム岡崎苑厨房,0564,0564-54-7755,,,,愛知県岡崎市竜泉寺町字松本34-6,愛知県岡崎市竜泉寺町字松本３４－６,,118319,23,23202,竜泉寺町,,2017/10/01,2017/10/01,2017/10/01,2024/09/30,ソシオフードサービス株式会社,,,,,,,,,,429-01-002-0012,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,愛厚ホム岡崎苑厨房0564-54-775511831923202,465c4828-b313-440c-ae63-73610b5d80e2,ソシオフードサービス株式会社,0cc92ef9-4492-4f0d-8905-4bf17bd3ee74,a1335c72-a080-44d8-8960-05a4567adb11,2017/10/01,愛厚ホーム岡崎苑厨房,愛厚ホム岡崎苑厨房,ソシオフードサービス株式会社
232025,,愛知県,岡崎市,川本製作所岡崎工場食堂,カワモトセイサクジョオカザキコウジョウショクドウ,飲食店営業,,愛知県岡崎市橋目町字御領田1,,,,(0564)31-6446,コンパスグループ・ジャパン株式会社,,430-01-002-0005,2018/4/23,2018/4/23,2018/4/23,2024/4/30,,,,,,247,川本製作所岡崎工場食堂,0564,0564-31-6446,,,,愛知県岡崎市橋目町字御領田1,愛知県岡崎市橋目町字御領田１,,118238,23,23202,橋目町,,2018/04/23,2018/04/23,2018/04/23,2024/04/30,コンパスグループ・ジャパン株式会社,,,,,,,,,,430-01-002-0005,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,川本製作所岡崎工場食堂0564-31-644611823823202,f112690d-eccc-4d55-94ef-d907cb8750a6,コンパスグループ・ジャパン株式会社,62c9e7fa-0e48-457a-8e48-b1af5a0e11fc,07169a2f-7c25-4b4c-ad3d-e3211e5a4244,2018/04/23,川本製作所岡崎工場食堂,川本製作所岡崎工場食堂,コンパスグループ・ジャパン株式会社
232025,,愛知県,岡崎市,ｍｅａｔ ａｎｄ ｂａｒ Ｇｈｅｔｔｏ,ミート アンド バー ゲットゥー,飲食店営業,,愛知県岡崎市羽根町字東荒子41-8,ＭｙＳｔａｔｉｏｎ Ｏｋａｚａｋｉ １Ｆ,,,(0564)53-6663,株式会社 Ａ．Ｉ,,430-01-004-0019,2018/5/21,2018/5/21,2018/5/21,2024/5/31,,,,,,247,ｍｅａｔ ａｎｄ ｂａｒ Ｇｈｅｔｔｏ,0564,0564-53-6663,,,,愛知県岡崎市羽根町字東荒子41-8,愛知県岡崎市羽根町字東荒子４１－８,ＭｙＳｔａｔｉｏｎ Ｏｋａｚａｋｉ １Ｆ,118251,23,23202,羽根町,,2018/05/21,2018/05/21,2018/05/21,2024/05/31,株式会社 Ａ．Ｉ,,,,,,,,,,430-01-004-0019,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ｍｅａｔａｎｄｂａｒＧｈｅｔｔｏ0564-53-666311825123202,c665b796-7fe7-4a8f-85dc-cfee53df401a,株式会社Ａ．Ｉ,0820f2c3-2f35-42d3-a57f-276e67bf8f23,49d41e5a-f4cf-492f-a4e0-86db537451e2,2018/05/21,ｍｅａｔ　ａｎｄ　ｂａｒ　Ｇｈｅｔｔｏ,ｍｅａｔａｎｄｂａｒＧｈｅｔｔｏ,株式会社Ａ．Ｉ
232025,,愛知県,岡崎市,カラオケ居酒屋 ｉｚａｃｋ,カラオケイザカヤ イザック,飲食店営業,,愛知県岡崎市羽根町字東荒子41-8,ＭｙＳｔａｔｉｏｎ Ｏｋａｚａｋｉ ７Ｆ,,,(0564)53-7222,株式会社 Ａ．Ｉ,,430-01-004-0020,2018/5/28,2018/5/28,2018/5/28,2024/5/31,,,,,,247,カラオケ居酒屋 ｉｚａｃｋ,0564,0564-53-7222,,,,愛知県岡崎市羽根町字東荒子41-8,愛知県岡崎市羽根町字東荒子４１－８,ＭｙＳｔａｔｉｏｎ Ｏｋａｚａｋｉ ７Ｆ,118251,23,23202,羽根町,,2018/05/28,2018/05/28,2018/05/28,2024/05/31,株式会社 Ａ．Ｉ,,,,,,,,,,430-01-004-0020,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,カラオケ居酒屋ｉｚａｃｋ0564-53-722211825123202,d58ba2d6-422a-4636-8d6e-f73c351b26ee,株式会社Ａ．Ｉ,0820f2c3-2f35-42d3-a57f-276e67bf8f23,8a7cd594-294b-44cc-89bd-a7f8c3a2b4db,2018/05/28,カラオケ居酒屋　ｉｚａｃｋ,カラオケ居酒屋ｉｚａｃｋ,株式会社Ａ．Ｉ
232025,,愛知県,岡崎市,Ｉｔａｌｉａｎ Ｄｉｎｉｎｇ＆Ｍａｒｋｅｔ ＢＡＣＣＨＵＳ,イタリアン ダイニング アンド マーケット バッカス,飲食店営業,,愛知県岡崎市上里3-4-1,,,,(0564)26-1414,株式会社 Ｍ＆Ｍコーポレーション,,429-01-501-0075,2011/7/13,2017/7/28,2017/8/1,2023/7/31,,,,,,247,Ｉｔａｌｉａｎ Ｄｉｎｉｎｇ＆Ｍａｒｋｅｔ ＢＡＣＣＨＵＳ,0564,0564-26-1414,,,,愛知県岡崎市上里3-4-1,愛知県岡崎市上里３－４－１,,118351,23,23202,上里３,,2011/07/13,2017/07/28,2017/08/01,2023/07/31,株式会社 Ｍ＆Ｍコーポレーション,,,,,,,,,,429-01-501-0075,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＩｔａｌｉａｎＤｉｎｉｎｇＭａｒｋｅｔＢＡＣＣＨＵＳ0564-26-141411835123202,6154dad1-341b-417a-9f24-446a89a13bfa,株式会社Ｍ＆Ｍコーポレーション,c05f2dad-a03d-486e-9e53-5d404e3bedac,9b27fa23-72c0-42b4-ab54-5002939d8795,2017/07/28,Ｉｔａｌｉａｎ　Ｄｉｎｉｎｇ＆Ｍａｒｋｅｔ　ＢＡＣＣＨＵＳ,ＩｔａｌｉａｎＤｉｎｉｎｇＭａｒｋｅｔＢＡＣＣＨＵＳ,株式会社Ｍ＆Ｍコーポレーション
232025,,愛知県,岡崎市,Ｆｒｕｉｔｓ ＢＯＮＢＯＮ,フルーツ ボンボン,飲食店営業,,愛知県豊橋 ,483 す 6 ｽｽﾞｷｷｬﾘｰ,,,,株式会社 ＪＭＴ,,502-01-004-0028,2020/6/3,2020/6/3,2020/6/3,2025/6/30,,,自動車による営業に限る（愛知県内有効）,,,246,Ｆｒｕｉｔｓ ＢＯＮＢＯＮ,0532,,,,,愛知県豊橋 ,愛知県豊橋市,483 す 6 ｽｽﾞｷｷｬﾘｰ,117649,23,23201,,,2020/06/03,2020/06/03,2020/06/03,2025/06/30,株式会社 ＪＭＴ,,,,,,,,,,502-01-004-0028,,飲食店営業,,自動車による営業に限る（愛知県内有効）,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,ＦｒｕｉｔｓＢＯＮＢＯＮ11764923201,df61eb80-1ce3-4d23-a706-ee3ace31eb06,株式会社ＪＭＴ,704aefd0-ebe5-4d85-9f6c-75665ba723c7,add6c4c2-b27e-41ca-a37d-4d72f69c380e,2020/06/03,Ｆｒｕｉｔｓ　ＢＯＮＢＯＮ,ＦｒｕｉｔｓＢＯＮＢＯＮ,株式会社ＪＭＴ
232025,,愛知県,岡崎市,純生カステラ キミとホイップ,ジュンナマカステラ キミトホイップ,菓子製造業,,愛知県岡崎市百々西町12-27,,,,(0564)77-0398,ＴＲＯＣ株式会社,,503-01-414-0015,2021/9/15,2021/9/15,2021/9/15,2027/9/30,,,,,,247,純生カステラ キミとホイップ,0564,0564-77-0398,,,,愛知県岡崎市百々西町12-27,愛知県岡崎市百々西町１２－２７,,118346,23,23202,百々西町,,2021/09/15,2021/09/15,2021/09/15,2027/09/30,ＴＲＯＣ株式会社,,,,,,,,,,503-01-414-0015,,菓子製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,純生カステラキミとホイップ0564-77-039811834623202,adbb763b-6604-4b37-9056-759939373de6,ＴＲＯＣ株式会社,2c9d9db5-658f-4ef4-b2cd-532be961f3f8,7c1b5ee3-022a-429d-b1cd-0e9c2d90a496,2021/09/15,純生カステラ　キミとホイップ,純生カステラキミとホイップ,ＴＲＯＣ株式会社
232025,,愛知県,岡崎市,合資会社 まるみつ本店,ゴウシガイシャ マルミツホンテン,そうざい製造業,,愛知県岡崎市井田町字稲場11-2,,,,(0564)21-2938,合資会社 まるみつ本店,,503-01-428-0005,2021/8/25,2021/8/25,2021/9/1,2027/8/31,,,,,,247,合資会社 まるみつ本店,0564,0564-21-2938,,,,愛知県岡崎市井田町字稲場11-2,愛知県岡崎市井田町字稲場１１－２,,118059,23,23202,井田町,,2021/08/25,2021/08/25,2021/09/01,2027/08/31,合資会社 まるみつ本店,,,,,,,,,,503-01-428-0005,,そうざい製造業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,E,9,,,合資会社まるみつ本店0564-21-293811805923202,00247_b6525c2a-56db-49bb-898b-5a7a4b318c25,合資会社まるみつ本店,681172f4-0783-4975-af9a-1d77e631acd3,94c5ec5e-9f6c-4757-94d2-d10242d65418,2021/08/25,合資会社まるみつ本店,合資会社まるみつ本店,合資会社まるみつ本店
232025,,愛知県,岡崎市,蕎麦 岡乃 イオンモール岡崎店,ソバ オカノ イオンモールオカザキテン,飲食店営業,,愛知県岡崎市戸崎町字外山38-5,イオンモール岡崎１Ｆ,,,(0564)54-0670,株式会社 Ｒｕｎ ｆｏｏｄｓ ａｕｃｔｉｏｎ,,503-01-401-0088,2021/11/2,2021/11/2,2021/11/2,2027/11/30,,,,,,247,蕎麦 岡乃 イオンモール岡崎店,0564,0564-54-0670,,,,愛知県岡崎市戸崎町字外山38-5,愛知県岡崎市戸崎町字外山３８－５,イオンモール岡崎１Ｆ,118199,23,23202,戸崎町,,2021/11/02,2021/11/02,2021/11/02,2027/11/30,株式会社 Ｒｕｎ ｆｏｏｄｓ ａｕｃｔｉｏｎ,,,,,,,,,,503-01-401-0088,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,蕎麦岡乃イオンモル岡崎店0564-54-067011819923202,ba20abcd-e07f-4c93-b126-7077d76ee786,株式会社Ｒｕｎ　ｆｏｏｄｓ　ａｕｃｔｉｏｎ,56577e43-8d5c-4626-9289-d78d19fcdacc,fbcaa479-d6e1-4f82-adaa-941cc53e0fc7,2021/11/02,蕎麦　岡乃　イオンモール岡崎店,蕎麦岡乃イオンモル岡崎店,株式会社Ｒｕｎ　ｆｏｏｄｓ　ａｕｃｔｉｏｎ
232025,,愛知県,岡崎市,かっぱ寿司 岡崎大樹寺店,カッパズシ オカザキダイジュジテン,飲食店営業,,愛知県岡崎市鴨田町字広元265･264･268,,,,(0564)27-1800,カッパ・クリエイト株式会社,,503-01-401-0085,2021/10/29,2021/10/29,2021/11/1,2027/10/31,,,,,,247,かっぱ寿司 岡崎大樹寺店,0564,0564-27-1800,,,,愛知県岡崎市鴨田町字広元265･264･268,愛知県岡崎市鴨田町字広元２６５･２６４･２６８,,118125,23,23202,鴨田町,,2021/10/29,2021/10/29,2021/11/01,2027/10/31,カッパ・クリエイト株式会社,,,,,,,,,,503-01-401-0085,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,かっぱ寿司岡崎大樹寺店0564-27-180011812523202,00247_9cca76a2-17c8-4be1-a34b-c082bd6bc9b9,カッパ・クリエイト株式会社,4ba269ff-21c6-41af-8b00-7d33979550e6,3328aa37-b79c-4ce9-9815-b6b1395a7336,2021/10/29,かっぱ寿司　岡崎大樹寺店,かっぱ寿司岡崎大樹寺店,カッパ・クリエイト株式会社
232025,,愛知県,岡崎市,東日本 １０５９０,ヒガシニホン １０５９０,飲食店営業,,愛知県岡崎市洞町字鷹野2-1,,,,,株式会社 メフォス東日本,,503-01-402-0005,2021/8/10,2021/8/10,2021/8/10,2027/8/31,,,,,,247,東日本 １０５９０,0564,,,,,愛知県岡崎市洞町字鷹野2-1,愛知県岡崎市洞町字鷹野２－１,,118277,23,23202,洞町,,2021/08/10,2021/08/10,2021/08/10,2027/08/31,株式会社 メフォス東日本,,,,,,,,,,503-01-402-0005,,飲食店営業,,,,247_愛知県_岡崎市保健所_食品衛生()_2021年11月_末日,M,76,,,東日本１０５９０11827723202,495be40a-a791-4374-bc65-89d7b778160c,株式会社メフォス東日本,e35a5589-897c-4cb4-8398-628c69277f4b,ebe055bb-b75d-49c1-9b49-e9bad7fb49f6,2021/08/10,東日本　１０５９０,東日本１０５９０,株式会社メフォス東日本
