https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,許可年月日,許可期間開始日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,一新,,福岡県,福岡市城南区,別府,１－８－３３,,092-821-8815,① 飲食店営業,葉山伸太,,2021/11/17,2021/11/17,2022/1/1,福城保衛第2021015035号,,397,一新,092,092-821-8815,,,,福岡県　福岡市城南区　別府　１－８－３３,福岡県福岡市城南区別府１－８－３３,,200770,40,40136,別府１,,2021/11/17,2021/11/17,2022/01/01,,,葉山伸太,,,,,,,,,福城保衛第2021015035号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,一新092-821-881520077040136,dd282e62-beaf-49f0-a35e-8f3c6633ba31,,personal,5c0ae553-0d93-4c32-8387-7e266aeafdfc,2021/11/17,一新,一新,
11,旬菜　てづか,8140143,福岡県,福岡市城南区,南片江６丁目,８－６,,092-863-6500,① 飲食店営業,手塚幹生,,2021/11/17,2021/11/17,2022/1/1,福城保衛第2021015036号,,397,旬菜　てづか,092,092-863-6500,,,,福岡県　福岡市城南区　南片江６丁目　８－６,福岡県福岡市城南区南片江６丁目８－６,,200786,40,40136,南片江６,,2021/11/17,2021/11/17,2022/01/01,,,手塚幹生,,,,,,,,,福城保衛第2021015036号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,旬菜てづか092-863-650020078640136,1d53badf-ae3d-4972-80af-ead76f543d66,,personal,e2306c9f-ee2c-46f0-b5df-aef5277c1d1a,2021/11/17,旬菜　てづか,旬菜てづか,
12,家家（やや）,8140142,福岡県,福岡市城南区,片江,1丁目4-18,,092-801-2373,① 飲食店営業,岸正人,,2021/11/17,2021/11/17,2022/1/1,福城保衛第2021015037号,,397,家家（やや）,092,092-801-2373,,,,福岡県　福岡市城南区　片江　1丁目4-18,福岡県福岡市城南区片江１丁目４－１８,,200704,40,40136,片江１,,2021/11/17,2021/11/17,2022/01/01,,,岸正人,,,,,,,,,福城保衛第2021015037号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,家家やや092-801-237320070440136,401f117f-faf9-4a9c-8b1d-5ea33f556f06,,personal,718699c0-3cd8-4b0d-8617-c61106e0a352,2021/11/17,家家（やや）,家家やや,
13,ヤキトリ　チューリップ,8140104,福岡県,福岡市城南区,別府,１丁目４－６,,092-845-5757,① 飲食店営業,樗木太,,2021/11/18,2021/11/18,2022/1/1,福城保衛第2021015039号,,397,ヤキトリ　チューリップ,092,092-845-5757,,,,福岡県　福岡市城南区　別府　１丁目４－６,福岡県福岡市城南区別府１丁目４－６,,200770,40,40136,別府１,,2021/11/18,2021/11/18,2022/01/01,,,樗木太,,,,,,,,,福城保衛第2021015039号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ヤキトリチュリップ092-845-575720077040136,0e080331-a5f4-427d-b6d4-e3fe76b67468,,personal,c54d88ef-d946-4ece-ba0a-49e850be3ed5,2021/11/18,ヤキトリ　チューリップ,ヤキトリチュリップ,
14,レシャロット,8140103,福岡県,福岡市城南区,鳥飼,5-13-11　,1F,092-823-3764,① 飲食店営業,松永聖貴,,2021/11/18,2021/11/18,2022/1/1,福城保衛第2021015040号,,397,レシャロット,092,092-823-3764,,,,福岡県　福岡市城南区　鳥飼　5-13-11　,福岡県福岡市城南区鳥飼５－１３－１１,1F,200738,40,40136,鳥飼５,,2021/11/18,2021/11/18,2022/01/01,,,松永聖貴,,,,,,,,,福城保衛第2021015040号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,レシャロット092-823-376420073840136,c1d2613c-bd7d-4d11-9917-90dd6bc5b8d7,,personal,1725fe1b-537c-46ca-ba36-1e95be3c89ae,2021/11/18,レシャロット,レシャロット,
15,長尾亭,8140153,福岡県,福岡市城南区,樋井川,3-17-15,,092-511-3335,① 飲食店営業,河野澄子,,2021/11/19,2021/11/19,2022/1/1,福城保衛第2021015041号,,397,長尾亭,092,092-511-3335,,,,福岡県　福岡市城南区　樋井川　3-17-15,福岡県福岡市城南区樋井川３－１７－１５,,200758,40,40136,樋井川３,,2021/11/19,2021/11/19,2022/01/01,,,河野澄子,,,,,,,,,福城保衛第2021015041号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,長尾亭092-511-333520075840136,d3c86387-39a6-405c-9e17-8afcb8553389,,personal,9f6ee688-ef38-4386-afea-028e47f4c93a,2021/11/19,長尾亭,長尾亭,
16,焼きとり秀信,8140131,福岡県,福岡市城南区,松山,2丁目5-11,,092-861-5785,① 飲食店営業,水上房子,,2021/11/24,2021/11/24,2022/1/1,福城保衛第2021015042号,,397,焼きとり秀信,092,092-861-5785,,,,福岡県　福岡市城南区　松山　2丁目5-11,福岡県福岡市城南区松山２丁目５－１１,,200791,40,40136,松山２,,2021/11/24,2021/11/24,2022/01/01,,,水上房子,,,,,,,,,福城保衛第2021015042号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,焼きとり秀信092-861-578520079140136,73ddbaaa-f4aa-4152-b628-89c261d3ee41,,personal,63b6441d-915b-463d-8a94-ad2ba4b19e8f,2021/11/24,焼きとり秀信,焼きとり秀信,
17,ｅａｔｉｎｇ　ｐｌａｃｅ　ａｍａｍ,8140104,福岡県,福岡市城南区,別府,２－１０－２２,別府ビル１０７,,① 飲食店営業,藤本弥生,,2021/11/24,2021/11/24,2022/1/1,福城保衛第2021015043号,,397,ｅａｔｉｎｇ　ｐｌａｃｅ　ａｍａｍ,092,,,,,福岡県　福岡市城南区　別府　２－１０－２２,福岡県福岡市城南区別府２－１０－２２,別府ビル１０７,200771,40,40136,別府２,,2021/11/24,2021/11/24,2022/01/01,,,藤本弥生,,,,,,,,,福城保衛第2021015043号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ｅａｔｉｎｇｐｌａｃｅａｍａｍ20077140136,aef26670-4070-4331-8a93-4e03a6f456a2,,personal,a8b968c2-2ea2-434a-9007-9007e34fc12d,2021/11/24,ｅａｔｉｎｇ　ｐｌａｃｅ　ａｍａｍ,ｅａｔｉｎｇｐｌａｃｅａｍａｍ,
18,友丘勉強屋,8140112,福岡県,福岡市城南区,友丘,2丁目5-23,,092-871-2686,③ 食肉販売業,山川勝利,,2021/11/24,2021/11/24,2022/1/1,福城保衛第2021055002号,,397,友丘勉強屋,092,092-871-2686,,,,福岡県　福岡市城南区　友丘　2丁目5-23,福岡県福岡市城南区友丘２丁目５－２３,,200732,40,40136,友丘２,,2021/11/24,2021/11/24,2022/01/01,,,山川勝利,,,,,,,,,福城保衛第2021055002号,,食肉販売業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,I,58,583,,友丘勉強屋092-871-268620073240136,67871731-3d2f-4385-b764-73bf92266b0f,,personal,ef8c1b5e-fb96-4a51-b44d-99594cad03ad,2021/11/24,友丘勉強屋,友丘勉強屋,
19,七隈園,8140111,福岡県,福岡市城南区,茶山,5丁目17-4,,092-863-2586,① 飲食店営業,白川忠吉,,2021/11/25,2021/11/25,2022/1/1,福城保衛第2021015044号,,397,七隈園,092,092-863-2586,,,,福岡県　福岡市城南区　茶山　5丁目17-4,福岡県福岡市城南区茶山５丁目１７－４,,200725,40,40136,茶山５,,2021/11/25,2021/11/25,2022/01/01,,,白川忠吉,,,,,,,,,福城保衛第2021015044号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,七隈園092-863-258620072540136,7e2c44bc-4ff4-4f95-adf8-0bc2b742d8e6,,personal,9e8153de-b731-4fda-aa69-ccd9ace638af,2021/11/25,七隈園,七隈園,
20,ほんわか居酒屋　朝日,8140133,福岡県,福岡市城南区,七隈,4-7-19,ベルソーナ七隈1F,092-600-9922,① 飲食店営業,福澤鉄平,,2021/11/25,2021/11/25,2021/11/25,福城保衛第2021010042号,,397,ほんわか居酒屋　朝日,092,092-600-9922,,,,福岡県　福岡市城南区　七隈　4-7-19,福岡県福岡市城南区七隈４－７－１９,ベルソーナ七隈1F,200750,40,40136,七隈４,,2021/11/25,2021/11/25,2021/11/25,,,福澤鉄平,,,,,,,,,福城保衛第2021010042号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ほんわか居酒屋朝日092-600-992220075040136,7fbd274c-89af-4090-bb69-46752fc5f94a,,personal,6398b8a8-29d7-454f-a0a9-2fca5649601c,2021/11/25,ほんわか居酒屋　朝日,ほんわか居酒屋朝日,
21,別府コロッケ,,福岡県,福岡市城南区,別府,５－２３－１,,,① 飲食店営業,株式会社ＯＮＥ　ＦＬＡＴ,092-287-5485,2021/11/8,2021/11/8,2021/11/8,福城保衛第2021010038号,,397,別府コロッケ,092,,,,,福岡県　福岡市城南区　別府　５－２３－１,福岡県福岡市城南区別府５－２３－１,,200774,40,40136,別府５,,2021/11/08,2021/11/08,2021/11/08,,株式会社ＯＮＥ　ＦＬＡＴ,,092-287-5485,,,,,,,,福城保衛第2021010038号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,別府コロッケ20077440136,319117c2-6a04-4c7c-87a6-d50c5cf637ab,株式会社ＯＮＥ　ＦＬＡＴ,a45221cf-d825-492f-81d5-533ca350e542,116ef200-c3b3-4c37-b1ce-9fe3e86cfa85,2021/11/08,別府コロッケ,別府コロッケ,株式会社ＯＮＥ　ＦＬＡＴ
22,ほっともっと七隈店,8140131,福岡県,福岡市城南区,松山,2-16-17,,092-864-5330,① 飲食店営業,有限会社マルタカ商事,092-864-5330,2021/11/18,2021/11/18,2022/1/1,福城保衛第2021015038号,,397,ほっともっと七隈店,092,092-864-5330,,,,福岡県　福岡市城南区　松山　2-16-17,福岡県福岡市城南区松山２－１６－１７,,200791,40,40136,松山２,,2021/11/18,2021/11/18,2022/01/01,,有限会社マルタカ商事,,092-864-5330,,,,,,,,福城保衛第2021015038号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ほっともっと七隈店092-864-533020079140136,2c3c31af-2b55-4aca-9fcb-66dab87f07b5,有限会社マルタカ商事,f6687e4e-8eaa-4abb-b0c5-bf8b00f50100,39650e9d-0fb0-4007-bae9-ba8f361327c9,2021/11/18,ほっともっと七隈店,ほっともっと七隈店,有限会社マルタカ商事
23,Ｊ’ｓ　ＢＡＲ,8140112,福岡県,福岡市城南区,友丘,２丁目2-43-3,,092-834-7476,① 飲食店営業,有限会社ジェイズトータルサービス,092-725-8099,2021/11/12,2021/11/12,2021/11/12,福城保衛第2021010037号,,397,Ｊ’ｓ　ＢＡＲ,092,092-834-7476,,,,福岡県　福岡市城南区　友丘　２丁目2-43-3,福岡県福岡市城南区友丘２丁目２－４３－３,,200732,40,40136,友丘２,,2021/11/12,2021/11/12,2021/11/12,,有限会社ジェイズトータルサービス,,092-725-8099,,,,,,,,福城保衛第2021010037号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＪｓＢＡＲ092-834-747620073240136,ade4fe45-a968-4577-8ba2-6b20134792b5,有限会社ジェイズトータルサービス,768f74dd-644a-42cd-8d73-53ef9c88302b,01c030be-d7cd-4a96-960e-eb59053ecd01,2021/11/12,Ｊ＇ｓ　ＢＡＲ,ＪｓＢＡＲ,有限会社ジェイズトータルサービス
24,旬菜酒膳家　月兎　ＴＵＫＩＵＳＡＧＩ,,福岡県,福岡市城南区,別府,１丁目３－１３,,092-843-1664,① 飲食店営業,株式会社尾谷商店,092-661-6624,2021/11/25,2021/11/25,2022/1/1,福城保衛第2021015045号,,397,旬菜酒膳家　月兎　ＴＵＫＩＵＳＡＧＩ,092,092-843-1664,,,,福岡県　福岡市城南区　別府　１丁目３－１３,福岡県福岡市城南区別府１丁目３－１３,,200770,40,40136,別府１,,2021/11/25,2021/11/25,2022/01/01,,株式会社尾谷商店,,092-661-6624,,,,,,,,福城保衛第2021015045号,,飲食店営業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,M,76,,,旬菜酒膳家月兎ＴＵＫＩＵＳＡＧＩ092-843-166420077040136,c7f662dd-4d4c-4c57-a36b-39d24073bfbd,株式会社尾谷商店,6c7a5f37-1f8d-46f9-bd5c-28b463efbb2d,331ecedf-cc9c-4cfc-9451-2fa9b08dfd31,2021/11/25,旬菜酒膳家　月兎　ＴＵＫＩＵＳＡＧＩ,旬菜酒膳家月兎ＴＵＫＩＵＳＡＧＩ,株式会社尾谷商店
25,平治,8140143,福岡県,福岡市城南区,南片江６丁目,５－１０,２０５号,,⑳ みそ又はしょうゆ製造業,株式会社セキュリティ秀穎,092-542-2232,2021/11/2,2021/11/2,2021/11/2,福城保衛第2021390001号,,397,平治,092,,,,,福岡県　福岡市城南区　南片江６丁目　５－１０,福岡県福岡市城南区南片江６丁目５－１０,２０５号,200786,40,40136,南片江６,,2021/11/02,2021/11/02,2021/11/02,,株式会社セキュリティ秀穎,,092-542-2232,,,,,,,,福城保衛第2021390001号,,みそ製造業,,,,397_福岡県_城南保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、廃止,E,9,,,平治20078640136,1cd0c844-278a-4c96-a04a-d070116da862,株式会社セキュリティ秀穎,93a328da-3181-48cc-ba9c-8d989b4288a3,e26a25b1-6414-4b35-97c0-c831a0e980df,2021/11/02,平治,平治,株式会社セキュリティ秀穎
