https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,申請者1,業種,申請区分,施設-電話番号1,開業年月日,許可年月日,確認番号,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,施設所在地,施設所在地ビル名,営業者氏名,営業の種類,申請区分,施設電話番号,初回許可日,許可年月日（有効期間始期）,許可番号,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Bonnel Cafe,東京都北区上十条二丁目２３番１０号,,丹羽洋平,飲食店営業,新規,03-4296-7109,2021/12/7,2021/11/1,3北健生食き第627号,,,196,Bonnel Cafe,03,03-4296-7109,,,,東京都北区上十条二丁目２３番１０号,東京都北区上十条２丁目２３番１０号,,74894,13,13117,上十条２,,2021/12/07,2021/11/01,,,,丹羽洋平,,,,,,,,,3北健生食き第627号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＢｏｎｎｅｌＣａｆｅ03-4296-71097489413117,44c8d813-8ab3-404d-beef-b6502fb5bb68,,personal,5056c919-69f5-44b1-aa8e-73186b4be13e,2021/11/01,Ｂｏｎｎｅｌ　Ｃａｆｅ,ＢｏｎｎｅｌＣａｆｅ,
蒲田屋,東京都北区上十条三丁目２９番１５号,,添野勝利,飲食店営業,新規,03-3906-2044,2021/12/16,2021/12/16,3北健生食き第750号,,,196,蒲田屋,03,03-3906-2044,,,,東京都北区上十条三丁目２９番１５号,東京都北区上十条３丁目２９番１５号,,74895,13,13117,上十条３,,2021/12/16,2021/12/16,,,,添野勝利,,,,,,,,,3北健生食き第750号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,蒲田屋03-3906-20447489513117,4828f7d2-d095-426e-86bc-728eeca423e2,,personal,ce1910cb-6496-4254-8c78-36a4dd0b0b65,2021/12/16,蒲田屋,蒲田屋,
スーパーＪ＆Ｍ,東京都北区上十条四丁目１５番１４号,,有限会社大原商店,飲食店営業,新規,03-3900-3059,2021/12/1,2021/12/1,3北健生食き第691号,03-3900-3059,,196,スーパーＪ＆Ｍ,03,03-3900-3059,,,,東京都北区上十条四丁目１５番１４号,東京都北区上十条４丁目１５番１４号,,74896,13,13117,上十条４,,2021/12/01,2021/12/01,,,有限会社大原商店,,03-3900-3059,,,,,,,,3北健生食き第691号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,スパＪＭ03-3900-30597489613117,6c873041-410f-4314-8cc1-50bb05e9d131,有限会社大原商店,1c6ed94b-3a57-4048-be6d-4b39c4ad2fa1,dea72464-8667-45f4-b8a9-107b833ee057,2021/12/01,スーパーＪ＆Ｍ,スパＪＭ,有限会社大原商店
奈仁和寿司,東京都北区神谷二丁目２１番５号,,高橋佳太郎,飲食店営業,新規,03-3901-7788,2021/12/28,2021/12/28,3北健生食き第734号,,,196,奈仁和寿司,03,03-3901-7788,,,,東京都北区神谷二丁目２１番５号,東京都北区神谷２丁目２１番５号,,74902,13,13117,神谷２,,2021/12/28,2021/12/28,,,,高橋佳太郎,,,,,,,,,3北健生食き第734号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,奈仁和寿司03-3901-77887490213117,9dee5133-5560-4876-a1a1-4f729285dc98,,personal,08e8db64-775b-44dd-ae98-372174929db0,2021/12/28,奈仁和寿司,奈仁和寿司,
さち,東京都北区神谷三丁目４２番１３号,,瀬田幸子,飲食店営業,新規,03-3901-2684,2021/11/18,2021/11/18,3北健生食き第647号,,,196,さち,03,03-3901-2684,,,,東京都北区神谷三丁目４２番１３号,東京都北区神谷３丁目４２番１３号,,74903,13,13117,神谷３,,2021/11/18,2021/11/18,,,,瀬田幸子,,,,,,,,,3北健生食き第647号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,さち03-3901-26847490313117,1764bf48-c008-40c9-bbc3-745af13cb477,,personal,67b9d48e-cb9f-4bc6-a6e5-2fece14ba939,2021/11/18,さち,さち,
Chacotto,東京都北区岸町一丁目５番５号,,吉田久子,飲食店営業,新規,03-3909-7249,2021/11/17,2021/11/17,3北健生食き第642号,,,196,Chacotto,03,03-3909-7249,,,,東京都北区岸町一丁目５番５号,東京都北区岸町１丁目５番５号,,74904,13,13117,岸町１,,2021/11/17,2021/11/17,,,,吉田久子,,,,,,,,,3北健生食き第642号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,Ｃｈａｃｏｔｔｏ03-3909-72497490413117,277a833a-479c-455a-ba65-91d580db363f,,personal,f294b86d-50ed-44e5-b303-47f44c202fec,2021/11/17,Ｃｈａｃｏｔｔｏ,Ｃｈａｃｏｔｔｏ,
おおつや,東京都北区十条仲原一丁目５番７号,,株式会社おおつや,飲食店営業,新規,03-3908-1235,2021/12/10,2021/12/10,3北健生食き第678号,03-3908-1235,,196,おおつや,03,03-3908-1235,,,,東京都北区十条仲原一丁目５番７号,東京都北区十条仲原１丁目５番７号,,74919,13,13117,十条仲原１,,2021/12/10,2021/12/10,,,株式会社おおつや,,03-3908-1235,,,,,,,,3北健生食き第678号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,おおつや03-3908-12357491913117,716b59c2-bb60-4e3b-9e38-d2091faef3b2,株式会社おおつや,d740b602-213b-4160-97f4-9e7692ba0694,8237365c-1871-4f91-b3eb-abd3db26183c,2021/12/10,おおつや,おおつや,株式会社おおつや
深海,東京都北区十条仲原一丁目１４番２号,,有限会社ヨコヤマ,飲食店営業,新規,03-3900-4600,2021/12/22,2021/12/22,3北健生食き第730号,03-3900-4600,,196,深海,03,03-3900-4600,,,,東京都北区十条仲原一丁目１４番２号,東京都北区十条仲原１丁目１４番２号,,74919,13,13117,十条仲原１,,2021/12/22,2021/12/22,,,有限会社ヨコヤマ,,03-3900-4600,,,,,,,,3北健生食き第730号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,深海03-3900-46007491913117,0d227a1c-444e-4ae6-99e9-805ad7f93068,有限会社ヨコヤマ,b3abf1f2-0016-4036-91cd-c1bbdd6b4fd1,7d6559c5-92c3-4af8-b744-5500704dc512,2021/12/22,深海,深海,有限会社ヨコヤマ
タコとハイボール十条銀座店,東京都北区十条仲原一丁目２４番１２号,,株式会社スタイルプラス,飲食店営業,新規,,2021/11/17,2021/11/17,3北健生食き第635号,0263-88-2839,,196,タコとハイボール十条銀座店,03,,,,,東京都北区十条仲原一丁目２４番１２号,東京都北区十条仲原１丁目２４番１２号,,74919,13,13117,十条仲原１,,2021/11/17,2021/11/17,,,株式会社スタイルプラス,,0263-88-2839,,,,,,,,3北健生食き第635号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,タコとハイボル十条銀座店7491913117,57dfb506-6e01-419d-905c-e2af9233947e,株式会社スタイルプラス,b2ca4ce1-2e51-4ffd-9f0f-7960934dc314,6c1c1fe0-4dfd-4731-b739-1e0b1d103b90,2021/11/17,タコとハイボール十条銀座店,タコとハイボル十条銀座店,株式会社スタイルプラス
とんかつ新宿さぼてん十条銀座商店街店,東京都北区十条仲原一丁目２８番１０号,,株式会社グリーンハウスフーズ,飲食店営業,新規,03-3908-3161,2021/12/1,2021/12/1,3北健生食き第690号,03-5352-2600,,196,とんかつ新宿さぼてん十条銀座商店街店,03,03-3908-3161,,,,東京都北区十条仲原一丁目２８番１０号,東京都北区十条仲原１丁目２８番１０号,,74919,13,13117,十条仲原１,,2021/12/01,2021/12/01,,,株式会社グリーンハウスフーズ,,03-5352-2600,,,,,,,,3北健生食き第690号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,とんかつ新宿さぼてん十条銀座商店街店03-3908-31617491913117,34be0529-03f9-4fe9-8748-08cb902e6dad,株式会社グリーンハウスフーズ,174d7459-2cd9-43f8-955c-1744706e51a8,ea1c8cf7-8d49-42f4-87a0-fd9b434ddd87,2021/12/01,とんかつ新宿さぼてん十条銀座商店街店,とんかつ新宿さぼてん十条銀座商店街店,株式会社グリーンハウスフーズ
まちなか酒房,東京都北区十条仲原二丁目３番８号,,加藤美智子,飲食店営業,新規,,2021/12/23,2021/12/23,3北健生食き第203号,,,196,まちなか酒房,03,,,,,東京都北区十条仲原二丁目３番８号,東京都北区十条仲原２丁目３番８号,,74920,13,13117,十条仲原２,,2021/12/23,2021/12/23,,,,加藤美智子,,,,,,,,,3北健生食き第203号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,まちなか酒房7492013117,7f36ea70-b3bf-4f26-ae91-0fed50d11ee4,,personal,fc7d7b0c-a554-41ec-9de6-ad64ed4333d5,2021/12/23,まちなか酒房,まちなか酒房,
宅食ライフ　王子・赤羽店,東京都北区十条仲原二丁目１１番４号,,上田公一,飲食店営業,新規,03-5948-9562,2021/11/1,2021/11/1,3北健生食き第604号,,,196,宅食ライフ　王子・赤羽店,03,03-5948-9562,,,,東京都北区十条仲原二丁目１１番４号,東京都北区十条仲原２丁目１１番４号,,74920,13,13117,十条仲原２,,2021/11/01,2021/11/01,,,,上田公一,,,,,,,,,3北健生食き第604号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,宅食ライフ王子赤羽店03-5948-95627492013117,98d3eb63-6a59-4500-9f3a-588824322fec,,personal,2c587e50-e754-4b27-9f50-9b08e5361a9a,2021/11/01,宅食ライフ　王子・赤羽店,宅食ライフ王子赤羽店,
扉　明　日（ピアス）,東京都北区十条仲原四丁目８番３号,,笠井和夫,飲食店営業,新規,03-5993-1522,2021/12/22,2021/12/22,3北健生食き第723号,,,196,扉　明　日（ピアス）,03,03-5993-1522,,,,東京都北区十条仲原四丁目８番３号,東京都北区十条仲原４丁目８番３号,,74922,13,13117,十条仲原４,,2021/12/22,2021/12/22,,,,笠井和夫,,,,,,,,,3北健生食き第723号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,扉明日ピアス03-5993-15227492213117,024bd7c0-14f5-4ba2-8f59-85073c434954,,personal,1ecb7b0d-bd9d-42f0-9386-f00e1970a496,2021/12/22,扉　明　日（ピアス）,扉明日ピアス,
そば処　うつ木,東京都北区豊島一丁目４番２号,シンシティー王子,宇都木友基,飲食店営業,新規,,2021/12/17,2021/12/17,3北健生食き第746号,,,196,そば処　うつ木,03,,,,,東京都北区豊島一丁目４番２号,東京都北区豊島１丁目４番２号,シンシティー王子,74939,13,13117,豊島１,,2021/12/17,2021/12/17,,,,宇都木友基,,,,,,,,,3北健生食き第746号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,そば処うつ木7493913117,69dbcb3e-b4c1-4972-a891-cbfb96b3d159,,personal,f3c83bd5-6658-4da1-b4dc-4e9576a2833c,2021/12/17,そば処　うつ木,そば処うつ木,
よし鳥,東京都北区豊島一丁目８番８号,,時田義則,飲食店営業,新規,,2021/12/2,2021/12/2,3北健生食き第689号,,,196,よし鳥,03,,,,,東京都北区豊島一丁目８番８号,東京都北区豊島１丁目８番８号,,74939,13,13117,豊島１,,2021/12/02,2021/12/02,,,,時田義則,,,,,,,,,3北健生食き第689号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,よし鳥7493913117,1fef2443-7563-4685-901d-452a2994cdef,,personal,66f1a928-9d2e-46ee-a863-224c7ad60e31,2021/12/02,よし鳥,よし鳥,
満留賀,東京都北区豊島二丁目６番５号,,宮下　剛,飲食店営業,新規,03-3919-7798,2021/12/27,2021/12/27,3北健生食き第760号,,,196,満留賀,03,03-3919-7798,,,,東京都北区豊島二丁目６番５号,東京都北区豊島２丁目６番５号,,74940,13,13117,豊島２,,2021/12/27,2021/12/27,,,,宮下　剛,,,,,,,,,3北健生食き第760号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,満留賀03-3919-77987494013117,88c3b71c-1735-4c06-9fb7-989c7e064ec0,,personal,afbc98e8-6405-43c5-aea9-54bc2138c32a,2021/12/27,満留賀,満留賀,
萬盛庵,東京都北区豊島三丁目１３番７号,,齋藤　ハツ子,飲食店営業,新規,03-3911-3710,2021/11/17,2021/11/17,3北健生食き第653号,,,196,萬盛庵,03,03-3911-3710,,,,東京都北区豊島三丁目１３番７号,東京都北区豊島３丁目１３番７号,,74941,13,13117,豊島３,,2021/11/17,2021/11/17,,,,齋藤　ハツ子,,,,,,,,,3北健生食き第653号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,萬盛庵03-3911-37107494113117,b6168c91-e384-4b72-8086-543e5f662bd8,,personal,a67dcfd9-ef01-4f6e-9018-05d2e4c71845,2021/11/17,萬盛庵,萬盛庵,
まごころ弁当 城北店,東京都北区豊島三丁目１３番８号,,フィーモ株式会社,飲食店営業,新規,03-5901-9241,2021/12/6,2021/12/6,3北健生食き第704号,03-5850-4131,,196,まごころ弁当 城北店,03,03-5901-9241,,,,東京都北区豊島三丁目１３番８号,東京都北区豊島３丁目１３番８号,,74941,13,13117,豊島３,,2021/12/06,2021/12/06,,,フィーモ株式会社,,03-5850-4131,,,,,,,,3北健生食き第704号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,まごころ弁当城北店03-5901-92417494113117,936629a1-c4da-4c4b-b2a7-d75e0eaf6180,フィーモ株式会社,d6d8878d-b3dc-4e09-a473-ad1ca9fa7bbf,1f4966e1-11b3-441b-8a02-f4d0f345cf3e,2021/12/06,まごころ弁当　城北店,まごころ弁当城北店,フィーモ株式会社
香楽福,東京都北区豊島五丁目５番６号,１２２室,ZHANG FENG JIANG,飲食店営業,新規,,2021/11/26,2021/11/26,3北健生食き第675号,,,196,香楽福,03,,,,,東京都北区豊島五丁目５番６号,東京都北区豊島５丁目５番６号,１２２室,74943,13,13117,豊島５,,2021/11/26,2021/11/26,,,,ZHANG FENG JIANG,,,,,,,,,3北健生食き第675号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,香楽福7494313117,856e26da-ddb1-4669-991c-141bcc67fcd4,,personal,54025c32-1dc3-49b8-8588-e642e2006a94,2021/11/26,香楽福,香楽福,
東京成徳学園本館食堂,東京都北区豊島八丁目２６番９号,,一般財団法人学校福祉協会,飲食店営業,新規,03-3913-6404,2021/12/23,2021/12/23,3北健生食き第733号,03-5206-5201,,196,東京成徳学園本館食堂,03,03-3913-6404,,,,東京都北区豊島八丁目２６番９号,東京都北区豊島８丁目２６番９号,,74946,13,13117,豊島８,,2021/12/23,2021/12/23,,,一般財団法人学校福祉協会,,03-5206-5201,,,,,,,,3北健生食き第733号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,東京成徳学園本館食堂03-3913-64047494613117,2ebb7796-ffca-412f-a6ae-5ef36f22d902,一般財団法人学校福祉協会,feb21fd3-c102-4a0e-a207-e7c1ee6b9ead,bda85acd-1759-4ec5-881a-b5df3dbf2369,2021/12/23,東京成徳学園本館食堂,東京成徳学園本館食堂,一般財団法人学校福祉協会
BAR　それいゆ,東京都北区中十条三丁目１３番８号,シティハウスマキ１階,八ケ代　陽子,飲食店営業,新規,,2021/12/28,2021/12/28,3北健生食き第751号,,,196,BAR　それいゆ,03,,,,,東京都北区中十条三丁目１３番８号,東京都北区中十条３丁目１３番８号,シティハウスマキ１階,74952,13,13117,中十条３,,2021/12/28,2021/12/28,,,,八ケ代　陽子,,,,,,,,,3北健生食き第751号,新規,飲食店営業,,,,196_東京都_北区保健所_食品衛生()_2021年11月-2021年12月_末日_新規、廃止,M,76,,,ＢＡＲそれいゆ7495213117,7d849d0d-e6d4-41c4-b23b-05446a859276,,personal,5ae2b822-35af-443f-9a99-443caa7f60e6,2021/12/28,ＢＡＲ　それいゆ,ＢＡＲそれいゆ,
