https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,申請者1,申請-電話番号1,開業年月日,申請年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,,営業所所在地,,,営業所電話番号,業種,営業者氏名（法人にあっては法人名）,営業者電話番号（法人のみ）,初回許可日,届出年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
Ｏｍｏｃｈｉ川崎アゼリア店,神奈川県川崎市,川崎区駅前本町２６番地２ １０２０区画,川崎区駅前本町２６番地２ ,１０２０区画,,①飲食店（軽飲食等）,有限会社ＤＥＥＤ,542-6007,2022/1/27,,2022/1/27,2110677,,142,Ｏｍｏｃｈｉ川崎アゼリア店,044,,,,,神奈川県川崎市　川崎区駅前本町２６番地２ ,神奈川県川崎市川崎区駅前本町２６番地２,１０２０区画,79916,14,14131,駅前本町,,2022/01/27,2022/01/27,,,有限会社ＤＥＥＤ,,044-542-6007,,,,,,,,2110677,,飲食店営業,軽飲食等,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,Ｏｍｏｃｈｉ川崎アゼリア店7991614131,04d1d3ac-a2e4-4322-af1a-0681f075f877,有限会社ＤＥＥＤ,8ba69598-339e-4594-b95f-964423b3f729,91c7b522-6327-4dad-8a55-03ce262fa9c1,2022/01/27,Ｏｍｏｃｈｉ川崎アゼリア店,Ｏｍｏｃｈｉ川崎アゼリア店,有限会社ＤＥＥＤ
あけみ亭,神奈川県川崎市,川崎区大島１丁目９－１３ ,川崎区大島１丁目９－１３,,222-1130,①飲食店（一般食堂）,鈴木　明美,,2022/1/19,,2022/1/19,2110659,,142,あけみ亭,044,044-222-1130,,,,神奈川県川崎市　川崎区大島１丁目９－１３,神奈川県川崎市川崎区大島１丁目９－１３,,79922,14,14131,大島１,,2022/01/19,2022/01/19,,,,鈴木　明美,,,,,,,,,2110659,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,あけみ亭044-222-11307992214131,7e3c2d25-720c-4d34-9383-ddc690c98862,,personal,8153efc5-02c4-476e-8c1d-34c89dfc29bf,2022/01/19,あけみ亭,あけみ亭,
小料理　さが,神奈川県川崎市,川崎区大島２丁目５－１ ,川崎区大島２丁目５－１,,211-5535,①飲食店（大衆酒場）,吉沢　ミネ子,,2022/1/19,,2022/1/19,2110665,,142,小料理　さが,044,044-211-5535,,,,神奈川県川崎市　川崎区大島２丁目５－１,神奈川県川崎市川崎区大島２丁目５－１,,79923,14,14131,大島２,,2022/01/19,2022/01/19,,,,吉沢　ミネ子,,,,,,,,,2110665,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,小料理さが044-211-55357992314131,cccbcbb0-7a1a-4563-acef-24490234f726,,personal,9a276bd5-95b6-4dbf-b07e-c8d8b05ea384,2022/01/19,小料理　さが,小料理さが,
居酒屋幸ちゃん,神奈川県川崎市,川崎区大島３丁目１７番１１号 ,川崎区大島３丁目１７番１１号, ,,①飲食店（大衆酒場）,徐　花淑,,2022/1/27,,2022/1/27,2110703,,142,居酒屋幸ちゃん,044,,,,,神奈川県川崎市　川崎区大島３丁目１７番１１号,神奈川県川崎市川崎区大島３丁目１７番１１号, ,79924,14,14131,大島３,,2022/01/27,2022/01/27,,,,徐　花淑,,,,,,,,,2110703,,飲食店営業,（大衆酒場）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,居酒屋幸ちゃん7992414131,77b20c5b-9c35-47ad-b341-e96c567aaa21,,personal,ba2ece93-5040-4498-8175-dac78df8e96e,2022/01/27,居酒屋幸ちゃん,居酒屋幸ちゃん,
スナック　恵,神奈川県川崎市,川崎区大島５丁目１２－４大島ビル１Ｆ ,川崎区大島５丁目１２－４,大島ビル１Ｆ ,245-5270,①飲食店（一般食堂）,平井　ケイ子,,2022/1/18,,2022/1/18,2110658,,142,スナック　恵,044,044-245-5270,,,,神奈川県川崎市　川崎区大島５丁目１２－４,神奈川県川崎市川崎区大島５丁目１２－４,大島ビル１Ｆ ,79926,14,14131,大島５,,2022/01/18,2022/01/18,,,,平井　ケイ子,,,,,,,,,2110658,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,スナック恵044-245-52707992614131,3fe3eb4a-3acd-4f03-8d3f-4de0250a74f9,,personal,151e6a87-4b50-437f-a0c2-bb2c4088feba,2022/01/18,スナック　恵,スナック恵,
ＡＲＩＡ．Ｃ,神奈川県川崎市,川崎区小川町１－１８ラチッタデッラＣ－１０１ ,川崎区小川町１－１８,ラチッタデッラＣ－１０１,221-7729,①飲食店（一般食堂）,株式会社関門海,06-6578-0029,2022/1/20,,2022/1/20,2110676,,142,ＡＲＩＡ．Ｃ,044,044-221-7729,,,,神奈川県川崎市　川崎区小川町１－１８,神奈川県川崎市川崎区小川町１－１８,ラチッタデッラＣ－１０１,79928,14,14131,小川町,,2022/01/20,2022/01/20,,,株式会社関門海,,06-6578-0029,,,,,,,,2110676,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＡＲＩＡＣ044-221-77297992814131,a1d74b71-69ef-48b8-9865-ccb3b514b7ae,株式会社関門海,3fc4d5ba-526a-44fa-bcbe-76789d89befe,a7816d28-29b1-4667-9f12-849298ef4e07,2022/01/20,ＡＲＩＡ．Ｃ,ＡＲＩＡＣ,株式会社関門海
炭火焼鳥　西郷,神奈川県川崎市,川崎区小川町４番地１ ラチッタデラマッジョーレ棟２０８　３Ｆ,川崎区小川町４番地１,ラチッタデラマッジョーレ棟２０８ ３Ｆ,,①飲食店（一般食堂）,株式会社Ｎｅｘｔ　Ｉｎｎｏｖａｔｉｏｎ,,2022/1/20,,2022/1/20,2110648,,142,炭火焼鳥　西郷,044,,,,,神奈川県川崎市　川崎区小川町４番地１,神奈川県川崎市川崎区小川町４番地１,ラチッタデラマッジョーレ棟２０８ ３Ｆ,79928,14,14131,小川町,,2022/01/20,2022/01/20,,,株式会社Ｎｅｘｔ　Ｉｎｎｏｖａｔｉｏｎ,,,,,,,,,,2110648,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,炭火焼鳥西郷7992814131,253b5909-4375-4c90-804b-eab388586daf,株式会社Ｎｅｘｔ　Ｉｎｎｏｖａｔｉｏｎ,8ce87273-d7bc-4c84-9b01-ce56a23202de,323472ae-ca47-4aa8-a182-a35db6ed5ad5,2022/01/20,炭火焼鳥　西郷,炭火焼鳥西郷,株式会社Ｎｅｘｔ　Ｉｎｎｏｖａｔｉｏｎ
中国料理　三鶴,神奈川県川崎市,川崎区小川町１６番地１２ ,川崎区小川町１６番地１２,,233-1798,①飲食店（中華料理店）,神﨑　耕樹,,2022/1/28,,2022/1/28,2110709,,142,中国料理　三鶴,044,044-233-1798,,,,神奈川県川崎市　川崎区小川町１６番地１２,神奈川県川崎市川崎区小川町１６番地１２,,79928,14,14131,小川町,,2022/01/28,2022/01/28,,,,神﨑　耕樹,,,,,,,,,2110709,,飲食店営業,（中華料理店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,中国料理三鶴044-233-17987992814131,cf83caba-93ae-4586-b3e4-3538740d8fd8,,personal,48319b0a-24fd-471d-8235-ea73cb891a00,2022/01/28,中国料理　三鶴,中国料理三鶴,
パブスナック　メロディーハウス,神奈川県川崎市,川崎区貝塚１丁目１２－１７ ,川崎区貝塚１丁目１２－１７,,222-6002,①飲食店（一般食堂）,佐久間　久子,,2022/1/27,,2022/1/27,2110671,,142,パブスナック　メロディーハウス,044,044-222-6002,,,,神奈川県川崎市　川崎区貝塚１丁目１２－１７,神奈川県川崎市川崎区貝塚１丁目１２－１７,,79938,14,14131,貝塚１,,2022/01/27,2022/01/27,,,,佐久間　久子,,,,,,,,,2110671,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,パブスナックメロディハウス044-222-60027993814131,f673f158-0956-4dc1-ba54-83c1640ffd88,,personal,9f92ab49-b008-494f-bc48-26236e302c02,2022/01/27,パブスナック　メロディーハウス,パブスナックメロディハウス,
セブン－イレブン川崎貝塚２丁目店,神奈川県川崎市,川崎区貝塚２丁目１－１ ,川崎区貝塚２丁目１－１,,244-6322,①飲食店（簡易な飲食店）,加畑　智之,,2022/1/27,,2022/1/27,2110692,,142,セブン－イレブン川崎貝塚２丁目店,044,044-244-6322,,,,神奈川県川崎市　川崎区貝塚２丁目１－１,神奈川県川崎市川崎区貝塚２丁目１－１,,79939,14,14131,貝塚２,,2022/01/27,2022/01/27,,,,加畑　智之,,,,,,,,,2110692,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,セブンイレブン川崎貝塚２丁目店044-244-63227993914131,bde416a8-2268-4d8c-9ef8-abf8b4e8c668,,personal,8daa8b1c-8e7c-4570-8150-9f53819e8d07,2022/01/27,セブンイレブン川崎貝塚２丁目店,セブンイレブン川崎貝塚２丁目店,
ココファン川崎京町,神奈川県川崎市,川崎区京町２丁目２２番５号 ,川崎区京町２丁目２２番５号, ,,①飲食店（集団給食施設）,グリーンフード株式会社,048-711-5765,2022/1/27,,2022/1/27,2110669,,142,ココファン川崎京町,044,,,,,神奈川県川崎市　川崎区京町２丁目２２番５号,神奈川県川崎市川崎区京町２丁目２２番５号, ,79945,14,14131,京町２,,2022/01/27,2022/01/27,,,グリーンフード株式会社,,048-711-5765,,,,,,,,2110669,,飲食店営業,（集団給食施設）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ココファン川崎京町7994514131,ae9a507a-31da-48ab-9b26-e32ece1a0932,グリーンフード株式会社,11978c92-32ac-49e6-ae19-666310c01cf9,5562b32c-9244-437e-9979-6d19905e60b2,2022/01/27,ココファン川崎京町,ココファン川崎京町,グリーンフード株式会社
ロイヤルホスト川崎店,神奈川県川崎市,川崎区新川通２－５ ,川崎区新川通２－５,,211-4815,①飲食店（一般食堂）,ロイヤルフードサービス株式会社,03-5707-7138,2022/1/27,,2022/1/27,2110657,,142,ロイヤルホスト川崎店,044,044-211-4815,,,,神奈川県川崎市　川崎区新川通２－５,神奈川県川崎市川崎区新川通２－５,,79964,14,14131,新川通,,2022/01/27,2022/01/27,,,ロイヤルフードサービス株式会社,,03-5707-7138,,,,,,,,2110657,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ロイヤルホスト川崎店044-211-48157996414131,15deba4e-ff20-4800-b036-adf89b86be82,ロイヤルフードサービス株式会社,930760ed-65f4-4d2a-8ddc-55c73bcea15a,0cd3adb0-28b3-4e6c-8ebc-50180084c7ce,2022/01/27,ロイヤルホスト川崎店,ロイヤルホスト川崎店,ロイヤルフードサービス株式会社
スナック　ルネサンス,神奈川県川崎市,川崎区中島３丁目１９－４ ,川崎区中島３丁目１９－４,,244-0996,①飲食店（一般食堂）,伊藤　美津子,,2022/1/24,,2022/1/24,2110656,,142,スナック　ルネサンス,044,044-244-0996,,,,神奈川県川崎市　川崎区中島３丁目１９－４,神奈川県川崎市川崎区中島３丁目１９－４,,79988,14,14131,中島３,,2022/01/24,2022/01/24,,,,伊藤　美津子,,,,,,,,,2110656,,飲食店営業,（一般食堂）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,スナックルネサンス044-244-09967998814131,f3773775-6557-4978-8b7f-65a89c44dd1d,,personal,fb0785ed-6b25-4e17-8089-c42d781ad70a,2022/01/24,スナック　ルネサンス,スナックルネサンス,
セブン－イレブン川崎駅前南店,神奈川県川崎市,川崎区日進町２８－３ ,川崎区日進町２８－３,,222-8260,①飲食店（簡易な飲食店）,株式会社京急ストア,045-305-3149,2022/1/27,,2022/1/27,2110688,,142,セブン－イレブン川崎駅前南店,044,044-222-8260,,,,神奈川県川崎市　川崎区日進町２８－３,神奈川県川崎市川崎区日進町２８－３,,79992,14,14131,日進町,,2022/01/27,2022/01/27,,,株式会社京急ストア,,045-305-3149,,,,,,,,2110688,,飲食店営業,（簡易な飲食店）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,セブンイレブン川崎駅前南店044-222-82607999214131,52a99adc-c2bb-401b-9081-069388f421fc,株式会社京急ストア,8964cb7d-83ba-4ff1-8ed3-5fcc2cc48876,25f48f2a-f77b-475d-90cd-b5c2bc1ac892,2022/01/27,セブンイレブン川崎駅前南店,セブンイレブン川崎駅前南店,株式会社京急ストア
２πあーる,神奈川県川崎市,川崎区東田町３番地３ コーセンビル２階,川崎区東田町３番地３,コーセンビル２階,221-5545,①飲食店（バー）,株式会社ＡＨＯ,03-6441-3443,2022/1/19,,2022/1/19,2110639,,142,２πあーる,044,044-221-5545,,,,神奈川県川崎市　川崎区東田町３番地３,神奈川県川崎市川崎区東田町３番地３,コーセンビル２階,79998,14,14131,東田町,,2022/01/19,2022/01/19,,,株式会社ＡＨＯ,,03-6441-3443,,,,,,,,2110639,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,２πある044-221-55457999814131,8d5e1b4f-6435-463d-8629-0ecaff3ae704,株式会社ＡＨＯ,f987ac69-d93f-485d-b383-ebc1a798bdef,c66c6a75-1e7d-4ecf-b0d3-9d44ece63441,2022/01/19,２πあーる,２πある,株式会社ＡＨＯ
Ｇｉｒｌｓ　ｂａｒ　Ｐｌａｔｚ,神奈川県川崎市,川崎区東田町３番地５ 希望ビルＢ１,川崎区東田町３番地５,希望ビルＢ１,,①飲食店（バー）,今野　貴久,,2022/1/24,,2022/1/24,2110625,,142,Ｇｉｒｌｓ　ｂａｒ　Ｐｌａｔｚ,044,,,,,神奈川県川崎市　川崎区東田町３番地５,神奈川県川崎市川崎区東田町３番地５,希望ビルＢ１,79998,14,14131,東田町,,2022/01/24,2022/01/24,,,,今野　貴久,,,,,,,,,2110625,,飲食店営業,（バー）,,,142_神奈川県_川崎市保健所_食品衛生(許可-届出)_2022年01月_末日,M,76,,,ＧｉｒｌｓｂａｒＰｌａｔｚ7999814131,f35eaf38-e77a-4bf9-8418-e8449a189a79,,personal,cff5c517-4b4b-4d07-ab69-fe96abcb073d,2022/01/24,Ｇｉｒｌｓ　ｂａｒ　Ｐｌａｔｚ,ＧｉｒｌｓｂａｒＰｌａｔｚ,
