https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,業種,申請者1,開業年月日,許可年月日,確認番号,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
店舗名（屋号）,施設の住所（所在地）,,,業種,開設者情報,初回の許可年月日,最新の許可年月日,許可番号,区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
中国四川料理岷江飯店,愛知県一宮市今伊勢町馬寄字舟入２５－２　,愛知県一宮市今伊勢町馬寄字舟入２５－２,,飲食店営業,野田　雅彦,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-363号,許可,,249,中国四川料理岷江飯店,0586,,,,,愛知県一宮市今伊勢町馬寄字舟入２５－２,愛知県一宮市今伊勢町馬寄字舟入２５－２,,118571,23,23203,今伊勢町馬寄,,2021/12/08,2021/12/08,,,,野田　雅彦,,,,,,,,,3一宮保衛第7001-363号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,中国四川料理岷江飯店11857123203,44892243-6652-40e5-81db-e619e314b1af,,personal,4da1616d-f283-44c6-ab28-5f095825d264,2021/12/08,中国四川料理岷江飯店,中国四川料理岷江飯店,
あげずしのみせ　武や,愛知県一宮市木曽川町門間字西郷５０４－１　,愛知県一宮市木曽川町門間字西郷５０４－１,,飲食店営業,武野　きみ子,R 3.12. 9,R 3.12. 9,3一宮保衛第7001-365号,許可,,249,あげずしのみせ　武や,0586,,,,,愛知県一宮市木曽川町門間字西郷５０４－１,愛知県一宮市木曽川町門間字西郷５０４－１,,118932,23,23203,木曽川町門間,,2021/12/09,2021/12/09,,,,武野　きみ子,,,,,,,,,3一宮保衛第7001-365号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,あげずしのみせ武や11893223203,2d28340c-130e-45f5-aa5f-cc0c57417188,,personal,d962abfb-b861-4a34-90d9-a0458a4f848c,2021/12/09,あげずしのみせ　武や,あげずしのみせ武や,
珈琲　リーブル,愛知県一宮市丹羽字橋向６９７－１　,愛知県一宮市丹羽字橋向６９７－１,,飲食店営業,加藤　逸郎,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-366号,許可,,249,珈琲　リーブル,0586,,,,,愛知県一宮市丹羽字橋向６９７－１,愛知県一宮市丹羽字橋向６９７－１,,118765,23,23203,丹羽,,2021/12/07,2021/12/07,,,,加藤　逸郎,,,,,,,,,3一宮保衛第7001-366号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,珈琲リブル11876523203,58db04d2-b741-43ec-8b59-825546da54ca,,personal,9b4df392-6a88-4050-8dca-e5f08fe3619f,2021/12/07,珈琲　リーブル,珈琲リブル,
カレーのチャンピオン　一宮開明店,愛知県一宮市奥町字田畑２６－２　カネスエ開明店駐車場内,愛知県一宮市奥町字田畑２６－２,カネスエ開明店駐車場内,飲食店営業,山内　政幸,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-367号,許可,,249,カレーのチャンピオン　一宮開明店,0586,,,,,愛知県一宮市奥町字田畑２６－２,愛知県一宮市奥町字田畑２６－２,カネスエ開明店駐車場内,118596,23,23203,奥町,,2021/12/08,2021/12/08,,,,山内　政幸,,,,,,,,,3一宮保衛第7001-367号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,カレのチャンピオン一宮開明店11859623203,da9bff13-1491-4d6f-a7a7-961c3f9f0e82,,personal,45229fc1-d1d1-4dd1-a9a7-cb38fa1c9526,2021/12/08,カレーのチャンピオン　一宮開明店,カレのチャンピオン一宮開明店,
ローソン　千秋店,愛知県一宮市千秋町佐野工高前４０　,愛知県一宮市千秋町佐野工高前４０,,飲食店営業,村瀬　寛昭,R 3.12.10,R 3.12.10,3一宮保衛第7001-369号,許可,,249,ローソン　千秋店,0586,,,,,愛知県一宮市千秋町佐野工高前４０,愛知県一宮市千秋町佐野工高前４０,,118728,23,23203,千秋町佐野,,2021/12/10,2021/12/10,,,,村瀬　寛昭,,,,,,,,,3一宮保衛第7001-369号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ロソン千秋店11872823203,d0c68788-87cd-4af0-8e35-6a65dccf9fc5,,personal,605e551a-653b-4d08-b7cf-26038d42504f,2021/12/10,ローソン　千秋店,ロソン千秋店,
研修保育園内富士産業（株）営業所,愛知県一宮市春明字西柳原４７　,愛知県一宮市春明字西柳原４７,,飲食店営業,富士産業株式会社,R 3.12.20,R 3.12.20,3一宮保衛第7001-371号,許可,,249,研修保育園内富士産業（株）営業所,0586,,,,,愛知県一宮市春明字西柳原４７,愛知県一宮市春明字西柳原４７,,118664,23,23203,春明,,2021/12/20,2021/12/20,,,富士産業株式会社,,,,,,,,,,3一宮保衛第7001-371号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,研修保育園内富士産業株式会社営業所11866423203,f19660f3-e968-40cd-afd1-90fae95f793a,富士産業株式会社,8f950bb3-ae93-40ec-8179-5ed5585a2533,5e2c4d47-0f2c-4cfb-ab8f-5527e16928be,2021/12/20,研修保育園内富士産業株式会社営業所,研修保育園内富士産業株式会社営業所,富士産業株式会社
ファミリーマート　一宮市民病院前店,愛知県一宮市文京２丁目４－２２　,愛知県一宮市文京２丁目４－２２,,飲食店営業,平野　一平,R 3.12. 2,R 3.12. 2,3一宮保衛第7001-372号,許可,,249,ファミリーマート　一宮市民病院前店,0586,,,,,愛知県一宮市文京２丁目４－２２,愛知県一宮市文京２丁目４－２２,,118815,23,23203,文京２,,2021/12/02,2021/12/02,,,,平野　一平,,,,,,,,,3一宮保衛第7001-372号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ファミリマト一宮市民病院前店11881523203,6f783fdf-e235-4d5c-b029-2ee732f0eb78,,personal,10b3ad42-7a61-4691-8274-52f79857661c,2021/12/02,ファミリーマート　一宮市民病院前店,ファミリマト一宮市民病院前店,
日清医療食品（株）名古屋支店　一宮市民病院内事業所,愛知県一宮市文京２丁目２－２２　,愛知県一宮市文京２丁目２－２２,,飲食店営業,日清医療食品株式会社,R 3.12.22,R 3.12.22,3一宮保衛第7001-373号,許可,,249,日清医療食品（株）名古屋支店　一宮市民病院内事業所,0586,,,,,愛知県一宮市文京２丁目２－２２,愛知県一宮市文京２丁目２－２２,,118815,23,23203,文京２,,2021/12/22,2021/12/22,,,日清医療食品株式会社,,,,,,,,,,3一宮保衛第7001-373号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,日清医療食品株式会社名古屋支店一宮市民病院内事業所11881523203,e52d58b7-74fa-452b-9d80-3aa0f70d36e7,日清医療食品株式会社,9a470c5e-7aed-45e8-8aad-1007a058591c,547c240c-f9b2-4099-85b1-261a980a56ae,2021/12/22,日清医療食品株式会社名古屋支店　一宮市民病院内事業所,日清医療食品株式会社名古屋支店一宮市民病院内事業所,日清医療食品株式会社
日清医療食品(株)　今伊勢南保育園内事業所,愛知県一宮市今伊勢町本神戸字立切１－６　,愛知県一宮市今伊勢町本神戸字立切１－６,,飲食店営業,日清医療食品株式会社,R 3.12.22,R 3.12.22,3一宮保衛第7001-374号,許可,,249,日清医療食品(株)　今伊勢南保育園内事業所,0586,,,,,愛知県一宮市今伊勢町本神戸字立切１－６,愛知県一宮市今伊勢町本神戸字立切１－６,,118573,23,23203,今伊勢町本神戸,,2021/12/22,2021/12/22,,,日清医療食品株式会社,,,,,,,,,,3一宮保衛第7001-374号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,日清医療食品株式会社今伊勢南保育園内事業所11857323203,6d3c2370-9dd6-4529-8cd3-853da4ffad27,日清医療食品株式会社,9a470c5e-7aed-45e8-8aad-1007a058591c,af0c1992-c9d9-4f66-baf3-0f10b44126b6,2021/12/22,日清医療食品株式会社今伊勢南保育園内事業所,日清医療食品株式会社今伊勢南保育園内事業所,日清医療食品株式会社
スナック　モア,愛知県一宮市花池２丁目２－１　,愛知県一宮市花池２丁目２－１,,飲食店営業,長屋　咲子,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-376号,許可,,249,スナック　モア,0586,,,,,愛知県一宮市花池２丁目２－１,愛知県一宮市花池２丁目２－１,,118890,23,23203,花池２,,2021/12/07,2021/12/07,,,,長屋　咲子,,,,,,,,,3一宮保衛第7001-376号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,スナックモア11889023203,a9dfab6c-8568-49e5-b17f-b4e3e841349b,,personal,27bfef87-0cb5-4ffb-91cc-e80ce78fff82,2021/12/07,スナック　モア,スナックモア,
スナック「美和」,愛知県一宮市開明字南井保里３５－１　,愛知県一宮市開明字南井保里３５－１,,飲食店営業,玉腰　美和子,R 3.12.13,R 3.12.13,3一宮保衛第7001-377号,許可,,249,スナック「美和」,0586,,,,,愛知県一宮市開明字南井保里３５－１,愛知県一宮市開明字南井保里３５－１,,118924,23,23203,開明,,2021/12/13,2021/12/13,,,,玉腰　美和子,,,,,,,,,3一宮保衛第7001-377号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,スナック美和11892423203,331673be-f815-47e1-9516-8f57588b2a0d,,personal,99440427-befe-489b-b2b4-a86517577f9e,2021/12/13,スナック「美和」,スナック美和,
一基庵,愛知県一宮市宮地１丁目１－９　,愛知県一宮市宮地１丁目１－９,,飲食店営業,平手　基晴,R 3.12. 7,R 3.12. 7,3一宮保衛第7001-378号,許可,,249,一基庵,0586,,,,,愛知県一宮市宮地１丁目１－９,愛知県一宮市宮地１丁目１－９,,118893,23,23203,宮地１,,2021/12/07,2021/12/07,,,,平手　基晴,,,,,,,,,3一宮保衛第7001-378号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,一基庵11889323203,2fc9c668-99bd-4464-b396-f4f1255bcdb2,,personal,adc542c0-1eec-4bb9-bec8-c00310131d38,2021/12/07,一基庵,一基庵,
びすとろ亭,愛知県一宮市開明字名古羅６１－１　,愛知県一宮市開明字名古羅６１－１,,飲食店営業,今井　晃,R 3.12.13,R 3.12.13,3一宮保衛第7001-379号,許可,,249,びすとろ亭,0586,,,,,愛知県一宮市開明字名古羅６１－１,愛知県一宮市開明字名古羅６１－１,,118924,23,23203,開明,,2021/12/13,2021/12/13,,,,今井　晃,,,,,,,,,3一宮保衛第7001-379号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,びすとろ亭11892423203,f04b8b94-c6a0-4932-b5d8-0ced2d2391eb,,personal,327e21ae-d5d6-45c1-8d28-faf661da4029,2021/12/13,びすとろ亭,びすとろ亭,
ＨＯＴＥＬ　ＬＵＸＥ　尾西インター店,愛知県一宮市開明字西石亀１３　,愛知県一宮市開明字西石亀１３,,飲食店営業,有限会社　ホテルパリー,R 3.12.13,R 3.12.13,3一宮保衛第7001-380号,許可,,249,ＨＯＴＥＬ　ＬＵＸＥ　尾西インター店,0586,,,,,愛知県一宮市開明字西石亀１３,愛知県一宮市開明字西石亀１３,,118924,23,23203,開明,,2021/12/13,2021/12/13,,,有限会社　ホテルパリー,,,,,,,,,,3一宮保衛第7001-380号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ＨＯＴＥＬＬＵＸＥ尾西インタ店11892423203,d631c532-feb0-4279-a40f-ff200bced018,有限会社ホテルパリー,2b1bd6bc-65b2-4827-994f-aea0647ee1eb,60515305-006b-4b63-a4cc-fe88b137fe75,2021/12/13,ＨＯＴＥＬ　ＬＵＸＥ　尾西インター店,ＨＯＴＥＬＬＵＸＥ尾西インタ店,有限会社ホテルパリー
居酒屋　食事処　１２３番地,愛知県一宮市小信中島字北東山６４－２　,愛知県一宮市小信中島字北東山６４－２,,飲食店営業,小澤　勝三,R 3.12.13,R 3.12.13,3一宮保衛第7001-381号,許可,,249,居酒屋　食事処　１２３番地,0586,,,,,愛知県一宮市小信中島字北東山６４－２,愛知県一宮市小信中島字北東山６４－２,,118939,23,23203,小信中島,,2021/12/13,2021/12/13,,,,小澤　勝三,,,,,,,,,3一宮保衛第7001-381号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,居酒屋食事処１２３番地11893923203,3e8eb627-7607-4378-92f6-90403c0e5db5,,personal,1bf08d91-0817-4aff-a749-e466145c087e,2021/12/13,居酒屋　食事処　１２３番地,居酒屋食事処１２３番地,
メンバーズいなほ,愛知県一宮市昭和２丁目１１－４　宮弥寿ハイツＢ,愛知県一宮市昭和２丁目１１－４,宮弥寿ハイツＢ,飲食店営業,稲穂　ふさ代,R 3.12.15,R 3.12.15,3一宮保衛第7001-383号,許可,,249,メンバーズいなほ,0586,,,,,愛知県一宮市昭和２丁目１１－４,愛知県一宮市昭和２丁目１１－４,宮弥寿ハイツＢ,118666,23,23203,昭和２,,2021/12/15,2021/12/15,,,,稲穂　ふさ代,,,,,,,,,3一宮保衛第7001-383号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,メンバズいなほ11866623203,e8290ea2-bbe9-435d-862c-a4a3e6f79e3e,,personal,864fa781-8472-4c85-94ba-7a3f3ed96a5c,2021/12/15,メンバーズいなほ,メンバズいなほ,
ザイル２,愛知県一宮市小信中島字御社来４２　,愛知県一宮市小信中島字御社来４２,,飲食店営業,小川　雅夫,R 3.12.13,R 3.12.13,3一宮保衛第7001-384号,許可,,249,ザイル２,0586,,,,,愛知県一宮市小信中島字御社来４２,愛知県一宮市小信中島字御社来４２,,118939,23,23203,小信中島,,2021/12/13,2021/12/13,,,,小川　雅夫,,,,,,,,,3一宮保衛第7001-384号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,ザイル２11893923203,3f8dbde6-2dd6-44f2-a063-c604647f43e9,,personal,176f9698-82c5-40ae-84e6-dd250383081a,2021/12/13,ザイル２,ザイル２,
スナック綾,愛知県一宮市末広３丁目１－４　,愛知県一宮市末広３丁目１－４,,飲食店営業,森　千里,R 3.12. 8,R 3.12. 8,3一宮保衛第7001-385号,許可,,249,スナック綾,0586,,,,,愛知県一宮市末広３丁目１－４,愛知県一宮市末広３丁目１－４,,118692,23,23203,末広３,,2021/12/08,2021/12/08,,,,森　千里,,,,,,,,,3一宮保衛第7001-385号,許可,飲食店営業,,,,249_愛知県_一宮市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規、変更、廃止,M,76,,,スナック綾11869223203,0078f48f-dab1-4af5-9679-f7c9a2f0a9ec,,personal,77be5d98-90fc-4bbf-8016-dbd3d6d2f7a5,2021/12/08,スナック綾,スナック綾,
