https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2313,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,,業種,業態,施設-住所1,施設-マンション名,,,施設-電話番号1,申請者1,,確認番号,,,,,,,,,申請年月日,申請者4,申請者2,申請者3,申請-住所1,申請-マンション名,申請-電話番号1,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131130,2100302363,東京都,渋谷区,ＴＨＩＣＫ,,その他の食料・飲料販売業,,東京都渋谷区渋谷2-16-8,ＶＥＩＬ　ＳＨＩＢＵＹＡ　１～３階,,,080-3128-3376,カカワトル株式会社,,3渋保生食届第2363号,,,,,,,,,2022/1/21,,代表取締役,野田　臣吾,東京都世田谷区玉川田園調布二丁目１３番１号,,080-3128-3376,,,192,ＴＨＩＣＫ,03,080-3128-3376,,,,東京都渋谷区渋谷2-16-8,東京都渋谷区渋谷２－１６－８,ＶＥＩＬ　ＳＨＩＢＵＹＡ　１～３階,74494,13,13113,渋谷２,2022/01/21,,,,,カカワトル株式会社, 代表取締役 野田　臣吾,080-3128-3376,東京都世田谷区玉川田園調布二丁目１３番１号,東京都世田谷区玉川田園調布２丁目１３番１号,,74379,東京都,世田谷区,玉川田園調布２,3渋保生食届第2363号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,ＴＨＩＣＫ080-3128-33767449413113,cffaaacd-7768-496f-bafe-7868d7e68f67,カカワトル株式会社74379,cf8f6812-cbd8-471f-91b4-214eb6f60c3a,ae7c61ce-68f6-47f6-9c7a-89f1d8a0852d,2022/01/21,ＴＨＩＣＫ,ＴＨＩＣＫ,カカワトル株式会社
131130,2100302365,東京都,渋谷区,オフィスグリコ冷凍冷蔵庫１６８４８１,,その他の食料・飲料販売業,,東京都渋谷区神宮前5-7-20,神宮前太田ビル　６Ｆ,,,050-1742-6451,グリコチャネルクリエイト株式会社,,3渋保生食届第2365号,,,,,,,,,2022/1/21,,,西村浩一,大阪府大阪市西淀川区歌島４丁目６－５,,050-1744-1649,,,192,オフィスグリコ冷凍冷蔵庫１６８４８１,03,050-1742-6451,,,,東京都渋谷区神宮前5-7-20,東京都渋谷区神宮前５－７－２０,神宮前太田ビル　６Ｆ,74504,13,13113,神宮前５,2022/01/21,,,,,グリコチャネルクリエイト株式会社,  西村浩一,050-1744-1649,大阪府大阪市西淀川区歌島４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,3渋保生食届第2365号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,オフィスグリコ冷凍冷蔵庫１６８４８１050-1742-64517450413113,2563b3ce-2b08-429a-8690-8437f2f7f5eb,グリコチャネルクリエイト株式会社154669,db1fe5a6-41df-4de5-8e90-c9fc0822a557,5b9f2f83-b6c4-44c3-80f2-c0a928fc5326,2022/01/21,オフィスグリコ冷凍冷蔵庫１６８４８１,オフィスグリコ冷凍冷蔵庫１６８４８１,グリコチャネルクリエイト株式会社
131130,2100302362,東京都,渋谷区,ＲＡＹＡＲＤ　ＭＩＹＡＳＨＩＴＡ　ＰＡＲＫ／Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ,,その他の食料・飲料販売業,,東京都渋谷区神宮前6-20-10,ＭＩＹＡＳＨＩＴＡ　ＰＡＲＫ　Ｓｏｕｔｈ　２階Ｓ３０１区画Ｂ,,,,Ｔｈｅ　Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ　Ｊａｐａｎ株式会社,,3渋保生食届第2362号,,,,,,,,,2022/1/21,,代表取締役,池田　めぐみ,神奈川県鎌倉市長谷二丁目４番２号,,080-5520-0576,,,192,ＲＡＹＡＲＤ　ＭＩＹＡＳＨＩＴＡ　ＰＡＲＫ／Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ,03,,,,,東京都渋谷区神宮前6-20-10,東京都渋谷区神宮前６－２０－１０,ＭＩＹＡＳＨＩＴＡ　ＰＡＲＫ　Ｓｏｕｔｈ　２階Ｓ３０１区画Ｂ,74505,13,13113,神宮前６,2022/01/21,,,,,Ｔｈｅ　Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ　Ｊａｐａｎ株式会社, 代表取締役 池田　めぐみ,080-5520-0576,神奈川県鎌倉市長谷二丁目４番２号,神奈川県鎌倉市長谷２丁目４番２号,,81581,神奈川県,鎌倉市,長谷２,3渋保生食届第2362号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,ＲＡＹＡＲＤＭＩＹＡＳＨＩＴＡＰＡＲＫＳｕｎｒｉｓｅＳｈａｃｋ7450513113,078c2c0e-3ae2-4a9f-92ba-3c33fe09e40f,Ｔｈｅ　Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ　Ｊａｐａｎ株式会社81581,512c14d3-a807-434f-a21e-713a82589a03,b1c13a03-fb28-490a-a8ce-fb1c8f3c5bcc,2022/01/21,ＲＡＹＡＲＤ　ＭＩＹＡＳＨＩＴＡ　ＰＡＲＫ／Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ,ＲＡＹＡＲＤＭＩＹＡＳＨＩＴＡＰＡＲＫＳｕｎｒｉｓｅＳｈａｃｋ,Ｔｈｅ　Ｓｕｎｒｉｓｅ　Ｓｈａｃｋ　Ｊａｐａｎ株式会社
131130,2100302368,東京都,渋谷区,オフィスグリコ冷凍冷蔵庫２８３０１６,,その他の食料・飲料販売業,,東京都渋谷区神南1-16-8,パークウェースクエア＇１　４階,,,050-1742-6451,グリコチャネルクリエイト株式会社,,3渋保生食届第2368号,,,,,,,,,2022/1/21,,,西村浩一,大阪府大阪市西淀川区歌島４丁目６－５,,050-1744-1649,,,192,オフィスグリコ冷凍冷蔵庫２８３０１６,03,050-1742-6451,,,,東京都渋谷区神南1-16-8,東京都渋谷区神南１－１６－８,パークウェースクエア＇１　４階,74506,13,13113,神南１,2022/01/21,,,,,グリコチャネルクリエイト株式会社,  西村浩一,050-1744-1649,大阪府大阪市西淀川区歌島４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,3渋保生食届第2368号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,オフィスグリコ冷凍冷蔵庫２８３０１６050-1742-64517450613113,12c2cd06-1ce8-4f5a-9eaa-2a81e0795f4b,グリコチャネルクリエイト株式会社154669,db1fe5a6-41df-4de5-8e90-c9fc0822a557,3c670b67-cca9-41f3-b90d-6bac399d179a,2022/01/21,オフィスグリコ冷凍冷蔵庫２８３０１６,オフィスグリコ冷凍冷蔵庫２８３０１６,グリコチャネルクリエイト株式会社
131130,2100302366,東京都,渋谷区,オフィスグリコ冷凍冷蔵庫２５４９２７,,その他の食料・飲料販売業,,東京都渋谷区千駄ヶ谷4-27-5,倖榮ビル　６Ｆ,,,050-1742-6451,グリコチャネルクリエイト株式会社,,3渋保生食届第2366号,,,,,,,,,2022/1/21,,,西村浩一,大阪府大阪市西淀川区歌島４丁目６－５,,050-1744-1649,,,192,オフィスグリコ冷凍冷蔵庫２５４９２７,03,050-1742-6451,,,,東京都渋谷区千駄ヶ谷4-27-5,東京都渋谷区千駄が谷４－２７－５,倖榮ビル　６Ｆ,74511,13,13113,千駄が谷４,2022/01/21,,,,,グリコチャネルクリエイト株式会社,  西村浩一,050-1744-1649,大阪府大阪市西淀川区歌島４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,3渋保生食届第2366号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,オフィスグリコ冷凍冷蔵庫２５４９２７050-1742-64517451113113,23e1d87d-4dd1-4444-982e-130da9ad73dc,グリコチャネルクリエイト株式会社154669,db1fe5a6-41df-4de5-8e90-c9fc0822a557,52fdb392-de89-4001-9c92-868d01438099,2022/01/21,オフィスグリコ冷凍冷蔵庫２５４９２７,オフィスグリコ冷凍冷蔵庫２５４９２７,グリコチャネルクリエイト株式会社
131130,2100302360,東京都,渋谷区,新宿髙島屋　１１Ｆ　アムール・デュ・ショコラ　催会場,,その他の食料・飲料販売業,,東京都渋谷区千駄ヶ谷5-24-2,新宿髙島屋　１１階,,,03-5361-1111,株式会社髙島屋,,3渋保生食届第2360号,,,,,,,,,2022/1/21,,代表取締役,村田　善郎,大阪市中央区難波五丁目１番５号,,06-6631-1101,,,192,新宿髙島屋　１１Ｆ　アムール・デュ・ショコラ　催会場,03,03-5361-1111,,,,東京都渋谷区千駄ヶ谷5-24-2,東京都渋谷区千駄が谷５－２４－２,新宿髙島屋　１１階,74512,13,13113,千駄が谷５,2022/01/21,,,,,株式会社髙島屋, 代表取締役 村田　善郎,06-6631-1101,大阪市中央区難波五丁目１番５号,大阪府大阪市中央区難波５丁目１番５号,,156075,大阪府,大阪市中央区,難波５,3渋保生食届第2360号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,新宿髙島屋１１Ｆアムルデュショコラ催会場03-5361-11117451213113,19fcdcf2-44ef-4666-9bec-8952b96bd6ae,株式会社髙島屋156075,ee0e791d-cc83-4b51-8a42-0b2a751dd0b2,825901e6-a459-4f4b-8477-4470c9fd36c9,2022/01/21,新宿髙島屋　１１Ｆ　アムール・デュ・ショコラ　催会場,新宿髙島屋１１Ｆアムルデュショコラ催会場,株式会社髙島屋
131130,2100302369,東京都,渋谷区,オフィスグリコ冷凍冷蔵庫２８３０１８,,その他の食料・飲料販売業,,東京都渋谷区南平台町16-28,Ｄａｉｗａ渋谷スクエアビル　１Ｆ,,,050-1742-6451,グリコチャネルクリエイト株式会社,,3渋保生食届第2369号,,,,,,,,,2022/1/21,,,西村浩一,大阪府大阪市西淀川区歌島４丁目６－５,,050-1744-1649,,,192,オフィスグリコ冷凍冷蔵庫２８３０１８,03,050-1742-6451,,,,東京都渋谷区南平台町16-28,東京都渋谷区南平台町１６－２８,Ｄａｉｗａ渋谷スクエアビル　１Ｆ,74519,13,13113,南平台町,2022/01/21,,,,,グリコチャネルクリエイト株式会社,  西村浩一,050-1744-1649,大阪府大阪市西淀川区歌島４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,3渋保生食届第2369号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,オフィスグリコ冷凍冷蔵庫２８３０１８050-1742-64517451913113,0caef2d9-a988-40b6-8acc-2872faa6cfb9,グリコチャネルクリエイト株式会社154669,db1fe5a6-41df-4de5-8e90-c9fc0822a557,0c132507-7a89-4034-b2f3-a539c05bbfd6,2022/01/21,オフィスグリコ冷凍冷蔵庫２８３０１８,オフィスグリコ冷凍冷蔵庫２８３０１８,グリコチャネルクリエイト株式会社
131130,2100302371,東京都,渋谷区,株式会社ＰＭＡ,,その他の食料・飲料販売業,,東京都渋谷区東1-16-1,,,,03-6277-5966,株式会社ＰＭＡ,,3渋保生食届第2371号,,,,,,,,,2022/1/21,,,山口善彦,東京都渋谷区東１丁目１６番１号,,03-6277-5966,,,192,株式会社ＰＭＡ,03,03-6277-5966,,,,東京都渋谷区東1-16-1,東京都渋谷区東１－１６－１,,74529,13,13113,東１,2022/01/21,,,,,株式会社ＰＭＡ,  山口善彦,03-6277-5966,東京都渋谷区東１丁目１６番１号,東京都渋谷区東１丁目１６番１号,,74529,東京都,渋谷区,東１,3渋保生食届第2371号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,株式会社ＰＭＡ03-6277-59667452913113,71912318-c828-4f22-a828-3f7ca14a654d,株式会社ＰＭＡ74529,25844754-f943-4775-b173-ad4ae9b3e015,ec689d2e-53b3-467a-9277-42fe092bf945,2022/01/21,株式会社ＰＭＡ,株式会社ＰＭＡ,株式会社ＰＭＡ
131130,2100302367,東京都,渋谷区,オフィスグリコ冷凍冷蔵庫２８３０１９,,その他の食料・飲料販売業,,東京都渋谷区東2-23-12,プレミアム・ユーゾーンビル　４Ｆ,,,050-1742-6451,グリコチャネルクリエイト株式会社,,3渋保生食届第2367号,,,,,,,,,2022/1/21,,,西村浩一,大阪府大阪市西淀川区歌島４丁目６－５,,050-1744-1649,,,192,オフィスグリコ冷凍冷蔵庫２８３０１９,03,050-1742-6451,,,,東京都渋谷区東2-23-12,東京都渋谷区東２－２３－１２,プレミアム・ユーゾーンビル　４Ｆ,74530,13,13113,東２,2022/01/21,,,,,グリコチャネルクリエイト株式会社,  西村浩一,050-1744-1649,大阪府大阪市西淀川区歌島４丁目６－５,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,3渋保生食届第2367号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,オフィスグリコ冷凍冷蔵庫２８３０１９050-1742-64517453013113,25b3e01b-20e1-4d7c-90f4-a27955e0df07,グリコチャネルクリエイト株式会社154669,db1fe5a6-41df-4de5-8e90-c9fc0822a557,4be78c58-79d1-4f44-b2a0-3bc0c2b8e7ea,2022/01/21,オフィスグリコ冷凍冷蔵庫２８３０１９,オフィスグリコ冷凍冷蔵庫２８３０１９,グリコチャネルクリエイト株式会社
131130,2100302364,東京都,渋谷区,恵比寿ビジネスタワー,,その他の食料・飲料販売業,,東京都渋谷区恵比寿1-19-19,恵比寿ビジネスタワー　敷地内,,,,株式会社Ｍｏｂｉｆａｃ,,3渋保生食届第2364号,,,,,,,,,2022/1/20,,,武田政揮,東京都葛飾区金町６丁目７－２０,,03-5876-9172,,,192,恵比寿ビジネスタワー,03,,,,,東京都渋谷区恵比寿1-19-19,東京都渋谷区恵比寿１－１９－１９,恵比寿ビジネスタワー　敷地内,74477,13,13113,恵比寿１,2022/01/20,,,,,株式会社Ｍｏｂｉｆａｃ,  武田政揮,03-5876-9172,東京都葛飾区金町６丁目７－２０,東京都葛飾区金町６丁目７－２０,,75662,東京都,葛飾区,金町６,3渋保生食届第2364号,,その他の食料品製造・加工業,(包装),,,192_東京都_渋谷区保健所_食品衛生(届出)_2021年12月まで全件_末日,E,9,99,,恵比寿ビジネスタワ7447713113,0ec9947e-62e8-4826-931e-d944ba206106,株式会社Ｍｏｂｉｆａｃ75662,18004795-c704-4d8f-bd18-818a9021eff4,dd6dd07c-a5b9-4371-8c85-53ddfd4587cb,2022/01/20,恵比寿ビジネスタワー,恵比寿ビジネスタワ,株式会社Ｍｏｂｉｆａｃ
