https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所1,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
区分,営業の種類,施設名称,施設所在地,施設電話番号,営業者名,代表者名（法人）,営業者住所（法人）,営業者電話番号（法人）,初回許可（届出）年月日,許可年月日,営業許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,トライアル上磯,北斗市七重浜7丁目14-1,0138-49-3000,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,トライアル上磯,0138,0138-49-3000,,,,北斗市七重浜7丁目14-1,北海道北斗市七重浜７丁目１４－１,,17117,1,1236,七重浜７,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,トライアル上磯0138-49-3000171171236,c27705ab-ee8b-4b40-8a6d-d204271fda0e,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,1283f295-073a-4c89-a8fa-d38c8443e23b,2021/12/01,トライアル上磯,トライアル上磯,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,道の駅森,茅部郡森町字上台町326-18,01374-2-4886,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,道の駅森,01374,01374-2-4886,,,,茅部郡森町字上台町326-18,北海道茅部郡森町字上台町３２６－１８,,17305,1,1345,上台町,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,道の駅森01374-2-4886173051345,5c5fe55b-4a1d-48b5-b130-368aeb77209b,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,6def04ce-9941-49dd-899e-6136680a8ec1,2021/12/01,道の駅森,道の駅森,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,健康センターアップル温泉七飯町,亀田郡七飯町字中野194-1,0138-66-3601,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,健康センターアップル温泉七飯町,0138,0138-66-3601,,,,亀田郡七飯町字中野194-1,北海道亀田郡七飯町字中野１９４－１,,17220,1,1337,中野,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,健康センタアップル温泉七飯町0138-66-3601172201337,d2d7ecce-e8e6-4fee-bbe4-9184120677ef,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,3410a1dc-3ddc-46c8-bbf3-ed37bc4d3c38,2021/12/01,健康センターアップル温泉七飯町,健康センタアップル温泉七飯町,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,株式会社ドン・キホーテ函館七重浜店,北斗市七重浜7丁目15-13,0138-48-0311,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,株式会社ドン・キホーテ函館七重浜店,0138,0138-48-0311,,,,北斗市七重浜7丁目15-13,北海道北斗市七重浜７丁目１５－１３,,17117,1,1236,七重浜７,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,株式会社ドンキホテ函館七重浜店0138-48-0311171171236,32f02907-2c2e-446d-8b9b-37eaa1abd959,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,87cf0129-f352-4821-b1ee-4047e25847e0,2021/12/01,株式会社ドンキホーテ函館七重浜店,株式会社ドンキホテ函館七重浜店,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,大野町健康センターせせらぎ温泉,北斗市本町4丁目3-20,0138-77-7070,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,大野町健康センターせせらぎ温泉,0138,0138-77-7070,,,,北斗市本町4丁目3-20,北海道北斗市本町４丁目３－２０,,17135,1,1236,本町４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,大野町健康センタせせらぎ温泉0138-77-7070171351236,4b21ef2b-eb36-4720-9401-2bfd1b882793,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,f6cf6e7e-1a3f-4889-bfd3-d8165a7ca563,2021/12/01,大野町健康センターせせらぎ温泉,大野町健康センタせせらぎ温泉,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,北斗市総合体育館,北斗市押上1丁目3-1,0138-73-6481,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,北斗市総合体育館,0138,0138-73-6481,,,,北斗市押上1丁目3-1,北海道北斗市押上１丁目３－１,,17064,1,1236,押上１,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,北斗市総合体育館0138-73-6481170641236,0cb7c527-44e9-44ef-a00b-d03f4cc3985e,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,4e2ea423-b270-4fe5-974a-01d68b6235e7,2021/12/01,北斗市総合体育館,北斗市総合体育館,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,ダイナム上磯店レストスペース,北斗市七重浜7丁目189-3,0138-49-8144,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,ダイナム上磯店レストスペース,0138,0138-49-8144,,,,北斗市七重浜7丁目189-3,北海道北斗市七重浜７丁目１８９－３,,17117,1,1236,七重浜７,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,ダイナム上磯店レストスペス0138-49-8144171171236,6dba7ec5-eabb-4c8e-ad75-e1f5a6ae2860,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,ba14c27c-9faf-43e8-9373-0e1f0698791b,2021/12/01,ダイナム上磯店レストスペース,ダイナム上磯店レストスペス,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,イオン上磯店1Fドコモ側入口,北斗市七重浜4丁目44-1,0138-49-8188,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,イオン上磯店1Fドコモ側入口,0138,0138-49-8188,,,,北斗市七重浜4丁目44-1,北海道北斗市七重浜４丁目４４－１,,17114,1,1236,七重浜４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,イオン上磯店１Ｆドコモ側入口0138-49-8188171141236,f78180a0-95b8-4ccf-8ea0-c5387a766033,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,0de9fa50-c4f0-4a7e-899e-5a3df0545f60,2021/12/01,イオン上磯店１Ｆドコモ側入口,イオン上磯店１Ｆドコモ側入口,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,イオン上磯店1Fゲームコーナー横,北斗市七重浜4丁目44-1,0138-49-8188,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,イオン上磯店1Fゲームコーナー横,0138,0138-49-8188,,,,北斗市七重浜4丁目44-1,北海道北斗市七重浜４丁目４４－１,,17114,1,1236,七重浜４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,イオン上磯店１Ｆゲムコナ横0138-49-8188171141236,c3938f66-a429-4ef2-92ab-3e80073d1782,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,cd14ed5d-db52-4770-b3ad-c2a6de373660,2021/12/01,イオン上磯店１Ｆゲームコーナー横,イオン上磯店１Ｆゲムコナ横,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,イオン上磯店レストラン側風除室,北斗市七重浜4丁目44-1,0138-49-8188,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,イオン上磯店レストラン側風除室,0138,0138-49-8188,,,,北斗市七重浜4丁目44-1,北海道北斗市七重浜４丁目４４－１,,17114,1,1236,七重浜４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,イオン上磯店レストラン側風除室0138-49-8188171141236,7072c35a-e4a6-4b01-9018-011f9cf46daf,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,cb202695-476a-4660-802b-ef9d5bdcc6ba,2021/12/01,イオン上磯店レストラン側風除室,イオン上磯店レストラン側風除室,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,パーラーアスカ森町店,茅部郡森町字森川町283-34,01374-2-7771,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,パーラーアスカ森町店,01374,01374-2-7771,,,,茅部郡森町字森川町283-34,北海道茅部郡森町字森川町２８３－３４,,17328,1,1345,森川町,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,パラアスカ森町店01374-2-7771173281345,8b2c8d03-e62b-4226-8339-69f2979a8901,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,05752567-ae3d-4bf6-8fe0-20a0c004439e,2021/12/01,パーラーアスカ森町店,パラアスカ森町店,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,ななえ天然温泉ゆうひの館,亀田郡七飯町本町4丁目6-1,0138-64-1126,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,ななえ天然温泉ゆうひの館,0138,0138-64-1126,,,,亀田郡七飯町本町4丁目6-1,北海道亀田郡七飯町本町４丁目６－１,,17255,1,1337,本町４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,ななえ天然温泉ゆうひの館0138-64-1126172551337,4a8777d4-828c-4c34-b7ed-5f50e18d9e6f,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,be831766-b23f-454b-bc27-905dbf6d7ef5,2021/12/01,ななえ天然温泉ゆうひの館,ななえ天然温泉ゆうひの館,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,コインランドリー「バルガ」,茅部郡森町字本町27,01374-2-2734,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,コインランドリー「バルガ」,01374,01374-2-2734,,,,茅部郡森町字本町27,北海道茅部郡森町字本町２７,,17325,1,1345,本町,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,コインランドリバルガ01374-2-2734173251345,80f262c8-4ec5-4406-972b-e2b94b742905,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,0dac079c-5ec6-42eb-89b4-06cff9f6fa0e,2021/12/01,コインランドリー「バルガ」,コインランドリバルガ,江崎グリコ株式会社
届出,12自動販売機による販売業（自動洗浄・屋内設置、5を除く）,イオン上磯店2Fスロープ,北斗市七重浜4丁目44-1,0138-49-8188,江崎グリコ株式会社,江崎勝久,大阪府大阪市西淀川区歌島4丁目6-5,06-6477-8352,2021年12月6日,,,,15,イオン上磯店2Fスロープ,0138,0138-49-8188,,,,北斗市七重浜4丁目44-1,北海道北斗市七重浜４丁目４４－１,,17114,1,1236,七重浜４,,2021/12/06,,,,江崎グリコ株式会社,江崎勝久,06-6477-8352,大阪府大阪市西淀川区歌島4丁目6-5,大阪府大阪市西淀川区歌島４丁目６－５,,154669,大阪府,大阪市西淀川区,歌島４,,,自動販売機,（自動洗浄・屋内設置、5を除く）,届出,,015_北海道_渡島保健所_食品衛生()_2021年12月,I,61,612,,イオン上磯店２Ｆスロプ0138-49-8188171141236,4f609672-0473-4d39-a3dc-38044f7d2bdb,江崎グリコ株式会社154669,9e2b6f06-c99b-443e-9a47-4e504afb4d13,ee6a1b0d-798a-4176-84ba-28712728d4d8,2021/12/01,イオン上磯店２Ｆスロープ,イオン上磯店２Ｆスロプ,江崎グリコ株式会社
