https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,アンジェーレ　カーサ,9530066,新潟県,新潟市西蒲区安尻３７３番地,新潟市西蒲区安尻３７３番地,,,三島　舜矢,,,,,アイスクリーム類製造業,2638,R 4. 2. 2,,151,アンジェーレ　カーサ,0256,,,,,新潟県　新潟市西蒲区安尻３７３番地,新潟県新潟市西蒲区安尻３７３番地,,84884,15,15108,安尻,,,2022/02/02,,,,三島　舜矢 ,,,,,,,,,2638,,アイスクリーム類製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,アンジェレカサ8488415108,8b16e1cf-7ebf-4aee-b192-168723b201a2,,personal,fffeb0bf-fed4-42c6-8501-6af267d85f7e,2022/02/02,アンジェーレ　カーサ,アンジェレカサ,
11,チェロⅡ,9501101,新潟県,新潟市西区山田２６０８番地４,新潟市西区山田２６０８番地４,,,星　郁恵,,,,,飲食店営業,2759,R 4. 2.18,,151,チェロⅡ,025,,,,,新潟県　新潟市西区山田２６０８番地４,新潟県新潟市西区山田２６０８番地４,,84863,15,15107,山田,,,2022/02/18,,,,星　郁恵 ,,,,,,,,,2759,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,チェロⅡ8486315107,1d347600-5e78-4eb9-802e-6e316ec6812a,,personal,df4059f2-4b7f-4f64-b185-0e458571ccc5,2022/02/18,チェロⅡ,チェロⅡ,
12,ｃａｆｅ　ｎｏｍａｄｏ,9501101,新潟県,新潟市西区山田７４９番地１４,新潟市西区山田７４９番地１４,,,引地　憲明,,,,,そうざい製造業,2798,R 4. 2.24,,151,ｃａｆｅ　ｎｏｍａｄｏ,025,,,,,新潟県　新潟市西区山田７４９番地１４,新潟県新潟市西区山田７４９番地１４,,84863,15,15107,山田,,,2022/02/24,,,,引地　憲明 ,,,,,,,,,2798,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,ｃａｆｅｎｏｍａｄｏ8486315107,7c838d79-e1f5-42bf-a682-2b15af9cbf11,,personal,1b91838e-ba1a-4491-a7ff-34e68754f726,2022/02/24,ｃａｆｅ　ｎｏｍａｄｏ,ｃａｆｅｎｏｍａｄｏ,
13,ｃａｆｅ　ｎｏｍａｄｏ,9501101,新潟県,新潟市西区山田７４９番地１４,新潟市西区山田７４９番地１４,,,引地　憲明,,,,,飲食店営業,2797,R 4. 2.24,,151,ｃａｆｅ　ｎｏｍａｄｏ,025,,,,,新潟県　新潟市西区山田７４９番地１４,新潟県新潟市西区山田７４９番地１４,,84863,15,15107,山田,,,2022/02/24,,,,引地　憲明 ,,,,,,,,,2797,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ｃａｆｅｎｏｍａｄｏ8486315107,7c838d79-e1f5-42bf-a682-2b15af9cbf11,,personal,03848bad-568e-4372-b62a-742d1267442c,2022/02/24,ｃａｆｅ　ｎｏｍａｄｏ,ｃａｆｅｎｏｍａｄｏ,
14,山田調理場,9501101,新潟県,新潟市西区山田７４９番地１４,新潟市西区山田７４９番地１４,,,佐藤　愛,,,,,飲食店営業,2760,R 4. 2.18,,151,山田調理場,025,,,,,新潟県　新潟市西区山田７４９番地１４,新潟県新潟市西区山田７４９番地１４,,84863,15,15107,山田,,,2022/02/18,,,,佐藤　愛 ,,,,,,,,,2760,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,山田調理場8486315107,7db545a3-15d3-43bb-8525-983bf9445d31,,personal,5d0b492a-9af1-40fc-b645-a295e96b7575,2022/02/18,山田調理場,山田調理場,
15,ぼくのさつまいも　２号店,9502064,新潟県,新潟市西区寺尾西１丁目１番３号チューリップ寺尾　左室,新潟市西区寺尾西１丁目１番３号,チューリップ寺尾 左室,,ベジタリアフードテック新潟株式会社,長井　啓友,新潟県新潟市西区坂井東六丁目１９番９号,コスモビルＣ号室,050-5876-0780,飲食店営業,2656,R 4. 2. 3,,151,ぼくのさつまいも　２号店,025,,,,,新潟県　新潟市西区寺尾西１丁目１番３号,新潟県新潟市西区寺尾西１丁目１番３号,チューリップ寺尾 左室,84805,15,15107,寺尾西１,,,2022/02/03,,,ベジタリアフードテック新潟株式会社,長井　啓友,050-5876-0780,新潟県新潟市西区坂井東六丁目１９番９号,新潟県新潟市西区坂井東６丁目１９番９号,コスモビルＣ号室,84767,新潟県,新潟市西区,坂井東６,2656,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ぼくのさつまいも２号店8480515107,bd8c44ad-5438-48fc-a578-083017ddb532,ベジタリアフードテック新潟株式会社84767,7316b41d-0b95-4e7b-a6d7-947c99cde925,1d7973e0-5c46-4876-89bc-426f272f8e3c,2022/02/03,ぼくのさつまいも　２号店,ぼくのさつまいも２号店,ベジタリアフードテック新潟株式会社
16,すき家　新潟小新大通店,9502027,新潟県,新潟市西区小新大通２丁目２番８号,新潟市西区小新大通２丁目２番８号,,025-378-3744,株式会社すき家,浅沼　幹典,東京都港区港南二丁目１８番１号,,03-5783-8850,飲食店営業,2772,R 4. 2.22,,151,すき家　新潟小新大通店,025,025-378-3744,,,,新潟県　新潟市西区小新大通２丁目２番８号,新潟県新潟市西区小新大通２丁目２番８号,,84730,15,15107,小新大通２,,,2022/02/22,,,株式会社すき家,浅沼　幹典,03-5783-8850,東京都港区港南二丁目１８番１号,東京都港区港南２丁目１８番１号,,73073,東京都,港区,港南２,2772,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,すき家新潟小新大通店025-378-37448473015107,702c2a8c-025d-487a-9b46-f715994a93be,株式会社すき家73073,c7b6fbed-bd7a-49bc-809e-36eca60a1976,b756a3c0-a866-474b-9e5f-b1c79283c42a,2022/02/22,すき家　新潟小新大通店,すき家新潟小新大通店,株式会社すき家
17,珈琲豆　山倉,9502011,新潟県,新潟市西区小針上山４番２２号,新潟市西区小針上山４番２２号,,,山倉　滋子,,,,,飲食店営業,2801,R 4. 2.25,,151,珈琲豆　山倉,025,,,,,新潟県　新潟市西区小針上山４番２２号,新潟県新潟市西区小針上山４番２２号,,84745,15,15107,小針上山,,,2022/02/25,,,,山倉　滋子 ,,,,,,,,,2801,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,珈琲豆山倉8474515107,b9f389e9-4bab-423b-bcfb-0ee4f6958b72,,personal,e275afce-fa5f-488a-92f9-c07698d9b72c,2022/02/25,珈琲豆　山倉,珈琲豆山倉,
18,珈琲豆　山倉,9502011,新潟県,新潟市西区小針上山４番２２号,新潟市西区小針上山４番２２号,,,山倉　陽平,,,,,飲食店営業,2761,R 4. 2.18,,151,珈琲豆　山倉,025,,,,,新潟県　新潟市西区小針上山４番２２号,新潟県新潟市西区小針上山４番２２号,,84745,15,15107,小針上山,,,2022/02/18,,,,山倉　陽平 ,,,,,,,,,2761,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,珈琲豆山倉8474515107,b9f389e9-4bab-423b-bcfb-0ee4f6958b72,,personal,bd2dac33-15e0-4a13-95ad-5774b99bc3c8,2022/02/18,珈琲豆　山倉,珈琲豆山倉,
19,ＣＲＥＰＥ　ＳＨＯＰ　ＧＬＥＥＴＳ,9518071,新潟県,新潟市中央区栄町２丁目４８１１番地,新潟市中央区栄町２丁目４８１１番地,,,関　可奈子,,,,,飲食店営業,2692,R 4. 2. 9,,151,ＣＲＥＰＥ　ＳＨＯＰ　ＧＬＥＥＴＳ,025,,,,,新潟県　新潟市中央区栄町２丁目４８１１番地,新潟県新潟市中央区栄町２丁目４８１１番地,,83710,15,15103,栄町２,,,2022/02/09,,,,関　可奈子 ,,,,,,,,,2692,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＣＲＥＰＥＳＨＯＰＧＬＥＥＴＳ8371015103,59a78637-7ed5-4ea9-9e1b-be9c3d336340,,personal,3cdee2ed-832e-40b8-b9fd-78e778bc7476,2022/02/09,ＣＲＥＰＥ　ＳＨＯＰ　ＧＬＥＥＴＳ,ＣＲＥＰＥＳＨＯＰＧＬＥＥＴＳ,
20,通所介護デイサービスセンターほたる,9518083,新潟県,新潟市中央区横七番町通５丁目４６９４番地,新潟市中央区横七番町通５丁目４６９４番地,,025-377-1221,ケータリングフード株式会社,小野　郁子,新潟県新潟市西区緒立流通一丁目３番２号,,025-377-1221,飲食店営業,2776,R 4. 2.21,,151,通所介護デイサービスセンターほたる,025,025-377-1221,,,,新潟県　新潟市中央区横七番町通５丁目４６９４番地,新潟県新潟市中央区横七番町通５丁目４６９４番地,,84059,15,15103,横七番町通５,,,2022/02/21,,,ケータリングフード株式会社,小野　郁子,025-377-1221,新潟県新潟市西区緒立流通一丁目３番２号,新潟県新潟市西区緒立流通１丁目３番２号,,84703,新潟県,新潟市西区,緒立流通１,2776,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,通所介護デイサビスセンタほたる025-377-12218405915103,cb66bdec-3a2c-45b8-ba26-a9a1d55cc949,ケータリングフード株式会社84703,08936901-bf22-4e92-806b-9cbaa3f9ed0b,061595e6-ba1d-4a90-b3a4-f44cb83e9134,2022/02/21,通所介護デイサービスセンターほたる,通所介護デイサビスセンタほたる,ケータリングフード株式会社
21,大衆食堂　韓激　新潟駅前店,9500086,新潟県,新潟市中央区花園１丁目３番２号ＩＭＡⅡビル,新潟市中央区花園１丁目３番２号,ＩＭＡⅡビル,025-250-7530,養老乃瀧株式会社,矢満田　敏之,東京都豊島区西池袋１丁目１０番１５号,,03-6327-2800,飲食店営業,2749,R 4. 2.16,,151,大衆食堂　韓激　新潟駅前店,025,025-250-7530,,,,新潟県　新潟市中央区花園１丁目３番２号,新潟県新潟市中央区花園１丁目３番２号,ＩＭＡⅡビル,83871,15,15103,花園１,,,2022/02/16,,,養老乃瀧株式会社,矢満田　敏之,03-6327-2800,東京都豊島区西池袋１丁目１０番１５号,東京都豊島区西池袋１丁目１０番１５号,,74821,東京都,豊島区,西池袋１,2749,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,大衆食堂韓激新潟駅前店025-250-75308387115103,09fb2bc1-55d5-457e-a032-8c6d45e2def2,養老乃瀧株式会社74821,b1ed8d46-3516-4a7c-8632-ce70a2eef158,4e1346d3-3343-4079-84ae-257fcb34552f,2022/02/16,大衆食堂　韓激　新潟駅前店,大衆食堂韓激新潟駅前店,養老乃瀧株式会社
22,Ｄｅｌｉｃａ．Ｍｏｎ．ｒｅｐａｓ　デリカ・モン・ルパ,9518126,新潟県,新潟市中央区学校町通３番町４９４番地１９,新潟市中央区学校町通３番町４９４番地１９,,,染谷　勇,,,,,飲食店営業,2799,R 4. 2.28,,151,Ｄｅｌｉｃａ．Ｍｏｎ．ｒｅｐａｓ　デリカ・モン・ルパ,025,,,,,新潟県　新潟市中央区学校町通３番町４９４番地１９,新潟県新潟市中央区学校町通三番町４９４番地１９,,83676,15,15103,学校町通三番町,,,2022/02/28,,,,染谷　勇 ,,,,,,,,,2799,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＤｅｌｉｃａＭｏｎｒｅｐａｓデリカモンルパ8367615103,27eb7286-4352-49cd-a3d8-6e9b8baee00d,,personal,5a25eed5-3efa-4beb-9481-7f2dff9fabc5,2022/02/28,Ｄｅｌｉｃａ．Ｍｏｎ．ｒｅｐａｓ　デリカ・モン・ルパ,ＤｅｌｉｃａＭｏｎｒｅｐａｓデリカモンルパ,
23,カフェサロン　Ｊ,9518063,新潟県,新潟市中央区古町通６番町９７４番地１あたらしやビル　１階Ａ,新潟市中央区古町通６番町９７４番地１,あたらしやビル １階Ａ,,株式会社素志,金　志　垠,新潟県新潟市中央区寺裏通一番町２３４番地６,パルフェ・ヌーボーＡ,,飲食店営業,2767,R 4. 2.21,,151,カフェサロン　Ｊ,025,,,,,新潟県　新潟市中央区古町通６番町９７４番地１,新潟県新潟市中央区古町通六番町９７４番地１,あたらしやビル １階Ａ,83949,15,15103,古町通六番町,,,2022/02/21,,,株式会社素志,金　志　垠,,新潟県新潟市中央区寺裏通一番町２３４番地６,新潟県新潟市中央区寺裏通一番町２３４番地６,パルフェ・ヌーボーＡ,83800,新潟県,新潟市中央区,寺裏通一番町,2767,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,カフェサロンＪ8394915103,09d3f2e9-342e-4ad9-a071-a2b0374ec620,株式会社素志83800,99268afc-0d72-44c0-ac4d-a6f210b1b31e,f1670b5f-9514-4b59-bec4-b533b66cc2fd,2022/02/21,カフェサロン　Ｊ,カフェサロンＪ,株式会社素志
24,ｗｉｓｈ,9518063,新潟県,新潟市中央区古町通８番町１５００番地プラザ８－Ⅱビル　８階,新潟市中央区古町通８番町１５００番地,プラザ８－Ⅱビル ８階,,吉田　淳子,,,,,飲食店営業,2625,R 4. 2. 1,,151,ｗｉｓｈ,025,,,,,新潟県　新潟市中央区古町通８番町１５００番地,新潟県新潟市中央区古町通八番町１５００番地,プラザ８－Ⅱビル ８階,83947,15,15103,古町通八番町,,,2022/02/01,,,,吉田　淳子 ,,,,,,,,,2625,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ｗｉｓｈ8394715103,ff654f11-337e-4020-8d96-daba13447b90,,personal,18dbc586-0aa1-4735-a2ff-94d51fa957f0,2022/02/01,ｗｉｓｈ,ｗｉｓｈ,
25,Ｍａｍａ’ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,9518063,新潟県,新潟市中央区古町通９番町１４７３番地,新潟市中央区古町通９番町１４７３番地,,,有限会社サルサ,中川　賢司,新潟県新潟市東区河渡庚８８番地２,,025-275-6181,飲食店営業,2627,R 4. 2. 1,,151,Ｍａｍａ’ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,025,,,,,新潟県　新潟市中央区古町通９番町１４７３番地,新潟県新潟市中央区古町通九番町１４７３番地,,83938,15,15103,古町通九番町,,,2022/02/01,,,有限会社サルサ,中川　賢司,025-275-6181,新潟県新潟市東区河渡庚８８番地２,新潟県新潟市東区河渡庚８８番地２,,83364,新潟県,新潟市東区,河渡,2627,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,M,76,,,ＭａｍａｓＴａｂｌｅＬＯＣＯＳＴＹＬＥ8393815103,fd810f65-da6e-479c-8978-7f676a6b0f25,有限会社サルサ83364,22f71170-ac67-4bba-8603-9d98a3218524,e8a32a0a-f619-4a4d-9b8b-186808d5025e,2022/02/01,Ｍａｍａ＇ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,ＭａｍａｓＴａｂｌｅＬＯＣＯＳＴＹＬＥ,有限会社サルサ
26,Ｍａｍａ’ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,9518063,新潟県,新潟市中央区古町通９番町１４７３番地,新潟市中央区古町通９番町１４７３番地,,,有限会社サルサ,中川　賢司,新潟県新潟市東区河渡庚８８番地２,,025-275-6181,菓子製造業,2628,R 4. 2. 1,,151,Ｍａｍａ’ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,025,,,,,新潟県　新潟市中央区古町通９番町１４７３番地,新潟県新潟市中央区古町通九番町１４７３番地,,83938,15,15103,古町通九番町,,,2022/02/01,,,有限会社サルサ,中川　賢司,025-275-6181,新潟県新潟市東区河渡庚８８番地２,新潟県新潟市東区河渡庚８８番地２,,83364,新潟県,新潟市東区,河渡,2628,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,ＭａｍａｓＴａｂｌｅＬＯＣＯＳＴＹＬＥ8393815103,fd810f65-da6e-479c-8978-7f676a6b0f25,有限会社サルサ83364,22f71170-ac67-4bba-8603-9d98a3218524,3982c62d-3eb2-414b-869e-6ab7cb9d0811,2022/02/01,Ｍａｍａ＇ｓ　Ｔａｂｌｅ　ＬＯＣＯ　ＳＴＹＬＥ,ＭａｍａｓＴａｂｌｅＬＯＣＯＳＴＹＬＥ,有限会社サルサ
27,魚と地酒とワイン　りべら,9518063,新潟県,新潟市中央区古町通９番町１４７５番地４,新潟市中央区古町通９番町１４７５番地４,,,古関　悠,,,,,そうざい製造業,2790,R 4. 2.24,,151,魚と地酒とワイン　りべら,025,,,,,新潟県　新潟市中央区古町通９番町１４７５番地４,新潟県新潟市中央区古町通九番町１４７５番地４,,83938,15,15103,古町通九番町,,,2022/02/24,,,,古関　悠 ,,,,,,,,,2790,,そうざい製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2022年02月_末日_新規,E,9,,,魚と地酒とワインりべら8393815103,2a04c6f3-f3f2-461f-87ba-9d8d6c57af50,,personal,9d993623-bb51-49cb-908e-7a8ef168f1de,2022/02/24,魚と地酒とワイン　りべら,魚と地酒とワインりべら,
