https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所1,施設名,施設-住所1,施設-住所2,施設-電話番号1,業種,確認番号,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者氏名,代表者氏名,申請者住所,屋号名称,,印刷用住所,所在地電話番号,業種帳票,許可番号,許可年月日,許可期間_開始,許可期間_終了,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
田中　賢一,,,田中華麺飯店,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62198,2021/11/5,2021/11/5,2026/11/30,,,田中華麺飯店,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/05,2021/11/05,2026/11/30,,田中　賢一 ,,,,,,,,,503-62198,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,田中華麺飯店,9ab0207f-fb22-426b-b9d9-fcf7cabada87,,personal,f7c85a6b-7595-484f-bbda-6f2d1a1c5e6d,2021/11/05,田中華麺飯店,田中華麺飯店,
市川　和久,,,えん家,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62199,2021/11/5,2021/12/1,2026/11/30,,,えん家,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/05,2021/12/01,2026/11/30,,市川　和久 ,,,,,,,,,503-62199,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,えん家,4932f858-f2af-4462-a284-1a18f5fe78fb,,personal,80bd04c7-8e6c-43ac-976c-90b341f5a416,2021/11/05,えん家,えん家,
立花　千春,,,ウキ２たこ物語,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62204,2021/11/22,2021/12/1,2026/11/30,,,ウキ２たこ物語,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/22,2021/12/01,2026/11/30,,立花　千春 ,,,,,,,,,503-62204,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,ウキ２たこ物語,6510e272-bb4c-4f99-b8c3-0b72d12caa73,,personal,008cd1f2-cc43-4662-9942-5a2af6df633f,2021/11/22,ウキ２たこ物語,ウキ２たこ物語,
山田　秀明,,,からあげ八起,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62206,2021/11/16,2021/12/1,2026/11/30,,,からあげ八起,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/16,2021/12/01,2026/11/30,,山田　秀明 ,,,,,,,,,503-62206,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,からあげ八起,22a66236-d2c6-4efc-b989-45b031441e33,,personal,b47091f6-efb0-49e7-a833-0d774cea7909,2021/11/16,からあげ八起,からあげ八起,
福田　修,,,焼肉福ちゃん,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62207,2021/11/30,2021/12/1,2026/11/30,,,焼肉福ちゃん,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/30,2021/12/01,2026/11/30,,福田　修 ,,,,,,,,,503-62207,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,焼肉福ちゃん,83b91235-9daf-4ba4-aa19-55ff8ae3f996,,personal,ca3a0d49-7f4d-4a9b-9ae4-4293f7735cae,2021/11/30,焼肉福ちゃん,焼肉福ちゃん,
進戸　紀子,,,やきとりえっちゃん,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62209,2021/11/30,2021/12/1,2026/11/30,,,やきとりえっちゃん,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/30,2021/12/01,2026/11/30,,進戸　紀子 ,,,,,,,,,503-62209,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,やきとりえっちゃん,61f96485-62c6-4b25-9c5f-62255e7dfb77,,personal,31544ecf-89d6-4e42-94aa-ca2634f4e25c,2021/11/30,やきとりえっちゃん,やきとりえっちゃん,
進戸　昭洋,,,,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62210,2021/11/29,2021/12/1,2026/11/30,,,,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/29,2021/12/01,2026/11/30,,進戸　昭洋 ,,,,,,,,,503-62210,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,,71c5f339-678b-4429-8d05-e0230ddfe2d0,,personal,e78491f9-c433-4dba-8286-b73542f8a1fb,2021/11/29,,,
株式会社アサノデリカ,野上　実喜男,北九州市若松区花野路二丁目１－１,株式会社アサノデリカ,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62211,2021/11/30,2021/12/1,2026/11/30,,,株式会社アサノデリカ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/30,2021/12/01,2026/11/30,株式会社アサノデリカ,野上　実喜男,,北九州市若松区花野路二丁目１－１,福岡県北九州市若松区花野路２丁目１－１,,198545,福岡県,北九州市若松区,花野路２,503-62211,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,株式会社アサノデリカ,9907eb6f-22a5-4fd9-801c-6a7d55f409b7,株式会社アサノデリカ198545,f6a1cc53-c956-4de8-aa65-c0558facc001,0f7d3ac3-4f2e-4171-86d7-bf309afb12b0,2021/11/30,株式会社アサノデリカ,株式会社アサノデリカ,株式会社アサノデリカ
株式会社安川電機,小笠原　浩,北九州市八幡西区黒崎城石２‐１,やすかわくん　２号機（改）（九州１号機）,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62213,2021/11/25,2021/12/1,2026/11/30,,,やすかわくん　２号機（改）（九州１号機）,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/25,2021/12/01,2026/11/30,株式会社安川電機,小笠原　浩,,北九州市八幡西区黒崎城石２‐１,福岡県北九州市八幡西区黒崎城石２－１,,199730,福岡県,北九州市八幡西区,黒崎城石,503-62213,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,やすかわくん２号機改九州１号機,a0f22e84-ad16-48a0-b517-0066781b70f5,株式会社安川電機199730,ed5f54ba-fba4-4c16-862e-8cfaa313aff3,ee72839e-50ba-4d60-9b73-222a1b78ce1f,2021/11/25,やすかわくん　２号機（改）（九州１号機）,やすかわくん２号機改九州１号機,株式会社安川電機
鬼木　博憲,,,陽気商店,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62214,2021/11/25,2021/11/25,2026/11/30,,,陽気商店,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/25,2021/11/25,2026/11/30,,鬼木　博憲 ,,,,,,,,,503-62214,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,陽気商店,3f9dcb3d-1298-4f08-ba8e-4c8ec4d3135e,,personal,194e41d2-752a-4c1d-a613-3041f8d14a45,2021/11/25,陽気商店,陽気商店,
中村　真弓,,,　,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62215,2021/11/30,2021/12/1,2026/11/30,,,　,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/30,2021/12/01,2026/11/30,,中村　真弓 ,,,,,,,,,503-62215,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,,71c5f339-678b-4429-8d05-e0230ddfe2d0,,personal,7fc5f29d-e1dc-419a-ba92-2aa11b39f3ff,2021/11/30,　,,
株式会社河村酒販,井上　真喜子,福岡県北九州市八幡西区東神原町１－２６,株式会社河村酒販,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62220,2021/11/26,2021/11/26,2026/11/30,,,株式会社河村酒販,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/26,2021/11/26,2026/11/30,株式会社河村酒販,井上　真喜子,,福岡県北九州市八幡西区東神原町１－２６,福岡県北九州市八幡西区東神原町１－２６,,199537,福岡県,北九州市八幡西区,東神原町,503-62220,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,株式会社河村酒販,58bc81bd-0f4d-4a34-b91e-66f6a2a4d89b,株式会社河村酒販199537,9e1b65fe-a015-4f41-9eb6-79faf197713b,9f09d8f8-609b-4e37-a3da-42155390206b,2021/11/26,株式会社河村酒販,株式会社河村酒販,株式会社河村酒販
佐々木　翔,,,Relax Space Rococo,福岡県,北九州市内一円,,飲食店営業（仮設）,503-62221,2021/11/30,2021/11/30,2026/11/30,,,Relax Space Rococo,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/11/30,2021/11/30,2026/11/30,,佐々木　翔 ,,,,,,,,,503-62221,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設）,M,76,,,ＲｅｌａｘＳｐａｃｅＲｏｃｏｃｏ,e45e0691-3f6f-484e-a432-13541ab16b90,,personal,3c212997-dc3b-4757-8041-d6f351d25193,2021/11/30,Ｒｅｌａｘ　Ｓｐａｃｅ　Ｒｏｃｏｃｏ,ＲｅｌａｘＳｐａｃｅＲｏｃｏｃｏ,
