https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,申請者1,業種,申請者2,施設-電話番号1,確認番号,開業年月日,許可年月日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設の名称,,施設所在地,,,営業者氏名,営業の種類,代表者氏名,施設電話番号,許可番号,初回許可日,許可年月日,許可満了日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
お好み焼き屋　蓮,東京都,練馬区栄町３４番１４号,練馬区栄町３４番１４号,,殿崎雅也,飲食店営業,,03-3993-4968,3練健生練食第12209号,2021/12/2,2021/12/2,2027/12/31,,199,お好み焼き屋　蓮,03,03-3993-4968,,,,東京都　練馬区栄町３４番１４号,東京都練馬区栄町３４番１４号,,75199,13,13120,栄町,,2021/12/02,2021/12/02,,2027/12/31,,殿崎雅也 ,,,,,,,,,3練健生練食第12209号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,お好み焼き屋蓮03-3993-49687519913120,54e4ec81-5ecb-416e-85e9-ee585f3cdb17,,personal,d97d8bcf-1374-44ad-9947-e5ab2bfef5af,2021/12/02,お好み焼き屋　蓮,お好み焼き屋蓮,
なか卯江古田店,東京都,練馬区栄町２番５号  アーバン江古田ビル１階,練馬区栄町２番５号, アーバン江古田ビル１階,株式会社なか卯,その他の食料・飲料販売業,平山賢太郎,03-5912-1071,3練健生練食第12309号,2021/12/3,2021/12/3,,,199,なか卯江古田店,03,03-5912-1071,,,,東京都　練馬区栄町２番５号,東京都練馬区栄町２番５号, アーバン江古田ビル１階,75199,13,13120,栄町,,2021/12/03,2021/12/03,,,株式会社なか卯,平山賢太郎,,,,,,,,,3練健生練食第12309号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,なか卯江古田店03-5912-10717519913120,85a32d8c-05bf-4297-8c8a-2da2b5d88779,株式会社なか卯,460e2fee-8d0a-4c47-970b-dbab11570404,a6901275-949e-4769-9881-8f301a2e477c,2021/12/03,なか卯江古田店,なか卯江古田店,株式会社なか卯
武蔵大学生活協同組合　購買書籍部,東京都,練馬区豊玉上一丁目２６番１号,練馬区豊玉上１丁目２６番１号,,武蔵学園生活協同組合,その他の食料・飲料販売業,丸橋珠樹,3948-9911,3練健生練食第12359号,2021/12/17,2021/12/17,,,199,武蔵大学生活協同組合　購買書籍部,03,03-3948-9911,,,,東京都　練馬区豊玉上１丁目２６番１号,東京都練馬区豊玉上１丁目２６番１号,,75250,13,13120,豊玉上１,,2021/12/17,2021/12/17,,,武蔵学園生活協同組合,丸橋珠樹,,,,,,,,,3練健生練食第12359号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,武蔵大学生活協同組合購買書籍部03-3948-99117525013120,865fdca4-baaf-4fe6-8952-fead6dbd673f,武蔵学園生活協同組合,35e8682e-f39d-4f42-a805-b83b02769139,95cd40a6-46b9-47f5-8a5b-a640db95eb0e,2021/12/17,武蔵大学生活協同組合　購買書籍部,武蔵大学生活協同組合購買書籍部,武蔵学園生活協同組合
日本マクドナルド環七豊玉店,東京都,練馬区豊玉南三丁目６番１号,練馬区豊玉南３丁目６番１号,,日本マクドナルド株式会社,飲食店営業,サラ・エル・カサノバ,5912-9591,3練健生練食第12318号,2021/12/9,2021/12/9,2027/12/31,,199,日本マクドナルド環七豊玉店,03,03-5912-9591,,,,東京都　練馬区豊玉南３丁目６番１号,東京都練馬区豊玉南３丁目６番１号,,75264,13,13120,豊玉南３,,2021/12/09,2021/12/09,,2027/12/31,日本マクドナルド株式会社,サラ・エル・カサノバ,,,,,,,,,3練健生練食第12318号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,日本マクドナルド環七豊玉店03-5912-95917526413120,f4a6b6be-3087-4db9-814e-bfacda9b9a38,日本マクドナルド株式会社,edff8881-cedc-4eda-8be8-7513e7773883,611f35f2-3f0e-4a79-9f89-a88d6eabc956,2021/12/09,日本マクドナルド環七豊玉店,日本マクドナルド環七豊玉店,日本マクドナルド株式会社
丸成商事株式会社,東京都,練馬区豊玉北一丁目５番３号,練馬区豊玉北１丁目５番３号,,丸成商事株式会社,食品の小分け業,菊地勝信,3994-5111,3練健生練食第12354号,2021/12/23,2021/12/23,2027/12/31,,199,丸成商事株式会社,03,03-3994-5111,,,,東京都　練馬区豊玉北１丁目５番３号,東京都練馬区豊玉北１丁目５番３号,,75252,13,13120,豊玉北１,,2021/12/23,2021/12/23,,2027/12/31,丸成商事株式会社,菊地勝信,,,,,,,,,3練健生練食第12354号,,食品の小分け業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,522,5229,丸成商事株式会社03-3994-51117525213120,d1dcb345-e8f6-4910-8a2c-b57e17536f00,丸成商事株式会社,b514ae29-7e37-425e-9cb9-286d24cc9660,93ec8a67-865a-42d5-ae70-cd9dc050c946,2021/12/23,丸成商事株式会社,丸成商事株式会社,丸成商事株式会社
丸成商事株式会社,東京都,練馬区豊玉北一丁目５番３号,練馬区豊玉北１丁目５番３号,,丸成商事株式会社,その他の食料品製造・加工業,菊地勝信,3994-5111,3練健生練食第12355号,2021/12/15,2021/12/15,,,199,丸成商事株式会社,03,03-3994-5111,,,,東京都　練馬区豊玉北１丁目５番３号,東京都練馬区豊玉北１丁目５番３号,,75252,13,13120,豊玉北１,,2021/12/15,2021/12/15,,,丸成商事株式会社,菊地勝信,,,,,,,,,3練健生練食第12355号,,その他の食料品製造・加工業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,丸成商事株式会社03-3994-51117525213120,d1dcb345-e8f6-4910-8a2c-b57e17536f00,丸成商事株式会社,b514ae29-7e37-425e-9cb9-286d24cc9660,21589420-24de-448a-b02c-1aa765057a37,2021/12/15,丸成商事株式会社,丸成商事株式会社,丸成商事株式会社
ビッグボーイ練馬豊玉店,東京都,練馬区豊玉北５丁目１３－８,練馬区豊玉北５丁目１３－８,,株式会社ビッグボーイジャパン,その他の食料・飲料販売業,長久保文康,,3練健生練食第12310号,2021/12/3,2021/12/3,,,199,ビッグボーイ練馬豊玉店,03,,,,,東京都　練馬区豊玉北５丁目１３－８,東京都練馬区豊玉北５丁目１３－８,,75256,13,13120,豊玉北５,,2021/12/03,2021/12/03,,,株式会社ビッグボーイジャパン,長久保文康,,,,,,,,,3練健生練食第12310号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,ビッグボイ練馬豊玉店7525613120,80bb95bf-bb29-4bd7-abb8-79f06d9f01dc,株式会社ビッグボーイジャパン,8b189ada-9b68-43b1-aaba-a8c2aa5e2c27,994e8e7c-94b4-4913-8bb2-d54266d4cfd3,2021/12/03,ビッグボーイ練馬豊玉店,ビッグボイ練馬豊玉店,株式会社ビッグボーイジャパン
筑前屋　練馬店,東京都,練馬区豊玉北五丁目１５番１１号,練馬区豊玉北５丁目１５番１１号,,株式会社カスタマーズディライト,飲食店営業,中村隆介,0359466806,3練健生練食第12263号,2021/12/13,2021/12/13,2027/12/31,,199,筑前屋　練馬店,03,03-5946-6806,,,,東京都　練馬区豊玉北５丁目１５番１１号,東京都練馬区豊玉北５丁目１５番１１号,,75256,13,13120,豊玉北５,,2021/12/13,2021/12/13,,2027/12/31,株式会社カスタマーズディライト,中村隆介,,,,,,,,,3練健生練食第12263号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,筑前屋練馬店03-5946-68067525613120,9f9f6563-8450-44a9-be7f-e0013acc652c,株式会社カスタマーズディライト,d8e9cdf8-ba1e-47c1-900d-4aa9d854903c,04733e4c-2264-4cb2-b414-89d26310fe61,2021/12/13,筑前屋　練馬店,筑前屋練馬店,株式会社カスタマーズディライト
串焼処竹次,東京都,練馬区豊玉北五丁目１８番１３号  大鳥ビル１０１,練馬区豊玉北５丁目１８番１３号, 大鳥ビル１０１,広本祐二,飲食店営業,,3994-6006,3練健生練食第12197号,2021/12/13,2021/12/13,2027/12/31,,199,串焼処竹次,03,03-3994-6006,,,,東京都　練馬区豊玉北５丁目１８番１３号,東京都練馬区豊玉北５丁目１８番１３号, 大鳥ビル１０１,75256,13,13120,豊玉北５,,2021/12/13,2021/12/13,,2027/12/31,,広本祐二 ,,,,,,,,,3練健生練食第12197号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,串焼処竹次03-3994-60067525613120,f8ffb796-cab0-466d-8737-b153e66e14b7,,personal,5b96f374-09e8-48ac-8fc4-b1521a2f0938,2021/12/13,串焼処竹次,串焼処竹次,
Ｂａｒ　１９７８,東京都,練馬区豊玉北六丁目１番８号  平和ビル３階,練馬区豊玉北６丁目１番８号, 平和ビル３階,株式会社オリオンコーポレーション,飲食店営業,藤本忠成,,3練健生練食第12161号,2021/12/13,2021/12/13,2027/12/31,,199,Ｂａｒ　１９７８,03,,,,,東京都　練馬区豊玉北６丁目１番８号,東京都練馬区豊玉北６丁目１番８号, 平和ビル３階,75257,13,13120,豊玉北６,,2021/12/13,2021/12/13,,2027/12/31,株式会社オリオンコーポレーション,藤本忠成,,,,,,,,,3練健生練食第12161号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,Ｂａｒ１９７８7525713120,6b624bfb-8cbc-4dc9-a48d-b987bde92f55,株式会社オリオンコーポレーション,307863f0-0f97-4f8b-bba5-01e229dfbb96,c93824c6-e94e-45e7-8516-051b5ef31666,2021/12/13,Ｂａｒ　１９７８,Ｂａｒ１９７８,株式会社オリオンコーポレーション
展望レストラン,東京都,練馬区豊玉北六丁目１２番１号,練馬区豊玉北６丁目１２番１号,,ロイヤルコントラクトサービス株式会社,その他の食料・飲料販売業,佐々木徳久,0339483315,3練健生練食第12360号,2021/12/17,2021/12/17,,,199,展望レストラン,03,03-3948-3315,,,,東京都　練馬区豊玉北６丁目１２番１号,東京都練馬区豊玉北６丁目１２番１号,,75257,13,13120,豊玉北６,,2021/12/17,2021/12/17,,,ロイヤルコントラクトサービス株式会社,佐々木徳久,,,,,,,,,3練健生練食第12360号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,展望レストラン03-3948-33157525713120,0d2f94da-36f0-4cb0-95da-569c5521dfc5,ロイヤルコントラクトサービス株式会社,e364f3d0-da0c-4e2a-bffa-65d5419811ea,fc01f2b5-8b1f-472f-8c03-5646ea09e347,2021/12/17,展望レストラン,展望レストラン,ロイヤルコントラクトサービス株式会社
丸成商事株式会社　中村センター,東京都,練馬区中村二丁目１０番２３号,練馬区中村２丁目１０番２３号,,丸成商事株式会社,その他の食料品製造・加工業,菊地勝信,3577-3311,3練健生練食第12353号,2021/12/15,2021/12/15,,,199,丸成商事株式会社　中村センター,03,03-3577-3311,,,,東京都　練馬区中村２丁目１０番２３号,東京都練馬区中村２丁目１０番２３号,,75270,13,13120,中村２,,2021/12/15,2021/12/15,,,丸成商事株式会社,菊地勝信,,,,,,,,,3練健生練食第12353号,,その他の食料品製造・加工業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,丸成商事株式会社中村センタ03-3577-33117527013120,3158f00c-b5af-41b5-8be1-87cb3048f63a,丸成商事株式会社,b514ae29-7e37-425e-9cb9-286d24cc9660,64728855-54a8-4816-9fdd-9409f0c1a473,2021/12/15,丸成商事株式会社中村センター,丸成商事株式会社中村センタ,丸成商事株式会社
ゆめの園ａｓｕｍｏねりまデイサービスセンター,東京都,練馬区中村南三丁目１９番１１号,練馬区中村南３丁目１９番１１号,,社会福祉法人ハッピーネット,集団給食施設,伏見広一,03-3926-8511,3練健生練食第12301号,2021/12/2,2021/12/2,,,199,ゆめの園ａｓｕｍｏねりまデイサービスセンター,03,03-3926-8511,,,,東京都　練馬区中村南３丁目１９番１１号,東京都練馬区中村南３丁目１９番１１号,,75278,13,13120,中村南３,,2021/12/02,2021/12/02,,,社会福祉法人ハッピーネット,伏見広一,,,,,,,,,3練健生練食第12301号,,給食施設,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,77,,,ゆめの園ａｓｕｍｏねりまデイサビスセンタ03-3926-85117527813120,70f58b62-6b18-4686-bb7c-a9eaa5374387,社会福祉法人ハッピーネット,1dc33c4d-3288-42c3-85c5-d7567c31ba03,f8e3fdf5-ba2f-4388-bbf9-c757cdd805e8,2021/12/02,ゆめの園ａｓｕｍｏねりまデイサービスセンター,ゆめの園ａｓｕｍｏねりまデイサビスセンタ,社会福祉法人ハッピーネット
地産マルシェ　練馬店,東京都,練馬区中村北一丁目２０番１４号  ライオンズマンション１Ｆ,練馬区中村北１丁目２０番１４号, ライオンズマンション１Ｆ,ファームドゥ株式会社,その他の食料・飲料販売業,岩井雅之,0335778377,3練健生練食第12311号,2021/12/3,2021/12/3,,,199,地産マルシェ　練馬店,03,03-3577-8377,,,,東京都　練馬区中村北１丁目２０番１４号,東京都練馬区中村北１丁目２０番１４号, ライオンズマンション１Ｆ,75272,13,13120,中村北１,,2021/12/03,2021/12/03,,,ファームドゥ株式会社,岩井雅之,,,,,,,,,3練健生練食第12311号,,その他の食料品製造・加工業,(包装),,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,E,9,99,,地産マルシェ練馬店03-3577-83777527213120,fb253c21-3009-42c6-b310-8787858293a9,ファームドゥ株式会社,22e5dd39-3939-4f84-abdb-53596193cbe5,4c9cafd1-20af-4969-a134-da1c4954f6b2,2021/12/03,地産マルシェ　練馬店,地産マルシェ練馬店,ファームドゥ株式会社
有限会社末広庵,東京都,練馬区中村北三丁目１９番８号,練馬区中村北３丁目１９番８号,,有限会社末広庵,飲食店営業,内田富三,3999-2191,3練健生練食第12205号,2021/12/6,2021/12/6,2027/12/31,,199,有限会社末広庵,03,03-3999-2191,,,,東京都　練馬区中村北３丁目１９番８号,東京都練馬区中村北３丁目１９番８号,,75274,13,13120,中村北３,,2021/12/06,2021/12/06,,2027/12/31,有限会社末広庵,内田富三,,,,,,,,,3練健生練食第12205号,,飲食店営業,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,M,76,,,有限会社末広庵03-3999-21917527413120,78418965-586b-4033-a7f7-0a3108df092e,有限会社末広庵,b103f79f-a116-408a-b91f-ad4b5b68e4d8,6dd24bae-417e-4798-8bfe-9dcd9b1e309d,2021/12/06,有限会社末広庵,有限会社末広庵,有限会社末広庵
セブンイレブン練馬中杉通り店,東京都,練馬区中村北四丁目６番１号,練馬区中村北４丁目６番１号,,合同会社マウンテンルーツ,コンビニエンスストア,山根敏洋,,3練健生練食第12362号,2021/12/20,2021/12/20,,,199,セブンイレブン練馬中杉通り店,03,,,,,東京都　練馬区中村北４丁目６番１号,東京都練馬区中村北４丁目６番１号,,75275,13,13120,中村北４,,2021/12/20,2021/12/20,,,合同会社マウンテンルーツ,山根敏洋,,,,,,,,,3練健生練食第12362号,,コンビニエンスストア,,,,199_東京都_練馬区保健所_食品衛生()_2021年12月_末日_新規、廃止,I,58,589,5891,セブンイレブン練馬中杉通り店7527513120,e3b4ee61-d698-46ed-8490-45d3d82c672f,合同会社マウンテンルーツ,32a4d963-b27d-4205-a97c-120c58892e32,d5ba05f9-1039-48d3-a69e-3a3dbf67ce9c,2021/12/20,セブンイレブン練馬中杉通り店,セブンイレブン練馬中杉通り店,合同会社マウンテンルーツ
