https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,n処理終了,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所1,施設-マンション名,,申請者1,許可年月日,申請-電話番号1,施設-電話番号1,許可期間開始日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,屋号または商号,営業所所在地,ビル名,階数,営業者氏名,許可年月日 ,営業許可台帳.申請者電話番号,営業許可台帳.電話番号 ,復命情報.許可開始年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
R03-101-444,ローソン枚方東田宮店,枚方市東田宮1丁目11番28号,,,丸山正,2021/12/23,,072-841-3661,2021/12/28,,289,ローソン枚方東田宮店,072,072-841-3661,,,,枚方市東田宮1丁目11番28号,大阪府枚方市東田宮１丁目１１番２８号,,158852,27,27210,東田宮１,,,2021/12/23,2021/12/28,,,丸山正,,,,,,,,,R03-101-444,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ロソン枚方東田宮店072-841-366115885227210,761607d8-adc4-4ffc-ac6c-6a5d24b11736,,personal,5dc0fe7a-2a31-4580-8919-ddbe342e2605,2021/12/23,ローソン枚方東田宮店,ロソン枚方東田宮店,
R03-101-433,中華料理　招華洞,枚方市牧野本町2 丁目1番11号,,,野元孝行,2021/12/20,,072-857-2627,2021/12/28,,289,中華料理　招華洞,072,072-857-2627,,,,枚方市牧野本町2 丁目1番11号,大阪府枚方市牧野本町２丁目１番１１号,,158884,27,27210,牧野本町２,,,2021/12/20,2021/12/28,,,野元孝行,,,,,,,,,R03-101-433,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,中華料理招華洞072-857-262715888427210,40386474-de8e-423e-849c-2535b7f1d734,,personal,d2cacb68-6361-456f-9ddc-0462c27b3f0e,2021/12/20,中華料理　招華洞,中華料理招華洞,
R03-101-426,津の田ミート（楠葉店）,枚方市楠葉花園町15番1号,くずはモール1 F フ ードコート内,1 F フ ードコート内,プルバンフードサービス（株）,2021/12/14, 06-6421-4649,072-856-8958,2021/12/28,,289,津の田ミート（楠葉店）,072,072-856-8958,,,,枚方市楠葉花園町15番1号,大阪府枚方市楠葉花園町１５番１号,くずはモール1 F フ ードコート内,158678,27,27210,楠葉花園町,,,2021/12/14,2021/12/28,,プルバンフードサービス（株）,,06-6421-4649,,,,,,,,R03-101-426,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,津の田ミト楠葉店072-856-895815867827210,48e36f0d-448b-4906-89d0-583d7bd776c1,プルバンフードサービス株式会社,a51c0fd9-f442-492f-82f0-1d4fe41cc973,eb725cf0-8a6c-4724-9714-a03e49f8a022,2021/12/14,津の田ミート（楠葉店）,津の田ミト楠葉店,プルバンフードサービス株式会社
R03-101-401,味万,枚方市高田1丁目1番43号,,,木間シマ子,2021/12/09,,072-854-9838,2021/12/28,,289,味万,072,072-854-9838,,,,枚方市高田1丁目1番43号,大阪府枚方市高田１丁目１番４３号,,158685,27,27210,高田１,,,2021/12/09,2021/12/28,,,木間シマ子,,,,,,,,,R03-101-401,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,味万072-854-983815868527210,6105f4a0-078f-40c6-95a9-b0564d7ef382,,personal,a0c2bbe5-0a19-4023-948f-f2605946d58c,2021/12/09,味万,味万,
R03-101-439,龍鳳,枚方市甲斐田東町2番 8号,,,乗冨藤枝,2021/12/20,,072-848-9874,2021/12/28,,289,龍鳳,072,072-848-9874,,,,枚方市甲斐田東町2番 8号,大阪府枚方市甲斐田東町２番８号,,158646,27,27210,甲斐田東町,,,2021/12/20,2021/12/28,,,乗冨藤枝,,,,,,,,,R03-101-439,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,龍鳳072-848-987415864627210,47f0690f-7c12-44b9-977b-2163f1ae3921,,personal,d25407b0-76f7-4f71-9b1a-b3942c11522f,2021/12/20,龍鳳,龍鳳,
R03- 101-413,居酒屋      志希,枚方市星丘3丁目1番20号,,,呉本弘子,2021/12/08,,072-898-2506,2021/12/08,,289,居酒屋      志希,072,072-898-2506,,,,枚方市星丘3丁目1番20号,大阪府枚方市星丘３丁目１番２０号,,158871,27,27210,星丘３,,,2021/12/08,2021/12/08,,,呉本弘子,,,,,,,,,R03- 101-413,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,居酒屋志希072-898-250615887127210,03bef78b-c4b9-43b3-8634-790625789236,,personal,7873474f-7180-4903-9305-fcf0954c9c7a,2021/12/08,居酒屋　志希,居酒屋志希,
R03- 101-414,居酒屋      志希,枚方市星丘3丁目1番20号,,,呉本弘子,2021/12/08,,072-898-2506,2021/12/08,,289,居酒屋      志希,072,072-898-2506,,,,枚方市星丘3丁目1番20号,大阪府枚方市星丘３丁目１番２０号,,158871,27,27210,星丘３,,,2021/12/08,2021/12/08,,,呉本弘子,,,,,,,,,R03- 101-414,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,居酒屋志希072-898-250615887127210,03bef78b-c4b9-43b3-8634-790625789236,,personal,3081c94f-0df1-45a3-a224-94d847430858,2021/12/08,居酒屋　志希,居酒屋志希,
R03-101-370,おおの,枚方市楠葉美咲3丁目22番2号,,,大野雅己,2021/12/02,,072-865- 7134,2021/12/28,,289,おおの,072,072-865-7134,,,,枚方市楠葉美咲3丁目22番2号,大阪府枚方市楠葉美咲３丁目２２番２号,,158681,27,27210,楠葉美咲３,,,2021/12/02,2021/12/28,,,大野雅己,,,,,,,,,R03-101-370,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,おおの072-865-713415868127210,2f655c1b-d396-470c-a8b3-4247969bd2a8,,personal,55872b2c-ddf4-4d8a-837f-45bc8d945faf,2021/12/02,おおの,おおの,
R03-101-453,Mar. y.  S o  I,枚方市伊加賀東町2番 40号,,,森本能生,2021/12/27,,072-807-3615,2021/12/28,,289,Mar. y.  S o  I,072,072-807-3615,,,,枚方市伊加賀東町2番 40号,大阪府枚方市伊加賀東町２番４０号,,158618,27,27210,伊加賀東町,,,2021/12/27,2021/12/28,,,森本能生,,,,,,,,,R03-101-453,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ＭａｒｙＳｏＩ072-807-361515861827210,46f99a20-32b5-4d85-9249-bbaef3f58617,,personal,da70559f-ff1b-407f-8414-7459bf160d32,2021/12/27,Ｍａｒ．　ｙ．　Ｓ　ｏ　Ｉ,ＭａｒｙＳｏＩ,
R03-101-452,C  h  o  c  o     L  a  t   t  e,枚方市長尾北町1丁目1820番1号,,,有限会社笑良王,2021/12/24, 072-897-3066,072-836 -0888,2021/12/28,,289,C  h  o  c  o     L  a  t   t  e,072,072-836-0888,,,,枚方市長尾北町1丁目1820番1号,大阪府枚方市長尾北町１丁目１８２０番１号,,158787,27,27210,長尾北町１,,,2021/12/24,2021/12/28,,有限会社笑良王,,072-897-3066,,,,,,,,R03-101-452,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ＣｈｏｃｏＬａｔｔｅ072-836-088815878727210,78768c59-ee5b-45be-99fb-b147bfb0fa7c,有限会社笑良王,f3dc33d8-6b64-4d6b-9323-79dd69f365a8,a2bc7362-3047-4ea9-b95e-a5ee40e43751,2021/12/24,Ｃ　ｈ　ｏ　ｃ　ｏ　Ｌ　ａ　ｔ　ｔ　ｅ,ＣｈｏｃｏＬａｔｔｅ,有限会社笑良王
R03-101-434,C a  s  u  a  l  割烹     たち太,枚方市西禁野1丁目11番13号,,,舘太智雄,2021/12/16,,,2021/12/28,,289,C a  s  u  a  l  割烹     たち太,072,,,,,枚方市西禁野1丁目11番13号,大阪府枚方市西禁野１丁目１１番１３号,,158834,27,27210,西禁野１,,,2021/12/16,2021/12/28,,,舘太智雄,,,,,,,,,R03-101-434,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,Ｃａｓｕａｌ割烹たち太15883427210,ca317f85-6e20-47fb-8a23-c1db20deb2ec,,personal,5b6b9784-31bb-4004-ab00-aafddb7b2e13,2021/12/16,Ｃ　ａ　ｓ　ｕ　ａ　ｌ　割烹　たち太,Ｃａｓｕａｌ割烹たち太,
R03-101-431,鳥貴族　枚方南口店,枚方市岡東町18番17号,藤白 ・戎ビル地下 1 階,地下 1 階,株式会社鳥貴族,2021/12/16,06-6562-5333,072-808-6605,2021/12/28,,289,鳥貴族　枚方南口店,072,072-808-6605,,,,枚方市岡東町18番17号,大阪府枚方市岡東町１８番１７号,藤白 ・戎ビル地下 1 階,158639,27,27210,岡東町,,,2021/12/16,2021/12/28,,株式会社鳥貴族,,06-6562-5333,,,,,,,,R03-101-431,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,鳥貴族枚方南口店072-808-660515863927210,357e7926-1b1a-4cac-9dd2-9e9443cdc909,株式会社鳥貴族,59aa63bb-2ba7-4d8c-855b-5be66b8849dc,32f8bf82-7929-4bf9-b593-2113a5a1a1f2,2021/12/16,鳥貴族　枚方南口店,鳥貴族枚方南口店,株式会社鳥貴族
R03-101-437,ギャラリーカフェ     可祝,枚方市三矢町4番 9号2,,,川端美保子,2021/12/22,,072-396- 7025,2021/12/28,,289,ギャラリーカフェ     可祝,072,072-396-7025,,,,枚方市三矢町4番 9号2,大阪府枚方市三矢町４番９号２,,158888,27,27210,三矢町,,,2021/12/22,2021/12/28,,,川端美保子,,,,,,,,,R03-101-437,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ギャラリカフェ可祝072-396-702515888827210,32638441-f35a-453f-9f48-c13c329ddca1,,personal,20f2b855-e1b9-470f-925f-cb1f2e792d26,2021/12/22,ギャラリーカフェ　可祝,ギャラリカフェ可祝,
R03-101-435 ,京阪百貨店くずは店     ゴディバ,枚方市楠葉花園町15番1号   ,,,株式会社京阪百貨店 ,  2021/12/16,  06-6994-1313,072-836-1313,2021/12/28,,289,京阪百貨店くずは店     ゴディバ,072,072-836-1313,,,,枚方市楠葉花園町15番1号   ,大阪府枚方市楠葉花園町１５番１号,,158678,27,27210,楠葉花園町,,,2021/12/16,2021/12/28,,株式会社京阪百貨店 ,,06-6994-1313,,,,,,,,R03-101-435 ,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,京阪百貨店くずは店ゴディバ072-836-131315867827210,e25e834f-2cf7-409d-a401-57b81ee53f73,株式会社京阪百貨店　,b30a0716-ede5-467d-b7e7-f52eb2186659,e24e72df-36bc-4d3c-b477-5bcea2ac5188,2021/12/16,京阪百貨店くずは店　ゴディバ,京阪百貨店くずは店ゴディバ,株式会社京阪百貨店　
R03-101-454,s  h  i   n  e,枚方市宮之阪 2丁目3番7号,,,石原まや,2021/12/24,,,2021/12/28,,289,s  h  i   n  e,072,,,,,枚方市宮之阪 2丁目3番7号,大阪府枚方市宮ノ阪２丁目３番７号,,158898,27,27210,宮ノ阪２,,,2021/12/24,2021/12/28,,,石原まや,,,,,,,,,R03-101-454,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ｓｈｉｎｅ15889827210,de3dead2-9ed8-41f8-bbb8-e4a66b1814b4,,personal,5a79bc0a-ecb8-411b-93c1-64addcc1afcc,2021/12/24,ｓ　ｈ　ｉ　ｎ　ｅ,ｓｈｉｎｅ,
R03-101-405,枚方市立第一学校給食共同調理場,枚方市出屋敷西町2丁目6番 6号,,,株式会社東洋食品,2021/12/22,03-3836-1291,072-896-6153,2021/12/28,,289,枚方市立第一学校給食共同調理場,072,072-896-6153,,,,枚方市出屋敷西町2丁目6番 6号,大阪府枚方市出屋敷西町２丁目６番６号,,158962,27,27210,出屋敷西町２,,,2021/12/22,2021/12/28,,株式会社東洋食品,,03-3836-1291,,,,,,,,R03-101-405,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,枚方市立第一学校給食共同調理場072-896-615315896227210,330dd80a-a0e1-4cf9-b8c0-ebdc9d7735b5,株式会社東洋食品,6af4d2c8-60bc-4ec6-bdb7-b3051c829d2c,86b84202-9654-4858-9c37-f256490f4414,2021/12/22,枚方市立第一学校給食共同調理場,枚方市立第一学校給食共同調理場,株式会社東洋食品
R03-101-430,鶏 s  o  b  a     座銀くずはモール店,枚方市楠葉花園町15番1号,くずはモールダイニングストリート1  F,1  F,株式会社銀の葡萄,2021/12/14,06-7650-0078,072-808-8222,2021/12/14,,289,鶏 s  o  b  a     座銀くずはモール店,072,072-808-8222,,,,枚方市楠葉花園町15番1号,大阪府枚方市楠葉花園町１５番１号,くずはモールダイニングストリート1  F,158678,27,27210,楠葉花園町,,,2021/12/14,2021/12/14,,株式会社銀の葡萄,,06-7650-0078,,,,,,,,R03-101-430,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,鶏ｓｏｂａ座銀くずはモル店072-808-822215867827210,2d2c7219-05e8-4b25-b7f0-89d14a2dc25b,株式会社銀の葡萄,813adea3-b14b-4096-97c8-5269d98d8308,4bc1d4c1-0231-49cf-8e96-4bf34b08ebd7,2021/12/14,鶏　ｓ　ｏ　ｂ　ａ　座銀くずはモール店,鶏ｓｏｂａ座銀くずはモル店,株式会社銀の葡萄
R03-101-288,メディカルホーム     グランダ香里園,枚方市香里園山之手町 34番1号,,,株式会社  LEOC,2021/12/13,03-5220-8550,072-837-3555,2021/12/13,,289,メディカルホーム     グランダ香里園,072,072-837-3555,,,,枚方市香里園山之手町 34番1号,大阪府枚方市香里園山ノ手町３４番１号,,158696,27,27210,香里園山ノ手町,,,2021/12/13,2021/12/13,,株式会社  LEOC,,03-5220-8550,,,,,,,,R03-101-288,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,メディカルホムグランダ香里園072-837-355515869627210,245d2ee9-fdb7-4a97-a3b8-068439e6d3ac,株式会社ＬＥＯＣ,e1da72c9-cd94-49b4-aafb-165fe3c3aeac,c8f18f81-991d-41d3-a135-7abccca996cd,2021/12/13,メディカルホーム　グランダ香里園,メディカルホムグランダ香里園,株式会社ＬＥＯＣ
R03-101-301,クリーム本舗,枚方市長尾峠町1番50号,,,株式会社  CREAM HONPO,2021/12/01,,,2021/12/01,,289,クリーム本舗,072,,,,,枚方市長尾峠町1番50号,大阪府枚方市長尾峠町１番５０号,,158797,27,27210,長尾峠町,,,2021/12/01,2021/12/01,,株式会社  CREAM HONPO,,,,,,,,,,R03-101-301,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,クリム本舗15879727210,cd659163-6a31-4af3-b0b6-692b05757449,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ,48967f51-03df-44d3-a6cb-46b0c4524c47,fb3e8e97-5fb2-4f2c-a0b4-cef9c4c5cddf,2021/12/01,クリーム本舗,クリム本舗,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ
R03-101-302,クリーム本舗,枚方市長尾峠町1番50号,,,株式会社  CREAM HONPO,2021/12/01,,,2021/12/01,,289,クリーム本舗,072,,,,,枚方市長尾峠町1番50号,大阪府枚方市長尾峠町１番５０号,,158797,27,27210,長尾峠町,,,2021/12/01,2021/12/01,,株式会社  CREAM HONPO,,,,,,,,,,R03-101-302,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,クリム本舗15879727210,cd659163-6a31-4af3-b0b6-692b05757449,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ,48967f51-03df-44d3-a6cb-46b0c4524c47,286ee460-270f-48cd-a360-4fd8c4985915,2021/12/01,クリーム本舗,クリム本舗,株式会社ＣＲＥＡＭ　ＨＯＮＰＯ
R03-101-365,B a r     AMC,枚方市町楠葉1丁目4番10号,有馬パレス楠葉 201号,,株式会社    Amc,2021/12/3,072-380-3366,,2021/12/03,,289,B a r     AMC,072,,,,,枚方市町楠葉1丁目4番10号,大阪府枚方市町楠葉１丁目４番１０号,有馬パレス楠葉 201号,158885,27,27210,町楠葉１,,,2021/12/03,2021/12/03,,株式会社    Amc,,072-380-3366,,,,,,,,R03-101-365,,,,,,289_大阪府_枚方市保健所_食品衛生(許可)_2021年12月_末日_新規,,,,,ＢａｒＡＭＣ15888527210,ce8cc8ce-f6a8-4e29-bdef-45a96127b110,株式会社　Ａｍｃ,d825e7b3-3c3d-49c9-916e-0aad8438eada,6ace8bb8-58c0-42ab-995b-2a1fa8940336,2021/12/03,Ｂ　ａ　ｒ　ＡＭＣ,ＢａｒＡＭＣ,株式会社　Ａｍｃ
