https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,許可年月日,確認番号,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業者名,"営業者
電話番号",営業所名称,営業所所在地,,,"営業所
電話番号",業種,許可年月日,許可番号,許可の有効期限FROM,許可の有効期限TO,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
渡邉　輝,,ＢＯＯＢＥＥ　池下店,名古屋市千種区向陽一丁目１２番２０号　池下アミティ　２B号室,名古屋市千種区向陽１丁目１２番２０号,池下アミティ ２B号室,,飲食店営業,2021/10/4,3千保管第1-363号,2021/10/5,2028/8/20,,245,ＢＯＯＢＥＥ　池下店,052,,,,,名古屋市千種区向陽１丁目１２番２０号,愛知県名古屋市千種区向陽１丁目１２番２０号,池下アミティ ２B号室,113807,23,23101,向陽１,,,2021/10/04,2021/10/05,2028/08/20,,渡邉　輝,,,,,,,,,3千保管第1-363号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ＢＯＯＢＥＥ池下店11380723101,1f1eeb50-15f9-4860-bfa5-44484df26894,,personal,303eecc3-82fc-49cd-838b-e513b4eedd8c,2021/10/04,ＢＯＯＢＥＥ　池下店,ＢＯＯＢＥＥ池下店,
サトフードサービス株式会社 重里　政彦,06-7709-9905,和食さと　猪子石店,名古屋市千種区京命一丁目６番１７号　,名古屋市千種区京命１丁目６番１７号, ,775-5030,飲食店営業,2021/10/4,3千保管第1-344号,2021/10/4,2028/5/20,,245,和食さと　猪子石店,052,052-775-5030,,,,名古屋市千種区京命１丁目６番１７号,愛知県名古屋市千種区京命１丁目６番１７号, ,113810,23,23101,京命１,,,2021/10/04,2021/10/04,2028/05/20,サトフードサービス株式会社 重里　政彦,,06-7709-9905,,,,,,,,3千保管第1-344号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,和食さと猪子石店052-775-503011381023101,faefedd6-66d5-4a0e-9cd8-e70a9152c505,サトフードサービス株式会社重里　政彦,1ec178e5-9d2c-4cd0-8b61-560fd166b851,5dde8802-f275-4cb4-babc-6930717da950,2021/10/04,和食さと　猪子石店,和食さと猪子石店,サトフードサービス株式会社重里　政彦
サトフードサービス株式会社 重里　政彦,06-7709-9905,和食さと　猪子石店,名古屋市千種区京命一丁目６番１７号　,名古屋市千種区京命１丁目６番１７号, ,775-5030,食肉販売業,2021/10/4,3千保管第1-345号,2021/10/4,2028/5/20,,245,和食さと　猪子石店,052,052-775-5030,,,,名古屋市千種区京命１丁目６番１７号,愛知県名古屋市千種区京命１丁目６番１７号, ,113810,23,23101,京命１,,,2021/10/04,2021/10/04,2028/05/20,サトフードサービス株式会社 重里　政彦,,06-7709-9905,,,,,,,,3千保管第1-345号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,I,58,583,,和食さと猪子石店052-775-503011381023101,faefedd6-66d5-4a0e-9cd8-e70a9152c505,サトフードサービス株式会社重里　政彦,1ec178e5-9d2c-4cd0-8b61-560fd166b851,d4ecca8f-5914-4c99-a7ac-0def6658a44e,2021/10/04,和食さと　猪子石店,和食さと猪子石店,サトフードサービス株式会社重里　政彦
土屋　英明,,やさい料理　菜食志向,名古屋市千種区内山二丁目１５番２５号　今池愛銀コーポ１０３,名古屋市千種区内山２丁目１５番２５号, 今池愛銀コーポ１０３,,飲食店営業,2021/10/4,3千保管第1-342号,2021/10/15,2027/11/20,,245,やさい料理　菜食志向,052,,,,,名古屋市千種区内山２丁目１５番２５号,愛知県名古屋市千種区内山２丁目１５番２５号, 今池愛銀コーポ１０３,113772,23,23101,内山２,,,2021/10/04,2021/10/15,2027/11/20,,土屋　英明,,,,,,,,,3千保管第1-342号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,やさい料理菜食志向11377223101,eaee04dc-1bf1-4bfe-a0c3-eb03898525e8,,personal,4dea982c-9210-4f89-9b39-0a0db76c82f5,2021/10/04,やさい料理　菜食志向,やさい料理菜食志向,
堀口　はつ子,,カラオケ　リラ. フーセット,名古屋市千種区今池五丁目１２番９号　エスポワール神澤２－Ａ　,名古屋市千種区今池５丁目１２番９号,エスポワール神澤２－Ａ ,,飲食店営業,2021/10/5,3千保管第1-373号,2021/10/21,2027/10/20,,245,カラオケ　リラ. フーセット,052,,,,,名古屋市千種区今池５丁目１２番９号,愛知県名古屋市千種区今池５丁目１２番９号,エスポワール神澤２－Ａ ,113760,23,23101,今池５,,,2021/10/05,2021/10/21,2027/10/20,,堀口　はつ子,,,,,,,,,3千保管第1-373号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,カラオケリラフセット11376023101,67cee16c-01ef-4bc7-9e1b-4a5416adfcfc,,personal,8e8db682-c415-486b-9924-c2fe7ba7bebc,2021/10/05,カラオケ　リラ．　フーセット,カラオケリラフセット,
有限会社　ハックフィン 代表取締役　黒崎　栄介,741-7688,ハック　フィン,名古屋市千種区今池五丁目１９番７号　石井ビル　B１Ｆ,名古屋市千種区今池５丁目１９番７号,石井ビル B１Ｆ,733-8347,飲食店営業,2021/10/5,3千保管第1-388号,2021/10/21,2027/10/20,,245,ハック　フィン,052,052-733-8347,,,,名古屋市千種区今池５丁目１９番７号,愛知県名古屋市千種区今池５丁目１９番７号,石井ビル B１Ｆ,113760,23,23101,今池５,,,2021/10/05,2021/10/21,2027/10/20,有限会社　ハックフィン ,代表取締役　黒崎　栄介,052-741-7688,,,,,,,,3千保管第1-388号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ハックフィン052-733-834711376023101,df64bd64-baf7-4b05-8fcb-d56302e80110,有限会社ハックフィン　,e243d6de-7bde-4e0c-9d04-d0b16c72feff,639538e0-b9d7-4c98-9c53-8fc9900112b4,2021/10/05,ハック　フィン,ハックフィン,有限会社ハックフィン　
J.N.N産業株式会社 代表取締役　濱田　康則,,ソシアル,名古屋市千種区今池五丁目２０番１２号　ニューヘルスビル　３階・４階,名古屋市千種区今池５丁目２０番１２号,ニューヘルスビル ３階・４階,733-7498,飲食店営業,2021/10/5,3千保管第1-376号,2021/10/21,2027/10/20,,245,ソシアル,052,052-733-7498,,,,名古屋市千種区今池５丁目２０番１２号,愛知県名古屋市千種区今池５丁目２０番１２号,ニューヘルスビル ３階・４階,113760,23,23101,今池５,,,2021/10/05,2021/10/21,2027/10/20,J.N.N産業株式会社 ,代表取締役　濱田　康則,,,,,,,,,3千保管第1-376号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ソシアル052-733-749811376023101,4d545db7-1236-443e-a589-b074e7074c77,Ｊ．Ｎ．Ｎ産業株式会社,425305c8-98b9-4c79-b297-5c4c0f1307f0,570e9339-28ed-4870-a246-71db93ecb8fb,2021/10/05,ソシアル,ソシアル,Ｊ．Ｎ．Ｎ産業株式会社
小木曽　豊子,,舞　ファミリー,名古屋市千種区青柳町５丁目１２番地１　尾崎荘　１Ｆ,名古屋市千種区青柳町５丁目１２番地１,尾崎荘 １Ｆ,735-6077,飲食店営業,2021/10/6,3千保管第1-391号,2021/10/21,2027/10/20,,245,舞　ファミリー,052,052-735-6077,,,,名古屋市千種区青柳町５丁目１２番地１,愛知県名古屋市千種区青柳町５丁目１２番地１,尾崎荘 １Ｆ,113501,23,23101,青柳町５,,,2021/10/06,2021/10/21,2027/10/20,,小木曽　豊子,,,,,,,,,3千保管第1-391号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,舞ファミリ052-735-607711350123101,740937c6-56e9-4f33-99ed-4260f6f15cc9,,personal,8f94ddb0-5b65-4844-9938-6fa57b771252,2021/10/06,舞　ファミリー,舞ファミリ,
鈴木　健造,,香味屋,名古屋市千種区今池南１６番２５号　ライオンズマンション千種１０２号,名古屋市千種区今池南１６番２５号 ,ライオンズマンション千種１０２号,,飲食店営業,2021/10/8,3千保管第1-372号,2021/11/1,2027/12/20,,245,香味屋,052,,,,,名古屋市千種区今池南１６番２５号 ,愛知県名古屋市千種区今池南１６番２５号,ライオンズマンション千種１０２号,113818,23,23101,今池南,,,2021/10/08,2021/11/01,2027/12/20,,鈴木　健造,,,,,,,,,3千保管第1-372号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,香味屋11381823101,e68034c6-29c2-4ad5-9db3-cab8efbbfc84,,personal,fd15f429-51bd-453f-8f62-1bd67c1f3c8b,2021/10/08,香味屋,香味屋,
鈴木　葉月,,気分屋なわたし,名古屋市千種区今池五丁目２０番２０号　今池グランドビル３階Ｈ号,名古屋市千種区今池５丁目２０番２０号,今池グランドビル３階Ｈ号,,飲食店営業,2021/10/7,3千保管第1-309号,2021/11/1,2028/10/20,,245,気分屋なわたし,052,,,,,名古屋市千種区今池５丁目２０番２０号,愛知県名古屋市千種区今池５丁目２０番２０号,今池グランドビル３階Ｈ号,113760,23,23101,今池５,,,2021/10/07,2021/11/01,2028/10/20,,鈴木　葉月,,,,,,,,,3千保管第1-309号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,気分屋なわたし11376023101,026e682d-39eb-4a40-9d47-69ba7401b81f,,personal,f25a77b5-2ff6-4431-a946-f4cb8b49d89b,2021/10/07,気分屋なわたし,気分屋なわたし,
有限会社　釈迦力 代表取締役　服部　正治,741-4448,握り舎　鮪馳,名古屋市千種区今池五丁目１２番６号　,名古屋市千種区今池５丁目１２番６号, ,741-4448,飲食店営業,2021/10/7,3千保管第1-329号,2021/10/21,2027/10/20,,245,握り舎　鮪馳,052,052-741-4448,,,,名古屋市千種区今池５丁目１２番６号,愛知県名古屋市千種区今池５丁目１２番６号, ,113760,23,23101,今池５,,,2021/10/07,2021/10/21,2027/10/20,有限会社　釈迦力 ,代表取締役　服部　正治,052-741-4448,,,,,,,,3千保管第1-329号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,握り舎鮪馳052-741-444811376023101,00af0f5b-2291-4f6f-9644-1017c0b486ce,有限会社釈迦力　,7512a96a-468a-4783-af2e-97b4a5774314,a9c7e28a-8471-4620-9e7a-27acb4a11560,2021/10/07,握り舎　鮪馳,握り舎鮪馳,有限会社釈迦力　
株式会社中久フードサービス 代表取締役　中西　久子,0567-74-1864,倭いち,名古屋市千種区丘上町２丁目３４番地４　ハイネスヴィレッジ１０３号,名古屋市千種区丘上町２丁目３４番地４,ハイネスヴィレッジ１０３号,734-8422,飲食店営業,2021/10/14,3千保管第1-339号,2021/10/15,2028/3/20,,245,倭いち,052,052-734-8422,,,,名古屋市千種区丘上町２丁目３４番地４,愛知県名古屋市千種区丘上町２丁目３４番地４,ハイネスヴィレッジ１０３号,113535,23,23101,丘上町２,,,2021/10/14,2021/10/15,2028/03/20,株式会社中久フードサービス ,代表取締役　中西　久子,0567-74-1864,,,,,,,,3千保管第1-339号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,倭いち052-734-842211353523101,6dba6c7e-0e5b-4635-aba8-29bc79bf2ebf,株式会社中久フードサービス　,f3c6d2e2-abc7-4551-a69c-ceccc0f33207,d33776e1-3aef-41c7-87d9-3b8561b3e14b,2021/10/14,倭いち,倭いち,株式会社中久フードサービス　
有限会社　鮮魚・田中 代表取締役　田中　雅芳,0561-62-4076,有限会社　鮮魚・田中,名古屋市千種区今池五丁目９番２１号　,名古屋市千種区今池５丁目９番２１号, ,731-4276,魚介類販売業,2021/10/11,3千保管第1-387号,2021/10/21,2027/10/20,,245,有限会社　鮮魚・田中,052,052-731-4276,,,,名古屋市千種区今池５丁目９番２１号,愛知県名古屋市千種区今池５丁目９番２１号, ,113760,23,23101,今池５,,,2021/10/11,2021/10/21,2027/10/20,有限会社　鮮魚・田中 ,代表取締役　田中　雅芳,0561-62-4076,,,,,,,,3千保管第1-387号,,魚介類販売業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,I,58,,,有限会社鮮魚田中052-731-427611376023101,14e3cff4-0cd6-4f1c-adef-5567f93f5758,有限会社鮮魚・田中　,ce4ba5e8-88f2-4224-9f8b-57f254600965,9da7de5c-6e8e-4af6-b621-fa827109bb67,2021/10/11,有限会社鮮魚・田中,有限会社鮮魚田中,有限会社鮮魚・田中　
株式会社　Ｐｉｃｔｕｒｅ　Ｓｔｙｌｅ 代表取締役　丹羽　絵美子,768-7175,ＩＭＡＩＫＥ　ＢＡＲＵ,名古屋市千種区今池五丁目８番２４号　,名古屋市千種区今池５丁目８番２４号, ,731-5889,飲食店営業,2021/10/11,3千保管第1-386号,2021/10/21,2027/10/20,,245,ＩＭＡＩＫＥ　ＢＡＲＵ,052,052-731-5889,,,,名古屋市千種区今池５丁目８番２４号,愛知県名古屋市千種区今池５丁目８番２４号, ,113760,23,23101,今池５,,,2021/10/11,2021/10/21,2027/10/20,株式会社　Ｐｉｃｔｕｒｅ　Ｓｔｙｌｅ ,代表取締役　丹羽　絵美子,052-768-7175,,,,,,,,3千保管第1-386号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生()_2021年10月-2021年11月_末日,M,76,,,ＩＭＡＩＫＥＢＡＲＵ052-731-588911376023101,e09e5910-0e69-4354-ae21-fe024e37f5c3,株式会社Ｐｉｃｔｕｒｅ　Ｓｔｙｌｅ　,1b97befe-d29b-4329-a212-429e81f845da,bc40e66d-902a-4c3b-b4ec-f78a764f31fc,2021/10/11,ＩＭＡＩＫＥ　ＢＡＲＵ,ＩＭＡＩＫＥＢＡＲＵ,株式会社Ｐｉｃｔｕｒｅ　Ｓｔｙｌｅ　
