https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,業態,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,10,愛媛県,松山市,麺屋勝十銭,,,飲食店営業,一般食堂・レストラン等の飲食店営業,松山市三番町１丁目９－９,永田ビル１Ｆ,,,,加藤 知保,,,,,第00000186号,R3.5.31,R3.5.31,,R8.6.30,,,,,,377,麺屋勝十銭,089,,,,,松山市三番町１丁目９－９,愛媛県松山市三番町１丁目９－９,永田ビル１Ｆ,193877,38,38201,三番町１,,2021/05/31,2021/05/31,,2026/06/30,,加藤 知保  ,,,,,,,,,第00000186号,,飲食店営業, 一般食堂・レストラン等の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,麺屋勝十銭19387738201,0cd56903-bb6a-44bd-b745-6c6b5bcec675,,personal,7a3bc66f-1811-467c-b578-d614d12dd028,2021/05/31,麺屋勝十銭,麺屋勝十銭,
382019,11,愛媛県,松山市,永田屋,,,飲食店営業,仕出し屋・弁当屋,松山市平和通２丁目１－１,石丸ビル１Ｆ,,,,,有限会社永田屋,,代表取締役,永田 耕司,第00000118号,R3.5.7,R3.5.7,,R8.6.30,,,,,,377,永田屋,089,,,,,松山市平和通２丁目１－１,愛媛県松山市平和通２丁目１－１,石丸ビル１Ｆ,194047,38,38201,平和通２,,2021/05/07,2021/05/07,,2026/06/30,有限会社永田屋,永田 耕司,,,,,,,,,第00000118号,,飲食店営業, 仕出し屋・弁当屋,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,永田屋19404738201,24646f6f-78d0-487f-a93f-ea31d5961571,有限会社永田屋,5dfc886b-9f45-4d59-aab7-6053013af9e0,5352c636-c0f4-4658-b5a8-4b08e5e1ede1,2021/05/07,永田屋,永田屋,有限会社永田屋
382019,12,愛媛県,松山市,お弁当の福松,,,飲食店営業,仕出し屋・弁当屋,松山市北梅本町３２６１－６,,,,089-904-1388,松本 貴,,,,,第00000126号,R3.5.10,R3.5.10,,R8.6.30,,,,,,377,お弁当の福松,089,089-904-1388,,,,松山市北梅本町３２６１－６,愛媛県松山市北梅本町３２６１－６,,193822,38,38201,北梅本町,,2021/05/10,2021/05/10,,2026/06/30,,松本 貴  ,,,,,,,,,第00000126号,,飲食店営業, 仕出し屋・弁当屋,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,お弁当の福松089-904-138819382238201,b45ee602-d611-426e-9f6d-f5480e53a66d,,personal,a714cdf9-4313-41de-8122-617165eb1e33,2021/05/10,お弁当の福松,お弁当の福松,
382019,13,愛媛県,松山市,ナマステ ＲＡＲＡ,,,飲食店営業,仕出し屋・弁当屋,松山市緑町１丁目６－１７,黒田第一ビル１Ｆ,,,,,チャマル合同会社,,代表社員,ブサル 英梨,第00000135号,R3.5.13,R3.5.13,,R8.6.30,,,,,,377,ナマステ ＲＡＲＡ,089,,,,,松山市緑町１丁目６－１７,愛媛県松山市緑町１丁目６－１７,黒田第一ビル１Ｆ,194085,38,38201,緑町１,,2021/05/13,2021/05/13,,2026/06/30,チャマル合同会社,ブサル 英梨,,,,,,,,,第00000135号,,飲食店営業, 仕出し屋・弁当屋,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ナマステＲＡＲＡ19408538201,9d6d09a3-c629-4d99-90c1-44360dee31d2,チャマル合同会社,c19e449f-a39c-4164-ba9d-d008927632e8,8470cde8-93c6-4713-ba1d-981b67c53f4c,2021/05/13,ナマステ　ＲＡＲＡ,ナマステＲＡＲＡ,チャマル合同会社
382019,14,愛媛県,松山市,ひなた弁当,,,飲食店営業,仕出し屋・弁当屋,松山市中央１丁目１２－３３,きくちビル１階,,,,小林 建太,,,,,第00000162号,R3.5.25,R3.5.25,,R8.6.30,,,,,,377,ひなた弁当,089,,,,,松山市中央１丁目１２－３３,愛媛県松山市中央１丁目１２－３３,きくちビル１階,193957,38,38201,中央１,,2021/05/25,2021/05/25,,2026/06/30,,小林 建太  ,,,,,,,,,第00000162号,,飲食店営業, 仕出し屋・弁当屋,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ひなた弁当19395738201,44c99004-0c7e-4d26-b32c-d5869203f402,,personal,ed372307-2ec7-4183-9116-9e800dba439a,2021/05/25,ひなた弁当,ひなた弁当,
382019,15,愛媛県,松山市,智ちゃん弁当,,,飲食店営業,仕出し屋・弁当屋,松山市西長戸町２１９－５,,,,,森 優作,,,,,第00000166号,R3.5.26,R3.5.26,,R8.6.30,,,,,,377,智ちゃん弁当,089,,,,,松山市西長戸町２１９－５,愛媛県松山市西長戸町２１９－５,,193999,38,38201,西長戸町,,2021/05/26,2021/05/26,,2026/06/30,,森 優作  ,,,,,,,,,第00000166号,,飲食店営業, 仕出し屋・弁当屋,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,智ちゃん弁当19399938201,ec24a928-e40f-472c-a08d-dd697bbfbd95,,personal,0440f885-a7df-472a-a994-ca84c468ba94,2021/05/26,智ちゃん弁当,智ちゃん弁当,
382019,16,愛媛県,松山市,Ａ Ｓａｎｔ?,,,飲食店営業,上記以外の飲食店営業,松山市三番町３丁目５－７,本江ビル１階（東）,,,,飛田 文,,,,,第00000116号,R3.5.6,R3.5.6,,R8.6.30,,,,,,377,Ａ Ｓａｎｔ?,089,,,,,松山市三番町３丁目５－７,愛媛県松山市三番町３丁目５－７,本江ビル１階（東）,193879,38,38201,三番町３,,2021/05/06,2021/05/06,,2026/06/30,,飛田 文  ,,,,,,,,,第00000116号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ＡＳａｎｔ19387938201,cbfd699f-39fc-4d3d-a159-432ebe71ef0e,,personal,5b766b12-8bb3-4704-8aa6-af71c3b0baa4,2021/05/06,Ａ　Ｓａｎｔ？,ＡＳａｎｔ,
382019,17,愛媛県,松山市,歌ごえ喫茶およりまっせ,,,飲食店営業,上記以外の飲食店営業,松山市平井町８６１－２,,,,089-970-3686,岡本 清子,,,,,第00000119号,R3.5.7,R3.5.7,,R8.6.30,,,,,,377,歌ごえ喫茶およりまっせ,089,089-970-3686,,,,松山市平井町８６１－２,愛媛県松山市平井町８６１－２,,194034,38,38201,平井町,,2021/05/07,2021/05/07,,2026/06/30,,岡本 清子  ,,,,,,,,,第00000119号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,歌ごえ喫茶およりまっせ089-970-368619403438201,a9d505ad-81aa-4b3d-902d-cb2b2e61e10f,,personal,a8a9f2b5-ceb9-431b-8e27-feb6e16a8db8,2021/05/07,歌ごえ喫茶およりまっせ,歌ごえ喫茶およりまっせ,
382019,18,愛媛県,松山市,ＬＥ ＣＬＵＢ,,,飲食店営業,上記以外の飲食店営業,松山市二番町１丁目９－２０,キーホールビル Ｂ１Ｆ,,,931-1995,村田 英則,,,,,第00000122号,R3.5.10,R3.5.10,,R8.6.30,,,,,,377,ＬＥ ＣＬＵＢ,089,089-931-1995,,,,松山市二番町１丁目９－２０,愛媛県松山市二番町１丁目９－２０,キーホールビル Ｂ１Ｆ,194002,38,38201,二番町１,,2021/05/10,2021/05/10,,2026/06/30,,村田 英則  ,,,,,,,,,第00000122号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ＬＥＣＬＵＢ089-931-199519400238201,ed73eb3c-360f-4c05-8deb-a9c84d60749e,,personal,f74ea563-a1e7-4e35-afab-30e4c4a7acfb,2021/05/10,ＬＥ　ＣＬＵＢ,ＬＥＣＬＵＢ,
382019,19,愛媛県,松山市,居酒屋 わいわい,,,飲食店営業,上記以外の飲食店営業,松山市大手町２丁目９－１７,１Ｆ,,,933-7789,瀧川 美穂,,,,,第00000123号,R3.5.10,R3.5.10,,R8.6.30,,,,,,377,居酒屋 わいわい,089,089-933-7789,,,,松山市大手町２丁目９－１７,愛媛県松山市大手町２丁目９－１７,１Ｆ,193781,38,38201,大手町２,,2021/05/10,2021/05/10,,2026/06/30,,瀧川 美穂  ,,,,,,,,,第00000123号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,居酒屋わいわい089-933-778919378138201,fe2663be-8b56-4f34-9f7c-f3125a512f32,,personal,7d8cf546-bac6-40c9-9f5c-2c2a44f1979a,2021/05/10,居酒屋　わいわい,居酒屋わいわい,
382019,20,愛媛県,松山市,居酒屋びぃ,,,飲食店営業,上記以外の飲食店営業,松山市三番町２丁目５－１,１Ｆ,,,,乘松 淳一,,,,,第00000124号,R3.5.10,R3.5.10,,R8.6.30,,,,,,377,居酒屋びぃ,089,,,,,松山市三番町２丁目５－１,愛媛県松山市三番町２丁目５－１,１Ｆ,193878,38,38201,三番町２,,2021/05/10,2021/05/10,,2026/06/30,,乘松 淳一  ,,,,,,,,,第00000124号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,居酒屋びぃ19387838201,2c478ddd-819d-4ec7-9232-f02da0d023a6,,personal,91f8ff6f-fadb-48fb-b38c-4f623ad86a4b,2021/05/10,居酒屋びぃ,居酒屋びぃ,
382019,21,愛媛県,松山市,ＬＯＯＳＥ,,,飲食店営業,上記以外の飲食店営業,松山市三番町２丁目１０－６,ＰＬＵＭ三番町３Ｆ,,,,,株式会社ＦＵＮＶＩＤＥ,,代表取締役,藤代 洋介,第00000127号,R3.5.11,R3.5.11,,R8.6.30,,,,,,377,ＬＯＯＳＥ,089,,,,,松山市三番町２丁目１０－６,愛媛県松山市三番町２丁目１０－６,ＰＬＵＭ三番町３Ｆ,193878,38,38201,三番町２,,2021/05/11,2021/05/11,,2026/06/30,株式会社ＦＵＮＶＩＤＥ,藤代 洋介,,,,,,,,,第00000127号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ＬＯＯＳＥ19387838201,ecacd999-1395-4730-90f5-afbe39cc74c7,株式会社ＦＵＮＶＩＤＥ,dc85f9e5-561d-46cc-9eee-3e6361077fb6,9222cefa-ec78-483e-beb7-af3b77f13901,2021/05/11,ＬＯＯＳＥ,ＬＯＯＳＥ,株式会社ＦＵＮＶＩＤＥ
382019,22,愛媛県,松山市,ＥＫＩＮＯＮＥＫＩ,,,飲食店営業,上記以外の飲食店営業,松山市土手内１２－１,,,,,,ＶＳＪ合同会社,,代表社員,三好 紀彰,第00000129号,R3.5.12,R3.5.12,,R8.6.30,,,,,,377,ＥＫＩＮＯＮＥＫＩ,089,,,,,松山市土手内１２－１,愛媛県松山市土手内１２－１,,194326,38,38201,土手内,,2021/05/12,2021/05/12,,2026/06/30,ＶＳＪ合同会社,三好 紀彰,,,,,,,,,第00000129号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ＥＫＩＮＯＮＥＫＩ19432638201,fcf0f6e1-af54-42fd-96c3-814df662fe3e,ＶＳＪ合同会社,a43e5dc1-f43b-437b-84d8-d6dbd8e3e495,0b6c8e3c-f779-45b1-b3b6-b091f0f1adc7,2021/05/12,ＥＫＩＮＯＮＥＫＩ,ＥＫＩＮＯＮＥＫＩ,ＶＳＪ合同会社
382019,23,愛媛県,松山市,ピザハット ＪＲ松山駅前店,,,飲食店営業,上記以外の飲食店営業,松山市三番町８丁目３２５－２,松山市農協ビル別館１Ｆ,,,089-915-1212,,ウェーブピクチャー株式会社,,代表取締役,赤松 重臣,第00000131号,R3.5.12,R3.5.12,,R8.6.30,,,,,,377,ピザハット ＪＲ松山駅前店,089,089-915-1212,,,,松山市三番町８丁目３２５－２,愛媛県松山市三番町８丁目３２５－２,松山市農協ビル別館１Ｆ,193884,38,38201,三番町８,,2021/05/12,2021/05/12,,2026/06/30,ウェーブピクチャー株式会社,赤松 重臣,,,,,,,,,第00000131号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ピザハットＪＲ松山駅前店089-915-121219388438201,02f9b330-a4a3-4d75-b363-95a35a8b82f6,ウェーブピクチャー株式会社,736c94c8-881b-4176-9d56-becc322e4b28,62fa460b-fbc0-4104-9f0d-28f87f3bbf18,2021/05/12,ピザハット　ＪＲ松山駅前店,ピザハットＪＲ松山駅前店,ウェーブピクチャー株式会社
382019,24,愛媛県,松山市,スナック灯,,,飲食店営業,上記以外の飲食店営業,松山市二番町１丁目５－１７,相原二番町ビル２Ｆ,,,,渡邉 ひろみ,,,,,第00000132号,R3.5.13,R3.5.13,,R8.6.30,,,,,,377,スナック灯,089,,,,,松山市二番町１丁目５－１７,愛媛県松山市二番町１丁目５－１７,相原二番町ビル２Ｆ,194002,38,38201,二番町１,,2021/05/13,2021/05/13,,2026/06/30,,渡邉 ひろみ  ,,,,,,,,,第00000132号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,スナック灯19400238201,8522407b-0687-438e-a221-f8b4dfd23c6d,,personal,7e5f6720-8c69-4fe4-b224-507590fd097c,2021/05/13,スナック灯,スナック灯,
382019,25,愛媛県,松山市,ＴＯＭＭＹ’Ｓ,,,飲食店営業,上記以外の飲食店営業,松山市千舟町２丁目８－１,三好ビル１Ｆ,,,,富田 光,,,,,第00000134号,R3.5.13,R3.5.13,,R8.6.30,,,,,,377,ＴＯＭＭＹ’Ｓ,089,,,,,松山市千舟町２丁目８－１,愛媛県松山市千舟町２丁目８－１,三好ビル１Ｆ,193950,38,38201,千舟町２,,2021/05/13,2021/05/13,,2026/06/30,,富田 光  ,,,,,,,,,第00000134号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,ＴＯＭＭＹＳ19395038201,5c9b990c-b351-4d15-9b27-d24633b9441c,,personal,6182aff5-a413-4939-854d-ecb958a69538,2021/05/13,ＴＯＭＭＹ＇Ｓ,ＴＯＭＭＹＳ,
382019,26,愛媛県,松山市,スナック今夕,,,飲食店営業,上記以外の飲食店営業,松山市北条辻１４０６,３７３ＨＯＵＳＥ １Ｆ,,,089-992-5680,谷脇 明美,,,,,第00000138号,R3.5.14,R3.5.14,,R8.6.30,,,,,,377,スナック今夕,089,089-992-5680,,,,松山市北条辻１４０６,愛媛県松山市北条辻１４０６,３７３ＨＯＵＳＥ １Ｆ,194345,38,38201,北条辻,,2021/05/14,2021/05/14,,2026/06/30,,谷脇 明美  ,,,,,,,,,第00000138号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,スナック今夕089-992-568019434538201,37e16e7e-adb3-42aa-bc72-266b1f97b695,,personal,11565a8f-8927-408f-adbc-767f2fd5f072,2021/05/14,スナック今夕,スナック今夕,
382019,27,愛媛県,松山市,しまのぱんかふぇ ｔｅｔｏｔｅ,,,飲食店営業,上記以外の飲食店営業,松山市熊田甲６９６,,,,089-997-1536,山田 健生,,,,,第00000139号,R3.5.14,R3.5.14,,R8.6.30,,,,,,377,しまのぱんかふぇ ｔｅｔｏｔｅ,089,089-997-1536,,,,松山市熊田甲６９６,愛媛県松山市熊田甲６９６,,194303,38,38201,熊田,,2021/05/14,2021/05/14,,2026/06/30,,山田 健生  ,,,,,,,,,第00000139号,,飲食店営業, 上記以外の飲食店営業,,,377_愛媛県_松山市保健所_食品衛生()_2021年05月_末日.csv,M,76,,,しまのぱんかふぇｔｅｔｏｔｅ089-997-153619430338201,268688d2-5025-4f5a-b3d7-a5969cb33cff,,personal,48ab77e0-cabd-4a80-a2d8-72583bf37b1a,2021/05/14,しまのぱんかふぇ　ｔｅｔｏｔｅ,しまのぱんかふぇｔｅｔｏｔｅ,
