https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,確認番号,許可年月日,業種,申請-電話番号1,開業年月日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
屋号,,営業所所在地,営業所TEL1,営業者名,許可番号,許可開始日,業種,"営業者TEL1
情報公開用",初回許可日,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
ウルフギャング·パック池袋店,豊島区,東池袋一丁目21番13号,5957-2833,株式会社ダブリューピィージャパン,1-29-01903,平成30年1月1日,【~R3.5】飲食店営業(飲食一般),045-274-5970,平成22年12月6日,更新,,195,ウルフギャング·パック池袋店,03,03-5957-2833,,,,豊島区　東池袋一丁目21番13号,東京都豊島区東池袋１丁目２１番１３号,,74830,13,13116,東池袋１,,2010/12/06,2018/01/01,,,株式会社ダブリューピィージャパン,,045-274-5970,,,,,,,,1-29-01903,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ウルフギャングパック池袋店03-5957-28337483013116,0eb9da90-a992-4c12-b46b-a484d13df35d,株式会社ダブリューピィージャパン,ad07a8e1-a75a-4a23-8e65-e46d3328cf44,871ae5ef-b926-477d-990e-867baac6f57b,2018/01/01,ウルフギャング・パック池袋店,ウルフギャングパック池袋店,株式会社ダブリューピィージャパン
鶏魚きっちん　池袋店,豊島区,東池袋一丁目23番12号,3590-0331,株式会社Y&Makioフーズ,1-28-01265,平成28年11月1日,【~~3.5】飲食店営業(飲食一般·焼肉等),3590-0331,平成22年10月26日,更新,,195,鶏魚きっちん　池袋店,03,03-3590-0331,,,,豊島区　東池袋一丁目23番12号,東京都豊島区東池袋１丁目２３番１２号,,74830,13,13116,東池袋１,,2010/10/26,2016/11/01,,,株式会社Y&Makioフーズ,,03-3590-0331,,,,,,,,1-28-01265,,飲食店営業,（焼肉等）,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,鶏魚きっちん池袋店03-3590-03317483013116,d19e019f-5a34-4c86-95af-45509bf33d88,株式会社Ｙ＆Ｍａｋｉｏフーズ,9657cfce-2d32-421b-a14c-4622ab3c7f67,ae6aa4d8-5a65-4287-93ae-d6c78dd15838,2016/11/01,鶏魚きっちん　池袋店,鶏魚きっちん池袋店,株式会社Ｙ＆Ｍａｋｉｏフーズ
"元祖""名古屋中華""龍美",豊島区,東池袋一丁目27番5号,,斎藤隼,1-03-01266,,1飲食店営業(一般·中華),,,新規,,195,"元祖""名古屋中華""龍美",03,,,,,豊島区　東池袋一丁目27番5号,東京都豊島区東池袋１丁目２７番５号,,74830,13,13116,東池袋１,,,,,,,斎藤隼,,,,,,,,,1-03-01266,,飲食店営業,（中華）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,元祖＂名古屋中華＂龍美7483013116,4e4167e6-274b-454c-ae30-05378ceeccde,,personal,475a70e3-cd0a-4b6a-976c-9dc8c89312cb,2021/11/01,元祖＂名古屋中華＂龍美,元祖＂名古屋中華＂龍美,
タリーズコーヒーキュープラザ池袋店,豊島区,東池袋一丁目30番3号,03-5956-8008,タリーズコーヒージャパン株式会社	,1-03-01237,令和3年11月30日,1飲食店営業(一般),03-3268-8282,令和3年11月30日,新規,,195,タリーズコーヒーキュープラザ池袋店,03,03-5956-8008,,,,豊島区　東池袋一丁目30番3号,東京都豊島区東池袋１丁目３０番３号,,74830,13,13116,東池袋１,,2021/11/30,2021/11/30,,,タリーズコーヒージャパン株式会社	,,03-3268-8282,,,,,,,,1-03-01237,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,タリズコヒキュプラザ池袋店03-5956-80087483013116,37edbfd0-1898-4a0d-a957-a1cc0b883c17,タリーズコーヒージャパン株式会社	,b7130249-e256-4f0f-88c6-0aded806f2f4,8d6f9591-e59c-4c87-8915-19df542f1077,2021/11/30,タリーズコーヒーキュープラザ池袋店,タリズコヒキュプラザ池袋店,タリーズコーヒージャパン株式会社	
食甜,豊島区,東池袋一丁目31番7号,,Eat Sweet Live Sweet株式会社,1-03-01153,令和3年11月4日,1飲食店営業(一般),,令和3年11月4日,新規,,195,食甜,03,,,,,豊島区　東池袋一丁目31番7号,東京都豊島区東池袋１丁目３１番７号,,74830,13,13116,東池袋１,,2021/11/04,2021/11/04,,,Eat Sweet Live Sweet株式会社,,,,,,,,,,1-03-01153,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,食甜7483013116,04228cc9-d9e1-4d35-b299-475192acefc9,Ｅａｔ　Ｓｗｅｅｔ　Ｌｉｖｅ　Ｓｗｅｅｔ株式会社,d47da15d-a73d-43dd-943b-20e3bc96a5ba,b788cf7e-1758-4034-8204-6b364741aba6,2021/11/04,食甜,食甜,Ｅａｔ　Ｓｗｅｅｔ　Ｌｉｖｅ　Ｓｗｅｅｔ株式会社
食甜,豊島区,東池袋一丁目31番7号,,Eat Sweet Live Sweet株式会社,1-03-01154,令和3年11月4日,11菓子製造業(菓製その他),,令和3年11月4日,新規,,195,食甜,03,,,,,豊島区　東池袋一丁目31番7号,東京都豊島区東池袋１丁目３１番７号,,74830,13,13116,東池袋１,,2021/11/04,2021/11/04,,,Eat Sweet Live Sweet株式会社,,,,,,,,,,1-03-01154,,菓子製造業,(菓製その他),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,食甜7483013116,04228cc9-d9e1-4d35-b299-475192acefc9,Ｅａｔ　Ｓｗｅｅｔ　Ｌｉｖｅ　Ｓｗｅｅｔ株式会社,d47da15d-a73d-43dd-943b-20e3bc96a5ba,16055bc0-3132-4acd-8b79-1a6ef4894a13,2021/11/04,食甜,食甜,Ｅａｔ　Ｓｗｅｅｔ　Ｌｉｖｅ　Ｓｗｅｅｔ株式会社
いろは,豊島区,東池袋一丁目35番1号,3989-8615,株式会社桜花,1-03-01234,令和3年11月29日,1飲食店営業(一般),3989-8615,令和3年11月29日,新規,,195,いろは,03,03-3989-8615,,,,豊島区　東池袋一丁目35番1号,東京都豊島区東池袋１丁目３５番１号,,74830,13,13116,東池袋１,,2021/11/29,2021/11/29,,,株式会社桜花,,03-3989-8615,,,,,,,,1-03-01234,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,いろは03-3989-86157483013116,3d0ec720-30df-46b4-8b21-c82a37bb0029,株式会社桜花,8e3540c7-a6b7-488f-9971-fb87781acc65,c4e96d11-d7d6-4231-8774-10479d5140fc,2021/11/29,いろは,いろは,株式会社桜花
焼鳥亭　まさ樹,豊島区,東池袋一丁目37番6号,3980-1122,佐藤正朗,1-02-02374,令和3年3月12日,【~R3.5】飲食店営業(飲食一般),,令和3年3月12日,新規,,195,焼鳥亭　まさ樹,03,03-3980-1122,,,,豊島区　東池袋一丁目37番6号,東京都豊島区東池袋１丁目３７番６号,,74830,13,13116,東池袋１,,2021/03/12,2021/03/12,,,,佐藤正朗,,,,,,,,,1-02-02374,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,焼鳥亭まさ樹03-3980-11227483013116,64f330bc-4cf4-4112-ba4e-33c6ed72a082,,personal,a8c72ea7-88af-4aa3-9a2a-c40d7a9ef679,2021/03/12,焼鳥亭　まさ樹,焼鳥亭まさ樹,
ぷんぷりぷいっこ,豊島区,東池袋一丁目39番2号,03-5944-9339,株式会社ディメンショントロワ,1-03-01268,令和3年11月29日,1飲食店営業(一般),03-6384-7925,令和3年11月29日,新規,,195,ぷんぷりぷいっこ,03,03-5944-9339,,,,豊島区　東池袋一丁目39番2号,東京都豊島区東池袋１丁目３９番２号,,74830,13,13116,東池袋１,,2021/11/29,2021/11/29,,,株式会社ディメンショントロワ,,03-6384-7925,,,,,,,,1-03-01268,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ぷんぷりぷいっこ03-5944-93397483013116,ac5d5a8f-0773-45f0-a47d-1182f144cac5,株式会社ディメンショントロワ,6cb44f15-7d03-4749-8944-a442bde78837,8d7290f8-22e8-44f1-b6b4-dff137f07799,2021/11/29,ぷんぷりぷいっこ,ぷんぷりぷいっこ,株式会社ディメンショントロワ
SALVATORE　CUOMO&BAR　池袋東口,豊島区,東池袋一丁目39番4号,3984-4365,株式会社ワイズテーブルコーポレーション,1-28-01436,平成28年12月1日,【~R3.5】飲食店営業(飲食一般),03-5412-0065,平成21年11月11日,更新,,195,SALVATORE　CUOMO&BAR　池袋東口,03,03-3984-4365,,,,豊島区　東池袋一丁目39番4号,東京都豊島区東池袋１丁目３９番４号,,74830,13,13116,東池袋１,,2009/11/11,2016/12/01,,,株式会社ワイズテーブルコーポレーション,,03-5412-0065,,,,,,,,1-28-01436,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＳＡＬＶＡＴＯＲＥＣＵＯＭＯＢＡＲ池袋東口03-3984-43657483013116,02ad53d7-38ee-42f0-b77b-8f9fc993147b,株式会社ワイズテーブルコーポレーション,b9c21fea-d303-4aaf-b682-9133b4478e2b,77950dc7-05a0-44a2-a6c3-a1d024545b6f,2016/12/01,ＳＡＬＶＡＴＯＲＥ　ＣＵＯＭＯ＆ＢＡＲ　池袋東口,ＳＡＬＶＡＴＯＲＥＣＵＯＭＯＢＡＲ池袋東口,株式会社ワイズテーブルコーポレーション
有限会社　加賀屋,豊島区,東池袋一丁目41番16号,3984-1194,有限会社加賀屋,1-02-00613,令和2年7月1日,【~R3.5】飲食店営業(飲食一般·酒場),3982-8373,昭和56年6月20日,更新,,195,有限会社　加賀屋,03,03-3984-1194,,,,豊島区　東池袋一丁目41番16号,東京都豊島区東池袋１丁目４１番１６号,,74830,13,13116,東池袋１,,1981/06/20,2020/07/01,,,有限会社加賀屋,,03-3982-8373,,,,,,,,1-02-00613,,飲食店営業,（酒場）,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,有限会社加賀屋03-3984-11947483013116,8162bae3-31b9-4d8c-b2a2-e833044631f2,有限会社加賀屋,2472e2a3-00ba-4244-bee8-60e503877f20,9bf60002-56d6-41d1-b9f5-1495c37a0997,2020/07/01,有限会社加賀屋,有限会社加賀屋,有限会社加賀屋
「#はぴねす」MOANAアカデミー池袋校,豊島区,東池袋一丁目42番18号,03-5843-3772,AG group合同会社,1-03-00683,令和3年8月4日,1飲食店営業(一般),080-7142-5895,令和3年8月4日,新規,,195,「#はぴねす」MOANAアカデミー池袋校,03,03-5843-3772,,,,豊島区　東池袋一丁目42番18号,東京都豊島区東池袋１丁目４２番１８号,,74830,13,13116,東池袋１,,2021/08/04,2021/08/04,,,AG group合同会社,,080-7142-5895,,,,,,,,1-03-00683,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,はぴねすＭＯＡＮＡアカデミ池袋校03-5843-37727483013116,48c7a12a-2827-44bd-b51e-1bb7c8e73009,ＡＧ　ｇｒｏｕｐ合同会社,293f5e1f-ba99-4474-92a6-a2d1e826f404,9bdd0365-1f27-42d3-8bd0-1ec4a4f4a76f,2021/08/04,「＃はぴねす」ＭＯＡＮＡアカデミー池袋校,はぴねすＭＯＡＮＡアカデミ池袋校,ＡＧ　ｇｒｏｕｐ合同会社
CAFE801(カフェ ハチマルイチ),豊島区,東池袋三丁目10番6号,070-6562-0194,合同会社ふすま,1-03-01295,令和3年11月30日,1飲食店営業(一般),5944-9417,令和3年11月30日,新規,,195,CAFE801(カフェ ハチマルイチ),03,070-6562-0194,,,,豊島区　東池袋三丁目10番6号,東京都豊島区東池袋３丁目１０番６号,,74832,13,13116,東池袋３,,2021/11/30,2021/11/30,,,合同会社ふすま,,03-5944-9417,,,,,,,,1-03-01295,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ＣＡＦＥ８０１カフェハチマルイチ070-6562-01947483213116,e0843796-4b6a-4a6f-90d7-35aad45ed2d8,合同会社ふすま,e914914f-e1e1-490a-bbde-6dfc579b1f09,f95f40e0-84ca-42fa-9356-6c33293344c4,2021/11/30,ＣＡＦＥ８０１（カフェ　ハチマルイチ）,ＣＡＦＥ８０１カフェハチマルイチ,合同会社ふすま
CAFE801(カフェ ハチマルイチ),豊島区,東池袋三丁目10番6号,070-6562-0194,合同会社ふすま,1-03-01296,令和3年11月30日,11菓子製造業,5944-9417,令和3年11月30日,新規,,195,CAFE801(カフェ ハチマルイチ),03,070-6562-0194,,,,豊島区　東池袋三丁目10番6号,東京都豊島区東池袋３丁目１０番６号,,74832,13,13116,東池袋３,,2021/11/30,2021/11/30,,,合同会社ふすま,,03-5944-9417,,,,,,,,1-03-01296,,菓子製造業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ＣＡＦＥ８０１カフェハチマルイチ070-6562-01947483213116,e0843796-4b6a-4a6f-90d7-35aad45ed2d8,合同会社ふすま,e914914f-e1e1-490a-bbde-6dfc579b1f09,ca2b1f1e-59c5-4ee4-a672-d38ed610a1d6,2021/11/30,ＣＡＦＥ８０１（カフェ　ハチマルイチ）,ＣＡＦＥ８０１カフェハチマルイチ,合同会社ふすま
浅野屋 東池袋店,豊島区,東池袋四丁目5番2号,6914-1193,株式会社A&C,1-31-00363,令和元年6月1日,【~R3.5】飲食店営業(飲食そば·うどん含),5944-8641,平成24年5月23日,更新,,195,浅野屋 東池袋店,03,03-6914-1193,,,,豊島区　東池袋四丁目5番2号,東京都豊島区東池袋４丁目５番２号,,74833,13,13116,東池袋４,,2012/05/23,2019/06/01,,,株式会社A&C,,03-5944-8641,,,,,,,,1-31-00363,,飲食店営業,(飲食そば·うどん含),更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,浅野屋東池袋店03-6914-11937483313116,328062fc-caab-4eb9-8cf3-cbb493143af4,株式会社Ａ＆Ｃ,896d186e-72fd-4bea-b6e9-517f50b47118,57a92f55-e6f1-47bd-a474-9d5bca19e2b1,2019/06/01,浅野屋　東池袋店,浅野屋東池袋店,株式会社Ａ＆Ｃ
ほっともっとグリル東池袋4丁目店,豊島区,東池袋四丁目39番13号,03-5956-9939,株式会社プレナス,1-02-01940,令和3年1月13日,【~R3.5】飲食店営業(飲食弁当·ホカ弁),092-452-3600,令和3年1月13日,新規,,195,ほっともっとグリル東池袋4丁目店,03,03-5956-9939,,,,豊島区　東池袋四丁目39番13号,東京都豊島区東池袋４丁目３９番１３号,,74833,13,13116,東池袋４,,2021/01/13,2021/01/13,,,株式会社プレナス,,092-452-3600,,,,,,,,1-02-01940,,飲食店営業,(飲食弁当·ホカ弁),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ほっともっとグリル東池袋４丁目店03-5956-99397483313116,f6a2bf5b-2d24-4057-88cd-3ea9504fd65e,株式会社プレナス,f3f45d34-356a-4053-8703-f127243ef042,24a82cc6-f62c-4984-afff-2a02af8c4302,2021/01/13,ほっともっとグリル東池袋４丁目店,ほっともっとグリル東池袋４丁目店,株式会社プレナス
ほっともっとグリル東池袋4丁目店,豊島区,東池袋四丁目39番13号,03-5956-9939,株式会社プレナス,1-02-01941,令和3年1月13日,【~R3.5】菓子製造業(パン製造業),092-452-3600,令和3年1月13日,新規,,195,ほっともっとグリル東池袋4丁目店,03,03-5956-9939,,,,豊島区　東池袋四丁目39番13号,東京都豊島区東池袋４丁目３９番１３号,,74833,13,13116,東池袋４,,2021/01/13,2021/01/13,,,株式会社プレナス,,092-452-3600,,,,,,,,1-02-01941,,菓子製造業,(パン製造業),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,E,9,,,ほっともっとグリル東池袋４丁目店03-5956-99397483313116,f6a2bf5b-2d24-4057-88cd-3ea9504fd65e,株式会社プレナス,f3f45d34-356a-4053-8703-f127243ef042,53fa26c5-099e-4302-8200-81a6eacf19a2,2021/01/13,ほっともっとグリル東池袋４丁目店,ほっともっとグリル東池袋４丁目店,株式会社プレナス
ビリー·ザ·キッド,豊島区,南池袋一丁目7番1号,,三友株式会社,1-03-01265,,1飲食店営業(一般),03-4285-2447,,新規,,195,ビリー·ザ·キッド,03,,,,,豊島区　南池袋一丁目7番1号,東京都豊島区南池袋１丁目７番１号,,74835,13,13116,南池袋１,,,,,,三友株式会社,,03-4285-2447,,,,,,,,1-03-01265,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ビリザ·キッド7483513116,ef20ca8d-fbe0-4ad7-92b3-5829c0dcfd8c,三友株式会社,08ede096-1e35-41f7-a5ad-0b85009af1d6,b6205190-9a09-4dbe-a081-aeb364bd657a,2021/11/01,ビリー・ザ·キッド,ビリザ·キッド,三友株式会社
トパーズ,豊島区,南池袋一丁目7番14号,3971-5556,大内初枝,1-03-01215,,1飲食店営業(一般),※※※※※,,新規,,195,トパーズ,03,03-3971-5556,,,,豊島区　南池袋一丁目7番14号,東京都豊島区南池袋１丁目７番１４号,,74835,13,13116,南池袋１,,,,,,,大内初枝,,,,,,,,,1-03-01215,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,トパズ03-3971-55567483513116,744bd465-6dd8-44eb-bed2-7e3b26fc9679,,personal,f024763a-d618-4511-a991-9656ab4ba618,2021/11/01,トパーズ,トパズ,
カフェ·ド·クリエプラス 南池袋店,豊島区,南池袋一丁目16番18号,5960-1217,株式会社ポッカクリエイト,1-28-01077,平成28年10月19日,【~R3.5】飲食店営業(飲食一般·喫茶店),03-5275-2751,平成28年10月19日,新規,,195,カフェ·ド·クリエプラス 南池袋店,03,03-5960-1217,,,,豊島区　南池袋一丁目16番18号,東京都豊島区南池袋１丁目１６番１８号,,74835,13,13116,南池袋１,,2016/10/19,2016/10/19,,,株式会社ポッカクリエイト,,03-5275-2751,,,,,,,,1-28-01077,,喫茶店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,カフェド·クリエプラス南池袋店03-5960-12177483513116,0fd8efb6-a7bc-4c3c-94b3-d147d68e6a2e,株式会社ポッカクリエイト,8dde0714-df80-4614-99d0-23ab3c48724e,89c66ffa-e756-4844-b2c3-ed8585ebb77e,2016/10/19,カフェ・ド·クリエプラス　南池袋店,カフェド·クリエプラス南池袋店,株式会社ポッカクリエイト
itten BAR,豊島区,南池袋一丁目17番13号,3981-0018,dream vin株式会社,1-03-01152,令和3年11月10日,1飲食店営業(一般),3981-0018,令和3年11月10日,新規,,195,itten BAR,03,03-3981-0018,,,,豊島区　南池袋一丁目17番13号,東京都豊島区南池袋１丁目１７番１３号,,74835,13,13116,南池袋１,,2021/11/10,2021/11/10,,,dream vin株式会社,,03-3981-0018,,,,,,,,1-03-01152,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ｉｔｔｅｎＢＡＲ03-3981-00187483513116,e9162613-0ede-4e4d-9cc1-7bd846e5e52d,ｄｒｅａｍ　ｖｉｎ株式会社,d837b49f-cf6a-4970-a7a3-59a3cd7f70fe,d3767d20-f23a-4df7-ba19-139d38ed7d8f,2021/11/10,ｉｔｔｅｎ　ＢＡＲ,ｉｔｔｅｎＢＡＲ,ｄｒｅａｍ　ｖｉｎ株式会社
椿屋珈琲 池袋離れ,豊島区,南池袋一丁目18番1号,6709-0807,東和フードサービス株式会社,1-30-01077,平成30年10月3日,【~R3.5】飲食店営業(飲食一般),03-5843-7668,平成30年10月3日,新規,,195,椿屋珈琲 池袋離れ,03,03-6709-0807,,,,豊島区　南池袋一丁目18番1号,東京都豊島区南池袋１丁目１８番１号,,74835,13,13116,南池袋１,,2018/10/03,2018/10/03,,,東和フードサービス株式会社,,03-5843-7668,,,,,,,,1-30-01077,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,椿屋珈琲池袋離れ03-6709-08077483513116,de55dd88-d7a5-4a61-a6a8-be0fa87f32c4,東和フードサービス株式会社,d47b1e08-b44a-4554-9f26-f044def77e07,cca42cb6-f02d-4c51-ac67-c6f7eedb73bd,2018/10/03,椿屋珈琲　池袋離れ,椿屋珈琲池袋離れ,東和フードサービス株式会社
ローストビーフ大野 南池袋店,豊島区,南池袋一丁目18番22号,5927-8662,株式会社B級グルメ研究所,1-31-02289,令和2年3月23日,【~R3.5】飲食店営業(飲食一般),0422-28-4281,令和2年3月23日,新規,,195,ローストビーフ大野 南池袋店,03,03-5927-8662,,,,豊島区　南池袋一丁目18番22号,東京都豊島区南池袋１丁目１８番２２号,,74835,13,13116,南池袋１,,2020/03/23,2020/03/23,,,株式会社B級グルメ研究所,,0422-28-4281,,,,,,,,1-31-02289,,飲食店営業,,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,ロストビフ大野南池袋店03-5927-86627483513116,a100aa76-21eb-4fab-8aa1-187233588b53,株式会社Ｂ級グルメ研究所,e562ec64-268c-4ceb-9169-d0bf790b9504,0ab5511f-d222-484c-806d-0c787a046ede,2020/03/23,ローストビーフ大野　南池袋店,ロストビフ大野南池袋店,株式会社Ｂ級グルメ研究所
池袋焼肉ホルモンたけ田  東口店,豊島区,南池袋一丁目19番2号,690-0775,My Staff株式会社,1-03-01281,,1飲食店営業(一般),070-3185-2017,,新規,,195,池袋焼肉ホルモンたけ田  東口店,03,03-690-0775,,,,豊島区　南池袋一丁目19番2号,東京都豊島区南池袋１丁目１９番２号,,74835,13,13116,南池袋１,,,,,,My Staff株式会社,,070-3185-2017,,,,,,,,1-03-01281,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,池袋焼肉ホルモンたけ田東口店03-690-07757483513116,d151d838-5646-4c10-bdfa-a2dff78ba166,Ｍｙ　Ｓｔａｆｆ株式会社,7f72ff4a-9dd1-45cb-9f42-78b281dc70f7,083e84bc-52a0-4129-9607-16777e3d6897,2021/11/01,池袋焼肉ホルモンたけ田　東口店,池袋焼肉ホルモンたけ田東口店,Ｍｙ　Ｓｔａｆｆ株式会社
てんや　南池袋店,豊島区,南池袋一丁目19番3号,5396-1342,ロイヤルフードサービス株式会社,1-31-02053,令和2年3月1日,【~R3.5】飲食店営業(飲食一般),,平成6年2月9日,更新,,195,てんや　南池袋店,03,03-5396-1342,,,,豊島区　南池袋一丁目19番3号,東京都豊島区南池袋１丁目１９番３号,,74835,13,13116,南池袋１,,1994/02/09,2020/03/01,,,ロイヤルフードサービス株式会社,,,,,,,,,,1-31-02053,,飲食店営業,,更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,てんや南池袋店03-5396-13427483513116,90b7b338-9a55-4bec-a28a-c44b01087664,ロイヤルフードサービス株式会社,3b910076-fbd5-40ac-ada7-39f1ca6ca600,7c14327d-fe6f-4a24-b62a-5d57f288cb5e,2020/03/01,てんや　南池袋店,てんや南池袋店,ロイヤルフードサービス株式会社
コメダ珈琲店　池袋西武前店,豊島区,南池袋一丁目19番6号,5904-8989,株式会社コメダ,1-03-01200,令和3年11月18日,1飲食店営業(一般),052-936-8880,令和3年11月18日,新規,,195,コメダ珈琲店　池袋西武前店,03,03-5904-8989,,,,豊島区　南池袋一丁目19番6号,東京都豊島区南池袋１丁目１９番６号,,74835,13,13116,南池袋１,,2021/11/18,2021/11/18,,,株式会社コメダ,,052-936-8880,,,,,,,,1-03-01200,,飲食店営業,（一般）,新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,コメダ珈琲店池袋西武前店03-5904-89897483513116,7c554d71-c894-40e9-9783-04928ece6e1c,株式会社コメダ,bb9809be-376f-416b-8209-4630fba5295c,4d11d4d6-7d31-4d43-8a32-d4c16381e610,2021/11/18,コメダ珈琲店　池袋西武前店,コメダ珈琲店池袋西武前店,株式会社コメダ
セブンイレブンDR池袋ロイネット店,豊島区,南池袋一丁目20番8号,03-6709-3977,大和ハウスリアルティマネジメント株式会社,1-02-01883,令和3年2月15日,【~R3.5】飲食店営業(飲食惣菜),03-6709-3977,令和3年2月15日,新規,,195,セブンイレブンDR池袋ロイネット店,03,03-6709-3977,,,,豊島区　南池袋一丁目20番8号,東京都豊島区南池袋１丁目２０番８号,,74835,13,13116,南池袋１,,2021/02/15,2021/02/15,,,大和ハウスリアルティマネジメント株式会社,,03-6709-3977,,,,,,,,1-02-01883,,飲食店営業,(飲食惣菜),新規,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,セブンイレブンＤＲ池袋ロイネット店03-6709-39777483513116,fe354ca0-4f7f-4e89-a09d-959fd74ee41c,大和ハウスリアルティマネジメント株式会社,52ab86a3-1809-4297-bdbc-ef03f9b6fc9b,a1c7fa7b-c46d-475c-97fd-827d2ca18769,2021/02/15,セブンイレブンＤＲ池袋ロイネット店,セブンイレブンＤＲ池袋ロイネット店,大和ハウスリアルティマネジメント株式会社
浅野屋　池袋駅前本店,豊島区,南池袋一丁目22番2号,5944-8641,株式会社A&C,1-28-00558,平成28年7月1日,【~R3.5】飲食店営業(飲食そば·うどん含),042-469-5620,平成21年6月8日,更新,,195,浅野屋　池袋駅前本店,03,03-5944-8641,,,,豊島区　南池袋一丁目22番2号,東京都豊島区南池袋１丁目２２番２号,,74835,13,13116,南池袋１,,2009/06/08,2016/07/01,,,株式会社A&C,,042-469-5620,,,,,,,,1-28-00558,,飲食店営業,(飲食そば·うどん含),更新,,195_東京都_池袋保健所_食品衛生()_2021年11月_末日_新規,M,76,,,浅野屋池袋駅前本店03-5944-86417483513116,fe9cb7ce-da0d-4d92-9150-01a357b8422d,株式会社Ａ＆Ｃ,896d186e-72fd-4bea-b6e9-517f50b47118,dd109f32-161b-4f08-af0a-a54f650d5e0c,2016/07/01,浅野屋　池袋駅前本店,浅野屋池袋駅前本店,株式会社Ａ＆Ｃ
