https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,確認番号,許可年月日,許可期間終了日,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業の種類,施設名称,施設所在地,,,施設電話番号,営業者名,許可番号,許可年月日,許可満了日,営業者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
① 飲食店営業,八兵衛,大阪府八尾市八尾木北１丁目３８－１,大阪府八尾市八尾木北１丁目３８－１,,,寺田真規,0001-0197,令和4年1月20日,令和10年1月31日,,,290,八兵衛,072,,,,,大阪府八尾市八尾木北１丁目３８－１,大阪府八尾市八尾木北１丁目３８－１,,159880,27,27212,八尾木北１,,,2022/01/20,,2028/01/31,,寺田真規,,,,,,,,,0001-0197,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,八兵衛15988027212,b7890ea0-a43a-4bb3-b1d2-420c9827a8e7,,personal,ee617211-17ce-4272-a88b-2281a93a79d0,2022/01/20,八兵衛,八兵衛,
① 飲食店営業,バーガーキング イズミヤ八尾店,大阪府八尾市沼１丁目１,大阪府八尾市沼１丁目１,,072-975-5917,株式会社ビーケー・ジャパン,0001-0196,令和4年1月17日,令和10年1月31日,03-6856-7660,,290,バーガーキング イズミヤ八尾店,072,072-975-5917,,,,大阪府八尾市沼１丁目１,大阪府八尾市沼１丁目１,,159658,27,27212,沼１,,,2022/01/17,,2028/01/31,株式会社ビーケー・ジャパン,,03-6856-7660,,,,,,,,0001-0196,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,バガキングイズミヤ八尾店072-975-591715965827212,00d2faf8-8523-4d41-8d61-0a2dbc24e35b,株式会社ビーケー・ジャパン,4c35800d-7b07-4ca3-9e32-9aba6f40549b,e0f0ce0e-4233-4f5e-b0ab-7d5b0a3a37f6,2022/01/17,バーガーキング　イズミヤ八尾店,バガキングイズミヤ八尾店,株式会社ビーケー・ジャパン
① 飲食店営業,スナック より道,大阪府八尾市本町７丁目１０－１１ クリスタルプラザⅡビル７ＦＢ,大阪府八尾市本町７丁目１０－１１,クリスタルプラザⅡビル７ＦＢ,072-924-8282,森岡牧代,0002-0299,令和4年1月14日,令和10年1月31日,,,290,スナック より道,072,072-924-8282,,,,大阪府八尾市本町７丁目１０－１１,大阪府八尾市本町７丁目１０－１１,クリスタルプラザⅡビル７ＦＢ,159748,27,27212,本町７,,,2022/01/14,,2028/01/31,,森岡牧代,,,,,,,,,0002-0299,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,スナックより道072-924-828215974827212,00290_0dead68b-6458-4662-aca5-09743d9965e8,,personal,34596b1b-117a-4476-adf0-178ad50fa0b0,2022/01/14,スナック　より道,スナックより道,
① 飲食店営業,餃子の王将 アリオ八尾店,大阪府八尾市光町２丁目３ アリオ八尾店３Ｆ,大阪府八尾市光町２丁目３,アリオ八尾店３Ｆ,072-923-3360,株式会社王将フードサービス,0002-0291,令和4年1月18日,令和10年1月31日,075-592-1411,,290,餃子の王将 アリオ八尾店,072,072-923-3360,,,,大阪府八尾市光町２丁目３,大阪府八尾市光町２丁目３,アリオ八尾店３Ｆ,159673,27,27212,光町２,,,2022/01/18,,2028/01/31,株式会社王将フードサービス,,075-592-1411,,,,,,,,0002-0291,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,餃子の王将アリオ八尾店072-923-336015967327212,00290_e6cd82c0-b3ba-4bc7-b28f-546a75c86b7e,株式会社王将フードサービス,107dc9a8-a86b-475a-a058-10f8b2b272b4,02aebcb3-1ed9-427a-83d3-c7a57d10cae8,2022/01/18,餃子の王将　アリオ八尾店,餃子の王将アリオ八尾店,株式会社王将フードサービス
① 飲食店営業,炭火焼きと鮮魚 よつば,大阪府八尾市光町２丁目１８０ー１５,大阪府八尾市光町２丁目１８０ー１５,,,阪本裕樹,0001-0198,令和4年1月24日,令和10年1月31日,,,290,炭火焼きと鮮魚 よつば,072,,,,,大阪府八尾市光町２丁目１８０ー１５,大阪府八尾市光町２丁目１８０－１５,,159673,27,27212,光町２,,,2022/01/24,,2028/01/31,,阪本裕樹,,,,,,,,,0001-0198,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,炭火焼きと鮮魚よつば15967327212,9d4adbaf-adab-4bd8-915f-e1903359824f,,personal,42440462-6fc1-476b-96df-b11e99516115,2022/01/24,炭火焼きと鮮魚　よつば,炭火焼きと鮮魚よつば,
① 飲食店営業,ファミリーマート 東太子一丁目店,大阪府八尾市東太子１丁目３－５,大阪府八尾市東太子１丁目３－５,,072-928-5181,宮川政勝,0002-0294,令和4年1月19日,令和10年1月31日,,,290,ファミリーマート 東太子一丁目店,072,072-928-5181,,,,大阪府八尾市東太子１丁目３－５,大阪府八尾市東太子１丁目３－５,,159679,27,27212,東太子１,,,2022/01/19,,2028/01/31,,宮川政勝,,,,,,,,,0002-0294,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ファミリマト東太子一丁目店072-928-518115967927212,00290_512c0cfc-b3a7-4b42-b492-23f14615f847,,personal,93c1a381-1a69-444a-a8e4-c801f16600cf,2022/01/19,ファミリーマート　東太子一丁目店,ファミリマト東太子一丁目店,
⑪ 菓子製造業,コモモベーカリー,大阪府八尾市山本町南１丁目９－１５,大阪府八尾市山本町南１丁目９－１５,,072-991-8686,黒田潤子,0002-0296,令和4年1月19日,令和10年1月31日,,,290,コモモベーカリー,072,072-991-8686,,,,大阪府八尾市山本町南１丁目９－１５,大阪府八尾市山本町南１丁目９－１５,,159857,27,27212,山本町南１,,,2022/01/19,,2028/01/31,,黒田潤子,,,,,,,,,0002-0296,,菓子製造業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,E,9,,,コモモベカリ072-991-868615985727212,00290_01e125e4-4216-4412-99da-0e71eb9fecc2,,personal,4786245e-e12f-4339-8dfc-8cf492669876,2022/01/19,コモモベーカリー,コモモベカリ,
① 飲食店営業,ＯＮＬＹ,大阪府八尾市本町７丁目１１－５ 八尾本町ビルⅠ １階,大阪府八尾市本町７丁目１１－５,八尾本町ビルⅠ １階,072-993-1199,株式会社世唯,0002-0292,令和4年1月20日,令和10年1月31日,072-993-1199,,290,ＯＮＬＹ,072,072-993-1199,,,,大阪府八尾市本町７丁目１１－５,大阪府八尾市本町７丁目１１－５,八尾本町ビルⅠ １階,159748,27,27212,本町７,,,2022/01/20,,2028/01/31,株式会社世唯,,072-993-1199,,,,,,,,0002-0292,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ＯＮＬＹ072-993-119915974827212,00290_1d9ee6e1-b96b-4cb5-8e15-a7183d7489a1,株式会社世唯,7e3e518e-7f7b-4831-8d8c-8968e7b77fb7,0a071a03-7850-4bd1-8aba-25a1a50d33b3,2022/01/20,ＯＮＬＹ,ＯＮＬＹ,株式会社世唯
③ 食肉販売業,コトブキフーズ,大阪府八尾市太田３丁目２１８－５,大阪府八尾市太田３丁目２１８－５,,072-949-7510,國本鷹二,0002-0306,令和4年1月19日,令和10年1月31日,,,290,コトブキフーズ,072,072-949-7510,,,,大阪府八尾市太田３丁目２１８－５,大阪府八尾市太田３丁目２１８－５,,159366,27,27212,太田３,,,2022/01/19,,2028/01/31,,國本鷹二,,,,,,,,,0002-0306,,食肉販売業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,I,58,583,,コトブキフズ072-949-751015936627212,00290_46e70aa3-9603-4adc-a3be-48ee8f063f6a,,personal,43301ebb-26e5-436d-8b4c-630fb6a1f2e4,2022/01/19,コトブキフーズ,コトブキフズ,
① 飲食店営業,喫茶 あきない,大阪府八尾市若林町３丁目１１３,大阪府八尾市若林町３丁目１１３,,072-948-8170,市川健,0001-0201,令和4年1月27日,令和10年1月31日,,,290,喫茶 あきない,072,072-948-8170,,,,大阪府八尾市若林町３丁目１１３,大阪府八尾市若林町３丁目１１３,,159889,27,27212,若林町３,,,2022/01/27,,2028/01/31,,市川健,,,,,,,,,0001-0201,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,喫茶あきない072-948-817015988927212,00290_0e75f27e-ca99-43aa-8751-61835f96fa42,,personal,72fe3c55-b22d-437d-81c6-9e707c2c988e,2022/01/27,喫茶　あきない,喫茶あきない,
③ 食肉販売業,中華料理 御膳,大阪府八尾市八尾木５丁目１２２,大阪府八尾市八尾木５丁目１２２,,072-974-0681,張慧,0001-0202,令和4年1月27日,令和10年1月31日,,,290,中華料理 御膳,072,072-974-0681,,,,大阪府八尾市八尾木５丁目１２２,大阪府八尾市八尾木５丁目１２２,,159878,27,27212,八尾木５,,,2022/01/27,,2028/01/31,,張慧,,,,,,,,,0001-0202,,食肉販売業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,I,58,583,,中華料理御膳072-974-068115987827212,00290_bab041d5-2cad-48b4-b08d-11cac7431452,,personal,89d4e135-b50d-4e25-b95b-ae38e44306dc,2022/01/27,中華料理　御膳,中華料理御膳,
① 飲食店営業,らんちはうす とも栄,大阪府八尾市幸町２丁目４８ー４ Ｓ８ー２,大阪府八尾市幸町２丁目４８ー４,Ｓ８ー２,072-997-0427,木津孝二,0001-0200,令和4年1月24日,令和10年1月31日,,,290,らんちはうす とも栄,072,072-997-0427,,,,大阪府八尾市幸町２丁目４８ー４,大阪府八尾市幸町２丁目４８－４,Ｓ８ー２,159519,27,27212,幸町２,,,2022/01/24,,2028/01/31,,木津孝二,,,,,,,,,0001-0200,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,らんちはうすとも栄072-997-042715951927212,6057911b-a23b-4a7c-a12e-d1789921e733,,personal,1daf69f1-d85e-4a12-bb61-080c845778e6,2022/01/24,らんちはうす　とも栄,らんちはうすとも栄,
① 飲食店営業,ゲット,大阪府八尾市太子堂２丁目５－１７,大阪府八尾市太子堂２丁目５－１７,,,簑浩,0001-0206,令和4年1月31日,令和10年1月31日,,,290,ゲット,072,,,,,大阪府八尾市太子堂２丁目５－１７,大阪府八尾市太子堂２丁目５－１７,,159573,27,27212,太子堂２,,,2022/01/31,,2028/01/31,,簑浩,,,,,,,,,0001-0206,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ゲット15957327212,c190d36c-d716-49bd-b1aa-b221072867a2,,personal,7033441e-bca7-4d89-bd33-f9ce9156cc7a,2022/01/31,ゲット,ゲット,
① 飲食店営業,ＴＥＲＲＡＣＥＣＡＦＥ ＆,大阪府八尾市内一円,大阪府八尾市内一円,,,檀上貴博,0001-0205,令和4年1月25日,令和9年1月31日,,,290,ＴＥＲＲＡＣＥＣＡＦＥ ＆,,,,,,大阪府八尾市内一円,大阪府八尾市内一円,,159317,27,27212,,,,2022/01/25,,2027/01/31,,檀上貴博,,,,,,,,,0001-0205,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ＴＥＲＲＡＣＥＣＡＦＥ15931727212,a0ba9377-6210-419a-8f21-435f925bf763,,personal,ac93a41f-4e7e-4623-9a49-e968953b6aa5,2022/01/25,ＴＥＲＲＡＣＥＣＡＦＥ　＆,ＴＥＲＲＡＣＥＣＡＦＥ,
① 飲食店営業,楠㐂,大阪府八尾市本町５丁目３－１１,大阪府八尾市本町５丁目３－１１,,072-922-7298,有限会社楠喜,0002-0305,令和4年1月28日,令和10年1月31日,072-922-7298,,290,楠㐂,072,072-922-7298,,,,大阪府八尾市本町５丁目３－１１,大阪府八尾市本町５丁目３－１１,,159746,27,27212,本町５,,,2022/01/28,,2028/01/31,有限会社楠喜,,072-922-7298,,,,,,,,0002-0305,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,楠㐂072-922-729815974627212,98266ab8-418a-4a4d-b881-d2f782e836d3,有限会社楠喜,76238927-e6b8-4d26-aa70-bdc4fb996014,480a81eb-1571-4836-8e0a-bf08224da826,2022/01/28,楠㐂,楠㐂,有限会社楠喜
⑪ 菓子製造業,有限会社 亀屋,大阪府八尾市山本町南１丁目２－１４,大阪府八尾市山本町南１丁目２－１４,,072-998-5058,有限会社亀屋,0002-0304,令和4年1月26日,令和10年1月31日,072-998-5058,,290,有限会社 亀屋,072,072-998-5058,,,,大阪府八尾市山本町南１丁目２－１４,大阪府八尾市山本町南１丁目２－１４,,159857,27,27212,山本町南１,,,2022/01/26,,2028/01/31,有限会社亀屋,,072-998-5058,,,,,,,,0002-0304,,菓子製造業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,E,9,,,有限会社亀屋072-998-505815985727212,00290_b85c8d2b-8699-4a30-8d89-05f2cbea6d4d,有限会社亀屋,a8a4c451-cefa-470f-9a06-4ddc39be1ff3,543c9e6e-14c2-4315-a726-08c508b913c9,2022/01/26,有限会社亀屋,有限会社亀屋,有限会社亀屋
① 飲食店営業,ＳＨＥＬＤＯＮ,大阪府八尾市内一円,大阪府八尾市内一円,,,高橋由枝,0001-0209,令和4年1月28日,令和9年1月31日,,,290,ＳＨＥＬＤＯＮ,,,,,,大阪府八尾市内一円,大阪府八尾市内一円,,159317,27,27212,,,,2022/01/28,,2027/01/31,,高橋由枝,,,,,,,,,0001-0209,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,ＳＨＥＬＤＯＮ15931727212,fd324f75-a613-4e2a-9674-f23d1fb592e5,,personal,2fcc4170-c3e1-4008-8ab6-c51113636f95,2022/01/28,ＳＨＥＬＤＯＮ,ＳＨＥＬＤＯＮ,
① 飲食店営業,久宝寺,大阪府八尾市東久宝寺２丁目２－２３,大阪府八尾市東久宝寺２丁目２－２３,,072-995-2333,奥田捨滋,0002-0287,令和4年1月27日,令和10年1月31日,,,290,久宝寺,072,072-995-2333,,,,大阪府八尾市東久宝寺２丁目２－２３,大阪府八尾市東久宝寺２丁目２－２３,,159677,27,27212,東久宝寺２,,,2022/01/27,,2028/01/31,,奥田捨滋,,,,,,,,,0002-0287,,飲食店営業,,,,290_大阪府_八尾市保健所_食品衛生()_2021年12月-2022年01月_末日_新規.csv,M,76,,,久宝寺072-995-233315967727212,00290_3439e3bb-e967-4dc6-aab2-4d07431ea229,,personal,4e232cc6-95ea-4074-87a2-4ffe39715252,2022/01/27,久宝寺,久宝寺,
