https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,施設名,施設名2,,業種,施設-住所0,施設-住所1,施設-マンション名,緯度,経度,施設-電話番号1,申請者2,申請者1,法人番号,申請者2,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382019,10,愛媛県,松山市,貴龍優,,キリュウ,飲食店営業,松山市住吉２丁目６－１０小倉ビル１F下中,松山市住吉２丁目６－１０,小倉ビル１F下中,,,,寺岡貴久,,,,第528号,2021/7/5,2021/7/5,,2026/9/30,,,,,,377,貴龍優,089,,,,,松山市住吉２丁目６－１０,愛媛県松山市住吉２丁目６－１０,小倉ビル１F下中,193912,38,38201,住吉２,,2021/07/05,2021/07/05,,2026/09/30,,寺岡貴久  ,,,,,,,,,第528号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,貴龍優19391238201,e7caac06-e958-4db7-aa2a-1f9b6e296e0a,,personal,e33a4374-f084-4e25-92a6-85343219d389,2021/07/05,貴龍優,貴龍優,
382019,11,愛媛県,松山市,都都夢,,ツツム,飲食店営業,松山市大街道2丁目5-9久保豊第1ビル １F,松山市大街道２丁目５－９,久保豊第１ビル １F,,,,,MONOS WORKS INTERNATIONAL JAPAN株式会社,,山下治夫,第529号,2021/7/5,2021/7/5,,2026/9/30,,,,,,377,都都夢,089,,,,,松山市大街道２丁目５－９,愛媛県松山市大街道２丁目５－９,久保豊第１ビル １F,193775,38,38201,大街道２,,2021/07/05,2021/07/05,,2026/09/30,MONOS WORKS INTERNATIONAL JAPAN株式会社,山下治夫,,,,,,,,,第529号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,都都夢19377538201,1457159f-6c93-4744-8ec6-c5c0b926eb60,ＭＯＮＯＳ　ＷＯＲＫＳ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＪＡＰＡＮ株式会社,4248d64e-61c3-4417-bbfb-95c5bf7474ea,a91059d1-3876-412b-8f2d-bf51483b96a0,2021/07/05,都都夢,都都夢,ＭＯＮＯＳ　ＷＯＲＫＳ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ　ＪＡＰＡＮ株式会社
382019,12,愛媛県,松山市,さくら家,,サクラヤ,飲食店営業,松山市一番町２丁目４－６第一吾妻ビル１Ｆ,松山市一番町２丁目４－６,第一吾妻ビル１Ｆ,,,913-1375,,株式会社遊旬,,清水俊司,第530号,2021/7/6,2021/7/6,,2026/9/30,,,,,,377,さくら家,089,089-913-1375,,,,松山市一番町２丁目４－６,愛媛県松山市一番町２丁目４－６,第一吾妻ビル１Ｆ,193745,38,38201,一番町２,,2021/07/06,2021/07/06,,2026/09/30,株式会社遊旬,清水俊司,,,,,,,,,第530号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,さくら家089-913-137519374538201,3a77f64e-7ccf-46d0-b442-8acbb8e07cff,株式会社遊旬,543e261d-53a2-44b7-8e74-8f72fda24cd3,7a995bc9-b81b-4be9-99f9-d4d58350ba8e,2021/07/06,さくら家,さくら家,株式会社遊旬
382019,13,愛媛県,松山市,松山南ケアセンターそよ風,,マツヤマミナミケアセンターソヨカゼ,飲食店営業,松山市森松町９９２－１,松山市森松町９９２－１,,,,,,株式会社ユニマットリタイアメント・コミュニティ,,中川清彦,第531号,2021/7/6,2021/7/6,,2026/9/30,,,,,,377,松山南ケアセンターそよ風,089,,,,,松山市森松町９９２－１,愛媛県松山市森松町９９２－１,,194131,38,38201,森松町,,2021/07/06,2021/07/06,,2026/09/30,株式会社ユニマットリタイアメント・コミュニティ,中川清彦,,,,,,,,,第531号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,松山南ケアセンタそよ風19413138201,452a94bf-95aa-4bdf-a117-787a4537ceea,株式会社ユニマットリタイアメント・コミュニティ,231d40b0-261a-40ef-b610-2d2b82f241a2,cb28bfb3-ea11-4296-b262-ffc067af80a0,2021/07/06,松山南ケアセンターそよ風,松山南ケアセンタそよ風,株式会社ユニマットリタイアメント・コミュニティ
382019,14,愛媛県,松山市,T-NGON,,ティーゴン,飲食店営業,松山市大街道2丁目1－4ヴィスコンティ大街道ビル２F,松山市大街道２丁目１－４,ヴィスコンティ大街道ビル２F,,,,,HT合同会社,,HY VAN TIEN,第532号,2021/7/6,2021/7/6,,2026/9/30,,,,,,377,T-NGON,089,,,,,松山市大街道２丁目１－４,愛媛県松山市大街道２丁目１－４,ヴィスコンティ大街道ビル２F,193775,38,38201,大街道２,,2021/07/06,2021/07/06,,2026/09/30,HT合同会社,HY VAN TIEN,,,,,,,,,第532号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ＴＮＧＯＮ19377538201,ca8afd4e-ab57-422c-8491-81dd9f3dfbf5,ＨＴ合同会社,1aad9f65-4653-495c-baa6-e67cc14e6789,b5a5faf4-2831-4936-870d-79e2c176d8a9,2021/07/06,Ｔ－ＮＧＯＮ,ＴＮＧＯＮ,ＨＴ合同会社
382019,15,愛媛県,松山市,株式会社くらいち,,カブシキガイシャクライチ,飲食店営業,松山市山越4丁目2-5メゾンミヤザキ山越1F（101）,松山市山越４丁目２－５,メゾンミヤザキ山越１F（１０１）,,,08-9910-5092,,株式会社くらいち,,小池恵司,第533号,2021/7/7,2021/7/7,,2026/9/30,,,,,,377,株式会社くらいち,089,089-910-5092,,,,松山市山越４丁目２－５,愛媛県松山市山越４丁目２－５,メゾンミヤザキ山越１F（１０１）,194139,38,38201,山越４,,2021/07/07,2021/07/07,,2026/09/30,株式会社くらいち,小池恵司,,,,,,,,,第533号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,株式会社くらいち089-910-509219413938201,5866cd03-2470-4f84-acda-3a06b4cffe4c,株式会社くらいち,6f65395d-2cf0-41b7-b9b1-f74fe9cd812e,c5dc7b3f-ff32-4e7a-a178-82826f9e31a8,2021/07/07,株式会社くらいち,株式会社くらいち,株式会社くらいち
382019,16,愛媛県,松山市,健康カフェ オレンジ,,ケンコウカフェ オレンジ,飲食店営業,松山市中村５丁目７－１０,松山市中村５丁目７－１０,,,,,,来夢ハウス有限会社,,岡本展彦,第534号,2021/7/7,2021/7/7,,2026/9/30,,,,,,377,健康カフェ オレンジ,089,,,,,松山市中村５丁目７－１０,愛媛県松山市中村５丁目７－１０,,193994,38,38201,中村５,,2021/07/07,2021/07/07,,2026/09/30,来夢ハウス有限会社,岡本展彦,,,,,,,,,第534号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,健康カフェオレンジ19399438201,18785c9e-df26-4a26-92f0-10f3e13456a3,来夢ハウス有限会社,35fd4f95-0194-489f-b7df-a8bbff8ecea9,9a7c60c6-7931-4ad7-83f8-07b9c3ffea6d,2021/07/07,健康カフェ　オレンジ,健康カフェオレンジ,来夢ハウス有限会社
382019,17,愛媛県,松山市,草花ヴィレッジ,,クサバナヴィレッジ,飲食店営業,松山市岩崎町２丁目９－９ １F,松山市岩崎町２丁目９－９,１F,,,089-993-8229,,株式会社マルキーズ,,高松恭子,第535号,2021/7/8,2021/7/8,,2026/9/30,,,,,,377,草花ヴィレッジ,089,089-993-8229,,,,松山市岩崎町２丁目９－９,愛媛県松山市岩崎町２丁目９－９,１F,193758,38,38201,岩崎町２,,2021/07/08,2021/07/08,,2026/09/30,株式会社マルキーズ,高松恭子,,,,,,,,,第535号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,草花ヴィレッジ089-993-822919375838201,5661c042-0b7c-4f8c-8717-fd9b49d722b2,株式会社マルキーズ,646c123f-929d-41c7-9d32-eb176944135d,513c3641-a0d5-4a51-bbcc-82febc2ee7c1,2021/07/08,草花ヴィレッジ,草花ヴィレッジ,株式会社マルキーズ
382019,18,愛媛県,松山市,Diner,,ダイナー,飲食店営業,松山市二番町1丁目1-6 ウッディビル４F 南側,松山市二番町１丁目１－６,ウッディビル４F 南側,,,,岩本次元,,,,第539号,2021/7/9,2021/7/9,,2026/9/30,,,,,,377,Diner,089,,,,,松山市二番町１丁目１－６,愛媛県松山市二番町１丁目１－６,ウッディビル４F 南側,194002,38,38201,二番町１,,2021/07/09,2021/07/09,,2026/09/30,,岩本次元  ,,,,,,,,,第539号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,Ｄｉｎｅｒ19400238201,986b930a-8f87-4795-8aee-7b019f9e1b00,,personal,8bcdbd71-494c-402c-a457-8470ca319dc9,2021/07/09,Ｄｉｎｅｒ,Ｄｉｎｅｒ,
382019,19,愛媛県,松山市,Ｏｓｔｅｒｉａ Ｌａ Ｍａｎｄｒａｇｏｌａ,,オステリア ラ マンドラゴラ,飲食店営業,松山市福音寺町３６－５フルール・ドゥ・松山 １Ｆ－Ｂ,松山市福音寺町３６－５,フルール・ドゥ・松山１Ｆ－Ｂ,,,,上西陵裕,,,,第540号,2021/7/9,2021/7/9,,2026/9/30,,,,,,377,Ｏｓｔｅｒｉａ Ｌａ Ｍａｎｄｒａｇｏｌａ,089,,,,,松山市福音寺町３６－５,愛媛県松山市福音寺町３６－５,フルール・ドゥ・松山１Ｆ－Ｂ,194036,38,38201,福音寺町,,2021/07/09,2021/07/09,,2026/09/30,,上西陵裕  ,,,,,,,,,第540号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ＯｓｔｅｒｉａＬａＭａｎｄｒａｇｏｌａ19403638201,ce71bfc3-30f0-4a41-ba59-50aef8f9483c,,personal,946bd86d-f98a-4a41-9475-05d0d6f5dbad,2021/07/09,Ｏｓｔｅｒｉａ　Ｌａ　Ｍａｎｄｒａｇｏｌａ,ＯｓｔｅｒｉａＬａＭａｎｄｒａｇｏｌａ,
382019,20,愛媛県,松山市,necco,,ネッコ,飲食店営業,松山市三番町2丁目3-5スィエルビル B1F,松山市三番町２丁目３－５,スィエルビル B１F,,,,武花正太,,,,第542号,2021/7/12,2021/7/12,,2026/9/30,,,,,,377,necco,089,,,,,松山市三番町２丁目３－５,愛媛県松山市三番町２丁目３－５,スィエルビル B１F,193878,38,38201,三番町２,,2021/07/12,2021/07/12,,2026/09/30,,武花正太  ,,,,,,,,,第542号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ｎｅｃｃｏ19387838201,598593ae-3397-4407-b266-3448541cdf94,,personal,9c5e896d-61ae-4631-960f-da4444b06794,2021/07/12,ｎｅｃｃｏ,ｎｅｃｃｏ,
382019,21,愛媛県,松山市,カクハチうどん,,カクハチウドン,飲食店営業,松山市花園町５－３松本ビル１Ｆ,松山市花園町５－３,松本ビル１Ｆ,,,089-941-5211,,株式会社 奏,,大野一誠,第543号,2021/7/13,2021/7/13,,2026/9/30,,,,,,377,カクハチうどん,089,089-941-5211,,,,松山市花園町５－３,愛媛県松山市花園町５－３,松本ビル１Ｆ,194007,38,38201,花園町,,2021/07/13,2021/07/13,,2026/09/30,株式会社 奏,大野一誠,,,,,,,,,第543号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,カクハチうどん089-941-521119400738201,b826ec1c-44e0-42ec-88d7-a3797363b52b,株式会社奏,e8f35d95-0837-4586-8e73-6d81c5af3762,781a788d-3e6d-41e8-ad20-2015d5d01797,2021/07/13,カクハチうどん,カクハチうどん,株式会社奏
382019,22,愛媛県,松山市,iccai,,イッカイ,飲食店営業,松山市三番町２丁目１０－１７三番町マリノビル １Ｆ,松山市三番町２丁目１０－１７,三番町マリノビル １Ｆ,,,,平田貴士,,,,第544号,2021/7/13,2021/7/13,,2026/9/30,,,,,,377,iccai,089,,,,,松山市三番町２丁目１０－１７,愛媛県松山市三番町２丁目１０－１７,三番町マリノビル １Ｆ,193878,38,38201,三番町２,,2021/07/13,2021/07/13,,2026/09/30,,平田貴士  ,,,,,,,,,第544号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ｉｃｃａｉ19387838201,352a36ab-200f-4378-9c8f-28665114c05f,,personal,1e6c6ef5-2a02-48f5-b61f-8979987ec683,2021/07/13,ｉｃｃａｉ,ｉｃｃａｉ,
382019,23,愛媛県,松山市,ほっともっと松山平井町店,,ホットモットマツヤマヒライマチテン,飲食店営業,松山市平井町甲２５２７－１,松山市平井町甲２５２７－１,,,,089-970-5220,,株式会社プレナス,,塩井辰男,第548号,2021/7/14,2021/7/14,,2026/9/30,,,,,,377,ほっともっと松山平井町店,089,089-970-5220,,,,松山市平井町甲２５２７－１,愛媛県松山市平井町甲２５２７－１,,194034,38,38201,平井町,,2021/07/14,2021/07/14,,2026/09/30,株式会社プレナス,塩井辰男,,,,,,,,,第548号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ほっともっと松山平井町店089-970-522019403438201,e98b9145-25f7-44b2-b95b-ec94385dcae5,株式会社プレナス,538c509e-4b7a-4adf-ad96-c066d619deae,072c15bb-6d5a-4007-bb49-a95600e3df27,2021/07/14,ほっともっと松山平井町店,ほっともっと松山平井町店,株式会社プレナス
382019,24,愛媛県,松山市,スカイカフェ,,スカイカフェ,飲食店営業,松山市湊町5丁目1-1株式会社伊予鉄髙島屋８F,松山市湊町５丁目１－１,株式会社伊予鉄髙島屋８F,,,089-948-2111,,株式会社伊予鉄髙島屋,,林巧,第549号,2021/7/15,2021/7/15,,2026/9/30,,,,,,377,スカイカフェ,089,089-948-2111,,,,松山市湊町５丁目１－１,愛媛県松山市湊町５丁目１－１,株式会社伊予鉄髙島屋８F,194093,38,38201,湊町５,,2021/07/15,2021/07/15,,2026/09/30,株式会社伊予鉄髙島屋,林巧,,,,,,,,,第549号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,スカイカフェ089-948-211119409338201,01d8e304-6f05-4013-98ed-522d572d0a01,株式会社伊予鉄髙島屋,40ca9b35-bfd4-4332-bf3e-be7f3526471e,cdfc2feb-a6d8-4d33-a517-cf38f9d5aee1,2021/07/15,スカイカフェ,スカイカフェ,株式会社伊予鉄髙島屋
382019,25,愛媛県,松山市,イベント厨房,,イベントチュウボウ,飲食店営業,松山市湊町5丁目1-1株式会社伊予鉄髙島屋８F,松山市湊町５丁目１－１,株式会社伊予鉄髙島屋８F,,,089-948-2111,,株式会社伊予鉄髙島屋,,林巧,第550号,2021/7/15,2021/7/15,,2026/9/30,,,,,,377,イベント厨房,089,089-948-2111,,,,松山市湊町５丁目１－１,愛媛県松山市湊町５丁目１－１,株式会社伊予鉄髙島屋８F,194093,38,38201,湊町５,,2021/07/15,2021/07/15,,2026/09/30,株式会社伊予鉄髙島屋,林巧,,,,,,,,,第550号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,イベント厨房089-948-211119409338201,2b33318c-cc67-4316-b863-1adaf404bea7,株式会社伊予鉄髙島屋,40ca9b35-bfd4-4332-bf3e-be7f3526471e,9624867c-268b-40ac-9bfb-7f581c330043,2021/07/15,イベント厨房,イベント厨房,株式会社伊予鉄髙島屋
382019,26,愛媛県,松山市,株式会社くらいち,,カブシキガイシャクライチ,飲食店営業,松山市平和通1丁目6-10,松山市平和通１丁目６－１０,,,,089-989-7280,,株式会社くらいち,,小池恵司,第551号,2021/7/16,2021/7/16,,2026/9/30,,,,,,377,株式会社くらいち,089,089-989-7280,,,,松山市平和通１丁目６－１０,愛媛県松山市平和通１丁目６－１０,,194046,38,38201,平和通１,,2021/07/16,2021/07/16,,2026/09/30,株式会社くらいち,小池恵司,,,,,,,,,第551号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,株式会社くらいち089-989-728019404638201,c940ef9d-93c2-491c-95f5-d504c684e113,株式会社くらいち,6f65395d-2cf0-41b7-b9b1-f74fe9cd812e,ede287f3-1ef8-4c1b-a105-15dd2c85c7c8,2021/07/16,株式会社くらいち,株式会社くらいち,株式会社くらいち
382019,27,愛媛県,松山市,ＴＡ ｍａ ＹＡ,,タ マ ヤ,飲食店営業,松山市保健所管内,松山市保健所管内,,,,,大森強吾,,,,第552号,2021/7/16,2021/7/16,,2026/9/30,,,,,,377,ＴＡ ｍａ ＹＡ,089,,,,,松山市保健所管内,愛媛県松山市保健所管内,,193715,38,38201,,,2021/07/16,2021/07/16,,2026/09/30,,大森強吾  ,,,,,,,,,第552号,,飲食店営業,,,,377_愛媛県_松山市保健所_食品衛生()_2021年07月_末日.csv,M,76,,,ＴＡｍａＹＡ19371538201,32141fd6-b259-4207-a04d-b1d60b6c690d,,personal,2103a853-ce3e-40da-9359-81eb78ded1fc,2021/07/16,ＴＡ　ｍａ　ＹＡ,ＴＡｍａＹＡ,
