https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,施設名称,施設所在地,,,施設電話番号,営業者名,代表者名,営業者住所（法人のみ）,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店,リサイクルとハンドメイドのお店　えすかある,虻田郡喜茂別町字喜茂別１８０番地の３  ,虻田郡喜茂別町字喜茂別１８０番地の３,,0136-33-2559,小笠原　恵子,,  ,2021.12.21,,14-354,,13,リサイクルとハンドメイドのお店　えすかある,0136,0136-33-2559,,,,虻田郡喜茂別町字喜茂別１８０番地の３,北海道虻田郡喜茂別町字喜茂別１８０番地ノ３,,17850,1,1398,喜茂別,,2021/12/21,,,,,小笠原　恵子 ,,  ,,,,,,,14-354,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,リサイクルとハンドメイドのお店えすかある0136-33-2559178501398,4105912c-5204-469f-8cb0-4ee11b9541df,,personal,ed1ee20b-40db-4477-84bb-cb7d40616fa3,2021/12/01,リサイクルとハンドメイドのお店　えすかある,リサイクルとハンドメイドのお店えすかある,
飲食店,ファーマーズキッチン　ポンポン,虻田郡ニセコ町中央通８６－１  ,虻田郡ニセコ町中央通８６－１,,0136-55-5707,大道　剣太郎,,  ,2021.12.17,,14-352,,13,ファーマーズキッチン　ポンポン,0136,0136-55-5707,,,,虻田郡ニセコ町中央通８６－１,北海道虻田郡ニセコ町中央通８６－１,,17970,1,1395,中央通,,2021/12/17,,,,,大道　剣太郎 ,,  ,,,,,,,14-352,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ファマズキッチンポンポン0136-55-5707179701395,a41e1b5e-8464-40b4-8b30-7e507ef5e3fa,,personal,40155ba7-97a6-41c4-9388-ee4dc73542fd,2021/12/01,ファーマーズキッチン　ポンポン,ファマズキッチンポンポン,
菓子製造業,ICOR　NISEKO,虻田郡ニセコ町字羊蹄９９番地３  ,虻田郡ニセコ町字羊蹄９９番地３,,  ,株式会社ICOR,代表取締役　竹下　マリ,虻田郡ニセコ町字羊蹄９９番地３ ,2021.12.17,,14-353,,13,ICOR　NISEKO,0136,,,,,虻田郡ニセコ町字羊蹄９９番地３,北海道虻田郡ニセコ町字羊蹄９９番地３,,17981,1,1395,羊蹄,,2021/12/17,,,,株式会社ICOR,代表取締役　竹下　マリ,,虻田郡ニセコ町字羊蹄９９番地３ ,北海道虻田郡ニセコ町字羊蹄９９番地３,,17981,北海道,虻田郡ニセコ町,羊蹄,14-353,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,ＩＣＯＲＮＩＳＥＫＯ179811395,c8665750-26fe-496c-8039-9c64470ae4b0,株式会社ＩＣＯＲ17981,ab74eff5-e865-4a21-be12-b022b2d675a1,776dc285-7a28-4760-81b0-351815296096,2021/12/01,ＩＣＯＲ　ＮＩＳＥＫＯ,ＩＣＯＲＮＩＳＥＫＯ,株式会社ＩＣＯＲ
漬物製造業,ICOR　NISEKO,虻田郡ニセコ町字羊蹄９９番地３  ,虻田郡ニセコ町字羊蹄９９番地３,,  ,株式会社ICOR,代表取締役　竹下　マリ,虻田郡ニセコ町字羊蹄９９番地３ ,2021.12.17,,14-353,,13,ICOR　NISEKO,0136,,,,,虻田郡ニセコ町字羊蹄９９番地３,北海道虻田郡ニセコ町字羊蹄９９番地３,,17981,1,1395,羊蹄,,2021/12/17,,,,株式会社ICOR,代表取締役　竹下　マリ,,虻田郡ニセコ町字羊蹄９９番地３ ,北海道虻田郡ニセコ町字羊蹄９９番地３,,17981,北海道,虻田郡ニセコ町,羊蹄,14-353,,漬物製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,ＩＣＯＲＮＩＳＥＫＯ179811395,c8665750-26fe-496c-8039-9c64470ae4b0,株式会社ＩＣＯＲ17981,ab74eff5-e865-4a21-be12-b022b2d675a1,e5bb78e4-0caa-4fdc-8adf-c42118e99357,2021/12/01,ＩＣＯＲ　ＮＩＳＥＫＯ,ＩＣＯＲＮＩＳＥＫＯ,株式会社ＩＣＯＲ
飲食店,THE YARD,虻田郡倶知安町南１条西２丁目１０－２  ,虻田郡倶知安町南１条西２丁目１０－２,, ,THE MVMT　株式会社,代表取締役　デービス・シャルロット・エミリー,虻田郡倶知安町字高砂２０８番地４４ ,2021.12.15,,14-348,,13,THE YARD,0136,,,,,虻田郡倶知安町南１条西２丁目１０－２,北海道虻田郡倶知安町南一条西２丁目１０－２,,18061,1,1400,南一条西２,,2021/12/15,,,,THE MVMT　株式会社,代表取締役　デービス・シャルロット・エミリー,,虻田郡倶知安町字高砂２０８番地４４ ,北海道虻田郡倶知安町字高砂２０８番地４４,,17889,北海道,虻田郡倶知安町,高砂,14-348,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ＴＨＥＹＡＲＤ180611400,9f03b89e-e4fc-4c12-9be3-1c39a7123c38,ＴＨＥ　ＭＶＭＴ　株式会社17889,8dbd0e48-88c7-4d42-a61c-2194c0ae76a1,9f4acb64-d809-4b1a-9215-87450f61cbae,2021/12/01,ＴＨＥ　ＹＡＲＤ,ＴＨＥＹＡＲＤ,ＴＨＥ　ＭＶＭＴ　株式会社
飲食店,お宿　今井,余市郡余市町黒川町7丁目40番地5  ,余市郡余市町黒川町７丁目４０番地５,,  ,今井　幸世,,  ,2021.12.15,,14-349,,13,お宿　今井,0135,,,,,余市郡余市町黒川町７丁目４０番地５,北海道余市郡余市町黒川町７丁目４０番地５,,17749,1,1408,黒川町７,,2021/12/15,,,,,今井　幸世 ,,  ,,,,,,,14-349,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,お宿今井177491408,5a14a73e-18bc-4128-8a06-0268c6e3f81c,,personal,3c3f7c60-9c13-4a3d-a448-d57ad8a41b01,2021/12/01,お宿　今井,お宿今井,
飲食店,Sugar　Garden,余市郡余市町黒川町17丁目23-21  ,余市郡余市町黒川町１７丁目２３－２１,,0135-21-5870,船橋　ひかり,,  ,2021.12.15,,14-350,,13,Sugar　Garden,0135,0135-21-5870,,,,余市郡余市町黒川町１７丁目２３－２１,北海道余市郡余市町黒川町１７丁目２３－２１,,17779,1,1408,黒川町１７,,2021/12/15,,,,,船橋　ひかり ,,  ,,,,,,,14-350,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ＳｕｇａｒＧａｒｄｅｎ0135-21-5870177791408,93660acf-2401-4bf1-a966-fbbd1d3b42f6,,personal,a1c43f75-984a-4e7d-9874-cf350bf15723,2021/12/01,Ｓｕｇａｒ　Ｇａｒｄｅｎ,ＳｕｇａｒＧａｒｄｅｎ,
菓子製造業,Sugar　Garden,余市郡余市町黒川町17丁目23-21  ,余市郡余市町黒川町１７丁目２３－２１,,0135-21-5870,船橋　ひかり,,  ,2021.12.15,,14-350,,13,Sugar　Garden,0135,0135-21-5870,,,,余市郡余市町黒川町１７丁目２３－２１,北海道余市郡余市町黒川町１７丁目２３－２１,,17779,1,1408,黒川町１７,,2021/12/15,,,,,船橋　ひかり ,,  ,,,,,,,14-350,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,ＳｕｇａｒＧａｒｄｅｎ0135-21-5870177791408,93660acf-2401-4bf1-a966-fbbd1d3b42f6,,personal,edbdf691-b974-4221-9458-a0fdbbd8ca42,2021/12/01,Ｓｕｇａｒ　Ｇａｒｄｅｎ,ＳｕｇａｒＧａｒｄｅｎ,
飲食店,ベアーズカフェ,磯谷郡蘭越町字昆布町１１４－３  ,磯谷郡蘭越町字昆布町１１４－３,,0136-55-7090,ロクゲ　絵美,,  ,2021.12.15,,14-347,,13,ベアーズカフェ,0136,0136-55-7090,,,,磯谷郡蘭越町字昆布町１１４－３,北海道磯谷郡蘭越町字昆布町１１４－３,,18140,1,1394,昆布町,,2021/12/15,,,,,ロクゲ　絵美 ,,  ,,,,,,,14-347,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ベアズカフェ0136-55-7090181401394,7f92535b-36ce-4a76-8dec-05a74f0f8d45,,personal,6160f46e-a2df-4b44-874a-35b979c1ec00,2021/12/01,ベアーズカフェ,ベアズカフェ,
飲食店,hokkaiido roaster,全道一円  （営業基地：虻田郡ニセコ町字有島３番地５２）,全道一円 ,（営業基地：虻田郡ニセコ町字有島３番地５２）,0136-58-2390 ,若田部　久,,  ,2021.12.15,,14-351,,13,hokkaiido roaster,,0136-58-2390,,,,全道一円 ,北海道全道一円,（営業基地：虻田郡ニセコ町字有島３番地５２）,,1,,,,2021/12/15,,,,,若田部　久 ,,  ,,,,,,,14-351,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,ｈｏｋｋａｉｉｄｏｒｏａｓｔｅｒ0136-58-2390,da1ae5f4-23c7-4265-9d9e-33422f34d1a3,,personal,e21cc216-523e-48cc-bdbf-c04ca7410c96,2021/12/01,ｈｏｋｋａｉｉｄｏ　ｒｏａｓｔｅｒ,ｈｏｋｋａｉｉｄｏｒｏａｓｔｅｒ,
水産製品製造業,丸刀安保水産　加工場,島牧郡島牧村字元町４０番地１  ,島牧郡島牧村字元町４０番地１,,0136-74-5436,株式会社　丸刀安保水産,代表取締役　安保　英哉,島牧郡島牧村字元町１５３番地 ,2021.12.14,,14-344,,13,丸刀安保水産　加工場,0137,0136-74-5436,,,,島牧郡島牧村字元町４０番地１,北海道島牧郡島牧村元町４０番地１,,701204,1,1391,元町,,2021/12/14,,,,株式会社　丸刀安保水産,代表取締役　安保　英哉,,島牧郡島牧村字元町１５３番地 ,北海道島牧郡島牧村元町１５３番地,,701204,北海道,島牧郡島牧村,元町,14-344,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,丸刀安保水産加工場0136-74-54367012041391,d1fdb838-d4a7-4105-aebd-ec17318bc0a3,株式会社丸刀安保水産701204,7ae690bf-a440-492e-9580-1b9e427f17a4,0f39e69d-d0fa-4e07-8ba2-96b00d73a301,2021/12/01,丸刀安保水産　加工場,丸刀安保水産加工場,株式会社丸刀安保水産
菓子製造業,ピッツァ　ディ　マノ,磯谷郡蘭越町昆布町３８０－３  ,磯谷郡蘭越町昆布町３８０－３,,  ,牧野　正志,,  ,2021.12.14,,14-346,,13,ピッツァ　ディ　マノ,0136,,,,,磯谷郡蘭越町昆布町３８０－３,北海道磯谷郡蘭越町昆布町３８０－３,,18140,1,1394,昆布町,,2021/12/14,,,,,牧野　正志 ,,  ,,,,,,,14-346,,菓子製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,ピッツァディマノ181401394,b4a233d6-5949-4490-83a3-b52a89b2e7ed,,personal,a12a81f9-075a-48af-8d52-730cf7cc4f62,2021/12/01,ピッツァ　ディ　マノ,ピッツァディマノ,
漬物製造業,アイディア工房夢（Dream）,虻田郡ニセコ町字近藤２６４－３１  ,虻田郡ニセコ町字近藤２６４－３１,,0136-44-1251,松井　次洋,,  ,2021.12.14,,14-345,,13,アイディア工房夢（Dream）,0136,0136-44-1251,,,,虻田郡ニセコ町字近藤２６４－３１,北海道虻田郡ニセコ町字近藤２６４－３１,,17967,1,1395,近藤,,2021/12/14,,,,,松井　次洋 ,,  ,,,,,,,14-345,,漬物製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,,,アイディア工房夢Ｄｒｅａｍ0136-44-1251179671395,00418c41-df76-4960-a406-277c223cc0e2,,personal,6aaee499-798e-48b1-9ee8-6f24d53575d0,2021/12/01,アイディア工房夢（Ｄｒｅａｍ）,アイディア工房夢Ｄｒｅａｍ,
水産製品製造業,有限会社マルコウ福原伸幸商店,余市郡余市町梅川町６７８番地  ,余市郡余市町梅川町６７８番地 ,,0135-22-2299,有限会社マルコウ福原伸幸商店,代表取締役　福原　江太,余市郡余市町梅川町６７８番地 ,2021.12.13,,14-343,,13,有限会社マルコウ福原伸幸商店,0135,0135-22-2299,,,,余市郡余市町梅川町６７８番地 ,北海道余市郡余市町梅川町６７８番地,,17708,1,1408,梅川町,,2021/12/13,,,,有限会社マルコウ福原伸幸商店,代表取締役　福原　江太,,余市郡余市町梅川町６７８番地 ,北海道余市郡余市町梅川町６７８番地,,17708,北海道,余市郡余市町,梅川町,14-343,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,有限会社マルコウ福原伸幸商店0135-22-2299177081408,1a7e352d-ac94-4f6d-83fc-9ff7bae68717,有限会社マルコウ福原伸幸商店17708,6099ac80-b350-4647-aab9-537c048c1e4c,d2a277a0-2478-4ad7-b9ac-e4260c7d1a44,2021/12/01,有限会社マルコウ福原伸幸商店,有限会社マルコウ福原伸幸商店,有限会社マルコウ福原伸幸商店
飲食店,真狩BASE,倶知安保健所管内一円（営業計画書のとおり）  ,倶知安保健所管内一円,（営業計画書のとおり） ,0136-46-3331,山本　岳央,,  ,2021.12.13,,14-342,,13,真狩BASE,,0136-46-3331,,,,倶知安保健所管内一円,北海道倶知安保健所管内一円,（営業計画書のとおり） ,,1,,,,2021/12/13,,,,,山本　岳央 ,,  ,,,,,,,14-342,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,真狩ＢＡＳＥ0136-46-3331,83d34649-9779-4f58-b49d-a7215495c5e1,,personal,e261096a-6a9e-44bf-8599-71f5a808d9b0,2021/12/01,真狩ＢＡＳＥ,真狩ＢＡＳＥ,
飲食店,酒房山崎,余市郡余市町黒川町２丁目５０番地  ,余市郡余市町黒川町２丁目５０番地 ,,0135-23-7915,山崎　美喜代,,  ,2021.12.9,,14-341,,13,酒房山崎,0135,0135-23-7915,,,,余市郡余市町黒川町２丁目５０番地 ,北海道余市郡余市町黒川町２丁目５０番地,,17744,1,1408,黒川町２,,2021/12/09,,,,,山崎　美喜代 ,,  ,,,,,,,14-341,,飲食店営業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,M,76,,,酒房山崎0135-23-7915177441408,d815815c-5b46-425d-8ce3-680aab8a3f94,,personal,408d6a5d-7551-48e6-b62c-70325ab523ef,2021/12/01,酒房山崎,酒房山崎,
水産製品製造業,株式会社カネヤ浅黄商店,余市郡余市町富沢町５丁目９６番地  ,余市郡余市町富沢町５丁目９６番地 ,,0135-22-4488,株式会社カネヤ浅黄商店,代表取締役　浅黄浩嗣,余市郡余市町富沢町五丁目９６番地 ,2021.12.9,,14-340,,13,株式会社カネヤ浅黄商店,0135,0135-22-4488,,,,余市郡余市町富沢町５丁目９６番地 ,北海道余市郡余市町富沢町５丁目９６番地,,17766,1,1408,富沢町５,,2021/12/09,,,,株式会社カネヤ浅黄商店,代表取締役　浅黄浩嗣,,余市郡余市町富沢町五丁目９６番地 ,北海道余市郡余市町富沢町５丁目９６番地,,17766,北海道,余市郡余市町,富沢町５,14-340,,水産製品製造業,,,,013_北海道_倶知安保健所_食品衛生()_2021年12月,E,9,92,,株式会社カネヤ浅黄商店0135-22-4488177661408,1c46af9f-e9e6-432d-a557-b835e9d5809f,株式会社カネヤ浅黄商店17766,e8e96d42-fc37-42a3-88e3-c937d18ca180,c85befb6-2cde-4479-af71-35aecb7ca3f8,2021/12/01,株式会社カネヤ浅黄商店,株式会社カネヤ浅黄商店,株式会社カネヤ浅黄商店
