,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＴＡＩＲＡＹＡつくば桜店,茨城県つくば市桜3-5-2,茨城県つくば市桜３－５－２,,029-863-5711,魚介類販売業,魚介類販売業,株式会社マスダ,代表取締役社長　千羽　一郎,茨城県常総市水海道宝町2771,茨城県常総市水海道宝町２７７１,,0297-74-1321,2022/07/05,2022/07/05,つ保指令法第220395号,,つくば保健所,ＴＡＩＲＡＹＡつくば桜店,029,029-863-5711,,,,茨城県つくば市桜３－５－２,茨城県つくば市桜３－５－２,,55517,茨城県,つくば市,桜３,,2022/07/05,2022/07/05,,,株式会社マスダ,代表取締役社長　千羽　一郎,0297-74-1321,茨城県常総市水海道宝町２７７１,茨城県常総市水海道宝町２７７１,,54728,茨城県,常総市,水海道宝町,つ保指令法第220395号,,魚介類販売業, 魚介類販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,,,,,,,,,ＴＡＩＲＡＹＡつくば桜店,ＴＡＩＲＡＹＡつくば桜店,株式会社マスダ,,3,,,,,
ＴＡＩＲＡＹＡつくば桜店,茨城県つくば市桜3-5-2,茨城県つくば市桜３－５－２,,029-863-5711,食肉販売業,食肉販売業,株式会社マスダ,代表取締役社長　千羽　一郎,茨城県常総市水海道宝町2771,茨城県常総市水海道宝町２７７１,,0297-74-1321,2022/07/05,2022/07/05,つ保指令法第220396号,,つくば保健所,ＴＡＩＲＡＹＡつくば桜店,029,029-863-5711,,,,茨城県つくば市桜３－５－２,茨城県つくば市桜３－５－２,,55517,茨城県,つくば市,桜３,,2022/07/05,2022/07/05,,,株式会社マスダ,代表取締役社長　千羽　一郎,0297-74-1321,茨城県常総市水海道宝町２７７１,茨城県常総市水海道宝町２７７１,,54728,茨城県,常総市,水海道宝町,つ保指令法第220396号,,食肉販売業, 食肉販売業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,ＴＡＩＲＡＹＡつくば桜店,ＴＡＩＲＡＹＡつくば桜店,株式会社マスダ,,3,,,,,
龍神家,茨城県つくば市吉沼1025-1,茨城県つくば市吉沼１０２５－１,,,飲食店営業,削氷,株式会社　絆,代表取締役　武井　豊,茨城県筑西市押尾24,茨城県筑西市押尾２４,,029-652-0389,2022/07/05,2022/07/05,つ保指令法第220397号,,つくば保健所,龍神家,029,,,,,茨城県つくば市吉沼１０２５－１,茨城県つくば市吉沼１０２５－１,,55475,茨城県,つくば市,吉沼,,2022/07/05,2022/07/05,,,株式会社　絆,代表取締役　武井　豊,029-652-0389,茨城県筑西市押尾２４,茨城県筑西市押尾２４,,56139,茨城県,筑西市,押尾,つ保指令法第220397号,,飲食店営業, 削氷,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,龍神家,龍神家,株式会社絆,,1,,,,,
Ｋｉｃｈｉｎ　アンジュ,茨城県つくば市筑穂1-1-13　KMS・S3　104,茨城県つくば市筑穂１－１－１３,KMS・S３ １０４,029-896-9876,飲食店営業,仕出し屋・弁当屋,八嶋　勇二,,,,,,2022/07/05,2022/07/05,つ保指令法第220398号,,つくば保健所,Ｋｉｃｈｉｎ　アンジュ,029,029-896-9876,,,,茨城県つくば市筑穂１－１－１３,茨城県つくば市筑穂１－１－１３,KMS・S３ １０４,55522,茨城県,つくば市,筑穂１,,2022/07/05,2022/07/05,,,,,,,,,,,,,つ保指令法第220398号,,飲食店営業, 仕出し屋・弁当屋,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋｉｃｈｉｎ　アンジュ,Ｋｉｃｈｉｎアンジュ,,,1,,,,,
ＢＡＲ　ＬＯＵＮＧＥ　Ｒ－ＴＷＯ,茨城県土浦市大和町4-15　坂本ビル201号室,茨城県土浦市大和町４－１５,坂本ビル２０１号室,,飲食店営業,バー・キャバレー等,黒田　健太郎,,,,,,2022/07/06,2022/07/06,土保指令法第220379号,,土浦保健所,ＢＡＲ　ＬＯＵＮＧＥ　Ｒ－ＴＷＯ,029,,,,,茨城県土浦市大和町４－１５,茨城県土浦市大和町４－１５,坂本ビル２０１号室,54093,茨城県,土浦市,大和町,,2022/07/06,2022/07/06,,,,,,,,,,,,,土保指令法第220379号,,飲食店営業, バー・キャバレー等,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＢＡＲ　ＬＯＵＮＧＥ　Ｒ－ＴＷＯ,ＢＡＲＬＯＵＮＧＥＲＴＷＯ,,,1,,,,,
ドリームホール,茨城県筑西市茂田1858-10,茨城県筑西市茂田１８５８－１０,,0296-20-1111,飲食店営業,一般食堂・レストラン,広沢商事株式会社,宮城　則之,茨城県筑西市大塚595-8,茨城県筑西市大塚５９５－８,,0296-20-1111,2022/07/06,2022/07/06,筑保指令法第220294号,,筑西保健所,ドリームホール,0296,0296-20-1111,,,,茨城県筑西市茂田１８５８－１０,茨城県筑西市茂田１８５８－１０,,56264,茨城県,筑西市,茂田,,2022/07/06,2022/07/06,,,広沢商事株式会社,宮城　則之,0296-20-1111,茨城県筑西市大塚５９５－８,茨城県筑西市大塚５９５－８,,56131,茨城県,筑西市,大塚,筑保指令法第220294号,,飲食店営業, 一般食堂・レストラン,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ドリームホール,ドリムホル,広沢商事株式会社,,1,,,,,
侑林,茨城県筑西市乙510-1,茨城県筑西市乙５１０－１,,090-7849-2083,飲食店営業,その他,申　美慶,,,,,,2022/07/06,2022/07/06,筑保指令法第220295号,,筑西保健所,侑林,0296,090-7849-2083,,,,茨城県筑西市乙５１０－１,茨城県筑西市乙５１０－１,,56141,茨城県,筑西市,乙,,2022/07/06,2022/07/06,,,,,,,,,,,,,筑保指令法第220295号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,侑林,侑林,,,1,,,,,
夢共,茨城県下妻市下妻乙955,茨城県下妻市下妻乙９５５,,,飲食店営業,そうざい,羽鳥　歩美,,,,,,2022/07/06,2022/07/06,筑保指令法第220296号,,筑西保健所,夢共,0296,,,,,茨城県下妻市下妻乙９５５,茨城県下妻市下妻乙９５５,,54673,茨城県,下妻市,下妻乙,,2022/07/06,2022/07/06,,,,,,,,,,,,,筑保指令法第220296号,,飲食店営業, そうざい,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,夢共,夢共,,,1,,,,,
とんかつ萬来,茨城県下妻市高道祖4649-2,茨城県下妻市高道祖４６４９－２,,0296-44-7306,飲食店営業,その他,石浜 博,,,,,,2022/07/06,2022/07/06,筑保指令法第220300号,,筑西保健所,とんかつ萬来,0296,0296-44-7306,,,,茨城県下妻市高道祖４６４９－２,茨城県下妻市高道祖４６４９－２,,54640,茨城県,下妻市,高道祖,,2022/07/06,2022/07/06,,,,,,,,,,,,,筑保指令法第220300号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,とんかつ萬来,とんかつ萬来,,,1,,,,,
自家製ラーメン　アイリー,茨城県高萩市赤浜１３１２－１,茨城県高萩市赤浜１３１２－１,,,飲食店営業,中華料理店,鴨志田　裕太,,,,,,2022/07/07,2022/07/07,日保指令法第220267号,,日立保健所,自家製ラーメン　アイリー,0293,,,,,茨城県高萩市赤浜１３１２－１,茨城県高萩市赤浜１３１２－１,,54896,茨城県,高萩市,赤浜,,2022/07/07,2022/07/07,,,,,,,,,,,,,日保指令法第220267号,,飲食店営業, 中華料理店,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,自家製ラーメン　アイリー,自家製ラメンアイリ,,,1,,,,,
ヤオコー　藤代店　（ベーカリー）,茨城県取手市藤代南二丁目16番地2,茨城県取手市藤代南２丁目１６番地２,,0297-70-8211,菓子製造業,菓子製造業,株式会社　ヤオコー,川野　澄人,埼玉県川越市新宿町一丁目10番地1,埼玉県川越市新宿町１丁目１０番地１,,0492-46-7000,2022/07/07,2022/07/07,竜保指令法第220378号,,竜ケ崎保健所,ヤオコー　藤代店　（ベーカリー）,0297,0297-70-8211,,,,茨城県取手市藤代南２丁目１６番地２,茨城県取手市藤代南２丁目１６番地２,,55204,茨城県,取手市,藤代南２,,2022/07/07,2022/07/07,,,株式会社　ヤオコー,川野　澄人,0492-46-7000,埼玉県川越市新宿町１丁目１０番地１,埼玉県川越市新宿町１丁目１０番地１,,62198,埼玉県,川越市,新宿町１,竜保指令法第220378号,,菓子製造業, 菓子製造業,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,製造業,食料品製造業,,,,,,,,,ヤオコー　藤代店　（ベーカリー）,ヤオコ藤代店ベカリ,株式会社ヤオコー,,1,,,,,
ヤオコー　藤代店　（寿司）,茨城県取手市藤代南二丁目16番地2,茨城県取手市藤代南２丁目１６番地２,,0297-70-8211,飲食店営業,すし屋,株式会社　ヤオコー,川野　澄人,埼玉県川越市新宿町一丁目10番地1,埼玉県川越市新宿町１丁目１０番地１,,0492-46-7000,2022/07/07,2022/07/07,竜保指令法第220379号,,竜ケ崎保健所,ヤオコー　藤代店　（寿司）,0297,0297-70-8211,,,,茨城県取手市藤代南２丁目１６番地２,茨城県取手市藤代南２丁目１６番地２,,55204,茨城県,取手市,藤代南２,,2022/07/07,2022/07/07,,,株式会社　ヤオコー,川野　澄人,0492-46-7000,埼玉県川越市新宿町１丁目１０番地１,埼玉県川越市新宿町１丁目１０番地１,,62198,埼玉県,川越市,新宿町１,竜保指令法第220379号,,飲食店営業, すし屋,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ヤオコー　藤代店　（寿司）,ヤオコ藤代店寿司,株式会社ヤオコー,,1,,,,,
ヤオコー　藤代店　（惣菜）,茨城県取手市藤代南二丁目16番地2,茨城県取手市藤代南２丁目１６番地２,,0297-70-8211,飲食店営業,そうざい,株式会社　ヤオコー,川野　澄人,埼玉県川越市新宿町一丁目10番地1,埼玉県川越市新宿町１丁目１０番地１,,0492-46-7000,2022/07/07,2022/07/07,竜保指令法第220380号,,竜ケ崎保健所,ヤオコー　藤代店　（惣菜）,0297,0297-70-8211,,,,茨城県取手市藤代南２丁目１６番地２,茨城県取手市藤代南２丁目１６番地２,,55204,茨城県,取手市,藤代南２,,2022/07/07,2022/07/07,,,株式会社　ヤオコー,川野　澄人,0492-46-7000,埼玉県川越市新宿町１丁目１０番地１,埼玉県川越市新宿町１丁目１０番地１,,62198,埼玉県,川越市,新宿町１,竜保指令法第220380号,,飲食店営業, そうざい,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,ヤオコー　藤代店　（惣菜）,ヤオコ藤代店惣菜,株式会社ヤオコー,,1,,,,,
小貝川生き生きクラブ,茨城県取手市椚木49,茨城県取手市椚木４９,,0297-71-6520,飲食店営業,その他,公益財団法人ハーモニィセンター,村松　真哉,東京都渋谷区代々木神園町三丁目１番地　国立ｵﾘﾝﾋﾟｯｸ記念青少年総合ｾﾝﾀｰ内,東京都渋谷区代々木神園町３丁目１番地, 国立ｵﾘﾝﾋﾟｯｸ記念青少年総合ｾﾝﾀｰ内,0297-71-6520,2022/07/07,2022/07/07,竜保指令法第220381号,,竜ケ崎保健所,小貝川生き生きクラブ,0297,0297-71-6520,,,,茨城県取手市椚木４９,茨城県取手市椚木４９,,55170,茨城県,取手市,椚木,,2022/07/07,2022/07/07,,,公益財団法人ハーモニィセンター,村松　真哉,0297-71-6520,東京都渋谷区代々木神園町３丁目１番地,東京都渋谷区代々木神園町３丁目１番地,,74551,東京都,渋谷区,代々木神園町,竜保指令法第220381号,,飲食店営業, その他,,,081-089_茨城県_茨城県一括_食品衛生(許可・届出)_2022年07月_末日,宿泊業，飲食サービス業,飲食店,,,,,,,,,小貝川生き生きクラブ,小貝川生き生きクラブ,公益財団法人ハーモニィセンター,,1,,,,,
