,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022/7/1,,飲食店営業,,太田直毅,　,,三重県四日市市城東町３－１富士美荘本館１Ｆ,三重県四日市市城東町３－１,富士美荘本館１Ｆ,ホルモン・焼肉酒場松五郎,,3122010123,,四日市市保健所,ホルモン・焼肉酒場松五郎,059,,,,,三重県四日市市城東町３－１,三重県四日市市城東町３－１,富士美荘本館１Ｆ,135385,三重県,四日市市,城東町,,2022/07/01,,,,,太田直毅,,,,,,,,,3122010123,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,ホルモン・焼肉酒場松五郎,ホルモン焼肉酒場松五郎,,,1,,,,,
2022/7/1,,食肉処理業,三重県四日市市新正４－１９－３,株式会社三重県四日市畜産公社,澤田　弘之,351-2224,三重県四日市市新正４－１９－３,三重県四日市市新正４－１９－３,,株式会社三重県四日市畜産公社,351-2224,3122090001,,四日市市保健所,株式会社三重県四日市畜産公社,059,059-351-2224,,,,三重県四日市市新正４－１９－３,三重県四日市市新正４－１９－３,,135390,三重県,四日市市,新正４,,2022/07/01,,,,株式会社三重県四日市畜産公社,澤田　弘之,-351-2224,三重県四日市市新正４－１９－３,三重県四日市市新正４－１９－３,,135390,三重県,四日市市,新正４,3122090001,,食肉販売業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,株式会社三重県四日市畜産公社,株式会社三重県四日市畜産公社,株式会社三重県四日市畜産公社,,1,,,,,
2022/7/1,,飲食店営業,,中谷公人,　,,三重県四日市市諏訪栄町１０－１１村田ビル２Ｆ,三重県四日市市諏訪栄町１０－１１,村田ビル２Ｆ,愛モード,354-2163,3122010150,,四日市市保健所,愛モード,059,059-354-2163,,,,三重県四日市市諏訪栄町１０－１１,三重県四日市市諏訪栄町１０－１１,村田ビル２Ｆ,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,,中谷公人,,,,,,,,,3122010150,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,愛モード,愛モド,,,1,,,,,
2022/7/1,,飲食店営業,滋賀県湖南市下田１５１８－１,ファステストダイニング株式会社,谷口　譲,058-201-7227,三重県四日市市諏訪栄町１２－２　２Ｆ・３Ｆ,三重県四日市市諏訪栄町１２－２,２Ｆ・３Ｆ,個室ダイニング箱屋四日市店,351-7111,3122010131,,四日市市保健所,個室ダイニング箱屋四日市店,059,059-351-7111,,,,三重県四日市市諏訪栄町１２－２,三重県四日市市諏訪栄町１２－２,２Ｆ・３Ｆ,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,ファステストダイニング株式会社,谷口　譲,058-201-7227,滋賀県湖南市下田１５１８－１,滋賀県湖南市下田１５１８－１,,139750,滋賀県,湖南市,下田,3122010131,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,個室ダイニング箱屋四日市店,個室ダイニング箱屋四日市店,ファステストダイニング株式会社,,1,,,,,
2022/7/1,,飲食店営業,,田部展敬,　,,三重県四日市市諏訪栄町１９－５,三重県四日市市諏訪栄町１９－５,,Ｃａｓａ Ｔａｂｅ,351-4495,3122010108,,四日市市保健所,Ｃａｓａ Ｔａｂｅ,059,059-351-4495,,,,三重県四日市市諏訪栄町１９－５,三重県四日市市諏訪栄町１９－５,,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,,田部展敬,,,,,,,,,3122010108,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｓａ　Ｔａｂｅ,ＣａｓａＴａｂｅ,,,1,,,,,
2022/7/1,,飲食店営業,,梶川千英子,　,,三重県四日市市諏訪栄町２－７,三重県四日市市諏訪栄町２－７,,Ｂａｒ　ＲＥＡＳＯＮ,336-5505,3122010080,,四日市市保健所,Ｂａｒ　ＲＥＡＳＯＮ,059,059-336-5505,,,,三重県四日市市諏訪栄町２－７,三重県四日市市諏訪栄町２－７,,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,,梶川千英子,,,,,,,,,3122010080,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂａｒ　ＲＥＡＳＯＮ,ＢａｒＲＥＡＳＯＮ,,,1,,,,,
2022/7/1,,飲食店営業,岐阜県岐阜市日野南２－５－９,有限会社デイリーダイニング,小林　宏規,058-266-1313,三重県四日市市諏訪栄町７－３４近鉄百貨店四日市店６階,三重県四日市市諏訪栄町７－３４,近鉄百貨店四日市店６階,四日市ハワイアンビアガーデン,,3122010144,,四日市市保健所,四日市ハワイアンビアガーデン,059,,,,,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,近鉄百貨店四日市店６階,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,有限会社デイリーダイニング,小林　宏規,058-266-1313,岐阜県岐阜市日野南２－５－９,岐阜県岐阜市日野南２－５－９,,104443,岐阜県,岐阜市,日野南２,3122010144,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,四日市ハワイアンビアガーデン,四日市ハワイアンビアガデン,有限会社デイリーダイニング,,1,,,,,
2022/7/1,,飲食店営業,大阪府大阪市阿倍野区阿倍野筋１－１－４３,株式会社近鉄百貨店,秋田　拓士,353-5151,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,株式会社近鉄百貨店（柿安ダイニング）,353-5151,3122010145,,四日市市保健所,株式会社近鉄百貨店（柿安ダイニング）,059,059-353-5151,,,,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,株式会社近鉄百貨店,秋田　拓士,-353-5151,大阪府大阪市阿倍野区阿倍野筋１－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,3122010145,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社近鉄百貨店（柿安ダイニング）,株式会社近鉄百貨店柿安ダイニング,株式会社近鉄百貨店,,1,,,,,
2022/7/1,,飲食店営業,大阪府大阪市阿倍野区阿倍野筋１－１－４３,株式会社近鉄百貨店,秋田　拓士,06-6624-1111,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,株式会社近鉄百貨店四日市店１階（ブロッドン）,353-5151,3122010146,,四日市市保健所,株式会社近鉄百貨店四日市店１階（ブロッドン）,059,059-353-5151,,,,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,株式会社近鉄百貨店,秋田　拓士,06-6624-1111,大阪府大阪市阿倍野区阿倍野筋１－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,3122010146,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社近鉄百貨店四日市店１階（ブロッドン）,株式会社近鉄百貨店四日市店１階ブロッドン,株式会社近鉄百貨店,,2,,,,,
2022/7/1,,菓子製造業,大阪府大阪市阿倍野区阿倍野筋１－１－４３,株式会社近鉄百貨店,秋田　拓士,06-6624-1111,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,株式会社近鉄百貨店四日市店１階（ブロッドン）,353-5151,3122110020,,四日市市保健所,株式会社近鉄百貨店四日市店１階（ブロッドン）,059,059-353-5151,,,,三重県四日市市諏訪栄町７－３４,三重県四日市市諏訪栄町７－３４,,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,株式会社近鉄百貨店,秋田　拓士,06-6624-1111,大阪府大阪市阿倍野区阿倍野筋１－１－４３,大阪府大阪市阿倍野区阿倍野筋１－１－４３,,155077,大阪府,大阪市阿倍野区,阿倍野筋１,3122110020,,菓子製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,株式会社近鉄百貨店四日市店１階（ブロッドン）,株式会社近鉄百貨店四日市店１階ブロッドン,株式会社近鉄百貨店,,2,,,,,
2022/7/1,,飲食店営業,三重県四日市市東阿倉川７０３－１,株式会社雅,川村　公博,,三重県四日市市諏訪栄町９－３　１Ｆ,三重県四日市市諏訪栄町９－３,１Ｆ,四日市きみちゃんらーめん,355-7721,3122010122,,四日市市保健所,四日市きみちゃんらーめん,059,059-355-7721,,,,三重県四日市市諏訪栄町９－３,三重県四日市市諏訪栄町９－３,１Ｆ,135404,三重県,四日市市,諏訪栄町,,2022/07/01,,,,株式会社雅,川村　公博,,三重県四日市市東阿倉川７０３－１,三重県四日市市東阿倉川７０３－１,,135507,三重県,四日市市,東阿倉川,3122010122,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,四日市きみちゃんらーめん,四日市きみちゃんらめん,株式会社雅,,1,,,,,
2022/7/1,,飲食店営業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122010111,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122010111,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,飲食店営業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122010112,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122010112,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,飲食店営業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122010113,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122010113,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,食肉販売業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122030002,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122030002,,食肉販売業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,魚介類販売業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122040003,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122040003,,魚介類販売業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,卸売業，小売業,飲食料品小売業,,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,菓子製造業,静岡県浜松市東区篠ケ瀬町１２９５－１,マックスバリュ東海株式会社,作道　政紹,052-602-5776,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,マックスバリュ生桑店,331-1400,3122110012,,四日市市保健所,マックスバリュ生桑店,059,059-331-1400,,,,三重県四日市市生桑町１４９－１,三重県四日市市生桑町１４９－１,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,マックスバリュ東海株式会社,作道　政紹,052-602-5776,静岡県浜松市東区篠ケ瀬町１２９５－１,静岡県浜松市東区篠が瀬町１２９５－１,,110846,静岡県,浜松市東区,篠が瀬町,3122110012,,菓子製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,マックスバリュ生桑店,マックスバリュ生桑店,マックスバリュ東海株式会社,,6,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜一色町１２－１９,有限会社ビーム,森　信治,359-6050,三重県四日市市生桑町８６６－８,三重県四日市市生桑町８６６－８,,コメダ珈琲四日市生桑店,333-6620,3122010141,,四日市市保健所,コメダ珈琲四日市生桑店,059,059-333-6620,,,,三重県四日市市生桑町８６６－８,三重県四日市市生桑町８６６－８,,135254,三重県,四日市市,生桑町,,2022/07/01,,,,有限会社ビーム,森　信治,-359-6050,三重県四日市市浜一色町１２－１９,三重県四日市市浜一色町１２－１９,,135501,三重県,四日市市,浜一色町,3122010141,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,コメダ珈琲四日市生桑店,コメダ珈琲四日市生桑店,有限会社ビーム,コメダ珈琲,1,宿泊業，飲食サービス業,飲食店,専門料理店,焼肉店,
2022/7/1,,菓子製造業,,岡　光美,　,363-1980,三重県四日市市西富田町５３０－３,三重県四日市市西富田町５３０－３,,岡商店,363-1980,3122110016,,四日市市保健所,岡商店,059,059-363-1980,,,,三重県四日市市西富田町５３０－３,三重県四日市市西富田町５３０－３,,135471,三重県,四日市市,西富田町,,2022/07/01,,,,,岡　光美,-363-1980,,,,,,,,3122110016,,菓子製造業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,製造業,食料品製造業,,,,,,,,,岡商店,岡商店,,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市浜旭町１,株式会社みなとや,酒井　益幸,345-1491,三重県四日市市石原町１,三重県四日市市石原町１,,石原産業株式会社四日市工場内社員食堂みなとや,345-6113,3122010159,,四日市市保健所,石原産業株式会社四日市工場内社員食堂みなとや,059,059-345-6113,,,,三重県四日市市石原町１,三重県四日市市石原町１,,135260,三重県,四日市市,石原町,,2022/07/01,,,,株式会社みなとや,酒井　益幸,-345-1491,三重県四日市市浜旭町１,三重県四日市市浜旭町１,,135500,三重県,四日市市,浜旭町,3122010159,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,石原産業株式会社四日市工場内社員食堂みなとや,石原産業株式会社四日市工場内社員食堂みなとや,株式会社みなとや,,1,,,,,
2022/7/1,,飲食店営業,三重県四日市市日永東３－４－１,株式会社一号舘,佐藤　純,347-1100,三重県四日市市赤堀３－６－１２,三重県四日市市赤堀３－６－１２,,株式会社一号舘ときわ店,359-6800,3122010099,,四日市市保健所,株式会社一号舘ときわ店,059,059-359-6800,,,,三重県四日市市赤堀３－６－１２,三重県四日市市赤堀３－６－１２,,135236,三重県,四日市市,赤堀３,,2022/07/01,,,,株式会社一号舘,佐藤　純,-347-1100,三重県四日市市日永東３－４－１,三重県四日市市日永東３－４－１,,135529,三重県,四日市市,日永東３,3122010099,,飲食店営業,,,,(n終了)261_三重県_四日市市保健所_食品衛生(許可-届出)_2022年06月-2022年07月_末日_新規、廃止、変更,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社一号舘ときわ店,株式会社一号舘ときわ店,株式会社一号舘,,1,,,,,
