https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請区分,申請者1,,,申請者2,,申請-電話番号1,施設-住所1,施設-マンション名,施設-電話番号1,,,施設名,業種,業態,確認番号,許可期間開始日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請等種別,申請者＿申請者名,申請者＿役職名,申請者＿その他役職名,申請者＿代表者,,申請者＿電話番号,所在地１,所在地２,施設＿所在地電話番号,施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,,業種,種目（営業の種類）（給食の種類）,許可番号,許可開始日,初回許可年月日,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
新規申請,株式会社ＳｏｃｉａｌＤｅｓｉｇｎ,代表取締役,,北野　勇樹,代表取締役　北野　勇樹,              ,名護市宮里１００４　２Ｆ,,              ,ｃｏｃｏｎｏｂａｒ,,ｃｏｃｏｎｏｂａｒ　,飲食店営業,バー,第01202100698号,R04.02.04,R04.02.04,,465,ｃｏｃｏｎｏｂａｒ　,0980,,,,,名護市宮里１００４　２Ｆ,沖縄県名護市宮里１００４２Ｆ,,215759,47,47209,宮里１,,2022/02/04,,2022/02/04,,株式会社ＳｏｃｉａｌＤｅｓｉｇｎ,代表取締役　北野　勇樹,,,,,,,,,第01202100698号,新規,飲食店営業, バー,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ｃｏｃｏｎｏｂａｒ21575947209,343e5e48-3e00-411d-94d8-430d91a4af51,株式会社ＳｏｃｉａｌＤｅｓｉｇｎ,1d552288-0da3-4acc-98a2-294012b636b5,88fdbe71-7795-4c04-8f09-646fbf0fe3f7,2022/02/04,ｃｏｃｏｎｏｂａｒ　,ｃｏｃｏｎｏｂａｒ,株式会社ＳｏｃｉａｌＤｅｓｉｇｎ
新規申請,株式会社はま寿司,代表取締役,,遠藤　哲郎,代表取締役　遠藤　哲郎,03-6833-8302  ,名護市宮里１４７５－２,,0980-45-0331  ,はま寿司　名護店,,はま寿司　名護店　,飲食店営業,レストラン,第01202100745号,R04.02.28,R04.02.28,,465,はま寿司　名護店　,0980,0980-45-0331,,,,名護市宮里１４７５－２,沖縄県名護市宮里１４７５－２,,215759,47,47209,宮里１,,2022/02/28,,2022/02/28,,株式会社はま寿司,代表取締役　遠藤　哲郎,03-6833-8302  ,,,,,,,,第01202100745号,新規,飲食店営業, レストラン,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,はま寿司名護店0980-45-033121575947209,b7a39d6f-636a-4f42-865d-658949fef673,株式会社はま寿司,2b79cd04-91ec-4254-8c8c-7ab1089b5c9d,07fb055a-7b11-4003-9556-5fe41597fb5f,2022/02/28,はま寿司　名護店　,はま寿司名護店,株式会社はま寿司
新規申請,日本マクドナルド株式会社,代表取締役,,日色　保,代表取締役　日色　保,03-6911-5000  ,名護市東江４－２４－１７,,0980-52-0710  ,日本マクドナルド名護店,,日本マクドナルド名護店　,飲食店営業,レストラン,第01202100681号,R04.01.28,R04.01.28,,465,日本マクドナルド名護店　,0980,0980-52-0710,,,,名護市東江４－２４－１７,沖縄県名護市東江４－２４－１７,,215775,47,47209,東江４,,2022/01/28,,2022/01/28,,日本マクドナルド株式会社,代表取締役　日色　保,03-6911-5000  ,,,,,,,,第01202100681号,新規,飲食店営業, レストラン,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,日本マクドナルド名護店0980-52-071021577547209,bf39680e-3b76-4d19-8617-741df9275caf,日本マクドナルド株式会社,8e34842b-9519-463e-b36a-8a12169b37c5,37774dcf-7b85-41a0-99b4-538fe34e2aa4,2022/01/28,日本マクドナルド名護店　,日本マクドナルド名護店,日本マクドナルド株式会社
新規申請,農業生産法人合資会社稲穂産業,代表社員,,尾関　茂雄,代表社員　尾関　茂雄,050-5319-8882 ,沖縄県全域（沖縄４８０ ゆ ９８２７）,,050-5319-8882 ,ＩＮＡＨＯキッチンカー,,ＩＮＡＨＯキッチンカー　,飲食店営業,自動車営業80L,第01202100701号,R04.02.04,R04.02.04,,465,ＩＮＡＨＯキッチンカー　,,050-5319-8882,,,,沖縄県全域（沖縄４８０ ゆ ９８２７）,沖縄県全域,（沖縄４８０ゆ９８２７）,,47,,,,2022/02/04,,2022/02/04,,農業生産法人合資会社稲穂産業,代表社員　尾関　茂雄,050-5319-8882 ,,,,,,,,第01202100701号,新規,飲食店営業, 自動車営業80L,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＩＮＡＨＯキッチンカ050-5319-8882,d2514e86-11de-413e-af24-aff029a01c04,農業生産法人合資会社稲穂産業,5d3594a1-0182-44e6-9fbf-b13d57df0f3d,9ea9e3cf-4402-488b-888d-79ac3b1e8cfc,2022/02/04,ＩＮＡＨＯキッチンカー　,ＩＮＡＨＯキッチンカ,農業生産法人合資会社稲穂産業
新規申請,株式会社ファンフロンティア,代表取締役,,岩田　秀樹,代表取締役　岩田　秀樹,0852-20-2828  ,名護市名護４５１３,,0980-43-6528  ,しゃぶしゃぶ温野菜,ザ・フォレストモール名護店,しゃぶしゃぶ温野菜　ザ・フォレストモール名護店,飲食店営業,レストラン,第01202100642号,R04.01.13,R04.01.13,,465,しゃぶしゃぶ温野菜　ザ・フォレストモール名護店,0980,0980-43-6528,,,,名護市名護４５１３,沖縄県名護市名護４５１３,,215751,47,47209,名護,,2022/01/13,,2022/01/13,,株式会社ファンフロンティア,代表取締役　岩田　秀樹,0852-20-2828  ,,,,,,,,第01202100642号,新規,飲食店営業, レストラン,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,しゃぶしゃぶ温野菜ザフォレストモル名護店0980-43-652821575147209,5e073192-73d7-40b1-b8d7-bf6abcd4ea10,株式会社ファンフロンティア,29ae6f41-8fba-4148-a46d-c12a97ee57ed,8c7fc977-15ad-4bf5-938a-f166079ae0bb,2022/01/13,しゃぶしゃぶ温野菜　ザ・フォレストモール名護店,しゃぶしゃぶ温野菜ザフォレストモル名護店,株式会社ファンフロンティア
新規申請,株式会社コシダカ,代表取締役,,腰髙　博,代表取締役　腰髙　博,09-6403-5711  ,名護市宮里６－４－２１,メガネ一番２階,0980-43-0654  ,カラオケまねきねこ　名護宮里店,,カラオケまねきねこ　名護宮里店　,飲食店営業,食堂,第01202100712号,R04.02.16,R04.02.16,,465,カラオケまねきねこ　名護宮里店　,0980,0980-43-0654,,,,名護市宮里６－４－２１,沖縄県名護市宮里６－４－２１,メガネ一番２階,215764,47,47209,宮里６,,2022/02/16,,2022/02/16,,株式会社コシダカ,代表取締役　腰髙　博,03-6403-5711  ,,,,,,,,第01202100712号,新規,飲食店営業, 食堂,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,カラオケまねきねこ名護宮里店0980-43-065421576447209,54052d30-cb2e-427f-ba5c-a91a15e196dd,株式会社コシダカ,ad4e47e7-6a3a-4432-851f-798f4fa70ef9,5e05f356-873d-4778-bc6c-0de6a8e30cb6,2022/02/16,カラオケまねきねこ　名護宮里店　,カラオケまねきねこ名護宮里店,株式会社コシダカ
新規申請,株式会社Phoenix,代表取締役,,金原　章敦,代表取締役　金原　章敦,098-890-2777  ,名護市宮里１０７４,,              ,ドミノピザ名護宮里店,,ドミノピザ名護宮里店　,飲食店営業,そうざい,第01202100682号,R04.01.28,R04.01.28,,465,ドミノピザ名護宮里店　,0980,,,,,名護市宮里１０７４,沖縄県名護市宮里１０７４,,215759,47,47209,宮里１,,2022/01/28,,2022/01/28,,株式会社Phoenix,代表取締役　金原　章敦,098-890-2777  ,,,,,,,,第01202100682号,新規,飲食店営業, そうざい,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ドミノピザ名護宮里店21575947209,dc599972-8977-4e15-81bf-bd97e19e27ed,株式会社Ｐｈｏｅｎｉｘ,718e6463-fdc4-4237-8f02-c061fda01541,222598fb-4559-4a9c-ad28-ab1020c91d27,2022/01/28,ドミノピザ名護宮里店　,ドミノピザ名護宮里店,株式会社Ｐｈｏｅｎｉｘ
新規申請,株式会社全国チェーン竜鳳,代表取締役,,鈴木　美圭,代表取締役　鈴木　美圭,098-955-0266  ,北部保健所管内,,              ,やきとり竜鳳１９１２,,やきとり竜鳳１９１２　,飲食店営業,臨時営業80L,第01202100670号,R04.01.27,R04.01.27,,465,やきとり竜鳳１９１２　,,,,,,北部保健所管内,沖縄県北部保健所管内,,,47,,,,2022/01/27,,2022/01/27,,株式会社全国チェーン竜鳳,代表取締役　鈴木　美圭,098-955-0266  ,,,,,,,,第01202100670号,新規,飲食店営業, 臨時営業80L,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,やきとり竜鳳１９１２,02f68cf3-5b02-4699-bd56-7795f382e72b,株式会社全国チェーン竜鳳,047582e5-f52c-463d-b6d3-cb381356594e,48d39573-ed6b-4c70-8993-f8aaf53e83d1,2022/01/27,やきとり竜鳳１９１２　,やきとり竜鳳１９１２,株式会社全国チェーン竜鳳
新規申請,沖縄旭産業株式会社,代表取締役,,金子　秀二,代表取締役　金子　秀二,098-970-6137  ,名護市屋我３,,098-954-3596  ,アルカシルカ,,アルカシルカ　,飲食店営業,レストラン,第01202100697号,R04.02.03,R04.02.03,,465,アルカシルカ　,0980,098-954-3596,,,,名護市屋我３,沖縄県名護市屋我３,,215766,47,47209,屋我,,2022/02/03,,2022/02/03,,沖縄旭産業株式会社,代表取締役　金子　秀二,098-970-6137  ,,,,,,,,第01202100697号,新規,飲食店営業, レストラン,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,アルカシルカ098-954-359621576647209,14eb89e0-e8c3-41c1-b2da-3060b3dc1ab7,沖縄旭産業株式会社,915baa74-3e4f-4d1a-be25-0fc506fbe9f6,9ae90c69-f3e7-46a0-a19f-4da6a1c5167e,2022/02/03,アルカシルカ　,アルカシルカ,沖縄旭産業株式会社
新規申請,株式会社ふく薬品,代表取締役,,田仲　康晃,代表取締役　田仲　康晃,098-987-1841  ,名護市宇茂佐１７０３－１０１,,0980-54-9511  ,ファミリーマートふく薬品名護店,,ファミリーマートふく薬品名護店　,飲食店営業,そうざい,第01202100687号,R04.01.31,R04.01.31,,465,ファミリーマートふく薬品名護店　,0980,0980-54-9511,,,,名護市宇茂佐１７０３－１０１,沖縄県名護市宇茂佐１７０３－１０１,,215724,47,47209,宇茂佐,,2022/01/31,,2022/01/31,,株式会社ふく薬品,代表取締役　田仲　康晃,098-987-1841  ,,,,,,,,第01202100687号,新規,飲食店営業, そうざい,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ファミリマトふく薬品名護店0980-54-951121572447209,66a7991e-08dd-4822-b001-f82c8099a111,株式会社ふく薬品,1feaa987-e74e-4800-82ac-509d40a55a95,cd5d7424-bc95-487d-ae78-25d54a920901,2022/01/31,ファミリーマートふく薬品名護店　,ファミリマトふく薬品名護店,株式会社ふく薬品
新規申請,農業生産法人株式会社沖縄美ら島ファーム,代表取締役,,前川　和弘,代表取締役　前川　和弘,0980-43-5553  ,国頭郡本部町字大浜８７４－１１　１F,,0980-43-5553  ,スムージー製造工場,,スムージー製造工場　,清涼飲料水製造業,清涼飲料水製造業,第01202100691号,R04.01.31,R04.01.31,,465,スムージー製造工場　,0980,0980-43-5553,,,,国頭郡本部町字大浜８７４－１１,沖縄県国頭郡本部町字大浜８７４－１１,１F,216230,47,47308,大浜,,2022/01/31,,2022/01/31,,農業生産法人株式会社沖縄美ら島ファーム,代表取締役　前川　和弘,0980-43-5553  ,,,,,,,,第01202100691号,新規,清涼飲料水製造業, 清涼飲料水製造業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,10,,,スムジ製造工場0980-43-555321623047308,06be5820-6a20-4d71-af49-06f5cd941023,農業生産法人株式会社沖縄美ら島ファーム,3a3dabf7-3d8e-4e12-9687-c7d29bee98bd,c2d3bf96-05b5-4edd-a265-011a0e55ba94,2022/01/31,スムージー製造工場　,スムジ製造工場,農業生産法人株式会社沖縄美ら島ファーム
新規申請,株式会社サニーモーメント,代表取締役,,大滝　徹也,代表取締役　大滝　徹也,0980-43-5821  ,名護市旭川１４７,,0980-43-5821  ,サニータコス,,サニータコス　,菓子製造業,菓子製造業,第01202100677号,R04.01.27,R04.01.27,,465,サニータコス　,0980,0980-43-5821,,,,名護市旭川１４７,沖縄県名護市旭川１４７,,215719,47,47209,旭川,,2022/01/27,,2022/01/27,,株式会社サニーモーメント,代表取締役　大滝　徹也,0980-43-5821  ,,,,,,,,第01202100677号,新規,菓子製造業, 菓子製造業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,サニタコス0980-43-582121571947209,9af711a5-8a12-445d-998b-031c2367ca7f,株式会社サニーモーメント,369e8235-d42e-4774-ade1-8fb279b0d5d8,35408922-455a-4dc0-bab8-2b3cfe143190,2022/01/27,サニータコス　,サニタコス,株式会社サニーモーメント
新規申請,株式会社サニーモーメント,代表取締役,,大滝　徹也,代表取締役　大滝　徹也,0980-43-5821  ,名護市旭川１４７,,0980-43-5821  ,サニータコス,,サニータコス　,そうざい製造業,そうざい製造業,第01202100676号,R04.01.27,R04.01.27,,465,サニータコス　,0980,0980-43-5821,,,,名護市旭川１４７,沖縄県名護市旭川１４７,,215719,47,47209,旭川,,2022/01/27,,2022/01/27,,株式会社サニーモーメント,代表取締役　大滝　徹也,0980-43-5821  ,,,,,,,,第01202100676号,新規,そうざい製造業, そうざい製造業,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,サニタコス0980-43-582121571947209,9af711a5-8a12-445d-998b-031c2367ca7f,株式会社サニーモーメント,369e8235-d42e-4774-ade1-8fb279b0d5d8,a36d158c-beca-44f8-bb90-fc62cf795697,2022/01/27,サニータコス　,サニタコス,株式会社サニーモーメント
新規申請,株式会社サニーモーメント,代表取締役,,大滝　徹也,代表取締役　大滝　徹也,0980-43-5821  ,名護市旭川１４７,,0980-43-5821  ,サニータコス,,サニータコス　,漬物製造業,漬物製造,第01202100675号,R04.01.27,R04.01.27,,465,サニータコス　,0980,0980-43-5821,,,,名護市旭川１４７,沖縄県名護市旭川１４７,,215719,47,47209,旭川,,2022/01/27,,2022/01/27,,株式会社サニーモーメント,代表取締役　大滝　徹也,0980-43-5821  ,,,,,,,,第01202100675号,新規,漬物製造業, 漬物製造,,,465_沖縄県_北部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,サニタコス0980-43-582121571947209,9af711a5-8a12-445d-998b-031c2367ca7f,株式会社サニーモーメント,369e8235-d42e-4774-ade1-8fb279b0d5d8,7ebb4f39-e524-4a90-935f-b5772e9492ee,2022/01/27,サニータコス　,サニタコス,株式会社サニーモーメント
