https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41-053327,港南生指令第436,株式会社Ｇ．Ａ．Ｎ．Ｆ,,神奈川県,横浜市港南区上大岡西3-1-20,横浜市港南区上大岡西３－１－２０,,いっしん ,877-4901,飲食店営業,,2022年1月18日,2029年1月17日,2022年1月18日,,141,いっしん ,045,045-877-4901,,,,神奈川県　横浜市港南区上大岡西３－１－２０,神奈川県横浜市港南区上大岡西３－１－２０,,79328,14,14111,上大岡西３,,2022/01/18,2022/01/18,,2029/01/17,株式会社Ｇ．Ａ．Ｎ．Ｆ,,,,,,,,,,港南生指令第436,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,いっしん045-877-49017932814111,b493cf30-ff70-4ca7-b5db-b82cef87bdf3,株式会社Ｇ．Ａ．Ｎ．Ｆ,bc3d79eb-ae38-4ca7-ab04-032a71ec46fe,4fa866e2-bfcf-4fb6-b900-f8ee858c2c55,2022/01/18,いっしん　,いっしん,株式会社Ｇ．Ａ．Ｎ．Ｆ
41-053329,港南生第9269,社会福祉法人伸愛会,,神奈川県,横浜市港南区大久保2-6-29,横浜市港南区大久保２－６－２９,,上大岡はるかぜ保育園 ,848-3030,集団給食施設,,2022年1月15日,2117年12月31日,2022年1月15日,,141,上大岡はるかぜ保育園 ,045,045-848-3030,,,,神奈川県　横浜市港南区大久保２－６－２９,神奈川県横浜市港南区大久保２－６－２９,,79324,14,14111,大久保２,,2022/01/15,2022/01/15,,2117/12/31,社会福祉法人伸愛会,,,,,,,,,,港南生第9269,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,77,,,上大岡はるかぜ保育園045-848-30307932414111,e13b3d51-ac75-409e-9c5c-bd93240179a6,社会福祉法人伸愛会,b03625cf-f2a4-4f06-9402-9d0b24877258,1e49f754-fa41-4d0e-ac9e-80b48c4095e5,2022/01/15,上大岡はるかぜ保育園　,上大岡はるかぜ保育園,社会福祉法人伸愛会
41-053330,港南生第9273,株式会社オオモリ,,神奈川県,横浜市港南区港南台3-1-3,横浜市港南区港南台３－１－３,,上島珈琲店　港南台バーズ ,836-3100,その他の食料・飲料販売業,,2022年1月19日,2117年12月31日,2022年1月19日,,141,上島珈琲店　港南台バーズ ,045,045-836-3100,,,,神奈川県　横浜市港南区港南台３－１－３,神奈川県横浜市港南区港南台３－１－３,,79370,14,14111,港南台３,,2022/01/19,2022/01/19,,2117/12/31,株式会社オオモリ,,,,,,,,,,港南生第9273,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,99,,上島珈琲店港南台バズ045-836-31007937014111,9222f22a-4734-4f8b-b0e0-d8695f6fb39a,株式会社オオモリ,ceb2ac24-206b-4d12-9f4a-1c5fb8600841,13a8ff03-c9e7-4a6e-ba3f-95b3e24887be,2022/01/19,上島珈琲店　港南台バーズ　,上島珈琲店港南台バズ,株式会社オオモリ
41-053331,港南生指令第442,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ａエリア　1／20～2／3 ,,飲食店営業,,2022年1月20日,2022年2月3日,2022年1月20日,,141,大九州展Ａエリア　1／20～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/20,2022/01/20,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第442,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,大九州展Ａエリア１２０２３7932614111,37e347b1-38d6-46af-bd18-c87e3e479671,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,eebbef53-de0a-4f14-bc1b-39e89919f704,2022/01/20,大九州展Ａエリア　１／２０～２／３　,大九州展Ａエリア１２０２３,株式会社京急百貨店
41-053332,港南生指令第443,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ｂ・Ｃエリア第一弾　1／20～2／3 ,,飲食店営業,,2022年1月20日,2022年2月3日,2022年1月20日,,141,大九州展Ｂ・Ｃエリア第一弾　1／20～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/20,2022/01/20,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第443,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,大九州展ＢＣエリア第一弾１２０２３7932614111,b13231c3-9f94-4136-9357-2daf05dd88fc,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,d91f9284-2f5c-4233-8e57-f0971b0292ea,2022/01/20,大九州展Ｂ・Ｃエリア第一弾　１／２０～２／３　,大九州展ＢＣエリア第一弾１２０２３,株式会社京急百貨店
41-053333,港南生指令第444,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ｂ・Ｃエリア第一弾　1／20～2／3 ,,菓子製造業,,2022年1月20日,2022年2月3日,2022年1月20日,,141,大九州展Ｂ・Ｃエリア第一弾　1／20～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/20,2022/01/20,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第444,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,,,大九州展ＢＣエリア第一弾１２０２３7932614111,b13231c3-9f94-4136-9357-2daf05dd88fc,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,6e8d9236-708b-44dd-829a-c5a29e99ae97,2022/01/20,大九州展Ｂ・Ｃエリア第一弾　１／２０～２／３　,大九州展ＢＣエリア第一弾１２０２３,株式会社京急百貨店
41-053334,港南生指令第445,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ｄエリア　1／20～2／3 ,,飲食店営業,,2022年1月20日,2022年2月3日,2022年1月20日,,141,大九州展Ｄエリア　1／20～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/20,2022/01/20,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第445,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,大九州展Ｄエリア１２０２３7932614111,bb169f25-a0ee-4de0-ada1-54d036875162,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,de69605c-b4ac-41a3-90ea-b3069a666726,2022/01/20,大九州展Ｄエリア　１／２０～２／３　,大九州展Ｄエリア１２０２３,株式会社京急百貨店
41-053335,港南生指令第446,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ｄエリア　1／20～2／3 ,,菓子製造業,,2022年1月20日,2022年2月3日,2022年1月20日,,141,大九州展Ｄエリア　1／20～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/20,2022/01/20,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第446,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,,,大九州展Ｄエリア１２０２３7932614111,bb169f25-a0ee-4de0-ada1-54d036875162,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,62a3a767-c6f7-4bb1-bd49-5f09e79536e5,2022/01/20,大九州展Ｄエリア　１／２０～２／３　,大九州展Ｄエリア１２０２３,株式会社京急百貨店
41-053336,港南生指令第437,株式会社Ｇ．Ａ．Ｎ．Ｆ,,神奈川県,横浜市港南区上大岡東1-11-26 上大岡skビル1F,横浜市港南区上大岡東１－１１－２６,上大岡skビル１F,肉匠　いっしん ,342-8173,飲食店営業,,2022年1月21日,2029年1月20日,2022年1月21日,,141,肉匠　いっしん ,045,045-342-8173,,,,神奈川県　横浜市港南区上大岡東１－１１－２６,神奈川県横浜市港南区上大岡東１－１１－２６,上大岡skビル１F,79329,14,14111,上大岡東１,,2022/01/21,2022/01/21,,2029/01/20,株式会社Ｇ．Ａ．Ｎ．Ｆ,,,,,,,,,,港南生指令第437,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,肉匠いっしん045-342-81737932914111,7c7ed35a-1a51-4b2a-8083-5a3f17ae40ba,株式会社Ｇ．Ａ．Ｎ．Ｆ,bc3d79eb-ae38-4ca7-ab04-032a71ec46fe,9d410562-f23a-4c36-991b-f527ff03a569,2022/01/21,肉匠　いっしん　,肉匠いっしん,株式会社Ｇ．Ａ．Ｎ．Ｆ
41-053337,港南生指令第448,,平林 勝幸,神奈川県,横浜市港南区丸山台1-13-1,横浜市港南区丸山台１－１３－１,,炭火焼鳥いちまる ,841-4126,そうざい製造業,,2022年1月25日,2029年1月24日,2022年1月25日,,141,炭火焼鳥いちまる ,045,045-841-4126,,,,神奈川県　横浜市港南区丸山台１－１３－１,神奈川県横浜市港南区丸山台１－１３－１,,79364,14,14111,丸山台１,,2022/01/25,2022/01/25,,2029/01/24,,平林 勝幸,,,,,,,,,港南生指令第448,,そうざい製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,,,炭火焼鳥いちまる045-841-41267936414111,10ffee5f-40ef-4f8b-b095-35cbd6cab2b4,,personal,cddcc43f-bf2e-49b7-a465-1b4447c73c3c,2022/01/25,炭火焼鳥いちまる　,炭火焼鳥いちまる,
41-053339,港南生指令第450,,浅井 花音ジュリア,神奈川県,横浜市港南区丸山台4-8-20,横浜市港南区丸山台４－８－２０,,カフェ　プリュム ,280-3151,飲食店営業,,2022年1月28日,2028年1月27日,2022年1月28日,,141,カフェ　プリュム ,045,045-280-3151,,,,神奈川県　横浜市港南区丸山台４－８－２０,神奈川県横浜市港南区丸山台４－８－２０,,79367,14,14111,丸山台４,,2022/01/28,2022/01/28,,2028/01/27,,浅井 花音ジュリア,,,,,,,,,港南生指令第450,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,カフェプリュム045-280-31517936714111,cce8a084-c557-47a0-b7a0-9224527a3e77,,personal,1d8f6f02-60e5-4b25-a8ca-852fc9149fa4,2022/01/28,カフェ　プリュム　,カフェプリュム,
41-053340,港南生第9304,株式会社スマイルダイニング,,神奈川県,横浜市港南区港南台3-1-3 港南台バーズ,横浜市港南区港南台３－１－３,港南台バーズ,パティスリー雪乃下港南台バーズ店 ,370-8205,その他の食料・飲料販売業,,2022年1月21日,2117年12月31日,2022年1月21日,,141,パティスリー雪乃下港南台バーズ店 ,045,045-370-8205,,,,神奈川県　横浜市港南区港南台３－１－３,神奈川県横浜市港南区港南台３－１－３,港南台バーズ,79370,14,14111,港南台３,,2022/01/21,2022/01/21,,2117/12/31,株式会社スマイルダイニング,,,,,,,,,,港南生第9304,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,99,,パティスリ雪乃下港南台バズ店045-370-82057937014111,701c274c-469d-45f5-a492-8c99ce95ef4d,株式会社スマイルダイニング,fe931662-3453-46cd-94a3-2063e837ad1a,52a671ba-21cf-47a4-89ab-0c3f8a6aca81,2022/01/21,パティスリー雪乃下港南台バーズ店　,パティスリ雪乃下港南台バズ店,株式会社スマイルダイニング
41-053341,港南生指令第454,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 B1F,横浜市港南区上大岡西１－６－１,B１F,東京うまいもの会　1／27～２／２ ,,飲食店営業,,2022年1月27日,2022年2月2日,2022年1月27日,,141,東京うまいもの会　1／27～２／２ ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,B１F,79326,14,14111,上大岡西１,,2022/01/27,2022/01/27,,2022/02/02,株式会社京急百貨店,,,,,,,,,,港南生指令第454,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,東京うまいもの会１２７２２7932614111,60074406-e877-4e32-884f-7cf5bd9f8114,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,f343b28b-5aa9-44f1-89f4-88f8f53d9e04,2022/01/27,東京うまいもの会　１／２７～２／２　,東京うまいもの会１２７２２,株式会社京急百貨店
41-053343,港南生指令第457,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ａエリア第二弾　１／28～2／3 ,,菓子製造業,,2022年1月28日,2022年2月3日,2022年1月28日,,141,大九州展Ａエリア第二弾　１／28～2／3 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/28,2022/01/28,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第457,,菓子製造業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,E,9,,,大九州展Ａエリア第二弾１２８２３7932614111,8449ec37-3a95-4d84-b2df-3d55b16c8bd8,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,e08c1041-2b12-4576-9edf-f7a89a6e15be,2022/01/28,大九州展Ａエリア第二弾　１／２８～２／３　,大九州展Ａエリア第二弾１２８２３,株式会社京急百貨店
41-053344,港南生指令第458,株式会社京急百貨店,,神奈川県,横浜市港南区上大岡西1-6-1 7F,横浜市港南区上大岡西１－６－１,７F,大九州展Ｂ・Ｃエリア第二弾　1／28～２／03 ,,飲食店営業,,2022年1月28日,2022年2月3日,2022年1月28日,,141,大九州展Ｂ・Ｃエリア第二弾　1／28～２／03 ,045,,,,,神奈川県　横浜市港南区上大岡西１－６－１,神奈川県横浜市港南区上大岡西１－６－１,７F,79326,14,14111,上大岡西１,,2022/01/28,2022/01/28,,2022/02/03,株式会社京急百貨店,,,,,,,,,,港南生指令第458,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2022年01月_末日_新規、廃止(1)‗13,M,76,,,大九州展ＢＣエリア第二弾１２８２０３7932614111,9d7224dc-8bd0-42f9-92d5-c4515ef33f8e,株式会社京急百貨店,498aac3e-315e-446b-bb23-5f11bd4cb266,8faf652b-9315-469c-b7b1-4bdbb2ff3704,2022/01/28,大九州展Ｂ・Ｃエリア第二弾　１／２８～２／０３　,大九州展ＢＣエリア第二弾１２８２０３,株式会社京急百貨店
