https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請年月日,申請者1,申請者2,申請-電話番号1,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,その他,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,令3年10月28日,㈱キャメル珈琲,尾田信夫,03-3412-5640,カルディコーヒーファーム  蔦屋書店熊本三年坂店,熊本市中央区安政町1-2  蔦屋書店熊本三年坂  1F,熊本市中央区安政町１－２,蔦屋書店熊本三年坂 １F,312-1688,その他の食料・飲料販売業,,指令（食保）第50747号,,423,カルディコーヒーファーム  蔦屋書店熊本三年坂店,096,096-312-1688,,,,熊本市中央区安政町１－２,熊本県熊本市中央区安政町１－２,蔦屋書店熊本三年坂 １F,207798,43,43101,安政町,2021/10/28,,,,,㈱キャメル珈琲,尾田信夫,03-3412-5640,,,,,,,,指令（食保）第50747号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,カルディコヒファム蔦屋書店熊本三年坂店096-312-168820779843101,6c4fb775-660e-4f5a-9a64-5a45fecca6dc,株式会社キャメル珈琲,f0a034fd-5bd5-4f1f-afc4-763ae6743ac5,d90ca418-917a-4abf-8954-0abdfa89bf3a,2021/10/28,カルディコーヒーファーム　蔦屋書店熊本三年坂店,カルディコヒファム蔦屋書店熊本三年坂店,株式会社キャメル珈琲
458,令3年10月28日,㈱キャメル珈琲,尾田信夫,03-3412-5640,カルディコーヒーファーム  ゆめタウンはません店,熊本市南区田井島1-2-1  ゆめタウンはません  1Ｆ,熊本市南区田井島１－２－１ ,ゆめタウンはません １Ｆ,377-5255,その他の食料・飲料販売業,,指令（食保）第50746号,,423,カルディコーヒーファーム  ゆめタウンはません店,096,096-377-5255,,,,熊本市南区田井島１－２－１ ,熊本県熊本市南区田井島１－２－１,ゆめタウンはません １Ｆ,208413,43,43104,田井島１,2021/10/28,,,,,㈱キャメル珈琲,尾田信夫,03-3412-5640,,,,,,,,指令（食保）第50746号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,カルディコヒファムゆめタウンはません店096-377-525520841343104,c5d8e9c1-5d0e-494f-b3c6-05e3691482b4,株式会社キャメル珈琲,f0a034fd-5bd5-4f1f-afc4-763ae6743ac5,a51a630b-842f-4998-8288-ace636dda986,2021/10/28,カルディコーヒーファーム　ゆめタウンはません店,カルディコヒファムゆめタウンはません店,株式会社キャメル珈琲
532,令3年11月05日,㈱キャメル珈琲,尾田信夫,03-3412-5640,カルディコーヒーファーム  サクラマチ店,熊本市中央区桜町3-10SAKURA MACHI Kumamoto B1F,熊本市中央区桜町３－１０,SAKURA MACHI Kumamoto B１F,312-5770,その他の食料・飲料販売業,,指令（食保）第50816号,,423,カルディコーヒーファーム  サクラマチ店,096,096-312-5770,,,,熊本市中央区桜町３－１０,熊本県熊本市中央区桜町３－１０,SAKURA MACHI Kumamoto B１F,207894,43,43101,桜町,2021/11/05,,,,,㈱キャメル珈琲,尾田信夫,03-3412-5640,,,,,,,,指令（食保）第50816号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,カルディコヒファムサクラマチ店096-312-577020789443101,c2787b67-ccc5-4f3f-8e8b-16c17a97c685,株式会社キャメル珈琲,f0a034fd-5bd5-4f1f-afc4-763ae6743ac5,6bb9998e-1c1e-4cff-8954-d1c5f5bc1d10,2021/11/05,カルディコーヒーファーム　サクラマチ店,カルディコヒファムサクラマチ店,株式会社キャメル珈琲
764,令3年11月25日,キーコーヒー㈱,柴田裕,03-3431-3806,熊本営業所,熊本市中央区島崎1-15-17,熊本市中央区島崎１－１５－１７,,322-2682,その他の食料・飲料販売業,,指令（食保）第51053号,,423,熊本営業所,096,096-322-2682,,,,熊本市中央区島崎１－１５－１７,熊本県熊本市中央区島崎１－１５－１７,,207896,43,43101,島崎１,2021/11/25,,,,,キーコーヒー㈱,柴田裕,03-3431-3806,,,,,,,,指令（食保）第51053号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,熊本営業所096-322-268220789643101,73bcf764-21da-4217-a932-0c44732e7665,キーコーヒー株式会社,345f5fed-f5a2-493f-b5aa-39add2d3ec35,9f030628-0729-4abc-92ca-bbe8cc0cd242,2021/11/25,熊本営業所,熊本営業所,キーコーヒー株式会社
739,令3年11月24日,日本赤十字社,大塚  義治,03-3438-1311,熊本赤十字病院,熊本市東区長嶺南2丁目1-1,熊本市東区長嶺南２丁目１－１,,384-2111,集団給食施設,,指令（食保）第6511号,,423,熊本赤十字病院,096,096-384-2111,,,,熊本市東区長嶺南２丁目１－１,熊本県熊本市東区長嶺南２丁目１－１,,208151,43,43102,長嶺南２,2021/11/24,,,,,日本赤十字社 ,大塚  義治,03-3438-1311,,,,,,,,指令（食保）第6511号,,給食施設,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,M,77,,,熊本赤十字病院096-384-211120815143102,733e80c1-bc02-47e7-8d76-6bdb289d9864,日本赤十字社　,4886f175-3fc7-4dfe-b10d-d2cf3cc5f220,a1baf98d-57ba-43e6-9151-ee63ca3015a4,2021/11/24,熊本赤十字病院,熊本赤十字病院,日本赤十字社　
740,令3年11月24日,日本赤十字社,大塚  義治,03-3438-1311,熊本赤十字病院,熊本市東区長嶺南2丁目1-1,熊本市東区長嶺南２丁目１－１,,384-2111,集団給食施設,,指令（食保）第6512号,,423,熊本赤十字病院,096,096-384-2111,,,,熊本市東区長嶺南２丁目１－１,熊本県熊本市東区長嶺南２丁目１－１,,208151,43,43102,長嶺南２,2021/11/24,,,,,日本赤十字社 ,大塚  義治,03-3438-1311,,,,,,,,指令（食保）第6512号,,給食施設,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,M,77,,,熊本赤十字病院096-384-211120815143102,733e80c1-bc02-47e7-8d76-6bdb289d9864,日本赤十字社　,4886f175-3fc7-4dfe-b10d-d2cf3cc5f220,901c5b27-b72b-479d-a1c2-263a978fc3aa,2021/11/24,熊本赤十字病院,熊本赤十字病院,日本赤十字社　
900,令3年11月30日,スターゼン㈱,横田和彦,03-3471-5521,スターゼン株式会社  熊本営業所,熊本市北区植木町亀甲山の下226-1,熊本市北区植木町亀甲山の下２２６－１,,,食肉販売業（包装済みの食肉のみの販売）,,指令（食保）第51051号,,423,スターゼン株式会社  熊本営業所,096,,,,,熊本市北区植木町亀甲山の下２２６－１,熊本県熊本市北区植木町亀甲山ノ下２２６－１,,208558,43,43105,植木町亀甲,2021/11/30,,,,,スターゼン㈱,横田和彦,03-3471-5521,,,,,,,,指令（食保）第51051号,,食肉販売業,包装済みの食肉のみの販売,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,583,,スタゼン株式会社熊本営業所20855843105,f7453953-a9a1-45c0-b24e-5be87ec13f0f,スターゼン株式会社,1f75d600-01d9-4781-a2b7-0927af071960,fb4fcc8d-b1cb-4256-b8e4-805795a09a5d,2021/11/30,スターゼン株式会社熊本営業所,スタゼン株式会社熊本営業所,スターゼン株式会社
901,令3年11月30日,スターゼン㈱,横田和彦,03-3471-5521,スターゼン株式会社  熊本営業所,熊本市北区植木町亀甲山の下226-1,熊本市北区植木町亀甲山の下２２６－１,,,その他の食料・飲料販売業,,指令（食保）第51052号,,423,スターゼン株式会社  熊本営業所,096,,,,,熊本市北区植木町亀甲山の下２２６－１,熊本県熊本市北区植木町亀甲山ノ下２２６－１,,208558,43,43105,植木町亀甲,2021/11/30,,,,,スターゼン㈱,横田和彦,03-3471-5521,,,,,,,,指令（食保）第51052号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,スタゼン株式会社熊本営業所20855843105,f7453953-a9a1-45c0-b24e-5be87ec13f0f,スターゼン株式会社,1f75d600-01d9-4781-a2b7-0927af071960,741a589a-33ee-48c8-886b-fe3d4049ff24,2021/11/30,スターゼン株式会社熊本営業所,スタゼン株式会社熊本営業所,スターゼン株式会社
109,令3年09月16日,㈱西友,大久保恒夫,03-3598-7000,合同会社西友  サニー桜木店,熊本市東区花立1丁目10-16,熊本市東区花立１丁目１０－１６,,367-7791,百貨店、総合スーパー,,指令（食保）第50494号,,423,合同会社西友  サニー桜木店,096,096-367-7791,,,,熊本市東区花立１丁目１０－１６,熊本県熊本市東区花立１丁目１０－１６,,208169,43,43102,花立１,2021/09/16,,,,,㈱西友,大久保恒夫,03-3598-7000,,,,,,,,指令（食保）第50494号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,合同会社西友サニ桜木店096-367-779120816943102,127847a0-05ca-48a2-8263-4db7ef6a20ff,株式会社西友,03fad6f7-d4f7-4d71-8f58-1602d2d1ce6c,28d1f1bd-ff7e-471b-a7fc-f3af0bc4b242,2021/09/16,合同会社西友　サニー桜木店,合同会社西友サニ桜木店,株式会社西友
110,令3年09月16日,㈱西友,大久保恒夫,03-3598-7000,合同会社西友  サニー水前寺店,熊本市中央区水前寺1丁目17-29,熊本市中央区水前寺１丁目１７－２９,,382-5138,百貨店、総合スーパー,,指令（食保）第50495号,,423,合同会社西友  サニー水前寺店,096,096-382-5138,,,,熊本市中央区水前寺１丁目１７－２９,熊本県熊本市中央区水前寺１丁目１７－２９,,207914,43,43101,水前寺１,2021/09/16,,,,,㈱西友,大久保恒夫,03-3598-7000,,,,,,,,指令（食保）第50495号,,百貨店、総合スーパー,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,56,561,5611,合同会社西友サニ水前寺店096-382-513820791443101,d75ea594-dc6e-4ba2-9c10-6a83ced5bfa3,株式会社西友,03fad6f7-d4f7-4d71-8f58-1602d2d1ce6c,61fab1b5-5c40-4e24-be92-cd9abfb83210,2021/09/16,合同会社西友　サニー水前寺店,合同会社西友サニ水前寺店,株式会社西友
1281,令4年02月17日,㈱クオリティライフ・コンシェルジュ,西川  尚希,03-3769-5161,Ｄ’グラフォート熊本タワー,熊本市中央区大江5丁目2-15,熊本市中央区大江５丁目２－１５,,211-4003,その他の食料・飲料販売業,,指令（食保）第7685号,,423,Ｄ’グラフォート熊本タワー,096,096-211-4003,,,,熊本市中央区大江５丁目２－１５,熊本県熊本市中央区大江５丁目２－１５,,207818,43,43101,大江５,2022/02/17,,,,,㈱クオリティライフ・コンシェルジュ,西川  尚希,03-3769-5161,,,,,,,,指令（食保）第7685号,,その他の食料品製造・加工業,(包装),,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,9,99,,Ｄグラフォト熊本タワ096-211-400320781843101,cdd1c21c-ae4d-42e5-b190-e2a66650793d,株式会社クオリティライフ・コンシェルジュ,0f765733-3ad7-4943-b842-47278503eadd,23da4996-aeb0-422f-a6c8-25d841958aff,2022/02/17,Ｄ＇グラフォート熊本タワー,Ｄグラフォト熊本タワ,株式会社クオリティライフ・コンシェルジュ
916,令3年11月30日,山崎製パン㈱,飯島  延浩,03-3864-3111,デイリーヤマザキ熊本本山店,熊本市中央区本山4丁目7-1,熊本市中央区本山４丁目７－１,,351-0082,コンビニエンスストア,,指令（食保）第6746号,,423,デイリーヤマザキ熊本本山店,096,096-351-0082,,,,熊本市中央区本山４丁目７－１,熊本県熊本市中央区本山４丁目７－１,,207992,43,43101,本山４,2021/11/30,,,,,山崎製パン㈱,飯島  延浩,03-3864-3111,,,,,,,,指令（食保）第6746号,,コンビニエンスストア,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,589,5891,デイリヤマザキ熊本本山店096-351-008220799243101,f49ec783-ec5c-4119-8d86-6cdfaed85b66,山崎製パン株式会社,6bf26949-6c88-4584-9284-439ee54bd60b,8000f2dc-8ca6-4aa6-b867-184f655c78ba,2021/11/30,デイリーヤマザキ熊本本山店,デイリヤマザキ熊本本山店,山崎製パン株式会社
917,令3年11月30日,山崎製パン㈱,飯島  延浩,03-3864-3111,デイリーヤマザキ熊本大江本町店,熊本市中央区大江本町1-18,熊本市中央区大江本町１－１８,,364-0707,コンビニエンスストア,,指令（食保）第6747号,,423,デイリーヤマザキ熊本大江本町店,096,096-364-0707,,,,熊本市中央区大江本町１－１８,熊本県熊本市中央区大江本町１－１８,,207820,43,43101,大江本町,2021/11/30,,,,,山崎製パン㈱,飯島  延浩,03-3864-3111,,,,,,,,指令（食保）第6747号,,コンビニエンスストア,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,589,5891,デイリヤマザキ熊本大江本町店096-364-070720782043101,7fcd19ee-ea1f-4386-adc8-9407e4fb32b2,山崎製パン株式会社,6bf26949-6c88-4584-9284-439ee54bd60b,74e16d91-ac6e-4c4c-88c7-7deabe1fc579,2021/11/30,デイリーヤマザキ熊本大江本町店,デイリヤマザキ熊本大江本町店,山崎製パン株式会社
828,令3年11月29日,キャピタル㈱,栗田鏡子,03-3944-1511,鶴屋百貨店  キャピタルコーヒー,熊本市中央区手取本町6番1号  鶴屋百貨店地下2階,熊本市中央区手取本町６番１号, 鶴屋百貨店地下２階,323-8060,コーヒー製造・加工業（飲料の製造を除く。）,,指令（食保）第51058号,,423,鶴屋百貨店  キャピタルコーヒー,096,096-323-8060,,,,熊本市中央区手取本町６番１号,熊本県熊本市中央区手取本町６番１号, 鶴屋百貨店地下２階,207935,43,43101,手取本町,2021/11/29,,,,,キャピタル㈱,栗田鏡子,03-3944-1511,,,,,,,,指令（食保）第51058号,,コーヒー製造・加工業,（飲料の製造を除く。）,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,E,10,103,1032,鶴屋百貨店キャピタルコヒ096-323-806020793543101,e643e475-1ea7-450d-abe7-103b62d9ea98,キャピタル株式会社,d45de122-5a74-404b-a381-2d8f8cb7579f,93939cac-26e7-48b2-8b0e-73db3a5117c6,2021/11/29,鶴屋百貨店　キャピタルコーヒー,鶴屋百貨店キャピタルコヒ,キャピタル株式会社
1247,令4年01月31日,大和ハウスリアルティマネジメント㈱,伊藤  光博,03-5214-5045,セブン－イレブン  ＤＲ熊本銀座通りダイワロイネットホテル店,熊本市中央区下通1丁目9-1,熊本市中央区下通１丁目９－１,,342-5322,コンビニエンスストア,,指令（食保）第7518号,,423,セブン－イレブン  ＤＲ熊本銀座通りダイワロイネットホテル店,096,096-342-5322,,,,熊本市中央区下通１丁目９－１,熊本県熊本市中央区下通１丁目９－１,,207897,43,43101,下通１,2022/01/31,,,,,大和ハウスリアルティマネジメント㈱,伊藤  光博,03-5214-5045,,,,,,,,指令（食保）第7518号,,コンビニエンスストア,,,,423_熊本県_熊本市保健所_食品衛生(届出)_2021年09月-2022年02月_末日_新規,I,58,589,5891,セブンイレブンＤＲ熊本銀座通りダイワロイネットホテル店096-342-532220789743101,743ab16c-a39d-4585-bb14-56da164a5629,大和ハウスリアルティマネジメント株式会社,cee74c7b-8911-4e88-933f-4a098f15cada,7f0ff773-e5e5-460a-8023-96cfdb24aaf5,2022/01/31,セブンイレブン　ＤＲ熊本銀座通りダイワロイネットホテル店,セブンイレブンＤＲ熊本銀座通りダイワロイネットホテル店,大和ハウスリアルティマネジメント株式会社
