https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,n処理終了,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
すき家　３３０号浦添内間店,,すき家　３３０号浦添内間店　,浦添市内間２－６－９,,050-3771-9800 ,飲食店営業,食堂,株式会社すき家,03-5783-8850  ,R03.12.28,R03.12.28,第05202101099号,,466,すき家　３３０号浦添内間店　,098,050-3771-9800,,,,浦添市内間２－６－９,沖縄県浦添市内間２－６－９,,215650,47,47208,内間２,,2021/12/28,2021/12/28,,,株式会社すき家,,03-5783-8850  ,,,,,,,,第05202101099号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,すき家３３０号浦添内間店050-3771-980021565047208,d3052395-80cb-41c4-86be-04bfe5621232,株式会社すき家,387de95e-ef30-4fac-af82-924d0ebc471a,f839e430-70a7-4850-9e45-4d970ece7fc0,2021/12/28,すき家　３３０号浦添内間店　,すき家３３０号浦添内間店,株式会社すき家
Ｃａｆｅ　Ｂａｒ　ＳＥＥ　ＴＨＥ　ＳＥＡ,,Ｃａｆｅ　Ｂａｒ　ＳＥＥ　ＴＨＥ　ＳＥＡ　,豊見城市瀬長１７４－６,４１番,              ,飲食店営業,カフェー,オリエンタルスタンダード株式会社,03-5829-9126  ,R04.02.04,R04.02.04,第05202101218号,,466,Ｃａｆｅ　Ｂａｒ　ＳＥＥ　ＴＨＥ　ＳＥＡ　,098,,,,,豊見城市瀬長１７４－６,沖縄県豊見城市瀬長１７４－６,４１番,216008,47,47212,瀬長,,2022/02/04,2022/02/04,,,オリエンタルスタンダード株式会社,,03-5829-9126  ,,,,,,,,第05202101218号,,飲食店営業, カフェー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＣａｆｅＢａｒＳＥＥＴＨＥＳＥＡ21600847212,51a50bef-a0ea-4135-abfc-9a6b02660dfe,オリエンタルスタンダード株式会社,6e412208-af7d-4021-a1ff-72aa97a8d0b4,6372bc5f-9a3b-4929-a102-94f71daba631,2022/02/04,Ｃａｆｅ　Ｂａｒ　ＳＥＥ　ＴＨＥ　ＳＥＡ　,ＣａｆｅＢａｒＳＥＥＴＨＥＳＥＡ,オリエンタルスタンダード株式会社
はま寿司　浦添城間店,,はま寿司　浦添城間店　,浦添市城間４－３５－２,,098-870-5510  ,飲食店営業,寿司屋,株式会社はま寿司,03-6833-8032  ,R04.01.21,R04.01.21,第05202101140号,,466,はま寿司　浦添城間店　,098,098-870-5510,,,,浦添市城間４－３５－２,沖縄県浦添市城間４－３５－２,,215663,47,47208,城間４,,2022/01/21,2022/01/21,,,株式会社はま寿司,,03-6833-8032  ,,,,,,,,第05202101140号,,飲食店営業, 寿司屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,はま寿司浦添城間店098-870-551021566347208,25ea86f0-dd53-4823-b9d9-40065be44a1b,株式会社はま寿司,b9a81742-d9d4-4dc0-87d9-23c9eaee36ca,dc9ed40a-05d0-4edf-9004-f3a1edcb681e,2022/01/21,はま寿司　浦添城間店　,はま寿司浦添城間店,株式会社はま寿司
七輪焼肉安安　牧港店,,七輪焼肉安安　牧港店　,浦添市牧港５－４－１１,,098-874-5678  ,飲食店営業,食堂,株式会社富士達,045-328-6090  ,R04.02.24,R04.02.24,第05202101268号,,466,七輪焼肉安安　牧港店　,098,098-874-5678,,,,浦添市牧港５－４－１１,沖縄県浦添市牧港５－４－１１,,215698,47,47208,牧港５,,2022/02/24,2022/02/24,,,株式会社富士達,,045-328-6090  ,,,,,,,,第05202101268号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,七輪焼肉安安牧港店098-874-567821569847208,5d2fc549-4c83-4568-be51-d2a9f86833c8,株式会社富士達,b717a73d-84df-4e80-a0d2-d3494ea6d736,2eb35a1f-6ed7-4eb4-b203-49733b546fbd,2022/02/24,七輪焼肉安安　牧港店　,七輪焼肉安安牧港店,株式会社富士達
ドミノ・ピザ真玉橋店,,ドミノ・ピザ真玉橋店　,豊見城市真玉橋２８０,,098-891-7788  ,飲食店営業,仕出し屋,株式会社　ＭＡＴＳＵ,079-230-1616  ,R04.02.15,R04.02.15,第05202101235号,,466,ドミノ・ピザ真玉橋店　,098,098-891-7788,,,,豊見城市真玉橋２８０,沖縄県豊見城市真玉橋２８０,,216022,47,47212,真玉橋,,2022/02/15,2022/02/15,,,株式会社　ＭＡＴＳＵ,,079-230-1616  ,,,,,,,,第05202101235号,,飲食店営業, 仕出し屋,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ドミノピザ真玉橋店098-891-778821602247212,61abdaa1-a44e-4265-9783-c39b53f17a15,株式会社ＭＡＴＳＵ,8087e845-a88b-4297-9afd-f2fcf5191cd0,cdec5147-f5bb-4d5a-ba2f-a1f1b744e500,2022/02/15,ドミノ・ピザ真玉橋店　,ドミノピザ真玉橋店,株式会社ＭＡＴＳＵ
ｔｇａｌ浦添店,,ｔｇａｌ浦添店　,浦添市勢理客３－１１－１０,,              ,飲食店営業,パーラー,株式会社セレーノ,092-401-3750  ,R04.01.24,R04.01.24,第05202101154号,,466,ｔｇａｌ浦添店　,098,,,,,浦添市勢理客３－１１－１０,沖縄県浦添市勢理客３－１１－１０,,215667,47,47208,勢理客３,,2022/01/24,2022/01/24,,,株式会社セレーノ,,092-401-3750  ,,,,,,,,第05202101154号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ｔｇａｌ浦添店21566747208,f12cac3f-cda4-4013-bb64-4fea58799d8b,株式会社セレーノ,39634062-0fbc-4c05-8cc2-19e93e990e05,df439e0f-92a9-4652-af93-7329c584115f,2022/01/24,ｔｇａｌ浦添店　,ｔｇａｌ浦添店,株式会社セレーノ
Ｇｕｒｉｎｇｏ　Ｔａｃｏｓ,,Ｇｕｒｉｎｇｏ　Ｔａｃｏｓ　,糸満市西崎６－４－５,（１０１号室）,              ,飲食店営業,レストラン,ＯＺＥＮ株式会社,098-840-6009  ,R03.12.08,R03.12.08,第05202101054号,,466,Ｇｕｒｉｎｇｏ　Ｔａｃｏｓ　,098,,,,,糸満市西崎６－４－５,沖縄県糸満市西崎６－４－５,（１０１号室）,215850,47,47210,西崎６,,2021/12/08,2021/12/08,,,ＯＺＥＮ株式会社,,098-840-6009  ,,,,,,,,第05202101054号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＧｕｒｉｎｇｏＴａｃｏｓ21585047210,84da3a43-3e75-4c4f-9085-f7e11cf4d139,ＯＺＥＮ株式会社,eee88448-998b-4186-b886-0fceeda9df71,155c55dc-9fca-4ef8-a007-6a3b62ec60f2,2021/12/08,Ｇｕｒｉｎｇｏ　Ｔａｃｏｓ　,ＧｕｒｉｎｇｏＴａｃｏｓ,ＯＺＥＮ株式会社
ＧＯＳＴＯＳＯ　ＥＳＰＥＴＡＲＩＡ　＆　ＢＲＡＺＩＬＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ,,ＧＯＳＴＯＳＯ　ＥＳＰＥＴＡＲＩＡ　＆　ＢＲＡＺＩＬＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　,八重瀬町屋宜原１９０－１,,              ,飲食店営業,レストラン,株式会社ＮＹ電気,098-840-7666  ,R04.01.20,R04.01.20,第05202101133号,,466,ＧＯＳＴＯＳＯ　ＥＳＰＥＴＡＲＩＡ　＆　ＢＲＡＺＩＬＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　,098,,,,,八重瀬町屋宜原１９０－１,沖縄県島尻郡八重瀬町屋宜原１９０－１,,701725,47,47362,屋宜原,,2022/01/20,2022/01/20,,,株式会社ＮＹ電気,,098-840-7666  ,,,,,,,,第05202101133号,,飲食店営業, レストラン,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,ＧＯＳＴＯＳＯＥＳＰＥＴＡＲＩＡＢＲＡＺＩＬＩＡＮＲＥＳＴＡＵＲＡＮＴ70172547362,ab892c27-19b8-4ac4-8054-45fff15f398b,株式会社ＮＹ電気,c213550d-ed2a-4339-9b1a-62ac8eddec2b,26c4f36c-e729-48cb-9120-66db594e9130,2022/01/20,ＧＯＳＴＯＳＯ　ＥＳＰＥＴＡＲＩＡ　＆　ＢＲＡＺＩＬＩＡＮ　ＲＥＳＴＡＵＲＡＮＴ　,ＧＯＳＴＯＳＯＥＳＰＥＴＡＲＩＡＢＲＡＺＩＬＩＡＮＲＥＳＴＡＵＲＡＮＴ,株式会社ＮＹ電気
株式会社　でいごフーズ,,株式会社　でいごフーズ　,八重瀬町字大頓１４２０,１F　１０１号,098-987-4731  ,漬物製造業,漬物製造,株式会社でいごフーズ,098-840-9030  ,R03.12.24,R03.12.24,第05202101095号,,466,株式会社　でいごフーズ　,098,098-987-4731,,,,八重瀬町字大頓１４２０,沖縄県島尻郡八重瀬町大頓１４２０,１F　１０１号,701723,47,47362,大頓,,2021/12/24,2021/12/24,,,株式会社でいごフーズ,,098-840-9030  ,,,,,,,,第05202101095号,,漬物製造業, 漬物製造,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社でいごフズ098-987-473170172347362,2978b4fb-9003-4c6d-b982-8193ae9e92d8,株式会社でいごフーズ,64dc079d-a7ca-4da0-b94f-f26ac092c960,dad365bc-7687-4d9e-b5f4-0f776ef96cd8,2021/12/24,株式会社でいごフーズ　,株式会社でいごフズ,株式会社でいごフーズ
通所リハビリテーションあじさい,,通所リハビリテーションあじさい　,浦添市前田１１５２－１,,098-878-3900  ,飲食店営業,食堂,有限会社シンセイサービス,098-850-6336  ,R04.02.15,R04.02.15,第05202101237号,,466,通所リハビリテーションあじさい　,098,098-878-3900,,,,浦添市前田１１５２－１,沖縄県浦添市前田１１５２－１,,215689,47,47208,前田１,,2022/02/15,2022/02/15,,,有限会社シンセイサービス,,098-850-6336  ,,,,,,,,第05202101237号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,通所リハビリテションあじさい098-878-390021568947208,9dae0c98-c78d-43c5-89b5-1d9237a25cb2,有限会社シンセイサービス,d4ee4f18-3c92-424a-960f-efadfaa6090f,9c785722-3019-4d9b-978f-00791cedb5d9,2022/02/15,通所リハビリテーションあじさい　,通所リハビリテションあじさい,有限会社シンセイサービス
（株）あさひ　豊崎工場,,（株）あさひ　豊崎工場　,豊見城市字豊崎３－６２,,098-850-4628  ,そうざい製造業,そうざい製造業,株式会社　あさひ,098-857-0779  ,R04.01.28,R04.01.28,第05202101190号,,466,（株）あさひ　豊崎工場　,098,098-850-4628,,,,豊見城市字豊崎３－６２,沖縄県豊見城市字豊崎３－６２,,216016,47,47212,豊崎,,2022/01/28,2022/01/28,,,株式会社　あさひ,,098-857-0779  ,,,,,,,,第05202101190号,,そうざい製造業, そうざい製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社あさひ豊崎工場098-850-462821601647212,2e5206dd-745b-484e-8e1f-955db4ba60d0,株式会社あさひ,c9e1a76e-59cb-4969-9e7c-07c347d5bd8a,a4ec1d1a-eeaa-4f89-8aaa-541f2a6da49d,2022/01/28,株式会社あさひ　豊崎工場　,株式会社あさひ豊崎工場,株式会社あさひ
（株）あさひ　豊崎工場,,（株）あさひ　豊崎工場　,豊見城市字豊崎３－６２,,098-850-4628  ,菓子製造業,菓子製造業,株式会社　あさひ,098-857-0779  ,R04.01.28,R04.01.28,第05202101193号,,466,（株）あさひ　豊崎工場　,098,098-850-4628,,,,豊見城市字豊崎３－６２,沖縄県豊見城市字豊崎３－６２,,216016,47,47212,豊崎,,2022/01/28,2022/01/28,,,株式会社　あさひ,,098-857-0779  ,,,,,,,,第05202101193号,,菓子製造業, 菓子製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社あさひ豊崎工場098-850-462821601647212,2e5206dd-745b-484e-8e1f-955db4ba60d0,株式会社あさひ,c9e1a76e-59cb-4969-9e7c-07c347d5bd8a,b5f6485f-1b77-4f39-80c3-e2bf925d9b5d,2022/01/28,株式会社あさひ　豊崎工場　,株式会社あさひ豊崎工場,株式会社あさひ
（株）あさひ　豊崎工場,,（株）あさひ　豊崎工場　,豊見城市字豊崎３－６２,,098-850-4628  ,食肉製品製造業,食肉製品製造業,株式会社　あさひ,098-857-0779  ,R04.01.28,R04.01.28,第05202101191号,,466,（株）あさひ　豊崎工場　,098,098-850-4628,,,,豊見城市字豊崎３－６２,沖縄県豊見城市字豊崎３－６２,,216016,47,47212,豊崎,,2022/01/28,2022/01/28,,,株式会社　あさひ,,098-857-0779  ,,,,,,,,第05202101191号,,食肉製品製造業, 食肉製品製造業,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,,,株式会社あさひ豊崎工場098-850-462821601647212,2e5206dd-745b-484e-8e1f-955db4ba60d0,株式会社あさひ,c9e1a76e-59cb-4969-9e7c-07c347d5bd8a,24b478d3-b679-447e-b1f0-3c551fed2ab8,2022/01/28,株式会社あさひ　豊崎工場　,株式会社あさひ豊崎工場,株式会社あさひ
（株）あさひ　豊崎工場,,（株）あさひ　豊崎工場　,豊見城市字豊崎３－６２,,098-850-4628  ,水産製品製造業,水産製品,株式会社　あさひ,098-857-0779  ,R04.01.28,R04.01.28,第05202101192号,,466,（株）あさひ　豊崎工場　,098,098-850-4628,,,,豊見城市字豊崎３－６２,沖縄県豊見城市字豊崎３－６２,,216016,47,47212,豊崎,,2022/01/28,2022/01/28,,,株式会社　あさひ,,098-857-0779  ,,,,,,,,第05202101192号,,水産製品製造業, 水産製品,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,E,9,92,,株式会社あさひ豊崎工場098-850-462821601647212,2e5206dd-745b-484e-8e1f-955db4ba60d0,株式会社あさひ,c9e1a76e-59cb-4969-9e7c-07c347d5bd8a,78517fb8-2305-48c2-8dd1-4599da5e4f5f,2022/01/28,株式会社あさひ　豊崎工場　,株式会社あさひ豊崎工場,株式会社あさひ
久米島町具志川農村環境改善センター,,久米島町具志川農村環境改善センター　,久米島町字仲泊７３０,,098-985-2444  ,飲食店営業,パーラー,合同会社沖縄ｔｒｅａｓｕｒｅ,098-861-3897  ,R03.12.15,R03.12.15,第05202101071号,,466,久米島町具志川農村環境改善センター　,098,098-985-2444,,,,久米島町字仲泊７３０,沖縄県島尻郡久米島町字仲泊７３０,,216503,47,47361,仲泊,,2021/12/15,2021/12/15,,,合同会社沖縄ｔｒｅａｓｕｒｅ,,098-861-3897  ,,,,,,,,第05202101071号,,飲食店営業, パーラー,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,久米島町具志川農村環境改善センタ098-985-244421650347361,01494ac0-1f6b-47d9-b3db-a5c39f202025,合同会社沖縄ｔｒｅａｓｕｒｅ,3bb55a68-7806-477e-b1e7-ab7256442a0c,4a552c23-5b97-4317-81e6-5616fc004a7b,2021/12/15,久米島町具志川農村環境改善センター　,久米島町具志川農村環境改善センタ,合同会社沖縄ｔｒｅａｓｕｒｅ
沖縄ヤマト運輸株式会社　うみそらカフェ,,沖縄ヤマト運輸株式会社　うみそらカフェ　,糸満市西崎町４－２１－３,,098-840-3580  ,飲食店営業,食堂,コスモフーズ株式会社,098-862-9241  ,R03.12.23,R03.12.23,第05202101090号,,466,沖縄ヤマト運輸株式会社　うみそらカフェ　,098,098-840-3580,,,,糸満市西崎町４－２１－３,沖縄県糸満市西崎町４－２１－３,,215837,47,47210,西崎町４,,2021/12/23,2021/12/23,,,コスモフーズ株式会社,,098-862-9241  ,,,,,,,,第05202101090号,,飲食店営業, 食堂,,,466_沖縄県_南部保健所_食品衛生()_2021年12月-2022年02月_末日,M,76,,,沖縄ヤマト運輸株式会社うみそらカフェ098-840-358021583747210,b4fc2334-3bde-4242-bfc3-9e806f31f63d,コスモフーズ株式会社,1eefc06c-8a23-42f2-bea3-df7b1b0dfa52,e18493d5-5c48-4d5a-9924-0c8b896b077c,2021/12/23,沖縄ヤマト運輸株式会社うみそらカフェ　,沖縄ヤマト運輸株式会社うみそらカフェ,コスモフーズ株式会社
