https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,n処理終了,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,業種,申請者1,申請-住所1,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設＿名称（屋号・商号）,所在地,,,施設＿電話番号（所在地）,業種,申請者＿申請者名,申請者＿住所,申請者＿電話番号,初回許可年月日,許可年月日,許可番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
オークワ大和郡山筒井北店,大和郡山市筒井町   １２５２,大和郡山市筒井町,１２５２,0743-56-5301,飲食店営業,株式会社オークワ,和歌山市中島   １８５－３,073-452-2481,R03.09.30,R03.09.30,第421350号,,321,オークワ大和郡山筒井北店,0743,0743-56-5301,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,１２５２,172877,29,29203,筒井町,,2021/09/30,2021/09/30,,,株式会社オークワ,,073-452-2481,和歌山市中島   １８５－３,和歌山県和歌山市中島１８５－３,,175031,和歌山県,和歌山市,中島,第421350号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,オクワ大和郡山筒井北店0743-56-530117287729203,4770df3f-26a5-4695-b9a7-43070a458c66,株式会社オークワ175031,92404fef-cb7a-475b-a07e-364ff9f9a1e6,d7eb3e49-6b81-464b-a52b-e0ea139a217f,2021/09/30,オークワ大和郡山筒井北店,オクワ大和郡山筒井北店,株式会社オークワ
オークワ大和郡山筒井北店,大和郡山市筒井町   １２５２,大和郡山市筒井町,１２５２,0743-56-5301,飲食店営業,株式会社オークワ,和歌山市中島   １８５－３,073-452-2481,R03.09.30,R03.09.30,第421351号,,321,オークワ大和郡山筒井北店,0743,0743-56-5301,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,１２５２,172877,29,29203,筒井町,,2021/09/30,2021/09/30,,,株式会社オークワ,,073-452-2481,和歌山市中島   １８５－３,和歌山県和歌山市中島１８５－３,,175031,和歌山県,和歌山市,中島,第421351号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,オクワ大和郡山筒井北店0743-56-530117287729203,4770df3f-26a5-4695-b9a7-43070a458c66,株式会社オークワ175031,92404fef-cb7a-475b-a07e-364ff9f9a1e6,57d595d9-fe69-4f55-ab0b-d05e7756cd92,2021/09/30,オークワ大和郡山筒井北店,オクワ大和郡山筒井北店,株式会社オークワ
オークワ大和郡山筒井北店,大和郡山市筒井町   １２５２,大和郡山市筒井町,１２５２,0743-56-5301,食肉販売業,株式会社オークワ,和歌山市中島   １８５－３,073-452-2481,R03.09.30,R03.09.30,第421352号,,321,オークワ大和郡山筒井北店,0743,0743-56-5301,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,１２５２,172877,29,29203,筒井町,,2021/09/30,2021/09/30,,,株式会社オークワ,,073-452-2481,和歌山市中島   １８５－３,和歌山県和歌山市中島１８５－３,,175031,和歌山県,和歌山市,中島,第421352号,,食肉販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,583,,オクワ大和郡山筒井北店0743-56-530117287729203,4770df3f-26a5-4695-b9a7-43070a458c66,株式会社オークワ175031,92404fef-cb7a-475b-a07e-364ff9f9a1e6,5fa96d3b-075b-4bb1-9bc2-aa3680ba3492,2021/09/30,オークワ大和郡山筒井北店,オクワ大和郡山筒井北店,株式会社オークワ
オークワ大和郡山筒井北店,大和郡山市筒井町   １２５２,大和郡山市筒井町,１２５２,0743-56-5301,魚介類販売業,株式会社オークワ,和歌山市中島   １８５－３,073-452-2481,R03.09.30,R03.09.30,第421353号,,321,オークワ大和郡山筒井北店,0743,0743-56-5301,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,１２５２,172877,29,29203,筒井町,,2021/09/30,2021/09/30,,,株式会社オークワ,,073-452-2481,和歌山市中島   １８５－３,和歌山県和歌山市中島１８５－３,,175031,和歌山県,和歌山市,中島,第421353号,,魚介類販売業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,I,58,,,オクワ大和郡山筒井北店0743-56-530117287729203,4770df3f-26a5-4695-b9a7-43070a458c66,株式会社オークワ175031,92404fef-cb7a-475b-a07e-364ff9f9a1e6,bf7920bd-9bde-44bd-b74d-90ad3cad8384,2021/09/30,オークワ大和郡山筒井北店,オクワ大和郡山筒井北店,株式会社オークワ
快活CLUB   大和郡山店,大和郡山市筒井町   ５３１－６,大和郡山市筒井町,５３１－６,0743-59-4888,飲食店営業,株式会社快活フロンティア,横浜市都筑区北山田   ３－１－５０,045-590-4888,R03.09.30,R03.09.30,第421354号,,321,快活CLUB   大和郡山店,0743,0743-59-4888,,,,大和郡山市筒井町,奈良県大和郡山市筒井町,５３１－６,172877,29,29203,筒井町,,2021/09/30,2021/09/30,,,株式会社快活フロンティア,,045-590-4888,横浜市都筑区北山田   ３－１－５０,神奈川県横浜市都筑区北山田３－１－５０,,79839,神奈川県,横浜市都筑区,北山田３,第421354号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,快活ＣＬＵＢ大和郡山店0743-59-488817287729203,5a760d72-f525-4090-89ac-e1faf4784554,株式会社快活フロンティア79839,7cc71408-2299-4586-a22d-95101b696773,cee62613-6372-4dc9-90fd-e674bcd51fff,2021/09/30,快活ＣＬＵＢ　大和郡山店,快活ＣＬＵＢ大和郡山店,株式会社快活フロンティア
奈良県農業協同組合   片桐支店   ＪＡ味噌センター,大和郡山市池之内町   ８５－１,大和郡山市池之内町 ８５－１,,0743-53-3531,みそ又はしょうゆ製造業,奈良県農業協同組合,奈良市大森町   ５７－３,0742-27-4103,R03.09.30,R03.09.30,第421343号,,321,奈良県農業協同組合   片桐支店   ＪＡ味噌センター,0743,0743-53-3531,,,,大和郡山市池之内町 ８５－１,奈良県大和郡山市池ノ内町８５－１,,172821,29,29203,池ノ内町,,2021/09/30,2021/09/30,,,奈良県農業協同組合,,0742-27-4103,奈良市大森町   ５７－３,奈良県奈良市大森町５７－３,,172145,奈良県,奈良市,大森町,第421343号,,みそ製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,奈良県農業協同組合片桐支店ＪＡ味噌センタ0743-53-353117282129203,67a7c7a3-b68d-49ca-944e-930dcdc09304,奈良県農業協同組合172145,c16372f2-cd58-4bd1-a794-037d41741176,c6442a2b-2e7c-44f9-a2d1-cab98868f41d,2021/09/30,奈良県農業協同組合　片桐支店　ＪＡ味噌センター,奈良県農業協同組合片桐支店ＪＡ味噌センタ,奈良県農業協同組合
おと吉,大和郡山市下三橋町   ４３５－１２,大和郡山市下三橋町,４３５－１２,0743-54-5803,飲食店営業,中谷   敬三,,,R03.09.30,R03.09.30,第421355号,,321,おと吉,0743,0743-54-5803,,,,大和郡山市下三橋町,奈良県大和郡山市下三橋町,４３５－１２,172855,29,29203,下三橋町,,2021/09/30,2021/09/30,,,,中谷   敬三,,,,,,,,,第421355号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,おと吉0743-54-580317285529203,2811414f-4959-47d2-9f17-81b0066a7603,,personal,d8c66953-89de-4e77-b6d6-e9c6d8d81817,2021/09/30,おと吉,おと吉,
ケーキハウス   ａｄｏｒｅｒ   アドレ,葛城市笛吹   ５２８－１,葛城市笛吹,５２８－１,0745-62-7700,菓子製造業,松本   友美,,,R03.09.30,R03.09.30,第821486号,,322,ケーキハウス   ａｄｏｒｅｒ   アドレ,0745,0745-62-7700,,,,葛城市笛吹,奈良県葛城市笛吹,５２８－１,173712,29,29211,笛吹,,2021/09/30,2021/09/30,,,,松本   友美,,,,,,,,,第821486号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,ケキハウスａｄｏｒｅｒアドレ0745-62-770017371229211,7f777121-f54d-4e0f-9b3e-3b45d3b23afd,,personal,7bd6d423-f74e-448a-b370-370e4e910457,2021/09/30,ケーキハウス　ａｄｏｒｅｒ　アドレ,ケキハウスａｄｏｒｅｒアドレ,
みかさ屋食堂,大和郡山市九条町   １３０１,大和郡山市九条町,１３０１,0743-52-5856,飲食店営業,沖本   加代子,,,R03.09.29,R03.09.29,第421317号,,321,みかさ屋食堂,0743,0743-52-5856,,,,大和郡山市九条町,奈良県大和郡山市九条町,１３０１,172843,29,29203,九条町,,2021/09/29,2021/09/29,,,,沖本   加代子,,,,,,,,,第421317号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,みかさ屋食堂0743-52-585617284329203,3ea767b3-98b9-48c1-b091-d6659f2786d7,,personal,499c64e9-aa4a-4d32-9deb-ad6423cc0732,2021/09/29,みかさ屋食堂,みかさ屋食堂,
旬果萬葉   天平庵   大和郡山店,大和郡山市九条町   １５６－１,大和郡山市九条町,１５６－１,0743-58-5566,飲食店営業,株式会社天平庵,桜井市吉備   ５７６－１,0744-49-2525,R03.09.29,R03.09.29,第421318号,,321,旬果萬葉   天平庵   大和郡山店,0743,0743-58-5566,,,,大和郡山市九条町,奈良県大和郡山市九条町,１５６－１,172843,29,29203,九条町,,2021/09/29,2021/09/29,,,株式会社天平庵,,0744-49-2525,桜井市吉備   ５７６－１,奈良県桜井市吉備５７６－１,,173162,奈良県,桜井市,吉備,第421318号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,旬果萬葉天平庵大和郡山店0743-58-556617284329203,9d1852a1-c321-47b3-8d19-62485e44008a,株式会社天平庵173162,6aad6278-4c4c-451a-b02d-f446394ea3a6,3560cd3b-4e06-4ef9-8cf1-7af95feb9f04,2021/09/29,旬果萬葉　天平庵　大和郡山店,旬果萬葉天平庵大和郡山店,株式会社天平庵
旬果萬葉   天平庵   大和郡山店,大和郡山市九条町   １５６－１,大和郡山市九条町,１５６－１,0743-58-5566,菓子製造業,株式会社天平庵,桜井市吉備   ５７６－１,0744-49-2525,R03.09.29,R03.09.29,第421319号,,321,旬果萬葉   天平庵   大和郡山店,0743,0743-58-5566,,,,大和郡山市九条町,奈良県大和郡山市九条町,１５６－１,172843,29,29203,九条町,,2021/09/29,2021/09/29,,,株式会社天平庵,,0744-49-2525,桜井市吉備   ５７６－１,奈良県桜井市吉備５７６－１,,173162,奈良県,桜井市,吉備,第421319号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,旬果萬葉天平庵大和郡山店0743-58-556617284329203,9d1852a1-c321-47b3-8d19-62485e44008a,株式会社天平庵173162,6aad6278-4c4c-451a-b02d-f446394ea3a6,ca6b038f-e96c-4591-b7a0-88e090d0edcf,2021/09/29,旬果萬葉　天平庵　大和郡山店,旬果萬葉天平庵大和郡山店,株式会社天平庵
武蔵,大和郡山市九条町   ２３１－１,大和郡山市九条町,２３１－１,0743-52-9634,飲食店営業,石川   貴彦,,,R03.09.29,R03.09.29,第421320号,,321,武蔵,0743,0743-52-9634,,,,大和郡山市九条町,奈良県大和郡山市九条町,２３１－１,172843,29,29203,九条町,,2021/09/29,2021/09/29,,,,石川   貴彦,,,,,,,,,第421320号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,武蔵0743-52-963417284329203,f7f21bd1-9314-4b30-9a52-48766079be18,,personal,cee31e88-a9dd-4e78-863d-54945ed089e5,2021/09/29,武蔵,武蔵,
居酒屋   能登,大和郡山市九条町   ２３１－３,大和郡山市九条町,２３１－３,0743-55-0403,飲食店営業,西   光正,,,R03.09.29,R03.09.29,第421321号,,321,居酒屋   能登,0743,0743-55-0403,,,,大和郡山市九条町,奈良県大和郡山市九条町,２３１－３,172843,29,29203,九条町,,2021/09/29,2021/09/29,,,,西   光正,,,,,,,,,第421321号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,居酒屋能登0743-55-040317284329203,26ce1ec2-5f4a-4236-a80a-933b571bffa5,,personal,4a4fa4b4-b800-482a-a281-f7a9b397ecba,2021/09/29,居酒屋　能登,居酒屋能登,
喫茶   サリー,大和郡山市北郡山町   １３７－１,大和郡山市北郡山町,１３７－１,0743-55-3001,飲食店営業,新田   節子,,,R03.09.29,R03.09.29,第421322号,,321,喫茶   サリー,0743,0743-55-3001,,,,大和郡山市北郡山町,奈良県大和郡山市北郡山町,１３７－１,172840,29,29203,北郡山町,,2021/09/29,2021/09/29,,,,新田   節子,,,,,,,,,第421322号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,喫茶サリ0743-55-300117284029203,9751a517-eeca-43f8-bf12-0b3346d5ea32,,personal,d15dcc22-8ab9-43d8-ab04-8a683276c0c2,2021/09/29,喫茶　サリー,喫茶サリ,
お好み焼   千房   郡山店,大和郡山市北郡山町   １５５－６,大和郡山市北郡山町,１５５－６,0743-52-5809,飲食店営業,有限会社千房アオイ,大和郡山市稗田町   ５３－５２,0743-52-3238,R03.09.29,R03.09.29,第421323号,,321,お好み焼   千房   郡山店,0743,0743-52-5809,,,,大和郡山市北郡山町,奈良県大和郡山市北郡山町,１５５－６,172840,29,29203,北郡山町,,2021/09/29,2021/09/29,,,有限会社千房アオイ,,0743-52-3238,大和郡山市稗田町   ５３－５２,奈良県大和郡山市稗田町５３－５２,,172902,奈良県,大和郡山市,稗田町,第421323号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,お好み焼千房郡山店0743-52-580917284029203,9f3c1231-888c-4b7f-90cd-b72533ef948e,有限会社千房アオイ172902,c5ce38fa-5120-4a96-a78f-31e5ac14f0de,6d347706-bb66-45dc-b2c4-0ba021968aa4,2021/09/29,お好み焼　千房　郡山店,お好み焼千房郡山店,有限会社千房アオイ
（有）奈良フライビンズ,大和郡山市北郡山町   ８０－１,大和郡山市北郡山町,８０－１,0743-52-2810,菓子製造業,有限会社奈良フライビンズ,大和郡山市北郡山町   ８０－１,0743-52-2810,R03.09.29,R03.09.29,第421324号,,321,（有）奈良フライビンズ,0743,0743-52-2810,,,,大和郡山市北郡山町,奈良県大和郡山市北郡山町,８０－１,172840,29,29203,北郡山町,,2021/09/29,2021/09/29,,,有限会社奈良フライビンズ,,0743-52-2810,大和郡山市北郡山町   ８０－１,奈良県大和郡山市北郡山町８０－１,,172840,奈良県,大和郡山市,北郡山町,第421324号,,菓子製造業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,E,9,,,有限会社奈良フライビンズ0743-52-281017284029203,23bf7ac8-2629-4397-8d86-471796370262,有限会社奈良フライビンズ172840,85be9bc7-bf8f-42bd-9899-b6253513e90c,4b4e5f02-1c9e-426b-ad9c-b87001adc4c6,2021/09/29,有限会社奈良フライビンズ,有限会社奈良フライビンズ,有限会社奈良フライビンズ
中屋,生駒市山崎町   ２１,生駒市山崎町,２１,0743-74-4036,飲食店営業,中辻   友章,,,R03.09.29,R03.09.29,第421325号,,321,中屋,0743,0743-74-4036,,,,生駒市山崎町,奈良県生駒市山崎町,２１,173536,29,29209,山崎町,,2021/09/29,2021/09/29,,,,中辻   友章,,,,,,,,,第421325号,,飲食店営業,,,,321-324_奈良県_奈良県一括_食品衛生(許可)_2021年08-09月_末日,M,76,,,中屋0743-74-403617353629209,069a5844-6fad-4ea7-ba37-da988c450395,,personal,d5065df3-3b35-4c7b-baf0-59f359f3e5ed,2021/09/29,中屋,中屋,
