https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請者1,申請-電話番号1,施設-住所1,施設-住所2,施設-マンション名,施設-電話番号1,,,施設名,業種,その他,確認番号,許可年月日,開業年月日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,株式会社　ココスジャパン,03-6833-8000  ,神奈川県,小田原市扇町４－８,,,ココス小田原店,,ココス小田原店　,,営業届,第2021-051-0661号,R03.11.29,R03.11.29,新規,,149,ココス小田原店　,0465,,,,,神奈川県　小田原市扇町４－８,神奈川県小田原市扇町４－８,,81841,14,14206,扇町４,,2021/11/29,2021/11/29,,,株式会社　ココスジャパン,,03-6833-8000  ,,,,,,,,第2021-051-0661号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ココス小田原店8184114206,0d9fc78d-c407-46cb-9920-3e47f7cd6b41,株式会社ココスジャパン,47915f2d-cd3f-40cd-8239-a95d67711734,f2536b72-4be8-48c0-a63b-6365636bc383,2021/11/29,ココス小田原店　,ココス小田原店,株式会社ココスジャパン
52,株式会社　ＪＲ東日本クロスステーション,,神奈川県,足柄下郡真鶴町真鶴１８２４,,0465-69-1030  ,ＮＥＷＤＡＹＳ　ＭＩＮＩ　真鶴１号,,ＮＥＷＤＡＹＳ　ＭＩＮＩ　真鶴１号　,,営業届,第2021-051-0604号,R03.11.24,R03.11.24,新規,,149,ＮＥＷＤＡＹＳ　ＭＩＮＩ　真鶴１号　,0465,0465-69-1030,,,,神奈川県　足柄下郡真鶴町真鶴１８２４,神奈川県足柄下郡真鶴町真鶴１８２４,,83105,14,14383,真鶴,,2021/11/24,2021/11/24,,,株式会社　ＪＲ東日本クロスステーション,,,,,,,,,,第2021-051-0604号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ＮＥＷＤＡＹＳＭＩＮＩ真鶴１号0465-69-10308310514383,723109a8-822b-43ed-b835-a6ec8cc8be5b,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,00b4e0d9-195d-488b-aa12-2a00db033839,2021/11/24,ＮＥＷＤＡＹＳ　ＭＩＮＩ　真鶴１号　,ＮＥＷＤＡＹＳＭＩＮＩ真鶴１号,株式会社ＪＲ東日本クロスステーション
53,株式会社　ココカラファインヘルスケア,045-548-5685  ,神奈川県,足柄下郡真鶴町岩２４６－２,,0465-69-1013  ,セイジョー真鶴店,,セイジョー真鶴店　,,営業届,第2021-051-0664号,R03.11.29,R03.11.29,新規,,149,セイジョー真鶴店　,0465,0465-69-1013,,,,神奈川県　足柄下郡真鶴町岩２４６－２,神奈川県足柄下郡真鶴町岩２４６－２,,83104,14,14383,岩,,2021/11/29,2021/11/29,,,株式会社　ココカラファインヘルスケア,,045-548-5685  ,,,,,,,,第2021-051-0664号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,セイジョ真鶴店0465-69-10138310414383,71607511-b80d-4644-9087-60d01ae175b0,株式会社ココカラファインヘルスケア,abecc53b-1801-41b0-acfb-e575a5857ba3,f42b49e4-2221-40b1-b454-592025a2084b,2021/11/29,セイジョー真鶴店　,セイジョ真鶴店,株式会社ココカラファインヘルスケア
74,有限会社　銀豆腐,0465-62-2476  ,神奈川県,足柄下郡湯河原町宮上５２６,,0465-62-2476  ,有限会社　銀豆腐,,有限会社　銀豆腐　,,営業届,第2021-051-0489号,R03.11.10,R03.11.10,新規,,149,有限会社　銀豆腐　,0465,0465-62-2476,,,,神奈川県　足柄下郡湯河原町宮上５２６,神奈川県足柄下郡湯河原町宮上５２６,,83116,14,14384,宮上,,2021/11/10,2021/11/10,,,有限会社　銀豆腐,,0465-62-2476  ,,,,,,,,第2021-051-0489号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,有限会社銀豆腐0465-62-24768311614384,8d525e04-425e-45fa-8336-a81427a49204,有限会社銀豆腐,ea60e31d-a540-4b16-add4-2504bdb7148e,a7d132f2-2e8b-4d1c-ae26-e233333d6b08,2021/11/10,有限会社銀豆腐　,有限会社銀豆腐,有限会社銀豆腐
75,有限会社　上野屋,0465-62-2155  ,神奈川県,足柄下郡湯河原町宮上６１６,,0465-62-2155  ,有限会社　上野屋,,有限会社　上野屋　,,営業届,第2021-051-0421号,R03.11.02,R03.11.02,新規,,149,有限会社　上野屋　,0465,0465-62-2155,,,,神奈川県　足柄下郡湯河原町宮上６１６,神奈川県足柄下郡湯河原町宮上６１６,,83116,14,14384,宮上,,2021/11/02,2021/11/02,,,有限会社　上野屋,,0465-62-2155  ,,,,,,,,第2021-051-0421号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,有限会社上野屋0465-62-21558311614384,7b667438-18d7-4773-a3e2-9864b1f18e5c,有限会社上野屋,1ad92fc0-f2db-48fb-a15b-9a078db6b680,318504a2-8eb6-4d3f-82a9-6e57065350a2,2021/11/02,有限会社上野屋　,有限会社上野屋,有限会社上野屋
76,株式会社　すかいらーくレストランツ,0422-37-5218  ,神奈川県,足柄下郡湯河原町吉浜１５７６－４７,湯河原エスポットモール内,0465-60-3488  ,バーミヤン　湯河原店,,バーミヤン　湯河原店　,,営業届,第2021-051-0531号,R03.11.16,R03.11.16,新規,,149,バーミヤン　湯河原店　,0465,0465-60-3488,,,,神奈川県　足柄下郡湯河原町吉浜１５７６－４７,神奈川県足柄下郡湯河原町吉浜１５７６－４７,湯河原エスポットモール内,83119,14,14384,吉浜,,2021/11/16,2021/11/16,,,株式会社　すかいらーくレストランツ,,0422-37-5218  ,,,,,,,,第2021-051-0531号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,バミヤン湯河原店0465-60-34888311914384,5935ea0d-72c7-4e86-9dc1-be1af8403e42,株式会社すかいらーくレストランツ,03ee98ae-5701-4260-a8b3-3fe4a48597cb,4a65f757-79c0-432a-9241-71b64eff6e75,2021/11/16,バーミヤン　湯河原店　,バミヤン湯河原店,株式会社すかいらーくレストランツ
86,株式会社　すかいらーくレストランツ,0422-37-5218  ,神奈川県,小田原市中里２８６－４,,0465-49-1441  ,バーミヤン　小田原鴨宮店,,バーミヤン　小田原鴨宮店　,,営業届,第2021-051-0533号,R03.11.16,R03.11.16,新規,,149,バーミヤン　小田原鴨宮店　,0465,0465-49-1441,,,,神奈川県　小田原市中里２８６－４,神奈川県小田原市中里２８６－４,,81909,14,14206,中里,,2021/11/16,2021/11/16,,,株式会社　すかいらーくレストランツ,,0422-37-5218  ,,,,,,,,第2021-051-0533号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,バミヤン小田原鴨宮店0465-49-14418190914206,d7f385cd-bad6-4cf2-8400-ff412c01d06c,株式会社すかいらーくレストランツ,03ee98ae-5701-4260-a8b3-3fe4a48597cb,b8f93275-fb9b-421b-ae0d-3a013214df74,2021/11/16,バーミヤン　小田原鴨宮店　,バミヤン小田原鴨宮店,株式会社すかいらーくレストランツ
89,株式会社　土方商店,0465-34-8871  ,神奈川県,小田原市酒匂１０５４,,0465-48-0792  ,小田原マルシェ内　株式会社　土方商店,市場店,小田原マルシェ内　株式会社　土方商店　市場店,,営業届,第2021-051-0762号,R03.11.30,R03.11.30,新規,,149,小田原マルシェ内　株式会社　土方商店　市場店,0465,0465-48-0792,,,,神奈川県　小田原市酒匂１０５４,神奈川県小田原市酒匂１０５４,,81881,14,14206,酒匂１,,2021/11/30,2021/11/30,,,株式会社　土方商店,,0465-34-8871  ,,,,,,,,第2021-051-0762号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,小田原マルシェ内株式会社土方商店市場店0465-48-07928188114206,484f610e-4274-4f9b-9c27-78e6a28a3847,株式会社土方商店,a51532d9-8f4d-4d92-9432-0f8f6c2914b2,4c35d318-1735-4d02-9f48-09f86cd52c08,2021/11/30,小田原マルシェ内　株式会社土方商店　市場店,小田原マルシェ内株式会社土方商店市場店,株式会社土方商店
95,有限会社　浅野水産,0465-47-7042  ,神奈川県,小田原市酒匂１０５４,,0465-47-7042  ,有限会社　浅野水産,,有限会社　浅野水産　,,営業届,第2021-051-0606号,R03.11.17,R03.11.17,新規,,149,有限会社　浅野水産　,0465,0465-47-7042,,,,神奈川県　小田原市酒匂１０５４,神奈川県小田原市酒匂１０５４,,81881,14,14206,酒匂１,,2021/11/17,2021/11/17,,,有限会社　浅野水産,,0465-47-7042  ,,,,,,,,第2021-051-0606号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,有限会社浅野水産0465-47-70428188114206,2e5ceeca-a085-4045-9be3-3ac91dd51de5,有限会社浅野水産,3ec0414e-4fd9-4c3e-a9b5-2ba89419fd66,4684d718-d7ed-4f31-a43e-4f866892ec37,2021/11/17,有限会社浅野水産　,有限会社浅野水産,有限会社浅野水産
97,株式会社　秋山商店,0465-47-5101  ,神奈川県,小田原市酒匂１０５４,,0465-47-6729  ,株式会社　秋山商店,,株式会社　秋山商店　,,営業届,第2021-051-0407号,R03.11.02,R03.11.02,新規,,149,株式会社　秋山商店　,0465,0465-47-6729,,,,神奈川県　小田原市酒匂１０５４,神奈川県小田原市酒匂１０５４,,81881,14,14206,酒匂１,,2021/11/02,2021/11/02,,,株式会社　秋山商店,,0465-47-5101  ,,,,,,,,第2021-051-0407号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,株式会社秋山商店0465-47-67298188114206,e9f2d7a5-d6e8-4744-8943-3cbd66b24e4d,株式会社秋山商店,3feed102-87e2-459a-9e24-dc460ad61883,cdcd14d3-69e8-4f84-9ead-368c81e5ae1d,2021/11/02,株式会社秋山商店　,株式会社秋山商店,株式会社秋山商店
108,有限会社　西湘ドルフィンフーズ,0463-87-2802  ,神奈川県,小田原市中里２０８,,0465-46-8678  ,ミスタードーナツ,小田原ダイナシティショップ,ミスタードーナツ　小田原ダイナシティショップ,,営業届,第2021-051-0631号,R03.11.29,R03.11.29,新規,,149,ミスタードーナツ　小田原ダイナシティショップ,0465,0465-46-8678,,,,神奈川県　小田原市中里２０８,神奈川県小田原市中里２０８,,81909,14,14206,中里,,2021/11/29,2021/11/29,,,有限会社　西湘ドルフィンフーズ,,0463-87-2802  ,,,,,,,,第2021-051-0631号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ミスタドナツ小田原ダイナシティショップ0465-46-86788190914206,94db97d1-8fd9-40b7-b55b-e619f45663f6,有限会社西湘ドルフィンフーズ,2fc75900-8da5-4998-920c-85f47ce2478f,88abb1f7-7aa3-4af1-b931-93f2c5ddef9b,2021/11/29,ミスタードーナツ　小田原ダイナシティショップ,ミスタドナツ小田原ダイナシティショップ,有限会社西湘ドルフィンフーズ
110,有限会社　三沢商店,046-225-3211  ,神奈川県,小田原市栄町２－９－３９,小田原ＥＰＯ　地下１階食品フロア,0465-46-6776  ,有限会社　三沢商店　グリーンハウス,Ｍｉｓａｗａ　小田原ＥＰＯ店,有限会社　三沢商店　グリーンハウス　Ｍｉｓａｗａ　小田原ＥＰＯ店,,営業届,第2021-051-0682号,R03.11.29,R03.11.29,新規,,149,有限会社　三沢商店　グリーンハウス　Ｍｉｓａｗａ　小田原ＥＰＯ店,0465,0465-46-6776,,,,神奈川県　小田原市栄町２－９－３９,神奈川県小田原市栄町２－９－３９,小田原ＥＰＯ　地下１階食品フロア,81877,14,14206,栄町２,,2021/11/29,2021/11/29,,,有限会社　三沢商店,,046-225-3211  ,,,,,,,,第2021-051-0682号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,有限会社三沢商店グリンハウスＭｉｓａｗａ小田原ＥＰＯ店0465-46-67768187714206,b1370d89-7f75-42b6-9ca4-c0859fbce9fb,有限会社三沢商店,bfc8256d-3013-4186-b926-aba8c9383419,804f13fa-d831-4975-8db2-4d71e36d6aea,2021/11/29,有限会社三沢商店　グリーンハウス　Ｍｉｓａｗａ　小田原ＥＰＯ店,有限会社三沢商店グリンハウスＭｉｓａｗａ小田原ＥＰＯ店,有限会社三沢商店
119,株式会社　ＪＲ東日本クロスステーション,,神奈川県,小田原市鴨宮３０,,0465-46-0075  ,ニューデイズキオスク,鴨宮改札外店,ニューデイズキオスク　鴨宮改札外店,,営業届,第2021-051-0535号,R03.11.16,R03.11.16,新規,,149,ニューデイズキオスク　鴨宮改札外店,0465,0465-46-0075,,,,神奈川県　小田原市鴨宮３０,神奈川県小田原市鴨宮３０,,81852,14,14206,鴨宮,,2021/11/16,2021/11/16,,,株式会社　ＪＲ東日本クロスステーション,,,,,,,,,,第2021-051-0535号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,ニュデイズキオスク鴨宮改札外店0465-46-00758185214206,bd340a24-4b9f-4391-8922-0d2b36aa0a48,株式会社ＪＲ東日本クロスステーション,627b9af0-b449-45a4-8818-8af2146b3322,71236eba-0f53-42ed-bf2b-d7540782fb3a,2021/11/16,ニューデイズキオスク　鴨宮改札外店,ニュデイズキオスク鴨宮改札外店,株式会社ＪＲ東日本クロスステーション
127,株式会社　フロジャポン,0422-37-5267  ,神奈川県,小田原市中里２０８,ダイナシティウエスト１Ｆ,0465-44-4261  ,フロプレステージュ　小田原ダイナシティ店,,フロプレステージュ　小田原ダイナシティ店　,,営業届,第2021-051-0570号,R03.11.17,R03.11.17,新規,,149,フロプレステージュ　小田原ダイナシティ店　,0465,0465-44-4261,,,,神奈川県　小田原市中里２０８,神奈川県小田原市中里２０８,ダイナシティウエスト１Ｆ,81909,14,14206,中里,,2021/11/17,2021/11/17,,,株式会社　フロジャポン,,0422-37-5267  ,,,,,,,,第2021-051-0570号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,フロプレステジュ小田原ダイナシティ店0465-44-42618190914206,2b4d45d4-66c7-46a7-9652-e40eb31bc693,株式会社フロジャポン,cfdb519b-0b27-4594-91c3-1a9a1e56dd41,b9fef520-be70-419b-80de-a60328334092,2021/11/17,フロプレステージュ　小田原ダイナシティ店　,フロプレステジュ小田原ダイナシティ店,株式会社フロジャポン
130,株式会社　幸楽苑ホールディングス,024-943-3726  ,神奈川県,小田原市中村原５２１－１,,0465-44-1161  ,株式会社幸楽苑ホールディングス,小田原工場,株式会社幸楽苑ホールディングス　小田原工場,,営業届,第2021-051-0621号,R03.11.25,R03.11.25,新規,,149,株式会社幸楽苑ホールディングス　小田原工場,0465,0465-44-1161,,,,神奈川県　小田原市中村原５２１－１,神奈川県小田原市中村原５２１－１,,81915,14,14206,中村原,,2021/11/25,2021/11/25,,,株式会社　幸楽苑ホールディングス,,024-943-3726  ,,,,,,,,第2021-051-0621号,新規,,,営業届,,149_神奈川県_小田原保健福祉事務所_食品衛生(許可-届出)_2021年11月_末日_新規、更新、廃止(3),,,,,株式会社幸楽苑ホルディングス小田原工場0465-44-11618191514206,6c5dd480-19c3-45b9-ad71-ec37207e3c27,株式会社幸楽苑ホールディングス,c1e3806c-9974-4f78-b891-0b56ddac9d16,11e45ae7-772b-4787-8d68-915f7fa258ff,2021/11/25,株式会社幸楽苑ホールディングス　小田原工場,株式会社幸楽苑ホルディングス小田原工場,株式会社幸楽苑ホールディングス
