https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,n処理終了,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,施設名,施設名2,郵便番号,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所1,申請-マンション名,申請-電話番号1,業種,確認番号,許可年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,セブン‐イレブン新潟曽野木団地店,,9501142,新潟県,新潟市江南区楚川字湫割乙３９２番地３０,新潟市江南区楚川字湫割乙３９２番地３０,,025-283-3607,有限会社兆成,若杉　正和,新潟県新潟市江南区楚川乙３９２番地３０,,025-283-3607,飲食店営業,2399,R 3.12.20,,151,セブン‐イレブン新潟曽野木団地店,025,025-283-3607,,,,新潟県　新潟市江南区楚川字湫割乙３９２番地３０,新潟県新潟市江南区楚川字湫割乙３９２番地３０,,84241,15,15104,楚川,,,2021/12/20,,,有限会社兆成,若杉　正和,025-283-3607,新潟県新潟市江南区楚川乙３９２番地３０,新潟県新潟市江南区楚川乙３９２番地３０,,84241,新潟県,新潟市江南区,楚川,2399,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セブンイレブン新潟曽野木団地店025-283-36078424115104,c1212a9c-771f-496c-9da3-1da9afb01355,有限会社兆成84241,2de5275f-2bf5-4ce1-b2f8-4ac0ca63415e,e23f1e39-c713-49d8-b4d2-fba588f5b0e0,2021/12/20,セブンイレブン新潟曽野木団地店,セブンイレブン新潟曽野木団地店,有限会社兆成
11,ＮＩＩＧＡＴＡ　Ｓｗｅｅｔｓ　Ｆａｃｔｏｒｙ,,9501146,新潟県,新潟市江南区太右エ門新田１８３番地１,新潟市江南区太右エ門新田１８３番地１,,,株式会社Ｋ＆Ｓ,田中　真司,新潟県新潟市東区下木戸一丁目４番１号,,025-270-3080,菓子製造業,2593,R 4. 1.27,,151,ＮＩＩＧＡＴＡ　Ｓｗｅｅｔｓ　Ｆａｃｔｏｒｙ,025,,,,,新潟県　新潟市江南区太右エ門新田１８３番地１,新潟県新潟市江南区太右エ門新田１８３番地１,,84245,15,15104,太右エ門新田,,,2022/01/27,,,株式会社Ｋ＆Ｓ,田中　真司,025-270-3080,新潟県新潟市東区下木戸一丁目４番１号,新潟県新潟市東区下木戸１丁目４番１号,,83401,新潟県,新潟市東区,下木戸１,2593,,菓子製造業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,E,9,,,ＮＩＩＧＡＴＡＳｗｅｅｔｓＦａｃｔｏｒｙ8424515104,498b8a44-d452-4349-adaa-edc483795192,株式会社Ｋ＆Ｓ83401,80d6eb7b-9bc7-4e50-9184-9d7929bb1437,7c644609-2a8d-4c54-9e8b-28efa08b2e51,2022/01/27,ＮＩＩＧＡＴＡ　Ｓｗｅｅｔｓ　Ｆａｃｔｏｒｙ,ＮＩＩＧＡＴＡＳｗｅｅｔｓＦａｃｔｏｒｙ,株式会社Ｋ＆Ｓ
38,ＢＡＲ　Ａｄａｍ,,9518063,新潟県,新潟市中央区古町通８番町１４９９番地１プラザ８－Ⅱ　４階,新潟市中央区古町通８番町１４９９番地１,プラザ８－Ⅱ ４階,025-311-4490,本田　誠一,,,,,飲食店営業,2520,R 4. 1.14,,151,ＢＡＲ　Ａｄａｍ,025,025-311-4490,,,,新潟県　新潟市中央区古町通８番町１４９９番地１,新潟県新潟市中央区古町通八番町１４９９番地１,プラザ８－Ⅱ ４階,83947,15,15103,古町通八番町,,,2022/01/14,,,,本田　誠一 ,,,,,,,,,2520,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＢＡＲＡｄａｍ025-311-44908394715103,a5c98f54-a53a-4a4b-a33f-b1557c485255,,personal,2789e72a-156a-4087-8cde-e65eeb0e7fc1,2022/01/14,ＢＡＲ　Ａｄａｍ,ＢＡＲＡｄａｍ,
13,から揚げチャンス,,9560035,新潟県,新潟市秋葉区程島２０４５番地２,新潟市秋葉区程島２０４５番地２,,0250-23-5550,株式会社チャンスメイク,新保　和利,新潟県新潟市秋葉区程島２０４５番地２,,0250-23-5550,飲食店営業,2368,R 3.12.14,,151,から揚げチャンス,0250,0250-23-5550,,,,新潟県　新潟市秋葉区程島２０４５番地２,新潟県新潟市秋葉区程島２０４５番地２,,84482,15,15105,程島,,,2021/12/14,,,株式会社チャンスメイク,新保　和利,0250-23-5550,新潟県新潟市秋葉区程島２０４５番地２,新潟県新潟市秋葉区程島２０４５番地２,,84482,新潟県,新潟市秋葉区,程島,2368,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,から揚げチャンス0250-23-55508448215105,4dfb6085-bf2c-4cc9-8b9b-bda01d0f9d3f,株式会社チャンスメイク84482,fad9f00b-341e-4b71-b0ca-247d70d91f0c,774aeb2a-5101-4318-9879-f42234fa00fa,2021/12/14,から揚げチャンス,から揚げチャンス,株式会社チャンスメイク
14,ＡＭＧ　Ｋｉｔｃｈｅｎ,,9560032,新潟県,新潟市秋葉区南町７２番４号,新潟市秋葉区南町７２番４号,,0250-21-7022,株式会社ＳＥＣ,林　孝志,新潟県新潟市秋葉区南町９番７号,,0250-21-2088,飲食店営業,2488,R 4. 1. 5,,151,ＡＭＧ　Ｋｉｔｃｈｅｎ,0250,0250-21-7022,,,,新潟県　新潟市秋葉区南町７２番４号,新潟県新潟市秋葉区南町７２番４号,,84485,15,15105,南町,,,2022/01/05,,,株式会社ＳＥＣ,林　孝志,0250-21-2088,新潟県新潟市秋葉区南町９番７号,新潟県新潟市秋葉区南町９番７号,,84485,新潟県,新潟市秋葉区,南町,2488,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＡＭＧＫｉｔｃｈｅｎ0250-21-70228448515105,1afc10bf-5bcc-4e31-9c40-968f5922eb1b,株式会社ＳＥＣ84485,c9c71171-e891-4b44-b6dc-ec0b379268d8,b7005c7d-d83b-4e7a-8b10-58fadaacb758,2022/01/05,ＡＭＧ　Ｋｉｔｃｈｅｎ,ＡＭＧＫｉｔｃｈｅｎ,株式会社ＳＥＣ
15,ファミリーマート　新潟矢代田店,,9560113,新潟県,新潟市秋葉区矢代田３３２９番地１,新潟市秋葉区矢代田３３２９番地１,,0250-61-1888,株式会社ＧｒｅｅＮ,清野　正人,新潟県新潟市秋葉区新津東町１丁目１番８９号,,0250-24-3675,飲食店営業,2369,R 3.12.14,,151,ファミリーマート　新潟矢代田店,0250,0250-61-1888,,,,新潟県　新潟市秋葉区矢代田３３２９番地１,新潟県新潟市秋葉区矢代田３３２９番地１,,84490,15,15105,矢代田,,,2021/12/14,,,株式会社ＧｒｅｅＮ,清野　正人,0250-24-3675,新潟県新潟市秋葉区新津東町１丁目１番８９号,新潟県新潟市秋葉区新津東町１丁目１番８９号,,84462,新潟県,新潟市秋葉区,新津東町１,2369,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ファミリマト新潟矢代田店0250-61-18888449015105,151c1f4c-f3d8-4664-9238-c474e8411055,株式会社ＧｒｅｅＮ84462,88ac643b-e1e3-4250-8ee5-63bc2f1fb963,89750ff4-6d8c-4e0d-87d4-40a15062917a,2021/12/14,ファミリーマート　新潟矢代田店,ファミリマト新潟矢代田店,株式会社ＧｒｅｅＮ
39,ＢＡＲ　１－ＦＥＥＴ,,9518063,新潟県,新潟市中央区古町通８番町１５００番地　プラザ８－Ⅱ７階Ａ号室,新潟市中央区古町通８番町１５００番地 ,プラザ８－Ⅱ７階Ａ号室,,高橋　和也,,,,,飲食店営業,2343,R 3.12.10,,151,ＢＡＲ　１－ＦＥＥＴ,025,,,,,新潟県　新潟市中央区古町通８番町１５００番地 ,新潟県新潟市中央区古町通八番町１５００番地,プラザ８－Ⅱ７階Ａ号室,83947,15,15103,古町通八番町,,,2021/12/10,,,,高橋　和也 ,,,,,,,,,2343,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＢＡＲ１ＦＥＥＴ8394715103,ad1f4501-ed79-4a89-9e37-77cd602283d8,,personal,fb299156-174f-4b12-9c59-e58e3c429454,2021/12/10,ＢＡＲ　１－ＦＥＥＴ,ＢＡＲ１ＦＥＥＴ,
8,サロン木蓮,,9500122,新潟県,新潟市江南区稲葉３丁目１番７号,新潟市江南区稲葉３丁目１番７号,,,高木　千津子,,,,,飲食店営業,2346,R 3.12.10,,151,サロン木蓮,025,,,,,新潟県　新潟市江南区稲葉３丁目１番７号,新潟県新潟市江南区稲葉３丁目１番７号,,84108,15,15104,稲葉３,,,2021/12/10,,,,高木　千津子 ,,,,,,,,,2346,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,サロン木蓮8410815104,974a0194-c542-47b2-9b59-70ba45179487,,personal,60b6a58f-4fc5-41c9-ab9b-f3778f49052d,2021/12/10,サロン木蓮,サロン木蓮,
18,セレモニー椿まき,,9530041,新潟県,新潟市西蒲区巻甲４９１７番地１,新潟市西蒲区巻甲４９１７番地１,,0120-108-401,株式会社福宝,石塚　福栄,新潟県新潟市南区根岸１５１１番地,,025-362-1657,飲食店営業,2589,R 4. 1.26,,151,セレモニー椿まき,0256,0120-108-401,,,,新潟県　新潟市西蒲区巻甲４９１７番地１,新潟県新潟市西蒲区巻甲４９１７番地１,,85003,15,15108,巻甲,,,2022/01/26,,,株式会社福宝,石塚　福栄,025-362-1657,新潟県新潟市南区根岸１５１１番地,新潟県新潟市南区根岸１５１１番地,,84620,新潟県,新潟市南区,根岸,2589,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セレモニ椿まき0120-108-4018500315108,82cb944b-88c9-4348-a4cf-a94c2d127dad,株式会社福宝84620,083910a1-6f80-4510-aa79-26972b39ac00,dfaaf161-04a6-4b55-a2f1-0bb3232ccae3,2022/01/26,セレモニー椿まき,セレモニ椿まき,株式会社福宝
12,セブン‐イレブン新津東町店,,9560816,新潟県,新潟市秋葉区新津東町１丁目２４０番地２,新潟市秋葉区新津東町１丁目２４０番地２,,0250-24-7772,村木　佳彦,,,,,飲食店営業,2398,R 3.12.20,,151,セブン‐イレブン新津東町店,0250,0250-24-7772,,,,新潟県　新潟市秋葉区新津東町１丁目２４０番地２,新潟県新潟市秋葉区新津東町１丁目２４０番地２,,84462,15,15105,新津東町１,,,2021/12/20,,,,村木　佳彦 ,,,,,,,,,2398,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,セブンイレブン新津東町店0250-24-77728446215105,8a251a08-fc09-42b4-882f-cb79cc9f1f6a,,personal,fcef525d-4a86-476c-b372-b13b23aa18f4,2021/12/20,セブンイレブン新津東町店,セブンイレブン新津東町店,
16,麦んち,,9530012,新潟県,新潟市西蒲区越前浜５０２９番地,新潟市西蒲区越前浜５０２９番地,,,圡田　聡子,,,,,飲食店営業,2453,R 3.12.22,,151,麦んち,0256,,,,,新潟県　新潟市西蒲区越前浜５０２９番地,新潟県新潟市西蒲区越前浜５０２９番地,,84898,15,15108,越前浜,,,2021/12/22,,,,圡田　聡子 ,,,,,,,,,2453,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,麦んち8489815108,db8b471c-0540-464b-be11-54b42ab43ff7,,personal,130fe67a-99a6-447c-bb3c-0af2814a7537,2021/12/22,麦んち,麦んち,
21,珈琲俱楽部　黒埼店,,9501101,新潟県,新潟市西区山田４３９番地１,新潟市西区山田４３９番地１,,025-378-0222,有限会社珈琲倶楽部,神田　典章,新潟県新潟市中央区新和一丁目１０番９号,,025-283-4578,飲食店営業,2335,R 3.12. 9,,151,珈琲俱楽部　黒埼店,025,025-378-0222,,,,新潟県　新潟市西区山田４３９番地１,新潟県新潟市西区山田４３９番地１,,84863,15,15107,山田,,,2021/12/09,,,有限会社珈琲倶楽部,神田　典章,025-283-4578,新潟県新潟市中央区新和一丁目１０番９号,新潟県新潟市中央区新和１丁目１０番９号,,83748,新潟県,新潟市中央区,新和１,2335,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,珈琲俱楽部黒埼店025-378-02228486315107,606fa0e3-d57c-46fb-86bc-5ea4bed6dd25,有限会社珈琲倶楽部83748,f9e98759-f6a7-4ec6-ac81-3fa8e149c55c,16cd234e-44b1-4aa6-bcb5-69c572002f33,2021/12/09,珈琲俱楽部　黒埼店,珈琲俱楽部黒埼店,有限会社珈琲倶楽部
17,だるまや,,9530012,新潟県,新潟市西蒲区越前浜６８３８番地１,新潟市西蒲区越前浜６８３８番地１,,0256-77-2428,渡邊　三代,,,,,飲食店営業,2586,R 4. 1.26,,151,だるまや,0256,0256-77-2428,,,,新潟県　新潟市西蒲区越前浜６８３８番地１,新潟県新潟市西蒲区越前浜６８３８番地１,,84898,15,15108,越前浜,,,2022/01/26,,,,渡邊　三代 ,,,,,,,,,2586,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,だるまや0256-77-24288489815108,6621fc54-f95f-4dda-a508-9483e98bd04a,,personal,4562e12f-3701-41ee-94d8-4227019b21fa,2022/01/26,だるまや,だるまや,
19,ＢＲＯＮＺＥ　ＢＵＲＧＥＲ,,9530023,新潟県,新潟市西蒲区竹野町６８８番地１１階,新潟市西蒲区竹野町６８８番地,１１階,0256-78-8299,米原　巧,,,,,飲食店営業,2289,R 3.12. 2,,151,ＢＲＯＮＺＥ　ＢＵＲＧＥＲ,0256,0256-78-8299,,,,新潟県　新潟市西蒲区竹野町６８８番地,新潟県新潟市西蒲区竹野町６８８番地,１１階,84951,15,15108,竹野町,,,2021/12/02,,,,米原　巧 ,,,,,,,,,2289,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,ＢＲＯＮＺＥＢＵＲＧＥＲ0256-78-82998495115108,1f2f8e18-3641-4d34-b8d0-fcfac9fbf6ae,,personal,a5d2de3f-69ca-4f5c-a861-0dbd78b8f3be,2021/12/02,ＢＲＯＮＺＥ　ＢＵＲＧＥＲ,ＢＲＯＮＺＥＢＵＲＧＥＲ,
24,高齢者総合支援施設　あい・いからしの郷,,9502076,新潟県,新潟市西区上新栄町３丁目４番７７号,新潟市西区上新栄町３丁目４番７７号,,025-260-7800,日清医療食品株式会社,菅井　正一,東京都千代田区丸の内２丁目７番３号,東京ビルディング２０階,03-3287-3611,飲食店営業,2391,R 3.12.16,,151,高齢者総合支援施設　あい・いからしの郷,025,025-260-7800,,,,新潟県　新潟市西区上新栄町３丁目４番７７号,新潟県新潟市西区上新栄町３丁目４番７７号,,84712,15,15107,上新栄町３,,,2021/12/16,,,日清医療食品株式会社,菅井　正一,03-3287-3611,東京都千代田区丸の内２丁目７番３号,東京都千代田区丸ノ内２丁目７番３号,東京ビルディング２０階,72931,東京都,千代田区,丸の内２,2391,,飲食店営業,,,,151_新潟県_新潟市保健所_食品衛生()_2021年12月-2022年01月_末日,M,76,,,高齢者総合支援施設あいいからしの郷025-260-78008471215107,80844626-6c7d-484d-8dc2-006c19e16b10,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,20088bab-309c-434c-a577-cc7eb9f4669b,2021/12/16,高齢者総合支援施設　あい・いからしの郷,高齢者総合支援施設あいいからしの郷,日清医療食品株式会社
