https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,申請区分,,,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,,,業種,その他,,確認番号,,,開業年月日,申請年月日,,許可年月日,許可期間終了日,,,,,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個人,新規,790,,大むら,糸魚川市大字青海１０３,糸魚川市大字青海１０３,,,伊藤  勇,,,,,,,,,飲食店営業（一般食堂）,,,858,0,0,1970年10月29日,,1970年10月29日,1970年10月29日,,,,,,,160,大むら,025,,,,,糸魚川市大字青海１０３,新潟県糸魚川市青海１０３,,88063,15,15216,青海,,1970/10/29,1970/10/29,,,,伊藤  勇 ,,,,,,,,,858,新規,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,大むら8806315216,217137a7-5610-4153-947d-651e35a95f80,,personal,401b5166-0860-4cf5-9a8d-a65df34bd3f4,1970/10/29,大むら,大むら,
個人,継続,10503,,民宿　ひょうざ,糸魚川市押上２丁目２－１３,糸魚川市押上２丁目２－１３,,025-552-0715,伊藤　儀幸,,,,,,,,,飲食店営業（旅館）,,,1 - 171,0,0,2006年04月06日,2017年03月24日,2017年03月30日,2017年03月31日,2022年03月31日,,,,,,160,民宿　ひょうざ,025,025-552-0715,,,,糸魚川市押上２丁目２－１３,新潟県糸魚川市押上２丁目２－１３,,87950,15,15216,押上２,2017/03/24,2006/04/06,2017/03/31,,2022/03/31,,伊藤　儀幸 ,,,,,,,,,1 - 171,継続,飲食店営業,旅館,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,民宿ひょうざ025-552-07158795015216,af9587ab-f30b-46af-abe4-521b70ec5775,,personal,1d52f3c3-98a2-493b-94ec-e1cfd5ebcfa5,2017/03/31,民宿　ひょうざ,民宿ひょうざ,
個人,新規,11037,,ＢＡＲ　ＹＡＳＵＢＥ,糸魚川市大町１－１－２０,糸魚川市大町１－１－２０,,090-90047325,伊藤　健太,,,,,,,,,① 飲食店営業,簡易な調理に限る,,1 - 35,0,0,2021年07月16日,2021年07月01日,2021年07月15日,2021年07月16日,2026年07月31日,,,,,,160,ＢＡＲ　ＹＡＳＵＢＥ,025,090-9004-7325,,,,糸魚川市大町１－１－２０,新潟県糸魚川市大町１－１－２０,,87946,15,15216,大町１,2021/07/01,2021/07/16,2021/07/16,,2026/07/31,,伊藤　健太 ,,,,,,,,,1 - 35,新規,飲食店営業,,簡易な調理に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ＢＡＲＹＡＳＵＢＥ090-9004-73258794615216,11eb3dc9-db06-43b1-a0fa-547c3fe1fe34,,personal,ad8937ac-6dc5-44da-9bc6-b52f0bcf2d5f,2021/07/16,ＢＡＲ　ＹＡＳＵＢＥ,ＢＡＲＹＡＳＵＢＥ,
個人,継続,10052,,食堂　源海,糸魚川市大字能生７０８７－１,糸魚川市大字能生７０８７－１,,566-2572,伊藤　源二郎,,,,,,,,,飲食店営業（一般食堂）,,,1 - 7,0,0,1998年05月27日,2018年04月20日,2018年04月26日,2018年04月27日,2023年05月31日,,,,,,160,食堂　源海,025,025-566-2572,,,,糸魚川市大字能生７０８７－１,新潟県糸魚川市能生７０８７－１,,88098,15,15216,能生,2018/04/20,1998/05/27,2018/04/27,,2023/05/31,,伊藤　源二郎 ,,,,,,,,,1 - 7,継続,飲食店営業,（一般食堂）,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,食堂源海025-566-25728809815216,3603833d-71da-4ff9-a39c-c402aca1f787,,personal,81cf855b-7e90-4e33-9b0d-9e5c06df92aa,2018/04/27,食堂　源海,食堂源海,
個人,継続,10975,,伊藤製麺所,糸魚川市横町５－６－４,糸魚川市横町５－６－４,,025-552-0298,伊藤　彰一,,,,,,,,,めん類製造業,,,1 - 92,0,0,2015年04月01日,2020年10月30日,2020年11月05日,2020年11月06日,2025年11月30日,,,,,,160,伊藤製麺所,025,025-552-0298,,,,糸魚川市横町５－６－４,新潟県糸魚川市横町５－６－４,,88032,15,15216,横町５,2020/10/30,2015/04/01,2020/11/06,,2025/11/30,,伊藤　彰一 ,,,,,,,,,1 - 92,継続,麺類製造業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,E,9,,,伊藤製麺所025-552-02988803215216,f5bfc326-bd36-40aa-ba97-abf5cc86ea33,,personal,2c2ca76d-c23d-48c3-a57c-ecd0d0e50362,2020/11/06,伊藤製麺所,伊藤製麺所,
個人,新規,235,,猪又商店,糸魚川市上刈２丁目１番１４号,糸魚川市上刈２丁目１番１４号,,552-1629,伊藤　信子,,,,,,,,,① 魚介類販売業（包装済みの魚介類のみの販売）,,,3     ‐126 ,0,0,,令和 3年 11月 17日,,,,,,,,,160,猪又商店,025,025-552-1629,,,,糸魚川市上刈２丁目１番１４号,新潟県糸魚川市上刈２丁目１番１４号,,87933,15,15216,上刈２,2021/11/17,,,,,,伊藤　信子 ,,,,,,,,,3     ‐126 ,新規,魚介類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,猪又商店025-552-16298793315216,c91e3fea-439d-40a4-a49f-815b91dffa10,,personal,b5ac3699-cc21-45d5-9961-fa9f72a394ba,2021/11/17,猪又商店,猪又商店,
個人,新規,235,,猪又商店,糸魚川市上刈２丁目１番１４号,糸魚川市上刈２丁目１番１４号,,552-1629,伊藤　信子,,,,,,,,,② 食肉販売業（包装済みの食肉のみの販売）,,,3     ‐126 ,0,0,,令和 3年 11月 17日,,,,,,,,,160,猪又商店,025,025-552-1629,,,,糸魚川市上刈２丁目１番１４号,新潟県糸魚川市上刈２丁目１番１４号,,87933,15,15216,上刈２,2021/11/17,,,,,,伊藤　信子 ,,,,,,,,,3     ‐126 ,新規,食肉販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,猪又商店025-552-16298793315216,c91e3fea-439d-40a4-a49f-815b91dffa10,,personal,45d4b651-cec0-4458-bca5-0b587fdf8ce9,2021/11/17,猪又商店,猪又商店,
個人,新規,235,,猪又商店,糸魚川市上刈２丁目１番１４号,糸魚川市上刈２丁目１番１４号,,552-1629,伊藤　信子,,,,,,,,,③ 乳類販売業,,,3     ‐126 ,0,0,,令和 3年 11月 17日,,,,,,,,,160,猪又商店,025,025-552-1629,,,,糸魚川市上刈２丁目１番１４号,新潟県糸魚川市上刈２丁目１番１４号,,87933,15,15216,上刈２,2021/11/17,,,,,,伊藤　信子 ,,,,,,,,,3     ‐126 ,新規,乳類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,猪又商店025-552-16298793315216,c91e3fea-439d-40a4-a49f-815b91dffa10,,personal,7f72d1eb-7550-49b1-b099-682bbdebcb20,2021/11/17,猪又商店,猪又商店,
個人,新規,235,,猪又商店,糸魚川市上刈２丁目１番１４号,糸魚川市上刈２丁目１番１４号,,552-1629,伊藤　信子,,,,,,,,,⑦ 野菜果物販売業,,,3     ‐126 ,0,0,,令和 3年 11月 17日,,,,,,,,,160,猪又商店,025,025-552-1629,,,,糸魚川市上刈２丁目１番１４号,新潟県糸魚川市上刈２丁目１番１４号,,87933,15,15216,上刈２,2021/11/17,,,,,,伊藤　信子 ,,,,,,,,,3     ‐126 ,新規,野菜果物販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,582,,猪又商店025-552-16298793315216,c91e3fea-439d-40a4-a49f-815b91dffa10,,personal,2f2e79e9-5fe4-4be0-8502-e0ca56333db0,2021/11/17,猪又商店,猪又商店,
個人,新規,235,,猪又商店,糸魚川市上刈２丁目１番１４号,糸魚川市上刈２丁目１番１４号,,552-1629,伊藤　信子,,,,,,,,,⑬ その他の食料・飲料販売業,,,3     ‐126 ,0,0,,令和 3年 11月 17日,,,,,,,,,160,猪又商店,025,025-552-1629,,,,糸魚川市上刈２丁目１番１４号,新潟県糸魚川市上刈２丁目１番１４号,,87933,15,15216,上刈２,2021/11/17,,,,,,伊藤　信子 ,,,,,,,,,3     ‐126 ,新規,食料品販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,A,58,581,5811,猪又商店025-552-16298793315216,c91e3fea-439d-40a4-a49f-815b91dffa10,,personal,d6fe2c48-b215-4e32-b678-2f8443e4c767,2021/11/17,猪又商店,猪又商店,
個人,新規,11182,,Ｂａｒ　ＳＡＳＵＫＥ,糸魚川市本町６－１千国ビル３Ｆ　Ｃ,糸魚川市本町６－１,千国ビル３Ｆ Ｃ,025-552-3500,伊藤　佑輔,,,,,,,,,飲食店営業（その他）,,,1 - 56,0,0,2019年08月09日,2019年08月05日,2019年08月08日,2019年08月09日,2024年11月30日,,,,,,160,Ｂａｒ　ＳＡＳＵＫＥ,025,025-552-3500,,,,糸魚川市本町６－１,新潟県糸魚川市本町６－１,千国ビル３Ｆ Ｃ,88052,15,15216,本町,2019/08/05,2019/08/09,2019/08/09,,2024/11/30,,伊藤　佑輔 ,,,,,,,,,1 - 56,新規,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ＢａｒＳＡＳＵＫＥ025-552-35008805215216,a9c303a4-8233-4cc2-b907-1976f974d2e2,,personal,a7cad577-c881-4c1f-ac4f-d25a76bcbb24,2019/08/09,Ｂａｒ　ＳＡＳＵＫＥ,ＢａｒＳＡＳＵＫＥ,
個人,新規,11243,,ＯＺ,糸魚川市大町１丁目１－３２,糸魚川市大町１丁目１－３２,,,伊藤　佑輔,,,,,,,,,飲食店営業（その他）,,,1 - 105,0,0,2020年12月18日,2020年12月17日,2020年12月17日,2020年12月18日,2026年07月31日,,,,,,160,ＯＺ,025,,,,,糸魚川市大町１丁目１－３２,新潟県糸魚川市大町１丁目１－３２,,87946,15,15216,大町１,2020/12/17,2020/12/18,2020/12/18,,2026/07/31,,伊藤　佑輔 ,,,,,,,,,1 - 105,新規,飲食店営業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,M,76,,,ＯＺ8794615216,6dd5847e-79d6-4fd2-8bc0-cbb68ae62f0f,,personal,32b3fdde-70b5-4c58-8c47-f2100fc0abbe,2020/12/18,ＯＺ,ＯＺ,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,① 魚介類販売業（包装済みの魚介類のみの販売）,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,魚介類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,96755fdc-ce7b-4cce-ad86-90f8ff12a54a,2021/12/28,下かじ商店,下かじ商店,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,② 食肉販売業（包装済みの食肉のみの販売）,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,食肉販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,82817b52-ae9d-48f8-bcbc-048c64a709e6,2021/12/28,下かじ商店,下かじ商店,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,③ 乳類販売業,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,乳類販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,ebe67d4d-7347-4329-af14-e5ca5eb9100e,2021/12/28,下かじ商店,下かじ商店,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,⑥ 弁当販売業,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,弁当販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,581,5811,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,4051193d-5627-4b2c-8a15-22cfd683b6eb,2021/12/28,下かじ商店,下かじ商店,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,⑦ 野菜果物販売業,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,野菜果物販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,582,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,7ffb323a-6158-44c3-97ac-88714aa4dfd1,2021/12/28,下かじ商店,下かじ商店,
個人,新規,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,⑬ その他の食料・飲料販売業,,,3     ‐196 ,0,0,,令和 3年 12月 28日,,,,,,,,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2021/12/28,,,,,,磯貝  ミサ ,,,,,,,,,3     ‐196 ,新規,食料品販売業,,,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,A,58,581,5811,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,8f45e5c3-4eed-4e42-8ab9-bfb8e12b5cd3,2021/12/28,下かじ商店,下かじ商店,
個人,継続,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,魚介類販売業,調理行為をしないこと,,1 - 167,0,0,2007年03月23日,2017年03月17日,2017年03月23日,2017年03月24日,2022年03月31日,,,,2022年01月26日,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2017/03/17,2007/03/23,2017/03/24,,2022/03/31,,磯貝  ミサ ,,,,,,,,,1 - 167,継続,魚介類販売業,,調理行為をしないこと,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,3191e397-1c5b-4e5b-a95f-559198ca1b11,2017/03/24,下かじ商店,下かじ商店,
個人,継続,516,,下かじ商店,糸魚川市大字日光寺２２２番地１,糸魚川市大字日光寺２２２番地１,,555-2815,磯貝  ミサ,,,,,,,,,食肉販売業,包装食肉の販売に限る,,1 - 167,0,0,1989年12月12日,2017年03月17日,2017年03月23日,2017年03月24日,2022年03月31日,,,,2022年01月26日,,160,下かじ商店,025,025-555-2815,,,,糸魚川市大字日光寺２２２番地１,新潟県糸魚川市日光寺２２２番地１,,88006,15,15216,日光寺,2017/03/17,1989/12/12,2017/03/24,,2022/03/31,,磯貝  ミサ ,,,,,,,,,1 - 167,継続,食肉販売業,,包装食肉の販売に限る,,160_新潟県_糸魚川保健所_食品衛生()_2022年01月まで全件_末日 ,I,58,583,,下かじ商店025-555-28158800615216,06c7a771-a969-42db-99cb-a66406dad892,,personal,78463d64-b5f2-425a-928a-394420b53ef6,2017/03/24,下かじ商店,下かじ商店,
