,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥村　敏之,,炭火焼　とんちゃん　こまる。,名古屋市千種区萱場一丁目１番２５号　,名古屋市千種区萱場１丁目１番２５号, ,,飲食店営業,2022/7/21,4千保管第1-191号,2022/7/21,2028/9/20,,名古屋市保健所,炭火焼　とんちゃん　こまる。,052,,,,,名古屋市千種区萱場１丁目１番２５号,愛知県名古屋市千種区萱場１丁目１番２５号, ,113781,愛知県,名古屋市千種区,萱場１,,2022/07/21,,2022/07/21,2028/09/20,,奥村　敏之,,,,,,,,,4千保管第1-191号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,炭火焼　とんちゃん　こまる。,炭火焼とんちゃんこまる,,,1,,,,,
伊藤　大将,,ikoi,名古屋市千種区星が丘元町１５番１５号　スターヒルズ１５　３階,名古屋市千種区星が丘元町１５番１５号,スターヒルズ１５ ３階,,飲食店営業,2022/7/25,4千保管第1-185号,2022/7/25,2029/3/20,,名古屋市保健所,ikoi,052,,,,,名古屋市千種区星が丘元町１５番１５号,愛知県名古屋市千種区星が丘元町１５番１５号,スターヒルズ１５ ３階,113819,愛知県,名古屋市千種区,星が丘元町,,2022/07/25,,2022/07/25,2029/03/20,,伊藤　大将,,,,,,,,,4千保管第1-185号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｉｋｏｉ,ｉｋｏｉ,,,1,,,,,
金　順子,,居酒屋ハナ,名古屋市千種区今池一丁目１７番１４号　いざわビル１F,名古屋市千種区今池１丁目１７番１４号, いざわビル１F,,飲食店営業,2022/7/27,4千保管第1-186号,2022/7/29,2028/11/20,,名古屋市保健所,居酒屋ハナ,052,,,,,名古屋市千種区今池１丁目１７番１４号,愛知県名古屋市千種区今池１丁目１７番１４号, いざわビル１F,113756,愛知県,名古屋市千種区,今池１,,2022/07/27,,2022/07/29,2028/11/20,,金　順子,,,,,,,,,4千保管第1-186号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,居酒屋ハナ,居酒屋ハナ,,,1,,,,,
川島　由起子,,ごちそう家　ユキ亭,名古屋市千種区仲田一丁目３番９号　Ｈ・Ｃビル　１Ｆ,名古屋市千種区仲田１丁目３番９号,Ｈ・Ｃビル １Ｆ,711-0684,飲食店営業,2022/7/26,4千保管第1-179号,2022/8/1,2028/8/20,,名古屋市保健所,ごちそう家　ユキ亭,052,052-711-0684,,,,名古屋市千種区仲田１丁目３番９号,愛知県名古屋市千種区仲田１丁目３番９号,Ｈ・Ｃビル １Ｆ,113769,愛知県,名古屋市千種区,仲田１,,2022/07/26,,2022/08/01,2028/08/20,,川島　由起子,,,,,,,,,4千保管第1-179号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ごちそう家　ユキ亭,ごちそう家ユキ亭,,,1,,,,,
株式会社　ＥＦＦＯｒＴ 代表取締役　三浦正和,911-7227,Ｄｅｒｉ．ｆａｃｔｏｒｙ,名古屋市千種区豊年町３番１８号　都通団地１号棟１０５号,名古屋市千種区豊年町３番１８号,都通団地１号棟１０５号,723-8686,飲食店営業,2022/7/29,4千保管第1-212号,2022/7/30,2029/7/20,,名古屋市保健所,Ｄｅｒｉ．ｆａｃｔｏｒｙ,052,052-723-8686,,,,名古屋市千種区豊年町３番１８号,愛知県名古屋市千種区豊年町３番１８号,都通団地１号棟１０５号,113726,愛知県,名古屋市千種区,豊年町,,2022/07/29,,2022/07/30,2029/07/20,株式会社　ＥＦＦＯｒＴ ,代表取締役　三浦正和,-911-7227,,,,,,,,4千保管第1-212号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｄｅｒｉ．ｆａｃｔｏｒｙ,Ｄｅｒｉｆａｃｔｏｒｙ,株式会社ＥＦＦＯｒＴ　,,2,,,,,
株式会社　ＥＦＦＯｒＴ 代表取締役　三浦正和,911-7227,Ｄｅｒｉ．ｆａｃｔｏｒｙ,名古屋市千種区豊年町３番１８号　都通団地１号棟１０５号,名古屋市千種区豊年町３番１８号,都通団地１号棟１０５号,723-8686,食肉販売業,2022/7/29,4千保管第1-211号,2022/7/30,2029/7/20,,名古屋市保健所,Ｄｅｒｉ．ｆａｃｔｏｒｙ,052,052-723-8686,,,,名古屋市千種区豊年町３番１８号,愛知県名古屋市千種区豊年町３番１８号,都通団地１号棟１０５号,113726,愛知県,名古屋市千種区,豊年町,,2022/07/29,,2022/07/30,2029/07/20,株式会社　ＥＦＦＯｒＴ ,代表取締役　三浦正和,-911-7227,,,,,,,,4千保管第1-211号,,食肉販売業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食肉小売業,,,,,,,,Ｄｅｒｉ．ｆａｃｔｏｒｙ,Ｄｅｒｉｆａｃｔｏｒｙ,株式会社ＥＦＦＯｒＴ　,,2,,,,,
押川　大仁,,Ｌａ　Ｖｉｏｌｅｔｔａ,名古屋市東区白壁四丁目６３番地３　ＩＬ ＰＡＬＡＺＺＯ 白壁１Ｆ,名古屋市東区白壁４丁目６３番地,３ ＩＬ ＰＡＬＡＺＺＯ 白壁１Ｆ,052-325-6548,飲食店営業,2022/7/1,4東保健第1-75号,2022/7/21,2028/7/20,,名古屋市保健所,Ｌａ　Ｖｉｏｌｅｔｔａ,052,052-325-6548,,,,名古屋市東区白壁４丁目６３番地,愛知県名古屋市東区白壁４丁目６３番地,３ ＩＬ ＰＡＬＡＺＺＯ 白壁１Ｆ,113890,愛知県,名古屋市東区,白壁４,,2022/07/01,,2022/07/21,2028/07/20,,押川　大仁,,,,,,,,,4東保健第1-75号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｌａ　Ｖｉｏｌｅｔｔａ,ＬａＶｉｏｌｅｔｔａ,,,1,,,,,
Ｊ－ＰＬＡＮＮＩＮＧ株式会社 代表取締役　西川　千春,052-758-6067,銀座　緑花堂　徳川店,名古屋市東区徳川二丁目５番１号　レディース徳川　１Ｆ,名古屋市東区徳川２丁目５番１号,レディース徳川 １Ｆ,052-982-6164,菓子製造業,2022/7/5,4東保健第1-81号,2022/7/6,2029/3/20,,名古屋市保健所,銀座　緑花堂　徳川店,052,052-982-6164,,,,名古屋市東区徳川２丁目５番１号,愛知県名古屋市東区徳川２丁目５番１号,レディース徳川 １Ｆ,113893,愛知県,名古屋市東区,徳川２,,2022/07/05,,2022/07/06,2029/03/20,Ｊ－ＰＬＡＮＮＩＮＧ株式会社 ,代表取締役　西川　千春,052-758-6067,,,,,,,,4東保健第1-81号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,銀座　緑花堂　徳川店,銀座緑花堂徳川店,Ｊ－ＰＬＡＮＮＩＮＧ株式会社,,1,,,,,
横井　鮎子,,A.cocotto bis,名古屋市東区筒井三丁目４番８号　メゾンドモリヤス　１A,名古屋市東区筒井３丁目４番８号,メゾンドモリヤス １A,,飲食店営業,2022/7/5,4東保健第1-68号,2022/7/6,2028/9/20,,名古屋市保健所,A.cocotto bis,052,,,,,名古屋市東区筒井３丁目４番８号,愛知県名古屋市東区筒井３丁目４番８号,メゾンドモリヤス １A,113904,愛知県,名古屋市東区,筒井３,,2022/07/05,,2022/07/06,2028/09/20,,横井　鮎子,,,,,,,,,4東保健第1-68号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａ．ｃｏｃｏｔｔｏ　ｂｉｓ,Ａｃｏｃｏｔｔｏｂｉｓ,,,1,,,,,
株式会社　ドライサービス 代表取締役　野田　かおる,052-935-5447,Ｂｏｏｋ　Ｂａｒ,名古屋市東区山口町４１番２号　ハートフル徳川　１F,名古屋市東区山口町４１番２号,ハートフル徳川 １F,052-935-5447,飲食店営業,2022/7/4,4東保健第1-78号,2022/7/5,2029/3/20,,名古屋市保健所,Ｂｏｏｋ　Ｂａｒ,052,052-935-5447,,,,名古屋市東区山口町４１番２号,愛知県名古屋市東区山口町４１番２号,ハートフル徳川 １F,113869,愛知県,名古屋市東区,山口町,,2022/07/04,,2022/07/05,2029/03/20,株式会社　ドライサービス ,代表取締役　野田　かおる,052-935-5447,,,,,,,,4東保健第1-78号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂｏｏｋ　Ｂａｒ,ＢｏｏｋＢａｒ,株式会社ドライサービス　,,1,,,,,
日本ゼネラルフード株式会社 代表取締役　西脇　司,052-243-6111,日本ゼネラルフード（０１２９）事業所,名古屋市東区白壁五丁目３番地　敷島製パン（株）本社食堂,名古屋市東区白壁５丁目３番地, 敷島製パン（株）本社食堂,052-930-8611,飲食店営業,2022/7/7,4東保健第1-79号,2022/7/21,2028/7/20,,名古屋市保健所,日本ゼネラルフード（０１２９）事業所,052,052-930-8611,,,,名古屋市東区白壁５丁目３番地,愛知県名古屋市東区白壁５丁目３番地, 敷島製パン（株）本社食堂,113891,愛知県,名古屋市東区,白壁５,,2022/07/07,,2022/07/21,2028/07/20,日本ゼネラルフード株式会社 ,代表取締役　西脇　司,052-243-6111,,,,,,,,4東保健第1-79号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,日本ゼネラルフード（０１２９）事業所,日本ゼネラルフド０１２９事業所,日本ゼネラルフード株式会社,,1,,,,,
市野　壽子,,市野パン工房,名古屋市東区徳川一丁目１３番１７号　,名古屋市東区徳川１丁目１３番１７号, ,,菓子製造業,2022/7/11,4東保健第1-67号,2022/7/12,2028/3/20,,名古屋市保健所,市野パン工房,052,,,,,名古屋市東区徳川１丁目１３番１７号,愛知県名古屋市東区徳川１丁目１３番１７号, ,113892,愛知県,名古屋市東区,徳川１,,2022/07/11,,2022/07/12,2028/03/20,,市野　壽子,,,,,,,,,4東保健第1-67号,,菓子製造業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,市野パン工房,市野パン工房,,,1,,,,,
株式会社　ヤマナカ 代表取締役　中野 義久,052-413-7236,株式会社ヤマナカ　大曽根店,名古屋市東区矢田二丁目１番９５号　メッツ大曽根１Ｆ,名古屋市東区矢田２丁目１番９５号, メッツ大曽根１Ｆ,052-712-1771,飲食店営業,2022/7/8,4東保健第1-39号,2022/7/9,2029/2/20,,名古屋市保健所,株式会社ヤマナカ　大曽根店,052,052-712-1771,,,,名古屋市東区矢田２丁目１番９５号,愛知県名古屋市東区矢田２丁目１番９５号, メッツ大曽根１Ｆ,113923,愛知県,名古屋市東区,矢田２,,2022/07/08,,2022/07/09,2029/02/20,株式会社　ヤマナカ ,代表取締役　中野 義久,052-413-7236,,,,,,,,4東保健第1-39号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,株式会社ヤマナカ　大曽根店,株式会社ヤマナカ大曽根店,株式会社ヤマナカ　,,1,,,,,
有限会社　ユメシンクリエート 代表取締役　加藤　新貴,052-752-6328,アンナンブルー　イズミ　１６８,名古屋市東区泉三丁目１１番２９号　クシダビル　１F,名古屋市東区泉３丁目１１番２９号,クシダビル １F,,飲食店営業,2022/7/11,4東保健第1-69号,2022/7/12,2029/5/20,,名古屋市保健所,アンナンブルー　イズミ　１６８,052,,,,,名古屋市東区泉３丁目１１番２９号,愛知県名古屋市東区泉３丁目１１番２９号,クシダビル １F,113836,愛知県,名古屋市東区,泉３,,2022/07/11,,2022/07/12,2029/05/20,有限会社　ユメシンクリエート ,代表取締役　加藤　新貴,052-752-6328,,,,,,,,4東保健第1-69号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,アンナンブルー　イズミ　１６８,アンナンブルイズミ１６８,有限会社ユメシンクリエート　,,1,,,,,
有限会社　カンナム家 代表取締役　朴　柱英,,カンナム　サムギョプサル,名古屋市東区泉一丁目１６番１８号　,名古屋市東区泉１丁目１６番１８号, ,052-961-6611,飲食店営業,2022/7/13,4東保健第1-86号,2022/7/14,2029/5/20,,名古屋市保健所,カンナム　サムギョプサル,052,052-961-6611,,,,名古屋市東区泉１丁目１６番１８号,愛知県名古屋市東区泉１丁目１６番１８号, ,113834,愛知県,名古屋市東区,泉１,,2022/07/13,,2022/07/14,2029/05/20,有限会社　カンナム家 ,代表取締役　朴　柱英,,,,,,,,,4東保健第1-86号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,カンナム　サムギョプサル,カンナムサムギョプサル,有限会社カンナム家　,,1,,,,,
岡部　俊幸,,スパゲッティハウス パプリカ　東片端店,名古屋市東区東片端町３５番地　第二加藤ビル　１F,名古屋市東区東片端町３５番地,第二加藤ビル １F,052-961-0522,飲食店営業,2022/7/14,4東保健第1-83号,2022/7/21,2028/7/20,,名古屋市保健所,スパゲッティハウス パプリカ　東片端店,052,052-961-0522,,,,名古屋市東区東片端町３５番地,愛知県名古屋市東区東片端町３５番地,第二加藤ビル １F,113857,愛知県,名古屋市東区,東片端町,,2022/07/14,,2022/07/21,2028/07/20,,岡部　俊幸,,,,,,,,,4東保健第1-83号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スパゲッティハウス　パプリカ　東片端店,スパゲッティハウスパプリカ東片端店,,,1,,,,,
川尻　淳夫,,Ｎо．２９２５,名古屋市東区泉一丁目１４番２３号　ホワイトメイツ　１F,名古屋市東区泉１丁目１４番２３号,ホワイトメイツ １F,052-212-6020,飲食店営業,2022/7/15,4東保健第1-87号,2022/7/16,2029/5/20,,名古屋市保健所,Ｎо．２９２５,052,052-212-6020,,,,名古屋市東区泉１丁目１４番２３号,愛知県名古屋市東区泉１丁目１４番２３号,ホワイトメイツ １F,113834,愛知県,名古屋市東区,泉１,,2022/07/15,,2022/07/16,2029/05/20,,川尻　淳夫,,,,,,,,,4東保健第1-87号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｎо．２９２５,Ｎо２９２５,,,1,,,,,
稲垣　幸彦,,五十九（ごとく）,名古屋市東区橦木町３丁目２４番地　プランドール橦木 １－１,名古屋市東区橦木町３丁目２４番地,プランドール橦木 １－１,052-740-2372,飲食店営業,2022/7/19,4東保健第1-50号,2022/7/25,2029/7/20,,名古屋市保健所,五十九（ごとく）,052,052-740-2372,,,,名古屋市東区橦木町３丁目２４番地,愛知県名古屋市東区橦木町３丁目２４番地,プランドール橦木 １－１,113844,愛知県,名古屋市東区,橦木町３,,2022/07/19,,2022/07/25,2029/07/20,,稲垣　幸彦,,,,,,,,,4東保健第1-50号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,五十九（ごとく）,五十九ごとく,,,1,,,,,
株式会社　Ｉ ＆ Ｉ 代表取締役　石河　公平,052-734-9213,ファミリーマート　東外堀町店,名古屋市東区東外堀町３３番地　,名古屋市東区東外堀町３３番地 ,,052-957-4750,飲食店営業,2022/7/19,4東保健第1-66号,2022/7/26,2029/7/20,,名古屋市保健所,ファミリーマート　東外堀町店,052,052-957-4750,,,,名古屋市東区東外堀町３３番地 ,愛知県名古屋市東区東外堀町３３番地,,113861,愛知県,名古屋市東区,東外堀町,,2022/07/19,,2022/07/26,2029/07/20,株式会社　Ｉ ＆ Ｉ ,代表取締役　石河　公平,052-734-9213,,,,,,,,4東保健第1-66号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート　東外堀町店,ファミリマト東外堀町店,株式会社Ｉ　＆　Ｉ　,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
成瀬　斉,,創作ダイニング　真,名古屋市東区芳野一丁目５番１３号　,名古屋市東区芳野１丁目５番１３号, ,,飲食店営業,2022/7/25,4東保健第1-90号,2022/8/21,2028/8/20,,名古屋市保健所,創作ダイニング　真,052,,,,,名古屋市東区芳野１丁目５番１３号,愛知県名古屋市東区芳野１丁目５番１３号, ,113894,愛知県,名古屋市東区,芳野１,,2022/07/25,,2022/08/21,2028/08/20,,成瀬　斉,,,,,,,,,4東保健第1-90号,,飲食店営業,,,,245_愛知県_名古屋市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,創作ダイニング　真,創作ダイニング真,,,1,,,,,
