,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
あおぞらライフ大蒲厨房,飲食店営業,飲食店営業,,220617,R 4. 7. 7,R10. 9.30,R 4. 7. 7,4350014,静岡県浜松市東区大蒲町７４番地の６,,462-5545,株式会社　シーダイナー,静岡県浜松市東区丸町１６９番地,,462-7634,代表取締役,中村　伸宏,高齢者施設厨房,,浜松市保健所,あおぞらライフ大蒲厨房,053,053-462-5545,4350014,,,静岡県浜松市東区大蒲町７４番地の６,静岡県浜松市東区大蒲町７４番地ノ６,,110831,静岡県,浜松市東区,大蒲町,,2022/07/07,,2022/07/07,2028/09/30,株式会社　シーダイナー,代表取締役 中村　伸宏,-462-7634,静岡県浜松市東区丸町１６９番地　,静岡県浜松市東区丸塚町１６９番地,,110873,静岡県,浜松市東区,丸塚町,220617,,飲食店営業, 高齢者施設厨房,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,あおぞらライフ大蒲厨房,あおぞらライフ大蒲厨房,株式会社シーダイナー,,1,,,,,
Ｒｅｓｔａｕｒａｎｔｅ　Ｃａｆé　Ｌａ　Ｒｕｅｄａ,飲食店営業,飲食店営業,,220614,R 4. 7. 7,R10. 5.31,R 4. 7. 7,4328047,静岡県浜松市中区神田町４２０番地,,,タキグチ　ビルマ,,,,,,レストラン　カフェ,,浜松市保健所,Ｒｅｓｔａｕｒａｎｔｅ　Ｃａｆé　Ｌａ　Ｒｕｅｄａ,053,,4328047,,,静岡県浜松市中区神田町４２０番地,静岡県浜松市中区神田町４２０番地,,110665,静岡県,浜松市中区,神田町,,2022/07/07,,2022/07/07,2028/05/31,,タキグチ　ビルマ,,　,,,,,,,220614,,飲食店営業, レストラン　カフェ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｒｅｓｔａｕｒａｎｔｅ　Ｃａｆé　Ｌａ　Ｒｕｅｄａ,ＲｅｓｔａｕｒａｎｔｅＣａｆeＬａＲｕｅｄａ,,,1,,,,,
ＭＩＲＩＺ,飲食店営業,飲食店営業,,220610,R 4. 7. 7,R 9.11.30,R 4. 7. 7,4328021,静岡県浜松市中区佐鳴台五丁目２３番１４号,Ｂ,,山村　拓也,,,,,,弁当屋,,浜松市保健所,ＭＩＲＩＺ,053,,4328021,,,静岡県浜松市中区佐鳴台五丁目２３番１４号,静岡県浜松市中区佐鳴台５丁目２３番１４号,Ｂ,110690,静岡県,浜松市中区,佐鳴台５,,2022/07/07,,2022/07/07,2027/11/30,,山村　拓也,,　,,,,,,,220610,,飲食店営業, 弁当屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＭＩＲＩＺ,ＭＩＲＩＺ,,,1,,,,,
ショーダテクトロン株式会社,菓子製造業,菓子製造業,,220608,R 4. 7. 7,R 9.11.30,R 4. 7. 7,4311104,静岡県浜松市西区桜台五丁目１番１号,,053-414-6127,ショーダテクトロン株式会社,静岡県浜松市西区桜台五丁目１番１号,,053-414-6127,代表取締役,庄田　匡宏,,,浜松市保健所,ショーダテクトロン株式会社,053,053-414-6127,4311104,,,静岡県浜松市西区桜台五丁目１番１号,静岡県浜松市西区桜台５丁目１番１号,,110902,静岡県,浜松市西区,桜台５,,2022/07/07,,2022/07/07,2027/11/30,ショーダテクトロン株式会社,代表取締役 庄田　匡宏,053-414-6127,静岡県浜松市西区桜台五丁目１番１号　,静岡県浜松市西区桜台５丁目１番１号,,110902,静岡県,浜松市西区,桜台５,220608,,菓子製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ショーダテクトロン株式会社,ショダテクトロン株式会社,ショーダテクトロン株式会社,,2,,,,,
ショーダテクトロン株式会社,食用油脂製造業,食用油脂製造業,,220609,R 4. 7. 7,R 9.11.30,R 4. 7. 7,4311104,静岡県浜松市西区桜台五丁目１番１号,,053-414-6127,ショーダテクトロン株式会社,静岡県浜松市西区桜台五丁目１番１号,,053-414-6127,代表取締役,庄田　匡宏,,,浜松市保健所,ショーダテクトロン株式会社,053,053-414-6127,4311104,,,静岡県浜松市西区桜台五丁目１番１号,静岡県浜松市西区桜台５丁目１番１号,,110902,静岡県,浜松市西区,桜台５,,2022/07/07,,2022/07/07,2027/11/30,ショーダテクトロン株式会社,代表取締役 庄田　匡宏,053-414-6127,静岡県浜松市西区桜台五丁目１番１号　,静岡県浜松市西区桜台５丁目１番１号,,110902,静岡県,浜松市西区,桜台５,220609,,食用油脂製造業,,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,ショーダテクトロン株式会社,ショダテクトロン株式会社,ショーダテクトロン株式会社,,2,,,,,
スナック　自由,飲食店営業,飲食店営業,,220616,R 4. 7. 7,R10. 2.29,R 4. 7. 7,4300934,静岡県浜松市中区千歳町１２７番地,八百吉ビル１Ｆ,,平野　謝那,,,,,,スナック,,浜松市保健所,スナック　自由,053,,4300934,,,静岡県浜松市中区千歳町１２７番地,静岡県浜松市中区千歳町１２７番地,八百吉ビル１Ｆ,110736,静岡県,浜松市中区,千歳町,,2022/07/07,,2022/07/07,2028/02/29,,平野　謝那,,　,,,,,,,220616,,飲食店営業, スナック,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック　自由,スナック自由,,,1,,,,,
中華料理しょうりゅう,飲食店営業,飲食店営業,,220607,R 4. 7. 7,R10. 2.29,R 4. 7. 7,,浜松市内一円,,,本田　昇司,,,,,,フードトラック,,浜松市保健所,中華料理しょうりゅう,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/07,,2022/07/07,2028/02/29,,本田　昇司,,　,,,,,,,220607,,飲食店営業, フードトラック,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,中華料理しょうりゅう,中華料理しょうりゅう,,,1,,,,,
Ａｒｕｔｉｋｏｒｏ,飲食店営業,飲食店営業,,220613,R 4. 7. 7,R 9.11.30,R 4. 7. 7,4328061,静岡県浜松市西区入野町１９００番地の３７,,,竹村　昌典,,,,,,ランチ・カフェ,,浜松市保健所,Ａｒｕｔｉｋｏｒｏ,053,,4328061,,,静岡県浜松市西区入野町１９００番地の３７,静岡県浜松市西区入野町１９００番地ノ３７,,110883,静岡県,浜松市西区,入野町,,2022/07/07,,2022/07/07,2027/11/30,,竹村　昌典,,　,,,,,,,220613,,飲食店営業, ランチ・カフェ,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｒｕｔｉｋｏｒｏ,Ａｒｕｔｉｋｏｒｏ,,,1,,,,,
きつねとたぬき,飲食店営業,飲食店営業,,220612,R 4. 7. 7,R 9.11.30,R 4. 7. 7,,浜松市内一円,,,合同会社　寛,静岡県浜松市中区城北一丁目２５番１９号,,475-4185,代表社員,石野　寛士,飲食店営業（自動車）,,浜松市保健所,きつねとたぬき,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/07,,2022/07/07,2027/11/30,合同会社　寛,代表社員 石野　寛士,-475-4185,静岡県浜松市中区城北一丁目２５番１９号　,静岡県浜松市中区城北１丁目２５番１９号,,110702,静岡県,浜松市中区,城北１,220612,,飲食店営業, 飲食店営業（自動車）,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,きつねとたぬき,きつねとたぬき,合同会社寛,,1,,,,,
魚あら,飲食店営業,飲食店営業,,220611,R 4. 7. 7,R 9.11.30,R 4. 7. 7,,浜松市内一円,,,株式会社　魚あら,静岡県浜松市西区舞阪町舞阪２１１９番地の１２,,592-0041,代表取締役,山田　哲也,露店,,浜松市保健所,魚あら,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/07,,2022/07/07,2027/11/30,株式会社　魚あら,代表取締役 山田　哲也,-592-0041,静岡県浜松市西区舞阪町舞阪２１１９番地の１２　,静岡県浜松市西区舞阪町舞阪２１１９番地ノ１２,,110918,静岡県,浜松市西区,舞阪町舞阪,220611,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,魚あら,魚あら,株式会社魚あら,,1,,,,,
オキメモ,飲食店営業,飲食店営業,,220619,R 4. 7. 8,R 9. 9.30,R 4. 7. 8,,浜松市内一円,,,川合　敏孝,,,,,,キッチンカー（ドリンク、麺類）,,浜松市保健所,オキメモ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/08,,2022/07/08,2027/09/30,,川合　敏孝,,　,,,,,,,220619,,飲食店営業, キッチンカー（ドリンク、麺類）,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,オキメモ,オキメモ,,,1,,,,,
海鮮居酒屋　翔男,飲食店営業,飲食店営業,,220618,R 4. 7. 8,R10. 2.29,R 4. 7. 8,,浜松市内一円,,,平野　翔一,,,,,,露店,,浜松市保健所,海鮮居酒屋　翔男,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/08,,2022/07/08,2028/02/29,,平野　翔一,,　,,,,,,,220618,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,海鮮居酒屋　翔男,海鮮居酒屋翔男,,,1,,,,,
珈琲古今,飲食店営業,飲食店営業,,220622,R 4. 7.11,R 9. 9.30,R 4. 7.11,4311402,静岡県浜松市北区三ヶ日町都筑５５番地の１,,,夏目　治,,,,,,喫茶店,,浜松市保健所,珈琲古今,053,,4311402,,,静岡県浜松市北区三ヶ日町都筑５５番地の１,静岡県浜松市北区三が日町都筑５５番地ノ１,,111041,静岡県,浜松市北区,三が日町都筑,,2022/07/11,,2022/07/11,2027/09/30,,夏目　治,,　,,,,,,,220622,,飲食店営業, 喫茶店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,珈琲古今,珈琲古今,,,1,,,,,
炭焼うなぎ　加茂,飲食店営業,飲食店営業,,220621,R 4. 7.11,R10. 9.30,R 4. 7.11,4311402,静岡県浜松市北区三ヶ日町都筑７９１番地の８,,526-2428,株式会社　加茂,静岡県浜松市北区三ヶ日町都筑７９１番地の８,,526-2428,代表取締役,加茂　学,食堂,,浜松市保健所,炭焼うなぎ　加茂,053,053-526-2428,4311402,,,静岡県浜松市北区三ヶ日町都筑７９１番地の８,静岡県浜松市北区三が日町都筑７９１番地ノ８,,111041,静岡県,浜松市北区,三が日町都筑,,2022/07/11,,2022/07/11,2028/09/30,株式会社　加茂,代表取締役 加茂　学,-526-2428,静岡県浜松市北区三ヶ日町都筑７９１番地の８　,静岡県浜松市北区三が日町都筑７９１番地ノ８,,111041,静岡県,浜松市北区,三が日町都筑,220621,,飲食店営業, 食堂,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,炭焼うなぎ　加茂,炭焼うなぎ加茂,株式会社加茂,,1,,,,,
あぐり縁,飲食店営業,飲食店営業,,220620,R 4. 7.11,R10. 2.29,R 4. 7.11,4340005,静岡県浜松市浜北区大平１６６番地の１,,582-3228,山内　富子,,,,,,喫茶店,,浜松市保健所,あぐり縁,053,053-582-3228,4340005,,,静岡県浜松市浜北区大平１６６番地の１,静岡県浜松市浜北区大平１６６番地ノ１,,111062,静岡県,浜松市浜北区,大平,,2022/07/11,,2022/07/11,2028/02/29,,山内　富子,,　,,,,,,,220620,,飲食店営業, 喫茶店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,あぐり縁,あぐり縁,,,1,,,,,
不思議なかき氷～ＧＯＮＯＷＡ～,飲食店営業,飲食店営業,,220624,R 4. 7.12,R10. 2.29,R 4. 7.12,4340038,静岡県浜松市浜北区貴布祢４１２番地の１４,,,大柿　貴嗣,,,,,,かき氷屋,,浜松市保健所,不思議なかき氷～ＧＯＮＯＷＡ～,053,,4340038,,,静岡県浜松市浜北区貴布祢４１２番地の１４,静岡県浜松市浜北区貴布祢４１２番地ノ１４,,111067,静岡県,浜松市浜北区,貴布祢,,2022/07/12,,2022/07/12,2028/02/29,,大柿　貴嗣,,　,,,,,,,220624,,飲食店営業, かき氷屋,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,不思議なかき氷～ＧＯＮＯＷＡ～,不思議なかき氷ＧＯＮＯＷＡ,,,1,,,,,
炭焼家おれんぢ（露店）,飲食店営業,飲食店営業,,220623,R 4. 7.12,R 9.11.30,R 4. 7.12,,浜松市内一円,,,豊田　悠我,,,,,,露店,,浜松市保健所,炭焼家おれんぢ（露店）,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/12,,2022/07/12,2027/11/30,,豊田　悠我,,　,,,,,,,220623,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,炭焼家おれんぢ（露店）,炭焼家おれんぢ露店,,,1,,,,,
ｐｕｆｆ　ｐｕｆｆ,飲食店営業,飲食店営業,,220631,R 4. 7.12,R 9.11.30,R 4. 7.12,,浜松市内一円,,,中野　雅代,,,,,,露店,,浜松市保健所,ｐｕｆｆ　ｐｕｆｆ,,,,,,浜松市内一円,静岡県浜松市内一円,,,静岡県,,,,2022/07/12,,2022/07/12,2027/11/30,,中野　雅代,,　,,,,,,,220631,,飲食店営業, 露店,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｐｕｆｆ　ｐｕｆｆ,ｐｕｆｆｐｕｆｆ,,,1,,,,,
あおぞら中野町厨房,飲食店営業,飲食店営業,,220630,R 4. 7.13,R10. 9.30,R 4. 7.13,4350004,静岡県浜松市東区中野町１２１７番地,,422-6303,株式会社　シーダイナー,静岡県浜松市東区丸町１６９番地,,462-7634,代表取締役,中村　伸宏,高齢者施設厨房,,浜松市保健所,あおぞら中野町厨房,053,053-422-6303,4350004,,,静岡県浜松市東区中野町１２１７番地,静岡県浜松市東区中野町１２１７番地,,110860,静岡県,浜松市東区,中野町,,2022/07/13,,2022/07/13,2028/09/30,株式会社　シーダイナー,代表取締役 中村　伸宏,-462-7634,静岡県浜松市東区丸町１６９番地　,静岡県浜松市東区丸塚町１６９番地,,110873,静岡県,浜松市東区,丸塚町,220630,,飲食店営業, 高齢者施設厨房,,,237_静岡県_浜松市保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,あおぞら中野町厨房,あおぞら中野町厨房,株式会社シーダイナー,,1,,,,,
