https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
施設名,施設-住所1,施設-マンション名,施設-電話番号1,業種,業態,申請者1,申請者2,申請者3,申請-住所1,,申請-電話番号1,確認番号,許可年月日,許可期間終了日,申請区分,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業所名称,営業所所在地,営業所方書,営業所電話番号,業種,業態,名称,代表者肩書,代表者氏名,営業者住所,営業者方書,営業者電話番号,許可番号,許可決定日,許可期限,申請区分,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
マルエツ茅ヶ崎店,茅ヶ崎市香川１丁目１番３８号,,0467-54-5311,そうざい製造業,"そうざい,弁当",株式会社マルエツ,代表取締役,古瀬 良多,東京都豊島区東池袋五丁目５１番１２号,,03-3590-1110,01-125-00005,令和3年11月8日,令和10年11月30日,新規,,146,マルエツ茅ヶ崎店,0467,0467-54-5311,,,,茅ヶ崎市香川１丁目１番３８号,神奈川県茅が崎市香川１丁目１番３８号,,81974,14,14207,香川１,,,2021/11/08,,2028/11/30,株式会社マルエツ,代表取締役 古瀬 良多,03-3590-1110,東京都豊島区東池袋五丁目５１番１２号,東京都豊島区東池袋５丁目５１番１２号,,74834,東京都,豊島区,東池袋５,01-125-00005,新規,そうざい製造業," そうざい,弁当",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,マルエツ茅ヶ崎店0467-54-531181974,01eb1afb-6282-4c4a-b8ad-ffbbb33ff74e,株式会社マルエツ74834,288122e9-b236-4144-82f3-204b431a5e0f,63adc7a6-cb4a-4f93-b326-254881a75530,2021/11/08,マルエツ茅ヶ崎店,マルエツ茅ヶ崎店,株式会社マルエツ
暢食源,茅ヶ崎市みずき２丁目１０番２２号,,,飲食店営業,飲食店,,,,,,,01-101-00164,令和3年11月8日,令和10年11月30日,新規,,146,暢食源,0467,,,,,茅ヶ崎市みずき２丁目１０番２２号,神奈川県茅が崎市みずき２丁目１０番２２号,,82084,14,14207,みずき２,,,2021/11/08,,2028/11/30,, ,,,,,,,,,01-101-00164,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,暢食源82084,dcd45641-e9fa-43cd-92f6-104375bffa79,,personal,e765f434-bb2b-4693-b355-ae9fcfc00727,2021/11/08,暢食源,暢食源,
マルス食品,高座郡寒川町岡田３丁目２番２２号,,,漬物製造業,"塩漬け,ぬか漬け,浅漬け",,,,,,,01-129-00001,令和3年11月8日,令和9年11月30日,新規,,146,マルス食品,0467,,,,,高座郡寒川町岡田３丁目２番２２号,神奈川県高座郡寒川町岡田３丁目２番２２号,,82959,14,14321,岡田３,,,2021/11/08,,2027/11/30,, ,,,,,,,,,01-129-00001,新規,漬物製造業," 塩漬け,ぬか漬け,浅漬け",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,マルス食品8295914321,dcd45641-e9fa-43cd-92f6-104375bffa79,,personal,a3809e5c-7eda-4962-b20b-c78f3e9791a3,2021/11/08,マルス食品,マルス食品,
レプラコーン。,茅ヶ崎市甘沼６２６番地２,,0467-26-6662,菓子製造業,菓子,丸和商事・レプラコーン合同会社,代表社員,村井 哲也,神奈川県茅ヶ崎市甘沼６２６番地２,,0467-26-6662,01-111-00021,令和3年11月9日,令和9年11月30日,新規,,146,レプラコーン。,0467,0467-26-6662,,,,茅ヶ崎市甘沼６２６番地２,神奈川県茅が崎市甘沼６２６番地２,,81968,14,14207,甘沼,,,2021/11/09,,2027/11/30,丸和商事・レプラコーン合同会社,代表社員 村井 哲也,0467-26-6662,神奈川県茅ヶ崎市甘沼６２６番地２,神奈川県茅が崎市甘沼６２６番地２,,81968,神奈川県,茅が崎市,甘沼,01-111-00021,新規,菓子製造業, 菓子,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,レプラコン0467-26-666281968,c13ee319-7b15-43ff-8d57-beac74d44cc3,丸和商事・レプラコーン合同会社81968,ce204283-c5fa-41bf-a081-377086e141f3,688284b4-5776-4054-a3b6-ba958871bbaa,2021/11/09,レプラコーン。,レプラコン,丸和商事・レプラコーン合同会社
リトルティールーム,茅ヶ崎市芹沢９２９番地１,,,菓子製造業,菓子,,,,,,,01-111-00022,令和3年11月15日,令和9年11月30日,新規,,146,リトルティールーム,0467,,,,,茅ヶ崎市芹沢９２９番地１,神奈川県茅が崎市芹沢９２９番地１,,81997,14,14207,芹沢,,,2021/11/15,,2027/11/30,, ,,,,,,,,,01-111-00022,新規,菓子製造業, 菓子,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,リトルティルム81997,fb41618f-5216-4638-96db-041490c632df,,personal,b17ba5b9-83e7-4826-9e09-3ba1f9cf72b6,2021/11/15,リトルティールーム,リトルティルム,
ミニストップ茅ヶ崎堤店,茅ヶ崎市堤８１６番地１,,0467-54-0079,飲食店営業,"簡易な営業,弁当屋",,,,,,,01-101-00166,令和3年11月15日,令和9年11月30日,新規,,146,ミニストップ茅ヶ崎堤店,0467,0467-54-0079,,,,茅ヶ崎市堤８１６番地１,神奈川県茅が崎市堤８１６番地１,,82003,14,14207,堤,,,2021/11/15,,2027/11/30,, ,,,,,,,,,01-101-00166,新規,飲食店営業," 簡易な営業,弁当屋",,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,ミニストップ茅ヶ崎堤店0467-54-007982003,a33a34c8-067c-4644-848f-d676c3cc7d00,,personal,8719ae29-e354-4fa3-8d05-6e3da88b3859,2021/11/15,ミニストップ茅ヶ崎堤店,ミニストップ茅ヶ崎堤店,
サンドワークス,茅ヶ崎市新栄町１番１３号,トレゾアノール１階,,飲食店営業,弁当屋,ヌードルワークス株式会社,代表取締役,遠藤 俊郎,神奈川県茅ヶ崎市元町２番１５号,,,01-101-00168,令和3年11月16日,令和9年11月30日,新規,,146,サンドワークス,0467,,,,,茅ヶ崎市新栄町１番１３号,神奈川県茅が崎市新栄町１番１３号,トレゾアノール１階,81993,14,14207,新栄町,,,2021/11/16,,2027/11/30,ヌードルワークス株式会社,代表取締役 遠藤 俊郎,,神奈川県茅ヶ崎市元町２番１５号,神奈川県茅が崎市元町２番１５号,,82068,神奈川県,茅が崎市,元町,01-101-00168,新規,飲食店営業, 弁当屋,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,サンドワクス81993,a671e269-3e85-47c7-b7e1-63e439610468,ヌードルワークス株式会社82068,2c0e2770-d898-4146-a2f9-d56188793283,b51bc271-6d35-4549-bb47-6dc15e04d3a0,2021/11/16,サンドワークス,サンドワクス,ヌードルワークス株式会社
チーズケーキファクトリー,茅ヶ崎市共恵１丁目４番１７号,２Ｆ,0467-37-3337,菓子製造業,菓子,,,,,,,01-111-00023,令和3年11月16日,令和9年11月30日,新規,,146,チーズケーキファクトリー,0467,0467-37-3337,,,,茅ヶ崎市共恵１丁目４番１７号,神奈川県茅が崎市共恵１丁目４番１７号,２Ｆ,82007,14,14207,共恵１,,,2021/11/16,,2027/11/30,, ,,,,,,,,,01-111-00023,新規,菓子製造業, 菓子,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,E,9,,,チズケキファクトリ0467-37-333782007,247c6ec5-42a5-4a98-9f9c-c5b5f967783f,,personal,428ca6f7-4bf5-45f1-a365-87a56f6e9399,2021/11/16,チーズケーキファクトリー,チズケキファクトリ,
ｖｉｖｉａｎ,茅ヶ崎市中海岸１丁目１番５８号,大勝ビルＢ１,0467-85-9884,飲食店営業,飲食店,,,,,,,01-101-00167,令和3年11月16日,令和9年11月30日,新規,,146,ｖｉｖｉａｎ,0467,0467-85-9884,,,,茅ヶ崎市中海岸１丁目１番５８号,神奈川県茅が崎市中海岸１丁目１番５８号,大勝ビルＢ１,82009,14,14207,中海岸１,,,2021/11/16,,2027/11/30,, ,,,,,,,,,01-101-00167,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,ｖｉｖｉａｎ0467-85-988482009,954b4cd3-2af0-4e05-88df-36b992bd61d0,,personal,69a7a8f9-783f-4814-b806-73817f907546,2021/11/16,ｖｉｖｉａｎ,ｖｉｖｉａｎ,
風や,茅ヶ崎市浜竹２丁目２番１１号,,0467-86-9429,飲食店営業,飲食店,,,,,,,01-101-00170,令和3年11月18日,令和9年11月30日,新規,,146,風や,0467,0467-86-9429,,,,茅ヶ崎市浜竹２丁目２番１１号,神奈川県茅が崎市浜竹２丁目２番１１号,,82026,14,14207,浜竹２,,,2021/11/18,,2027/11/30,, ,,,,,,,,,01-101-00170,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,風や0467-86-942982026,21823b13-a323-4fa5-a4db-06ee81f8c680,,personal,009eae7e-90bb-4ee7-a52a-e42a2123ca43,2021/11/18,風や,風や,
Ｂｉｓｔｒｏ辻庵,茅ヶ崎市浜竹３丁目３番３３号,ルナ茅ヶ崎２Ｆ,0467-84-6884,飲食店営業,飲食店,株式会社Ｅｒｍｉｔａｇｅ湘南,代表取締役,豊吉 三二,神奈川県茅ヶ崎市浜竹三丁目３番３３号,,0467-84-6884,01-101-00169,令和3年11月18日,令和10年11月30日,新規,,146,Ｂｉｓｔｒｏ辻庵,0467,0467-84-6884,,,,茅ヶ崎市浜竹３丁目３番３３号,神奈川県茅が崎市浜竹３丁目３番３３号,ルナ茅ヶ崎２Ｆ,82027,14,14207,浜竹３,,,2021/11/18,,2028/11/30,株式会社Ｅｒｍｉｔａｇｅ湘南,代表取締役 豊吉 三二,0467-84-6884,神奈川県茅ヶ崎市浜竹三丁目３番３３号,神奈川県茅が崎市浜竹３丁目３番３３号,,82027,神奈川県,茅が崎市,浜竹３,01-101-00169,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,Ｂｉｓｔｒｏ辻庵0467-84-688482027,91877cc4-649b-421e-a2bf-342e97dee642,株式会社Ｅｒｍｉｔａｇｅ湘南82027,bc07dbec-c92c-45ee-a76f-1afde89706c5,5ec129fc-0af1-4cd8-a445-ef813ab94b0b,2021/11/18,Ｂｉｓｔｒｏ辻庵,Ｂｉｓｔｒｏ辻庵,株式会社Ｅｒｍｉｔａｇｅ湘南
自家焙煎珈琲屋 ＸＡＹＭＡＣＡ,茅ヶ崎市浜須賀３番５号,,,飲食店営業,飲食店,,,,,,,01-101-00171,令和3年11月26日,令和9年11月30日,新規,,146,自家焙煎珈琲屋 ＸＡＹＭＡＣＡ,0467,,,,,茅ヶ崎市浜須賀３番５号,神奈川県茅が崎市浜須賀３番５号,,82024,14,14207,浜須賀,,,2021/11/26,,2027/11/30,, ,,,,,,,,,01-101-00171,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,自家焙煎珈琲屋ＸＡＹＭＡＣＡ82024,2cf01c03-2bb5-4715-b1f6-311135a0e4e2,,personal,af5c5987-9520-4be4-a03e-59357197dfe1,2021/11/26,自家焙煎珈琲屋　ＸＡＹＭＡＣＡ,自家焙煎珈琲屋ＸＡＹＭＡＣＡ,
巴屋,高座郡寒川町小谷１丁目１番４３号,,,飲食店営業,飲食店,,,,,,,01-101-00172,令和3年11月29日,令和9年11月30日,新規,,146,巴屋,0467,,,,,高座郡寒川町小谷１丁目１番４３号,神奈川県高座郡寒川町小谷１丁目１番４３号,,82965,14,14321,小谷１,,,2021/11/29,,2027/11/30,, ,,,,,,,,,01-101-00172,新規,飲食店営業, 飲食店,,,146_神奈川県_茅ヶ崎市保健所_食品衛生()_2021年11月_末日_新規.csv,M,76,,,巴屋8296514321,b48e1d4d-4a39-4df7-aecc-cb43d5beded2,,personal,74866ad6-b0dc-434a-bf7f-26bee4e58919,2021/11/29,巴屋,巴屋,
