https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,確認番号,,申請-住所0,申請-住所1,申請-マンション名,申請者1,,申請者2,,,申請-電話番号1,郵便番号,施設-住所0,施設-住所1,施設-住所2,施設-マンション名,施設名,施設-電話番号1,業種,業態,その他,その他,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営業,25156,保生第710,238-0023,,,,,,見楚谷 大樹,見楚谷 大樹,ミソヤタイキ,,238-0023,横須賀市森崎１－１０－７ キラビル１０１,神奈川県,横須賀市森崎１－１０－７,キラビル１０１,華芽 ,,飲食店営業,飲食店（客席を設ける営業）,,一般,11/19/21 0:00,11/19/21 0:00,11/19/21 0:00,11/30/27 0:00,,144,華芽 ,046,,,,,神奈川県　横須賀市森崎１－１０－７,神奈川県横須賀市森崎１－１０－７,キラビル１０１,81240,14,14201,森崎１,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,見楚谷 大樹,,,,,,,,,保生第710,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,華芽8124014201,7b9e2800-f5be-4553-b850-ebdc4be5cfc1,,personal,e1bce3d5-2df2-4aec-8ed6-2bbf44b4cccc,2021/11/19,華芽　,華芽,
営業,25204,保生第752,240-0104,,,,,,長内 千代美,長内 千代美,オサナイチヨミ,,238-0313,横須賀市武４－４０－２ リーフフラット１Ｆ,神奈川県,横須賀市武４－４０－２,リーフフラット１Ｆ,スナック　プリティー ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/2/21 0:00,12/2/21 0:00,12/2/21 0:00,2/29/28 0:00,,144,スナック　プリティー ,046,,,,,神奈川県　横須賀市武４－４０－２,神奈川県横須賀市武４－４０－２,リーフフラット１Ｆ,81123,14,14201,武４,,2021/12/02,2021/12/02,2021/12/02,2028/02/29,,長内 千代美,,,,,,,,,保生第752,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,スナックプリティ8112314201,ee3c05ea-fbb3-480c-aaae-30cf97fc150b,,personal,22b26165-1250-4923-8818-6a6a9415b7ee,2021/12/02,スナック　プリティー　,スナックプリティ,
営業,25205,保生第751,244-0801,神奈川県横浜市戸塚区品濃町５１７－２,神奈川県横浜市戸塚区品濃町５１７－２,,コナカエンタープライズ株式会社,代表取締役,大野 義興,代表取締役　大野 義興,コナカエンタープライズ,045-825-8040,239-0831,横須賀市久里浜４－７－２ 新八ビル３号館１０２号,神奈川県,横須賀市久里浜４－７－２,新八ビル３号館１０２号,からあげ縁　京急久里浜店 ,845-6695,飲食店営業,飲食店（客席を設けない営業）,,一般,12/6/21 0:00,12/6/21 0:00,12/6/21 0:00,2/28/29 0:00,,144,からあげ縁　京急久里浜店 ,046,046-845-6695,,,,神奈川県　横須賀市久里浜４－７－２,神奈川県横須賀市久里浜４－７－２,新八ビル３号館１０２号,81061,14,14201,久里浜４,,2021/12/06,2021/12/06,2021/12/06,2029/02/28,コナカエンタープライズ株式会社,代表取締役　大野 義興,045-825-8040,神奈川県横浜市戸塚区品濃町５１７－２,神奈川県横浜市戸塚区品濃町５１７－２,,79287,神奈川県,横浜市戸塚区,品濃町,保生第751,,飲食店営業, 飲食店（客席を設けない営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,からあげ縁京急久里浜店046-845-66958106114201,58ebebb6-6272-4ffb-ba47-49a0784f4041,コナカエンタープライズ株式会社79287,61b52a65-42ce-4221-b9c7-bd3979fac778,4a1a58e9-7906-4a13-8f5d-69a91946ac48,2021/12/06,からあげ縁　京急久里浜店　,からあげ縁京急久里浜店,コナカエンタープライズ株式会社
営業,25245,保生第761,239-0844,,,,,,市村 栄美子,市村 栄美子,イチムラエミコ,,239-0807,横須賀市根岸町４－５－１６ 坂本ビル１Ｆ１０３号,神奈川県,横須賀市根岸町４－５－１６,坂本ビル１Ｆ１０３号,たこ焼居酒屋　えみ ,801-7363,飲食店営業,飲食店（客席を設ける営業）,,一般,12/3/21 0:00,12/3/21 0:00,12/3/21 0:00,2/29/28 0:00,,144,たこ焼居酒屋　えみ ,046,046-801-7363,,,,神奈川県　横須賀市根岸町４－５－１６,神奈川県横須賀市根岸町４－５－１６,坂本ビル１Ｆ１０３号,81168,14,14201,根岸町４,,2021/12/03,2021/12/03,2021/12/03,2028/02/29,,市村 栄美子,,,,,,,,,保生第761,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,たこ焼居酒屋えみ046-801-73638116814201,84cabf94-baf5-421b-9c6c-99b84262eeea,,personal,47b58671-1edd-4724-b44c-d0ce69395ac4,2021/12/03,たこ焼居酒屋　えみ　,たこ焼居酒屋えみ,
営業,25246,保生第767,238-0246,神奈川県三浦市尾上町１３－１,神奈川県三浦市尾上町１３－１,,株式会社栗丸工業,代表取締役,栗村 淳也,代表取締役　栗村 淳也,クリマルコウギョウ,090-2490-1206,239-0807,横須賀市根岸町５－１６－４,神奈川県,横須賀市根岸町５－１６－４,,担蔵 ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/13/21 0:00,12/13/21 0:00,12/13/21 0:00,2/29/28 0:00,,144,担蔵 ,046,,,,,神奈川県　横須賀市根岸町５－１６－４,神奈川県横須賀市根岸町５－１６－４,,81169,14,14201,根岸町５,,2021/12/13,2021/12/13,2021/12/13,2028/02/29,株式会社栗丸工業,代表取締役　栗村 淳也,090-2490-1206,神奈川県三浦市尾上町１３－１,神奈川県三浦市尾上町１３－１,,82173,神奈川県,三浦市,尾上町,保生第767,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,担蔵8116914201,3f20076b-8192-44c5-9522-a2d1a5d71c0b,株式会社栗丸工業82173,61039447-57fb-409c-94b9-77f88952a173,7ab3b8f0-09c9-46d3-a79a-16a3fcb995b9,2021/12/13,担蔵　,担蔵,株式会社栗丸工業
営業,25248,保生第755,249-0005,,,,,,平塚 由加里,平塚 由加里,ヒラツカユカリ,,240-0105,横須賀市秋谷２－２１－２８,神奈川県,横須賀市秋谷２－２１－２８,,ｔｏＶｉｌｌａ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/6/21 0:00,12/6/21 0:00,12/6/21 0:00,2/29/28 0:00,,144,ｔｏＶｉｌｌａ ,046,,,,,神奈川県　横須賀市秋谷２－２１－２８,神奈川県横須賀市秋谷２－２１－２８,,80956,14,14201,秋谷２,,2021/12/06,2021/12/06,2021/12/06,2028/02/29,,平塚 由加里,,,,,,,,,保生第755,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ｔｏＶｉｌｌａ8095614201,aa9ab525-b917-4e73-8b7f-a0ba2dfa9272,,personal,f43136cc-7342-446e-90ab-5f08d36b2076,2021/12/06,ｔｏＶｉｌｌａ　,ｔｏＶｉｌｌａ,
営業,25249,保生第750,238-0006,,,,,,ＳＵＧＩＴＡ　ＳＥＶＥＲＩＮＡ　ＡＬＶＡＲＡＮ,ＳＵＧＩＴＡ　ＳＥＶＥＲＩＮＡ　ＡＬＶＡＲＡＮ,スギタセベリナアルバラン,,238-0007,横須賀市若松町１－１０ ヤヨイビル２－２号室,神奈川県,横須賀市若松町１－１０,ヤヨイビル２－２号室,ビストロ　バルカーダ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/6/21 0:00,12/6/21 0:00,12/6/21 0:00,2/29/28 0:00,,144,ビストロ　バルカーダ ,046,,,,,神奈川県　横須賀市若松町１－１０,神奈川県横須賀市若松町１－１０,ヤヨイビル２－２号室,81258,14,14201,若松町１,,2021/12/06,2021/12/06,2021/12/06,2028/02/29,,ＳＵＧＩＴＡ　ＳＥＶＥＲＩＮＡ　ＡＬＶＡＲＡＮ,,,,,,,,,保生第750,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ビストロバルカダ8125814201,c5c2107a-d44b-470a-b20f-7aeeca8bf0b4,,personal,c5c617e8-577e-4410-b269-8d19bb5de533,2021/12/06,ビストロ　バルカーダ　,ビストロバルカダ,
営業,25250,保生第763,259-1131,神奈川県伊勢原市伊勢原２－５－４３,神奈川県伊勢原市伊勢原２－５－４３,,株式会社オーイズミフーズ,代表取締役,大泉 賢治,代表取締役　大泉 賢治,オーイズミフーズ,046-297-2511,238-0041,横須賀市本町２－１－１２ コースカベイサイドストアーズ３階,神奈川県,横須賀市本町２－１－１２,コースカベイサイドストアーズ３階,三代目文治コースカベイサイドストアーズ店 ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/9/21 0:00,12/9/21 0:00,12/9/21 0:00,2/28/29 0:00,,144,三代目文治コースカベイサイドストアーズ店 ,046,,,,,神奈川県　横須賀市本町２－１－１２,神奈川県横須賀市本町２－１－１２,コースカベイサイドストアーズ３階,81221,14,14201,本町２,,2021/12/09,2021/12/09,2021/12/09,2029/02/28,株式会社オーイズミフーズ,代表取締役　大泉 賢治,046-297-2511,神奈川県伊勢原市伊勢原２－５－４３,神奈川県伊勢原市伊勢原２－５－４３,,82553,神奈川県,伊勢原市,伊勢原２,保生第763,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,三代目文治コスカベイサイドストアズ店8122114201,0966ab86-788e-4b59-a9ff-8569b263e128,株式会社オーイズミフーズ82553,4065ac5b-b2ce-4bea-84a0-5f42f021cde8,593974bc-3b4b-47c7-898e-0c637fe67810,2021/12/09,三代目文治コースカベイサイドストアーズ店　,三代目文治コスカベイサイドストアズ店,株式会社オーイズミフーズ
営業,25251,保生第757,238-0031,,,,,,池田 美香,池田 美香,イケダミカ,,238-0031,横須賀市衣笠栄町１－４３ ニュー並木ビル２階,神奈川県,横須賀市衣笠栄町１－４３,ニュー並木ビル２階,ココペリ ,,飲食店営業,飲食店（客席を設ける営業）,,一般,12/7/21 0:00,12/7/21 0:00,12/7/21 0:00,2/29/28 0:00,,144,ココペリ ,046,,,,,神奈川県　横須賀市衣笠栄町１－４３,神奈川県横須賀市衣笠栄町１－４３,ニュー並木ビル２階,81043,14,14201,衣笠栄町１,,2021/12/07,2021/12/07,2021/12/07,2028/02/29,,池田 美香,,,,,,,,,保生第757,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ココペリ8104314201,35f781b3-3b9e-4da9-bc19-44f0faa9b9cb,,personal,b631da55-6330-4eee-af7b-14b432e4400f,2021/12/07,ココペリ　,ココペリ,
営業,25325,保生第771,238-0041,神奈川県横須賀市本町２－１－９,神奈川県横須賀市本町２－１－９,,有限会社ＴＳＵＮＡＭＩ,代表取締役,飯田 茂,代表取締役　飯田 茂,ツナミ,046-827-1949,238-0041,横須賀市本町２－５－４,神奈川県,横須賀市本町２－５－４,,ＴＳＵＮＡＭＩ　ＢＯＸ ,828-5273,飲食店営業,飲食店（客席を設ける営業）,,一般,12/13/21 0:00,12/13/21 0:00,12/13/21 0:00,2/29/28 0:00,,144,ＴＳＵＮＡＭＩ　ＢＯＸ ,046,046-828-5273,,,,神奈川県　横須賀市本町２－５－４,神奈川県横須賀市本町２－５－４,,81221,14,14201,本町２,,2021/12/13,2021/12/13,2021/12/13,2028/02/29,有限会社ＴＳＵＮＡＭＩ,代表取締役　飯田 茂,046-827-1949,神奈川県横須賀市本町２－１－９,神奈川県横須賀市本町２－１－９,,81221,神奈川県,横須賀市,本町２,保生第771,,飲食店営業, 飲食店（客席を設ける営業）,一般,,144_神奈川県_横須賀市保健所_食品衛生(許可)_2021年11月-2021年12月_末日_新規,M,76,,,ＴＳＵＮＡＭＩＢＯＸ046-828-52738122114201,d2440e3d-3ab9-4d94-83e6-275b487ad896,有限会社ＴＳＵＮＡＭＩ81221,9d7ff70a-8651-45f8-91f7-119a5de0ae26,8a571117-6d57-4d51-a280-4af342ca3ece,2021/12/13,ＴＳＵＮＡＭＩ　ＢＯＸ　,ＴＳＵＮＡＭＩＢＯＸ,有限会社ＴＳＵＮＡＭＩ
