11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
伊志嶺　誠太,,宮古島市平良字狩俣129,,              ,宮古きび茶屋,飲食店営業,一般食堂・レストラン,第06202200104号,R04.07.04,R04.07.04,,宮古保健所,宮古きび茶屋,0980,,,,,宮古島市平良字狩俣129,沖縄県宮古島市平良字狩俣１２９,,216113,沖縄県,宮古島市,平良狩俣,,2022/07/04,2022/07/04,,,,,,,,,,,,,第06202200104号,,飲食店営業, 一般食堂・レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,宮古きび茶屋,宮古きび茶屋,,,1,,,,,
今泉　亮,,宮古島市平良字西里845-1,,0980-79-0597  ,麺屋 サマー太陽,飲食店営業,レストラン,第06202200103号,R04.07.04,R04.07.04,,宮古保健所,麺屋 サマー太陽,0980,0980-79-0597,,,,宮古島市平良字西里845-1,沖縄県宮古島市平良字西里８４５－１,,216118,沖縄県,宮古島市,平良西里,,2022/07/04,2022/07/04,,,,,,,,,,,,,第06202200103号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,麺屋　サマー太陽,麺屋サマ太陽,,,2,,,,,
今泉　亮,,宮古島市平良字西里845-1,,0980-79-0597  ,麺屋 サマー太陽,麺類製造業,めん類製造業,第06202200102号,R04.07.04,R04.07.04,,宮古保健所,麺屋 サマー太陽,0980,0980-79-0597,,,,宮古島市平良字西里845-1,沖縄県宮古島市平良字西里８４５－１,,216118,沖縄県,宮古島市,平良西里,,2022/07/04,2022/07/04,,,,,,,,,,,,,第06202200102号,,麺類製造業, めん類製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,麺屋　サマー太陽,麺屋サマ太陽,,,2,,,,,
株式会社 幸蔵,072-696-9981  ,宮古島市平良字下里568,,0980-79-5551  ,宮古島　幸蔵,飲食店営業,居酒屋,第06202200101号,R04.07.04,R04.07.04,,宮古保健所,宮古島　幸蔵,0980,0980-79-5551,,,,宮古島市平良字下里568,沖縄県宮古島市平良字下里５６８,,216116,沖縄県,宮古島市,平良下里,,2022/07/04,2022/07/04,,,株式会社 幸蔵,,072-696-9981  ,,,,,,,,第06202200101号,,飲食店営業, 居酒屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,宮古島　幸蔵,宮古島幸蔵,株式会社幸蔵,,1,,,,,
株式会社　宮古島Resort＆Spa,0980-79-5633  ,宮古島市伊良部字伊良部長底原837-1番地,,              ,ナチュリラ宮古島・伊良部,飲食店営業,レストラン,第06202200115号,R04.07.05,R04.07.05,,宮古保健所,ナチュリラ宮古島・伊良部,0980,,,,,宮古島市伊良部字伊良部長底原837-1番地,沖縄県宮古島市伊良部字伊良部長底原８３７－１番地,,216085,沖縄県,宮古島市,伊良部伊良部,,2022/07/05,2022/07/05,,,株式会社　宮古島Resort＆Spa,,0980-79-5633  ,,,,,,,,第06202200115号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ナチュリラ宮古島・伊良部,ナチュリラ宮古島伊良部,株式会社宮古島Ｒｅｓｏｒｔ＆Ｓｐａ,,1,,,,,
平良　繁和,,宮古島市上野字新里753-7,,              ,あまいの大好き！農園,飲食店営業,パーラー,第06202200113号,R04.07.05,R04.07.05,,宮古保健所,あまいの大好き！農園,0980,,,,,宮古島市上野字新里753-7,沖縄県宮古島市上野字新里７５３－７,,216092,沖縄県,宮古島市,上野新里,,2022/07/05,2022/07/05,,,,,,,,,,,,,第06202200113号,,飲食店営業, パーラー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,あまいの大好き！農園,あまいの大好き農園,,,2,,,,,
平良　繁和,,宮古島市上野字新里753-7,,              ,あまいの大好き！農園,アイスクリーム類製造業,ｱｲｽｸﾘｰﾑ類製造業,第06202200112号,R04.07.05,R04.07.05,,宮古保健所,あまいの大好き！農園,0980,,,,,宮古島市上野字新里753-7,沖縄県宮古島市上野字新里７５３－７,,216092,沖縄県,宮古島市,上野新里,,2022/07/05,2022/07/05,,,,,,,,,,,,,第06202200112号,,アイスクリーム類製造業, ｱｲｽｸﾘｰﾑ類製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,あまいの大好き！農園,あまいの大好き農園,,,2,,,,,
長嶺　道雄,,宮古島市平良字池間1173-7,,0980-75-2121  ,海美来（さとうきび生ジュース）,飲食店営業,パーラー,第06202200114号,R04.07.05,R04.07.05,,宮古保健所,海美来（さとうきび生ジュース）,0980,0980-75-2121,,,,宮古島市平良字池間1173-7,沖縄県宮古島市平良字池間１１７３－７,,216110,沖縄県,宮古島市,平良池間,,2022/07/05,2022/07/05,,,,,,,,,,,,,第06202200114号,,飲食店営業, パーラー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,海美来（さとうきび生ジュース）,海美来さとうきび生ジュス,,,1,,,,,
株式会社いちば,0980-72-1235  ,宮古島市平良上野字新里510-8,,0980-76-6439  ,株式会社いちば,そうざい製造業,そうざい製造業,第06202200121号,R04.07.07,R04.07.07,,宮古保健所,株式会社いちば,0980,0980-76-6439,,,,宮古島市平良上野字新里510-8,沖縄県宮古島市平良上野字新里５１０－８,,216083,沖縄県,宮古島市,,,2022/07/07,2022/07/07,,,株式会社いちば,,0980-72-1235  ,,,,,,,,第06202200121号,,そうざい製造業, そうざい製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社いちば,株式会社いちば,株式会社いちば,,1,,,,,
合同会社　東原住設,              ,宮古島市上野字新里84番地,,              ,東原水産,魚介類販売業,魚介類販売業,第06202200120号,R04.07.07,R04.07.07,,宮古保健所,東原水産,0980,,,,,宮古島市上野字新里84番地,沖縄県宮古島市上野字新里８４番地,,216092,沖縄県,宮古島市,上野新里,,2022/07/07,2022/07/07,,,合同会社　東原住設,,-undefined-    ,,,,,,,,第06202200120号,,魚介類販売業, 魚介類販売業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,,,,,,,,,東原水産,東原水産,合同会社東原住設,,3,,,,,
合同会社　東原住設,              ,宮古島市上野字新里84番地,,              ,東原水産,菓子製造業,菓子製造業,第06202200119号,R04.07.07,R04.07.07,,宮古保健所,東原水産,0980,,,,,宮古島市上野字新里84番地,沖縄県宮古島市上野字新里８４番地,,216092,沖縄県,宮古島市,上野新里,,2022/07/07,2022/07/07,,,合同会社　東原住設,,-undefined-    ,,,,,,,,第06202200119号,,菓子製造業, 菓子製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,東原水産,東原水産,合同会社東原住設,,3,,,,,
合同会社　東原住設,              ,宮古島市上野字新里84番地,,              ,東原水産,そうざい製造業,そうざい製造業,第06202200118号,R04.07.07,R04.07.07,,宮古保健所,東原水産,0980,,,,,宮古島市上野字新里84番地,沖縄県宮古島市上野字新里８４番地,,216092,沖縄県,宮古島市,上野新里,,2022/07/07,2022/07/07,,,合同会社　東原住設,,-undefined-    ,,,,,,,,第06202200118号,,そうざい製造業, そうざい製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,東原水産,東原水産,合同会社東原住設,,3,,,,,
介護保険事業所合同会社いこい,0980-75-2300  ,宮古島市平良字前里236番地,,0980-75-2300  ,いこい,飲食店営業,仕出し屋,第06202200126号,R04.07.13,H28.07.12,,宮古保健所,いこい,0980,0980-75-2300,,,,宮古島市平良字前里236番地,沖縄県宮古島市平良字前里２３６番地,,216123,沖縄県,宮古島市,平良前里,,2016/07/12,2022/07/13,,,介護保険事業所合同会社いこい,,0980-75-2300  ,,,,,,,,第06202200126号,,飲食店営業, 仕出し屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,いこい,いこい,介護保険事業所合同会社いこい,,1,,,,,
松吉　秀樹,,宮古島市平良字東仲宗根添1166-597,,              ,パーラー　レッドドラゴン,飲食店営業,パーラー,第06202200125号,R04.07.13,H28.07.07,,宮古保健所,パーラー　レッドドラゴン,0980,,,,,宮古島市平良字東仲宗根添1166-597,沖縄県宮古島市平良字東仲宗根添１１６６－５９７,,216122,沖縄県,宮古島市,平良東仲宗根添,,2016/07/07,2022/07/13,,,,,,,,,,,,,第06202200125号,,飲食店営業, パーラー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,パーラー　レッドドラゴン,パラレッドドラゴン,,,1,,,,,
三浦　平,,宮古島市平良字下里510-6,,              ,マラサダドーナツ　SUSHIMARO,菓子製造業,菓子製造業,第06202200123号,R04.07.13,R04.07.13,,宮古保健所,マラサダドーナツ　SUSHIMARO,0980,,,,,宮古島市平良字下里510-6,沖縄県宮古島市平良字下里５１０－６,,216116,沖縄県,宮古島市,平良下里,,2022/07/13,2022/07/13,,,,,,,,,,,,,第06202200123号,,菓子製造業, 菓子製造業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,マラサダドーナツ　ＳＵＳＨＩＭＡＲＯ,マラサダドナツＳＵＳＨＩＭＡＲＯ,,,1,,,,,
（同）伊良部島観光ガイドゆうむつ,              ,宮古島市伊良部字池間添47番地,,              ,AZUMAYA,飲食店営業,パーラー,第06202200124号,R04.07.13,R04.07.13,,宮古保健所,AZUMAYA,0980,,,,,宮古島市伊良部字池間添47番地,沖縄県宮古島市伊良部字池間添４７番地,,216084,沖縄県,宮古島市,伊良部池間添,,2022/07/13,2022/07/13,,,（同）伊良部島観光ガイドゆうむつ,,-undefined-    ,,,,,,,,第06202200124号,,飲食店営業, パーラー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＺＵＭＡＹＡ,ＡＺＵＭＡＹＡ,合同会社伊良部島観光ガイドゆうむつ,,1,,,,,
株式会社　RISE,0422-24-8945  ,宮古島市平良字久貝654-6,,0980-79-0300  ,Bocca burger,飲食店営業,レストラン,第06202200122号,R04.07.13,R04.07.13,,宮古保健所,Bocca burger,0980,0980-79-0300,,,,宮古島市平良字久貝654-6,沖縄県宮古島市平良字久貝６５４－６,,216114,沖縄県,宮古島市,平良久貝,,2022/07/13,2022/07/13,,,株式会社　RISE,,0422-24-8945  ,,,,,,,,第06202200122号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｂｏｃｃａ　ｂｕｒｇｅｒ,Ｂｏｃｃａｂｕｒｇｅｒ,株式会社ＲＩＳＥ,,1,,,,,
株式会社 Three BOND,0980-79-5335  ,宮古島市平良字下里601,,0980-79-6633  ,ツマンデ呑めるみやこパーラー ハイサイ！,飲食店営業,居酒屋,第06202200129号,R04.07.20,R04.07.20,,宮古保健所,ツマンデ呑めるみやこパーラー ハイサイ！,0980,0980-79-6633,,,,宮古島市平良字下里601,沖縄県宮古島市平良字下里６０１,,216116,沖縄県,宮古島市,平良下里,,2022/07/20,2022/07/20,,,株式会社 Three BOND,,0980-79-5335  ,,,,,,,,第06202200129号,,飲食店営業, 居酒屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ツマンデ呑めるみやこパーラー　ハイサイ！,ツマンデ呑めるみやこパラハイサイ,株式会社Ｔｈｒｅｅ　ＢＯＮＤ,,1,,,,,
株式会社ブランニュープランニング,092-791-8996  ,宮古島市伊良部佐和田前原1725-11,,0980-79-6608  ,Island dining SLOW（Watermark Hotel ＆ Resorts 沖縄宮古島　内）,飲食店営業,レストラン,第06202200127号,R04.07.20,R04.07.20,,宮古保健所,Island dining SLOW（Watermark Hotel ＆ Resorts 沖縄宮古島　内）,0980,0980-79-6608,,,,宮古島市伊良部佐和田前原1725-11,沖縄県宮古島市伊良部佐和田前原１７２５－１１,,216087,沖縄県,宮古島市,伊良部佐和田,,2022/07/20,2022/07/20,,,株式会社ブランニュープランニング,,092-791-8996  ,,,,,,,,第06202200127号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｉｓｌａｎｄ　ｄｉｎｉｎｇ　ＳＬＯＷ（Ｗａｔｅｒｍａｒｋ　Ｈｏｔｅｌ　＆　Ｒｅｓｏｒｔｓ　沖縄宮古島　内）,ＩｓｌａｎｄｄｉｎｉｎｇＳＬＯＷＷａｔｅｒｍａｒｋＨｏｔｅｌＲｅｓｏｒｔｓ沖縄宮古島内,株式会社ブランニュープランニング,,1,,,,,
田中　恵,,宮古島市伊良部字仲地96-2,,              ,"1LAB Hello, VACAY!",飲食店営業,レストラン,第06202200128号,R04.07.20,R04.07.20,,宮古保健所,"1LAB Hello, VACAY!",0980,,,,,宮古島市伊良部字仲地96-2,沖縄県宮古島市伊良部字仲地９６－２,,216088,沖縄県,宮古島市,伊良部仲地,,2022/07/20,2022/07/20,,,,,,,,,,,,,第06202200128号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,１ＬＡＢ　Ｈｅｌｌｏ，　ＶＡＣＡＹ！,１ＬＡＢＨｅｌｌｏＶＡＣＡＹ,,,1,,,,,
株式会社えにし,073-433-9318  ,宮古島市平良字西里1003-1,,              ,nana's green tea 宮古島店,飲食店営業,レストラン,第06202200131号,R04.07.22,R04.07.22,,宮古保健所,nana's green tea 宮古島店,0980,,,,,宮古島市平良字西里1003-1,沖縄県宮古島市平良字西里１００３－１,,216118,沖縄県,宮古島市,平良西里,,2022/07/22,2022/07/22,,,株式会社えにし,,073-433-9318  ,,,,,,,,第06202200131号,,飲食店営業, レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｎａｎａ＇ｓ　ｇｒｅｅｎ　ｔｅａ　宮古島店,ｎａｎａｓｇｒｅｅｎｔｅａ宮古島店,株式会社えにし,,1,,,,,
比嘉　智二,,宮古島市平良字東仲宗根添3140-57,（高野漁協内）,              ,Cafe Green Caviar,飲食店営業,食堂,第06202200132号,R04.07.22,R04.07.22,,宮古保健所,Cafe Green Caviar,0980,,,,,宮古島市平良字東仲宗根添3140-57,沖縄県宮古島市平良字東仲宗根添３１４０－５７,（高野漁協内）,216122,沖縄県,宮古島市,平良東仲宗根添,,2022/07/22,2022/07/22,,,,,,,,,,,,,第06202200132号,,飲食店営業, 食堂,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃａｆｅ　Ｇｒｅｅｎ　Ｃａｖｉａｒ,ＣａｆｅＧｒｅｅｎＣａｖｉａｒ,,,1,,,,,
山城　公平,,宮古島市平良西里57-48,K&Gシーサイドテラス（フードコートＢ）,              ,寿司　まんさい,飲食店営業,寿司屋,第06202200130号,R04.07.22,R04.07.22,,宮古保健所,寿司　まんさい,0980,,,,,宮古島市平良西里57-48,沖縄県宮古島市平良西里５７－４８,K&Gシーサイドテラス（フードコートＢ）,216118,沖縄県,宮古島市,平良西里,,2022/07/22,2022/07/22,,,,,,,,,,,,,第06202200130号,,飲食店営業, 寿司屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,寿司　まんさい,寿司まんさい,,,1,,,,,
木村　洋,,宮古島市平良字西里992-1,,0980-75-5911  ,めっちゃうま　たこ源,飲食店営業,食堂,第06202200133号,R04.07.26,H22.07.30,,宮古保健所,めっちゃうま　たこ源,0980,0980-75-5911,,,,宮古島市平良字西里992-1,沖縄県宮古島市平良字西里９９２－１,,216118,沖縄県,宮古島市,平良西里,,2010/07/30,2022/07/26,,,,,,,,,,,,,第06202200133号,,飲食店営業, 食堂,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,めっちゃうま　たこ源,めっちゃうまたこ源,,,1,,,,,
下地　武雄,,宮古島市平良字下里1314,共和マンション　102,0980-79-5385  ,Coffee Shop,飲食店営業,簡易な営業,第06202200135号,R04.07.26,R04.07.26,,宮古保健所,Coffee Shop,0980,0980-79-5385,,,,宮古島市平良字下里1314,沖縄県宮古島市平良字下里１３１４,共和マンション　102,216116,沖縄県,宮古島市,平良下里,,2022/07/26,2022/07/26,,,,,,,,,,,,,第06202200135号,,飲食店営業, 簡易な営業,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｃｏｆｆｅｅ　Ｓｈｏｐ,ＣｏｆｆｅｅＳｈｏｐ,,,1,,,,,
イオン琉球株式会社,098-889-5464  ,宮古島市平良松原631,,0980-73-7711  ,マックスバリュ宮古南店,飲食店営業,寿司屋,第06202200134号,R04.07.26,R04.07.26,,宮古保健所,マックスバリュ宮古南店,0980,0980-73-7711,,,,宮古島市平良松原631,沖縄県宮古島市平良松原６３１,,216124,沖縄県,宮古島市,平良松原,,2022/07/26,2022/07/26,,,イオン琉球株式会社,,098-889-5464  ,,,,,,,,第06202200134号,,飲食店営業, 寿司屋,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,マックスバリュ宮古南店,マックスバリュ宮古南店,イオン琉球株式会社,,1,,,,,
木村 優志,,宮古島市平良字下里398－2,,              ,Spice & Fresh,飲食店営業,食堂,第06202200138号,R04.07.27,R04.07.27,,宮古保健所,Spice & Fresh,0980,,,,,宮古島市平良字下里398－2,沖縄県宮古島市平良字下里３９８－２,,216116,沖縄県,宮古島市,平良下里,,2022/07/27,2022/07/27,,,,,,,,,,,,,第06202200138号,,飲食店営業, 食堂,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｓｐｉｃｅ　＆　Ｆｒｅｓｈ,ＳｐｉｃｅＦｒｅｓｈ,,,1,,,,,
株式会社 Ｐｌｕｓ－Ｔ,0980-79-5555  ,宮古島市平良字下里567-1,きららビル２Ｆ,              ,ＰＬＡＮＥＴ,飲食店営業,バー,第06202200137号,R04.07.27,R04.07.27,,宮古保健所,ＰＬＡＮＥＴ,0980,,,,,宮古島市平良字下里567-1,沖縄県宮古島市平良字下里５６７－１,きららビル２Ｆ,216116,沖縄県,宮古島市,平良下里,,2022/07/27,2022/07/27,,,株式会社 Ｐｌｕｓ－Ｔ,,0980-79-5555  ,,,,,,,,第06202200137号,,飲食店営業, バー,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＬＡＮＥＴ,ＰＬＡＮＥＴ,株式会社Ｐｌｕｓ－Ｔ,,1,,,,,
渡真利　朗男,,宮古島市平良字久貝1047-44,,,あきちゃんの店,飲食店営業,一般食堂・レストラン,第06202200136号,R04.07.27,R04.07.27,,宮古保健所,あきちゃんの店,0980,,,,,宮古島市平良字久貝1047-44,沖縄県宮古島市平良字久貝１０４７－４４,,216114,沖縄県,宮古島市,平良久貝,,2022/07/27,2022/07/27,,,,,,,,,,,,,第06202200136号,,飲食店営業, 一般食堂・レストラン,,,467_沖縄県_宮古保健所_食品衛生(許可)_2022年06月-2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,あきちゃんの店,あきちゃんの店,,,1,,,,,
