https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,n処理終了,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
確認番号,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,申請者1,開業年月日,,申請者2,,申請-住所1,申請-マンション名,申請-電話番号1,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可番号,営業所名称(屋号),,営業所所在地,,,営業所電話番号,開設者(申請者)氏名,"初回許可
年月日","申請者
役職名","申請者
代表者名",,申請者住所,,申請者電話番号,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
第503650010180号,そわか亭,福岡県,田川郡添田町中元寺２３４８,田川郡添田町中元寺２３４８,,0947-82-0238  ,藤本　ひとみ,R03.12.27,,,,,,,,403,そわか亭,0947,0947-82-0238,,,,福岡県　田川郡添田町中元寺２３４８,福岡県田川郡添田町中元寺２３４８,,204469,40,40602,中元寺,,2021/12/27,,,,,藤本　ひとみ ,,,,,,,,,第503650010180号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,そわか亭0947-82-023820446940602,f3dbafcb-0f39-47c5-b946-c5e76a2edf8d,,personal,d6f8e370-b2f3-4e33-b001-b882e2a2b9f6,2021/11/01,そわか亭,そわか亭,
第503659000992号,介護付有料老人ホームマイハート,福岡県,田川郡大任町今任原３２４０,田川郡大任町今任原３２４０,,0947-63-2216  ,ハート合資会社,R03.12.01,代表社員,具嶋　信一,代表社員　具嶋　信一,田川市奈良２００３－８,,0947-44-3897  ,,403,介護付有料老人ホームマイハート,0947,0947-63-2216,,,,福岡県　田川郡大任町今任原３２４０,福岡県田川郡大任町今任原３２４０,,204451,40,40608,今任原,,2021/12/01,,,,ハート合資会社,代表社員　具嶋　信一,0947-44-3897  ,田川市奈良２００３－８,福岡県田川市奈良２００３－８,,201592,福岡県,田川市,奈良,第503659000992号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,介護付有料老人ホムマイハト0947-63-221620445140608,d83a1536-6af5-4520-98e1-1fa7ac32cb9b,ハート合資会社201592,8027205a-07a5-45f7-8d1e-9fbb7cae8f39,c0770083-505b-4e34-8fff-0f53179fb150,2021/11/01,介護付有料老人ホームマイハート,介護付有料老人ホムマイハト,ハート合資会社
第503659000995号,青果マルショウ,福岡県,田川郡糸田町上糸田２２７６,田川郡糸田町上糸田２２７６,,0947-26-1577  ,藤岡　正明,R03.12.01,,,,,,,,403,青果マルショウ,0947,0947-26-1577,,,,福岡県　田川郡糸田町上糸田２２７６,福岡県田川郡糸田町上糸田２２７６,,701279,40,40604,上糸田,,2021/12/01,,,,,藤岡　正明 ,,,,,,,,,第503659000995号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,青果マルショウ0947-26-157770127940604,8ffd4129-404b-48da-a240-38804474bf63,,personal,f2b15412-c75c-40a1-be21-fe98b311ca6e,2021/11/01,青果マルショウ,青果マルショウ,
第503659000996号,ケアタウンあいあい田川,福岡県,田川市糒２０８５－１０,田川市糒２０８５－１０,,0947-44-3848  ,株式会社SKY,R03.12.03,代表取締役,佐々木　一成,代表取締役　佐々木　一成,田川市糒２０８５－１０,,0947-44-3848  ,,403,ケアタウンあいあい田川,0947,0947-44-3848,,,,福岡県　田川市糒２０８５－１０,福岡県田川市糒２０８５－１０,,201597,40,40206,糒,,2021/12/03,,,,株式会社SKY,代表取締役　佐々木　一成,0947-44-3848  ,田川市糒２０８５－１０,福岡県田川市糒２０８５－１０,,201597,福岡県,田川市,糒,第503659000996号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ケアタウンあいあい田川0947-44-384820159740206,3aa8a0ee-2e13-44a5-867c-9563ffd3b162,株式会社ＳＫＹ201597,c6708858-2676-4207-b3d9-4487613e9e87,6a72c3a0-9ad3-4476-8873-4b1812002d56,2021/11/01,ケアタウンあいあい田川,ケアタウンあいあい田川,株式会社ＳＫＹ
第503659000998号,ジョブサポートみろく,福岡県,田川郡福智町弁城２６４１－６,田川郡福智町弁城２６４１－６,,0947-22-3221    ,社会福祉法人豊徳会,R03.12.01,,月森　隆史,,田川郡福智町弁城２６４１－６,,0947-22-3221 ,,403,ジョブサポートみろく,0947,0947-22-3221,,,,福岡県　田川郡福智町弁城２６４１－６,福岡県田川郡福智町弁城２６４１－６,,204481,40,40610,弁城,,2021/12/01,,,,社会福祉法人豊徳会,月森　隆史,0947-22-3221 ,田川郡福智町弁城２６４１－６,福岡県田川郡福智町弁城２６４１－６,,204481,福岡県,田川郡福智町,弁城,第503659000998号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ジョブサポトみろく0947-22-322120448140610,4df56b5d-f1b2-48b2-9460-e35cf66d26a1,社会福祉法人豊徳会204481,b9438232-a983-40da-8879-49f6c8fafba8,6fb26c9e-0b6d-41ff-b15e-9e03e79c4076,2021/11/01,ジョブサポートみろく,ジョブサポトみろく,社会福祉法人豊徳会
第503659000997号,川口太商店,福岡県,田川市夏吉１３５９－１,田川市夏吉１３５９－１,,0947-45-8582  ,川口　太,R03.12.02,,,,,,,,403,川口太商店,0947,0947-45-8582,,,,福岡県　田川市夏吉１３５９－１,福岡県田川市夏吉１３５９－１,,201591,40,40206,夏吉,,2021/12/02,,,,,川口　太 ,,,,,,,,,第503659000997号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,川口太商店0947-45-858220159140206,1f9e6033-2a0c-4870-b681-f227972d3734,,personal,b85c4d8c-dbe0-4d30-979c-91bb7f150e7f,2021/11/01,川口太商店,川口太商店,
第503659000999号,DAYS　COFFEE,福岡県,田川郡糸田町１０６９－１,田川郡糸田町１０６９－１,,,岩田　宗人,R03.12.02,,,,,,,,403,DAYS　COFFEE,0947,,,,,福岡県　田川郡糸田町１０６９－１,福岡県田川郡糸田町１０６９－１,,204449,40,40604,,,2021/12/02,,,,,岩田　宗人 ,,,,,,,,,第503659000999号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ＤＡＹＳＣＯＦＦＥＥ20444940604,520f0c5e-ef60-4ce8-b92e-1c49311047c3,,personal,81cd47c5-956f-4df9-8719-c584b0b9e6d2,2021/11/01,ＤＡＹＳ　ＣＯＦＦＥＥ,ＤＡＹＳＣＯＦＦＥＥ,
第503659001000号,特別養護老人ホーム　ことぶき園,福岡県,田川市伊田４３１－１,田川市伊田４３１－１,,0947-45-4141  ,社会福祉法人　田川福祉会,R03.12.07,理事長,笹山　良孝,理事長　笹山　良孝,田川市伊田４３１－１,,0947-45-4141  ,,403,特別養護老人ホーム　ことぶき園,0947,0947-45-4141,,,,福岡県　田川市伊田４３１－１,福岡県田川市伊田４３１－１,,201575,40,40206,伊田,,2021/12/07,,,,社会福祉法人　田川福祉会,理事長　笹山　良孝,0947-45-4141  ,田川市伊田４３１－１,福岡県田川市伊田４３１－１,,201575,福岡県,田川市,伊田,第503659001000号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,特別養護老人ホムことぶき園0947-45-414120157540206,c4048080-c775-4d29-ac31-83527646db37,社会福祉法人田川福祉会201575,be88aae6-c976-406b-be2e-e6cd90daf83b,005558be-6f7f-4705-8897-bb38813bd7aa,2021/11/01,特別養護老人ホーム　ことぶき園,特別養護老人ホムことぶき園,社会福祉法人田川福祉会
第503659001002号,つくしの里,福岡県,田川市川宮１５２４－１０,田川市川宮１５２４－１０,,              ,社会福祉法人つくしの里福祉会,R03.12.07,,中村　博則,,田川市川宮１５２４－１０,,0947-44-5615  ,,403,つくしの里,0947,,,,,福岡県　田川市川宮１５２４－１０,福岡県田川市川宮１５２４－１０,,201582,40,40206,川宮,,2021/12/07,,,,社会福祉法人つくしの里福祉会,中村　博則,0947-44-5615  ,田川市川宮１５２４－１０,福岡県田川市川宮１５２４－１０,,201582,福岡県,田川市,川宮,第503659001002号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,つくしの里20158240206,5dc6eec0-4bd3-4260-bebc-de89d16af2c2,社会福祉法人つくしの里福祉会201582,aa1133d4-bfdd-4519-a801-b9f7322ec446,b0ef0c36-4736-4bba-8ec6-543dd3e9129f,2021/11/01,つくしの里,つくしの里,社会福祉法人つくしの里福祉会
第503659001003号,第２つくしの里,福岡県,田川市川宮１５２４－１０,田川市川宮１５２４－１０,,              ,社会福祉法人つくしの里福祉会,R03.12.07,,中村　博則,,田川市川宮１５２４－１０,,0947-44-5615  ,,403,第２つくしの里,0947,,,,,福岡県　田川市川宮１５２４－１０,福岡県田川市川宮１５２４－１０,,201582,40,40206,川宮,,2021/12/07,,,,社会福祉法人つくしの里福祉会,中村　博則,0947-44-5615  ,田川市川宮１５２４－１０,福岡県田川市川宮１５２４－１０,,201582,福岡県,田川市,川宮,第503659001003号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,第２つくしの里20158240206,531d6cd0-19c3-426d-acdb-56ed3d50c364,社会福祉法人つくしの里福祉会201582,aa1133d4-bfdd-4519-a801-b9f7322ec446,24d41c80-461f-44b7-b28e-20d17f2e32ca,2021/11/01,第２つくしの里,第２つくしの里,社会福祉法人つくしの里福祉会
第503659001004号,松田達雄,福岡県,田川郡川崎町川崎１７４２,田川郡川崎町川崎１７４２,,0947-72-4052  ,松田　達雄,R03.12.10,,,,,,,,403,松田達雄,0947,0947-72-4052,,,,福岡県　田川郡川崎町川崎１７４２,福岡県田川郡川崎町川崎１７４２,,204456,40,40605,川崎,,2021/12/10,,,,,松田　達雄 ,,,,,,,,,第503659001004号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,松田達雄0947-72-405220445640605,d2c5de0b-a3c0-48a7-aac2-ba55c58ea8a3,,personal,ca5efad2-9829-4a6c-9c29-722ada96e5a1,2021/11/01,松田達雄,松田達雄,
第503659001005号,社会福祉法人天馬福祉会天馬保育園,福岡県,田川郡糸田町１６９１,田川郡糸田町１６９１,,0947-26-2002  ,社会福祉法人天馬福祉会,R03.12.10,代表理事,井手元　ナツヱ,代表理事　井手元　ナツヱ,田川郡糸田町１７０４,,0947-26-2288  ,,403,社会福祉法人天馬福祉会天馬保育園,0947,0947-26-2002,,,,福岡県　田川郡糸田町１６９１,福岡県田川郡糸田町１６９１,,204449,40,40604,,,2021/12/10,,,,社会福祉法人天馬福祉会,代表理事　井手元　ナツヱ,0947-26-2288  ,田川郡糸田町１７０４,福岡県田川郡糸田町１７０４,,204449,福岡県,田川郡糸田町,,第503659001005号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,社会福祉法人天馬福祉会天馬保育園0947-26-200220444940604,b295ff50-6d0c-40cb-aa61-1b7326078a74,社会福祉法人天馬福祉会204449,856546ea-3a66-4720-a0d2-43020bebd2a4,b3aa0b15-b124-4a47-b7e8-15aa901945a2,2021/11/01,社会福祉法人天馬福祉会天馬保育園,社会福祉法人天馬福祉会天馬保育園,社会福祉法人天馬福祉会
第503659001006号,社会福祉法人　青葉会　宝保育園,福岡県,田川市伊田２６６５－３,田川市伊田２６６５－３,,0947-44-1022  ,社会福祉法人　青葉会,R03.12.15,理事長,西村　宮子,理事長　西村　宮子,田川市伊田２６６５－３,,0947-44-2820  ,,403,社会福祉法人　青葉会　宝保育園,0947,0947-44-1022,,,,福岡県　田川市伊田２６６５－３,福岡県田川市伊田２６６５－３,,201575,40,40206,伊田,,2021/12/15,,,,社会福祉法人　青葉会,理事長　西村　宮子,0947-44-2820  ,田川市伊田２６６５－３,福岡県田川市伊田２６６５－３,,201575,福岡県,田川市,伊田,第503659001006号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,社会福祉法人青葉会宝保育園0947-44-102220157540206,344d5cd5-0914-4ba9-aa97-5cf018c32260,社会福祉法人青葉会201575,01099120-376a-4e82-94bd-02962883742d,719845b2-0533-44bf-9b5a-02e20bbbeb98,2021/11/01,社会福祉法人青葉会　宝保育園,社会福祉法人青葉会宝保育園,社会福祉法人青葉会
第503659001007号,株式会社　はま寿司　田川店,福岡県,田川市川宮７１０－１,田川市川宮７１０－１,,0947-49-2677  ,株式会社　はま寿司,R03.12.15,代表取締役社長,遠藤　哲郎,代表取締役社長　遠藤　哲郎,港区港南２丁目１８－１,,03-6833-8032  ,,403,株式会社　はま寿司　田川店,0947,0947-49-2677,,,,福岡県　田川市川宮７１０－１,福岡県田川市川宮７１０－１,,201582,40,40206,川宮,,2021/12/15,,,,株式会社　はま寿司,代表取締役社長　遠藤　哲郎,03-6833-8032  ,港区港南２丁目１８－１,東京都港区港南２丁目１８－１,,73073,東京都,港区,港南２,第503659001007号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,株式会社はま寿司田川店0947-49-267720158240206,c0eaa9f0-a249-4bd2-b9a1-63809c7e2a91,株式会社はま寿司73073,b9a81742-d9d4-4dc0-87d9-23c9eaee36ca,be49b14b-d4e8-4c8b-88ac-5bbbc115e9ab,2021/11/01,株式会社はま寿司　田川店,株式会社はま寿司田川店,株式会社はま寿司
第503659001008号,ユニットケア慶寿園,福岡県,田川郡福智町上野３１７５－３,田川郡福智町上野３１７５－３,,0947-28-5689    ,社会福祉法人慶寿会,R03.12.15,,立花　美佳,,,,,,403,ユニットケア慶寿園,0947,0947-28-5689,,,,福岡県　田川郡福智町上野３１７５－３,福岡県田川郡福智町上野３１７５－３,,204476,40,40610,上野,,2021/12/15,,,,社会福祉法人慶寿会,立花　美佳,,,,,,,,,第503659001008号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,ユニットケア慶寿園0947-28-568920447640610,732d070a-b6b8-4a1b-8521-ca53ac2b070d,社会福祉法人慶寿会,3dc1ad09-6a71-4479-b05f-2d6729ccb659,f3dd7969-7280-48f8-b032-fa7a72583116,2021/11/01,ユニットケア慶寿園,ユニットケア慶寿園,社会福祉法人慶寿会
第503659001009号,源じいの森,福岡県,田川郡赤村赤５２５１－３,田川郡赤村赤５２５１－３,,0947-62-2851  ,有限会社犀川四季犀館,R03.12.16,,井上　幸春,,,,,,403,源じいの森,0947,0947-62-2851,,,,福岡県　田川郡赤村赤５２５１－３,福岡県田川郡赤村赤５２５１－３,,204447,40,40609,赤,,2021/12/16,,,,有限会社犀川四季犀館,井上　幸春,,,,,,,,,第503659001009号,,,,,,403_福岡県_田川保健福祉事務所_食品衛生(許可-届出)_2021年11月-2021年12月_末日_新規,,,,,源じいの森0947-62-285120444740609,83f1da9f-e0b5-447c-b44b-6352b6513fb9,有限会社犀川四季犀館,e3734040-d5a7-4fd8-8329-37d39af5a831,25952444-4d7b-4470-aa3a-d18bc0a740b5,2021/11/01,源じいの森,源じいの森,有限会社犀川四季犀館
