https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,n処理終了,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,施設名,施設-住所1,施設-住所0,施設-住所2,施設-マンション名,施設-電話番号1,業種,業態,確認番号,開業年月日,許可年月日,許可期間開始日,許可期間終了日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
株式会社　One&Only,近藤友里栄,北九州市小倉南区志井１２５９番地３,北九州市小倉南区志井１２５９番地３,,アンカー１８８９,福岡県,北九州市門司区東港町６－７２港ハウス１Ｆ,北九州市門司区東港町６－７２,港ハウス１Ｆ,093-322-5512,① 飲食店営業,,2021-20902,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,アンカー１８８９,093,093-322-5512,,,,福岡県　北九州市門司区東港町６－７２,福岡県北九州市門司区東港町６－７２,港ハウス１Ｆ,198344,40,40101,東港町,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社　One&Only,近藤友里栄,,北九州市小倉南区志井１２５９番地３,福岡県北九州市小倉南区志井１２５９番地３,,198921,福岡県,北九州市小倉南区,志井１,2021-20902,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,アンカ１８８９093-322-551219834440101,f1cad744-c8f9-4811-a7eb-dbaf66baec4c,株式会社Ｏｎｅ＆Ｏｎｌｙ198921,806dc3e8-c9dc-4d8a-b11b-3118bb449bc1,a67721c0-9860-4640-8aa6-159fff34780d,2021/11/30,アンカー１８８９,アンカ１８８９,株式会社Ｏｎｅ＆Ｏｎｌｙ
株式会社　One&Only,近藤友里栄,北九州市小倉南区志井１２５９番地３,北九州市小倉南区志井１２５９番地３,,門司港レトロ食堂,福岡県,北九州市門司区港町４－１海峡プラザ東館２Ｆ,北九州市門司区港町４－１,海峡プラザ東館２Ｆ,093-322-5512,① 飲食店営業,,2021-20903,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,門司港レトロ食堂,093,093-322-5512,,,,福岡県　北九州市門司区港町４－１,福岡県北九州市門司区港町４－１,海峡プラザ東館２Ｆ,198371,40,40101,港町,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社　One&Only,近藤友里栄,,北九州市小倉南区志井１２５９番地３,福岡県北九州市小倉南区志井１２５９番地３,,198921,福岡県,北九州市小倉南区,志井１,2021-20903,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,門司港レトロ食堂093-322-551219837140101,38346628-409d-4249-a211-083155c5807b,株式会社Ｏｎｅ＆Ｏｎｌｙ198921,806dc3e8-c9dc-4d8a-b11b-3118bb449bc1,eb70d438-479f-4f29-b2e0-c00ba27d9bc7,2021/11/30,門司港レトロ食堂,門司港レトロ食堂,株式会社Ｏｎｅ＆Ｏｎｌｙ
株式会社タンガテーブル,嶋田洋平,北九州市小倉北区魚町３丁目３番２０号,北九州市小倉北区魚町３丁目３番２０号,,Hostel＆Dining TangaTable,福岡県,北九州市小倉北区馬借一丁目５‐２５ホラヤビル４F,北九州市小倉北区馬借１丁目５－２５,ホラヤビル４F,093-967-6284,⑪ 菓子製造業,,2021-20845,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,Hostel＆Dining TangaTable,093,093-967-6284,,,,福岡県　北九州市小倉北区馬借１丁目５－２５,福岡県北九州市小倉北区馬借１丁目５－２５,ホラヤビル４F,198834,40,40106,馬借１,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,株式会社タンガテーブル,嶋田洋平,,北九州市小倉北区魚町３丁目３番２０号,福岡県北九州市小倉北区魚町３丁目３番２０号,,198682,福岡県,北九州市小倉北区,魚町３,2021-20845,,菓子製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,ＨｏｓｔｅｌＤｉｎｉｎｇＴａｎｇａＴａｂｌｅ093-967-628419883440106,20f4ffef-64dc-43d2-ba21-64ba16ba9f9a,株式会社タンガテーブル198682,122b7d43-32f3-4395-96fd-affd79f588af,b478739a-dfc3-4483-aceb-47d3fc24ba50,2021/11/24,Ｈｏｓｔｅｌ＆Ｄｉｎｉｎｇ　ＴａｎｇａＴａｂｌｅ,ＨｏｓｔｅｌＤｉｎｉｎｇＴａｎｇａＴａｂｌｅ,株式会社タンガテーブル
柿田麻由美,,,,,月組,福岡県,北九州市八幡西区黒崎一丁目１３－１７,北九州市八幡西区黒崎１丁目１３－１７,,,① 飲食店営業,,2021-60227,2021/11/29,2021/11/29,2021/11/29,2027/11/30,,390,月組,093,,,,,福岡県　北九州市八幡西区黒崎１丁目１３－１７,福岡県北九州市八幡西区黒崎１丁目１３－１７,,199429,40,40109,黒崎１,,2021/11/29,2021/11/29,2021/11/29,2027/11/30,,柿田麻由美 ,,,,,,,,,2021-60227,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,月組19942940109,712ff204-6ea3-4596-8774-f8ee84517f7e,,personal,5765c932-ad95-4b2f-94cd-c041852ee55f,2021/11/29,月組,月組,
株式会社ぶんコーポレーション,中野文治,福岡市博多区博多駅東２－５－３７,福岡市博多区博多駅東２－５－３７,,和ダイニング佳楽イオン戸畑店,福岡県,北九州市戸畑区汐井町２－２イオン戸畑SC１階,北九州市戸畑区汐井町２－２,イオン戸畑SC１階,093-883-3398,① 飲食店営業,和食レストラン,2021-70054,2021/11/1,2021/11/1,2021/11/1,2027/10/31,,390,和ダイニング佳楽イオン戸畑店,093,093-883-3398,,,,福岡県　北九州市戸畑区汐井町２－２,福岡県北九州市戸畑区汐井町２－２,イオン戸畑SC１階,198583,40,40105,汐井町,,2021/11/01,2021/11/01,2021/11/01,2027/10/31,株式会社ぶんコーポレーション,中野文治,,福岡市博多区博多駅東２－５－３７,福岡県福岡市博多区博多駅東２－５－３７,,200144,福岡県,福岡市博多区,博多駅東２,2021-70054,,飲食店営業, 和食レストラン,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,和ダイニング佳楽イオン戸畑店093-883-339819858340105,0a4a0436-fbdc-4bfa-a699-ab780499452c,株式会社ぶんコーポレーション200144,4c956449-1813-4c0e-8959-1365faf28e7f,0e529d8c-86ca-4ab5-bd28-30e2db7f5812,2021/11/01,和ダイニング佳楽イオン戸畑店,和ダイニング佳楽イオン戸畑店,株式会社ぶんコーポレーション
日清医療食品株式会社,菅井正一,千代田区丸の内２丁目７番３号,千代田区丸の内２丁目７番３号,,小倉第一病院,福岡県,北九州市小倉北区下到津一丁目１２－１４,北九州市小倉北区下到津１丁目１２－１４,,093-582-7730,① 飲食店営業,,2021-20799,2021/11/12,2021/11/12,2021/11/12,2028/11/30,,390,小倉第一病院,093,093-582-7730,,,,福岡県　北九州市小倉北区下到津１丁目１２－１４,福岡県北九州市小倉北区下到津１丁目１２－１４,,198774,40,40106,下到津１,,2021/11/12,2021/11/12,2021/11/12,2028/11/30,日清医療食品株式会社,菅井正一,,千代田区丸の内２丁目７番３号,東京都千代田区丸ノ内２丁目７番３号,,72931,東京都,千代田区,丸の内２,2021-20799,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,小倉第一病院093-582-773019877440106,fb060680-d5f8-42a1-9ec0-e3c1ee968f52,日清医療食品株式会社72931,caed14bb-a0f4-4953-b6b1-63211d3b8f27,3f098189-3e52-49eb-80a6-8d4ff1c96404,2021/11/12,小倉第一病院,小倉第一病院,日清医療食品株式会社
株式会社ＲＥＤ　ＦＲＥＥＤＯＭ,水田陽光,筑紫野市筑紫野市五丁目１０‐１‐１０２,筑紫野市筑紫野市５丁目１０－１,１０２,リコピン研究所小倉魚町店,福岡県,北九州市小倉北区魚町二丁目４‐２０　１Ｆ,北九州市小倉北区魚町２丁目４－２０,１Ｆ,,㉔ 麺類製造業,,2021-20643,2021/11/5,2021/11/5,2021/11/5,2027/10/31,,390,リコピン研究所小倉魚町店,093,,,,,福岡県　北九州市小倉北区魚町２丁目４－２０,福岡県北九州市小倉北区魚町２丁目４－２０,１Ｆ,198681,40,40106,魚町２,,2021/11/05,2021/11/05,2021/11/05,2027/10/31,株式会社ＲＥＤ　ＦＲＥＥＤＯＭ,水田陽光,,筑紫野市筑紫野市５丁目１０－１,福岡県筑紫野市筑紫野市５丁目１０－１,１０２,202202,福岡県,筑紫野市,筑紫,2021-20643,,麺類製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,リコピン研究所小倉魚町店19868140106,ba99c677-4006-4b0e-a089-bacf50163611,株式会社ＲＥＤ　ＦＲＥＥＤＯＭ202202,3049bfa6-3dab-482d-a16a-90ac9b156089,41c4357a-31bc-4383-8a1a-0238665ac87f,2021/11/05,リコピン研究所小倉魚町店,リコピン研究所小倉魚町店,株式会社ＲＥＤ　ＦＲＥＥＤＯＭ
東洋食品株式会社,黒田要一郎,北九州市門司区黄金町６－２８,北九州市門司区黄金町６－２８,,花咲,福岡県,北九州市若松区本町三丁目１１－１,北九州市若松区本町３丁目１１－１,,,㉕ そうざい製造業,,2021-60413,2021/11/9,2021/11/9,2021/11/9,2027/11/30,,390,花咲,093,,,,,福岡県　北九州市若松区本町３丁目１１－１,福岡県北九州市若松区本町３丁目１１－１,,198488,40,40103,本町３,,2021/11/09,2021/11/09,2021/11/09,2027/11/30,東洋食品株式会社,黒田要一郎,,北九州市門司区黄金町６－２８,福岡県北九州市門司区黄金町６－２８,,198257,福岡県,北九州市門司区,黄金町,2021-60413,,そうざい製造業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,E,9,,,花咲19848840103,1977e3b8-90c1-4505-a4b0-68ec97f52937,東洋食品株式会社198257,e0e0a7c2-0afa-4459-9526-ecd3fc592139,bc29bdfc-86f9-46a5-aaff-a4fea16eaddd,2021/11/09,花咲,花咲,東洋食品株式会社
昭和食品株式会社,黒田裕一,北九州市門司区黄金町６－２８,北九州市門司区黄金町６－２８,,味菜,福岡県,北九州市小倉南区城野三丁目８‐２６　マックスバリュエクスプレス城野店内,北九州市小倉南区城野３丁目８－２６,マックスバリュエクスプレス城野店内,093-951-5622,① 飲食店営業,,2021-20884,2021/11/29,2021/11/29,2022/1/1,2027/12/31,,390,味菜,093,093-951-5622,,,,福岡県　北九州市小倉南区城野３丁目８－２６,福岡県北九州市小倉南区城野３丁目８－２６,マックスバリュエクスプレス城野店内,198939,40,40107,城野３,,2021/11/29,2021/11/29,2022/01/01,2027/12/31,昭和食品株式会社,黒田裕一,,北九州市門司区黄金町６－２８,福岡県北九州市門司区黄金町６－２８,,198257,福岡県,北九州市門司区,黄金町,2021-20884,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,味菜093-951-562219893940107,0fb83734-46ef-44bc-a387-f5efae2caef0,昭和食品株式会社198257,59d3c8ae-8ddf-4fe1-a8f5-402cd890d53b,3232adac-7e18-4868-bdf0-f9952face6b4,2021/11/29,味菜,味菜,昭和食品株式会社
株式会社　トータル・メディカルサービス,大野繁樹,糟屋郡新宮町緑ケ浜四丁目１７番２２号,糟屋郡新宮町緑ケ浜４丁目１７番２２号,,新小文字病院,福岡県,北九州市門司区大里新町２－５,北九州市門司区大里新町２－５,,,① 飲食店営業,病院給食（委託）,2021-20867,2021/11/26,2021/11/26,2022/1/1,2028/12/31,,390,新小文字病院,093,,,,,福岡県　北九州市門司区大里新町２－５,福岡県北九州市門司区大里新町２－５,,198299,40,40101,大里新町,,2021/11/26,2021/11/26,2022/01/01,2028/12/31,株式会社　トータル・メディカルサービス,大野繁樹,,糟屋郡新宮町緑ケ浜４丁目１７番２２号,福岡県糟屋郡新宮町緑が浜４丁目１７番２２号,,204054,福岡県,糟屋郡新宮町,緑が浜４,2021-20867,,飲食店営業, 病院給食（委託）,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,新小文字病院19829940101,4c5d9fa1-836f-4415-93a7-21073ac28f72,株式会社トータル・メディカルサービス204054,255c14c4-9038-4c69-8f6d-617ed0db4ee5,d2e843ed-7083-4992-939f-d130ded1c165,2021/11/26,新小文字病院,新小文字病院,株式会社トータル・メディカルサービス
有限会社多加喜,多加喜　一,北九州市若松区棚田町８－２０,北九州市若松区棚田町８－２０,,　,福岡県,北九州市若松区棚田町８－２０,北九州市若松区棚田町８－２０,,,① 飲食店営業,仕込調理場,2021-60272,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,　,093,,,,,福岡県　北九州市若松区棚田町８－２０,福岡県北九州市若松区棚田町８－２０,,198441,40,40103,棚田町,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,有限会社多加喜,多加喜　一,,北九州市若松区棚田町８－２０,福岡県北九州市若松区棚田町８－２０,,198441,福岡県,北九州市若松区,棚田町,2021-60272,,飲食店営業, 仕込調理場,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,19844140103,801431fa-43c2-4761-9c84-822b97380955,有限会社多加喜198441,d4bfc83b-0a9e-4996-89e2-56f44ec720d1,16fefc93-fc04-40d1-ae0c-14d8e042252e,2021/11/24,　,,有限会社多加喜
有限会社多加喜,多加喜　一,北九州市若松区棚田町８－２０,北九州市若松区棚田町８－２０,,有限会社多加喜　Ｐｌｕｓｊｏｙ,福岡県,北九州市若松区棚田町８－２０,北九州市若松区棚田町８－２０,,,① 飲食店営業,,2021-60405,2021/11/1,2021/11/1,2021/11/1,2026/10/31,,390,有限会社多加喜　Ｐｌｕｓｊｏｙ,093,,,,,福岡県　北九州市若松区棚田町８－２０,福岡県北九州市若松区棚田町８－２０,,198441,40,40103,棚田町,,2021/11/01,2021/11/01,2021/11/01,2026/10/31,有限会社多加喜,多加喜　一,,北九州市若松区棚田町８－２０,福岡県北九州市若松区棚田町８－２０,,198441,福岡県,北九州市若松区,棚田町,2021-60405,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,有限会社多加喜Ｐｌｕｓｊｏｙ19844140103,8500eabb-68ef-48c9-8f3c-ab671f420494,有限会社多加喜198441,d4bfc83b-0a9e-4996-89e2-56f44ec720d1,e45e36c8-4d9c-4272-b504-88449a49616a,2021/11/01,有限会社多加喜　Ｐｌｕｓｊｏｙ,有限会社多加喜Ｐｌｕｓｊｏｙ,有限会社多加喜
古海　涼子,,,,,　,福岡県,北九州市若松区棚田町８－２０,北九州市若松区棚田町８－２０,,,① 飲食店営業,仕込み場,2021-60271,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,390,　,093,,,,,福岡県　北九州市若松区棚田町８－２０,福岡県北九州市若松区棚田町８－２０,,198441,40,40103,棚田町,,2021/11/24,2021/11/24,2021/11/24,2027/11/30,,古海　涼子 ,,,,,,,,,2021-60271,,飲食店営業, 仕込み場,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,19844140103,801431fa-43c2-4761-9c84-822b97380955,,personal,c20ae1a4-2d12-49d2-aed6-779c5552f4f3,2021/11/24,　,,
森山利忠,,,,,珈琲工房　森山,福岡県,北九州市小倉北区緑ケ丘一丁目８－３５,北九州市小倉北区緑ケ丘１丁目８－３５,,093-591-5751,① 飲食店営業,,2021-20837,2021/11/16,2021/11/16,2021/12/1,2027/11/30,,390,珈琲工房　森山,093,093-591-5751,,,,福岡県　北九州市小倉北区緑ケ丘１丁目８－３５,福岡県北九州市小倉北区緑が丘１丁目８－３５,,198851,40,40106,緑が丘１,,2021/11/16,2021/11/16,2021/12/01,2027/11/30,,森山利忠 ,,,,,,,,,2021-20837,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,珈琲工房森山093-591-575119885140106,19ecef5f-9e28-462f-a4b8-663b03f12ab7,,personal,a9a6097a-8e5f-4d02-9fc6-6d3b36a2171a,2021/11/16,珈琲工房　森山,珈琲工房森山,
株式会社五合,岩下 輝,北九州市八幡西区陣原一丁目２－７,北九州市八幡西区陣原１丁目２－７,,もつ鍋　丸幸,福岡県,北九州市八幡西区鷹の巣一丁目１８－１８,北九州市八幡西区鷹の巣１丁目１８－１８,,093-642-1037,① 飲食店営業,居酒屋,2021-60460,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,もつ鍋　丸幸,093,093-642-1037,,,,福岡県　北九州市八幡西区鷹の巣１丁目１８－１８,福岡県北九州市八幡西区鷹ノ巣１丁目１８－１８,,199478,40,40109,鷹の巣１,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社五合,岩下 輝,,北九州市八幡西区陣原１丁目２－７,福岡県北九州市八幡西区陣原１丁目２－７,,199464,福岡県,北九州市八幡西区,陣原１,2021-60460,,飲食店営業, 居酒屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,もつ鍋丸幸093-642-103719947840109,532761e4-729c-4546-b1c3-103e64bdf154,株式会社五合199464,2f74a309-1310-4b46-85c8-becf25970662,093e9b51-c580-4f90-950a-939da1885156,2021/11/30,もつ鍋　丸幸,もつ鍋丸幸,株式会社五合
株式会社五合,岩下 輝,北九州市八幡西区陣原一丁目２－７,北九州市八幡西区陣原１丁目２－７,,うどん満月　陣原駅前店,福岡県,北九州市八幡西区陣原一丁目２－７,北九州市八幡西区陣原１丁目２－７,,616-6664,① 飲食店営業,うどん店,2021-60459,2021/11/30,2021/11/30,2021/12/1,2027/11/30,,390,うどん満月　陣原駅前店,093,093-616-6664,,,,福岡県　北九州市八幡西区陣原１丁目２－７,福岡県北九州市八幡西区陣原１丁目２－７,,199464,40,40109,陣原１,,2021/11/30,2021/11/30,2021/12/01,2027/11/30,株式会社五合,岩下 輝,,北九州市八幡西区陣原１丁目２－７,福岡県北九州市八幡西区陣原１丁目２－７,,199464,福岡県,北九州市八幡西区,陣原１,2021-60459,,飲食店営業, うどん店,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,うどん満月陣原駅前店093-616-666419946440109,3df1d9b5-7555-4344-974c-9af3b8a000b4,株式会社五合199464,2f74a309-1310-4b46-85c8-becf25970662,a8be4a71-231c-412b-8ace-e2573d7f5866,2021/11/30,うどん満月　陣原駅前店,うどん満月陣原駅前店,株式会社五合
株式会社溝口産業,西野哲也,遠賀郡水巻町頃末南１丁目２８－１,遠賀郡水巻町頃末南１丁目２８－１,,モスバーガー下曽根駅前店,福岡県,北九州市小倉南区田原新町三丁目１１－３,北九州市小倉南区田原新町３丁目１１－３,,,① 飲食店営業,,2021-20842,2021/11/25,2021/11/25,2021/12/1,2028/11/30,,390,モスバーガー下曽根駅前店,093,,,,,福岡県　北九州市小倉南区田原新町３丁目１１－３,福岡県北九州市小倉南区田原新町３丁目１１－３,,199096,40,40107,田原新町３,,2021/11/25,2021/11/25,2021/12/01,2028/11/30,株式会社溝口産業,西野哲也,,遠賀郡水巻町頃末南１丁目２８－１,福岡県遠賀郡水巻町頃末南１丁目２８－１,,204293,福岡県,遠賀郡水巻町,頃末南１,2021-20842,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,モスバガ下曽根駅前店19909640107,6c068be8-57f6-4911-857c-f859ad43ce75,株式会社溝口産業204293,a01607df-a7a1-4be1-abc6-19183eb9125c,d0ff20db-90c2-48e2-8176-fc5182cb1916,2021/11/25,モスバーガー下曽根駅前店,モスバガ下曽根駅前店,株式会社溝口産業
谷口敦洋,,,,,VISTA,福岡県,北九州市小倉北区鍛冶町一丁目６－１７第一ビル３F,北九州市小倉北区鍛冶町１丁目６－１７,第一ビル３F,,① 飲食店営業,,2021-20768,2021/11/1,2021/11/1,2021/11/1,2027/10/31,,390,VISTA,093,,,,,福岡県　北九州市小倉北区鍛冶町１丁目６－１７,福岡県北九州市小倉北区鍛冶町１丁目６－１７,第一ビル３F,198693,40,40106,鍛冶町１,,2021/11/01,2021/11/01,2021/11/01,2027/10/31,,谷口敦洋 ,,,,,,,,,2021-20768,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＶＩＳＴＡ19869340106,3f089589-7f8f-47c6-a6eb-0034961028e3,,personal,b27398b6-7cbb-4aed-ae55-eafebf41f99d,2021/11/01,ＶＩＳＴＡ,ＶＩＳＴＡ,
株式会社秀コーポレーション,宮崎　秀,北九州市八幡西区黒崎一丁目６－１３ー４Ｆ,北九州市八幡西区黒崎１丁目６－１３,４Ｆ,黒崎カレー,福岡県,北九州市八幡西区藤田三丁目３－１　下川ビル１F,北九州市八幡西区藤田３丁目３－１,下川ビル１F,,① 飲食店営業,カレー屋,2021-60324,2021/11/19,2021/11/19,2021/11/19,2027/11/30,,390,黒崎カレー,093,,,,,福岡県　北九州市八幡西区藤田３丁目３－１,福岡県北九州市八幡西区藤田３丁目３－１,下川ビル１F,199553,40,40109,藤田３,,2021/11/19,2021/11/19,2021/11/19,2027/11/30,株式会社秀コーポレーション,宮崎　秀,,北九州市八幡西区黒崎１丁目６－１３,福岡県北九州市八幡西区黒崎１丁目６－１３,４Ｆ,199429,福岡県,北九州市八幡西区,黒崎１,2021-60324,,飲食店営業, カレー屋,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,黒崎カレ19955340109,d6270280-293a-4448-a149-b25de66195bb,株式会社秀コーポレーション199429,7421596b-9056-40bb-ae2b-1e63489bc0a6,69c45ae1-213c-4616-9029-81172b241003,2021/11/19,黒崎カレー,黒崎カレ,株式会社秀コーポレーション
宮城順子,,,,,Jicca,福岡県,北九州市小倉南区葉山町２－２－２３佐藤ビル１０１,北九州市小倉南区葉山町２－２－２３,佐藤ビル１０１,093-967-2213,① 飲食店営業,飲食店,2021-30086,2021/11/29,2021/11/29,2021/12/2,2027/12/31,,390,Jicca,093,093-967-2213,,,,福岡県　北九州市小倉南区葉山町２－２－２３,福岡県北九州市小倉南区葉山町２－２－２３,佐藤ビル１０１,198977,40,40107,葉山町２,,2021/11/29,2021/11/29,2021/12/02,2027/12/31,,宮城順子 ,,,,,,,,,2021-30086,,飲食店営業, 飲食店,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,Ｊｉｃｃａ093-967-221319897740107,36da9c73-b270-4b47-abbf-7dca884f6315,,personal,855cd126-2109-4659-b154-06fceda9157f,2021/11/29,Ｊｉｃｃａ,Ｊｉｃｃａ,
髙橋大地,,,,,Bon Bon,福岡県,北九州市小倉北区堺町一丁目５番１５号中道ビル2階　２０１号室,北九州市小倉北区堺町１丁目５番１５号,中道ビル２階 ２０１号室,,① 飲食店営業,,2021-20624,2021/11/16,2021/11/16,2021/11/16,2027/11/30,,390,Bon Bon,093,,,,,福岡県　北九州市小倉北区堺町１丁目５番１５号,福岡県北九州市小倉北区堺町１丁目５番１５号,中道ビル２階 ２０１号室,198760,40,40106,堺町１,,2021/11/16,2021/11/16,2021/11/16,2027/11/30,,髙橋大地 ,,,,,,,,,2021-20624,,飲食店営業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,ＢｏｎＢｏｎ19876040106,3160ddfc-792a-4d9b-87d4-ef827b647b8a,,personal,072e1c24-21e7-4263-b7cd-2614faa12194,2021/11/16,Ｂｏｎ　Ｂｏｎ,ＢｏｎＢｏｎ,
株式会社加納フーズ,加納　幸徳,松原市南新町四丁目７４－４,松原市南新町４丁目７４－４,,業務スーパー　千代店　加納フーズ,福岡県,北九州市八幡西区千代三丁目１-2,北九州市八幡西区千代３丁目１－２,,,③ 食肉販売業,,2021-60340,2021/11/9,2021/11/9,2021/11/9,2028/11/30,,390,業務スーパー　千代店　加納フーズ,093,,,,,福岡県　北九州市八幡西区千代３丁目１－２,福岡県北九州市八幡西区千代３丁目１－２,,199717,40,40109,千代３,,2021/11/09,2021/11/09,2021/11/09,2028/11/30,株式会社加納フーズ,加納　幸徳,,松原市南新町４丁目７４－４,大阪府松原市南新町４丁目７４－４,,160651,大阪府,松原市,南新町４,2021-60340,,食肉販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,583,,業務スパ千代店加納フズ19971740109,273c82b9-2825-4452-ab45-a66ee3accae9,株式会社加納フーズ160651,8ee1e7d8-495e-4237-9554-24745fc02991,80c540a1-a635-4fbf-9bce-774ddb5c3574,2021/11/09,業務スーパー　千代店　加納フーズ,業務スパ千代店加納フズ,株式会社加納フーズ
中西正治,,,,,なかにし養鶏場,福岡県,北九州市若松区小竹２１６３－１,北九州市若松区小竹２１６３－１,,093-701-2803,⑨ 食肉処理業,,2021-40080,2021/11/1,2021/11/1,2021/11/1,2027/10/31,,390,なかにし養鶏場,093,093-701-2803,,,,福岡県　北九州市若松区小竹２１６３－１,福岡県北九州市若松区小竹２１６３－１,,198415,40,40103,小竹,,2021/11/01,2021/11/01,2021/11/01,2027/10/31,,中西正治 ,,,,,,,,,2021-40080,,食肉処理業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,A,1,,,なかにし養鶏場093-701-280319841540103,547e9001-38bf-4716-b456-fc3afee3d36c,,personal,a3a5601d-0c7a-46c6-8162-603a306ca880,2021/11/01,なかにし養鶏場,なかにし養鶏場,
佐野涼介,,,,,金のどんぶり　魚町店,福岡県,北九州市小倉北区魚町一丁目４－１７,北九州市小倉北区魚町１丁目４－１７,,,① 飲食店営業,一般食堂,2021-20812,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,390,金のどんぶり　魚町店,093,,,,,福岡県　北九州市小倉北区魚町１丁目４－１７,福岡県北九州市小倉北区魚町１丁目４－１７,,198680,40,40106,魚町１,,2021/11/12,2021/11/12,2021/11/12,2027/11/30,,佐野涼介 ,,,,,,,,,2021-20812,,飲食店営業, 一般食堂,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,M,76,,,金のどんぶり魚町店19868040106,79e223c3-ba85-46fb-a8c5-5d1d86b8ac7f,,personal,a26f73e1-09db-4abb-b9d2-6df608f18211,2021/11/12,金のどんぶり　魚町店,金のどんぶり魚町店,
野原民枝,,,,,かね正,福岡県,北九州市八幡東区昭和一丁目１－９,北九州市八幡東区昭和１丁目１－９,,093-651-0059,④ 魚介類販売業,,2021-50056,2021/11/1,2021/11/1,2021/11/1,2026/10/31,,390,かね正,093,093-651-0059,,,,福岡県　北九州市八幡東区昭和１丁目１－９,福岡県北九州市八幡東区昭和１丁目１－９,,199281,40,40108,昭和１,,2021/11/01,2021/11/01,2021/11/01,2026/10/31,,野原民枝 ,,,,,,,,,2021-50056,,魚介類販売業,,,,390_福岡県_北九州市保健所_食品衛生()_2021年11月_末日（仮設除く）,I,58,,,かね正093-651-005919928140108,1677488d-44b3-42aa-bec8-d4c97e13c746,,personal,9e40d798-eda4-4454-8a0b-e182ef0c1611,2021/11/01,かね正,かね正,
