https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,施設-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可,菓子製造業,Le Calme,江別市新栄台45-12 ｼﾃｨﾊｲﾑ新栄台101,江別市新栄台４５－１２,ｼﾃｨﾊｲﾑ新栄台１０１,011-385-7799,保坂みゆき,,,,,,2021/12/17,2021/12/17,464-50,,5,Le Calme,011,011-385-7799,,,,江別市新栄台４５－１２,北海道江別市新栄台４５－１２,ｼﾃｨﾊｲﾑ新栄台１０１,13583,1,1217,新栄台,,2021/12/17,2021/12/17,2021/12/17,,,保坂みゆき ,,,,,,,,,464-50,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,ＬｅＣａｌｍｅ011-385-7799135831217,de9ea9a7-be52-4f72-9a53-b354a0e07ca4,,personal,a69119b9-1931-4576-aa61-2cec1e35c3e1,2021/12/17,Ｌｅ　Ｃａｌｍｅ,ＬｅＣａｌｍｅ,
許可,飲食店営業,ｲｵﾝ江別店催事ｺｰﾅｰ,江別市幸町35 ｲｵﾝ江別店1F,江別市幸町３５,ｲｵﾝ江別店１F,011-384-7100,ｲｵﾝ北海道株式会社,青栁英樹,札幌市白石区本通21丁目南1-10,札幌市白石区本通２１丁目南１－１０,,011-865-4120,2021/12/16,2021/12/16,464-49,,5,ｲｵﾝ江別店催事ｺｰﾅｰ,011,011-384-7100,,,,江別市幸町３５,北海道江別市幸町３５,ｲｵﾝ江別店１F,13481,1,1217,幸町,,2021/12/16,2021/12/16,2021/12/16,,ｲｵﾝ北海道株式会社,青栁英樹,011-865-4120,札幌市白石区本通２１丁目南１－１０,北海道札幌市白石区本通２１南１－１０,,3605,北海道,札幌市白石区,本通２１南,464-49,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,イオン江別店催事コナ011-384-7100134811217,526a8261-866b-4b15-afeb-da9681a07b9b,イオン北海道株式会社3605,634e7900-c19d-41b4-8aef-0a218e53e2c0,2f6553c6-5789-4318-8f70-eb7abb7913bd,2021/12/16,イオン江別店催事コーナー,イオン江別店催事コナ,イオン北海道株式会社
許可,飲食店営業,ﾋﾟｻﾞｰﾗ･ﾋﾞﾊﾞﾊﾟｴﾘｱ野幌店,江別市野幌代々木町77-1北海ﾊｲﾂ1F,江別市野幌代々木町７７－１北海ﾊｲﾂ１F,,011-383-6700,株式会社ﾌｫｰｼｰｽﾞ,浅野幸子,東京都港区南青山5丁目12-4 全菓連ﾋﾞﾙ7F,東京都港区南青山５丁目１２－４,全菓連ﾋﾞﾙ７F,03-3409-6002,2021/12/16,2021/12/16,464-47,,5,ﾋﾟｻﾞｰﾗ･ﾋﾞﾊﾞﾊﾟｴﾘｱ野幌店,011,011-383-6700,,,,江別市野幌代々木町７７－１北海ﾊｲﾂ１F,北海道江別市野幌代々木町７７－１北海ﾊｲツ１F,,13547,1,1217,野幌代々木町,,2021/12/16,2021/12/16,2021/12/16,,株式会社ﾌｫｰｼｰｽﾞ,浅野幸子,03-3409-6002,東京都港区南青山５丁目１２－４,東京都港区南青山５丁目１２－４,全菓連ﾋﾞﾙ７F,73141,東京都,港区,南青山５,464-47,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ピザラビバパエリア野幌店011-383-6700135471217,e79019ff-8a97-4b12-8be9-323c8af819b7,株式会社フォーシーズ73141,ac558313-5d47-4c2e-801d-64c2fb4ef151,bb33e711-5690-43a3-b28d-106e986fcb3c,2021/12/16,ピザーラ・ビバパエリア野幌店,ピザラビバパエリア野幌店,株式会社フォーシーズ
許可,飲食店営業,ほっともっと江別白樺通り店,江別市野幌若葉町94-8,江別市野幌若葉町９４－８,,011-381-1315,和賀茂子,,,,,,2021/12/16,2021/12/16,464-47,,5,ほっともっと江別白樺通り店,011,011-381-1315,,,,江別市野幌若葉町９４－８,北海道江別市野幌若葉町９４－８,,13491,1,1217,野幌若葉町,,2021/12/16,2021/12/16,2021/12/16,,,和賀茂子 ,,,,,,,,,464-47,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ほっともっと江別白樺通り店011-381-1315134911217,ce02e707-00ac-4ac4-ae5a-fab891bf9022,,personal,b475c035-79ff-4d27-94d6-515a0130ab66,2021/12/16,ほっともっと江別白樺通り店,ほっともっと江別白樺通り店,
許可,飲食店営業,ﾏｸﾄﾞﾅﾙﾄﾞｲｵﾝ江別店,江別市幸町35 ｲｵﾝ江別店1F,江別市幸町３５,ｲｵﾝ江別店１F,  ,株式会社ｽｺﾚｰ,片岡正敏,札幌市中央区北2条西24丁目1-28,札幌市中央区北２条西２４丁目１－２８,,011-631-0144,2021/12/16,2021/12/16,464-49,,5,ﾏｸﾄﾞﾅﾙﾄﾞｲｵﾝ江別店,011,,,,,江別市幸町３５,北海道江別市幸町３５,ｲｵﾝ江別店１F,13481,1,1217,幸町,,2021/12/16,2021/12/16,2021/12/16,,株式会社ｽｺﾚｰ,片岡正敏,011-631-0144,札幌市中央区北２条西２４丁目１－２８,北海道札幌市中央区北二条西２４丁目１－２８,,0120,北海道,札幌市中央区,北二条西２４,464-49,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,マクドナルドイオン江別店134811217,82fb406d-edbd-431e-94c7-92ce592d5eb4,株式会社スコレー120,00e0ccc0-08fa-4789-8e9f-afa3df6bdcd2,86b3ffbe-e93d-4c61-a64d-07952b542723,2021/12/16,マクドナルドイオン江別店,マクドナルドイオン江別店,株式会社スコレー
許可,飲食店営業,ｲｵﾝ江別店 惣菜,江別市幸町35 ｲｵﾝ江別店1F,江別市幸町３５,ｲｵﾝ江別店１F,011-384-3100,ｲｵﾝ北海道株式会社,青栁英樹,札幌市白石区本通21丁目南1-10,札幌市白石区本通２１丁目南１－１０,,011-865-4120,2021/12/16,2021/12/16,464-49,,5,ｲｵﾝ江別店 惣菜,011,011-384-3100,,,,江別市幸町３５,北海道江別市幸町３５,ｲｵﾝ江別店１F,13481,1,1217,幸町,,2021/12/16,2021/12/16,2021/12/16,,ｲｵﾝ北海道株式会社,青栁英樹,011-865-4120,札幌市白石区本通２１丁目南１－１０,北海道札幌市白石区本通２１南１－１０,,3605,北海道,札幌市白石区,本通２１南,464-49,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,イオン江別店惣菜011-384-3100134811217,6c24d34f-7f77-4a94-8e46-f81aef5de531,イオン北海道株式会社3605,634e7900-c19d-41b4-8aef-0a218e53e2c0,21d32876-9aa3-4a1a-a561-a8ac4908f3e8,2021/12/16,イオン江別店　惣菜,イオン江別店惣菜,イオン北海道株式会社
許可,飲食店営業,天然温泉やすらぎの湯　北のたまゆら江別,江別市野幌屯田町48-1,江別市野幌屯田町４８－１,,011-381-2683,株式会社ｸﾘｰﾝﾘﾊﾞｰ,古川浩二,札幌市西区西野1条1丁目10-2,札幌市西区西野１条１丁目１０－２,,011-663-8088,2021/12/16,2021/12/16,464-47,,5,天然温泉やすらぎの湯　北のたまゆら江別,011,011-381-2683,,,,江別市野幌屯田町４８－１,北海道江別市野幌屯田町４８－１,,13568,1,1217,野幌屯田町,,2021/12/16,2021/12/16,2021/12/16,,株式会社ｸﾘｰﾝﾘﾊﾞｰ,古川浩二,011-663-8088,札幌市西区西野１条１丁目１０－２,北海道札幌市西区西野一条１丁目１０－２,,5248,北海道,札幌市西区,西野,464-47,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,天然温泉やすらぎの湯北のたまゆら江別011-381-2683135681217,deae5d43-03f2-4731-bf31-fd90134ef15b,株式会社クリーンリバー5248,5cf87277-2c43-4416-965e-a5f25bb0f49c,228d502c-7f3f-4c15-9ca4-d09831f3a9b9,2021/12/16,天然温泉やすらぎの湯　北のたまゆら江別,天然温泉やすらぎの湯北のたまゆら江別,株式会社クリーンリバー
許可,飲食店営業,花酔処柿のや,江別市錦町33-19,江別市錦町３３－１９,,,柿崎正見,,,,,,2021/12/16,2021/12/16,464-48,,5,花酔処柿のや,011,,,,,江別市錦町３３－１９,北海道江別市錦町３３－１９,,13488,1,1217,錦町,,2021/12/16,2021/12/16,2021/12/16,,,柿崎正見 ,,,,,,,,,464-48,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,花酔処柿のや134881217,11bf0904-185a-4ba5-93e0-9e70f807b06d,,personal,dd903471-d0be-428c-8ca4-8efd03224663,2021/12/16,花酔処柿のや,花酔処柿のや,
許可,飲食店営業,ｲｵﾝ江別店食堂,江別市幸町35ｲｵﾝ江別店2F,江別市幸町３５ｲｵﾝ江別店２F,,,ｲｵﾝ北海道株式会社,青栁英樹,札幌市白石区本通21丁目南1-10,札幌市白石区本通２１丁目南１－１０,,011-865-4120,2021/12/16,2021/12/16,464-49,,5,ｲｵﾝ江別店食堂,011,,,,,江別市幸町３５ｲｵﾝ江別店２F,北海道江別市幸町３５ｲｵﾝ江別店２F,,13481,1,1217,幸町,,2021/12/16,2021/12/16,2021/12/16,,ｲｵﾝ北海道株式会社,青栁英樹,011-865-4120,札幌市白石区本通２１丁目南１－１０,北海道札幌市白石区本通２１南１－１０,,3605,北海道,札幌市白石区,本通２１南,464-49,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,イオン江別店食堂134811217,d0049fe8-d622-4899-bcfc-98a5cc0b5bd1,イオン北海道株式会社3605,634e7900-c19d-41b4-8aef-0a218e53e2c0,c026815d-2e67-4b02-be53-6952a8bb3c45,2021/12/16,イオン江別店食堂,イオン江別店食堂,イオン北海道株式会社
許可,菓子製造業,ﾎﾞｽﾄﾝﾍﾞｲｸ江別店,江別市高砂町14,江別市高砂町１４,,011-389-4466,株式会社ﾎﾞｽﾄﾝ,髙橋徹,札幌市手稲区新発寒6条1丁目4-26,札幌市手稲区新発寒６条１丁目４－２６,,011-661-8789,2021/12/16,2021/12/16,464-47,,5,ﾎﾞｽﾄﾝﾍﾞｲｸ江別店,011,011-389-4466,,,,江別市高砂町１４,北海道江別市高砂町１４,,13483,1,1217,高砂町,,2021/12/16,2021/12/16,2021/12/16,,株式会社ﾎﾞｽﾄﾝ,髙橋徹,011-661-8789,札幌市手稲区新発寒６条１丁目４－２６,北海道札幌市手稲区新発寒六条１丁目４－２６,,5485,北海道,札幌市手稲区,新発寒六条１,464-47,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,ボストンベイク江別店011-389-4466134831217,a9271bdf-be70-44b3-be5e-143865bde40c,株式会社ボストン5485,9fd72bd9-4457-488e-b7f9-b6005acc066d,f7967cbb-d989-45cd-8e9f-57e37e89f5ce,2021/12/16,ボストンベイク江別店,ボストンベイク江別店,株式会社ボストン
許可,菓子製造業,就労継続支援事業所りんご広場,江別市東野幌本町4-16 鉄南ﾌﾟﾗｻﾞ,江別市東野幌本町４－１６,鉄南ﾌﾟﾗｻﾞ,011-391-9222,特定非営利活動法人江別あすか福祉会,松井秀子,江別市錦町3-5 江別市ふれあいﾜｰｸｾﾝﾀｰ2F,江別市錦町３－５,江別市ふれあいﾜｰｸｾﾝﾀｰ２F,011-382-0660,2021/12/16,2021/12/16,464-47,,5,就労継続支援事業所りんご広場,011,011-391-9222,,,,江別市東野幌本町４－１６,北海道江別市東野幌本町４－１６,鉄南ﾌﾟﾗｻﾞ,13494,1,1217,東野幌本町,,2021/12/16,2021/12/16,2021/12/16,,特定非営利活動法人江別あすか福祉会,松井秀子,011-382-0660,江別市錦町３－５,北海道江別市錦町３－５,江別市ふれあいﾜｰｸｾﾝﾀｰ２F,13488,北海道,江別市,錦町,464-47,,菓子製造業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,E,9,,,就労継続支援事業所りんご広場011-391-9222134941217,6eca976f-8b4e-4c04-b120-d04e38292330,特定非営利活動法人江別あすか福祉会13488,128c81b3-9026-4978-a2a0-0eafd6c0ed96,84c27b29-5e8f-46a7-a7c3-b20f33c0b7d0,2021/12/16,就労継続支援事業所りんご広場,就労継続支援事業所りんご広場,特定非営利活動法人江別あすか福祉会
許可,飲食店営業,株式会社中小屋温泉,石狩郡当別町字中小屋489,石狩郡当別町字中小屋４８９,,0133-27-2011,株式会社中小屋温泉,大江和代,石狩郡当別町字中小屋489,石狩郡当別町字中小屋４８９,,0133-27-2011,2021/12/14,2021/12/14,27-58,,5,株式会社中小屋温泉,0133,0133-27-2011,,,,石狩郡当別町字中小屋４８９,北海道石狩郡当別町中小屋４８９,,701179,1,1303,中小屋,,2021/12/14,2021/12/14,2021/12/14,,株式会社中小屋温泉,大江和代,0133-27-2011,石狩郡当別町字中小屋４８９,北海道石狩郡当別町字中小屋４８９,,701179,北海道,石狩郡当別町,中小屋,27-58,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,株式会社中小屋温泉0133-27-20117011791303,3a61c5ae-c55e-41f5-930b-e8464e612e24,株式会社中小屋温泉701179,7ff7b033-835d-4544-b637-547e15c45093,39ba7dca-ce36-449f-8ab8-07ac84269d21,2021/12/14,株式会社中小屋温泉,株式会社中小屋温泉,株式会社中小屋温泉
許可,飲食店営業,西洋軒,石狩郡当別町園生711-35,石狩郡当別町園生７１１－３５,,,矢田部眞実,,,,,,2021/12/14,2021/12/14,27-58,,5,西洋軒,0133,,,,,石狩郡当別町園生７１１－３５,北海道石狩郡当別町園生７１１－３５,,17191,1,1303,園生,,2021/12/14,2021/12/14,2021/12/14,,,矢田部眞実 ,,,,,,,,,27-58,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,西洋軒171911303,ab1a5874-aef3-40b1-a23a-853728cb6c8e,,personal,4e85574c-53a5-43ea-a7cd-966b6aaa5fe2,2021/12/14,西洋軒,西洋軒,
許可,飲食店営業,高陣,石狩郡当別町錦町294-4,石狩郡当別町錦町２９４－４,,,西川正章,,,,,,2021/12/14,2021/12/14,27-58,,5,高陣,0133,,,,,石狩郡当別町錦町２９４－４,北海道石狩郡当別町錦町２９４－４,,17192,1,1303,錦町,,2021/12/14,2021/12/14,2021/12/14,,,西川正章 ,,,,,,,,,27-58,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,高陣171921303,e4a08e27-c8ff-4d38-b8d5-bc71b612e4da,,personal,502f5785-3501-4848-969c-828c02217f0d,2021/12/14,高陣,高陣,
許可,飲食店営業,ﾊﾟﾌﾞゆくを,石狩郡当別町園生55,石狩郡当別町園生５５,,0133-23-1451,伊藤征男,,,,,,2021/12/14,2021/12/14,27-58,,5,ﾊﾟﾌﾞゆくを,0133,0133-23-1451,,,,石狩郡当別町園生５５,北海道石狩郡当別町園生５５,,17191,1,1303,園生,,2021/12/14,2021/12/14,2021/12/14,,,伊藤征男 ,,,,,,,,,27-58,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,パブゆくを0133-23-1451171911303,3af63524-f9c4-4be1-97d5-5d144fa38dc6,,personal,7947e93f-f07a-4373-830d-4059a5120949,2021/12/14,パブゆくを,パブゆくを,
許可,飲食店営業,ぎん平,石狩郡当別町弥生52,石狩郡当別町弥生５２,,,堀川信清,,,,,,2021/12/14,2021/12/14,27-58,,5,ぎん平,0133,,,,,石狩郡当別町弥生５２,北海道石狩郡当別町弥生５２,,17194,1,1303,弥生,,2021/12/14,2021/12/14,2021/12/14,,,堀川信清 ,,,,,,,,,27-58,,飲食店営業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,M,76,,,ぎん平171941303,0c2dfe52-e8c2-454a-a8e7-189858207909,,personal,1ceb2707-f657-4eb6-8485-c4fc6b774a8c,2021/12/14,ぎん平,ぎん平,
許可,魚介類販売業,有限会社日本海,石狩郡当別町太美町1479-7,石狩郡当別町太美町１４７９－７,,0133-26-4004,有限会社日本海,氏家真一,石狩郡当別町弥生1091-100,石狩郡当別町弥生１０９１－１００,,0133-23-3116,2021/12/13,2021/12/13,27-57,,5,有限会社日本海,0133,0133-26-4004,,,,石狩郡当別町太美町１４７９－７,北海道石狩郡当別町太美町１４７９－７,,17181,1,1303,太美町,,2021/12/13,2021/12/13,2021/12/13,,有限会社日本海,氏家真一,0133-23-3116,石狩郡当別町弥生１０９１－１００,北海道石狩郡当別町弥生１０９１－１００,,17194,北海道,石狩郡当別町,弥生,27-57,,魚介類販売業,,許可,,005_北海道_江別保健所_食品衛生()_2021年12月_末日,I,58,,,有限会社日本海0133-26-4004171811303,12fd6ac0-ee8c-4c51-8b21-39635f0e1d48,有限会社日本海17194,12b62a08-c3b9-4a7f-b58f-b0ecb1b61055,51c90525-9c22-4592-8708-058e58f78a05,2021/12/13,有限会社日本海,有限会社日本海,有限会社日本海
