https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,n処理終了,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種,確認番号,許可年月日,許可期間開始日,許可期間終了日,施設名,施設-住所1,施設-住所2,施設-電話番号1,申請者1,申請者2,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可業種,許可番号,許可年月日,許可期間_開始,許可期間_終了,屋号名称,,営業所住所,所在地電話番号,申請者氏名,代表者氏名,,管轄保健所,名称,市外局番,電話番号,施設の郵便番号,緯度,経度,施設の住所（元住所）,施設の住所（整備）,施設マンション名,施設-住所コード,施設-都道府県,施設-郡・政令市・市区町村名,施設-大字名・字名,申請年月日,開業年月日,許可年月日,許可期間開始日,許可期間終了日,申請法人,申請者氏名(個人名),申請者（開設者）の電話番号,申請者の住所（元住所）,申請者の住所（整備）,申請マンション名,申請-住所コード,申請-都道府県,申請-郡・政令市・市区町村名,申請-大字名・字名,確認番号,申請区分,業種,業態,その他,法人番号,シート名,産業分類大,産業分類中,産業分類小,産業分類詳細,facility_idを識別するための文字列,店舗コード,company_idを識別するための文字列,法人コード,ライセンスコード,検索用日付,整備名称,整備名称2,整備申請法人
飲食店営業（仮設）,503-22320,2021/10/18,2021/10/18,2026/10/31,焼鳥ムサシ,福岡県,北九州市内一円,,山口　薫,,,,焼鳥ムサシ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/18,2021/10/18,2026/10/31,,山口　薫 ,,,,,,,,,503-22320,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,焼鳥ムサシ,28a84f3a-b829-4494-93a9-95229c4614a2,,personal,bfef272f-8abb-4b26-8df3-b239023c62c6,2021/10/18,焼鳥ムサシ,焼鳥ムサシ,
飲食店営業（仮設）,503-22343,2021/10/31,2021/10/31,2026/10/31,THE STEEL HOUSE,福岡県,北九州市内一円,,株式会社クォーターズ,中間　竜太朗,,,THE STEEL HOUSE,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/31,2021/10/31,2026/10/31,株式会社クォーターズ,中間　竜太朗,,,,,,,,,503-22343,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＴＨＥＳＴＥＥＬＨＯＵＳＥ,b2e01bec-0181-4e4e-8e95-675b0b82628f,株式会社クォーターズ,1de60766-f1d4-4d7b-900f-90f7fa08db71,62686043-dcfa-4fc8-89fd-32e634f4462b,2021/10/31,ＴＨＥ　ＳＴＥＥＬ　ＨＯＵＳＥ,ＴＨＥＳＴＥＥＬＨＯＵＳＥ,株式会社クォーターズ
飲食店営業（仮設）,503-22344,2021/10/27,2021/10/27,2026/10/31,TIMEisLIFE,福岡県,北九州市内一円,,石井紗也果,,,,TIMEisLIFE,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/27,2021/10/27,2026/10/31,,石井紗也果 ,,,,,,,,,503-22344,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＴＩＭＥｉｓＬＩＦＥ,3c6dc51e-da94-47bc-91dd-3c0d7f224153,,personal,0dc6c958-9b7c-40c7-ac77-7b00326cebc1,2021/10/27,ＴＩＭＥｉｓＬＩＦＥ,ＴＩＭＥｉｓＬＩＦＥ,
飲食店営業（仮設）,503-22350,2021/10/29,2021/11/1,2026/10/31,くりーむみっくす本舗,福岡県,北九州市内一円,,石井　隆文,,,,くりーむみっくす本舗,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,,石井　隆文 ,,,,,,,,,503-22350,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,くりむみっくす本舗,0c23f379-b0cf-4d0a-a850-4a9e79b2abf5,,personal,05049fa8-fb99-4eb3-8170-36729a6870fb,2021/10/29,くりーむみっくす本舗,くりむみっくす本舗,
飲食店営業（仮設）,503-52007,2021/9/30,2021/10/1,2026/9/30,天竜商事,福岡県,北九州市内一円,,藤村　龍一,,,,天竜商事,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/30,2021/10/01,2026/09/30,,藤村　龍一 ,,,,,,,,,503-52007,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,天竜商事,c3fc70ef-e69e-419d-a3b8-37e1dec87ba6,,personal,0c01230d-56c8-4484-972b-020b116b74f4,2021/09/30,天竜商事,天竜商事,
飲食店営業（仮設）,503-52008,2021/9/30,2021/10/1,2026/9/30,天竜商事,福岡県,北九州市内一円,,藤村　龍一,,,,天竜商事,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/30,2021/10/01,2026/09/30,,藤村　龍一 ,,,,,,,,,503-52008,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,天竜商事,c3fc70ef-e69e-419d-a3b8-37e1dec87ba6,,personal,83264bdc-6af2-4406-8cd1-b3dbf8d5a814,2021/09/30,天竜商事,天竜商事,
飲食店営業（仮設）,503-62168,2021/9/24,2021/9/24,2026/9/30,,福岡県,北九州市内一円,,株式会社キョクレイ商事,太田　素歳,,,,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/24,2021/09/24,2026/09/30,株式会社キョクレイ商事,太田　素歳,,,,,,,,,503-62168,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,,d04933fd-3f58-41db-9c5d-5e2a7131a997,株式会社キョクレイ商事,6fb421d6-fea6-4a6f-a718-2442d851ddf3,6efbc556-81b8-434b-9065-143dd353de9b,2021/09/24,,,株式会社キョクレイ商事
飲食店営業（仮設）,503-62169,2021/9/30,2021/10/1,2026/9/30,和牛亭　竹藩,福岡県,北九州市内一円,,佐竹　僚太郎,,,,和牛亭　竹藩,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/09/30,2021/10/01,2026/09/30,,佐竹　僚太郎 ,,,,,,,,,503-62169,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,和牛亭竹藩,9eba81a0-1ce9-4522-924f-b97050d2922d,,personal,f1a2881d-3cd4-402d-90a9-2d8dbec7f7bd,2021/09/30,和牛亭　竹藩,和牛亭竹藩,
飲食店営業（仮設）,503-62172,2021/10/18,2021/11/1,2026/10/31,アイプランニング,福岡県,北九州市内一円,,野口　嘉寛,,,,アイプランニング,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/18,2021/11/01,2026/10/31,,野口　嘉寛 ,,,,,,,,,503-62172,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,アイプランニング,518edfaf-5ed0-4d15-92d7-287b688519a8,,personal,6fbdd609-4d49-4a37-a450-be82f4633427,2021/10/18,アイプランニング,アイプランニング,
飲食店営業（仮設）,503-62173,2021/10/18,2021/11/1,2026/10/31,アイプランニング,福岡県,北九州市内一円,,野口　嘉寛,,,,アイプランニング,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/18,2021/11/01,2026/10/31,,野口　嘉寛 ,,,,,,,,,503-62173,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,アイプランニング,518edfaf-5ed0-4d15-92d7-287b688519a8,,personal,c630c80f-d437-4a5e-9b42-6b1c5d839c76,2021/10/18,アイプランニング,アイプランニング,
飲食店営業（仮設）,503-62189,2021/10/29,2021/11/1,2026/10/31,田舎路商事,福岡県,北九州市内一円,691-8722,森　護,,,,田舎路商事,,093-691-8722,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,,森　護 ,,,,,,,,,503-62189,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,田舎路商事093-691-8722,3ee525e1-3e71-41c3-a04f-78838ade8dac,,personal,6fac526e-89fd-4786-b17b-5ebb995c0b1e,2021/10/29,田舎路商事,田舎路商事,
飲食店営業（仮設）,503-62190,2021/10/29,2021/11/1,2026/10/31,Ｂｕｖｅｕｒ　Ｏｒｇｅ,福岡県,北九州市内一円,,吉川　雅樹,,,,Ｂｕｖｅｕｒ　Ｏｒｇｅ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,,吉川　雅樹 ,,,,,,,,,503-62190,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＢｕｖｅｕｒＯｒｇｅ,05734701-c533-42f7-89f7-1e3ee56ab75a,,personal,23f19872-1274-4d26-b9fc-eb5f994c33d7,2021/10/29,Ｂｕｖｅｕｒ　Ｏｒｇｅ,ＢｕｖｅｕｒＯｒｇｅ,
飲食店営業（仮設）,503-62192,2021/10/29,2021/11/1,2026/10/31,宇都宮ねぎにら餃子,福岡県,北九州市内一円,,株式会社麻生コーポレーション,麻生　政嗣,,,宇都宮ねぎにら餃子,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,株式会社麻生コーポレーション,麻生　政嗣,,,,,,,,,503-62192,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,宇都宮ねぎにら餃子,ea7b7d79-0baf-4b27-acee-efeb4c9efbba,株式会社麻生コーポレーション,93018256-3590-4cb1-af95-c10549c5732e,af77a421-d369-4a32-a849-d817b673f565,2021/10/29,宇都宮ねぎにら餃子,宇都宮ねぎにら餃子,株式会社麻生コーポレーション
飲食店営業（仮設）,503-62193,2021/10/29,2021/11/1,2026/10/31,ＴＥＡＭ　ＴＯＲＩＨＡＮＡ,福岡県,北九州市内一円,,田中　翔大,,,,ＴＥＡＭ　ＴＯＲＩＨＡＮＡ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,,田中　翔大 ,,,,,,,,,503-62193,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＴＥＡＭＴＯＲＩＨＡＮＡ,6a393923-3330-4c30-b4f6-bc3ce871e30f,,personal,3f8a0ca3-d8fb-49a6-a6f0-c3999eb27d92,2021/10/29,ＴＥＡＭ　ＴＯＲＩＨＡＮＡ,ＴＥＡＭＴＯＲＩＨＡＮＡ,
飲食店営業（仮設）,503-62194,2021/10/29,2021/11/1,2026/10/31,Ｂｉｇ　Ｇａｒｄｅｎ　Ｃｏｆｆｅｅ,福岡県,北九州市内一円,,大庭　壮史,,,,Ｂｉｇ　Ｇａｒｄｅｎ　Ｃｏｆｆｅｅ,,,,,,福岡県　北九州市内一円,福岡県北九州市内一円,,,40,,,,,2021/10/29,2021/11/01,2026/10/31,,大庭　壮史 ,,,,,,,,,503-62194,,飲食店営業,仮設,,,390_福岡県_北九州市保健所_食品衛生()_2021年09月-2021年10月_末日,M,76,,,ＢｉｇＧａｒｄｅｎＣｏｆｆｅｅ,522c6a44-5c46-4d84-b384-7650f45b301e,,personal,3c993e1e-a644-4c11-ae60-70b396cb4b60,2021/10/29,Ｂｉｇ　Ｇａｒｄｅｎ　Ｃｏｆｆｅｅ,ＢｉｇＧａｒｄｅｎＣｏｆｆｅｅ,
