https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2557,n処理終了,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,確認番号,申請者1,申請者2,施設-住所0,施設-住所1,施設-マンション名,施設名,施設-電話番号1,業種,業態,許可年月日,許可期間終了日,開業年月日,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91-033510,瀬生第8375,有限会社　ヒラタ商事,,横浜市瀬谷区阿久和西2-60-4,横浜市瀬谷区阿久和西２－６０－４,,セブン－イレブン横浜阿久和西店 ,3643015,コンビニエンスストア,,2021年11月5日,2117年12月31日,2021年11月5日,,141,セブン－イレブン横浜阿久和西店 ,045,045-364-3015,,,,横浜市瀬谷区阿久和西２－６０－４,神奈川県横浜市瀬谷区阿久和西２－６０－４,,79600,14,14114,阿久和西２,,2021/11/05,2021/11/05,,2117/12/31,有限会社　ヒラタ商事,,,,,,,,,,瀬生第8375,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,セブンイレブン横浜阿久和西店045-364-30157960014114,00141_807f1d5a-1147-43a0-a9bd-2dd8a85916f3,有限会社ヒラタ商事,66542d05-3f57-405c-a49e-534437344ebe,7a928733-68ac-4384-9421-15a8a0abb98a,2021/11/05,セブンイレブン横浜阿久和西店　,セブンイレブン横浜阿久和西店,有限会社ヒラタ商事
91-033511,瀬生第8376,株式会社オーイズミダイニング,,横浜市瀬谷区瀬谷4-24-1 ベレオ白鳳 1F,横浜市瀬谷区瀬谷４－２４－１,ベレオ白鳳 １F,君に惚れた　瀬谷店 ,4898886,その他の食料・飲料販売業,,2021年11月5日,2117年12月31日,2021年11月5日,,141,君に惚れた　瀬谷店 ,045,045-489-8886,,,,横浜市瀬谷区瀬谷４－２４－１,神奈川県横浜市瀬谷区瀬谷４－２４－１,ベレオ白鳳 １F,79583,14,14114,瀬谷４,,2021/11/05,2021/11/05,,2117/12/31,株式会社オーイズミダイニング,,,,,,,,,,瀬生第8376,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,君に惚れた瀬谷店045-489-88867958314114,102da65f-73b5-4341-98cd-8da11604cd7f,株式会社オーイズミダイニング,2764fb48-17e1-4d78-b65b-938131bf0840,980f26ff-b059-44de-bf2e-971d354c4515,2021/11/05,君に惚れた　瀬谷店　,君に惚れた瀬谷店,株式会社オーイズミダイニング
91-033512,瀬生第8377,横浜市,,横浜市瀬谷区瀬谷3-18-2,横浜市瀬谷区瀬谷３－１８－２,,横浜市瀬谷第二保育園 ,3028122,集団給食施設,,2021年11月8日,2117年12月31日,2021年11月8日,,141,横浜市瀬谷第二保育園 ,045,045-302-8122,,,,横浜市瀬谷区瀬谷３－１８－２,神奈川県横浜市瀬谷区瀬谷３－１８－２,,79582,14,14114,瀬谷３,,2021/11/08,2021/11/08,,2117/12/31,,横浜市 ,,,,,,,,,瀬生第8377,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,横浜市瀬谷第二保育園045-302-81227958214114,f82f1bda-9cac-4162-88f0-5cfef9130f45,,personal,0683ea77-e809-41c2-8957-2f84d2c11d75,2021/11/08,横浜市瀬谷第二保育園　,横浜市瀬谷第二保育園,
91-033513,瀬生指令第74,株式会社モンテローザフーズ,,横浜市瀬谷区瀬谷4-4-10 ライブゲート瀬谷 2F,横浜市瀬谷区瀬谷４－４－１０,ライブゲート瀬谷 ２F,目利きの銀次 ,3062088,飲食店営業,,2021年11月11日,2028年11月10日,2021年11月11日,,141,目利きの銀次 ,045,045-306-2088,,,,横浜市瀬谷区瀬谷４－４－１０,神奈川県横浜市瀬谷区瀬谷４－４－１０,ライブゲート瀬谷 ２F,79583,14,14114,瀬谷４,,2021/11/11,2021/11/11,,2028/11/10,株式会社モンテローザフーズ,,,,,,,,,,瀬生指令第74,,飲食店営業,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,76,,,目利きの銀次045-306-20887958314114,efd34b2b-dfcb-46f1-b2fd-77be7526b2e1,株式会社モンテローザフーズ,8d8ed5e6-ac73-4e95-aacb-156d27b70ddb,d2264b60-9328-498b-8d20-c446f037264b,2021/11/11,目利きの銀次　,目利きの銀次,株式会社モンテローザフーズ
91-033514,瀬生第8383,,河井 麗也,横浜市瀬谷区三ツ境2-23,横浜市瀬谷区三ツ境２－２３,,ローソン・スリーエフ　三ツ境店 ,3656768,コンビニエンスストア,,2021年11月11日,2117年12月31日,2021年11月11日,,141,ローソン・スリーエフ　三ツ境店 ,045,045-365-6768,,,,横浜市瀬谷区三ツ境２－２３,神奈川県横浜市瀬谷区三ツ境２－２３,,79561,14,14114,三ツ境,,2021/11/11,2021/11/11,,2117/12/31,,河井 麗也,,,,,,,,,瀬生第8383,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ロソンスリエフ三ツ境店045-365-67687956114114,00141_12270003-da28-4c8e-9d9a-5085108439ac,,personal,0030b7a1-30f6-4ccb-8ebe-0e9264bf9215,2021/11/11,ローソン・スリーエフ　三ツ境店　,ロソンスリエフ三ツ境店,
91-033515,瀬生第8387,相鉄ステーションリテール株式会社,,横浜市瀬谷区瀬谷4-1-1,横浜市瀬谷区瀬谷４－１－１,,ファミリーマート 相鉄瀬谷駅店 ,3060121,コンビニエンスストア,,2021年11月11日,2117年12月31日,2021年11月11日,,141,ファミリーマート 相鉄瀬谷駅店 ,045,045-306-0121,,,,横浜市瀬谷区瀬谷４－１－１,神奈川県横浜市瀬谷区瀬谷４－１－１,,79583,14,14114,瀬谷４,,2021/11/11,2021/11/11,,2117/12/31,相鉄ステーションリテール株式会社,,,,,,,,,,瀬生第8387,,コンビニエンスストア,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,58,589,5891,ファミリマト相鉄瀬谷駅店045-306-01217958314114,00141_df1b6e27-f5e9-4529-a305-2b330a3b6609,相鉄ステーションリテール株式会社,47841d0c-8bbb-4f58-a98e-54a5d96cb0f6,54987eb3-a349-4235-bcd5-5771843dcc2c,2021/11/11,ファミリーマート　相鉄瀬谷駅店　,ファミリマト相鉄瀬谷駅店,相鉄ステーションリテール株式会社
91-033516,瀬生第8382,社会福祉法人　泉正会,,横浜市瀬谷区下瀬谷1-27-25,横浜市瀬谷区下瀬谷１－２７－２５,,スプリングガーデン瀬谷 ,3040241,集団給食施設,,2021年11月11日,2117年12月31日,2021年11月11日,,141,スプリングガーデン瀬谷 ,045,045-304-0241,,,,横浜市瀬谷区下瀬谷１－２７－２５,神奈川県横浜市瀬谷区下瀬谷１－２７－２５,,79573,14,14114,下瀬谷１,,2021/11/11,2021/11/11,,2117/12/31,社会福祉法人　泉正会,,,,,,,,,,瀬生第8382,,給食施設,,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,M,77,,,スプリングガデン瀬谷045-304-02417957314114,7c53db05-66db-48ac-9c4c-5079b21d5a62,社会福祉法人泉正会,fb76465a-e0a3-4f86-a900-454af69178a2,d4d2ff18-2198-4720-87d6-0dc0a898a549,2021/11/11,スプリングガーデン瀬谷　,スプリングガデン瀬谷,社会福祉法人泉正会
91-033517,瀬生第8397,ＤＣＭ株式会社,,横浜市瀬谷区北新25-1,横浜市瀬谷区北新２５－１,,ＤＣＭホーマック瀬谷店 ,3006330,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,ＤＣＭホーマック瀬谷店 ,045,045-300-6330,,,,横浜市瀬谷区北新２５－１,神奈川県横浜市瀬谷区北新２５－１,,79579,14,14114,北新,,2021/11/12,2021/11/12,,2117/12/31,ＤＣＭ株式会社,,,,,,,,,,瀬生第8397,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ＤＣＭホマック瀬谷店045-300-63307957914114,c41a54e3-e19e-466f-ba58-00f5d0047f8a,ＤＣＭ株式会社,10c41288-54fe-4a94-8d92-6aa92385602a,93dbf0d3-3b72-473c-a8b1-497130e511a2,2021/11/12,ＤＣＭホーマック瀬谷店　,ＤＣＭホマック瀬谷店,ＤＣＭ株式会社
91-033518,瀬生第8391,,小林 俊和,横浜市瀬谷区橋戸2-22-1,横浜市瀬谷区橋戸２－２２－１,,ハートショップ　シバヤ ,3012408,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,ハートショップ　シバヤ ,045,045-301-2408,,,,横浜市瀬谷区橋戸２－２２－１,神奈川県横浜市瀬谷区橋戸２－２２－１,,79577,14,14114,橋戸２,,2021/11/12,2021/11/12,,2117/12/31,,小林 俊和,,,,,,,,,瀬生第8391,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ハトショップシバヤ045-301-24087957714114,00141_ce377cf8-4557-4d62-be1f-7d4c366aaa18,,personal,f94fb70d-10e3-4912-930e-c32818d04d91,2021/11/12,ハートショップ　シバヤ　,ハトショップシバヤ,
91-033519,瀬生第8392,,杉山 肇,横浜市瀬谷区宮沢2-36-12,横浜市瀬谷区宮沢２－３６－１２,,スギヤマ酒店 ,3023040,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,スギヤマ酒店 ,045,045-302-3040,,,,横浜市瀬谷区宮沢２－３６－１２,神奈川県横浜市瀬谷区宮沢２－３６－１２,,79563,14,14114,宮沢２,,2021/11/12,2021/11/12,,2117/12/31,,杉山 肇,,,,,,,,,瀬生第8392,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,スギヤマ酒店045-302-30407956314114,cdf9bb5e-3b4c-4e19-9663-252dc85c3e28,,personal,f825fc2c-d80c-4ed0-bcbc-6a649f497839,2021/11/12,スギヤマ酒店　,スギヤマ酒店,
91-033520,瀬生第8393,,石井 留夫,横浜市瀬谷区下瀬谷3-50-7,横浜市瀬谷区下瀬谷３－５０－７,,石井豆腐店 ,3014830,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,石井豆腐店 ,045,045-301-4830,,,,横浜市瀬谷区下瀬谷３－５０－７,神奈川県横浜市瀬谷区下瀬谷３－５０－７,,79575,14,14114,下瀬谷３,,2021/11/12,2021/11/12,,2117/12/31,,石井 留夫,,,,,,,,,瀬生第8393,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,石井豆腐店045-301-48307957514114,499141a7-17bc-4c44-8b5c-8de30cc5b8d6,,personal,1a5e1844-5e0b-47fd-a5da-c5be32d4a722,2021/11/12,石井豆腐店　,石井豆腐店,
91-033521,瀬生第8394,,金子 美代子,横浜市瀬谷区宮沢2-5-19,横浜市瀬谷区宮沢２－５－１９,,小峰豆腐店 ,3018143,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,小峰豆腐店 ,045,045-301-8143,,,,横浜市瀬谷区宮沢２－５－１９,神奈川県横浜市瀬谷区宮沢２－５－１９,,79563,14,14114,宮沢２,,2021/11/12,2021/11/12,,2117/12/31,,金子 美代子,,,,,,,,,瀬生第8394,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,小峰豆腐店045-301-81437956314114,c8d123ce-27f0-4032-b7a0-103ca9330560,,personal,ee2ad52f-be6c-46aa-9487-ec9e4ab4b58e,2021/11/12,小峰豆腐店　,小峰豆腐店,
91-033522,瀬生第8395,,中村 純子,横浜市瀬谷区瀬谷6-20-3,横浜市瀬谷区瀬谷６－２０－３,,中村酒店 ,3021196,その他の食料・飲料販売業,,2021年11月12日,2117年12月31日,2021年11月12日,,141,中村酒店 ,045,045-302-1196,,,,横浜市瀬谷区瀬谷６－２０－３,神奈川県横浜市瀬谷区瀬谷６－２０－３,,79585,14,14114,瀬谷６,,2021/11/12,2021/11/12,,2117/12/31,,中村 純子,,,,,,,,,瀬生第8395,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,中村酒店045-302-11967958514114,f66df08c-f6b6-45e9-a472-bcab6838507e,,personal,921f246e-aa57-406e-b575-0c4c68c63836,2021/11/12,中村酒店　,中村酒店,
91-033523,瀬生第8398,株式会社すかいらーくレストランツ,,横浜市瀬谷区中央7-30,横浜市瀬谷区中央７－３０,,ジョナサン　瀬谷駅前店 ,3010671,その他の食料・飲料販売業,,2021年11月4日,2117年12月31日,2021年11月4日,,141,ジョナサン　瀬谷駅前店 ,045,045-301-0671,,,,横浜市瀬谷区中央７－３０,神奈川県横浜市瀬谷区中央７－３０,,79593,14,14114,中央,,2021/11/04,2021/11/04,,2117/12/31,株式会社すかいらーくレストランツ,,,,,,,,,,瀬生第8398,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,ジョナサン瀬谷駅前店045-301-06717959314114,37acd52e-81f6-45dc-8831-e335ada569dc,株式会社すかいらーくレストランツ,5b4b8cde-144d-4275-b229-04b8e1f0af34,0146e105-f1c1-4e73-bb50-891346dfdacd,2021/11/04,ジョナサン　瀬谷駅前店　,ジョナサン瀬谷駅前店,株式会社すかいらーくレストランツ
91-033525,瀬生第8401,株式会社　銀座コージーコーナー,,横浜市瀬谷区中央1-4 瀬谷北口新ビル　1F,横浜市瀬谷区中央１－４,瀬谷北口新ビル １F,株式会社　銀座コージーコーナー　瀬谷駅北口店 ,3029671,その他の食料・飲料販売業,販売店舗,2021年11月10日,2117年12月31日,2021年11月10日,,141,株式会社　銀座コージーコーナー　瀬谷駅北口店 ,045,045-302-9671,,,,横浜市瀬谷区中央１－４,神奈川県横浜市瀬谷区中央１－４,瀬谷北口新ビル １F,79593,14,14114,中央,,2021/11/10,2021/11/10,,2117/12/31,株式会社　銀座コージーコーナー,,,,,,,,,,瀬生第8401,,その他の食料品製造・加工業,(包装) 販売店舗,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,株式会社銀座コジコナ瀬谷駅北口店045-302-96717959314114,1fbb7386-f255-4d19-b5b0-29a3958d6134,株式会社銀座コージーコーナー,2a39e4d9-5798-418a-b5d3-58fce1fe8aa7,b2d2630a-df70-44dd-a334-b0bc659a07c4,2021/11/10,株式会社銀座コージーコーナー　瀬谷駅北口店　,株式会社銀座コジコナ瀬谷駅北口店,株式会社銀座コージーコーナー
91-033526,瀬生第8404,株式会社マルエツ,,横浜市瀬谷区中央6-20,横浜市瀬谷区中央６－２０,,株式会社マルエツ瀬谷店 ,3023561,百貨店、総合スーパー,総合スーパー,2021年11月9日,2117年12月31日,2021年11月9日,,141,株式会社マルエツ瀬谷店 ,045,045-302-3561,,,,横浜市瀬谷区中央６－２０,神奈川県横浜市瀬谷区中央６－２０,,79593,14,14114,中央,,2021/11/09,2021/11/09,,2117/12/31,株式会社マルエツ,,,,,,,,,,瀬生第8404,,百貨店、総合スーパー, 総合スーパー,,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,I,56,561,5611,株式会社マルエツ瀬谷店045-302-35617959314114,00141_d959e0cf-5ef8-4e8d-bc1d-5fc83c4afd84,株式会社マルエツ,24c4334a-21db-4cfc-86c8-7a7d7e6b43f5,44e0a0ef-92b0-416a-9070-73f1e83763bc,2021/11/09,株式会社マルエツ瀬谷店　,株式会社マルエツ瀬谷店,株式会社マルエツ
91-033527,瀬生第8403,株式会社　ひとはな,,横浜市瀬谷区本郷2-15-1 ACTビル1F,横浜市瀬谷区本郷２－１５－１,ACTビル１F,デイサービスセンター　陽と花本郷 ,3041077,その他の食料・飲料販売業,,2021年11月15日,2117年12月31日,2021年11月15日,,141,デイサービスセンター　陽と花本郷 ,045,045-304-1077,,,,横浜市瀬谷区本郷２－１５－１,神奈川県横浜市瀬谷区本郷２－１５－１,ACTビル１F,79558,14,14114,本郷２,,2021/11/15,2021/11/15,,2117/12/31,株式会社　ひとはな,,,,,,,,,,瀬生第8403,,その他の食料品製造・加工業,(包装),,,141_神奈川県_横浜市保健所_食品衛生(許可)_2021年11月まで全件_末日_新規、廃止 のコピー,E,9,99,,デイサビスセンタ陽と花本郷045-304-10777955814114,94325ac8-8f46-44b2-9bcc-1d61413c70d5,株式会社ひとはな,2e0f1484-24d2-415d-b6e6-4c7bdf583105,803bf8d9-1942-4e5c-9b55-f2b240f95cc7,2021/11/15,デイサービスセンター　陽と花本郷　,デイサビスセンタ陽と花本郷,株式会社ひとはな
