11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
サントリーショットバー  ４６６５,8800002,宮崎県宮崎市中央通７－２６  第Ⅰ吉野ビル地下４号室,宮崎県宮崎市中央通７－２６,第Ⅰ吉野ビル地下４号室,,石橋  誠,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7. 8,R 4. 7. 8,01-332,,宮崎市保健所,サントリーショットバー  ４６６５,0985,,8800002,,,宮崎県宮崎市中央通７－２６,宮崎県宮崎市中央通７－２６,第Ⅰ吉野ビル地下４号室,212320,宮崎県,宮崎市,中央通,,2022/07/08,2022/07/08,,,,,,　,,,,,,,01-332,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,サントリーショットバー　４６６５,サントリショットバ４６６５,,,1,,,,,
プール  ポテト屋,8800122,宮崎県宮崎市大字塩路字浜山３０８３－４２,宮崎県宮崎市大字塩路字浜山３０８３－４２,,39-1306,宮崎市フェニックス自然動物園管理 株式会社,代表取締役  梶谷  欣也,8800122,宮崎県宮崎市大字塩路字浜山３０８３－４２,宮崎県宮崎市大字塩路字浜山３０８３－４２,,39-1306,飲食店営業,08:飲食店営業（軽食・喫茶店）,R 4. 7.11,R 4. 7.11,01-310,,宮崎市保健所,プール  ポテト屋,0985,0985-39-1306,8800122,,,宮崎県宮崎市大字塩路字浜山３０８３－４２,宮崎県宮崎市塩路字浜山３０８３－４２,,212266,宮崎県,宮崎市,塩路,,2022/07/11,2022/07/11,,,宮崎市フェニックス自然動物園管理 株式会社,代表取締役  梶谷  欣也,39-1306,宮崎県宮崎市大字塩路字浜山３０８３－４２　,宮崎県宮崎市塩路字浜山３０８３－４２,,212266,宮崎県,宮崎市,塩路,01-310,,飲食店営業, 08:飲食店営業（軽食・喫茶店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,プール　ポテト屋,プルポテト屋,宮崎市フェニックス自然動物園管理株式会社,,1,,,,,
Ａｎｆａｎｇ,8800003,宮崎県宮崎市高松町３－３３  第３三蔵ビル３Ｆ,宮崎県宮崎市高松町３－３３,第３三蔵ビル３Ｆ,,エターナルアドバンス合同会社,代表社員  大迫  教博,8802112,宮崎県宮崎市大字小松１３４８－１ ３,宮崎県宮崎市大字小松１３４８－１,３,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.11,R 4. 7.11,01-306,,宮崎市保健所,Ａｎｆａｎｇ,0985,,8800003,,,宮崎県宮崎市高松町３－３３,宮崎県宮崎市高松町３－３３,第３三蔵ビル３Ｆ,212297,宮崎県,宮崎市,高松町,,2022/07/11,2022/07/11,,,エターナルアドバンス合同会社,代表社員  大迫  教博,,宮崎県宮崎市大字小松１３４８－１　３,宮崎県宮崎市小松１３４８－１３,,212263,宮崎県,宮崎市,小松,01-306,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ａｎｆａｎｇ,Ａｎｆａｎｇ,エターナルアドバンス合同会社,,1,,,,,
スナック凡,8800002,宮崎県宮崎市中央通６－６  ウエストビルⅠ３Ｆ,宮崎県宮崎市中央通６－６,ウエストビルⅠ３Ｆ,,川野  直美,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.11,R 4. 7.11,01-313,,宮崎市保健所,スナック凡,0985,,8800002,,,宮崎県宮崎市中央通６－６,宮崎県宮崎市中央通６－６,ウエストビルⅠ３Ｆ,212320,宮崎県,宮崎市,中央通,,2022/07/11,2022/07/11,,,,,,　,,,,,,,01-313,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,スナック凡,スナック凡,,,1,,,,,
ワッフルカーンＭＥＧＡドン・キホーテ宮崎橘通店,8800001,宮崎県宮崎市橘通西３－１０－３２宮崎ナナイロ東館１Ｆ,宮崎県宮崎市橘通西３－１０－３２,宮崎ナナイロ東館１Ｆ,,株式会社  ＷＯＯＳＵＮＧ  ＦＯＯＤ,代表取締役  權  祐聖,8600845,熊本県熊本市中央区上通町１１－１ ＴＭＧビル１Ｆ,熊本県熊本市中央区上通町１１－１,ＴＭＧビル１Ｆ,,飲食店営業,26:飲食店営業（その他の一般飲食店）,R 4. 7.11,R 4. 7.11,01-295,,宮崎市保健所,ワッフルカーンＭＥＧＡドン・キホーテ宮崎橘通店,0985,,8800001,,,宮崎県宮崎市橘通西３－１０－３２,宮崎県宮崎市橘通西３－１０－３２,宮崎ナナイロ東館１Ｆ,212301,宮崎県,宮崎市,橘通西３,,2022/07/11,2022/07/11,,,株式会社  ＷＯＯＳＵＮＧ  ＦＯＯＤ,代表取締役  權  祐聖,,熊本県熊本市中央区上通町１１－１　ＴＭＧビル１Ｆ,熊本県熊本市中央区上通町１１－１ＴＭＧビル１Ｆ,,207836,熊本県,熊本市中央区,上通町,01-295,,飲食店営業, 26:飲食店営業（その他の一般飲食店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ワッフルカーンＭＥＧＡドンキホーテ宮崎橘通店,ワッフルカンＭＥＧＡドンキホテ宮崎橘通店,株式会社ＷＯＯＳＵＮＧ　ＦＯＯＤ,,1,,,,,
牛角  宮崎大塚店,8800951,宮崎県宮崎市大塚町池ノ内１０７５,宮崎県宮崎市大塚町池ノ内１０７５,,48-8929,アートフード株式会社,代表取締役  今津  由嗣,7440071,山口県下松市清瀬町２－３－３０,山口県下松市清瀬町２－３－３０,,0833-48-8661,飲食店営業,05:飲食店営業（東洋料理店）,R 4. 7.13,R 4. 7.13,01-337,,宮崎市保健所,牛角  宮崎大塚店,0985,0985-48-8929,8800951,,,宮崎県宮崎市大塚町池ノ内１０７５,宮崎県宮崎市大塚町池ノ内１０７５,,212216,宮崎県,宮崎市,大塚町,,2022/07/13,2022/07/13,,,アートフード株式会社,代表取締役  今津  由嗣,0833-48-8661,山口県下松市清瀬町２－３－３０　,山口県下松市清瀬町２－３－３０,,188275,山口県,下松市,清瀬町２,01-337,,飲食店営業, 05:飲食店営業（東洋料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,牛角　宮崎大塚店,牛角宮崎大塚店,アートフード株式会社,,1,,,,,
Ｋｂａｒ＋,8800001,宮崎県宮崎市橘通西３－２－１１  竹原第２ビル２０２,宮崎県宮崎市橘通西３－２－１１,竹原第２ビル２０２,,佐藤  由美子,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.13,R 4. 7.13,01-323,,宮崎市保健所,Ｋｂａｒ＋,0985,,8800001,,,宮崎県宮崎市橘通西３－２－１１,宮崎県宮崎市橘通西３－２－１１,竹原第２ビル２０２,212301,宮崎県,宮崎市,橘通西３,,2022/07/13,2022/07/13,,,,,,　,,,,,,,01-323,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｋｂａｒ＋,Ｋｂａｒ,,,1,,,,,
えびののむっちゃん,8800003,宮崎県宮崎市高松町６７  ブラウン館ビル２Ｆ,宮崎県宮崎市高松町６７,ブラウン館ビル２Ｆ,,内野  むつ子,,,,,,,飲食店営業,17:飲食店営業（酒場、ビアホール）,R 4. 7.13,R 4. 7.13,01-294,,宮崎市保健所,えびののむっちゃん,0985,,8800003,,,宮崎県宮崎市高松町６７,宮崎県宮崎市高松町６７,ブラウン館ビル２Ｆ,212297,宮崎県,宮崎市,高松町,,2022/07/13,2022/07/13,,,,,,　,,,,,,,01-294,,飲食店営業, 17:飲食店営業（酒場、ビアホール）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,えびののむっちゃん,えびののむっちゃん,,,1,,,,,
株式会社中村商店  佐土原工場,8800302,宮崎県宮崎市佐土原町西上那珂４４１６－３,宮崎県宮崎市佐土原町西上那珂４４１６－３,,78-2526,株式会社  中村商店,代表取締役  中村  真一,8891403,宮崎県児湯郡新富町大字上富田５２６－３,宮崎県児湯郡新富町大字上富田５２６－３,,0983-33-0632,そうざい製造業,71:そうざい製造業（１回３００/１日７５０未満）,R 4. 7.13,R 4. 7.13,26-20,,宮崎市保健所,株式会社中村商店  佐土原工場,0985,0985-78-2526,8800302,,,宮崎県宮崎市佐土原町西上那珂４４１６－３,宮崎県宮崎市佐土原町西上那珂４４１６－３,,212585,宮崎県,宮崎市,佐土原町西上那珂,,2022/07/13,2022/07/13,,,株式会社  中村商店,代表取締役  中村  真一,0983-33-0632,宮崎県児湯郡新富町大字上富田５２６－３　,宮崎県児湯郡新富町上富田５２６－３,,213480,宮崎県,児湯郡新富町,上富田,26-20,,そうざい製造業, 71:そうざい製造業（１回３００/１日７５０未満）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社中村商店　佐土原工場,株式会社中村商店佐土原工場,株式会社中村商店,,2,,,,,
株式会社中村商店  佐土原工場,8800302,宮崎県宮崎市佐土原町西上那珂４４１６－３,宮崎県宮崎市佐土原町西上那珂４４１６－３,,78-2526,株式会社  中村商店,代表取締役  中村  真一,8891403,宮崎県児湯郡新富町大字上富田５２６－３,宮崎県児湯郡新富町大字上富田５２６－３,,0983-33-0632,冷凍食品製造業,75:冷凍食品製造業,R 4. 7.13,R 4. 7.13,28-3,,宮崎市保健所,株式会社中村商店  佐土原工場,0985,0985-78-2526,8800302,,,宮崎県宮崎市佐土原町西上那珂４４１６－３,宮崎県宮崎市佐土原町西上那珂４４１６－３,,212585,宮崎県,宮崎市,佐土原町西上那珂,,2022/07/13,2022/07/13,,,株式会社  中村商店,代表取締役  中村  真一,0983-33-0632,宮崎県児湯郡新富町大字上富田５２６－３　,宮崎県児湯郡新富町上富田５２６－３,,213480,宮崎県,児湯郡新富町,上富田,28-3,,冷凍食品製造業, 75:冷凍食品製造業,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社中村商店　佐土原工場,株式会社中村商店佐土原工場,株式会社中村商店,,2,,,,,
ＰＥＮＧＵＩＮＤＲＵＭ．,8800001,宮崎県宮崎市橘通西３－２－１３  ダイヤモンドビル３－３０１,宮崎県宮崎市橘通西３－２－１３,ダイヤモンドビル３－３０１,,小城  隼平,,,,,,,飲食店営業,16:飲食店営業（バー、キャバレー、ナイトクラブ）,R 4. 7.15,R 4. 7.15,01-341,,宮崎市保健所,ＰＥＮＧＵＩＮＤＲＵＭ．,0985,,8800001,,,宮崎県宮崎市橘通西３－２－１３,宮崎県宮崎市橘通西３－２－１３,ダイヤモンドビル３－３０１,212301,宮崎県,宮崎市,橘通西３,,2022/07/15,2022/07/15,,,,,,　,,,,,,,01-341,,飲食店営業, 16:飲食店営業（バー、キャバレー、ナイトクラブ）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＰＥＮＧＵＩＮＤＲＵＭ．,ＰＥＮＧＵＩＮＤＲＵＭ,,,1,,,,,
株式会社  屋台骨,8800834,宮崎県宮崎市新別府町雀田１１８５中央卸売市場内,宮崎県宮崎市新別府町雀田１１８５,中央卸売市場内,28-2945,株式会社  屋台骨,代表取締役  田中  周作,8800834,宮崎県宮崎市新別府町雀田１１８５,宮崎県宮崎市新別府町雀田１１８５,,28-2945,そうざい製造業,71:そうざい製造業（１回３００/１日７５０未満）,R 4. 7.15,R 4. 7.15,26-27,,宮崎市保健所,株式会社  屋台骨,0985,0985-28-2945,8800834,,,宮崎県宮崎市新別府町雀田１１８５,宮崎県宮崎市新別府町雀田１１８５,中央卸売市場内,212278,宮崎県,宮崎市,新別府町,,2022/07/15,2022/07/15,,,株式会社  屋台骨,代表取締役  田中  周作,28-2945,宮崎県宮崎市新別府町雀田１１８５　,宮崎県宮崎市新別府町雀田１１８５,,212278,宮崎県,宮崎市,新別府町,26-27,,そうざい製造業, 71:そうざい製造業（１回３００/１日７５０未満）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,株式会社屋台骨,株式会社屋台骨,株式会社屋台骨,,1,,,,,
Ｆａｒｍｅｒ’ｓ  Ｋｉｔｃｈｅｎ  たこちゃんの調理室,8800836,宮崎県宮崎市山崎町下ノ原１０１３,宮崎県宮崎市山崎町下ノ原１０１３,,,井野  多加子,,,,,,,飲食店営業,01:飲食店営業（一般食堂）,R 4. 7.20,R 4. 7.20,01-324,,宮崎市保健所,Ｆａｒｍｅｒ’ｓ  Ｋｉｔｃｈｅｎ  たこちゃんの調理室,0985,,8800836,,,宮崎県宮崎市山崎町下ノ原１０１３,宮崎県宮崎市山崎町下ノ原１０１３,,212413,宮崎県,宮崎市,山崎町,,2022/07/20,2022/07/20,,,,,,　,,,,,,,01-324,,飲食店営業, 01:飲食店営業（一般食堂）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,Ｆａｒｍｅｒ＇ｓ　Ｋｉｔｃｈｅｎ　たこちゃんの調理室,ＦａｒｍｅｒｓＫｉｔｃｈｅｎたこちゃんの調理室,,,1,,,,,
料理屋  くろ木,8800003,宮崎県宮崎市高松町５－５,宮崎県宮崎市高松町５－５,,,黒木  将太郎,,,,,,,飲食店営業,02:飲食店営業（日本料理店）,R 4. 7.20,R 4. 7.20,01-361,,宮崎市保健所,料理屋  くろ木,0985,,8800003,,,宮崎県宮崎市高松町５－５,宮崎県宮崎市高松町５－５,,212297,宮崎県,宮崎市,高松町,,2022/07/20,2022/07/20,,,,,,　,,,,,,,01-361,,飲食店営業, 02:飲食店営業（日本料理店）,,,441_宮崎県_宮崎市保健所_食品衛生(許可)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,料理屋　くろ木,料理屋くろ木,,,1,,,,,
