https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,n処理終了,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他,業種,施設名,施設-住所0,施設-住所1,施設-マンション名,施設-電話番号1,申請者1,申請者2,申請-住所0,申請-住所1,申請-マンション名,申請-電話番号1,開業年月日,許可年月日,確認番号,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
許可,魚介類販売業,合同会社一雪・水産,白老郡白老町字石山3番地1,白老郡白老町字石山３番地１,,,合同会社一雪・水産,盛永梨絵,白老郡白老町字石山3番地1,白老郡白老町字石山３番地１,,,2021.12.17,2021.12.17,1-502,,18,合同会社一雪・水産,0144,,,,,白老郡白老町字石山３番地１,北海道白老郡白老町字石山３番地１,,21572,1,1578,石山,,2021/12/17,2021/12/17,,,合同会社一雪・水産,盛永梨絵,,白老郡白老町字石山３番地１,北海道白老郡白老町字石山３番地１,,21572,北海道,白老郡白老町,石山,1-502,,魚介類販売業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,合同会社一雪水産215721578,80c39207-34e5-445b-9765-4ccbdedfb87f,合同会社一雪・水産21572,108bb172-b8ac-419a-8ac7-11dc48bd08dd,ea53bf9a-0555-40b8-aac8-c72f187f9b29,2021/12/17,合同会社一雪・水産,合同会社一雪水産,合同会社一雪・水産
許可,飲食店営業,マルミ商店,苫小牧市汐見町1丁目1-14,苫小牧市汐見町１丁目１－１４,,0144-82-7573,株式会社Ｓｕｒｆ　Ｃｌａｍ,三浦未,苫小牧市汐見町1丁目1-14,苫小牧市汐見町１丁目１－１４,,0144-82-7573,2021.12.17,2021.12.17,1-501,,18,マルミ商店,0144,0144-82-7573,,,,苫小牧市汐見町１丁目１－１４,北海道苫小牧市汐見町１丁目１－１４,,12738,1,1213,汐見町１,,2021/12/17,2021/12/17,,,株式会社Ｓｕｒｆ　Ｃｌａｍ,三浦未,0144-82-7573,苫小牧市汐見町１丁目１－１４,北海道苫小牧市汐見町１丁目１－１４,,12738,北海道,苫小牧市,汐見町１,1-501,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,マルミ商店0144-82-7573127381213,6dbba799-4f89-4fdb-9f82-c1d33a3ca946,株式会社Ｓｕｒｆ　Ｃｌａｍ12738,9428be3d-4092-43cb-91b3-deec49bf3f2a,e2c97e13-326f-4ce6-99a4-29d1373ef365,2021/12/17,マルミ商店,マルミ商店,株式会社Ｓｕｒｆ　Ｃｌａｍ
許可,魚介類販売業,マルミ商店,苫小牧市汐見町1丁目1-14,苫小牧市汐見町１丁目１－１４,,0144-82-7573,株式会社Ｓｕｒｆ　Ｃｌａｍ,三浦未,苫小牧市汐見町1丁目1-14,苫小牧市汐見町１丁目１－１４,,0144-82-7573,2021.12.17,2021.12.17,1-501,,18,マルミ商店,0144,0144-82-7573,,,,苫小牧市汐見町１丁目１－１４,北海道苫小牧市汐見町１丁目１－１４,,12738,1,1213,汐見町１,,2021/12/17,2021/12/17,,,株式会社Ｓｕｒｆ　Ｃｌａｍ,三浦未,0144-82-7573,苫小牧市汐見町１丁目１－１４,北海道苫小牧市汐見町１丁目１－１４,,12738,北海道,苫小牧市,汐見町１,1-501,,魚介類販売業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,マルミ商店0144-82-7573127381213,6dbba799-4f89-4fdb-9f82-c1d33a3ca946,株式会社Ｓｕｒｆ　Ｃｌａｍ12738,9428be3d-4092-43cb-91b3-deec49bf3f2a,ec33d8de-bb24-44e1-b332-a4fcf5643702,2021/12/17,マルミ商店,マルミ商店,株式会社Ｓｕｒｆ　Ｃｌａｍ
許可,飲食店営業,苫小牧ホルモン道場,道内一円(営業基地:苫小牧市大成町2丁目1-5),道内一円,(営業基地:苫小牧市大成町２丁目１－５),,松下慎司,,,,,,2021.12.16,2021.12.16,1-500,,18,苫小牧ホルモン道場,,,,,,道内一円,北海道道内一円,(営業基地:苫小牧市大成町２丁目１－５),,1,,,,2021/12/16,2021/12/16,,,,松下慎司 ,,,,,,,,,1-500,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,苫小牧ホルモン道場,eeec5269-dccc-4a97-ad95-2601cc5b167a,,personal,9568c7ec-aae8-4724-8ca9-d0b6f321bd33,2021/12/16,苫小牧ホルモン道場,苫小牧ホルモン道場,
許可,飲食店営業,苫小牧ホルモン道場,道内一円(営業基地:苫小牧市大成町2丁目1-5),道内一円,(営業基地:苫小牧市大成町２丁目１－５),,井上純一,,,,,,2021.12.16,2021.12.16,1-499,,18,苫小牧ホルモン道場,,,,,,道内一円,北海道道内一円,(営業基地:苫小牧市大成町２丁目１－５),,1,,,,2021/12/16,2021/12/16,,,,井上純一 ,,,,,,,,,1-499,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,苫小牧ホルモン道場,eeec5269-dccc-4a97-ad95-2601cc5b167a,,personal,162edf96-2894-44b1-8016-30e183ae291f,2021/12/16,苫小牧ホルモン道場,苫小牧ホルモン道場,
許可,飲食店営業,ＦＯＲＴ　ｂｙ　ＣＯＡＳＴ,道内一円(営業基地:勇払郡厚真町字浜厚真472-7),道内一円,(営業基地:勇払郡厚真町字浜厚真４７２－７),0145-28-3010,テンアール株式会社,小林康,勇払郡厚真町字浜厚真467番地1,勇払郡厚真町字浜厚真４６７番地１,,0145-28-2726,2021.12.14,2021.12.14,1-498,,18,ＦＯＲＴ　ｂｙ　ＣＯＡＳＴ,,0145-28-3010,,,,道内一円,北海道道内一円,(営業基地:勇払郡厚真町字浜厚真４７２－７),,1,,,,2021/12/14,2021/12/14,,,テンアール株式会社,小林康,0145-28-2726,勇払郡厚真町字浜厚真４６７番地１,北海道勇払郡厚真町字浜厚真４６７番地１,,19922,北海道,勇払郡厚真町,浜厚真,1-498,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＦＯＲＴｂｙＣＯＡＳＴ0145-28-3010,55cf5b45-7452-43e9-a2af-8ce3b0260a3b,テンアール株式会社19922,4d7bf9c3-4c91-49c6-9648-f961f246284f,9d4bf850-a2f9-4d07-97f4-6aa6fd131f51,2021/12/14,ＦＯＲＴ　ｂｙ　ＣＯＡＳＴ,ＦＯＲＴｂｙＣＯＡＳＴ,テンアール株式会社
許可,飲食店営業,ｂｒａｔｓ,道内一円(営業基地:新明町1-3-6 株式会社SANEI),道内一円,(営業基地:新明町１－３－６ 株式会社SANEI),,村上香緒利,,,,,,2021.12.14,2021.12.14,1-495,,18,ｂｒａｔｓ,,,,,,道内一円,北海道道内一円,(営業基地:新明町１－３－６ 株式会社SANEI),,1,,,,2021/12/14,2021/12/14,,,,村上香緒利 ,,,,,,,,,1-495,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ｂｒａｔｓ,577f7ba0-8312-481d-a2ad-ec4af4c98426,,personal,55c7e5a7-5e3a-4054-94b0-b01e8937d385,2021/12/14,ｂｒａｔｓ,ｂｒａｔｓ,
許可,飲食店営業,乙カレー,苫小牧市啓北町2丁目12-92F,苫小牧市啓北町２丁目１２－９２F,,0144-61-1778,今井慧,,,,,,2021.12.14,2021.12.14,1-497,,18,乙カレー,0144,0144-61-1778,,,,苫小牧市啓北町２丁目１２－９２F,北海道苫小牧市啓北町２丁目１２－９２F,,12720,1,1213,啓北町２,,2021/12/14,2021/12/14,,,,今井慧 ,,,,,,,,,1-497,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,乙カレ0144-61-1778127201213,87facc4f-623c-42e8-bdbb-aa229b985da7,,personal,a05a7a6e-02a5-4ffd-90fb-cca154bc2cf6,2021/12/14,乙カレー,乙カレ,
許可,飲食店営業,セブンイレブン白老虎杖浜温泉店,白老郡白老町字虎杖浜73-48,白老郡白老町字虎杖浜７３－４８,,,合同会社ダイス企画,斎藤伸宜,白老郡白老町字虎杖浜73-48,白老郡白老町字虎杖浜７３－４８,,,2021.12.14,2021.12.14,1-496,,18,セブンイレブン白老虎杖浜温泉店,0144,,,,,白老郡白老町字虎杖浜７３－４８,北海道白老郡白老町字虎杖浜７３－４８,,21574,1,1578,虎杖浜,,2021/12/14,2021/12/14,,,合同会社ダイス企画,斎藤伸宜,,白老郡白老町字虎杖浜７３－４８,北海道白老郡白老町字虎杖浜７３－４８,,21574,北海道,白老郡白老町,虎杖浜,1-496,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,セブンイレブン白老虎杖浜温泉店215741578,8d475845-62e8-414b-a6af-e344a5a44928,合同会社ダイス企画21574,27f819c7-3380-4260-a53b-d43f883d7ed6,373046eb-4df6-40d9-a990-c46ac4c84084,2021/12/14,セブンイレブン白老虎杖浜温泉店,セブンイレブン白老虎杖浜温泉店,合同会社ダイス企画
許可,飲食店営業,ＪＯＥ’Ｚ　ｋｉｔｃｈｅｎ,道内一円(営業基地:白老郡白老町本町1丁目6-15,道内一円,(営業基地:白老郡白老町本町１丁目６－１５,0144-84-5147,坂本譲,,,,,,2021.12.13,2021.12.13,1-494,,18,ＪＯＥ’Ｚ　ｋｉｔｃｈｅｎ,,0144-84-5147,,,,道内一円,北海道道内一円,(営業基地:白老郡白老町本町１丁目６－１５,,1,,,,2021/12/13,2021/12/13,,,,坂本譲 ,,,,,,,,,1-494,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＪＯＥＺｋｉｔｃｈｅｎ0144-84-5147,69b50d51-c34c-4b8f-90c1-6c1989264efb,,personal,522d32da-71a2-4411-9cd7-011e331601de,2021/12/13,ＪＯＥ＇Ｚ　ｋｉｔｃｈｅｎ,ＪＯＥＺｋｉｔｃｈｅｎ,
許可,飲食店営業,からあげ専門店　にじ唐,道内一円(営業基地:勇払郡むかわ町福住3丁目294番地),道内一円,(営業基地:勇払郡むかわ町福住３丁目２９４番地),,干上美香,,,,,,2021.12.9,2021.12.9,1-493,,18,からあげ専門店　にじ唐,,,,,,道内一円,北海道道内一円,(営業基地:勇払郡むかわ町福住３丁目２９４番地),,1,,,,2021/12/09,2021/12/09,,,,干上美香 ,,,,,,,,,1-493,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,からあげ専門店にじ唐,b162d364-7896-4120-905d-c493b575b7d6,,personal,2154b951-d3fd-49e0-b172-283258882a3a,2021/12/09,からあげ専門店　にじ唐,からあげ専門店にじ唐,
許可,飲食店営業,すなっく　くるる,苫小牧市大町1丁目4-22あしべ会館2F,苫小牧市大町１丁目４－２２,あしべ会館２F,0144-84-8292,阿部美香,,,,,,2021.12.9,2021.12.9,1-492,,18,すなっく　くるる,0144,0144-84-8292,,,,苫小牧市大町１丁目４－２２,北海道苫小牧市大町１丁目４－２２,あしべ会館２F,12698,1,1213,大町１,,2021/12/09,2021/12/09,,,,阿部美香 ,,,,,,,,,1-492,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,すなっくくるる0144-84-8292126981213,b3ba067d-d2ab-4940-a649-e1eb81728a4b,,personal,adcf1fe8-5472-4ced-938b-ba72eebcd464,2021/12/09,すなっく　くるる,すなっくくるる,
許可,飲食店営業,セブン－イレブン苫小牧明野新町５丁目店,苫小牧市明野新町5丁目13番9号,苫小牧市明野新町５丁目１３番９号,,0144-57-5507,小出孝治,,,,,,2021.12.8,2021.12.8,1-483,,18,セブン－イレブン苫小牧明野新町５丁目店,0144,0144-57-5507,,,,苫小牧市明野新町５丁目１３番９号,北海道苫小牧市明野新町５丁目１３番９号,,12893,1,1213,明野新町５,,2021/12/08,2021/12/08,,,,小出孝治 ,,,,,,,,,1-483,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,セブンイレブン苫小牧明野新町５丁目店0144-57-5507128931213,73c22020-6fd3-47f8-81ca-20d4aa293803,,personal,ff00ffc8-f1c7-4bfc-9709-ec62c8312143,2021/12/08,セブンイレブン苫小牧明野新町５丁目店,セブンイレブン苫小牧明野新町５丁目店,
許可,飲食店営業,ＭＯＮ,苫小牧市沼ﾉ端中央4丁目7-1,苫小牧市沼ﾉ端中央４丁目７－１,,,門脇慎,,,,,,2021.12.8,2021.12.8,1-485,,18,ＭＯＮ,0144,,,,,苫小牧市沼ﾉ端中央４丁目７－１,北海道苫小牧市沼ノ端中央４丁目７－１,,12968,1,1213,沼ノ端中央４,,2021/12/08,2021/12/08,,,,門脇慎 ,,,,,,,,,1-485,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,ＭＯＮ129681213,5f0d72a1-6f67-425b-b635-18c4ca4d9b1d,,personal,d97395e6-8e9b-495e-bf10-9e4af0fa8d48,2021/12/08,ＭＯＮ,ＭＯＮ,
許可,飲食店営業,スナック　いく,苫小牧市沼ﾉ端中央4丁目13-8,苫小牧市沼ﾉ端中央４丁目１３－８,,0144-55-2165,多田育代,,,,,,2021.12.8,2021.12.8,1-489,,18,スナック　いく,0144,0144-55-2165,,,,苫小牧市沼ﾉ端中央４丁目１３－８,北海道苫小牧市沼ノ端中央４丁目１３－８,,12968,1,1213,沼ノ端中央４,,2021/12/08,2021/12/08,,,,多田育代 ,,,,,,,,,1-489,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,スナックいく0144-55-2165129681213,dfbe7f44-5344-4b1b-a301-761e4caa7e8d,,personal,3f4cc146-0ca9-4749-947f-41315f3599ce,2021/12/08,スナック　いく,スナックいく,
許可,魚介類販売業,印南商店,苫小牧市沼ﾉ端中央3丁目9-16,苫小牧市沼ﾉ端中央３丁目９－１６,,,印南昌司,,,,,,2021.12.8,2021.12.8,1-490,,18,印南商店,0144,,,,,苫小牧市沼ﾉ端中央３丁目９－１６,北海道苫小牧市沼ノ端中央３丁目９－１６,,12967,1,1213,沼ノ端中央３,,2021/12/08,2021/12/08,,,,印南昌司 ,,,,,,,,,1-490,,魚介類販売業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,I,58,,,印南商店129671213,c4260652-0e4d-4704-bd7f-048ec96a357a,,personal,917958a4-42f2-47cc-a222-a6cb2c93e510,2021/12/08,印南商店,印南商店,
許可,飲食店営業,浜ちゃん,苫小牧市沼ﾉ端中央3丁目9-16,苫小牧市沼ﾉ端中央３丁目９－１６,,,印南昌司,,,,,,2021.12.7,2021.12.8,1-491,,18,浜ちゃん,0144,,,,,苫小牧市沼ﾉ端中央３丁目９－１６,北海道苫小牧市沼ノ端中央３丁目９－１６,,12967,1,1213,沼ノ端中央３,,2021/12/07,2021/12/08,,,,印南昌司 ,,,,,,,,,1-491,,飲食店営業,,許可,,018_北海道_苫小牧保健所_食品衛生()_2021年12月まで全件_末日,M,76,,,浜ちゃん129671213,07463ef7-dcd2-465a-ae33-d9018cbe2a8c,,personal,27308de7-46a4-4f08-8eea-b811fa3d2f8f,2021/12/08,浜ちゃん,浜ちゃん,
