11:57:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,n処理終了,,,,,,,,,,,,,,,,,,n10_company_name_maintenance,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＥＬＯ　ＢＡＲ,宮崎県,都城市,牟田町,２０－８,第２マンエイビル２Ｆ－１,090-8354-3988,① 飲食店営業,松井エマリン,,,,,,,,2022/7/29,2022/7/29,４０４３－１－１７７,,都城保健所,ＪＥＬＯ　ＢＡＲ,0986,090-8354-3988,,,,宮崎県　都城市　牟田町　２０－８,宮崎県都城市牟田町２０－８,第２マンエイビル２Ｆ－１,212716,宮崎県,都城市,牟田町,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４３－１－１７７,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＪＥＬＯ　ＢＡＲ,ＪＥＬＯＢＡＲ,,,1,,,,,
食品加工施設,宮崎県,東臼杵郡諸塚村,大字家代,2639-13,,080-1710-9945,① 飲食店営業,興洋開発株式会社,中本英紀,宮崎県,東臼杵郡諸塚村,家代,4330-2,,0982-65-0076,2022/7/22,2022/7/22,４０４６－１－７７,,日向保健所,食品加工施設,0982,080-1710-9945,,,,宮崎県　東臼杵郡諸塚村　大字家代　2639-13,宮崎県東臼杵郡諸塚村家代２６３９－１３,,213589,宮崎県,東臼杵郡諸塚村,家代,,2022/07/22,2022/07/22,,,興洋開発株式会社,中本英紀,0982-65-0076,宮崎県　東臼杵郡諸塚村　家代　4330-2　,宮崎県東臼杵郡諸塚村家代４３３０－２,,213589,宮崎県,東臼杵郡諸塚村,家代,４０４６－１－７７,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,食品加工施設,食品加工施設,興洋開発株式会社,,1,,,,,
シルバーふっくら工房,宮崎県,小林市,細野,２２３９－１,,0984-22-2440,⑪ 菓子製造業,公益社団法人　小林市シルバー人材センター,小久保信雄,宮崎県,小林市,細野,２２３９－１,,0984-22-2440,2004/7/8,2022/7/21,４０４４－９－３,,小林保健所,シルバーふっくら工房,0984,0984-22-2440,,,,宮崎県　小林市　細野　２２３９－１,宮崎県小林市細野２２３９－１,,213198,宮崎県,小林市,細野,,2004/07/08,2022/07/21,,,公益社団法人　小林市シルバー人材センター,小久保信雄,0984-22-2440,宮崎県　小林市　細野　２２３９－１　,宮崎県小林市細野２２３９－１,,213198,宮崎県,小林市,細野,４０４４－９－３,,菓子製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,シルバーふっくら工房,シルバふっくら工房,公益社団法人小林市シルバー人材センター,,1,,,,,
にこにこショップ,宮崎県,日南市,風田,3850-10,,0987-23-3338,① 飲食店営業,有限会社　山野水産,山野秀人,宮崎県,日南市,大字風田,３８５０－１０,,0987-23-3338,1987/7/20,2022/7/28,4042-1-32,,日南保健所,にこにこショップ,0987,0987-23-3338,,,,宮崎県　日南市　風田　3850-10,宮崎県日南市風田３８５０－１０,,213070,宮崎県,日南市,風田,,1987/07/20,2022/07/28,,,有限会社　山野水産,山野秀人,0987-23-3338,宮崎県　日南市　大字風田　３８５０－１０　,宮崎県日南市風田３８５０－１０,,213070,宮崎県,日南市,風田,4042-1-32,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,にこにこショップ,にこにこショップ,有限会社山野水産,,2,,,,,
にこにこショップ,宮崎県,日南市,風田,3850-10,,0987-23-3338,㉕ そうざい製造業,有限会社　山野水産,山野秀人,宮崎県,日南市,大字風田,３８５０－１０,,0987-23-3338,2022/7/28,2022/7/28,4042-55-3,,日南保健所,にこにこショップ,0987,0987-23-3338,,,,宮崎県　日南市　風田　3850-10,宮崎県日南市風田３８５０－１０,,213070,宮崎県,日南市,風田,,2022/07/28,2022/07/28,,,有限会社　山野水産,山野秀人,0987-23-3338,宮崎県　日南市　大字風田　３８５０－１０　,宮崎県日南市風田３８５０－１０,,213070,宮崎県,日南市,風田,4042-55-3,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,にこにこショップ,にこにこショップ,有限会社山野水産,,2,,,,,
五ヶ瀬温泉　森の宿　木地屋　レストラン五瀬,宮崎県,西臼杵郡五ヶ瀬町,大字三ヶ所字広木野,９２２３番地,,0982-82-1115,① 飲食店営業,株式会社　五ヶ瀬ハイランド,原田俊平,宮崎県,西臼杵郡五ヶ瀬町,鞍岡,４６４７－１７１,,0982-83-2144,2022/7/1,2022/7/1,4048-1-7,,,五ヶ瀬温泉　森の宿　木地屋　レストラン五瀬,0982,0982-82-1115,,,,宮崎県　西臼杵郡五ヶ瀬町　大字三ヶ所字広木野　９２２３番地,宮崎県西臼杵郡五が瀬町三が所字広木野９２２３番地,,213609,宮崎県,西臼杵郡五が瀬町,三が所,,2022/07/01,2022/07/01,,,株式会社　五ヶ瀬ハイランド,原田俊平,0982-83-2144,宮崎県　西臼杵郡五ヶ瀬町　鞍岡　４６４７－１７１　,宮崎県西臼杵郡五が瀬町鞍岡４６４７－１７１,,213607,宮崎県,西臼杵郡五が瀬町,鞍岡,4048-1-7,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,五ヶ瀬温泉　森の宿　木地屋　レストラン五瀬,五ヶ瀬温泉森の宿木地屋レストラン五瀬,株式会社五ヶ瀬ハイランド,,1,,,,,
西ノ原牧場産直市場,宮崎県,小林市,細野,４５４－７,,0984-48-4129,㉕ そうざい製造業,株式会社西ノ原牧場,中西徳人,宮崎県,小林市,北西方,２３２４,,0984-27-1135,2016/8/1,2022/7/21,４０４４－５６－８,,小林保健所,西ノ原牧場産直市場,0984,0984-48-4129,,,,宮崎県　小林市　細野　４５４－７,宮崎県小林市細野４５４－７,,213198,宮崎県,小林市,細野,,2016/08/01,2022/07/21,,,株式会社西ノ原牧場,中西徳人,0984-27-1135,宮崎県　小林市　北西方　２３２４　,宮崎県小林市北西方２３２４,,213194,宮崎県,小林市,北西方,４０４４－５６－８,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,西ノ原牧場産直市場,西ノ原牧場産直市場,株式会社西ノ原牧場,,1,,,,,
焼肉　やません,宮崎県,小林市,堤,２２８５－３,,0984-24-1178,① 飲食店営業,有限会社やません,山之口武博,宮崎県,小林市,堤,２２８５－３,,0984-24-1178,2004/8/23,2022/7/25,４０４４－２－２１,,小林保健所,焼肉　やません,0984,0984-24-1178,,,,宮崎県　小林市　堤　２２８５－３,宮崎県小林市堤２２８５－３,,213195,宮崎県,小林市,堤,,2004/08/23,2022/07/25,,,有限会社やません,山之口武博,0984-24-1178,宮崎県　小林市　堤　２２８５－３　,宮崎県小林市堤２２８５－３,,213195,宮崎県,小林市,堤,４０４４－２－２１,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,焼肉　やません,焼肉やません,有限会社やません,,1,,,,,
フォレスト綾川荘プール売店,宮崎県,東諸県郡綾町,大字北俣,３７６５,,0985-77-1227,① 飲食店営業,有限会社TOPIKA,篠原三剛,宮崎県,宮崎市,橘通東１丁目,4－１６,,0985-89-0501,2022/7/15,2022/7/15,シレイ４０４１－１－５,,中央保健所,フォレスト綾川荘プール売店,0985,0985-77-1227,,,,宮崎県　東諸県郡綾町　大字北俣　３７６５,宮崎県東諸県郡綾町北俣３７６５,,213449,宮崎県,東諸県郡綾町,北俣,,2022/07/15,2022/07/15,,,有限会社TOPIKA,篠原三剛,0985-89-0501,宮崎県　宮崎市　橘通東１丁目　4－１６　,宮崎県宮崎市橘通東１丁目４－１６,,212304,宮崎県,宮崎市,橘通東１,シレイ４０４１－１－５,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,フォレスト綾川荘プール売店,フォレスト綾川荘プル売店,有限会社ＴＯＰＩＫＡ,,1,,,,,
ムラタ拉麺,宮崎県,西諸県郡高原町,大字西麓,９３３－４,,090-8226-8502,① 飲食店営業,村田健,,,,,,,,2022/7/13,2022/7/13,４０４４－１－１８,,小林保健所,ムラタ拉麺,0984,090-8226-8502,,,,宮崎県　西諸県郡高原町　大字西麓　９３３－４,宮崎県西諸県郡高原町西麓９３３－４,,213444,宮崎県,西諸県郡高原町,西麓,,2022/07/13,2022/07/13,,,,,,　　　　,,,,,,,４０４４－１－１８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ムラタ拉麺,ムラタ拉麺,,,1,,,,,
旬食　吉庵,宮崎県,延岡市,天下町,１２１３－４５１,,0982-39-0188,㉕ そうざい製造業,田中實,,,,,,,,2022/7/29,2022/7/29,４０４７－５５－１４,,延岡保健所,旬食　吉庵,0982,0982-39-0188,,,,宮崎県　延岡市　天下町　１２１３－４５１,宮崎県延岡市天下町１２１３－４５１,,212771,宮崎県,延岡市,天下町,,2022/07/29,2022/07/29,,,,,,　　　　,,,,,,,４０４７－５５－１４,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,旬食　吉庵,旬食吉庵,,,1,,,,,
前畠商事株式会社,宮崎県,小林市,細野,２２１０－１,,0984-23-2453,㉛ 食品の小分け業,前畠商事株式会社,前畠順二,宮崎県,小林市,細野,２２１０－１,,0984-23-2453,2022/7/28,2022/7/28,４０４４－６７－１,,小林保健所,前畠商事株式会社,0984,0984-23-2453,,,,宮崎県　小林市　細野　２２１０－１,宮崎県小林市細野２２１０－１,,213198,宮崎県,小林市,細野,,2022/07/28,2022/07/28,,,前畠商事株式会社,前畠順二,0984-23-2453,宮崎県　小林市　細野　２２１０－１　,宮崎県小林市細野２２１０－１,,213198,宮崎県,小林市,細野,４０４４－６７－１,,食品の小分け業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,卸売業，小売業,飲食料品小売業,食料・飲料卸売業,その他の食料・飲料卸売業,,,,,,,前畠商事株式会社,前畠商事株式会社,前畠商事株式会社,,1,,,,,
m-エム,宮崎県,児湯郡高鍋町,大字高鍋町,６８７－１,夢ビルE,,① 飲食店営業,吉田眞也,,,,,,,,2022/7/5,2022/7/5,４０４５－１－４４,,高鍋保健所,m-エム,0983,,,,,宮崎県　児湯郡高鍋町　大字高鍋町　６８７－１,宮崎県児湯郡高鍋町高鍋町６８７－１,夢ビルE,213505,宮崎県,児湯郡高鍋町,高鍋町,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４５－１－４４,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ｍ－エム,ｍエム,,,1,,,,,
ファミリーマート三股宮村店,宮崎県,北諸県郡三股町,大字宮村,２９１３－１,,0986-53-3480,① 飲食店営業,安田好男,,,,,,,,2022/7/1,2022/7/1,４０４３－１－１１２,,都城保健所,ファミリーマート三股宮村店,0986,0986-53-3480,,,,宮崎県　北諸県郡三股町　大字宮村　２９１３－１,宮崎県北諸県郡三股町宮村２９１３－１,,213434,宮崎県,北諸県郡三股町,宮村,,2022/07/01,2022/07/01,,,,,,　　　　,,,,,,,４０４３－１－１１２,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ファミリーマート三股宮村店,ファミリマト三股宮村店,,ファミリーマート,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
ＡＱＵＡ,宮崎県,延岡市,新町,８－４,第６マンボータウン　１階,0982-26-6421,① 飲食店営業,井本真貴,,,,,,,,2022/7/8,2022/7/8,４０４７－１－７０,,延岡保健所,ＡＱＵＡ,0982,0982-26-6421,,,,宮崎県　延岡市　新町　８－４,宮崎県延岡市新町８－４,第６マンボータウン　１階,212864,宮崎県,延岡市,新町,,2022/07/08,2022/07/08,,,,,,　　　　,,,,,,,４０４７－１－７０,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ＡＱＵＡ,ＡＱＵＡ,,,1,,,,,
キャンプス　ピッツァ,宮崎県,日向市,平岩,8580,,080-9866-3109,㉕ そうざい製造業,児玉照美,,,,,,,,2022/7/20,2022/7/20,４０４６－５５－１３,,日向保健所,キャンプス　ピッツァ,0982,080-9866-3109,,,,宮崎県　日向市　平岩　8580,宮崎県日向市平岩８５８０,,213249,宮崎県,日向市,平岩,,2022/07/20,2022/07/20,,,,,,　　　　,,,,,,,４０４６－５５－１３,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,キャンプス　ピッツァ,キャンプスピッツァ,,,1,,,,,
俵,宮崎県,延岡市,南町,２－１－１７,,0982-21-5931,① 飲食店営業,大家好明,,,,,,,,2022/7/5,2022/7/5,４０４７－１－７４,,延岡保健所,俵,0982,0982-21-5931,,,,宮崎県　延岡市　南町　２－１－１７,宮崎県延岡市南町２－１－１７,,212972,宮崎県,延岡市,南町２,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４７－１－７４,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,俵,俵,,,1,,,,,
ホームセンター　やまさき,宮崎県,小林市,堤,３２３５－１,,0984-23-3038,① 飲食店営業,株式会社　山﨑,塩崎盛隆,宮崎県,小林市,堤,３２３５－１,,0984-23-3638,2022/7/1,2022/7/1,４０４４－１－１２,,小林保健所,ホームセンター　やまさき,0984,0984-23-3038,,,,宮崎県　小林市　堤　３２３５－１,宮崎県小林市堤３２３５－１,,213195,宮崎県,小林市,堤,,2022/07/01,2022/07/01,,,株式会社　山﨑,塩崎盛隆,0984-23-3638,宮崎県　小林市　堤　３２３５－１　,宮崎県小林市堤３２３５－１,,213195,宮崎県,小林市,堤,４０４４－１－１２,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,ホームセンター　やまさき,ホムセンタやまさき,株式会社山﨑,,1,,,,,
鶏笑,宮崎県,東臼杵郡門川町,上町,4-30,,0982-66-8018,① 飲食店営業,高浦由紀美,,,,,,,,2022/7/15,2022/7/15,４０４６－１－５１,,日向保健所,鶏笑,0982,0982-66-8018,,,,宮崎県　東臼杵郡門川町　上町　4-30,宮崎県東臼杵郡門川町上町４－３０,,213542,宮崎県,東臼杵郡門川町,上町４,,2022/07/15,2022/07/15,,,,,,　　　　,,,,,,,４０４６－１－５１,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,鶏笑,鶏笑,,,1,,,,,
風の丘ガーデン,宮崎県,小林市,南西方,７５４８,,0984-23-8789,① 飲食店営業,伊藤瑛美子,,,,,,,,2016/6/7,2022/7/27,４０４４－２－２８,,小林保健所,風の丘ガーデン,0984,0984-23-8789,,,,宮崎県　小林市　南西方　７５４８,宮崎県小林市南西方７５４８,,213200,宮崎県,小林市,南西方,,2016/06/07,2022/07/27,,,,,,　　　　,,,,,,,４０４４－２－２８,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,風の丘ガーデン,風の丘ガデン,,,1,,,,,
セブンイレブン　小林並松添店,宮崎県,小林市,堤字並松添,２９９３－２,,0984-22-2072,① 飲食店営業,株式会社　サニー,兒玉芳正,宮崎県,小林市,水流迫,３１７番地７,,090-5021-7306,2022/7/28,2022/7/28,４０４４－１－２０,,小林保健所,セブンイレブン　小林並松添店,0984,0984-22-2072,,,,宮崎県　小林市　堤字並松添　２９９３－２,宮崎県小林市堤字並松添２９９３－２,,213195,宮崎県,小林市,堤,,2022/07/28,2022/07/28,,,株式会社　サニー,兒玉芳正,090-5021-7306,宮崎県　小林市　水流迫　３１７番地７　,宮崎県小林市水流迫３１７番地７,,213196,宮崎県,小林市,水流迫,４０４４－１－２０,,飲食店営業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,宿泊業，飲食サービス業,飲食店,,,,,,,,,セブンイレブン　小林並松添店,セブンイレブン小林並松添店,株式会社サニー,セブンイレブン,1,卸売業，小売業,飲食料品小売業,その他の飲食料品小売業,コンビニエンスストア（飲食料品を中心とするものに限る）,
たそがれ総菜店,宮崎県,児湯郡木城町,大字椎木,４５９８－５,,090-8622-2553,㉕ そうざい製造業,佐々木真由美,,,,,,,,2022/7/5,2022/7/5,４０４５－５５－１１,,高鍋保健所,たそがれ総菜店,0983,090-8622-2553,,,,宮崎県　児湯郡木城町　大字椎木　４５９８－５,宮崎県児湯郡木城町椎木４５９８－５,,213475,宮崎県,児湯郡木城町,椎木,,2022/07/05,2022/07/05,,,,,,　　　　,,,,,,,４０４５－５５－１１,,そうざい製造業,,,,442-449_宮崎県_宮崎県一括_食品衛生(許可-届出)_2022年07月_末日_新規,製造業,食料品製造業,,,,,,,,,たそがれ総菜店,たそがれ総菜店,,,1,,,,,
