https://docs.google.com/spreadsheets/d/1Qy3el1DFIpxtm3-VIAdZlBmEHual1CU39oB_urGxiyI/edit#gid=508940504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,n処理終了,,,,,,,,,,,,,,,,,,,,,,,,d08_import_license_datas,完了,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法人番号,申請者1,申請者2,,申請-住所1,申請-住所2,申請-住所3,申請-住所4,申請-マンション名,申請-電話番号1,,施設名,郵便番号,施設-住所1,施設-住所2,施設-住所3,施設-住所4,施設-マンション名,施設-電話番号1,業種,,許可年月日,許可期間開始日,許可期間終了日,その他,ここまで,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6300001007033,株式会社佐賀新聞ライフマネジメント,中尾清一郎,8400804,佐賀県,佐賀市,神野東,3丁目1番35号,,0952-36-4510,,ADmiS ON SAGA,8400851,佐賀県,佐賀市,天祐１丁目,１４－３,,,① 飲食店営業,,2022/2/25,2022/2/25,2028/5/31,　,,408,ADmiS ON SAGA,0952,,,,,佐賀県　佐賀市　天祐１丁目　１４－３,佐賀県佐賀市天祐１丁目１４－３,,204745,41,41201,天祐１,,,2022/02/25,2022/02/25,2028/05/31,株式会社佐賀新聞ライフマネジメント,中尾清一郎,0952-36-4510,佐賀県　佐賀市　神野東　3丁目1番35号,佐賀県佐賀市神野東３丁目１番３５号,,204810,佐賀県,佐賀市,神野東３,,,飲食店営業,,　,6300001007033,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ＡＤｍｉＳＯＮＳＡＧＡ20474541201,48a163cb-1873-4fdc-b50f-34802ccb1a70,株式会社佐賀新聞ライフマネジメント204810,14a79e8f-9fd2-449d-a289-8bf9f530f0a1,bdad0825-d277-418c-95ef-da243f44a077,2022/02/25,ＡＤｍｉＳ　ＯＮ　ＳＡＧＡ,ＡＤｍｉＳＯＮＳＡＧＡ,株式会社佐賀新聞ライフマネジメント
,川﨑麻矢,,,,,,,,,,麹屋スイーツ愛ｔｈｒｅｅ,8490401,佐賀県,杵島郡白石町,大字福富3364-1,,,,⑪ 菓子製造業,,2022/2/15,2022/2/15,2028/11/30,　,,412,麹屋スイーツ愛ｔｈｒｅｅ,0952,,,,,佐賀県　杵島郡白石町　大字福富3364-1　,佐賀県杵島郡白石町福富３３６４－１,,205704,41,41425,福富,,,2022/02/15,2022/02/15,2028/11/30,,川﨑麻矢 ,,　　　,,,,,,,,,菓子製造業,,　,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,麹屋スイツ愛ｔｈｒｅｅ20570441425,0ec1701d-62aa-4441-985e-a8089651b78c,,personal,3d2ce955-5fa6-41d4-88da-2e993883507e,2022/02/15,麹屋スイーツ愛ｔｈｒｅｅ,麹屋スイツ愛ｔｈｒｅｅ,
8300001005415,株式会社ファクトリー,東島豊,,佐賀県,佐賀市,開成１丁目,１－１８,,0952-37-7176,0952377177,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,8400803,佐賀県,佐賀市,栄町,2番8号,さかえヤマトビル１Ｆ,,① 飲食店営業,,2022/2/15,2022/2/15,2028/11/30,,,408,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,0952,,,,,佐賀県　佐賀市　栄町　2番8号,佐賀県佐賀市栄町２番８号,さかえヤマトビル１Ｆ,204815,41,41201,栄町,,,2022/02/15,2022/02/15,2028/11/30,株式会社ファクトリー,東島豊,0952-37-7176,佐賀県　佐賀市　開成１丁目　１－１８,佐賀県佐賀市開成１丁目１－１８,,204841,佐賀県,佐賀市,開成１,,,飲食店営業,,,8300001005415,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ20481541201,25044300-1c7b-4a61-80ea-14c67435f537,株式会社ファクトリー204841,7fdde924-da80-454d-895a-477ab4263458,bd96f410-d611-4364-bda6-b2ef0b794bae,2022/02/15,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ,株式会社ファクトリー
8300001005415,株式会社ファクトリー,東島豊,,佐賀県,佐賀市,開成１丁目,１－１８,,0952-37-7176,0952377177,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,8400803,佐賀県,佐賀市,栄町,2番8号,さかえヤマトビル１Ｆ,,⑪ 菓子製造業,,2022/2/15,2022/2/15,2028/11/30,,,408,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,0952,,,,,佐賀県　佐賀市　栄町　2番8号,佐賀県佐賀市栄町２番８号,さかえヤマトビル１Ｆ,204815,41,41201,栄町,,,2022/02/15,2022/02/15,2028/11/30,株式会社ファクトリー,東島豊,0952-37-7176,佐賀県　佐賀市　開成１丁目　１－１８,佐賀県佐賀市開成１丁目１－１８,,204841,佐賀県,佐賀市,開成１,,,菓子製造業,,,8300001005415,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ20481541201,25044300-1c7b-4a61-80ea-14c67435f537,株式会社ファクトリー204841,7fdde924-da80-454d-895a-477ab4263458,a3423ed1-ea2d-4d20-8cd2-1be6401398fb,2022/02/15,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ,株式会社ファクトリー
8300001005415,株式会社ファクトリー,東島豊,,佐賀県,佐賀市,開成１丁目,１－１８,,0952-37-7176,0952377177,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,8400803,佐賀県,佐賀市,栄町,2番8号,さかえヤマトビル１Ｆ,,㉕ そうざい製造業,,2022/2/15,2022/2/15,2028/11/30,,,408,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,0952,,,,,佐賀県　佐賀市　栄町　2番8号,佐賀県佐賀市栄町２番８号,さかえヤマトビル１Ｆ,204815,41,41201,栄町,,,2022/02/15,2022/02/15,2028/11/30,株式会社ファクトリー,東島豊,0952-37-7176,佐賀県　佐賀市　開成１丁目　１－１８,佐賀県佐賀市開成１丁目１－１８,,204841,佐賀県,佐賀市,開成１,,,そうざい製造業,,,8300001005415,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ20481541201,25044300-1c7b-4a61-80ea-14c67435f537,株式会社ファクトリー204841,7fdde924-da80-454d-895a-477ab4263458,cc2a537b-1aa5-4fa4-8b30-2bf90c64eaa2,2022/02/15,ＦＯＯＤ　ＦＡＣＴＯＲＹ　ＦＬＥＸ,ＦＯＯＤＦＡＣＴＯＲＹＦＬＥＸ,株式会社ファクトリー
2300001004042,株式会社イーダブリュエムファクトリー,友納健一郎,8400815,佐賀県,佐賀市,天神,３丁目１５番1号　,アイ・フォレストビル２階,0952-41-2780,,ものづくりカフェ　こねくり家,8498585,佐賀県,佐賀市,八丁畷町,1-20,県内一円,,① 飲食店営業,,2022/2/9,2022/2/9,2027/11/30,既製食品及び供食前十分加熱された物に限る,,408,ものづくりカフェ　こねくり家,0952,,,,,佐賀県　佐賀市　八丁畷町　1-20,佐賀県佐賀市八丁畷町１－２０　県内一円,,204818,41,41201,八丁畷町,,,2022/02/09,2022/02/09,2027/11/30,株式会社イーダブリュエムファクトリー,友納健一郎,0952-41-2780,佐賀県　佐賀市　天神　３丁目１５番1号　,佐賀県佐賀市天神３丁目１５番１号,アイ・フォレストビル２階,204744,佐賀県,佐賀市,天神３,,,飲食店営業,,既製食品及び供食前十分加熱された物に限る,2300001004042,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ものづくりカフェこねくり家20481841201,4886dca0-3274-47ec-9c03-450ca8f50e9b,株式会社イーダブリュエムファクトリー204744,11180262-dcd0-4d96-b4e1-40bd916c3f46,86568619-16bc-4a25-a05c-c206548bb25c,2022/02/09,ものづくりカフェ　こねくり家,ものづくりカフェこねくり家,株式会社イーダブリュエムファクトリー
2300001010370,株式会社井上建築,井上夢人,8491312,佐賀県,鹿島市,納富分,2167-1,,0954-63-0741,0954605248,build.,8491312,佐賀県,鹿島市,納富分,2136,,,① 飲食店営業,,2022/2/10,2022/2/10,2028/2/29,,,412,build.,0954,,,,,佐賀県　鹿島市　納富分　2136,佐賀県鹿島市納富分２１３６,,205425,41,41207,納富分,,,2022/02/10,2022/02/10,2028/02/29,株式会社井上建築,井上夢人,0954-63-0741,佐賀県　鹿島市　納富分　2167-1,佐賀県鹿島市納富分２１６７－１,,205425,佐賀県,鹿島市,納富分,,,飲食店営業,,,2300001010370,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,ｂｕｉｌｄ20542541207,4b3141fd-42eb-43b6-8ca7-773901a4c1c6,株式会社井上建築205425,043d0a39-a910-467b-bff0-8de82ec2c31c,033d855a-bafe-499f-902e-5c3ab947e718,2022/02/10,ｂｕｉｌｄ．,ｂｕｉｌｄ,株式会社井上建築
,中村美津代,,,,,,,,,,スナック　すず,8470044,佐賀県,唐津市,木綿町,1988,第2Mビル1F,0955-75-3111,① 飲食店営業,,2022/2/1,2022/2/1,2028/8/31,,,410,スナック　すず,0955,0955-75-3111,,,,佐賀県　唐津市　木綿町　1988,佐賀県唐津市木綿町１９８８,第2Mビル1F,204954,41,41202,木綿町,,,2022/02/01,2022/02/01,2028/08/31,,中村美津代 ,,　　　,,,,,,,,,飲食店営業,,,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,スナックすず0955-75-311120495441202,5e51c806-0ced-4cdd-86d2-4dece7999abd,,personal,40727a23-c5e8-40ab-82c0-7d36a8647fee,2022/02/01,スナック　すず,スナックすず,
7300001011100,株式会社エニシム,一色望,8480047,佐賀県,伊万里市,伊万里町甲１０３番地３,,,0955-25-8288,,えにしむ,8480041,佐賀県,伊万里市,新天町,,県内一円,,① 飲食店営業,,2022/2/10,2022/2/10,2027/2/28,供食前十分加熱処理されたものに限る,,411,えにしむ,0955,,,,,佐賀県　伊万里市　新天町　,佐賀県伊万里市新天町　県内一円,,205324,41,41205,新天町,,,2022/02/10,2022/02/10,2027/02/28,株式会社エニシム,一色望,0955-25-8288,佐賀県　伊万里市　伊万里町甲１０３番地３　,佐賀県伊万里市伊万里町甲１０３番地３,,205295,佐賀県,伊万里市,伊万里町甲,,,飲食店営業,,供食前十分加熱処理されたものに限る,7300001011100,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,えにしむ20532441205,d1370917-f43b-4a32-857c-cdc0bde64ead,株式会社エニシム205295,5a75a3a8-edc8-447e-877a-a0f7e0fc8703,19ee7077-fdf6-4071-969c-2be594ed9f9e,2022/02/10,えにしむ,えにしむ,株式会社エニシム
1310001011633,株式会社さんぽ道,上野妙美,8593618,長崎県,東彼杵郡川棚町,小串郷,2079,,0956-83-3456,,さんぽ道　キッチンカー,8430022,佐賀県,武雄市,武雄町武雄,県内一円,,,① 飲食店営業,,2022/2/22,2022/2/22,2027/5/31,供食前十分加熱処理されたものに限る,,412,さんぽ道　キッチンカー,0954,,,,,佐賀県　武雄市　武雄町武雄　県内一円,佐賀県武雄市武雄町武雄県内一円,,205394,41,41206,武雄町武雄,,,2022/02/22,2022/02/22,2027/05/31,株式会社さんぽ道,上野妙美,0956-83-3456,長崎県　東彼杵郡川棚町　小串郷　2079,長崎県東彼杵郡川棚町小串郷２０７９,,207656,長崎県,東彼杵郡川棚町,小串郷,,,飲食店営業,,供食前十分加熱処理されたものに限る,1310001011633,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,さんぽ道キッチンカ20539441206,25516270-b2c4-4f44-92c3-a28ecb9d16f1,株式会社さんぽ道207656,55c26203-0d50-4a66-8340-5d815ff37777,7dcb030e-19ea-4233-be51-2bc98383b916,2022/02/22,さんぽ道　キッチンカー,さんぽ道キッチンカ,株式会社さんぽ道
,中原洋一郎,,,,,,,,,,元祖中津からあげ　もり山　海中鳥居店,8491602,佐賀県,藤津郡太良町,多良1896-7,,,,① 飲食店営業,,2022/2/25,2022/2/25,2028/8/31,　,,412,元祖中津からあげ　もり山　海中鳥居店,0954,,,,,佐賀県　藤津郡太良町　多良1896-7　,佐賀県藤津郡太良町多良１８９６－７,,205710,41,41441,多良,,,2022/02/25,2022/02/25,2028/08/31,,中原洋一郎 ,,　　　,,,,,,,,,飲食店営業,,　,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,元祖中津からあげもり山海中鳥居店20571041441,20212884-ccc1-4ab2-8075-1309f299cf12,,personal,89c59c2b-b8b2-4bba-99d1-b8565114d1c2,2022/02/25,元祖中津からあげ　もり山　海中鳥居店,元祖中津からあげもり山海中鳥居店,
,濵﨑洋平,,,,,,,,,,亜洲界世,8410051,佐賀県,鳥栖市,元町,,県内一円,,① 飲食店営業,,2022/2/25,2022/2/25,2027/11/30,供食前十分加熱処理されたものに限る,,409,亜洲界世,0942,,,,,佐賀県　鳥栖市　元町　,佐賀県鳥栖市元町　県内一円,,205255,41,41203,元町,,,2022/02/25,2022/02/25,2027/11/30,,濵﨑洋平 ,,　　　,,,,,,,,,飲食店営業,,供食前十分加熱処理されたものに限る,,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,M,76,,,亜洲界世20525541203,f5c32c85-255b-4d3c-bd12-c0cf15e61e74,,personal,290eaf10-2f04-4cd7-b8d3-c10629aaaa40,2022/02/25,亜洲界世,亜洲界世,
3011801030462,S.K International　株式会社,レグミ・アチャルエ・サビタ,8410026,佐賀県,鳥栖市,本鳥栖町537-1,,,0942-81-2507,,インド・ネパールレストランエベレストFrespo,8410026,佐賀県,鳥栖市,本鳥栖町,537-1,,0942-81-2507,⑪ 菓子製造業,,2022/2/18,2022/2/18,2028/2/29,飲食店営業の取扱品目に限る,,409,インド・ネパールレストランエベレストFrespo,0942,0942-81-2507,,,,佐賀県　鳥栖市　本鳥栖町　537-1,佐賀県鳥栖市本鳥栖町５３７－１,,205243,41,41203,本鳥栖町,,,2022/02/18,2022/02/18,2028/02/29,S.K International　株式会社,レグミ・アチャルエ・サビタ,0942-81-2507,佐賀県　鳥栖市　本鳥栖町537-1　,佐賀県鳥栖市本鳥栖町５３７－１,,205243,佐賀県,鳥栖市,本鳥栖町,,,菓子製造業,,飲食店営業の取扱品目に限る,3011801030462,408-412_佐賀県_佐賀県一括_食品衛生(許可)_2022年01月-2022年02月_末日_新規,E,9,,,インドネパルレストランエベレストＦｒｅｓｐｏ0942-81-250720524341203,15d64555-c86b-4efc-bfe0-248722dbf894,Ｓ．Ｋ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　株式会社205243,2d22e944-c661-4a46-99c6-fea26db0f123,d56029d9-5753-4cd8-a204-8ec319c434fb,2022/02/18,インド・ネパールレストランエベレストＦｒｅｓｐｏ,インドネパルレストランエベレストＦｒｅｓｐｏ,Ｓ．Ｋ　Ｉｎｔｅｒｎａｔｉｏｎａｌ　株式会社
