No,屋号,施設郵便番号,施設所在地（市区町村）,施設所在地（町域）,施設所在地（番地等）,施設所在地（マンション名等）,施設電話番号,業種,営業者氏名（個人又は法人名）,営業者電話番号（法人のみ）,初回許可年月日,許可年月日,許可開始日,許可番号
28,炭火焼鳥ゆうちょう,8100022,福岡市中央区,薬院3丁目,13-22,新宝ビル1階,092-707-3437,① 飲食店営業,株式会社マローズ,,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010229号
29,博多キャラメル,8100041,福岡市中央区,大名1-11-4-201,,,,⑪ 菓子製造業,株式会社エムデサポート,,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010240号
30,Esthe Pro Labo TENJIN,8100001,福岡市中央区,天神2-1,,東６番街　店舗番号115号,092-781-0921,① 飲食店営業,株式会社プロラボホールディングス,0364369750,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010110号
31,麺処一成,8100005,福岡市中央区,清川,2丁目21-22-1階,,092-533-0006,① 飲食店営業,株式会社エデン,0925330006,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010254号
32,FOOD LINE KITCHEN,8100004,福岡市中央区,渡辺通,五丁目3番15号2階,,0927070917,① 飲食店営業,株式会社FOOD LINE,0927070917,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010258号
33,FOOD LINE KITCHEN,8100004,福岡市中央区,渡辺通,五丁目3番15号2階,,0927070917,㉕ そうざい製造業,株式会社FOOD LINE,0927070917,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010259号
34,③福岡三越【さいき家】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010300号
35,②福岡三越【芳々亭】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022210028号
36,①福岡三越【御花】食品催事場,8108544,福岡市中央区,天神,2丁目1-1,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022210044号
37,ばにやん,8100001,福岡市中央区,天神一丁目４番１号　東館B２　イベントステージ,,,,① 飲食店営業,株式会社博多大丸,092-712-8181,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022010273号
38,bar moon walk 天神今泉店,8100021,福岡市中央区,今泉1丁目20-21,,remix天神2　2階,,① 飲食店営業,株式会社シェテル,0927141234,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022010278号
39,③岩田屋本店【九州銘産品協会】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022210046号
40,②岩田屋本店【うなぎ処山道】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022370001号
41,①岩田屋本店【焼肉の大昌園】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022210041号
42,フィッシュ＆ミートマン金獅子,8100065,福岡市中央区,地行浜2丁目2番2号,,福岡PayPayドーム アリーナ,092-844-1189,① 飲食店営業,株式会社フィースト,0113757947,2022.7.22,2022.7.22,2022.7.22,福中保衛第2021010708号
43,④岩田屋本店【鶏炭】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.22,2022.7.22,2022.7.22,福中保衛第2022210047号
44,⑤岩田屋本店【四代目徳次郎】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.22,2022.7.22,2022.7.22,福中保衛第2022210048号
45,（有）山之口畜産,8100065,福岡市中央区,地行浜2丁目2番2号,,福岡PayPayドーム アリーナ,092-844-1189,① 飲食店営業,有限会社山之口畜産,0984241181,2022.7.22,2022.7.22,2022.7.22,福中保衛第2022010235号
46,焼鳥つむぐ,8100014,福岡市中央区,平尾2丁目14-10,,アルメール平尾1F-B号室,092-791-2076,① 飲食店営業,株式会社ＷＯＦ,0924081331,2022.7.25,2022.7.25,2022.7.25,福中保衛第2022010244号
47,猿田彦珈琲,,福岡市中央区,天神１−４−１,,,,① 飲食店営業,株式会社博多大丸,092-712-8181,2022.7.27,2022.7.27,2022.7.27,福中保衛第2022010275号
48,島職人工房奄美,8100001,福岡市中央区,天神一丁目４番１号　東館B２　イベントステージ,,,,⑪ 菓子製造業,株式会社博多大丸,092-712-8181,2022.7.27,2022.7.27,2022.7.27,福中保衛第2022010276号
49,岩田屋本店【蛸勝】フードコレクション,8108680,福岡市中央区,天神,2丁目5番35号,,,① 飲食店営業,株式会社岩田屋三越,0927211111,2022.7.27,2022.7.27,2022.7.27,福中保衛第2022010263号
50,日本料理　ながおか,8100002,福岡市中央区,西中洲3-20,,連ラウンドビル103,0924069181,① 飲食店営業,株式会社周径,0924069181,2022.7.28,2022.7.28,2022.7.28,福中保衛第2022010243号
51,たつ庄,8100011,福岡市中央区,高砂1丁目19-28,,エスポワール渡辺通南102,,① 飲食店営業,株式会社ラフィンヌマン,092-522-3390,2022.7.28,2022.7.28,2022.7.28,福中保衛第2022010246号
52,まんでぃ,8100063,福岡市中央区,唐人町1-12-31,,,092-711-7018,① 飲食店営業,株式会社まんでぃ,092-711-7018,2022.7.28,2022.7.28,2022.7.28,福中保衛第2022010271号
53,エクセルシオールカフェ　天神渡辺通り4丁目店,8100004,福岡市中央区,渡辺通四丁目10番10号,,,092-260-3556,① 飲食店営業,株式会社ドトールコーヒー,0354599022,2022.7.29,2022.7.29,2022.7.29,福中保衛第2021010729号
54,麺屋わがもん,8100041,福岡市中央区,大名1丁目8-33,,大名エイトビル1F,,① 飲食店営業,株式会社RC.com,,2022.7.29,2022.7.29,2022.7.29,福中保衛第2022010149号
55,プラスワン,8100013,福岡市中央区,大宮2丁目6-23,,141ビル502号,,① 飲食店営業,有限会社　プラスワン,,2022.7.29,2022.7.29,2022.7.29,福中保衛第2022010237号
56,想夫恋　渡辺通店,8100004,福岡市中央区,渡辺通,５－１－２２,コージープラス天神１階,０９２４０６３４７４,① 飲食店営業,株式会社栄樹,,2022.7.29,2022.7.29,2022.7.29,福中保衛第2022010238号
57,博多空気椅子酒場　輝　天神南店,8100004,福岡市中央区,渡辺通2丁目3-1,,三角市場内,,① 飲食店営業,柴田輝彦,,2022.7.1,2022.7.1,2022.7.1,福中保衛第2022010203号
58,Bar Bolero,8100001,福岡市中央区,天神3-1-16,,橋口ビルB1F,092-761-3519,① 飲食店営業,呂挺,,2022.7.1,2022.7.1,2022.7.1,福中保衛第2022010285号
59,いけす桜坂　Imamura,8100024,福岡市中央区,桜坂3-12-88,,,,① 飲食店営業,今村友浩,,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010290号
60,水煙　くゆ,8100044,福岡市中央区,六本松1-3-18,,中村アパート2F,,① 飲食店営業,中野美空,,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010245号
61,水煙　くゆ,8100044,福岡市中央区,六本松1-3-18,,中村アパート2F,,⑪ 菓子製造業,中野美空,,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010139号
62,串焼　あら津,8100062,福岡市中央区,荒戸2丁目1-24　阿部ビル1F,,,092-715-3350,① 飲食店営業,阿部敏定,,2022.7.4,2022.7.4,2022.7.4,福中保衛第2022010268号
63,フォーチュンキッチン,8100012,福岡市中央区,白金1-12-29-308,,,,⑪ 菓子製造業,勝野ひとみ,,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010225号
64,EXTRAVAGANZA 大名店 エクストラハゲラッチョ,8100041,福岡市中央区,大名1丁目3番5-1号,,ARK CUBEⅡ 101,092-401-1140,① 飲食店営業,田中雄規,,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010221号
65,薬院ピザ酒房,8100011,福岡市中央区,高砂1丁目,8-12,ライフ高砂201,0925236500,① 飲食店営業,山下真砂雄,,2022.7.5,2022.7.5,2022.7.5,福中保衛第2022010241号
66,Bar swallow,8120004,福岡市中央区,舞鶴1丁目,1番30号,天神ウイングビル５F,,① 飲食店営業,樋口洸太,,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022210042号
67,HOME,8100073,福岡市中央区,舞鶴1-8-30,,プリズモ21 9F,,① 飲食店営業,藤本直也,,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010248号
68,Ace of Hemp,8100014,福岡市中央区,平尾,2-15-6,金子ビル201号,,⑲ 食用油脂製造業,中野太智,,2022.7.6,2022.7.6,2022.7.6,福中保衛第2022010228号
69,PLANETICA,8100041,福岡市中央区,大名1-3-6,,フラップス302,092-406-6313,① 飲食店営業,東一明翔,,2022.7.11,2022.7.11,2022.7.11,福中保衛第2022210040号
70,Bar Speak Easy,8100022,福岡市中央区,薬院1-16-14-1F,,,092-406-7679,① 飲食店営業,湯浅貴夫,,2022.7.11,2022.7.11,2022.7.11,福中保衛第2022010256号
71,スナック　おこぜ,8100075,福岡市中央区,港2-8-17-101,,,,① 飲食店営業,角屋恵美,,2022.7.13,2022.7.13,2022.7.13,福中保衛第2022010247号
72,鉄板屋ばさろ,8100022,福岡市中央区,薬院3-7-27,,マツダビル1F,092-521-2978,① 飲食店営業,川添竜一,,2022.7.14,2022.7.14,2022.7.14,福中保衛第2022010234号
73,カヨカリ,8100024,福岡市中央区,桜坂1丁目12-10,,,,① 飲食店営業,佐々木加代,,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010212号
74,焼鳥　修ちゃん,8100005,福岡市中央区,清川1-10-13-2F,,,092-522-5305,① 飲食店営業,喜多修,,2022.7.15,2022.7.15,2022.7.15,福中保衛第2022010293号
75,BOTTA,8100041,福岡市中央区,大名1-11-27 ARKギャラリー106,,,,① 飲食店営業,大浦徹也,,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010279号
76,BOTTA,8100041,福岡市中央区,大名1-11-27,,ARKギャラリー106,,① 飲食店営業,土本早紀,,2022.7.19,2022.7.19,2022.7.19,福中保衛第2022010224号
77,Tree,8100034,福岡市中央区,笹丘1丁目36-27　102号,,,,① 飲食店営業,宮内匠,,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022010183号
78,パティスリーニコ,8100031,福岡市中央区,谷2丁目13-15　1F,,,092-406-6593,① 飲食店営業,山本健,,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022010242号
79,パティスリーニコ,8100031,福岡市中央区,谷2丁目13-15　1F,,,092-406-6593,⑪ 菓子製造業,山本健,,2022.7.20,2022.7.20,2022.7.20,福中保衛第2022210043号
80,MONDO HIRAO,8100014,福岡市中央区,平尾3丁目,22-3,平丘ビル2階,,⑪ 菓子製造業,水野健児,,2022.7.22,2022.7.22,2022.7.22,福中保衛第2022010284号
81,うべもと亭,8100042,福岡市中央区,赤坂,1-14-29,畑添ビル３０１,,① 飲食店営業,宇部本順也,,2022.7.25,2022.7.25,2022.7.25,福中保衛第2022010253号
82,i,8100042,福岡市中央区,赤坂2丁目2-7,,,0927071150,① 飲食店営業,髙田翔平,,2022.7.25,2022.7.25,2022.7.25,福中保衛第2022010220号
83,Beef Man,8100041,福岡市中央区,大名2-6-5,,天神西通り館1F,092-738-2929,① 飲食店営業,松岡厚志,,2022.7.25,2022.7.25,2022.7.25,福中保衛第2022010266号
84,OYASAI KITCHEN 薬院店,8100022,福岡市中央区,薬院2丁目1-4,,アルモニ薬院5F,,① 飲食店営業,最所隼人,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022010218号
85,201 serotonin,8100041,福岡市中央区,大名1丁目7-10-201,,,,① 飲食店営業,仲道海斗,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022490015号
86,cafe&bar OTOE KEGO,8100023,福岡市中央区,警固2-19-9,,百田ビル2F-E,,① 飲食店営業,髙比良誠也,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022010265号
87,廚　うるむ,8100031,福岡市中央区,谷1-13-20-105,,,092-600-9836,① 飲食店営業,土屋潤一,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022050003号
88,BREAD AND CAFE,8100023,福岡市中央区,警固2丁目12-12,,警固丸ビル106,092-715-5520,① 飲食店営業,川畑善嗣,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022010261号
89,BREAD AND CAFE,8100023,福岡市中央区,警固2丁目12-12,,警固丸ビル106,092-715-5520,⑪ 菓子製造業,川畑善嗣,,2022.7.26,2022.7.26,2022.7.26,福中保衛第2022010153号
90,焼鳥くるり,8100041,福岡市中央区,大名1丁目12-30-201,,,092-711-8055,① 飲食店営業,末次弘治,,2022.7.28,2022.7.28,2022.7.28,福中保衛第2022010296号
91,Stand Bar WILL’s,8100004,福岡市中央区,渡辺通5丁目16-5,,オーリンビル天神南,,① 飲食店営業,川原田健成,,2022.7.29,2022.7.29,2022.7.29,福中保衛第2022010223号
92,おかし屋　BETSUBARA,8100012,福岡市中央区,白金1丁目11-25,,白金光石邸　A号室,092-775-3672,① 飲食店営業,宮嵜留衣,,2022.7.29,2022.7.29,2022.7.29,福中保衛第2022010257号
