№,申請者＿申請者名,申請者＿役職名,申請者＿代表者,申請者＿電話番号,所在地１,所在地２,施設電話番号（所在地）,施設＿名称（屋号・商号）１,施設＿名称（屋号・商号）２,業種,確認番号（許可番号）,許可年月日（初回及び最新の許可年月日）,新規又は更新
39,おだわら共生会合同会社,代表社員,亀山  樹生,0465-41-1338,小田原市曽我別所８０６,,,しもそがや,,飲食店営業,第2022-001-0184号,R04.07.19,新規
40,株式会社  脇谷商店,代表取締役,脇谷  和孝,0465-24-1511,小田原市浜町３－１５－４,,0465-24-1511,株式会社  脇谷商店,,水産製品製造業,第2022-071-0009号,R04.07.20,新規
41,朝翠養蜂販売株式会社,代表取締役,杉本  真理子,0465-22-7137,小田原市早川２－４－１９,,0465-22-7137,カフェ  あさみどり,,飲食店営業,第2022-001-0195号,R04.07.21,新規
42,神戸  さえ,,,*,小田原市早川２－４－１９,,*,Ｗｅｉｚｅｎ  ＳＡＥ,,菓子製造業,第2022-003-0021号,R04.07.21,新規
43,佐藤  宏太,,,*,足柄下郡湯河原町宮上３６０－８,,,カラオケＢＡＲ隠れ家こうちゃん,,飲食店営業,第2022-001-0191号,R04.07.25,新規
44,株式会社  ＪＳフードシステム,代表取締役,田川  順也,0465-23-5637,足柄下郡箱根町宮城野８２９,,,自然薯農家レストラン  山薬,,飲食店営業,第2022-001-0156号,R04.07.25,新規
45,ハーベスト株式会社,代表取締役,脇本  実,045-336-1100,足柄下郡箱根町小涌谷４９２－２３,,0460-82-6007,ハーベスト食堂,,飲食店営業,第2022-001-0169号,R04.07.25,新規
46,有限会社  一福堂,代表取締役,後藤  啓治,0465-62-3105,足柄下郡湯河原町土肥１－４－６,,0465-62-4020,湯河原カフェ,,飲食店営業,第2022-001-0186号,R04.07.25,新規
47,有限会社  一福堂,代表取締役,後藤  啓治,0465-62-3105,足柄下郡湯河原町土肥１－４－６,,0465-62-4020,湯河原カフェ,,菓子製造業,第2022-003-0020号,R04.07.25,新規
48,萩原  恒幸,,,*,小田原市久野３７４－９,,*,久野  中田屋肉店,,食肉販売業,第2022-012-0006号,R04.07.25,新規
49,萩原  恒幸,,,*,小田原市久野３７４－９,,*,久野  中田屋肉店,,飲食店営業,第2022-001-0193号,R04.07.25,新規
50,山崎  博子,,,*,小田原市中村原７０３,,*,スナック  ウィング,,飲食店営業,第2022-001-0192号,R04.07.26,新規
51,鈴木  眞澄,,,*,小田原市久野１４４,一寸木店舗１０１,0465-32-0011,キッチン  ＢＯＣＣＡ,,飲食店営業,第2022-001-0152号,R04.07.27,新規
52,岡野  元気,,,*,小田原市栄町２－８－１５,山崎商事ビルＢ１－４区画,*,麺ゃ花ょ,,飲食店営業,第2022-001-0189号,R04.07.27,新規
53,クリーンライフサービス合同会社,代表取締役,近藤  啓文,0460-84-8848,足柄下郡箱根町仙石原１２４６－４４６,,0460-84-8848,勤次郎  仙緑苑,,飲食店営業,第2022-001-0203号,R04.07.28,新規
54,株式会社  西部・プリンスホテルズワールドワイド,代表取締役,小山  正彦,03-6709-3300,足柄下郡箱根町仙石原１２４６,,0460-84-6000,大箱根カントリークラブ  売店ＮＯ．１３,,飲食店営業,第2022-001-0162号,R04.07.28,新規
55,株式会社  西武・プリンスホテルズワールドワイド,代表取締役,小山  正彦,03-6709-3300,足柄下郡箱根町仙石原１２４６,,0460-84-6000,大箱根カントリークラブ  売店ＮＯ．４,,飲食店営業,第2022-001-0161号,R04.07.28,新規
56,株式会社  西武・プリンスホテルズワールドワイド,代表取締役,小山  正彦,03-6709-3300,足柄下郡箱根町仙石原１２４６,,0460-84-6000,大箱根カントリークラブ  売店ＮＯ．１６,,飲食店営業,第2022-001-0163号,R04.07.28,新規
57,有限会社  柳屋商店,取締役,神保  康明,*,小田原市蓮正寺３０７－１,,0465-37-0727,セブンーイレブン  小田原蓮正寺店,,飲食店営業,第2022-001-0208号,R04.07.28,新規
58,有限会社  天野,代表取締役,天野  徳久,0465-47-3494,小田原市飯泉４７８－８,,0465-47-3494,ホテルＲ,,飲食店営業,第2022-001-0187号,R04.07.28,新規
59,宮澤  徹,,,*,小田原市早川２１１－２,早川店舗１０５,,すし処  みや澤,,飲食店営業,第2022-001-0113号,R04.07.28,新規
60,有限会社  小田原不動産,代表取締役,藤井  香大,0465-22-8333,小田原市栄町２－６－１２,,0465-22-7441,ＯｄａＷｏｒｋ,,飲食店営業,第2022-001-0211号,R04.07.28,新規
61,株式会社  ＪＣ７２３,代表取締役,ユ  コイ,*,足柄下郡箱根町箱根８１,,,ＴＯＲＡＵＴＯ  Ｌａｂ,,飲食店営業,第2022-001-0188号,R04.07.29,新規
62,株式会社  勝商,代表取締役,原  勝徳,0465-23-8855,小田原市栄町２－３－４,美ゆ紀ビル２Ｆ,0465-22-8481,もんぶらん,,飲食店営業,第2022-001-0202号,R04.07.29,新規
63,中村  俊也,,,*,足柄下郡湯河原町,土肥１－１０－１８,0465-33-7890,きんさん家,,飲食店営業,第2022-001-0207号,R04.07.29,新規
64,株式会社  おやどり,代表取締役,禹  在賢,*,足柄下郡箱根町湯本７０６,丸嶋ビル４階,*,オルデンシア,,飲食店営業,第2022-001-0194号,R04.07.29,新規
65,德田  智洋,,,*,小田原市扇町２－１６－１０,味のプラザビル２Ｆ,0465-46-9724,スパイシーカレー  トップ,,飲食店営業,第2022-001-0212号,R04.07.29,新規
66,藤田観光株式会社,代表取締役,伊勢  宜弘,03-5981-7700,足柄下郡箱根町二ノ平１２９７,,0460-82-4112,箱根小涌園  バーベキューガーデン,,飲食店営業,第2022-001-0209号,R04.07.29,新規
